scout_target_id,lane_id,municipality,state,target_unit_type,known_counterpart_id,period,match_priority_tier,same_city_match_status,overlapping_cycle_status,candidate_only
TS4-1-fb36ceca99290b89,lane_1,Carmel,IN,non_safety_comparator,NSCQ-IN-20260720-0008,unclear (benefit package dated 12/03/25; references Local #4444 contract but does not state Local #4444 contract term/duration in visible excerpt),tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-2fa8def751dc6884,lane_1,Quincy,MA,non_safety_comparator,NSCQ-MA-20260720-0041,unclear,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-497ca793d950e8b9,lane_1,Albany,NY,non_safety_comparator,NSCQ-NY-20260720-0011,2016-2022 (successor term),tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-331d95d55fd5dc48,lane_1,Davenport,IA,non_safety_comparator,NSCQ-IA-20260720-0012,"July 1, 2023 – June 30, 2027",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-a2d8ee79d4555ccd,lane_1,San Angelo,TX,non_safety_comparator,NSCQ-TX-20260720-0071,"October 1, 2025 through September 30, 2026",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-d912903d42ecfebc,lane_1,Plantation,FL,non_safety_comparator,NSCQ-FL-20260720-0068,"October 1, 2025–September 30, 2028 (per document title page)",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-570f99ffa3c34b3c,lane_1,Georgetown,TX,non_safety_comparator,NSCQ-TX-20260720-0073,2019-2024,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-7b104818fbaa3d5a,lane_1,O'Fallon,MO,non_safety_comparator,NSCQ-MO-20260720-0010,effective through December 2024,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-0bdeee010fc1c9a5,lane_1,Fall River,MA,non_safety_comparator,NSCQ-MA-20260720-0046,unclear,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-aa08043751e4841a,lane_1,Nashua,NH,non_safety_comparator,NSCQ-NH-20260720-0005,"July 1, 2022 — June 30, 2026",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-33396eb76ca6e3a0,lane_1,Lawton,OK,non_safety_comparator,NSCQ-OK-20260720-0013,"July 1, 2018 through June 30, 2020 (2 years)",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-ef6d5094c522e244,lane_1,Bryan,TX,non_safety_comparator,NSCQ-TX-20260720-0079,"May 2017 through December 31, 2019",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-44d503e5024b99d8,lane_1,Citrus Heights,CA,non_safety_comparator,NSCQ-CA-20260720-0228,Oct 2023 - June 2026,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-3ba0d976bc03738b,lane_1,Baytown,TX,non_safety_comparator,NSCQ-TX-20260720-0081,2017-2019,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-5164d356e38e0651,lane_1,New Rochelle,NY,non_safety_comparator,NSCQ-NY-20260720-0022,unclear,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-46b12ca5c8204814,lane_1,Cicero,IL,non_safety_comparator,NSCQ-IL-20260720-0218,2021-2025,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-6cea6351171d8228,lane_1,Redwood City,CA,non_safety_comparator,NSCQ-CA-20260720-0256,"AUGUST 26, 2024 – AUGUST 29, 2027",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-6239c2149a943ae2,lane_1,Pharr,TX,non_safety_comparator,NSCQ-TX-20260720-0083,FY 2024-25 through FY 2026-27,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-78021e7433df6085,lane_1,Leander,TX,non_safety_comparator,NSCQ-TX-20260720-0084,unclear,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-ccfe4a2170d1bea5,lane_1,Pasco,WA,non_safety_comparator,NSCQ-WA-20260720-0048,2005-2007,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-32357c06a8a7667e,lane_1,Woodbury,MN,non_safety_comparator,NSCQ-MN-20260720-0017,"2026-2027 (duration clause states Jan 1, 2026 to Dec 31, 2027)",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-90e99e841d93f990,lane_1,Cedar Park,TX,non_safety_comparator,NSCQ-TX-20260720-0086,2021-2024,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-7788720be7a051d6,lane_1,Missouri City,TX,non_safety_comparator,NSCQ-TX-20260720-0088,"August 1, 2023 through September 30, 2024",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-f2dffee0030294c1,lane_1,Lakeville,MN,non_safety_comparator,NSCQ-MN-20260720-0019,"unclear (URL filename suggests 12/31/2026, unverified at scout stage)",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-f7c180a320e73ad5,lane_1,Arlington Heights,IL,non_safety_comparator,NSCQ-IL-20260720-0079,2017-2019,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-1141cdc76435220a,lane_1,Noblesville,IN,non_safety_comparator,NSCQ-IN-20260720-0022,2024-2025,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-8d26ff56c9e98acd,lane_1,St. Charles,MO,non_safety_comparator,NSCQ-MO-20260720-0012,"effective later of date stated / Article 9.05 or ordinance effectiveness; operative period text observed as ending Dec 31, 2022 (start year not confirmed from accessible pages)",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-f75b8d8866f4c435,lane_1,Wilmington,DE,non_safety_comparator,NSCQ-DE-20260720-0001,unclear (wage tables shown with effective dates; full contract term not confirmed in inspected excerpt),tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-3ef6ba7dbd2019cc,lane_1,San Marcos,TX,non_safety_comparator,NSCQ-TX-20260720-0091,2023-2026,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-21be30a77c0d7f80,lane_1,Harlingen,TX,non_safety_comparator,NSCQ-TX-20260720-0093,2021-2024,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-3d169834e5f73034,lane_1,Maple Grove,MN,non_safety_comparator,NSCQ-MN-20260720-0027,"January 1, 2025 through December 31, 2027",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-31a26da778e5299b,lane_1,Tulare,CA,non_safety_comparator,NSCQ-CA-20260720-0299,"July 1, 2024 through June 30, 2027",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-4f5426c919cfe81b,lane_1,Eau Claire,WI,non_safety_comparator,NSCQ-WI-20260720-0010,unclear,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-8f0a5215cd3d44f5,lane_1,Bayonne,NJ,non_safety_comparator,NSCQ-NJ-20260720-0011,2019-2020,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-8f28f02a2d772191,lane_1,East Orange,NJ,non_safety_comparator,NSCQ-NJ-20260720-0013,unclear,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-c449fe7baf77709f,lane_1,Ocala,FL,non_safety_comparator,NSCQ-FL-20260720-0088,10/1/2025 through 9/30/2028,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-bc8e379193a38be9,lane_1,Port Orange,FL,non_safety_comparator,NSCQ-FL-20260720-0102,"October 1, 2017 through September 30, 2020",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-cd0e0b7b4cbef6a7,lane_1,Union City,CA,non_safety_comparator,NSCQ-CA-20260720-0321,"January 1, 2022 to December 31, 2024",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-43a7bda5dc41e3d3,lane_1,Sanford,FL,non_safety_comparator,NSCQ-FL-20260720-0097,"Effective date/duration: starts January 1, 2022 forward; termination/expiration: 'until further notice' (overall CBA integration stated, specific end year not specified in visible lead).",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-6fc7bd6332d74fdd,lane_1,Skokie,IL,non_safety_comparator,NSCQ-IL-20260720-0055,2021-2024,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-a4ed54bdb745e1f2,lane_1,North Little Rock,AR,non_safety_comparator,NSCQ-AR-20260720-0010,"2016 (effective Jan 1, 2016 through Dec 31, 2016; then year-to-year auto-renew unless terminated/modified with 60-day notice)",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-bbf1c58955ae0fea,lane_1,Kyle,TX,non_safety_comparator,NSCQ-TX-20260720-0095,2022-2025,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-5b6f3d5f4ebf9a73,lane_1,Council Bluffs,IA,non_safety_comparator,NSCQ-IA-20260720-0025,"July 1, 2023 through June 30, 2026",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-a3d387dfacca613a,lane_1,Eden Prairie,MN,non_safety_comparator,NSCQ-MN-20260720-0033,2022-2024,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-25c97109cbef4a92,lane_1,Jupiter,FL,non_safety_comparator,NSCQ-FL-20260720-0106,"unclear (operative pay provisions reference FY 2026-2028 and effective dates tied to Oct 1, including 2025/2026/2027/2028 in the proposal; no explicit full contract term located in scout extract)",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-68d1b290122945bd,lane_1,White Plains,NY,non_safety_comparator,NSCQ-NY-20260720-0019,1975-1976,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-150a3037d2a702b2,lane_1,Palm Beach Gardens,FL,non_safety_comparator,NSCQ-FL-20260720-0109,"Oct 1, 2022 – Sep 30, 2025",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-22e1fab404c020ba,lane_1,Lake Havasu City,AZ,non_safety_comparator,NSCQ-AZ-20260720-0023,"July 1, 2013 through June 30, 2014",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-e25b92b3e01196cc,lane_1,Casper,WY,non_safety_comparator,NSCQ-WY-20260720-0005,"July 1, 2024 to June 30, 2025 (operative coverage shown in snippet; wage-setting terms not verified)",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-8f86a0273749c946,lane_1,Midwest City,OK,non_safety_comparator,NSCQ-OK-20260720-0018,FY 2024/2025,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-bfc24c80db5c0792,lane_1,Coconut Creek,FL,non_safety_comparator,NSCQ-FL-20260720-0155,2022-2025 (partial overlap with 2014-2024 anchor years),tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-4ae31befd1e32833,lane_1,Lancaster,PA,non_safety_comparator,NSCQ-PA-20260720-0024,2014-2024 target window,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-819134561f0724b1,lane_1,Winter Haven,FL,non_safety_comparator,NSCQ-FL-20260720-0114,"unclear (snippet indicates CBA expires September 30, 2024, but full operative duration terms not scout-verified)",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-13912260cef0ad37,lane_1,Texas City,TX,non_safety_comparator,NSCQ-TX-20260720-0098,"October 1, 2024 through September 30, 2026",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-5e6e320bf52f86e3,lane_1,Anderson,IN,non_safety_comparator,NSCQ-IN-20260720-0023,unclear,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-81a6e8d9fa136f18,lane_1,Mount Prospect,IL,non_safety_comparator,NSCQ-IL-20260720-0087,2023-2025,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-266b714a620ee6c5,lane_1,Kentwood,MI,non_safety_comparator,NSCQ-MI-20260720-0065,"Effective July 1, 2024 through June 30, 2027",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-a02c4eb1c6e2ebcb,lane_1,Tinley Park,IL,non_safety_comparator,NSCQ-IL-20260720-0060,unclear (see visible_year_evidence),tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-58b3ba0624cc1ff7,lane_1,Plain,OH,non_safety_comparator,NSCQ-OH-20260720-0800,"March 20, 2022 (effective 0700) through March 17, 2025 (expires 0700)",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-4c8a362d3d438185,lane_1,Normal,IL,non_safety_comparator,NSCQ-IL-20260720-0062,"April 1, 2020 - March 31, 2024",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-7312bce46ce4ed1a,lane_1,West New York,NJ,non_safety_comparator,NSCQ-NJ-20260720-0017,1/1/2015–12/31/2019,tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-26add4dbf3da5c40,lane_1,Troy,NY,non_safety_comparator,NSCQ-NY-20260720-0023,2018-2023 (CBA period referenced in MOA) and 2024-2026 (MOA effective term),tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-c39e9da2d894f159,lane_1,Enid,OK,non_safety_comparator,NSCQ-OK-20260720-0017,"effective July 1, 2025 through June 30, 2027 (auto-extends thereafter unless notice given)",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-98e69464d9024892,lane_1,St. Louis Park,MN,non_safety_comparator,NSCQ-MN-20260720-0045,"Jan. 1, 2021 – Dec. 31, 2021",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
TS4-1-a2fc421d92df084c,lane_1,Portage,MI,non_safety_comparator,NSCQ-MI-20260720-0068,"Effective July 1, 2024 through June 30, 2027",tier_1_safety_lead_counterpart_gap,known_safety_lead_non_safety_missing,target_same_or_overlapping_period,true
