quantitative_observation_id,extraction_case_id,mixed_join_key,document_identity_id,text_table_detection_id,source_review_id,candidate_queue_row_id,state,municipality,government_name,unit_type,candidate_source_type,contract_period_start,contract_period_end,page_number,compensation_type,occupation_unit_classification_rank,rate_value,salary_value,hourly_rate,annual_salary,pay_band,step,grade,percentage_increase,effective_date,currency_or_unit,bounded_evidence_pointer,confidence,reason_code,qa_status
qobs_b58f55601bcdbbbd4e66b084,cexrem_06a6c2f877d5523991bffc4e,,doc_1c5ce0b476efdf116092be6d,ttd_76dfee39fe63a1fe2592e985,sr_e280e190518ec5d9e00dc30c,NSCQ-AR-20260720-0012,AR,Hot Springs,CITY OF HOT SPRINGS,fire,wage_schedule_or_compensation_plan,,,1,hourly_rate,4FD,$28.52,,$28.52,,,,A/ Entry,,,$/hour,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0471_sr_e280e190518ec5d9e00dc30c.pdf#page=1,medium,DAILY_TABLE_FIRE_DEPARTMENT_PAY_PLAN_202,provisional_unverified
qobs_cc78cfa6dda8058fe89ab935,cexrem_06a6c2f877d5523991bffc4e,,doc_1c5ce0b476efdf116092be6d,ttd_76dfee39fe63a1fe2592e985,sr_e280e190518ec5d9e00dc30c,NSCQ-AR-20260720-0012,AR,Hot Springs,CITY OF HOT SPRINGS,fire,wage_schedule_or_compensation_plan,,,1,hourly_rate,5FD,$33.21,,$33.21,,,,A/ Entry,,,$/hour,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0471_sr_e280e190518ec5d9e00dc30c.pdf#page=1,medium,DAILY_TABLE_FIRE_DEPARTMENT_PAY_PLAN_202,provisional_unverified
qobs_bd037795a9de01eb249881d1,cexrem_dc7b0801c438edd76a9405b3,mix_1e4fd14810617fa5efa9092d,doc_bc8e8af8bd5e98fa9b84dea8,ttd_cccd410c5a34fab04ed033b4,sr_d60ff4b9d0901c2fb4aa4110,NSCQ-CA-20260720-0022,CA,Bakersfield,CITY OF BAKERSFIELD,fire,cba,,,8,percentage_increase,,,,,,,,,1.0%,"Effective July 8, 2019",,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0136_sr_d60ff4b9d0901c2fb4aa4110.pdf#page=8,medium,ARTICLE1_06_1_GS_1PERCENT_INCREASE_ALL_S,provisional_unverified
qobs_b9161cebec64043f754b4489,cexrem_dc7b0801c438edd76a9405b3,mix_1e4fd14810617fa5efa9092d,doc_bc8e8af8bd5e98fa9b84dea8,ttd_cccd410c5a34fab04ed033b4,sr_d60ff4b9d0901c2fb4aa4110,NSCQ-CA-20260720-0022,CA,Bakersfield,CITY OF BAKERSFIELD,fire,cba,,,8,percentage_increase,,,,,,,,,2.5%,"Effective July 5, 2021",,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0136_sr_d60ff4b9d0901c2fb4aa4110.pdf#page=8,medium,ARTICLE1_06_1_GENERAL_SALARY_INCREASE_2P,provisional_unverified
qobs_14861bf513159c968b4ed4f1,cexrem_f96568a560c125afaeb3d35f,mix_7fa75fa1bd4be22fe082d879,doc_c6abc6dabeaed9ac7c51df04,ttd_2747a81a56c813f2858c7a44,sr_90c2fe897b9b2d05ed41e5d2,NSCQ-CA-20260720-0021,CA,Bakersfield,CITY OF BAKERSFIELD,police,cba,,,4,percentage_increase,,,,,,,,,3.25%,"Effective July 8, 2019",%,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0201_sr_90c2fe897b9b2d05ed41e5d2.pdf#page=4,high,BASE_WAGE_SALARY_RANGE_INCREASE_2019_032,provisional_unverified
qobs_2c9ee96903e3a87d9a0149eb,cexrem_f96568a560c125afaeb3d35f,mix_7fa75fa1bd4be22fe082d879,doc_c6abc6dabeaed9ac7c51df04,ttd_2747a81a56c813f2858c7a44,sr_90c2fe897b9b2d05ed41e5d2,NSCQ-CA-20260720-0021,CA,Bakersfield,CITY OF BAKERSFIELD,police,cba,,,4,percentage_increase,,,,,,,,,CPI increase (west region) for 12 months; not greater than 2.5% or less than 1%,"Effective the pay period including July 1, 2020",%,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0201_sr_90c2fe897b9b2d05ed41e5d2.pdf#page=4,medium,BASE_WAGE_CPI_INDEXING_2020_WEST_REGION_,provisional_unverified
qobs_9ada343fb4b5ef05affdcbb6,cexrem_f96568a560c125afaeb3d35f,mix_7fa75fa1bd4be22fe082d879,doc_c6abc6dabeaed9ac7c51df04,ttd_2747a81a56c813f2858c7a44,sr_90c2fe897b9b2d05ed41e5d2,NSCQ-CA-20260720-0021,CA,Bakersfield,CITY OF BAKERSFIELD,police,cba,,,4,percentage_increase,,,,,,,,,increase equal to CPI for all urban consumers in the west region for the 12-mos,"Effective the pay period including July 1, 2021",%,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0201_sr_90c2fe897b9b2d05ed41e5d2.pdf#page=4,medium,BASE_WAGE_CPI_INDEXING_2021_WEST_REGION,provisional_unverified
qobs_07e6da7b57d0082cf5ef0fb1,cexrem_0d5fa53b153d7e2e6bc9e5e0,mix_e97863440145203680942e89,doc_6f2521e6c87340427ee6d242,ttd_51b8cf615f9d7f56025008ff,sr_e8ffa07154ab72579f9a11dd,NSCQ-CA-20260720-0635,CA,Banning,CITY OF BANNING,police,cba,,,8,percentage_increase,,,,,,,,,floor of 2% and ceiling of 4%,"based on Riverside County CPI for January 2025; period March 28, 2025 to March 7",,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0154_sr_e8ffa07154ab72579f9a11dd.pdf#page=8,medium,COLA1_BASE_PAY_FLOOR_CEILING_AND_CPI_JAN,provisional_unverified
qobs_62d22d10f1fef8f19630cda8,cexrem_0d5fa53b153d7e2e6bc9e5e0,mix_e97863440145203680942e89,doc_6f2521e6c87340427ee6d242,ttd_51b8cf615f9d7f56025008ff,sr_e8ffa07154ab72579f9a11dd,NSCQ-CA-20260720-0635,CA,Banning,CITY OF BANNING,police,cba,,,8,percentage_increase,,,,,,,,,floor of 2% and ceiling of 4%,"based on Riverside County CPI for January 2026; period March 28, 2026 to March 7",,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0154_sr_e8ffa07154ab72579f9a11dd.pdf#page=8,medium,COLA2_BASE_PAY_FLOOR_CEILING_AND_CPI_JAN,provisional_unverified
qobs_816607afa797b8a6786a036f,cexrem_0d5fa53b153d7e2e6bc9e5e0,mix_e97863440145203680942e89,doc_6f2521e6c87340427ee6d242,ttd_51b8cf615f9d7f56025008ff,sr_e8ffa07154ab72579f9a11dd,NSCQ-CA-20260720-0635,CA,Banning,CITY OF BANNING,police,cba,,,8,grade,Officers,,,,,,placement at the step equal to or above current pay plus a 1 step increase,P67 to P70,,"effective March 28, 2024",,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0154_sr_e8ffa07154ab72579f9a11dd.pdf#page=8,medium,GRADE_INCREASE_OFFICERS_P67_P70_WITH_1AD,provisional_unverified
qobs_1e26ad1fb20fd5e5abd5cd51,cexrem_0d5fa53b153d7e2e6bc9e5e0,mix_e97863440145203680942e89,doc_6f2521e6c87340427ee6d242,ttd_51b8cf615f9d7f56025008ff,sr_e8ffa07154ab72579f9a11dd,NSCQ-CA-20260720-0635,CA,Banning,CITY OF BANNING,police,cba,,,8,grade,Corporals,,,,,,placement at the step equal to or above current pay plus a 1 step increase,P71 to P75,,"effective March 28, 2024",,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0154_sr_e8ffa07154ab72579f9a11dd.pdf#page=8,medium,GRADE_INCREASE_CORPORALS_P71_P75_WITH_1A,provisional_unverified
qobs_e4e0fb2e4c7bd771bbac8aad,cexrem_0d5fa53b153d7e2e6bc9e5e0,mix_e97863440145203680942e89,doc_6f2521e6c87340427ee6d242,ttd_51b8cf615f9d7f56025008ff,sr_e8ffa07154ab72579f9a11dd,NSCQ-CA-20260720-0635,CA,Banning,CITY OF BANNING,police,cba,,,8,grade,Sergeants,,,,,,placement at the step equal to or above current pay plus a 1 step increase,P78 to P82,,"effective March 28, 2024",,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0154_sr_e8ffa07154ab72579f9a11dd.pdf#page=8,medium,GRADE_INCREASE_SERGEANTS_P78_P82_WITH_1A,provisional_unverified
qobs_af6341fc198f8c497b969ee5,cexrem_6b61dfa45e8a6c081a62b29b,mix_d73d57d455180b55b2b6c937,doc_f9cd1bbc95e98a6e9d0eef0c,ttd_9051c1e0a2f9872d02acf8f9,sr_8464163e220b283b926c1314,NSCQ-CA-20260720-0601,CA,Bell,CITY OF BELL,police,cba,,,5,salary,Officer,,"5,836.89",,,,Step A,,,"July 1, 2019",,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0231_sr_8464163e220b283b926c1314.pdf#page=5,medium,BASE_SALARY_TABLE_VALUE_FOR_OFFICER_STEP,provisional_unverified
qobs_68689a1cac152bff58e8d347,cexrem_6b61dfa45e8a6c081a62b29b,mix_d73d57d455180b55b2b6c937,doc_f9cd1bbc95e98a6e9d0eef0c,ttd_9051c1e0a2f9872d02acf8f9,sr_8464163e220b283b926c1314,NSCQ-CA-20260720-0601,CA,Bell,CITY OF BELL,police,cba,,,5,salary,Officer,,"6,128.74",,,,Step B,,,"July 1, 2019",,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0231_sr_8464163e220b283b926c1314.pdf#page=5,medium,BASE_SALARY_TABLE_VALUE_FOR_OFFICER_STEP,provisional_unverified
qobs_be925869453d3907b133d528,cexrem_6b61dfa45e8a6c081a62b29b,mix_d73d57d455180b55b2b6c937,doc_f9cd1bbc95e98a6e9d0eef0c,ttd_9051c1e0a2f9872d02acf8f9,sr_8464163e220b283b926c1314,NSCQ-CA-20260720-0601,CA,Bell,CITY OF BELL,police,cba,,,5,salary,Officer,,"6,435.17",,,,Step C,,,"July 1, 2019",,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0231_sr_8464163e220b283b926c1314.pdf#page=5,medium,BASE_SALARY_TABLE_VALUE_FOR_OFFICER_STEP,provisional_unverified
qobs_b7ecf4ff20148b06d18eafc3,cexrem_6b61dfa45e8a6c081a62b29b,mix_d73d57d455180b55b2b6c937,doc_f9cd1bbc95e98a6e9d0eef0c,ttd_9051c1e0a2f9872d02acf8f9,sr_8464163e220b283b926c1314,NSCQ-CA-20260720-0601,CA,Bell,CITY OF BELL,police,cba,,,5,salary,Officer,,"6,756.93",,,,Step D,,,"July 1, 2019",,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0231_sr_8464163e220b283b926c1314.pdf#page=5,medium,BASE_SALARY_TABLE_VALUE_FOR_OFFICER_STEP,provisional_unverified
qobs_705232001cf3f92947d3f192,cexrem_6b61dfa45e8a6c081a62b29b,mix_d73d57d455180b55b2b6c937,doc_f9cd1bbc95e98a6e9d0eef0c,ttd_9051c1e0a2f9872d02acf8f9,sr_8464163e220b283b926c1314,NSCQ-CA-20260720-0601,CA,Bell,CITY OF BELL,police,cba,,,5,salary,Officer,,"7,094.78",,,,Step E,,,"July 1, 2019",,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0231_sr_8464163e220b283b926c1314.pdf#page=5,medium,BASE_SALARY_TABLE_VALUE_FOR_OFFICER_STEP,provisional_unverified
qobs_e90208b5bea36af0cf83c43c,cexrem_7980eafd9321c1fcfee8b73e,mix_e99ab647822d2ee78e64e52f,doc_7a22be9af444b4132ed1a682,ttd_7da20ee9f434479005bb62f5,sr_e93b7d54218fc869b7b200ae,NSCQ-CA-20260720-0516,CA,Campbell,CITY OF CAMPBELL,non_safety,cba,,,3,percentage_increase,,,,,,,,,4%,first full pay period in July 2022,percent,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0088_sr_e93b7d54218fc869b7b200ae.pdf#page=3,high,BASE_WAGE_SCHEDULED_INCREASE_JULY_2022,provisional_unverified
qobs_de76430fc989e047c82c389e,cexrem_7980eafd9321c1fcfee8b73e,mix_e99ab647822d2ee78e64e52f,doc_7a22be9af444b4132ed1a682,ttd_7da20ee9f434479005bb62f5,sr_e93b7d54218fc869b7b200ae,NSCQ-CA-20260720-0516,CA,Campbell,CITY OF CAMPBELL,non_safety,cba,,,3,percentage_increase,,,,,,,,,4%,first full pay period in July 2023,percent,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0088_sr_e93b7d54218fc869b7b200ae.pdf#page=3,high,BASE_WAGE_SCHEDULED_INCREASE_JULY_2023,provisional_unverified
qobs_5be9934c45da66f9f2b63fc9,cexrem_7980eafd9321c1fcfee8b73e,mix_e99ab647822d2ee78e64e52f,doc_7a22be9af444b4132ed1a682,ttd_7da20ee9f434479005bb62f5,sr_e93b7d54218fc869b7b200ae,NSCQ-CA-20260720-0516,CA,Campbell,CITY OF CAMPBELL,non_safety,cba,,,3,percentage_increase,,,,,,,,,3%,first full pay period in July 2024,percent,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0088_sr_e93b7d54218fc869b7b200ae.pdf#page=3,high,BASE_WAGE_SCHEDULED_INCREASE_JULY_2024,provisional_unverified
qobs_f63be54a2d3a3944fe2570c7,cexrem_7980eafd9321c1fcfee8b73e,mix_e99ab647822d2ee78e64e52f,doc_7a22be9af444b4132ed1a682,ttd_7da20ee9f434479005bb62f5,sr_e93b7d54218fc869b7b200ae,NSCQ-CA-20260720-0516,CA,Campbell,CITY OF CAMPBELL,non_safety,cba,,,3,percentage_increase,,,,,,,,,0.57%,first full pay period in July 2022 (Recreation Supervisor),percent,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0088_sr_e93b7d54218fc869b7b200ae.pdf#page=3,medium,BASE_WAGE_MARKET_ADJUSTMENT_0_57_PERCENT,provisional_unverified
qobs_746f05971cb59267acb6f2d6,cexrem_e31361e568106f7578e6139a,,doc_b450f8a62bcabc16e986cf0d,ttd_f2f43345f053b18c2f5aa924,sr_92387577f0bdf101b83c02fc,NSCQ-CA-20260720-0517,CA,Campbell,CITY OF CAMPBELL,non_safety,cba,,,5,percentage_increase,,,,,,,,,4%,"first full pay period including July 1, 2022",percent,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0265_sr_92387577f0bdf101b83c02fc.pdf#page=5,high,BASE_WAGE_SALARY_INCREASE_4_PERCENT,provisional_unverified
qobs_e708bf98f49c05e150f665e7,cexrem_9b0dfdf283a704a24f5bb4a9,mix_6481a6cfa94231e41bf5c88d,doc_b844fd597043514af40d75d0,ttd_7cee04a2fdb4f3a5ebc8e938,sr_330099fef71d4920a4c02a0f,NSCQ-CA-20260720-0050,CA,Chico,CITY OF CHICO,police,cba,,,22,percentage_increase,,,,,,,,,15%,first full pay period of July 2023,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0090_sr_330099fef71d4920a4c02a0f.pdf#page=22,high,BASE_PAY_SCHEDULE_INCREASE_JULY_2023,provisional_unverified
qobs_8b8c0e3ed19e9975c581e305,cexrem_9b0dfdf283a704a24f5bb4a9,mix_6481a6cfa94231e41bf5c88d,doc_b844fd597043514af40d75d0,ttd_7cee04a2fdb4f3a5ebc8e938,sr_330099fef71d4920a4c02a0f,NSCQ-CA-20260720-0050,CA,Chico,CITY OF CHICO,police,cba,,,22,percentage_increase,,,,,,,,,5%,2022 MOU-CPOA agreed-upon general salary increase (referenced in July 2023 comp),,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0090_sr_330099fef71d4920a4c02a0f.pdf#page=22,medium,BASE_PAY_IN_ADDITION_TO_2022_GENERAL_IN_,provisional_unverified
qobs_86d8db81ac9a72c5ce2372e8,cexrem_9b0dfdf283a704a24f5bb4a9,mix_6481a6cfa94231e41bf5c88d,doc_b844fd597043514af40d75d0,ttd_7cee04a2fdb4f3a5ebc8e938,sr_330099fef71d4920a4c02a0f,NSCQ-CA-20260720-0050,CA,Chico,CITY OF CHICO,police,cba,,,22,percentage_increase,,,,,,,,,2%,first full pay period of July 2024,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0090_sr_330099fef71d4920a4c02a0f.pdf#page=22,high,BASE_PAY_SCHEDULE_INCREASE_JULY_2024,provisional_unverified
qobs_7befee0765f547277f3e395e,cexrem_9b0dfdf283a704a24f5bb4a9,mix_6481a6cfa94231e41bf5c88d,doc_b844fd597043514af40d75d0,ttd_7cee04a2fdb4f3a5ebc8e938,sr_330099fef71d4920a4c02a0f,NSCQ-CA-20260720-0050,CA,Chico,CITY OF CHICO,police,cba,,,22,percentage_increase,,,,,,,,,2%,first full pay period of July 2025,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0090_sr_330099fef71d4920a4c02a0f.pdf#page=22,high,BASE_PAY_SCHEDULE_INCREASE_JULY_2025,provisional_unverified
qobs_e195d73a55ad4a85b30c9dee,cexrem_9b0dfdf283a704a24f5bb4a9,mix_6481a6cfa94231e41bf5c88d,doc_b844fd597043514af40d75d0,ttd_7cee04a2fdb4f3a5ebc8e938,sr_330099fef71d4920a4c02a0f,NSCQ-CA-20260720-0050,CA,Chico,CITY OF CHICO,police,cba,,,22,percentage_increase,,,,,,,,,closest to 5% (no less than 4.5%),,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0090_sr_330099fef71d4920a4c02a0f.pdf#page=22,medium,PROMOTIONS_EFFECT_ON_BASIC_PAY_CLOSEST_T,provisional_unverified
qobs_cadfea0c85c9e80a7fa13bf7,cexrem_262ac925a59969e8a18a765e,,doc_3f0d021683bbb25f21b82af3,ttd_15e493ad52dc1efa4013b4df,sr_1f02ab58777902eb58c9cc35,NSCQ-CA-20260720-0087,CA,Corona,CITY OF CORONA,fire,cba,,,5,percentage_increase,,,,,,,,,5.49%,"beginning of the pay period following January 1, 2022",base rate of pay,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0166_sr_1f02ab58777902eb58c9cc35.pdf#page=5,high,MOU_CH2_3_2022_BASE_RATE_INCREASE_5_49,provisional_unverified
qobs_1d1fd05d14dc3607749dbfb7,cexrem_262ac925a59969e8a18a765e,,doc_3f0d021683bbb25f21b82af3,ttd_15e493ad52dc1efa4013b4df,sr_1f02ab58777902eb58c9cc35,NSCQ-CA-20260720-0087,CA,Corona,CITY OF CORONA,fire,cba,,,5,percentage_increase,,,,,,,,,5.49%,"beginning of the pay period following January 1, 2023",base rate of pay,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0166_sr_1f02ab58777902eb58c9cc35.pdf#page=5,high,MOU_CH2_3_2023_BASE_RATE_INCREASE_5_49,provisional_unverified
