"candidate_id","city","source_owner","unit","approximate_date","document_title","source_url","document_type","public_access_status","wage_reasoning_signal","comparability_signal","likely_corpus_destination","priority","next_action","notes"
"somerville_seu_unit_a_2025_cba","Somerville","Somerville Educators Union / School Committee","Unit A educators","2025-2028","Unit A Integrated CBA 2025-2028 Fully Executed Final","https://drive.google.com/uc?id=1yjX65L_9xWjqNysiA5MHrvyaWQh2mvOB&export=download","cba","public_google_drive","medium","contract_cost_only","causal_candidate","P3","Defer unless future Somerville educator CBA expansion is requested.","Clean public CBA, but ordinary contract text."
"somerville_seu_unit_c_2025_cba","Somerville","Somerville Educators Union / School Committee","Unit C paraprofessionals","2025-2028","Unit C Integrated CBA 2025-2028 Fully Executed Final","https://drive.google.com/uc?id=13ox8kBJjsVbbR803-j2AUCnM6hkMajc2&export=download","cba","public_google_drive","medium","contract_cost_only","causal_candidate","P3","Defer unless future Somerville educator CBA expansion is requested.","Clean public CBA, but not an award/factfinding reasoning document."
"somerville_seu_unit_d_scale_cba","Somerville","Somerville Educators Union / School Committee","Unit D / SCALE","2025-2028","Executed SEU Unit D-SCALE Integrated CBA","https://drive.google.com/uc?id=1X_j0LPR9hX5oZnDsfEPyyQUScoaUA1Gn&export=download","cba","public_google_drive","medium","contract_cost_only","causal_candidate","P3","Defer unless future Somerville educator CBA expansion is requested.","Clean public CBA."
"somerville_seu_unit_e_2025_cba","Somerville","Somerville Educators Union / School Committee","Unit E","2025-2028","Unit E Integrated CBA 2025-2028 Fully Executed Final","https://drive.google.com/uc?id=1tkECkPSgmBWlIR6N3vZJpiEAMtILt9qI&export=download","cba","public_google_drive","medium","contract_cost_only","causal_candidate","P3","Defer unless future Somerville educator CBA expansion is requested.","Clean public CBA."
"somerville_school_committee_materials_folder","Somerville","Somerville Public Schools / School Committee","educators","2022 and 2025 targets","School Committee meeting-material folders","https://somerville.k12.ma.us/district-leadership/somerville-school-committee/school-committee-meetings","meeting_packet","public_index_only","low","unclear","acquisition_lead_only","P2","Target specific ratification packets only; do not crawl broadly.","Route may contain fiscal-impact or settlement-vote attachments."
"somerville_seu_board_minutes_folders","Somerville","Somerville Educators Union","educators","multiple years","SEU Board Minutes folders","https://sites.google.com/somervilleeducators.com/somerville-educators-union/board-meetings/minutes","meeting_packet","public_google_drive","low","unclear","acquisition_lead_only","P3","Use only if a specific public source document is linked; do not crawl broadly.","Minutes route is a lead, not current evidence."
"somerville_seu_2022_2025_contracts","Somerville","Somerville Educators Union / School Committee","educators","2022-2025","SEU 2022-2025 contracts or MOAs","https://sites.google.com/somervilleeducators.com/somerville-educators-union/member-resources/contracts","cba","not_found","none","unclear","acquisition_lead_only","defer","Recheck only if 2022 exact-cycle match becomes priority.","Current public contracts page surfaced 2025-2028 materials during this pass."
"boston_bps_btu_negotiations_page","Boston","Boston Public Schools","BTU educators / paraprofessionals","2024-2025","BTU contract negotiations page","https://www.bostonpublicschools.org/school-committee/btu-contract-negotiations","bargaining_update","public_html","high","peer_wage_comparison","mechanism_proxy","P1","Use as primary public non-safety peer-wage mechanism lead; do not ingest into contracts.csv.","Contains surrounding-district teacher salary comparison and wage-proposal rationale."
"boston_btu_cba_presentation_2025","Boston","Boston Public Schools","BTU educators / paraprofessionals","2025-04-16","FINAL April 16 2025 BTU CBA School Committee Presentation","https://resources.finalsite.net/images/v1744817505/bostonpublicschoolsorg/xur4pktuwowr7kgoeiow/FINALApril162025BTUCBAPresentation.pdf","school_committee_presentation","direct_pdf","high","general_wage_rationale","mechanism_proxy","P1","Retain as public presentation evidence; do not ingest.","Shows wage package, low-wage worker increases, staffing, and appropriation next steps."
"boston_btu_bargaining_updates_index","Boston","Boston Teachers Union","BTU educators / paraprofessionals","2024-2025","Boston Public Schools Bargaining Updates","https://btu.org/contract-bargaining-updates/","bargaining_update","public_html","medium","general_wage_rationale","mechanism_proxy","P2","Use as route to targeted public updates only.","Index confirms public bargaining-update archive; simple fetch of targeted pages yielded limited clean body text."
"boston_btu_contracts_page","Boston","Boston Teachers Union","BTU educators","current public page","BTU contracts page","https://btu.org/contracts/","cba","public_html","low","none","acquisition_lead_only","P3","Defer unless final BTU CBA ingestion is requested.","Contract route, not mechanism evidence."
"boston_bps_salary_grids_cbas_index","Boston","Boston Public Schools Office of Human Resources","multiple non-safety units","current public page","Salary Grids and CBAs","https://ohr.bostonpublicschools.org/careers1/salary-grids-cbas","salary_schedule","public_html","medium","contract_cost_only","acquisition_lead_only","P2","Use for future bounded Boston CBA expansion only.","Includes BTU, BASAS, lunch monitor, cafeteria, custodial, bus monitor, and administrative guild routes."
"boston_bps_non_safety_cba_links","Boston","Boston Public Schools Office of Human Resources","cafeteria / custodial / bus monitor / administrative guild","multiple cycles","BPS non-safety CBA links","https://ohr.bostonpublicschools.org/careers1/salary-grids-cbas","cba","public_index_only","low","none","acquisition_lead_only","P3","Verify individual documents only if Boston non-safety CBA expansion becomes priority.","Index route to possible CBA leads; does not itself resolve the non-safety reasoning gap."
