document_identity_id,candidate_queue_row_id,text_table_detection_id,state,municipality,government_name,unit_type,contract_period_start,contract_period_end,negotiation_cycle_id,city_unit_negotiation_cycle_key,matched_set_id,cycle_bridge_status,cycle_source_fields,exact_period_pair_count,residual_cycle_bridge_status,residual_cycle_support_fields,residual_cycle_exact_evidence,residual_cycle_exact_evidence_sha256
doc_0204ad65859ef7655f0afd53,NSCQ-AK-20260720-0017,ttd_49f5982012a31b1e4bd435e1,AK,Ketchikan,CITY OF KETCHIKAN,fire,2025-01-01,2027-12-31,cycle_b5878a66fb28c271e922cc19,cuc_966685fe4b7f64f68c93a79c,,established_single_exact_pair,candidate_queue.contract_years_scouted,1,preserved_prior_exact_cycle,,,
doc_021eacc134544dddd03eb53c,NSCQ-OH-20260720-0132,ttd_f9f68b0882f1300d5a6c28a7,OH,North Olmsted,CITY OF NORTH OLMSTED,police,,,,,,quarantined_no_exact_full_date_pair,,0,quarantined_no_exact_full_date_pair_in_bounded_structured_metadata,,,
doc_022928c6f0d8277e9cbe0e3e,NSCQ-CA-20260720-0267,ttd_a5c6954796c9433f51dad1a0,CA,Tustin,CITY OF TUSTIN,police,2021-07-01,2024-06-30,cycle_806d842408142621690806b5,cuc_2f5077116df6c31c5625e42e,match_806d842408142621690806b5,established_single_exact_pair,candidate_queue.contract_years_scouted|text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
doc_0244767252df4273d6a4366b,NSCQ-OH-20260720-0240,ttd_9becf7a975e4d6498f4d8b9c,OH,South Euclid,CITY OF SOUTH EUCLID,fire,2021-01-01,2023-12-31,cycle_aeee85ed11ff56e4f190e66c,cuc_855f21acd4aba65d62393afd,match_aeee85ed11ff56e4f190e66c,established_single_exact_pair,candidate_queue.contract_years_scouted|candidate_queue.visible_year_evidence|text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
doc_0264a120be1bb93d010753a7,NSCQ-CA-20260720-0042,ttd_8af4bebcbbcc2b99eae8b9b4,CA,Santa Rosa,CITY OF SANTA ROSA,fire,2021-07-01,2024-06-30,cycle_71f76d5e5fdd3eea82453b6c,cuc_f05acc1221d3961568f18491,,established_single_exact_pair,text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
doc_026927b3d41346fa915e3ba4,NSCQ-IL-20260720-0219,ttd_ac651ce20a584d7000ae168d,IL,Bartlett,VILLAGE OF BARTLETT,police,2018-05-01,2021-04-30,cycle_3c79f6207173c5cf6095b8eb,cuc_7da44fbd781e8565bcbcf11d,,established_single_exact_pair,candidate_queue.contract_years_scouted,1,preserved_prior_exact_cycle,,,
doc_02a95f05841194513f8d7a7c,NSCQ-CA-20260720-0429,ttd_2dd18fed31bed69736e37386,CA,Glendora,CITY OF GLENDORA,non_safety,2023-09-01,2026-08-31,cycle_2ec985655973cda4f7511231,cuc_534dfe276c2962d630131092,,established_single_exact_pair,candidate_queue.contract_years_scouted,1,preserved_prior_exact_cycle,,,
doc_02b2fa3c25b8c8961594b650,NSCQ-MT-20260720-0025,ttd_294967b35b523a4c83cc9185,MT,Belgrade,CITY OF BELGRADE,police,2025-07-01,2028-06-30,cycle_b9b12d8263296e04cbc53e06,cuc_0cf98118b8fb4a52deac7982,,established_single_exact_pair,candidate_queue.contract_years_scouted|text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
doc_02c0c9cf75873b9720b83cb8,NSCQ-MA-20260720-0158,ttd_979440ff7e6f988d2a4ba2b7,MA,Winthrop Town,CITY OF WINTHROP TOWN,non_safety,2005-07-01,2008-06-30,cycle_f587410e42429d56859042a1,cuc_cea72ecca986a230d996a803,,established_single_exact_pair,candidate_queue.contract_years_scouted|text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
doc_02cec9f0111f5a978cc48ab1,NSCQ-PA-20260720-0009,ttd_925ce8259fce7aa521a1f75d,PA,Allentown,CITY OF ALLENTOWN,fire,,,,,,quarantined_no_exact_full_date_pair,,0,quarantined_no_exact_full_date_pair_in_bounded_structured_metadata,,,
doc_02e040ab70a9eab9ecea108c,NSCQ-IL-20260720-0012,ttd_7299afdb7bf850bc30ba652d,IL,Springfield,CITY OF SPRINGFIELD,non_safety,2020-05-01,2025-04-30,cycle_32e8cb05cdbd5ab7105c59c8,cuc_d133d59d079f33b088fce849,,established_single_exact_pair,candidate_queue.contract_years_scouted|text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
doc_02ee034e039b6a8cee52c08b,NSCQ-OH-20260720-0348,ttd_242b3b319015284092c60325,OH,Niles,CITY OF NILES,non_safety,2022-01-01,2024-12-31,cycle_6cd3de9011739bfb2bfa11db,cuc_ef359d143281d32aae2d60f6,,established_single_exact_pair,candidate_queue.contract_years_scouted,1,preserved_prior_exact_cycle,,,
doc_0325899cb21bd9f00b728eb8,NSCQ-NH-20260720-0019,ttd_d91e66364052f0c0ae10c962,NH,Dover,CITY OF DOVER,non_safety,2021-07-01,2024-06-30,cycle_ea8c0735de62d409365f59ae,cuc_3db4d147852abdcc804b9a75,match_ea8c0735de62d409365f59ae,established_single_exact_pair,text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
doc_032ab3eb92cd7ac1814f13a9,NSCQ-WI-20260720-0041,ttd_4952ef58bd79c81e7c31dc1e,WI,Fond du Lac,CITY OF FOND DU LAC,fire,2022-01-01,2025-12-31,cycle_41781be5228643614020de59,cuc_51a22ee46ff0c9dc454ce10a,,established_single_exact_pair,candidate_queue.contract_years_scouted|text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
doc_032ec138ab96d8e495bb72c3,NSCQ-AK-20260720-0012,ttd_fbd5fadbb062e75ec84aacaa,AK,Wasilla,CITY OF WASILLA,non_safety,2014-07-01,2017-06-30,cycle_8ff5c688587dc6f5c46031a3,cuc_f9858d622c7d83cee7f48f20,,established_single_exact_pair,candidate_queue.contract_years_scouted,1,preserved_prior_exact_cycle,,,
doc_03b6f85240ee47948d6d4343,NSCQ-OH-20260720-0130,ttd_6d0cbf2d447fb1910d340fec,OH,Stow,CITY OF STOW,non_safety,2022-01-01,2024-12-31,cycle_28c32c4cce2611ef56d0d54a,cuc_740790fd20aa8bb2b05387ac,match_28c32c4cce2611ef56d0d54a,established_single_exact_pair,,0,established_single_exact_pair_from_explicit_cycle_metadata,candidate_queue.cycle_match_notes,"Jan 1, 2022 through Dec 31, 2024",1f3825367ae18d243c62424cebdfb2eb37066d978872e757a581b593f1b477e8
doc_03d9f6bf16f23edc6190919c,NSCQ-WA-20260720-0151,ttd_22f64f3afd4f65ac49242941,WA,Anacortes,CITY OF ANACORTES,fire,2022-01-01,2025-12-31,cycle_909e331f5bf6d0e1b68f776e,cuc_62a33f937fd0c02e88cd5870,,established_single_exact_pair,text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
doc_0465abc1d0ebb6a5902f5b36,NSCQ-IL-20260720-0125,ttd_694e34251166116184c5613b,IL,Carpentersville,VILLAGE OF CARPENTERSVILLE,non_safety,2022-01-01,2024-12-31,cycle_8c645d935c7d9812d8ce8983,cuc_2e23b4ad92fa116971fd1f62,,established_single_exact_pair,candidate_queue.contract_years_scouted|text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
doc_046f3891685a7013d3f9837d,NSCQ-OH-20260720-0755,ttd_7a8cb857315413e58db09fea,OH,Moraine,CITY OF MORAINE,police,2018-05-27,2021-05-29,cycle_b6dcc8ea22bfc546dde69f9d,cuc_3b188ce3bbdc47788e5713ec,,established_single_exact_pair,,0,established_single_exact_pair_from_explicit_cycle_metadata,candidate_queue.cycle_match_notes,"May 27, 2018 through May 29, 2021",050f60c94adbcc07e3b7900ec9cfc88d8f77368626a80bc7bbd7d6a17df25599
doc_0489000e761db9eca0aeb2da,NSCQ-OH-20260720-0252,ttd_8437063d32ddbe7733902f53,OH,Painesville,CITY OF PAINESVILLE,police,2009-04-01,2012-03-31,cycle_c7c038e30f67e0c59e48156f,cuc_36fd3bc1deaa9fa4ed3c350b,,established_single_exact_pair,candidate_queue.contract_years_scouted,1,preserved_prior_exact_cycle,,,
doc_04a3577a67910e7b33c250d4,NSCQ-OK-20260720-0009,ttd_a147f01b5ce620b2873c6853,OK,Norman,CITY OF NORMAN,police,2023-07-01,2025-06-30,cycle_9417088565538ff5f147078d,cuc_0834f916517ca39cefeee2aa,,established_single_exact_pair,text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
doc_04ad2b80d7b2698b1274d178,NSCQ-CO-20260720-0021,ttd_42548472695373c03373b3ef,CO,Brighton,CITY OF BRIGHTON,non_safety,,,,,,quarantined_no_exact_full_date_pair,,0,quarantined_no_exact_full_date_pair_in_bounded_structured_metadata,,,
doc_04bb5286fdf302366c2b1f83,NSCQ-IL-20260720-0253,ttd_95cdf07630b559dca940ca7b,IL,Homer Glen,VILLAGE OF HOMER GLEN,non_safety,2022-05-01,2026-04-30,cycle_d702e7fcae988f45ccdd8b68,cuc_cf4cb2be51663c4ae17cee63,,established_single_exact_pair,candidate_queue.contract_years_scouted,1,preserved_prior_exact_cycle,,,
doc_04f12d902d6e4e983844ae8b,NSCQ-MN-20260720-0014,ttd_ec34d7978abf7b0f7a0ad879,MN,Duluth,CITY OF DULUTH,non_safety,,,,,,quarantined_no_exact_full_date_pair,,0,quarantined_no_exact_full_date_pair_in_bounded_structured_metadata,,,
doc_052cd5da69634b43c60b89c5,NSCQ-TX-20260720-0079,ttd_c6dd2d07d5023b5bae0ecbd3,TX,Bryan,CITY OF BRYAN,fire,,,,,,quarantined_no_exact_full_date_pair,,0,quarantined_no_exact_full_date_pair_in_bounded_structured_metadata,,,
doc_052d35483c771b0535ac993f,NSCQ-MA-20260720-0110,ttd_e185a4d682549841cbcc4016,MA,Marlborough,CITY OF MARLBOROUGH,fire,2021-07-01,2024-06-30,cycle_6c64ae569c06de63ab3e84f6,cuc_53fc6786749bb5b9c1670361,,established_single_exact_pair,candidate_queue.contract_years_scouted|text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
doc_054a6af95f12a12431368490,NSCQ-NY-20260720-0089,ttd_fbca72d2ac15b1b2c028d91b,NY,Plattsburgh,CITY OF PLATTSBURGH,non_safety,2015-07-01,2018-06-30,cycle_7fb0b6dd6c6c4d8e367495ea,cuc_86d05f2cd175c12239fa4301,,established_single_exact_pair,candidate_queue.contract_years_scouted|text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
doc_0552704caf68568641fa7f14,NSCQ-MI-20260720-0026,ttd_dcab1abb2b421c7f336a5ca0,MI,Midland,CITY OF MIDLAND,non_safety,2023-07-01,2026-06-30,cycle_747ca6cf1ea5dfcb7f372a22,cuc_eaff61832db2b553266e4a77,,established_single_exact_pair,candidate_queue.contract_years_scouted|text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
doc_05846987cebc241be3b400d0,NSCQ-OR-20260720-0111,ttd_45873d3d17895009e207a8ef,OR,Ontario,CITY OF ONTARIO,non_safety,,,,,,quarantined_no_exact_full_date_pair,,0,quarantined_no_exact_full_date_pair_in_bounded_structured_metadata,,,
doc_05a50ba88af6a8e7ef44ab85,NSCQ-MS-20260720-0007,ttd_9e770c3f592d278fb4f31272,MS,Biloxi,CITY OF BILOXI,non_safety,,,,,,quarantined_no_exact_full_date_pair,,0,quarantined_no_exact_full_date_pair_in_bounded_structured_metadata,,,
doc_05a7886aee9b42297167c5cd,NSCQ-MN-20260720-0060,ttd_5e8e84d7483b9816da046526,MN,Savage,CITY OF SAVAGE,non_safety,2023-01-01,2025-12-31,cycle_1b238af8cfbfc2601c69cbfd,cuc_56dfc8b2b3b8f2c047e76aee,,established_single_exact_pair,candidate_queue.contract_years_scouted|text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
doc_05ae94499158f877b817c17f,NSCQ-MN-20260720-0012,ttd_eb174a76d03767000b80953b,MN,Duluth,CITY OF DULUTH,police,,,,,,quarantined_no_exact_full_date_pair,,0,quarantined_no_exact_full_date_pair_in_bounded_structured_metadata,,,
doc_05bb560aa9034e679cd20109,NSCQ-OH-20260720-0696,ttd_ebca6b17447fffa24758caa5,OH,Fairlawn,CITY OF FAIRLAWN,fire,2020-01-01,2022-12-31,cycle_5ba8ec56e223ea90a263e25b,cuc_d607df31c5dfc942e7ed7777,,established_single_exact_pair,candidate_queue.contract_years_scouted,1,preserved_prior_exact_cycle,,,
doc_05c62080ba0f61fd87437d0d,NSCQ-CA-20260720-0394,ttd_e7de2fa959f1cdd12ba3e87e,CA,San Bruno,CITY OF SAN BRUNO,police,2026-01-01,2029-06-30,cycle_93b3d7449823fac88220d198,cuc_80e703fd5b6737e78750a6a5,,established_single_exact_pair,candidate_queue.contract_years_scouted|text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
doc_060db59a973dc63a06125293,NSCQ-CA-20260720-0085,ttd_f11c1fbea385518e998e2d43,CA,Garden Grove,CITY OF GARDEN GROVE,non_safety,2019-07-01,2022-06-30,cycle_be7b6271eefb265ede1f488c,cuc_dbea7f7b2b22a2090e4ac0ad,,established_single_exact_pair,,0,established_single_exact_pair_from_explicit_cycle_metadata,candidate_queue.cycle_match_notes,"July 1, 2019 through June 30, 2022",b95d6d290d118de39fd1e7b7b3aaadad45d0cd802ef38a9365358477f5fc496b
doc_0612737cb3a4077bdea38639,NSCQ-OH-20260720-0123,ttd_535211fdda1d5955a66f49f8,OH,Mason,CITY OF MASON,police,2020-08-01,2023-07-31,cycle_dab6964461e0f92b6fc47e7c,cuc_2d6a3c47e6e9afd3973d7fb2,,established_single_exact_pair,candidate_queue.contract_years_scouted,1,preserved_prior_exact_cycle,,,
doc_065a39ebc7e0b8d966482356,NSCQ-MA-20260720-0100,ttd_11cc9d75a067349da0e43602,MA,Attleboro,CITY OF ATTLEBORO,non_safety,2023-07-01,2026-06-30,cycle_2b67fdfb3a133ef03689fbdc,cuc_63802ab4681d244cd86cfa1a,match_2b67fdfb3a133ef03689fbdc,established_single_exact_pair,candidate_queue.contract_years_scouted|candidate_queue.visible_year_evidence|text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
doc_06603920ebc913f3f6afe1c8,NSCQ-MI-20260720-0107,ttd_5152ab99181d22d564ae4964,MI,Hamtramck,CITY OF HAMTRAMCK,fire,2024-01-01,2027-12-31,cycle_adc0cc65f48d3a35ea661584,cuc_f337714756fe875ff36ff054,,established_single_exact_pair,candidate_queue.contract_years_scouted|text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
doc_06732dab57ddb71b8c3640c6,NSCQ-CA-20260720-0039,ttd_93f5a59de798d1e54fab85fe,CA,Modesto,CITY OF MODESTO,fire,2024-07-01,2028-06-30,cycle_d03f79dd8e9c4d4a6d1f5d2c,cuc_0e4a964b1831b0adc4d5d126,,established_single_exact_pair,candidate_queue.contract_years_scouted|text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
doc_0678588a7325ca6be975d921,NSCQ-WA-20260720-0173,ttd_99d8234acb4d52b175e1cd24,WA,Tukwila,CITY OF TUKWILA,police,,,,,,quarantined_no_exact_full_date_pair,,0,quarantined_no_exact_full_date_pair_in_bounded_structured_metadata,,,
doc_06b718cb90e09c0cdcd92864,NSCQ-IL-20260720-0077,ttd_dd427968c7e3d16189f9862f,IL,Arlington Heights,VILLAGE OF ARLINGTON HEIGHTS,police,,,,,,quarantined_no_exact_full_date_pair,,0,quarantined_no_exact_full_date_pair_in_bounded_structured_metadata,,,
doc_06d3efc56d5928f6f34191cd,NSCQ-MN-20260720-0117,ttd_a7ca0dde0ef19ad10047f56c,MN,Golden Valley,CITY OF GOLDEN VALLEY,police,2025-01-01,2026-12-31,cycle_75bd070c516b8aedaba3af56,cuc_4545be56651f58ed07c788e2,match_75bd070c516b8aedaba3af56,established_single_exact_pair,candidate_queue.contract_years_scouted,1,preserved_prior_exact_cycle,,,
doc_06f128c85be3e2229ac6dc86,NSCQ-OH-20260720-0677,ttd_9a66d5df8f82ce17dd124331,OH,Bellbrook,CITY OF BELLBROOK,police,2017-08-01,2020-07-31,cycle_f2f6dc1efb58276b179cd9f1,cuc_cb26b4423f18801b7a079de1,,established_single_exact_pair,candidate_queue.contract_years_scouted,1,preserved_prior_exact_cycle,,,
doc_0708e524fbdbc4c8d01999a0,NSCQ-OH-20260720-0187,ttd_add19f1db87093f452dddc8e,OH,Wadsworth,CITY OF WADSWORTH,police,2022-01-01,2024-12-31,cycle_c4bda589a1dd8a6e001e51a4,cuc_83d90d29109916c8aa51524b,,established_single_exact_pair,candidate_queue.contract_years_scouted,1,preserved_prior_exact_cycle,,,
doc_075dd1368b9c28b420176b7a,NSCQ-OH-20260720-0255,ttd_68a92de7f4833f61f8dcb11a,OH,Parma Heights,CITY OF PARMA HEIGHTS,police,2021-01-01,2021-12-31,cycle_cc55cb84dc6f9d3009467275,cuc_da755a6cc2429428dffd0129,,established_single_exact_pair,candidate_queue.contract_years_scouted|candidate_queue.visible_year_evidence|text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
doc_07a25ff891920b4d732a180c,NSCQ-CO-20260720-0012,ttd_f540ed99a9b2bfa9aa8c9066,CO,Greeley,CITY OF GREELEY,police,2022-01-01,2024-12-31,cycle_b67b1ff3e09025898c33ee24,cuc_f48244c0419c46e8714a672c,,established_single_exact_pair,candidate_queue.contract_years_scouted|text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
doc_07c571f514fbd5c8dcddfce1,NSCQ-MT-20260720-0042,ttd_f03426b4892b87d38a790bf0,MT,Whitefish,CITY OF WHITEFISH,police,2018-07-01,2021-06-30,cycle_482379cc2cc415d7f0f80e15,cuc_d3c42bbac7352ceb4a15d62f,,established_single_exact_pair,candidate_queue.contract_years_scouted|candidate_queue.visible_year_evidence|text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
doc_07dae4b5dd69bd179a27c43b,NSCQ-OH-20260720-0072,ttd_c267211a10504ef011a74567,OH,Pickerington,CITY OF PICKERINGTON,non_safety,,,,,,quarantined_no_exact_full_date_pair,,0,quarantined_no_exact_full_date_pair_in_bounded_structured_metadata,,,
doc_081030ab42a8023c034d183a,NSCQ-OH-20260720-0720,ttd_8694fb252acee96b428bb3e5,OH,Kirtland,CITY OF KIRTLAND,police,,,,,,quarantined_no_exact_full_date_pair,,0,quarantined_no_exact_full_date_pair_in_bounded_structured_metadata,,,
doc_085e552af3785ac59004ef05,NSCQ-CA-20260720-0230,ttd_c0a16838f2c15ada3803a0f7,CA,San Leandro,CITY OF SAN LEANDRO,police,2023-01-01,2028-06-30,cycle_de67bb84a8f96fe440c89378,cuc_a66d56d90725ebec33ddf972,match_de67bb84a8f96fe440c89378,established_single_exact_pair,candidate_queue.contract_years_scouted|text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
doc_089f5024f853c8d25f683744,NSCQ-CT-20260720-0061,ttd_0b141ffac96904f0b9f0ca38,CT,Manchester,TOWN OF MANCHESTER,fire,2023-07-01,2025-06-30,cycle_ba2c15f443e53f432983250c,cuc_64fddeff318002616f1d7a7d,,established_single_exact_pair,candidate_queue.contract_years_scouted,1,preserved_prior_exact_cycle,,,
doc_08b5ba425cdc6e33796d5932,NSCQ-NE-20260720-0025,ttd_32fb95b1da28c3c58fa2a2d9,NE,Scottsbluff,CITY OF SCOTTSBLUFF,non_safety,,,,,,quarantined_no_exact_full_date_pair,,0,quarantined_no_exact_full_date_pair_in_bounded_structured_metadata,,,
doc_08e9104b0d41f69d83a7d185,NSCQ-WA-20260720-0138,ttd_d0c4a4c9dfaa1ec82d24a7cb,WA,Bonney Lake,CITY OF BONNEY LAKE,non_safety,2021-01-01,2023-12-31,cycle_5334b66553b41a160a7d03b6,cuc_9c4cb3827acb9b8683f75c71,,established_single_exact_pair,candidate_queue.visible_year_evidence|text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
doc_09260a1e0b22fb78f68d3e3e,NSCQ-CA-20260720-0707,ttd_bb7ed6cf5bbcb31a290162b8,CA,El Cerrito,CITY OF EL CERRITO,police,2024-07-01,2026-06-30,cycle_d4d2264b4902447495f10b4d,cuc_d297970986a751834b67697c,,established_single_exact_pair,candidate_queue.contract_years_scouted|text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
doc_0932091ec94a1c91ee17a3b4,NSCQ-CA-20260720-0534,ttd_e01ac2c10aae43c84a225c18,CA,Placentia,CITY OF PLACENTIA,fire,2023-07-01,2025-06-30,cycle_07f1cfd2e3930d1b22756903,cuc_497ff275ad288c10da91a931,,established_single_exact_pair,candidate_queue.contract_years_scouted|text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
doc_09b792627b1f25132c9cb97e,NSCQ-IL-20260720-0212,ttd_6e8e602b54ea66c7bfd18956,IL,Alton,CITY OF ALTON,fire,,,,,,quarantined_no_exact_full_date_pair,,0,quarantined_no_exact_full_date_pair_in_bounded_structured_metadata,,,
doc_09e3cf5ed1675de64e8afde0,NSCQ-IL-20260720-0167,ttd_bc21eba350a80f52eae9bea3,IL,St. Charles,CITY OF ST CHARLES,police,2024-05-01,2028-04-30,cycle_9648c6a072f5ad859fde2e6e,cuc_0e68cde8bb4b677a45daa30b,match_9648c6a072f5ad859fde2e6e,established_single_exact_pair,candidate_queue.contract_years_scouted,1,preserved_prior_exact_cycle,,,
doc_09e4d1f0cbc1382f285f2024,NSCQ-MI-20260720-0076,ttd_0d233ffb5a1bad75ffa5f80b,MI,Lincoln Park,CITY OF LINCOLN PARK,non_safety,2024-07-01,2027-06-30,cycle_7c1f7522c41562d112890fc6,cuc_06335b41748d985be63b4603,,established_single_exact_pair,candidate_queue.contract_years_scouted|text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
doc_09ef1e68809ea9bd80179226,NSCQ-IL-20260720-0066,ttd_4baeefa3598a2a64d50b0c15,IL,Moline,CITY OF MOLINE,fire,2022-01-01,2024-12-31,cycle_8f47c1601f7475139582c1f2,cuc_c1cf07a903431318a01248e8,,established_single_exact_pair,text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
doc_0a0bba73c7f900b4c602fbb6,NSCQ-OH-20260720-0607,ttd_eda3472712e632cff27e2922,OH,North College Hill,CITY OF NORTH COLLEGE HILL,non_safety,2021-01-01,2023-12-31,cycle_9282a578c3edecdec52100ac,cuc_9d60437ceca9c92007742cc5,,established_single_exact_pair,text_table_detection.candidate_contract_period_text,1,preserved_prior_exact_cycle,,,
