qualitative_evidence_id,qualitative_source_record_id,scope_origin,source_review_id,retained_source_id,retained_content_hash,case_id,text_table_detection_id,candidate_id,state,municipality,unit_type,bargaining_unit_name,contract_or_cycle_period,cycle_start,cycle_end,source_family,mechanism_family,claim_relevance,direction_of_pressure,evidence_strength,claim_boundary,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness
legacy:qualitative:lobs_05ed2d217cf3eb2015ec8da8:non_base_compensation_signal,qualitative:lobs_05ed2d217cf3eb2015ec8da8,legacy_valid_636_rating,sr_dcaf2b7c7084f945edc485d6,,1a17f89cea377ad79580e07f4fbf72b1d30e3f5cec20c5237b7f7dba3a2e0a3f,cex_d326472481b84e359c384501,ttd_53839684847e896a17e182a0,,OH,,non_safety,,,,,cba,non_base_compensation_signal,documentary_mechanism_claim,non_safety_advantage,moderate,: indicates a leave benefit rule; does not state base pay changes,rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_05f168b6592855b18784b552:bargaining_power_signal,qualitative:lobs_05f168b6592855b18784b552,legacy_valid_636_rating,sr_7312435e24d18e5d856eed6b,,bd7f0abfe2204d3c2bbaab20296386474f61528bb65652d93185f76b788eb3eb,cexrem_1430c134e49af3018b21fc73,ttd_e86fb9b60c644bcc47587344,,IL,,non_safety,,,,,cba,bargaining_power_signal,documentary_mechanism_claim,neutral_or_unclear,weak,"This indicates arbitration is involved in determining whether the 'rate' is at issue, but it does not describe bargaining leverage or negotiated settlement terms.",rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_07823ba1699c5a20b69eac86:bargaining_power_signal,qualitative:lobs_07823ba1699c5a20b69eac86,legacy_valid_636_rating,sr_624c63e445e73ddf167bdc59,,ace0de78b8327e71edfbca9d75e5de1191ec8da19567a0b9069be0e0c7008c21,cex1000_3c92045a422bda20e626990e,ttd_84897d12abbe1cd450e092a8,,OH,,non_safety,,,,,cba,bargaining_power_signal,documentary_mechanism_claim,neutral_or_unclear,weak,"Shows a step in requesting arbitration, but does not specify negotiated leverage or pay effects.",rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_07e6da7b57d0082cf5ef0fb1:automatic_raise_mechanism,qualitative:lobs_07e6da7b57d0082cf5ef0fb1,legacy_valid_636_rating,sr_e8ffa07154ab72579f9a11dd,,d9774a7efbf80e94e83dc26cfe0c2d1a0f26d4d59caf4e9c76a7e5c918e45c72,cexrem_0d5fa53b153d7e2e6bc9e5e0,ttd_51b8cf615f9d7f56025008ff,,CA,,police,,,,,cba,automatic_raise_mechanism,direct_text_claim,neutral_or_unclear,strong,Only indicates an automatic COLA-linked salary increase mechanism with floor/ceiling; it does not establish relative effects across groups.,rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_080a5c596af4aded2e2024bb:automatic_raise_mechanism,qualitative:lobs_080a5c596af4aded2e2024bb,legacy_valid_636_rating,sr_966d2b366534e70292f29775,,e412e656d2fab1bc388fb406ad4566207a99dd2cc66c6fe71fc3cae1af2999fc,cexrem_80021c9ab0c0dfe13e018498,ttd_f1536a7bbd7bbaaba575e320,,OH,,police,,,,,cba,automatic_raise_mechanism,direct_text_claim,gap_narrowing,moderate,Indicates step-to-step pay progression tied to attendance; does not specify wage levels or effects beyond this rule.,rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_08b2db187a40195c1ea6dc7a:non_base_compensation_signal,qualitative:lobs_08b2db187a40195c1ea6dc7a,legacy_valid_636_rating,sr_3cdd9a49ef6eb58616ac5720,,b497fee51e13c1597a7c1eba5091de7e237a2fbeb5dd796032e5e46c7ee240b6,cex_b935f8a61941818cbad1effe,ttd_88627e5412b862ec5f7eca82,,WA,,non_safety,,,,,cba,non_base_compensation_signal,direct_text_claim,neutral_or_unclear,moderate,floating_holiday_pay_for_employees_with_six_months_of_employment,rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_08efea99be6a889c1ff9d038:implementation_or_retroactivity_advantage,qualitative:lobs_08efea99be6a889c1ff9d038,legacy_valid_636_rating,sr_a2aa44de466dc16ea6e65a95,,a15c199c3769932bba2e44c740e3e6a76e45df006581be9abc47d4404950e782,cex1000_9f552e401585399cfd191e6a,ttd_bd6606098421a340e0e9f55c,,OH,,non_safety,,,,,cba,implementation_or_retroactivity_advantage,provisional_causal_candidate,neutral_or_unclear,weak,"Indicates a timing start date but does not state that any compensation change is favorable, retroactive, or staged relative to an alternative.",rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_0b2dc09a9220ded163d87b64:automatic_raise_mechanism,qualitative:lobs_0b2dc09a9220ded163d87b64,legacy_valid_636_rating,sr_2a47335c9a0e32fede61e35b,,fd12309c340dfc7d2f40bdd9aac4ddfbb7642d598b477a073b2e43e8b9fc52fd,cex1000_7c3259ef3057b571b735fc58,ttd_b9c09ac3fe91b55d145d8caa,,CA,,non_safety,,,,,cba,automatic_raise_mechanism,documentary_mechanism_claim,gap_narrowing,moderate,"Automatic CPI-based adjustment is described, but no comparative safety-vs-non-safety wage outcome or gap-narrowing magnitude is stated.",rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_0ba2ab07187af618deb701a1:implementation_or_retroactivity_advantage,qualitative:lobs_0ba2ab07187af618deb701a1,legacy_valid_636_rating,sr_d74c8f9f6f718857937299f0,,1fecfc9ae437cc3449c5332feb6adc83f5b9ea62d334934e2528763c50311e19,cexrem_53a1b599443a9fafd70f7cfd,ttd_37fafafab3ccc06030f326e0,,TX,,police,,,,,cba,implementation_or_retroactivity_advantage,documentary_mechanism_claim,neutral_or_unclear,weak,"Only indicates an agreement effective date; does not state retroactivity, staged increases, or comparative timing effects.",rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_0ca3a046bf59fc283f5f0170:rank_or_specialization_premium,qualitative:lobs_0ca3a046bf59fc283f5f0170,legacy_valid_636_rating,sr_50c8c8c685dde95ae530de47,,bac32a95aa1e4d6af21cc4b3437c4313f9eee82972580a129ce87ddd07adad20,cexrem_22bf7ad917ea4f62773e2c0f,ttd_f4f8cdf366640f261d142511,,FL,,police,,,,,cba,rank_or_specialization_premium,direct_text_claim,non_safety_advantage,moderate,:rank-based pay difference implied by promotion from Officer to Sergeant,rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_0cf42a3c9837cbbde76681c3:non_base_compensation_signal,qualitative:lobs_0cf42a3c9837cbbde76681c3,legacy_valid_636_rating,sr_4e720083c463417f2d6f96a6,,86750da1b5fa670ef3cb723c575b2d596fb790dd91b59e0db1c53a7c9aefb4e3,cex_94eca1be458d3acd471c2557,ttd_f11c80887df208781a4b531d,,OR,,fire,,,,,cba,non_base_compensation_signal,documentary_mechanism_claim,non_safety_advantage,moderate,Mechanism describes a multiplier on hourly base pay but does not specify which safety vs non-safety group or timing.,rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_0d9894951eb7dfbcc3747a0a:implementation_or_retroactivity_advantage,qualitative:lobs_0d9894951eb7dfbcc3747a0a,legacy_valid_636_rating,sr_a06fd236cda977acbfc40558,,55080109237e6cfe01f570b4393d7bd914e7f0d25683cc6198e4058e807f05c6,cexrem_ce47d3ccac5a7c599ec9b667,ttd_683e662bbb9f9f4eea213d67,,MA,,fire,,,,,cba,implementation_or_retroactivity_advantage,documentary_mechanism_claim,gap_narrowing,moderate,"This supports a retroactivity/timing mechanism statement, not a measured wage effect or gap change.",rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_0dafb0aeb03cbb1c3a4573fb:automatic_raise_mechanism,qualitative:lobs_0dafb0aeb03cbb1c3a4573fb,legacy_valid_636_rating,sr_b326c6aab3383f98c336ff2d,,2fd6ca01fc5d90707d6dc1c6de84b67745c9c9a1dc6965ea07a9678cc5f6c5c9,cex1000_565363e57d970edc3f374bcd,ttd_0fa91d91fc1735ae8d3ae9d9,,OH,,police,,,,,cba,automatic_raise_mechanism,provisional_causal_candidate,neutral_or_unclear,weak,"Indicates tenure-based stepping for the Sergeant role, but does not state an automatic wage increase formula or specific pay amounts in the provided span.",rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_0dffa1fec27f5d8a9a38aa1f:rank_or_specialization_premium,qualitative:lobs_0dffa1fec27f5d8a9a38aa1f,legacy_valid_636_rating,sr_b6b6c021ecbdb5f01d6153a7,,af95c5843dee2a7ae17c2d2f7120fdbdb1609e9080b3c8b8b42f587e6e9f55b0,cex_953d39fef5331a93c2552bca,ttd_7650f3a9afe5c0170a568e5c,,NH,,police,,,,,cba,rank_or_specialization_premium,documentary_mechanism_claim,gap_narrowing,moderate,"indicates pay depends on position/classification (higher classification pay rate), but does not state a safety vs non-safety difference",rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_121d30790a9396212fff0b3c:implementation_or_retroactivity_advantage,qualitative:lobs_121d30790a9396212fff0b3c,legacy_valid_636_rating,sr_a0dc218f97fd98b72b5873e3,,1ff77fca27ed1d7a62569ca86ab121a86f4a4b47dda4da8d5901f62122d691be,cex_d627789b702c41b7e413f403,ttd_2d5a1b570014d5af008ae056,,MN,,non_safety,,,,,wage_schedule_or_compensation_plan,implementation_or_retroactivity_advantage,direct_text_claim,neutral_or_unclear,weak,"Timing term present, but no evidence of advantage/retroactivity beyond an effective date.",rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_12e39c748e2ff93788fd98cd:implementation_or_retroactivity_advantage,qualitative:lobs_12e39c748e2ff93788fd98cd,legacy_valid_636_rating,sr_2d62152f8f0b61bcfcd231a3,,c8fb4e44b486b58289dc4966255b689ca5a7d336c9c845019c49baa349504ada,cex_b145311e9977de3808faa0b4,ttd_3b19aa870672ae4326b99368,,FL,,non_safety,,,,,cba,implementation_or_retroactivity_advantage,direct_text_claim,neutral_or_unclear,weak,"Only effective-date/timing language is present; the span does not establish an advantage (e.g., retro pay or accelerated vs. delayed implementation) beyond stating when changes take effect.",rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_15067fe514e0c804701b7c69:implementation_or_retroactivity_advantage,qualitative:lobs_15067fe514e0c804701b7c69,legacy_valid_636_rating,sr_a25dbdb1f52158a0502cbc35,,20b688a325b48b247dfaabaa4b315f9aa6f4b3d356035df1d2f24e977ba1712e,cexrem_3f726259e6a41d3caeca67ad,ttd_596caf5b25128827a2341f25,,MI,,non_safety,,,,,cba,implementation_or_retroactivity_advantage,provisional_causal_candidate,neutral_or_unclear,weak,provisional_causal_candidate,rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_1542090aec0ae417a714cb2e:implementation_or_retroactivity_advantage,qualitative:lobs_1542090aec0ae417a714cb2e,legacy_valid_636_rating,sr_d52b4b96c793e8aab32ecf55,,ff4e7fdbd83e80982ea53268da52e74817bd198218add88dd7eaa1faf82b9ef3,cexrem_bc003451d8f670262c031511,ttd_061738b35675f91a4a62378e,,ID,,fire,,,,,cba,implementation_or_retroactivity_advantage,context_only,neutral_or_unclear,weak,Only a timing/effective-date statement is present; no comparative or advantage language beyond that timing is provided.,rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_159e2081db9609dda3b11098:bargaining_power_signal,qualitative:lobs_159e2081db9609dda3b11098,legacy_valid_636_rating,sr_c99f28a741bc4146d0d4c9aa,,1655ec11a1c6ad371c732b4614049d0b4598bd19ba4672ab9f7ea67e0e1cbd5b,cex1000_e342f6ea7e47b681536fc541,ttd_3be2f48671172f32c7859232,,OH,,non_safety,,,,,cba,bargaining_power_signal,documentary_mechanism_claim,gap_narrowing,weak,"The span references arbitration receiving pay rates, but does not describe bargaining leverage, negotiation, or comparative effects.",rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_159e2081db9609dda3b11098:non_base_compensation_signal,qualitative:lobs_159e2081db9609dda3b11098,legacy_valid_636_rating,sr_c99f28a741bc4146d0d4c9aa,,1655ec11a1c6ad371c732b4614049d0b4598bd19ba4672ab9f7ea67e0e1cbd5b,cex1000_e342f6ea7e47b681536fc541,ttd_3be2f48671172f32c7859232,,OH,,non_safety,,,,,cba,non_base_compensation_signal,context_only,non_safety_advantage,weak,"The span references overtime rate of pay, but does not state how it affects base wages or safety vs non-safety differences.",rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_159e2081db9609dda3b11098:strike_or_no_strike_constraint,qualitative:lobs_159e2081db9609dda3b11098,legacy_valid_636_rating,sr_c99f28a741bc4146d0d4c9aa,,1655ec11a1c6ad371c732b4614049d0b4598bd19ba4672ab9f7ea67e0e1cbd5b,cex1000_e342f6ea7e47b681536fc541,ttd_3be2f48671172f32c7859232,,OH,,non_safety,,,,,cba,strike_or_no_strike_constraint,documentary_mechanism_claim,neutral_or_unclear,weak,The span references arbitration but does not explicitly state strike/no-strike terms; any substitution relationship remains unclear.,rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_163bb32f3c7268e2f28e76ea:implementation_or_retroactivity_advantage,qualitative:lobs_163bb32f3c7268e2f28e76ea,legacy_valid_636_rating,sr_a33d6c8dbc09b77a450c1e5d,,3727a760fb7dcaa4155f405529d1a78bc4158f7f62bb49200aa44404443a3fe1,cexrem_153da8b4d5299d394fa4652f,ttd_8560fc195b09cbd78730a867,,OH,,police,,,,,cba,implementation_or_retroactivity_advantage,documentary_mechanism_claim,gap_narrowing,moderate,Timing/effective-date term only; does not itself establish advantage or wage-gap effects.,rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_169fe1f971d8b0e81b729eee:bargaining_power_signal,qualitative:lobs_169fe1f971d8b0e81b729eee,legacy_valid_636_rating,sr_818ca4fea69537a82bd747a8,,eeaf9b96edac38b7424bd727186ac248e7bdd82fdb11eb7f0d406e39fbd4860a,cexrem_fe9c305b08962e966b2361f7,ttd_b5ba862e2d9ec9413a2bab9d,,KS,,police,,,,,cba,bargaining_power_signal,direct_text_claim,neutral_or_unclear,weak,The agreement is described as subject to a reopener provision regarding General; this indicates the possibility of future reopening but does not establish specific pay outcomes or timing in the provided span.,rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_170ab36b18c89d3097f7bcce:implementation_or_retroactivity_advantage,qualitative:lobs_170ab36b18c89d3097f7bcce,legacy_valid_636_rating,sr_788bf3b21dddb221b8bcd4ff,,fc5b868b6f69196d8eaad6678233ad51e5ad9d95e49952633d2182f1855f2dd7,cex1000_1dff282b0f409dd01ef712a1,ttd_67aac230c31428895d2af907,,CA,,police,,,,,cba,implementation_or_retroactivity_advantage,documentary_mechanism_claim,gap_narrowing,weak,Indicates timing for a merit increase but does not establish comparative advantage or final wage effects.,rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_17a4a95c701d27b9f2faea2e:automatic_raise_mechanism,qualitative:lobs_17a4a95c701d27b9f2faea2e,legacy_valid_636_rating,sr_752b8f675de30a8d4cc0b9c4,,7cc50f0d3fe9c9ba57385459169c567a39e61234a77b22fe7ce644703bf4b553,cexrem_4f965e867dbaf78c3bb4e6c3,ttd_1e067bbf4edeb89f5011ffe8,,OH,,fire,,,,,cba,automatic_raise_mechanism,documentary_mechanism_claim,neutral_or_unclear,weak,"The span references returning to a former classification at the same step level after a layoff or bump, indicating a step-level maintenance mechanism but does not quantify wage changes.",rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_183b2015c414fee3027898e5:automatic_raise_mechanism,qualitative:lobs_183b2015c414fee3027898e5,legacy_valid_636_rating,sr_29c56b317698be3115b359f5,,f817dc5f8c6f051589fae8c83e74b59479b90f47584f3e1afb48c315243576fe,cex_bb3325b5f952a15943a62af6,ttd_410b0f0f6166b075a888bc46,,SD,,police,,,,,wage_schedule_or_compensation_plan,automatic_raise_mechanism,documentary_mechanism_claim,gap_narrowing,moderate,Step-based advancement on a grade/step scale is described as the basis for pay movement.,rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_183b2015c414fee3027898e5:implementation_or_retroactivity_advantage,qualitative:lobs_183b2015c414fee3027898e5,legacy_valid_636_rating,sr_29c56b317698be3115b359f5,,f817dc5f8c6f051589fae8c83e74b59479b90f47584f3e1afb48c315243576fe,cex_bb3325b5f952a15943a62af6,ttd_410b0f0f6166b075a888bc46,,SD,,police,,,,,wage_schedule_or_compensation_plan,implementation_or_retroactivity_advantage,documentary_mechanism_claim,neutral_or_unclear,moderate,The span provides the timing of when the step advancement takes effect.,rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_18f4212214cbb54d2e21f720:non_base_compensation_signal,qualitative:lobs_18f4212214cbb54d2e21f720,legacy_valid_636_rating,sr_80b6ac3a5ff9743813316131,,3a0fd8a4e85c9a861c8bbb3caee1912d42b4ac6226f12ee54721088034e4a06a,cex_9eda9ceb393e82f8cbf02c5e,ttd_cca526a1c565b96ecd81a3c0,,IL,,non_safety,,,,,cba,non_base_compensation_signal,provisional_causal_candidate,neutral_or_unclear,weak,not_claim_ready,rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_1a6fef66ba241161bd12d02a:non_base_compensation_signal,qualitative:lobs_1a6fef66ba241161bd12d02a,legacy_valid_636_rating,sr_1505a6b162f9d0d54e8cab66,,f6f61bb0bc1402677014f43c73d11af22846d1586b029a08fd052a82b59b76ad,cex_199b4f19d28d0d021c8f9842,ttd_167e609a4354e0e60a1e610e,,NH,,non_safety,,,,,cba,non_base_compensation_signal,context_only,neutral_or_unclear,weak,Supports only that disability payments exist and are assigned to an insurance carrier; it does not establish effects on base wages.,rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_1c4da1669fde567afd7a359a:non_base_compensation_signal,qualitative:lobs_1c4da1669fde567afd7a359a,legacy_valid_636_rating,sr_f22ab398d50974209d6848ab,,42a418bb179dfd152c422a891a32d41ab0fe8861b40ed01af6ae1502b8a88a3c,cex_fdcc7618dd2c42f4e9c53dfd,ttd_4ede7a7f1e984c95daf9129a,,WA,,fire,,,,,cba,non_base_compensation_signal,direct_text_claim,non_safety_advantage,moderate,"This indicates a minimum paid-hours rule for emergency situations, not a base wage amount.",rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_1c8dcfc3e817ac5a5121d1ed:bargaining_power_signal,qualitative:lobs_1c8dcfc3e817ac5a5121d1ed,legacy_valid_636_rating,sr_42435cf902a5faa32da41089,,1f102c538926217c3006b89cfa6fa8ef8d7f8cfe7fe5d8aac58f9d902462af72,cex_af69e6255a32386ac3d28f76,ttd_fc34ba3347ff080e1b4af786,,OH,,non_safety,,,,,cba,bargaining_power_signal,documentary_mechanism_claim,non_safety_advantage,moderate,"This indicates an arbitration mechanism that can set a compensation rate, but does not specify wage levels, groups, or outcomes.",rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_1e208783a37dc94f9ae2a6bd:automatic_raise_mechanism,qualitative:lobs_1e208783a37dc94f9ae2a6bd,legacy_valid_636_rating,sr_d560b97c3cb03145d803d389,,547e6a1d1528162598fbeba2ba8c001d202c594225bc3e4ba47f33e8bf9d3bc7,cexrem_0602049f097d26cc6cf3a960,ttd_70da506edf469e13bda910e5,,WA,,fire,,,,,wage_schedule_or_compensation_plan,automatic_raise_mechanism,direct_text_claim,gap_narrowing,moderate,"This indicates a COLA rate for 2025, consistent with an automatic cost-of-living style adjustment.",rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_20851a55680ee9e68dda3ab1:implementation_or_retroactivity_advantage,qualitative:lobs_20851a55680ee9e68dda3ab1,legacy_valid_636_rating,sr_0a3c4deb58a49e8a1f12cbfe,,fab4525f37babab68b5dafc4d5b7de81e80d030ecf760720bd963c31dce95991,cexrem_58c15214b8a0e578461a91a5,ttd_a1c46ce131be4871882f3dcf,,MA,,non_safety,,,,,cba,implementation_or_retroactivity_advantage,provisional_causal_candidate,neutral_or_unclear,weak,Timing/implementation mention only; no explicit wage/raise effects stated.,rated_valid,not_ingested,not_codified,not_causal_evidence,false
legacy:qualitative:lobs_21bfe901ccc60abb29fb373d:non_base_compensation_signal,qualitative:lobs_21bfe901ccc60abb29fb373d,legacy_valid_636_rating,sr_86a62ec903401d209c596336,,2bccb6e17a191691f7cfa5208332b8c9c278a7f121308840e1b248ba0d8884de,cex_38041e055fa786143db78c82,ttd_8e102fc3c4ecf5bf7995658b,,CT,,police,,,,,cba,non_base_compensation_signal,documentary_mechanism_claim,neutral_or_unclear,weak,The clause describes employer payment for medical and hospital expenses; it does not state base wage or a relative safety-vs-non-safety pay mechanism.,rated_valid,not_ingested,not_codified,not_causal_evidence,false
