linkage_id,quantitative_evidence_id,qualitative_evidence_id,linkage_status,linkage_confidence,linkage_reason,city,state,unit_type,bargaining_unit_name,contract_or_cycle_period,source_family,quantitative_value_kind,quantitative_value_unit,quantitative_claim_readiness,raw_quantitative_value_string,qualitative_mechanism_family,qualitative_claim_relevance,qualitative_direction_of_pressure,qualitative_evidence_strength,qualitative_claim_boundary,same_source_match,same_city_match,same_unit_match,same_cycle_match,value_normalized,value_imputed,value_annualized,wage_gap_calculated,regression_used,treatment_effect_estimated,causal_claim_made,population_or_national_claim_made,ingestion_status,codification_status,causal_status,global_analysis_readiness,notes
QQL513-d3f0b2744be248441a021b,quantitative:qobs_05f57ac83b51374c78d201ad,legacy:qualitative:lobs_a70dacb6a5afba7f21ea2093:automatic_raise_mechanism,linked,exact_same_source,shared committed source_review_id and/or retained_content_hash,Oak Harbor,WA,fire,,2026-01-01 to 2027-12-31,cba,step_rank_grade_value,dollars_per_period,direct_text_quantitative_claim_ready,"salary_value=$8,445 | step=5 | effective_date=January 1, 2026 | currency_or_unit=monthly salary | normalized_scalar_value=8445",automatic_raise_mechanism,context_only,gap_narrowing,moderate,Timing for step eligibility is stated; this supports an automatic step-increase mechanism only in a contextual sense without specifying amounts or comparative wage effects.,true,not_independently_recorded,not_independently_recorded,not_independently_recorded,false,false,false,false,false,false,false,false,not_ingested,not_codified,not_causal_evidence,false,structured co-location only; linkage does not estimate a wage effect or prove causation
QQL513-40852a93e8ccccaac38352,quantitative:qobs_0a20cffb8ceb1d1bd67fe0e3,legacy:qualitative:lobs_0a20cffb8ceb1d1bd67fe0e3:automatic_raise_mechanism,linked,exact_same_source,shared committed source_review_id and/or retained_content_hash,Rialto,CA,fire,,2025-07-01 to 2027-06-30,cba,percentage_raise_value,percentage,direct_text_quantitative_claim_ready,"percentage_increase=3% | effective_date=July 1, 2025 | currency_or_unit=base salary | normalized_scalar_value=3",automatic_raise_mechanism,documentary_mechanism_claim,gap_narrowing,moderate,This span only indicates the existence of a COLA/wage-increase mechanism; it does not quantify effects or compare groups.,true,not_independently_recorded,not_independently_recorded,not_independently_recorded,false,false,false,false,false,false,false,false,not_ingested,not_codified,not_causal_evidence,false,structured co-location only; linkage does not estimate a wage effect or prove causation
QQL513-164e2b904a40331f4fd14e,quantitative:qobs_0d41f6fbda5e5132b362e837,legacy:qualitative:lobs_24d1334a7e2060d186ff5c8d:implementation_or_retroactivity_advantage,linked,exact_same_source,shared committed source_review_id and/or retained_content_hash,Greeley,CO,police,,2022-01-01 to 2024-12-31,cba,hourly_rate_value,dollars_per_hour,needs_normalization_later,"rate_value=36.74 | hourly_rate=36.74 | step=A | effective_date=Effective January 4, 2024 | currency_or_unit=hourly | normalized_scalar_value=36.74",implementation_or_retroactivity_advantage,documentary_mechanism_claim,gap_narrowing,moderate,Timing/effective-date mechanism for a pay increase; no quantitative wage or gap effect claimed.,true,not_independently_recorded,not_independently_recorded,not_independently_recorded,false,false,false,false,false,false,false,false,not_ingested,not_codified,not_causal_evidence,false,structured co-location only; linkage does not estimate a wage effect or prove causation
QQL513-ca48b9102c686d9171d524,quantitative:qobs_112c6e115bf289353e12bd94,legacy:qualitative:lobs_112c6e115bf289353e12bd94:implementation_or_retroactivity_advantage,linked,exact_same_source,shared committed source_review_id and/or retained_content_hash,Ypsilanti,MI,police,,2021-01-01 to 2024-12-31,cba,annual_salary_value,dollars_per_year,needs_normalization_later,"salary_value=$77,366.12 | annual_salary=$77,366.12 | grade=PC1-1 | effective_date=01/01/2021 | currency_or_unit=USD/year | normalized_scalar_value=77366.12 | normalized_effective_date=2021-01-01",implementation_or_retroactivity_advantage,provisional_causal_candidate,neutral_or_unclear,weak,"This only indicates a timing/effective date and does not state whether any increase is retroactive, delayed, or advantageous.",true,not_independently_recorded,not_independently_recorded,not_independently_recorded,false,false,false,false,false,false,false,false,not_ingested,not_codified,not_causal_evidence,false,structured co-location only; linkage does not estimate a wage effect or prove causation
QQL513-644fe1ded6003a4632990f,quantitative:qobs_118fff69001e05a959efda3a,legacy:qualitative:lobs_6249ef3cdf7b905d51728288:implementation_or_retroactivity_advantage,linked,exact_same_source,shared committed source_review_id and/or retained_content_hash,Hallandale Beach,FL,police,,2023-10-01 to 2026-09-30,cba,percentage_raise_value,percentage,direct_text_quantitative_claim_ready,"percentage_increase=3.0% | effective_date=October 1, 2024 | normalized_scalar_value=3.0",implementation_or_retroactivity_advantage,provisional_causal_candidate,neutral_or_unclear,weak,only establishes an effective-date/timing concept; does not specify retroactivity direction or comparative advantage,true,not_independently_recorded,not_independently_recorded,not_independently_recorded,false,false,false,false,false,false,false,false,not_ingested,not_codified,not_causal_evidence,false,structured co-location only; linkage does not estimate a wage effect or prove causation
QQL513-0de2aa7b8d6ccd176ab9ce,quantitative:qobs_118fff69001e05a959efda3a,legacy:qualitative:lobs_eef8184f99a83ea8906c8088:automatic_raise_mechanism,linked,exact_same_source,shared committed source_review_id and/or retained_content_hash,Hallandale Beach,FL,police,,2023-10-01 to 2026-09-30,cba,percentage_raise_value,percentage,direct_text_quantitative_claim_ready,"percentage_increase=3.0% | effective_date=October 1, 2024 | normalized_scalar_value=3.0",automatic_raise_mechanism,documentary_mechanism_claim,gap_narrowing,moderate,"Step increases tied to an anniversary date for members hired after 3/7/06 are mentioned, indicating an automatic schedule-based mechanism, without any stated wage gap outcome.",true,not_independently_recorded,not_independently_recorded,not_independently_recorded,false,false,false,false,false,false,false,false,not_ingested,not_codified,not_causal_evidence,false,structured co-location only; linkage does not estimate a wage effect or prove causation
QQL513-7d11d01d0570cd96700285,quantitative:qobs_11b1dec18e06c691fd286330,legacy:qualitative:lobs_69cb94befdf3d422079472da:implementation_or_retroactivity_advantage,linked,exact_same_source,shared committed source_review_id and/or retained_content_hash,East Moline,IL,police,,2021-01-01 to 2023-12-31,cba,percentage_raise_value,percentage,direct_text_quantitative_claim_ready,"percentage_increase=2.50% | effective_date=January 1, 2021 | currency_or_unit=percent | normalized_scalar_value=2.50",implementation_or_retroactivity_advantage,documentary_mechanism_claim,neutral_or_unclear,moderate,Only the timing of when wage rates become effective after the stated effective dates; no claim about whether this is more/less advantageous.,true,not_independently_recorded,not_independently_recorded,not_independently_recorded,false,false,false,false,false,false,false,false,not_ingested,not_codified,not_causal_evidence,false,structured co-location only; linkage does not estimate a wage effect or prove causation
QQL513-29fd9a15e3d297315ff3a4,quantitative:qobs_11b1dec18e06c691fd286330,legacy:qualitative:lobs_9f454a74ab2ba08892e0f861:implementation_or_retroactivity_advantage,linked,exact_same_source,shared committed source_review_id and/or retained_content_hash,East Moline,IL,police,,2021-01-01 to 2023-12-31,cba,percentage_raise_value,percentage,direct_text_quantitative_claim_ready,"percentage_increase=2.50% | effective_date=January 1, 2021 | currency_or_unit=percent | normalized_scalar_value=2.50",implementation_or_retroactivity_advantage,documentary_mechanism_claim,gap_narrowing,moderate,"This supports a retroactivity timing mechanism for wages, not a final causal wage or gap outcome.",true,not_independently_recorded,not_independently_recorded,not_independently_recorded,false,false,false,false,false,false,false,false,not_ingested,not_codified,not_causal_evidence,false,structured co-location only; linkage does not estimate a wage effect or prove causation
QQL513-198bf08f84b5e97043c90f,quantitative:qobs_12744d8decb3d5913fd5c27d,legacy:qualitative:lobs_12744d8decb3d5913fd5c27d:non_base_compensation_signal,linked,exact_same_source,shared committed source_review_id and/or retained_content_hash,Central Point,OR,non_safety,,2021-07-01 to 2025-06-30,cba,percentage_raise_value,percentage,direct_text_quantitative_claim_ready,percentage_increase=3% | currency_or_unit=% | normalized_scalar_value=3,non_base_compensation_signal,direct_text_claim,neutral_or_unclear,moderate,"This shows a condition on overtime (a non-base compensation component), not a direct base wage or gap mechanism.",true,not_independently_recorded,not_independently_recorded,not_independently_recorded,false,false,false,false,false,false,false,false,not_ingested,not_codified,not_causal_evidence,false,structured co-location only; linkage does not estimate a wage effect or prove causation
QQL513-446bd76349a10d9216fe7b,quantitative:qobs_16dae25d828950a27b5d7574,legacy:qualitative:lobs_16dae25d828950a27b5d7574:bargaining_power_signal,linked,exact_same_source,shared committed source_review_id and/or retained_content_hash,South Elgin,IL,police,,2023-05-01 to 2027-04-30,cba,percentage_raise_value,percentage,direct_text_quantitative_claim_ready,percentage_increase=0% | currency_or_unit=base wages | normalized_scalar_value=0,bargaining_power_signal,documentary_mechanism_claim,neutral_or_unclear,weak,"Interprets presence of an arbitration mechanism as a negotiation-resolution pathway, without inferring wage effects or bargaining leverage magnitude.",true,not_independently_recorded,not_independently_recorded,not_independently_recorded,false,false,false,false,false,false,false,false,not_ingested,not_codified,not_causal_evidence,false,structured co-location only; linkage does not estimate a wage effect or prove causation
QQL513-ed050133ed27e6adc36247,quantitative:qobs_16e91f9b96f6594f2da71e05,legacy:qualitative:lobs_51d5b08940fb49b9b653b73f:implementation_or_retroactivity_advantage,linked,exact_same_source,shared committed source_review_id and/or retained_content_hash,Middletown,OH,police,,2018-11-01 to 2021-10-31,cba,percentage_raise_value,percentage,needs_normalization_later,"rate_value=27.1830 | hourly_rate=27.1830 | step=A | percentage_increase=3% | effective_date=January 1, 2021 | currency_or_unit=per hour | normalized_scalar_value=27.1830",implementation_or_retroactivity_advantage,context_only,neutral_or_unclear,weak,documentary: the provision is labeled as effective 11/26/00 for members assigned as Field Training Officers,true,not_independently_recorded,not_independently_recorded,not_independently_recorded,false,false,false,false,false,false,false,false,not_ingested,not_codified,not_causal_evidence,false,structured co-location only; linkage does not estimate a wage effect or prove causation
QQL513-c0ec2ab2dac85470d3e95c,quantitative:qobs_1903a7093956eae0e4eeb5b5,legacy:qualitative:lobs_3dda0b4f3618d7a7a0b010d2:implementation_or_retroactivity_advantage,linked,exact_same_source,shared committed source_review_id and/or retained_content_hash,Portland,ME,non_safety,,2024-07-01 to 2026-12-31,cba,percentage_raise_value,percentage,needs_normalization_later,"rate_value=3% | percentage_increase=3% | effective_date=July 6, 2025 | normalized_scalar_value=3",implementation_or_retroactivity_advantage,direct_text_claim,neutral_or_unclear,moderate,retroactive timing/effective date for paid increases to active employees and retirees,true,not_independently_recorded,not_independently_recorded,not_independently_recorded,false,false,false,false,false,false,false,false,not_ingested,not_codified,not_causal_evidence,false,structured co-location only; linkage does not estimate a wage effect or prove causation
QQL513-9aa5a95dcde8cbc8cecdbf,quantitative:qobs_1903a7093956eae0e4eeb5b5,legacy:qualitative:lobs_af20a780921ce994637eaf19:automatic_raise_mechanism,linked,exact_same_source,shared committed source_review_id and/or retained_content_hash,Portland,ME,non_safety,,2024-07-01 to 2026-12-31,cba,percentage_raise_value,percentage,needs_normalization_later,"rate_value=3% | percentage_increase=3% | effective_date=July 6, 2025 | normalized_scalar_value=3",automatic_raise_mechanism,documentary_mechanism_claim,gap_narrowing,moderate,Automatic step/seniority mechanism for pay increases for employees with 25+ years is stated.,true,not_independently_recorded,not_independently_recorded,not_independently_recorded,false,false,false,false,false,false,false,false,not_ingested,not_codified,not_causal_evidence,false,structured co-location only; linkage does not estimate a wage effect or prove causation
QQL513-be96d5ce4eb82a638b8de9,quantitative:qobs_194aeccaaa80ba41e0ff3892,legacy:qualitative:lobs_696fec269326e7bd405b6a47:automatic_raise_mechanism,linked,exact_same_source,shared committed source_review_id and/or retained_content_hash,Elgin,IL,police,,2012-01-01 to 2013-12-31,cba,annual_salary_value,dollars_per_year,needs_normalization_later,"annual_salary=$70,539 | effective_date=Effective January 1, 2012 | currency_or_unit=dollars (base annual salary range) | normalized_scalar_value=70539",automatic_raise_mechanism,documentary_mechanism_claim,gap_narrowing,moderate,Indicates scheduled further steps in a salary range at 12-month intervals; does not by itself establish wage gap effects.,true,not_independently_recorded,not_independently_recorded,not_independently_recorded,false,false,false,false,false,false,false,false,not_ingested,not_codified,not_causal_evidence,false,structured co-location only; linkage does not estimate a wage effect or prove causation
QQL513-84dc832d5736526ff3982a,quantitative:qobs_1afb891e7443de98a5b43d67,legacy:qualitative:lobs_e494133f5c6587b382203e9a:automatic_raise_mechanism,linked,exact_same_source,shared committed source_review_id and/or retained_content_hash,Des Moines,WA,police,,2022-01-01 to 2024-12-31,cba,percentage_raise_value,percentage,needs_normalization_later,rate_value=8% | percentage_increase=8% | currency_or_unit=2023 wage increase | normalized_scalar_value=8,automatic_raise_mechanism,documentary_mechanism_claim,gap_narrowing,moderate,indicates a COLA-based increase mechanism; does not quantify base wage changes beyond this reference,true,not_independently_recorded,not_independently_recorded,not_independently_recorded,false,false,false,false,false,false,false,false,not_ingested,not_codified,not_causal_evidence,false,structured co-location only; linkage does not estimate a wage effect or prove causation
QQL513-906d0b352a7013fafa5597,quantitative:qobs_1afb891e7443de98a5b43d67,legacy:qualitative:lobs_e494133f5c6587b382203e9a:market_or_comparability_pressure,linked,exact_same_source,shared committed source_review_id and/or retained_content_hash,Des Moines,WA,police,,2022-01-01 to 2024-12-31,cba,percentage_raise_value,percentage,needs_normalization_later,rate_value=8% | percentage_increase=8% | currency_or_unit=2023 wage increase | normalized_scalar_value=8,market_or_comparability_pressure,documentary_mechanism_claim,non_safety_advantage,weak,suggests the COLA is set to be comparable to another group’s wage; does not specify a market-competition rationale,true,not_independently_recorded,not_independently_recorded,not_independently_recorded,false,false,false,false,false,false,false,false,not_ingested,not_codified,not_causal_evidence,false,structured co-location only; linkage does not estimate a wage effect or prove causation
QQL513-6b805d04d61ebc9e2fbdb0,quantitative:qobs_1d7d158d133ce3bbd4166ed8,legacy:qualitative:lobs_1d7d158d133ce3bbd4166ed8:rank_or_specialization_premium,linked,exact_same_source,shared committed source_review_id and/or retained_content_hash,Lebanon,OR,non_safety,,2023-07-01 to 2026-06-30,cba,percentage_raise_value,percentage,direct_text_quantitative_claim_ready,percentage_increase=5% | normalized_scalar_value=5,rank_or_specialization_premium,provisional_causal_candidate,gap_narrowing,weak,"Suggests pay/eligibility differs by classification, but does not provide a full mechanism or compare safety vs non-safety.",true,not_independently_recorded,not_independently_recorded,not_independently_recorded,false,false,false,false,false,false,false,false,not_ingested,not_codified,not_causal_evidence,false,structured co-location only; linkage does not estimate a wage effect or prove causation
QQL513-f337ac8b428a5d67e4c45d,quantitative:qobs_1d7d158d133ce3bbd4166ed8,legacy:qualitative:lobs_9096ca37a928824445354efc:non_base_compensation_signal,linked,exact_same_source,shared committed source_review_id and/or retained_content_hash,Lebanon,OR,non_safety,,2023-07-01 to 2026-06-30,cba,percentage_raise_value,percentage,direct_text_quantitative_claim_ready,percentage_increase=5% | normalized_scalar_value=5,non_base_compensation_signal,documentary_mechanism_claim,neutral_or_unclear,weak,Working-condition/non-base benefit tied to overtime shift eligibility; does not state pay levels or raise formulas.,true,not_independently_recorded,not_independently_recorded,not_independently_recorded,false,false,false,false,false,false,false,false,not_ingested,not_codified,not_causal_evidence,false,structured co-location only; linkage does not estimate a wage effect or prove causation
QQL513-7a170d3e0a1807678d44d7,quantitative:qobs_20d65e665197b9e7ab2f882b,legacy:qualitative:lobs_20d65e665197b9e7ab2f882b:implementation_or_retroactivity_advantage,linked,exact_same_source,shared committed source_review_id and/or retained_content_hash,Urbana,OH,fire,,2021-11-15 to 2024-11-14,cba,percentage_raise_value,percentage,direct_text_quantitative_claim_ready,percentage_increase=6% | currency_or_unit=% of 20 Firefighter Pay as Fire Captain | normalized_scalar_value=6,implementation_or_retroactivity_advantage,documentary_mechanism_claim,neutral_or_unclear,moderate,Timing term only; cannot establish an advantage without comparative timing details.,true,not_independently_recorded,not_independently_recorded,not_independently_recorded,false,false,false,false,false,false,false,false,not_ingested,not_codified,not_causal_evidence,false,structured co-location only; linkage does not estimate a wage effect or prove causation
QQL513-e565bef7152272e67889d6,quantitative:qobs_21aaaa9f14574ec25bed5442,legacy:qualitative:lobs_2d0d74557a4fa18b07187136:implementation_or_retroactivity_advantage,linked,exact_same_source,shared committed source_review_id and/or retained_content_hash,Buffalo,NY,fire,,2017-07-01 to 2025-06-30,cba,annual_salary_value,dollars_per_year,direct_text_quantitative_claim_ready,annual_salary=73436.50 | effective_date=7/1/17 | currency_or_unit=$ | normalized_scalar_value=73436.50,implementation_or_retroactivity_advantage,context_only,neutral_or_unclear,weak,Timing/effective-date language only; does not itself establish a pay-advantage mechanism or comparative timing.,true,not_independently_recorded,not_independently_recorded,not_independently_recorded,false,false,false,false,false,false,false,false,not_ingested,not_codified,not_causal_evidence,false,structured co-location only; linkage does not estimate a wage effect or prove causation
QQL513-0efd8d04bc87d7fe6443c0,quantitative:qobs_2328f60ddfa0dfd723eedafb,legacy:qualitative:lobs_112c6e115bf289353e12bd94:implementation_or_retroactivity_advantage,linked,exact_same_source,shared committed source_review_id and/or retained_content_hash,Ypsilanti,MI,police,,2021-01-01 to 2024-12-31,cba,annual_salary_value,dollars_per_year,needs_normalization_later,"salary_value=$88,196.42 | annual_salary=$88,196.42 | grade=PC2-1 | effective_date=01/01/2021 | currency_or_unit=USD/year | normalized_scalar_value=88196.42 | normalized_effective_date=2021-01-01",implementation_or_retroactivity_advantage,provisional_causal_candidate,neutral_or_unclear,weak,"This only indicates a timing/effective date and does not state whether any increase is retroactive, delayed, or advantageous.",true,not_independently_recorded,not_independently_recorded,not_independently_recorded,false,false,false,false,false,false,false,false,not_ingested,not_codified,not_causal_evidence,false,structured co-location only; linkage does not estimate a wage effect or prove causation
QQL513-3daef344e7861f0eb196ce,quantitative:qobs_235408ea79e199b3806d24b8,legacy:qualitative:lobs_d6e5450427aa98badca92184:implementation_or_retroactivity_advantage,linked,exact_same_source,shared committed source_review_id and/or retained_content_hash,Kettering,OH,fire,,2020-12-21 to 2023-12-17,cba,hourly_rate_value,dollars_per_hour,needs_normalization_later,"rate_value=$37.95 | hourly_rate=$37.95 | step=Step C | effective_date=December 20, 2021 | currency_or_unit=USD/hour (56-hr week schedule) - Fire Captains appointed prior to 9/23/13, pay 1 | normalized_scalar_value=37.95",implementation_or_retroactivity_advantage,documentary_mechanism_claim,neutral_or_unclear,moderate,": Timing term (effective date) with a stated percentage increase, without establishing safety/non-safety advantage",true,not_independently_recorded,not_independently_recorded,not_independently_recorded,false,false,false,false,false,false,false,false,not_ingested,not_codified,not_causal_evidence,false,structured co-location only; linkage does not estimate a wage effect or prove causation
