relative_path,risk,recommended_fix
docs/analysis/parallel_checkpoint_3x160_serial_merge_prompt_2026-07-23.md,absolute_home_path,repository-relative or environment-configured path
docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-EXTRACTION-1000DOC-2026-07-25/compensation_extraction_1000_packet_manifest.csv,absolute_home_path,repository-relative or environment-configured path
docs/analysis/parallel_round2_3x150_live_prompt_2026-07-23.md,absolute_home_path,repository-relative or environment-configured path
docs/analysis/gabriel_state_source_scout_cost_log.csv,absolute_home_path,repository-relative or environment-configured path
docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-LIMITED-EXACT-SPAN-QUALITATIVE-PROMOTION-HARDENED-2026-07-25/limited_exact_span_qualitative_promotion_manifest.json,absolute_home_path,repository-relative or environment-configured path
docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-PIPELINE-HARDENING-READINESS-ACCELERATOR-2026-07-25/pipeline_readiness_master_blocker_registry.csv,absolute_home_path,repository-relative or environment-configured path
docs/analysis/tier1_worker_1_prep_prompt_2026-07-22.md,absolute_home_path,repository-relative or environment-configured path
docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04/07_EXTERNAL-DATA-FIELD-SPAN-EXTRACTION/runtime_recovery/runtime_recovery_manifest.json,absolute_home_path,repository-relative or environment-configured path
docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-FINAL-PROVISIONAL-MERGE-PROMPT-PREP-2026-07-25/compensation_evidence_final_provisional_merge_prompt_2026-07-25.md,absolute_home_path,repository-relative or environment-configured path
docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-AGGRESSIVE-BOUNDED-REANALYSIS-AND-CROSS-EXAMINATION-2026-08-06/04_AGGRESSIVE-SEMANTIC-CROSS-EXAMINATION/aggressive_cross_exam_results.jsonl,absolute_home_path,repository-relative or environment-configured path
docs/analysis/worker_worktree_recreation_2026-07-21.md,absolute_home_path,repository-relative or environment-configured path
docs/analysis/post_pi_wave1_worker_2_prep_prompt_2026-07-23.md,absolute_home_path,repository-relative or environment-configured path
docs/analysis/parallel_scout_serial_merge_prompt_template_2026-07-23.md,absolute_home_path,repository-relative or environment-configured path
docs/analysis/pa_nj_source_scan_preflight_2026-07-12.md,absolute_home_path,repository-relative or environment-configured path
docs/analysis/wave2_worker_1_ca50_prep_prompt_2026-07-22.md,absolute_home_path,repository-relative or environment-configured path
docs/analysis/national_corpus_expansion_preflight_2026-07-12.md,absolute_home_path,repository-relative or environment-configured path
docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-EXTERNAL-DATA-EXHAUSTIVE-RESIDUAL-SEARCH-AND-FULL-PIPELINE-2026-08-04/10_EXTERNAL-DATA-RECONCILIATION-LINKAGE/reconciliation_worker_process_manifest.json,absolute_home_path,repository-relative or environment-configured path
docs/analysis/post_pi_2000_municipality_strategy_input_audit_2026-07-23.md,absolute_home_path,repository-relative or environment-configured path
docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-AGGRESSIVE-BOUNDED-REANALYSIS-AND-CROSS-EXAMINATION-2026-08-06/06_CLAIM-ADJUDICATION-PREP/aggressive_claim_support_packet.csv,absolute_home_path,repository-relative or environment-configured path
docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-AGGRESSIVE-BOUNDED-REANALYSIS-AND-CROSS-EXAMINATION-2026-08-06/04_AGGRESSIVE-SEMANTIC-CROSS-EXAMINATION/aggressive_tier_3_upheld.jsonl,absolute_home_path,repository-relative or environment-configured path
docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-LIMITED-EXACT-SPAN-QUALITATIVE-PROMOTION-HARDENED-2026-07-25/quantitative_candidates_carried_forward_manifest.json,absolute_home_path,repository-relative or environment-configured path
docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-AGGRESSIVE-BOUNDED-REANALYSIS-AND-CROSS-EXAMINATION-2026-08-06/06_CLAIM-ADJUDICATION-PREP/aggressive_claim_support_packet.jsonl,absolute_home_path,repository-relative or environment-configured path
docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-EXTRACTION-500DOC-2026-07-25/compensation_extraction_500_packet_manifest.csv,absolute_home_path,repository-relative or environment-configured path
docs/analysis/gabriel_wrapper_smoke_test_2026-07-20.md,absolute_home_path,repository-relative or environment-configured path
docs/analysis/wave2_worker_2_tx50_prep_prompt_2026-07-22.md,absolute_home_path,repository-relative or environment-configured path
docs/analysis/tier1_worker_3_prep_prompt_2026-07-22.md,absolute_home_path,repository-relative or environment-configured path
docs/analysis/text_table_detection_full_run_merge_prompt_2026-07-24.md,absolute_home_path,repository-relative or environment-configured path
docs/analysis/tier1_wave2_worker_2_prep_prompt_2026-07-22.md,absolute_home_path,repository-relative or environment-configured path
docs/analysis/post_pi_wave1_worker_1_prep_prompt_2026-07-23.md,absolute_home_path,repository-relative or environment-configured path
docs/analysis/compensation_extraction/BROAD-STATE-WHOLE-CORPUS-CLAIM-CRITICAL-SEMANTIC-CROSS-EXAMINATION-2026-08-06/cross_exam_input_audit.json,absolute_home_path,repository-relative or environment-configured path
docs/analysis/parallel_worker_api_stability_diagnosis_2026-07-21.md,absolute_home_path,repository-relative or environment-configured path
docs/analysis/compensation_extraction/COMPENSATION-EVIDENCE-LIMITED-QUALITATIVE-USAGE-LAYER-2026-07-25/quantitative_candidates_carried_forward_manifest.json,absolute_home_path,repository-relative or environment-configured path
tmp/resume_remaining_gabriel_rating_after_schema_repair.sh,absolute_home_path,repository-relative or environment-configured path
tmp/field_span_runtime_recovery_reconcile.py,absolute_home_path,repository-relative or environment-configured path
tmp/launch_remaining_gabriel_rating_5lane.sh,absolute_home_path,repository-relative or environment-configured path
tmp/launch_remaining_live_scout_retry_5lane.sh,absolute_home_path,repository-relative or environment-configured path
