inventory_id,absolute_path_hash,relative_path,filename,extension,artifact_family,artifact_subfamily,tracked_status,ignored_status,untracked_status,symlink_status,file_size_bytes,file_size_human,modified_time,created_time_if_available,SHA256_if_available,existing_hash_source,exact_duplicate_group_id,near_duplicate_group_id_if_available,canonical_source_id_if_available,task_id_if_available,source_type_if_available,municipality_if_available,state_if_available,period_if_available,original_URL_pointer_if_available,extraction_status_if_available,claim_or_report_dependency,current_use_status,superseded_status,sensitive_material_risk,machine_specific_path_risk,redistribution_risk,clean_repo_decision,source_library_decision,original_archive_decision,post_acceptance_cleanup_decision,cleanup_priority,cleanup_level,estimated_reclaimable_bytes,replacement_summary_path,retention_reason,exclusion_reason,unresolved_question,lane_id,lineage
INV-321bc7b77c1ba8a648ab,,tmp/gabriel_huit_code_packet_2026-07-17/next_task.md,,,rating,rating_output,,,,,483,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,retain,none,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-6d076fdbb20b0babe195,,scripts/build_broad_state_4x2500_verification_relay.py,,,script,py,,,,,3726,,,,,,,,,,,,,,,,,,,,,,retain_if_essential,exclude,retain,retain,none,none,0,,Candidate for clean-repository reproducibility and onboarding.,Exclude only if superseded or machine-specific.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-dfeaed4ccee14733b378,,scripts/prepare_text_table_detection_pilot.py,,,script,py,,,,,25454,,,,,,,,,,,,,,,,,,,,,,retain_if_essential,exclude,retain,retain,none,none,0,,Candidate for clean-repository reproducibility and onboarding.,Exclude only if superseded or machine-specific.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-704b30a93679e54199d6,,scripts/run_available_external_data_non_ocr_extraction.py,,,script,py,,,,,112282,,,,,,,,,,,,,,,,,,,,,,retain_if_essential,exclude,retain,retain,none,none,0,,Candidate for clean-repository reproducibility and onboarding.,Exclude only if superseded or machine-specific.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-efc0593a5b8e138f98a4,,scripts/test_compensation_evidence_gabriel_claim_rating_summary_review_636.py,,,rating,rating_output,,,,,11814,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,retain,none,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-c5ccc88d8acb28966fb4,,docs/dashboard/data/reports_index.json,,,report,report_support,,,,,48230,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,eligible_after_final_asset_selection,medium,2,48230,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-8dc492aa2a80da955878,,docs/archive/texas_ohio_ingestion_provenance_2026-07/houston_fire_source_resolution_2026-07-08.csv,,,ingestion,ingestion_output,,,,,9350,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,eligible_after_reconstruction_validation,medium,3,9350,,"Large reproducibility layer; retain lineage, schemas, scripts, and compact canonical summaries before cleanup.",Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-571197874eda85ac57f3,,docs/archive/legacy_gabriel_pilot_2026-06/gabriel_websearch_thursday_presentation_outline_2026-07-01.md,,,rating,rating_output,,,,,3982,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,retain,none,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-2d63577b137ad1056a70,,scripts/run_compensation_evidence_limited_exact_span_qualitative_readiness_review.py,,,raw_span,span,,,,,35710,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,eligible_after_reconstruction_validation,medium,3,35710,,"Large reproducibility layer; retain lineage, schemas, scripts, and compact canonical summaries before cleanup.",Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-0277eda6f39ae9adaa4e,,scripts/test_compensation_extraction_readable_parse_text_1826_independent_bounded_review.py,,,script,py,,,,,6689,,,,,,,,,,,,,,,,,,,,,,retain_if_essential,exclude,retain,retain,none,none,0,,Candidate for clean-repository reproducibility and onboarding.,Exclude only if superseded or machine-specific.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-45aa264691f9ae65b3a5,,tmp/gabriel_state_source_scout/MA/national_batch01_ma_live_2026-07-16_retry_failed/cost_summary.csv,,,rating,rating_output,,,,,595,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,retain,none,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-05bf8f70406142a661c6,,docs/archive/early_occupation_scoping_2026-07/non_safety_transit_source_gaps_2026-07-06.md,,,documentation,project_documentation,,,,,13326,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,eligible_after_final_asset_selection,medium,2,13326,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-f9c9b7647fb8515b7a19,,docs/archive/legacy_gabriel_pilot_2026-06/gabriel_v9_preliminary_report_2026-06-25.md,,,rating,rating_output,,,,,13800,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,retain,none,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-f7ae312ef221646718b6,,corpus/ma_wayland/ma_wayland_fire_2020_2023.pdf,,,report,pdf,,,,,951569,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,eligible_after_final_asset_selection,medium,2,951569,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-31583193668139b64b0a,,tmp/huit_openai_request_shape_diagnosis_2026-07-17/validation_validate.txt,,,validation,validation_or_audit,,,,,163,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,eligible_after_final_asset_selection,medium,2,163,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-c1e787d73338029b77ad,,docs/archive/texas_ohio_ingestion_provenance_2026-07/texas_second_matched_city_recognition_clause_extraction_2026-07-08.md,,,ingestion,ingestion_output,,,,,1787,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,eligible_after_reconstruction_validation,medium,3,1787,,"Large reproducibility layer; retain lineage, schemas, scripts, and compact canonical summaries before cleanup.",Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-eb4a24eac6b6986e8e6b,,corpus/oh_cleveland/oh_cleveland_cppa_patrol_police_cba_2025_2028.pdf,,,report,pdf,,,,,5221909,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,eligible_after_final_asset_selection,medium,2,5221909,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-bf8b80abcd35f25de713,,docs/dashboard/src/main.jsx,,,dashboard,jsx,,,,,241,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,retain,none,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-d73c93982b864549f59e,,tmp/gabriel_huit_code_packet_2026-07-17/patch_diff_summary.txt,,,rating,rating_output,,,,,602,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,retain,none,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-5989f1374a8f7a7ef4ed,,corpus/nj_trenton/nj_trenton_other_afscme2281_cba_2019.meta.json,,,unknown,json,,,,,1274,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,retain,none,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-3837d1b01a5b6aa4260b,,scripts/test_gabriel_state_source_scout_prompt.py,,,rating,rating_output,,,,,17256,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,retain,none,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-a01e6820da454c482ac7,,tmp/gabriel_state_source_scout/MA/national_batch01_ma_live_2026-07-16/cost_summary.json,,,rating,rating_output,,,,,750,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,retain,none,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-c03aa41d15de337be3ae,,docs/archive/acquisition_recon_2026-06/ma_source_inventory.md,,,documentation,project_documentation,,,,,6828,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,eligible_after_final_asset_selection,medium,2,6828,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-29ce1ee7cd7ad84fbfe3,,docs/archive/legacy_gabriel_pilot_2026-06/gabriel_pilot/figures_v9/v9_top_documents.png,,,rating,rating_output,,,,,95688,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,retain,none,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-f7894dfc70935aa8d655,,docs/archive/acquisition_recon_2026-06/ma_boston_mechanism_source_recon_2026-06-26.md,,,documentation,project_documentation,,,,,5131,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,eligible_after_final_asset_selection,medium,2,5131,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-21215a47aedd771d3cb1,,corpus/oh_columbus/oh_columbus_iaff67_fire_cba_2023_2026.pdf,,,report,pdf,,,,,3294354,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,eligible_after_final_asset_selection,medium,2,3294354,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-b211d1bef0eb7546acd1,,docs/archive/legacy_gabriel_pilot_2026-06/gabriel_pilot/build_input.py,,,rating,rating_output,,,,,4905,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,retain,none,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-49f893123089c68c1f25,,corpus/pa_philadelphia/pa_philadelphia_fire_iaff22_award_2017_2020.meta.json,,,unknown,json,,,,,876,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,retain,none,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-0b72d40b152cf3e891e0,,scripts/run_whole_corpus_external_data_hosted_search_scout.py,,,script,py,,,,,102394,,,,,,,,,,,,,,,,,,,,,,retain_if_essential,exclude,retain,retain,none,none,0,,Candidate for clean-repository reproducibility and onboarding.,Exclude only if superseded or machine-specific.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-6402f451cb738d268447,,corpus/ma_franklin/ma_franklin_police_association_2022_2025.pdf,,,report,pdf,,,,,713664,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,eligible_after_final_asset_selection,medium,2,713664,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-3698b5496a06dda1a00b,,scripts/test_targeted_evidence_span_extraction_321.py,,,raw_span,span,,,,,13668,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,eligible_after_reconstruction_validation,medium,3,13668,,"Large reproducibility layer; retain lineage, schemas, scripts, and compact canonical summaries before cleanup.",Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-3c190ee9fe19d674dd0c,,scripts/build_national_batch01_il25_2_scout_input.py,,,script,py,,,,,15977,,,,,,,,,,,,,,,,,,,,,,retain_if_essential,exclude,retain,retain,none,none,0,,Candidate for clean-repository reproducibility and onboarding.,Exclude only if superseded or machine-specific.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-852ec6921abf589225a2,,docs/dashboard/data/content_triage_status_summary.json,,,dashboard,json,,,,,15708,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,retain,none,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-0ff097cfafc63528bf88,,tmp/national_batch01_ma_live_scout_validation_2026-07-16/audit_coverage.txt,,,validation,validation_or_audit,,,,,3579,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,eligible_after_final_asset_selection,medium,2,3579,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-30969754eab87ba997bc,,tmp/gabriel_state_source_scout/MA/national_batch01_ma_live_2026-07-16_remaining_first_attempt/raw_outputs.csv,,,rating,rating_output,,,,,695,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,retain,none,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-0cdd722d1d32fc331daf,,tmp/gabriel_huit_code_packet_2026-07-17/raw_outputs.csv,,,rating,rating_output,,,,,216,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,retain,none,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-ef1e95ce0649230d6ff7,,tmp/gabriel_state_source_scout/MA/national_batch01_ma_live_2026-07-16_retry_failed/run_metadata.json,,,rating,rating_output,,,,,1597,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,retain,none,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-748957bba06fc3ee5217,,scripts/test_broad_state_4x2500_verification.py,,,script,py,,,,,1950,,,,,,,,,,,,,,,,,,,,,,retain_if_essential,exclude,retain,retain,none,none,0,,Candidate for clean-repository reproducibility and onboarding.,Exclude only if superseded or machine-specific.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-86ab62e042ad7c167bea,,scripts/build_broad_state_4x2500_pdf_text_readiness_relay.py,,,script,py,,,,,7112,,,,,,,,,,,,,,,,,,,,,,retain_if_essential,exclude,retain,retain,none,none,0,,Candidate for clean-repository reproducibility and onboarding.,Exclude only if superseded or machine-specific.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-63f81afa3c0a710bdfac,,docs/archive/texas_ohio_ingestion_provenance_2026-07/texas_ohio_source_identity_audit_2026-07-08.md,,,ingestion,ingestion_output,,,,,16708,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,eligible_after_reconstruction_validation,medium,3,16708,,"Large reproducibility layer; retain lineage, schemas, scripts, and compact canonical summaries before cleanup.",Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-0b08daa24065239ef559,,tmp/gabriel_huit_code_packet_2026-07-17/validation/audit_coverage.txt,,,rating,rating_output,,,,,668,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,retain,none,none,0,,Preserve project lineage in the original archive.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-12df15d14ae002c5e4d0,,scripts/prepare_scaled_verification_batches.py,,,script,py,,,,,52816,,,,,,,,,,,,,,,,,,,,,,retain_if_essential,exclude,retain,retain,none,none,0,,Candidate for clean-repository reproducibility and onboarding.,Exclude only if superseded or machine-specific.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
INV-271cfbf379cb853c38c1,,corpus/ma_wayland/ma_wayland_afscme_1_2_2020_2023.pdf,,,report,pdf,,,,,1960901,,,,,,,,,,,,,,,,,,,,,,exclude,exclude,retain,eligible_after_final_asset_selection,medium,2,1960901,,Superseded historical output; retain compact lineage and selected milestones.,Not required in the compact handoff repository.,,handoff_inventory_lane_001,filesystem_stat_and_project_path_rules
