selection_rank,extraction_case_id,document_identity_id,text_table_detection_id,pdf_readiness_id,source_review_id,candidate_queue_row_id,triage_id,verification_id,state,municipality,government_name,unit_type,candidate_source_type,contract_period_start,contract_period_end,content_artifact_path,content_hash,pdf_page_count,text_layer_status,wage_table_signal,extraction_pilot_priority,candidate_wage_pages,selection_score,selection_reason_codes,matched_group_id,matched_non_safety_selected,matched_non_safety_case_id,planned_lane,gate3_category,gate3_confidence,existing_rendered_page_count,selection_status
11,cex_a873bae3a7a05fe3314754fe,doc_474dfb0b52bf507b6373bf5b,ttd_392f5825dab994f222f80bc2,pr_14c7a8e620c9d29a2fb152a3,sr_a7e1de777ac8369111c110dd,NSCQ-AZ-20260720-0005,TRI-5045aaba82f16647ccfb,VER-cc8580a925602528e8c4,AZ,Mesa,CITY OF MESA,non_safety,wage_schedule_or_compensation_plan,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0496_sr_a7e1de777ac8369111c110dd.pdf,fb4c986a9153478f208b74a38aa9dba155421203c15f92238ad0bc72b5e7ffcf,25,present,likely,p1,"1,2,4,6,9,12,13,14,24,25",42.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY|SOURCE_DIVERSITY,match_9330589c40697cc1df50124e,yes,cex_a873bae3a7a05fe3314754fe,mixed,,,0,frozen
12,cex_141f074f6b04c3604758829d,doc_38be1a40d84fddbc579c5334,ttd_4f6e0236c7b7414d86104f70,pr_cc90734d1b3c184db44e480a,sr_5d67ae36c41dcdd50c2a7832,NSCQ-AZ-20260720-0003,TRI-ae1779c61f26d708bba0,VER-2813e2da6001d6f03f44,AZ,Mesa,CITY OF MESA,police,memorandum_or_settlement,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0465_sr_5d67ae36c41dcdd50c2a7832.pdf,87485965edd921e96ee5be8fa69d148fb2d8cb2214b911a37931dfd4ce40098e,18,present,possible,p2,12,24.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|SOURCE_DIVERSITY,match_9330589c40697cc1df50124e,yes,cex_a873bae3a7a05fe3314754fe,quantitative,,,0,frozen
13,cex_984cbbc236fcfff6e4a419d0,doc_c42d5fc6002f27cfaaf337b0,ttd_2ce5b14e34446374d0a0d9e6,pr_b25efcd0bff817978c76129d,sr_699e21fcf09995693a5fcc68,NSCQ-CA-20260720-0445,TRI-0d89a8b37ba6e3e00345,VER-053c871a4fb077d4f417,CA,Azusa,CITY OF AZUSA,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0148_sr_699e21fcf09995693a5fcc68.pdf,91cbf232d869e35f55bb689341326880223a7dd2a7eb357b73479ec4ec5428e3,52,present,likely,p1,"29,51,52",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_a0864381490b2ce77f481dd1,yes,cex_984cbbc236fcfff6e4a419d0,mixed,,,0,frozen
14,cex_d3bedbd7465b1697d943e559,doc_86284c130e4f45d655b885c6,ttd_d9f42e095b3d0d19b338245b,pr_e86ca487bed3861587ad5ff1,sr_01d1561c19aa1c306c3e02d3,NSCQ-CA-20260720-0443,TRI-fd7b7c9ad47f9b1ae9c3,VER-b78c43cb9c470a6084cb,CA,Azusa,CITY OF AZUSA,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0124_sr_01d1561c19aa1c306c3e02d3.pdf,94b372a9c7eca7945784bb062d1694111b4f810584dbcdd43422b5ec1cfb04de,49,partial,likely,p1,"2,6,17,25,28",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_a0864381490b2ce77f481dd1,yes,cex_984cbbc236fcfff6e4a419d0,mixed,,,0,frozen
15,cex_2493343e2699ca44a4c9900d,doc_338a24240ab9e150cb615385,ttd_da31df639e8a22c336d5112e,pr_c8f5a200d1d143bc43a3e5ea,sr_3cfa38419b6ac6da812bae2b,NSCQ-CA-20260720-0444,TRI-f5c37580bcc3c684648b,VER-dc6df73f70cbefc1b36a,CA,Azusa,CITY OF AZUSA,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0261_sr_3cfa38419b6ac6da812bae2b.pdf,cd51f7d9285934c97df69c776c2765b7ac49af8d868552e21fedbda028688f6c,50,present,likely,p1,"2,12,17,23,28,49,50",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_a0864381490b2ce77f481dd1,yes,cex_984cbbc236fcfff6e4a419d0,mixed,,,0,frozen
16,cex_10f89b8ade8ce1cb0b9b4b76,doc_87b9746bf3f9c141fd992c88,ttd_09fb6576f51cf2e9174afd53,pr_c6f42fa49ee7dc3ddb6b5c1a,sr_a72e083524458d0c5609eb25,NSCQ-CA-20260720-0058,TRI-9c8b194da1a8bdb58098,VER-3efff7b6290613843fa0,CA,Berkeley,CITY OF BERKELEY,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0086_sr_a72e083524458d0c5609eb25.pdf,5d4fdd6d777f72ee528050d95999e84de4ef0dd2cf4995a0da3263e100854bf6,133,present,likely,p1,"16,30,74,132",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_7ec498b9ea8d0b7e4b6e6721,yes,cex_059fe0eff62409749bf63f97,mixed,,,0,frozen
17,cex_059fe0eff62409749bf63f97,doc_b9d8e95772fd3e65214eeaf0,ttd_d393887e1f88cebcacf984fb,pr_f8ca16016b9d928d16b99654,sr_e77936a08256f24d1ce59358,NSCQ-CA-20260720-0059,TRI-875ba2be017739fa5486,VER-4dc598c0beab9c6fb3ac,CA,Berkeley,CITY OF BERKELEY,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0225_sr_e77936a08256f24d1ce59358.pdf,4714cc08edafb13bde6e6bf17c8c946e78a719d60d16a87516da4d3f0e4a9c11,122,present,likely,p1,"14,62,68,122",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_7ec498b9ea8d0b7e4b6e6721,yes,cex_059fe0eff62409749bf63f97,mixed,,,0,frozen
18,cex_b469b0a23a3b954deb1b702e,doc_663c21ecee36d4db2e5cfc70,ttd_30c4a007a2b8c7ad8682525a,pr_a7afcf8a8dfbbecd28f994ab,sr_7c6faa980e2eb0eebd7ce774,NSCQ-CA-20260720-0003,TRI-93fb6d1d94454e4b3f9e,VER-dbf87997a5766ac3840c,CA,Los Angeles,CITY OF LOS ANGELES,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0008_sr_7c6faa980e2eb0eebd7ce774.pdf,fc60bd99f925be594a3da3ffd1391f3405244deafdbe921d20e317706c641e4e,231,present,likely,p1,"2,52,78,103,116,129",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_636ca655456d48d7a0f399a0,yes,cex_b469b0a23a3b954deb1b702e,mixed,,,0,frozen
19,cex_d406166f3aeabb43a6852065,doc_9f3568289105ee8b956b23d4,ttd_99e6ba85776a1f2420fbd4d5,pr_9ac944741af3f9d48b00fa90,sr_39e6c969a752873791a0e3e3,NSCQ-CA-20260720-0001,TRI-afa0734aeb8a200bbcae,VER-52c8fc3ebb2533edfc3f,CA,Los Angeles,CITY OF LOS ANGELES,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0002_sr_39e6c969a752873791a0e3e3.pdf,23e3832395c14abd7f1f5b358772293540b5ea17e0accda40caad9ed2de4113c,59,present,possible,p2,"7,14,27,58,59",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_636ca655456d48d7a0f399a0,yes,cex_b469b0a23a3b954deb1b702e,quantitative,,,0,frozen
20,cex_90ffe48d7bf651cdfa804ac5,doc_e38ff010783e3c755acced5f,ttd_1eb66347e5bb26fe98f8aa28,pr_078260e4b5341f150a3f8ecd,sr_df3d4d20bc5668c5086613ca,NSCQ-CA-20260720-0551,TRI-c6e91ff083eed62d517a,VER-3394fadabed1021b1eef,CA,Marina,CITY OF MARINA,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0163_sr_df3d4d20bc5668c5086613ca.pdf,df0406aac28b36316777e02fae12f67e019bfa3691ff1db0dbbde70a2736b1a8,15,present,likely,p1,"1,2,4,6,7,8,14,15",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_654be49260bb49eaa7347ee7,yes,cex_ab58f60853f3f470ab7b4550,mixed,,,0,frozen
21,cex_ab58f60853f3f470ab7b4550,doc_487a2fad4c910cf13a48bca4,ttd_2f886c1a0fb600fc4bdd3276,pr_205b006dd1d446c0cf90579c,sr_76bed5969ee1e8fe0e7e6b78,NSCQ-CA-20260720-0550,TRI-2b599efa7123149676ad,VER-8da594556bc6b614ae9a,CA,Marina,CITY OF MARINA,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0242_sr_76bed5969ee1e8fe0e7e6b78.pdf,5655097cf53da829bc4150ff0f351b5762daf5370c0d7d1cadf38c836d2cf4ee,20,present,likely,p1,"1,2,9,12,19,20",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_654be49260bb49eaa7347ee7,yes,cex_ab58f60853f3f470ab7b4550,mixed,,,0,frozen
22,cex_cf2ef3b39fdcb44d58e51f3b,doc_83f698400981835f1eec1036,ttd_9c9ee0dc13cc5b80490560f5,pr_0d6b6407a4d621f6bb448de4,sr_f567c10fc4c29904b86746eb,NSCQ-CA-20260720-0549,TRI-4e911c82427337c34cfa,VER-45fbaae766186d70faac,CA,Marina,CITY OF MARINA,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0239_sr_f567c10fc4c29904b86746eb.pdf,029d05baeab7fde4b49fb4bd4dde5bb24cd06041a43e0a6648beaedab1a96d50,35,present,likely,p1,"1,5,9,18,20,34",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_654be49260bb49eaa7347ee7,yes,cex_ab58f60853f3f470ab7b4550,mixed,,,0,frozen
23,cex_a34c43b943e92d4c5dfd1ec0,doc_a444aeaad6c83d9fa51e9fdb,ttd_2a55ee6b2c8223ef749fc72f,pr_fe95e10f66f327508a27239f,sr_a7f9d97071b761d1975ad5f8,NSCQ-CA-20260720-0155,TRI-1fb5258a1f39163f8613,VER-a56e596bb1d2b764d480,CA,Murrieta,CITY OF MURRIETA,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0218_sr_a7f9d97071b761d1975ad5f8.pdf,7c13206e8843ded835d2ad382fdec3302acfa624a6930a340d875c3837609cb7,54,present,likely,p1,"2,13,19,25,30,53",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_4e24eeb07ae6beac4ea64725,yes,cex_ec063f9215c2715217302aa8,mixed,,,0,frozen
24,cex_ec063f9215c2715217302aa8,doc_c3adee4113875d93d0c419f1,ttd_a5c7cc19474ba6ddfc0275e6,pr_a3b7161ef76e4e5fb7e9c64d,sr_647645fe18db7cafc1bf2e3e,NSCQ-CA-20260720-0156,TRI-c69a2762c66312250508,VER-854a6bed828dfda7a7a9,CA,Murrieta,CITY OF MURRIETA,non_safety,wage_schedule_or_compensation_plan,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0492_sr_647645fe18db7cafc1bf2e3e.pdf,f7d064632302438174fcecb11bc984d217ca05dd1eb810b723d490fe8b2d42a7,24,present,likely,p1,"1,4,6,9,11,13,14,23,24",42.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY|SOURCE_DIVERSITY,match_4e24eeb07ae6beac4ea64725,yes,cex_ec063f9215c2715217302aa8,mixed,,,0,frozen
25,cex_8834a31d6f413f451d76d344,doc_ba482521d0db05ce42407778,ttd_2174175d0cc6e49b006cc48b,pr_ea735de7fd26eaa2cf70dc35,sr_c1afb74d8eb07bb7724d3303,NSCQ-CA-20260720-0076,TRI-1d602c09cea814d27ae8,VER-7cc0ed00a5e58470d539,CA,Ontario,CITY OF ONTARIO,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0078_sr_c1afb74d8eb07bb7724d3303.pdf,89a1252285959c3c4a3d3e4bca7fd12b6a14d9bc8bf800a5f54f543574e8b64b,45,present,likely,p1,"6,16,21,25,45",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_20712f284810f3803de704cd,yes,cex_a95fed37613898243a98ab4a,mixed,,,0,frozen
26,cex_a95fed37613898243a98ab4a,doc_856748707fc652000dcc13c3,ttd_199f1cf48c7f8ee2f89ed77b,pr_cf70f1d5c74cca7351c1638d,sr_2093e877de9b031d91d5d350,NSCQ-CA-20260720-0077,TRI-8de08a3a1ab8ac9d3b97,VER-c6734b2610eb795b8051,CA,Ontario,CITY OF ONTARIO,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0176_sr_2093e877de9b031d91d5d350.pdf,6afa9bfe4cbbd04c58ba27de875938fb9275551ecb1bb6da0c7df22ae9c5564e,51,present,likely,p1,"7,12,29,50,51",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_20712f284810f3803de704cd,yes,cex_a95fed37613898243a98ab4a,mixed,,,0,frozen
27,cex_3ca2ec5cd72f94964c6f9781,doc_4176a515d4f9927089935f19,ttd_2aa4d74b278c385b9aee3d2d,pr_288ac03b686a40065b25e2cb,sr_588a6d289fe95691548a5883,NSCQ-CA-20260720-0075,TRI-595276059b2504a53a1d,VER-b5702a9858987f4eb917,CA,Ontario,CITY OF ONTARIO,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0162_sr_588a6d289fe95691548a5883.pdf,ac26c37a274d0007d928bb42888b9ea798366299cdc6e3a5d85be340790366f0,52,present,likely,p1,"7,12,18,27,51,52",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_20712f284810f3803de704cd,yes,cex_a95fed37613898243a98ab4a,mixed,,,0,frozen
28,cex_5bcf8fc4872759a9bb92a89b,doc_178fce3ed3483b7f6d02d1df,ttd_a52802d44a1f5f198a79a799,pr_8bc5b4d28961df7c3af63f30,sr_7a1e7e179be6878c489ecadf,NSCQ-CA-20260720-0062,TRI-c5493fc1d13d60bdef41,VER-1214b7e0bb439fa26f02,CA,Palo Alto,CITY OF PALO ALTO,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0247_sr_7a1e7e179be6878c489ecadf.pdf,700fe9c1531d2134dfdee60e563e577b8484d9a6b847337f652cb57b679d74ad,48,present,likely,p1,"11,17,22,25",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_c86709a7a168823a242cee29,yes,cex_1864b27ce7870f6f77773cd3,mixed,,,0,frozen
