analytical_unit,channel_classification_basis,claim_ids,department,external_staffing_unit_id,field_name,hypothesis_class,municipality,normalized_value,observation_id,observation_type,period,raw_value,side,source_SHA_256,source_coordinate_input_sha256,staffing_hypothesis_type,terminal_match_status,unit
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,fire,EXTSTAFF-9d81b44e1dfe5ad6aa3cbbd6,vacant_positions,supports_safety_pressure_channel,cog_2025_170800,2.8,EXTRECON-20e57b02b16f467eca87f5a5,vacant_position_observation,undated,2.8%,fire,e2197861bb7238485864db7e921d4a6ccf01fe63cf772bd96e51d24179d6c7ff,063434ea444cc9721b1a0b0d6f409bb7e2b0f41ffc1088da5bf04ee3429e913f,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,police,EXTSTAFF-bb3ecf233ca8777d59a3481f,vacant_positions,supports_safety_pressure_channel,cog_2025_170800,-25,EXTRECON-0daf142219f4ac8335f1d424,vacant_position_observation,undated,-25,police,e2197861bb7238485864db7e921d4a6ccf01fe63cf772bd96e51d24179d6c7ff,dd16b71b0d9931dbed45e2571018d87accc1e94a19ef12d3a6d83883891cd07e,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,fire,EXTSTAFF-dc228017c1f1319e42f9084b,vacant_positions,supports_safety_pressure_channel,cog_2025_131402,16,EXTRECON-9f6ccfb07172d63fa0843eb1,vacant_position_observation,undated,16,fire,b9e80d11db56aabb56fbf048135d9ac32b73db3160871c13d84e8606db232d8c,1bf86164fc029e0485b3e5a2b45ea8b63b6a9795fb23ac931d127f9301a30229,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,unclear,EXTSTAFF-a3bc8ad677b8fc1b0154a15b,vacant_positions,supports_safety_pressure_channel,cog_2025_131402,80,EXTRECON-02a14dc0edacc3e260ff6f09,vacant_position_observation,undated,80,police,b9e80d11db56aabb56fbf048135d9ac32b73db3160871c13d84e8606db232d8c,1d0782bab002297f5aa59fefba64e175e72da442c1caed8c40f64e033ec4990b,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,police,EXTSTAFF-01ff79efc525f60aeb4a3be1,vacant_positions,supports_safety_pressure_channel,cog_2025_194874,19,EXTRECON-72b749bb3b5ff9c94f86ee75,vacant_position_observation,2026,19,police,ad5a70ca2253a90ec62d0ccc0a3fdfa591e34e6290253318d4dd0f2a6822e7b4,c75d065cbd83aeadef81e212182ff74726077a3528cb0c26af294afffb5ebcfa,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,fire,EXTSTAFF-e0ca747ded835588ede65b56,vacant_positions,supports_safety_pressure_channel,cog_2025_208363,0,EXTRECON-b3ef6cb5238058e908e83779,vacant_position_observation,2021,$0,fire,3596feaaf18a144b8e16cb96cd38bc4aed9c71552899d4bd5647db96a82d7974,afdb84217c88b9a343e2f8f652ef5b9170510d84f06192998bbc5337cad125c2,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,unclear,EXTSTAFF-8ab2bcf6b444527b9df2ef8c,vacant_positions,supports_safety_pressure_channel,cog_2025_166211,1,EXTRECON-f134579b830fb4b9344e3637,vacant_position_observation,2025,1,safety_combined,75fae1d5d04ef729f0e4553897335a886f8a62a1ea3cdb9ee38f51dda9829deb,4dcac86212581e3ee942af13515beb69193e0c46d75c277fd14144672863196e,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,fire,EXTSTAFF-e8f5d4174cb585148473bace,vacant_positions,supports_safety_pressure_channel,cog_2025_212039,2025,EXTRECON-f68a936d0bfcd4c2ed24d35d,vacant_position_observation,2026,2025,fire,1bf2efffc73acc95f289168f161070c0180ddf39eb9771ea1e683e62b50b46c8,097136e3a9c32c2786ad07c19a6bac2d3a71d9970da35af2ae62871b7d830062,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,police,EXTSTAFF-f86849256d14ff08ed890b81,vacant_positions,supports_safety_pressure_channel,cog_2025_225670,17,EXTRECON-e989193b4c962f3df2c817fb,vacant_position_observation,2022,17,police,1d1066edab94d8d7bfeccb3cda6514764620d19143368d5dd6a101c5bfb7aed7,567480a9907446019bfe9b4b45101bb08b7dadf30fa5537c7c0cf94bac769f0b,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,,police,EXTSTAFF-a14b0e8a54f03990454bb594,vacancy_rate_explicit,supports_safety_pressure_channel,cog_2025_202206,774,EXTRECON-eca2740c0a0b7494d181c3c6,vacant_position_observation,2024,774,police,cb2ffa05527f64d9b9f86d3a27c04d5e08d1b14168bea9bae650eea39336216a,f0bbc4e5918b812a93d3f38239a56a883c9dd3fe5b6558d65b25f0d7d5e8f2c7,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,,fire,EXTSTAFF-8735673e5054ba09fcfa19d4,vacancy_rate_explicit,supports_safety_pressure_channel,cog_2025_202206,743,EXTRECON-d42ebf4a4500ff8374edb704,vacant_position_observation,2024,"743,",fire,cb2ffa05527f64d9b9f86d3a27c04d5e08d1b14168bea9bae650eea39336216a,4ff96728234d8d4338b8403824ae327e569262bf5a5a2b972a6805fbc2711afb,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,unclear,EXTSTAFF-c3fc627a859ee5d8894881db,vacant_positions,supports_safety_pressure_channel,cog_2025_225756,One (1),EXTRECON-82c730e09f5f2abb0c9e1dc5,vacant_position_observation,2025,One (1),safety_combined,fc89554f9bf00e441b12f96fc3fa45f7bab8d55739f1141c338362b31106d344,bf710e3658912249315ffbbc53579d6ba6d4a6997c641fa6281a9807c084d715,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,public_safety_combined,EXTSTAFF-a5fa28b5c25ffbb2c2dd290f,vacant_positions,supports_safety_pressure_channel,cog_2025_183845,"·
Directly involved in services for public health, public safety,
or homeland security.",EXTRECON-9671f04c7a6e7e6811f0660b,vacant_position_observation,2018,"·
Directly involved in services for public health, public safety,
or homeland security.",safety_combined,e25744fea060244e84c7ddbe293536bcd4284e392f685e4eca449831410de3f1,778dd2c4fbb30ef7b65f6d37a3baa310eec9586ef81acb0d10eeaa4feefb8f42,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,unclear,EXTSTAFF-08af53472705b6faf4b5e27d,vacant_positions,supports_safety_pressure_channel,cog_2025_170709,69,EXTRECON-f4201087600fcf0ce7c37edb,vacant_position_observation,2014,69,police,0f4f3f853d4e223e465dca7e72f63cd52a80db3601d55e385c3a20f9f0236940,a968d964831ab845ebb141f81b97d94ca43d5988ea64659434eed47e080d1e53,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,fire,EXTSTAFF-0f9e6ab0970920aa2c96957c,vacant_positions,supports_safety_pressure_channel,cog_2025_100699,151,EXTRECON-dd87cf42cdbe1bffbd1c45da,vacant_position_observation,2024,151,fire,fda84e0debaabfb40ab31e521209bac67e304d095a74f8f5292cbf3efafd1fa2,77deeed142f438c7688383df441238c2501788a483ad497a49972fb22330eed0,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,police,EXTSTAFF-b1ebf675b4bd473d6210707c,vacant_positions,supports_safety_pressure_channel,cog_2025_131431,2025,EXTRECON-f93e75e2c624c7ec576338de,vacant_position_observation,2024,2025,police,536e9a4a95abc12f681665504cbcecf7c50a65729e06814ae8f9bfa121390a4e,0ce20c32d0a3194a82fde93849526c54e462e5482a097536b2f8cc2b93759f7b,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,police,EXTSTAFF-7101f18a351f4a12bd407856,vacant_positions,supports_safety_pressure_channel,cog_2025_131431,85,EXTRECON-27d948bb8d3bd4ca25ca15d0,vacant_position_observation,2024,85,police,536e9a4a95abc12f681665504cbcecf7c50a65729e06814ae8f9bfa121390a4e,e031860f8575c550aca85212b94575e4f64d16fa140ce87e8a08e251d20e4987,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,police,EXTSTAFF-b95fe429d105e824aff1339d,vacant_positions,supports_safety_pressure_channel,cog_2025_166790,-1,EXTRECON-e89c5f582947dae093d7032e,vacant_position_observation,undated-source-B4X2500LIVE-20260729-002884,-1.0,police,93528aa7111cd4e1c3e53c29e20eefbf3bb7ad066f9c7b890ffc5a1d7989a53d,0b37743597ead918cbd046d904cd9cd0ec220ae334b4c19e276ea9774e830805,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,police,EXTSTAFF-773ae7ea0c06e4d464c42367,vacant_positions,supports_safety_pressure_channel,cog_2025_166790,-1,EXTRECON-236ad59788b66d23d4533503,vacant_position_observation,undated-source-B4X2500LIVE-20260729-002884,-1.0,police,93528aa7111cd4e1c3e53c29e20eefbf3bb7ad066f9c7b890ffc5a1d7989a53d,794adde7335c4976ebcaecf95c37260e5494fb242d743c7c273715dd5739dc1b,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,police,EXTSTAFF-dd2b23a3c7cc80574b6b4416,vacant_positions,supports_safety_pressure_channel,cog_2025_170646,8.5,EXTRECON-144aac6b5a9220d2aa13f4c9,vacant_position_observation,2025,8.5,police,658a403131fb5d819fa7494dca86ed37ba2f975b387dd35f58f3442b0043bcbe,197942632320b23e5cc2cec106c366b768898b2b6246574ef734732935b62d80,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,,police,EXTSTAFF-cf113fb0981ba5a9ffa5d395,vacancy_rate_explicit,supports_safety_pressure_channel,cog_2025_170985,356,EXTRECON-0ca78e09ceace1e1f615ba1a,vacant_position_observation,2023,356,police,0e41b15ae9f4d49e9b97a0c880817807952f6643fce83e69813a2c3822bba46e,d9f77f57a214d5b458a504298509acae32e4bf6049575a234f4a93088cf6dd62,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,,fire,EXTSTAFF-354cdabe1c412e4831437966,vacancy_rate_explicit,supports_safety_pressure_channel,cog_2025_170985,743,EXTRECON-21fcc6a37a9900b5784c79c0,vacant_position_observation,2023,743,fire,0e41b15ae9f4d49e9b97a0c880817807952f6643fce83e69813a2c3822bba46e,81039ea244800811e32855268526af01b1391bb334b166a499bbe025ef029994,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,,fire,EXTSTAFF-8a779b519a6b94b81f1bcf08,vacancy_rate_explicit,supports_safety_pressure_channel,cog_2025_170985,58,EXTRECON-19de590fbdac9a88b018bd9b,vacant_position_observation,2023,58,fire,0e41b15ae9f4d49e9b97a0c880817807952f6643fce83e69813a2c3822bba46e,0fe76f30f55b6b00757f401ad7d14459ed3d078f9639dc18efdf7b3c92efdc36,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,police,EXTSTAFF-d49281ad1efddc9813e8ad04,vacant_positions,supports_safety_pressure_channel,cog_2025_208467,7.53,EXTRECON-31de9abeb85b388d913ccb09,vacant_position_observation,undated-source-B4X2500LIVE-20260729-000495,7.53,police,2d949f6fc49dca3e1f5895f364c84046f2fb06e8c55bad2ab93d5c61ef44149f,342d0e9d00503bab06c0c33d0d002dcde7fe2caf63965532dabb1715b97011dd,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,fire,EXTSTAFF-cfb3f330e683696c8f368f3b,vacant_positions,supports_safety_pressure_channel,cog_2025_170601,2019,EXTRECON-6f75327377990df01151fac9,vacant_position_observation,2020,2019,fire,b5de4532bd471f766ccc05db8bf1127b619789e1ebed625b95f74cf2493230aa,abda29bbc39eed048d6620e1ccfe16a88ec0d5160bfcf5f5499bffcaaea1589c,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,unclear,EXTSTAFF-bbab7bc0ce386b90ec2289cd,vacant_positions,supports_safety_pressure_channel,cog_2025_111011,-25,EXTRECON-ab2a241633f07a6245647bc6,vacant_position_observation,2016,-25,safety_combined,b12763aeb0bb2371b17fea4b225bdbe592102b9b16b494633b22c8763d6c8666,957a9d1980b5260fa7d43fd3ac1e466f507d6d7bcb4009578bb2d7e809826e82,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,police,EXTSTAFF-e6e32d6c940c583b00892662,vacant_positions,supports_safety_pressure_channel,cog_2025_111011,21,EXTRECON-133cd00e759f0f79a25235b0,vacant_position_observation,2016,21%,police,b12763aeb0bb2371b17fea4b225bdbe592102b9b16b494633b22c8763d6c8666,b536aa306813e28d6611e3fac26b9cb68cd0fc6a4ce3ea4904bac84a0bdbad80,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,police,EXTSTAFF-fba572535365e8b7238a12d7,vacant_positions,supports_safety_pressure_channel,cog_2025_170647,2,EXTRECON-3bfb694a7bbc362f1276e6b0,vacant_position_observation,undated,2,police,8169a02f80cebd1988cc19c31f25b8ab50df853d0747546041554ea4c3bba561,9c7a7e97a0df6b4acf5812359132ed8a4a567b1ee2f69e33ea97f981f77aefd4,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,police,EXTSTAFF-82516049cf8649394a962abd,vacant_positions,supports_safety_pressure_channel,cog_2025_191844,-2,EXTRECON-eb3a7f096985a03c95ea8bf8,vacant_position_observation,undated-source-B4X2500LIVE-20260729-005879,-2,police,1fee5b300f0b2ce042022db6c3349f0a2fe36c3eadb476925c06e1585b72d8f9,9bcdeb6676dbd4c7b4bac62b28bce747125fc0164bbba0ec2412d224ce27850d,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,fire,EXTSTAFF-249c3f4b9e0e7bf685b8051d,vacant_positions,supports_safety_pressure_channel,cog_2025_170801,24,EXTRECON-c2a7b38fabd248e225046a1b,vacant_position_observation,undated,24,fire,3f2c815902ec5375f0f620c8e397662b4d3cc4478fa8dfe090b4401095eba9c4,ade12b941688ed9f4bc28064e264b7ccdcb4ab617d288c237859e91fd0c3b0a9,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,police,EXTSTAFF-f96f47c4599f2fb8aa2083bc,vacant_positions,supports_safety_pressure_channel,cog_2025_109598,1/1/20,EXTRECON-4610a44387d20c4c873786b9,vacant_position_observation,2019,1/1/20,police,99451ae383390eddefab91ddedcbae983ff178c96f0f74ecedfeeff4e1a67d72,6478a7dd490ecb0c5f7a2991edff20edcbbbeec4d7f2361a40aa88dba2bbee9f,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,police,EXTSTAFF-c64e1ff0a754c6fb0dda869e,vacant_positions,supports_safety_pressure_channel,cog_2025_211455,0,EXTRECON-034f75ab1f641185a5899516,vacant_position_observation,2026,0.0,police,5a6137f1d06b07b795003014b55eae80159f43267e6eb2acf2576e7ba1caa57c,13fdb302bde177c13b9cf262e182248b9e0639d9a50778934fb84d59461d4468,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,police,EXTSTAFF-b006bb1350b5f8fd83d40164,vacant_positions,supports_safety_pressure_channel,cog_2025_170794,-25,EXTRECON-b1a6f868fb6b90b3612598b3,vacant_position_observation,undated,-25,police,3ec0ca4e769d98ada26fcfa37ae729fa224bc35f4fd57ca59f4837b9131bd7a8,a7336ffc6fc9733240954cfa1b01b93ee514b6d7b9185b0d62266eaf97fb033a,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,police,EXTSTAFF-37c2c46852e21d3dae6bed8c,vacant_positions,supports_safety_pressure_channel,cog_2025_185062,1,EXTRECON-9b0300bfa956a0621601121c,vacant_position_observation,2017,1,police,7cca5cd64b21bafabe1a47d3adc73566b6e91b8f4cd34f1e8e9de688e15891a4,605d8331ee98513a0263e956512736def3e222dbf19eed197c98edb4010aceac,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,police,EXTSTAFF-6b4d35a8dee8388b8c799ccf,vacant_positions,supports_safety_pressure_channel,cog_2025_185062,7,EXTRECON-3707e346c02d8aa7aa6a66ad,vacant_position_observation,2017,7,police,7cca5cd64b21bafabe1a47d3adc73566b6e91b8f4cd34f1e8e9de688e15891a4,0acd700ed7a3c31b3c73f520201d24a8838724449761c1951ed01b34146be76c,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,police,EXTSTAFF-942897e78730bc9f48156732,vacant_positions,supports_safety_pressure_channel,cog_2025_170800,8.7,EXTRECON-0531d287e3dd2132e33807ec,vacant_position_observation,2024,8.7%,police,3799bc9e8795d76104b51d8adc10e26f83c1a9976d8724377704486b7f205d87,16a5a733b03ce9f7db2c8d664caf777b667807e5955a3ddf1292154c7d9f2838,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,police,EXTSTAFF-489556c96e0b8dbb3a36b239,vacant_positions,supports_safety_pressure_channel,cog_2025_225354,22,EXTRECON-864da09a62ca64125b580876,vacant_position_observation,2022,22,police,eb7e3c3624ba6feb74e1721e85e1ffcf9268e14875c38b6629d5811d3ee20e53,88ef3a28b55639acf301551de54e357580c897cda8bcccf8d77feee1aa034ab7,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,,police,EXTSTAFF-c9ec7500b73a776c0fce59b3,vacancy_rate_explicit,supports_safety_pressure_channel,cog_2025_204767,36,EXTRECON-79cb4e7c37ec2cd2a8690014,vacant_position_observation,undated,36%,police,8dc4c1e71bdbb0bb66780c53d3b5c8538086128a64f5513eae9d9250adf754da,36249f764d453a554f1782efefb33d7c20a2320183195180304f9eea5e86ac40,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,fire,EXTSTAFF-9025873745311021b8491ed7,vacant_positions,supports_safety_pressure_channel,cog_2025_184103,743,EXTRECON-51f39d21f87642a18396e9cb,vacant_position_observation,undated-source-B4X2500LIVE-20260729-008912,743,fire,78be025517b14695592d4588e862498b297ca4405422bd6cd49985f6d40cd8ea,35f2a8b1209c00221900f077270862509be1b97568392fcbfa655a7c49cf80f3,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,police,EXTSTAFF-c6be8127f8d5e108305323d9,vacant_positions,supports_safety_pressure_channel,cog_2025_184103,8.6,EXTRECON-93d6c000f62ceabfe0b468ea,vacant_position_observation,undated-source-B4X2500LIVE-20260729-008912,8.6,police,78be025517b14695592d4588e862498b297ca4405422bd6cd49985f6d40cd8ea,1135085e205a7f8359914c34c5da9c24a16f61c2142b650debfbc5be4e45c534,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,,police,EXTSTAFF-b74755cd3ea7e0f5abe8c173,vacancy_rate_explicit,supports_safety_pressure_channel,cog_2025_171263,4,EXTRECON-a453ec501b190e0ed5a80579,vacant_position_observation,2021,4,police,73dd0833f4fe57229ea631d72a54b806eb220040120099801deb3eb9d1894c3d,1c53c9a3a6e57493cbdd5eb60ec45f28dc52eee432104eeac1b158f2a5348d03,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,unclear,EXTSTAFF-9ed19573727f8cdd0a87eacf,vacant_positions,supports_safety_pressure_channel,cog_2025_106593,1642680,EXTRECON-cb931ff5a1cee2e31fd82671,vacant_position_observation,2022,"1,642,680.00",fire,b9d661644af29535bed1cb6858339bd8c7b5d460acaccd4ab760f890b2ec6394,aab5d993f2ff060cc43f9c825cccabb0cf85983f36a5bfca0acedff9625a46e7,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,MECH-06,fire,EXTSTAFF-b872c02c452657152ac0f87c,vacant_positions,supports_safety_pressure_channel,cog_2025_102595,14,EXTRECON-89d1edf7a90c013e863c57db,vacant_position_observation,2023,14,fire,e1b1128326e64e5b15c90b54d6ec3925473aee5a624e68f7d17f60935e79b773,dba423e200a9d3069465f16147ec8e510d0f68c6d88abe936520bc658adaa91d,vacancy_without_elimination,matched_staffing_ready,
source_specific_staffing_observation,explicit reconciled side plus explicit staffing hypothesis type,,police,EXTSTAFF-18d4bfa02a4858d7d7b790d4,vacancy_rate_explicit,supports_safety_pressure_channel,cog_2025_207913,-25,EXTRECON-ec922325c21e9c612540f38f,vacant_position_observation,2021,-25,police,cb37fefa7ca38f6e0189e33fab2045dab79bb753730d60442999e87d121b7e5e,bea53cb59da52899d10e22066f3155ab20bbd10228850c2d91f0c21076fb1cb7,vacancy_without_elimination,matched_staffing_ready,
