adjudication_performed,ambiguity_flags,canonical_external_ingestion_id,claim_linkage_status_after,compensation_basis_after,conflict_flags,conflict_reconciliation_status,department_after,expected_consequence_if_rejected,expected_consequence_if_upheld,external_administrative_observation_id,linked_claim_ids,municipality_after,pay_basis_after,period_after,proposed_analytical_role,reason_for_cross_examination,recommended_review_type,reconciled_external_observation_id,side_after,source_SHA_256,source_character_end,source_character_start,source_excerpt_or_table_row,source_page,source_row,source_table_id,mathematical_result,formula,numerator,denominator,supporting_or_countervailing_role,semantic_question_to_resolve,recommended_review_method,final_adjudication
False,,EXTINGEST-9567dbc3348bc6a9721325e2,event_linked_claim_pending,staffing_or_non_compensation,,not_applicable,not_applicable,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-5136139be887e4b0821e0261,,cog_2025_160809,contextual_value,undated-source-B4X2500LIVE-20260729-009821,contextual_only,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-42ea1ffc6f4a003b96875824,side_independent,7afc99bcf6b464694aefa40758ec11cc99739ab4cad66474e99fe66715f6b4ef,755089,755088,0,118,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-1746df2eed39138470fdfee4,event_linked_claim_pending,staffing_or_non_compensation,,not_applicable,not_applicable,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-928daf436addc17a65ec035e,,cog_2025_167028,contextual_value,2022,contextual_only,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-e81f60ce9849901adfecc2c9,side_independent,121fb2e6d2cab3b56a58676297f6c6c9eeac638fd717328a2e0173806122cb21,70450,70447,50%,8,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-eb165c6a5f4e25405b711c9f,event_linked_claim_pending,unclear,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-e6736fcbec4ebadc47881c59,,cog_2025_194856,unclear,2024,local_comparison_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-c35dc3cbe4d39217b130f268,unclear,512238a0a413ffd07ecfa32f8272510508621c9a887d22be468154c2d5eb0ac2,189077,189072,"2001,",99,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-51b1e6a4e41ed4dfc31d6f29,event_linked_claim_pending,unclear,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-fb68835f83d11285a8bf3576,,cog_2025_208821,unclear,2025,local_comparison_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-e22430ee9afbab39ca72f1af,unclear,f0bb751659b34d20eade68a3ac25f7e0b9d492897e856d2c8366acf29e54847f,459330,459321,"67,644.00",226,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-3a3304215d0a28b427998b2a,event_linked_claim_pending,staffing_or_non_compensation,,not_applicable,not_applicable,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-42eb81668f3d767333c75258,,cog_2025_166963,contextual_value,2019,contextual_only,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-2b67ce995e316e7bb6978263,side_independent,0f2ec1a57653aeef77a762a0c8f9138fcdce856ba6fd9ee05d37feee0a41449e,679545,679539,"48,707",222,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-041e17f5756878b8a7d132f5,event_linked_claim_pending,unclear,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-ae50e3e295617ef3ec9ece4c,,cog_2025_189926,unclear,2019,local_comparison_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-67e4c748cc1bd69315f5ceed,unclear,9b38898588bfaa208c26e1704d7532e9c98b43a3c97424dc78c42a36187e9fe7,109250,109247,3.0,33,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-44f74e58c7672ea2730b1faf,event_linked_claim_pending,staffing_or_non_compensation,,not_applicable,not_applicable,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-779126c9c0ee9e217b77bd84,,cog_2025_208652,contextual_value,2014,contextual_only,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-241a8681e61c63675332415b,side_independent,414c3d717d5c944eb49956f670bf0a00ac86ed48fc17996a7d1e88e62fa85a07,51615,51613,$0,81,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-e96dfe457c6541743b49964c,event_linked_claim_pending,staffing_or_non_compensation,,not_applicable,not_applicable,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-fb0550b34c3d33c8722016d3,,cog_2025_209813,contextual_value,2021,contextual_only,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-f01eb3dd15ea3bfce7cbf76f,side_independent,cc8ca7811b179c0033a38bfe9fee10feff631b0d1dfb8df85e146d3f4d156319,520222,520220,16,,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-aecfa88b6b90ce836a3678d0,event_linked_claim_pending,salary_schedule_rate,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-c570f482c2f0bda2a1d1000e,,cog_2025_106593,unclear,2015,growth_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-7cab7c7222b8c1d467e1e1c0,unclear,d96e99337b04ac44be7a7be1eca59dd60194e7a3ab9665280532bbe64b1e5b14,117020,117003,Home Dean Review,33,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-f98a3b5ec952f9b0cc5392be,event_linked_claim_pending,unclear,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-51061fcae2eb5d466883ac4d,,cog_2025_164297,unclear,2020,local_comparison_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-fad1a21cd2f65aa8a2df942e,unclear,38a6e932c8a55a4fa278b5aec241284942b2543e0ca6900d964268ceb9c44f04,,,Budget Unit Brief,,1910,html_table_1,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-d2699b828ee94c66dbcdfa1a,event_linked_claim_pending,unclear,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-0dce3daf58aa63dc388148d5,,cog_2025_164297,unclear,2020,local_comparison_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-8e321f865f77968852af7b66,unclear,38a6e932c8a55a4fa278b5aec241284942b2543e0ca6900d964268ceb9c44f04,,,Federal Cash Management - Standing,,5353,html_table_1,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-e7b5b9393c110e0d67aa04da,event_linked_claim_pending,unclear,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-a67977b7644c8dbec83e2bed,,cog_2025_164297,unclear,2020,local_comparison_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-412e47a3ec1e664ccd590af0,unclear,38a6e932c8a55a4fa278b5aec241284942b2543e0ca6900d964268ceb9c44f04,,,Adoption Subsidy,,5978,html_table_1,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-f434befa89103959571b2e64,event_linked_claim_pending,unclear,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-aa2055966af88e2a91928336,,cog_2025_194910,unclear,2024,local_comparison_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-1fa9c414ea4b79acde4f21c9,unclear,a09b5a2d62130f5b7d3ad46a69350402f43e99b30202fe44a93983caf0191fd1,8876,8873,-25,4,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-28adf7352dcb299983677899,event_linked_claim_pending,staffing_or_non_compensation,,not_applicable,not_applicable,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-3a8d6e773a823b81e6a1aff5,,cog_2025_166360,contextual_value,2022,contextual_only,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-6af948e0732972d89b34cecd,side_independent,53632026aa068a3d8be9c91a7618e25ff1b7cf533a943c43f3b52dcbbebf887d,99040,99036,2024,36,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-a20361c77f6e593d5808beb4,event_linked_claim_pending,unclear,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-7507ad32c330e43c98294327,,cog_2025_194555,unclear,2024,local_comparison_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-d2dcae804999597d539a46d2,unclear,6d8eede2ee8588b20a62996d7bf4f498e4534632425ac89b71acce039f7e5857,,,Contact Name:,,2,html_table_9536,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-b36585a806465910526bb802,event_linked_claim_pending,unclear,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-fb70ded6cf1eed956de8780c,,cog_2025_194555,unclear,2024,local_comparison_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-274bb53488104ce5ab4da230,unclear,6d8eede2ee8588b20a62996d7bf4f498e4534632425ac89b71acce039f7e5857,,,MELISSA HEINAN,,3,html_table_10167,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-9c342e50b01fe4c5540af04a,event_linked_claim_pending,staffing_or_non_compensation,,not_applicable,not_applicable,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-8303c8aa79f665a3ef966fb1,,cog_2025_130834,contextual_value,2024,contextual_only,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-b2f3b0552e81658dcb7ffda1,side_independent,2501a0273266c2d19fc07c9ea6854fd6b74efe6466c81296cf9e920c63e80419,,,Beachwood borough,,452,html_table_1,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-ace5907d6318f5d3dd5484ad,event_linked_claim_pending,staffing_or_non_compensation,,not_applicable,not_applicable,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-6ea9272109f2201640b3d1b6,,cog_2025_204667,contextual_value,2022,contextual_only,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-caebcd0c0940852af56f8611,side_independent,a1521e3bfe79c026a7d19bd5035d7eda904a7c7befb332bb40fb70cdf8eaa063,140905,140892,"1,268,536,636",58,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-3b2aec8b216fe280fc32e786,event_linked_claim_pending,staffing_or_non_compensation,,not_applicable,not_applicable,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-13136c02b2927064322748f2,,cog_2025_169189,contextual_value,undated-source-B4X2500LIVE-20260729-000596,contextual_only,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-a3de7827c9c6759378849be2,side_independent,3e33d46b0b1bcb51892d5704e4c127898446f0cf5f0218acff9650b867b68d73,9365,9354,"420,047,616",5,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-bb1a31f63f3c39939d8327e5,event_linked_claim_pending,unclear,,not_applicable,police,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-be242fb8d61fa29445e5c708,,cog_2025_170489,unclear,undated,local_comparison_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-79723d25498669a07f5cd055,police,0371e7cf08886fce006699ac9803bda310bc367c9121d43b3bbca1dc05157af8,9068,9062,"24,890",4,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-abe7966cec7c9b7a4ad73651,event_linked_claim_pending,unclear,,not_applicable,police,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-084ab5ad61f8c24fdef28972,,cog_2025_209092,unclear,2016,local_comparison_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-d8e97ba70b1fcca5e9e319e4,police,d2dcb1d4f926733185aeb046bca46d59720b25c08d7004e79b74eb9307a988e9,34259,34258,0,23,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-4be665bbd562b22b344100cc,event_linked_claim_pending,gross_pay,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-96a3a7e08170dc3877a5c33f,,cog_2025_166702,gross_pay,2022,local_comparison_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-e64fd8c6e41e5f5731a9fa7d,unclear,ea82e67e52d22da1380fdd14785df8624c319bdcca95d2926d34e7a171ec4ddb,66308,66302,"10,665",32,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-118bbe8d4d4c1689474296b6,event_linked_claim_pending,unclear,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-becb419ec840d6ca786b4ae3,,cog_2025_170594,unclear,undated,local_comparison_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-367b3e1beee8b220f10e4e53,unclear,516f55a4308bb9a203e2f3f01f5e0cb49ee308ca91828f050fbb2baefe09c6ae,68768,68764,2023,65,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-5af041964906ef31e1f5f39f,event_linked_claim_pending,salary_schedule_rate,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-e3597c4465e7eed1c9071d90,,cog_2025_177095,unclear,undated-source-CBSRD-20260728-c167f2a61f4166190396,growth_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-52ee373f7cb7ea56ffc03b60,unclear,fd51dee035a91def5af3f416e652143be817974bdf301895dc418dee11a899ab,147236,147234,11,80,,,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-f3847d22b29e8fa134e0dad9,event_linked_claim_pending,unclear,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-219be42fe4be4ac3f1f5b1ad,,cog_2025_205404,unclear,undated-source-B4X2500LIVE-20260729-007127,local_comparison_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-3b526ef86b38c84842ce3ab8,unclear,5994cb091f90e5761f34b23a51f406502931b505c2cabc3f87240204235d954e,,,Smyrna town,,290,html_table_1,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-8d45af4bc36fc11d32111757,event_linked_claim_pending,unclear,,not_applicable,unclear,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-ecab8894353352fe74945971,,cog_2025_162791,unclear,undated-source-B4X2500LIVE-20260729-005063,local_comparison_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-5f2de79b3dc41e60bd0ad9c2,unclear,60f72b9e16e5effc98d17f2a2f4944ea01dbea2799ee490f78cddefb6df92608,,,DEPARTMENT OF CORRECTIONS,,815,html_table_1,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
False,,EXTINGEST-040c9d363b4c0e800ae4eea8,event_linked_claim_pending,staffing_or_non_compensation,,not_applicable,not_applicable,remove from claim evidence; preserve lineage,retain in bounded claim evidence,EXTOBS-e8814beb7c62f0b38bd9fe9b,,cog_2025_185062,contextual_value,2021,contextual_only,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-07c585637dbd9a8f2c6e66dc,side_independent,04234ed0e90b5eaaec9543b4aa3146b15f8f5f25cf82cdffcdc947dac1580692,,,Town of Silver City,,3625,html_table_1,external clean wage/growth matching remained zero; record retained for bounded semantic review,none unless an existing documentary calculation is explicitly carried,see linked analytical result,see linked analytical result,requires_semantic_review,Does the exact source coordinate support the proposed analytical role and bounded claim link?,direct manual source review,False
