municipality,municipality_id,state,region,county,shard_id,scout_target_count,prior_scout_covered_flag,newly_planned_this_wave_flag,source_family_diversification_opportunity_flags,matched_safety_non_safety_opportunity_flag,planned_search_query_families,dashboard_map_inclusion_rule,notes
Clarksville,cog_2025_104349,IA,Midwest,Butler County (19023; primary),broad_4x2500_shard_001,1,false,true,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,labor_relations_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Colfax,cog_2025_104410,IA,Midwest,Jasper County (19099; primary),broad_4x2500_shard_001,1,false,true,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,broad_pay_document_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Columbus Junction,cog_2025_164477,IA,Midwest,Louisa County (19115; primary),broad_4x2500_shard_001,1,false,true,cba,false,cba_agreement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Coon Rapids,cog_2025_225790,IA,Midwest,Carroll County (19027; primary); Guthrie County (19077),broad_4x2500_shard_001,1,false,true,mou_or_memorandum; settlement_agreement,false,mou_settlement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Corning,cog_2025_104331,IA,Midwest,Adams County (19003; primary),broad_4x2500_shard_001,1,false,true,arbitration_award; factfinding_report,false,arbitration_factfinding,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Crescent,cog_2025_126694,IA,Midwest,Pottawattamie County (19155; primary),broad_4x2500_shard_001,1,false,true,salary_ordinance; wage_schedule,false,salary_wage_schedule,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Donnellson,cog_2025_208033,IA,Midwest,Lee County (19111; primary),broad_4x2500_shard_001,1,false,true,budget_or_pay_plan,false,budget_pay_plan,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Dows,cog_2025_164618,IA,Midwest,Wright County (19197; primary); Franklin County (19069),broad_4x2500_shard_001,1,false,true,civil_service_or_hr_pay_plan,false,civil_service_hr_pay,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Earlham,cog_2025_164488,IA,Midwest,Madison County (19121; primary),broad_4x2500_shard_001,1,false,true,compensation_study; classification_study,false,compensation_classification_study,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Edgewood,cog_2025_126606,IA,Midwest,Delaware County (19055; primary); Clayton County (19043),broad_4x2500_shard_001,1,false,true,personnel_policy,false,personnel_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Farmington,cog_2025_211331,IA,Midwest,Van Buren County (19177; primary),broad_4x2500_shard_001,1,false,true,agenda_packet_or_minutes,false,agenda_minutes_attachment,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Farragut,cog_2025_164400,IA,Midwest,Fremont County (19071; primary),broad_4x2500_shard_001,1,false,true,other_local_government_pay_policy,false,local_pay_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Fredericksburg,cog_2025_138201,IA,Midwest,Chickasaw County (19037; primary),broad_4x2500_shard_001,1,false,true,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,labor_relations_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Garnavillo,cog_2025_138205,IA,Midwest,Clayton County (19043; primary),broad_4x2500_shard_001,1,false,true,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,broad_pay_document_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Garwin,cog_2025_164577,IA,Midwest,Tama County (19171; primary),broad_4x2500_shard_001,1,false,true,cba,false,cba_agreement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Glidden,cog_2025_164321,IA,Midwest,Carroll County (19027; primary),broad_4x2500_shard_001,1,false,true,mou_or_memorandum; settlement_agreement,false,mou_settlement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Graettinger,cog_2025_208051,IA,Midwest,Palo Alto County (19147; primary),broad_4x2500_shard_001,1,false,true,arbitration_award; factfinding_report,false,arbitration_factfinding,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Greene,cog_2025_193306,IA,Midwest,Butler County (19023; primary); Floyd County (19067),broad_4x2500_shard_001,1,false,true,salary_ordinance; wage_schedule,false,salary_wage_schedule,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Griswold,cog_2025_204458,IA,Midwest,Cass County (19029; primary),broad_4x2500_shard_001,1,false,true,budget_or_pay_plan,false,budget_pay_plan,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Hazleton,cog_2025_138193,IA,Midwest,Buchanan County (19019; primary),broad_4x2500_shard_001,1,false,true,civil_service_or_hr_pay_plan,false,civil_service_hr_pay,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Hedrick,cog_2025_208029,IA,Midwest,Keokuk County (19107; primary),broad_4x2500_shard_001,1,false,true,compensation_study; classification_study,false,compensation_classification_study,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Ireton,cog_2025_164566,IA,Midwest,Sioux County (19167; primary),broad_4x2500_shard_001,1,false,true,personnel_policy,false,personnel_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Janesville,cog_2025_190187,IA,Midwest,Bremer County (19017; primary); Black Hawk County (19013),broad_4x2500_shard_001,1,false,true,agenda_packet_or_minutes,false,agenda_minutes_attachment,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Lake City,cog_2025_192045,IA,Midwest,Calhoun County (19025; primary),broad_4x2500_shard_001,1,false,true,other_local_government_pay_policy,false,local_pay_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Lakeside,cog_2025_164309,IA,Midwest,Buena Vista County (19021; primary),broad_4x2500_shard_001,1,false,true,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,labor_relations_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Lamont,cog_2025_126571,IA,Midwest,Buchanan County (19019; primary),broad_4x2500_shard_001,1,false,true,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,broad_pay_document_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Larchwood,cog_2025_164486,IA,Midwest,Lyon County (19119; primary),broad_4x2500_shard_001,1,false,true,cba,false,cba_agreement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Lone Tree,cog_2025_164453,IA,Midwest,Johnson County (19103; primary),broad_4x2500_shard_001,1,false,true,mou_or_memorandum; settlement_agreement,false,mou_settlement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Lovilia,cog_2025_126677,IA,Midwest,Monroe County (19135; primary),broad_4x2500_shard_001,1,false,true,arbitration_award; factfinding_report,false,arbitration_factfinding,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Lowden,cog_2025_126583,IA,Midwest,Cedar County (19031; primary),broad_4x2500_shard_001,1,false,true,salary_ordinance; wage_schedule,false,salary_wage_schedule,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Madrid,cog_2025_164303,IA,Midwest,Boone County (19015; primary),broad_4x2500_shard_001,1,false,true,budget_or_pay_plan,false,budget_pay_plan,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Malvern,cog_2025_126672,IA,Midwest,Mills County (19129; primary),broad_4x2500_shard_001,1,false,true,civil_service_or_hr_pay_plan,false,civil_service_hr_pay,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Manilla,cog_2025_164358,IA,Midwest,Crawford County (19047; primary),broad_4x2500_shard_001,1,false,true,compensation_study; classification_study,false,compensation_classification_study,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Maynard,cog_2025_201758,IA,Midwest,Fayette County (19065; primary),broad_4x2500_shard_001,1,false,true,personnel_policy,false,personnel_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Melcher-Dallas,cog_2025_164495,IA,Midwest,Marion County (19125; primary),broad_4x2500_shard_001,1,false,true,agenda_packet_or_minutes,false,agenda_minutes_attachment,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Minden,cog_2025_138236,IA,Midwest,Pottawattamie County (19155; primary),broad_4x2500_shard_001,1,false,true,other_local_government_pay_policy,false,local_pay_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Missouri Valley,cog_2025_185389,IA,Midwest,Harrison County (19085; primary),broad_4x2500_shard_001,1,false,true,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,labor_relations_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Montezuma,cog_2025_184219,IA,Midwest,Poweshiek County (19157; primary),broad_4x2500_shard_001,1,false,true,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,broad_pay_document_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Montrose,cog_2025_208034,IA,Midwest,Lee County (19111; primary),broad_4x2500_shard_001,1,false,true,cba,false,cba_agreement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Moville,cog_2025_164613,IA,Midwest,Woodbury County (19193; primary),broad_4x2500_shard_001,1,false,true,mou_or_memorandum; settlement_agreement,false,mou_settlement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Murray,cog_2025_164339,IA,Midwest,Clarke County (19039; primary),broad_4x2500_shard_001,1,false,true,arbitration_award; factfinding_report,false,arbitration_factfinding,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Nashua,cog_2025_138203,IA,Midwest,Chickasaw County (19037; primary); Floyd County (19067),broad_4x2500_shard_001,1,false,true,salary_ordinance; wage_schedule,false,salary_wage_schedule,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Neola,cog_2025_104465,IA,Midwest,Pottawattamie County (19155; primary),broad_4x2500_shard_001,1,false,true,budget_or_pay_plan,false,budget_pay_plan,exclude_until_committed_parseable_live_result,planned only; not scout coverage
New Albin,cog_2025_164283,IA,Midwest,Allamakee County (19005; primary),broad_4x2500_shard_001,1,false,true,civil_service_or_hr_pay_plan,false,civil_service_hr_pay,exclude_until_committed_parseable_live_result,planned only; not scout coverage
New London,cog_2025_138220,IA,Midwest,Henry County (19087; primary),broad_4x2500_shard_001,1,false,true,compensation_study; classification_study,false,compensation_classification_study,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Newhall,cog_2025_126562,IA,Midwest,Benton County (19011; primary),broad_4x2500_shard_001,1,false,true,personnel_policy,false,personnel_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Northwood,cog_2025_126733,IA,Midwest,Worth County (19195; primary),broad_4x2500_shard_001,1,false,true,agenda_packet_or_minutes,false,agenda_minutes_attachment,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Ogden,cog_2025_126568,IA,Midwest,Boone County (19015; primary),broad_4x2500_shard_001,1,false,true,other_local_government_pay_policy,false,local_pay_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Okoboji,cog_2025_208010,IA,Midwest,Dickinson County (19059; primary),broad_4x2500_shard_001,1,false,true,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,labor_relations_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Palo,cog_2025_126659,IA,Midwest,Linn County (19113; primary),broad_4x2500_shard_001,1,false,true,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,broad_pay_document_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Paullina,cog_2025_204479,IA,Midwest,O'Brien County (19141; primary),broad_4x2500_shard_001,1,false,true,cba,false,cba_agreement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Pomeroy,cog_2025_126577,IA,Midwest,Calhoun County (19025; primary),broad_4x2500_shard_001,1,false,true,mou_or_memorandum; settlement_agreement,false,mou_settlement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Preston,cog_2025_126643,IA,Midwest,Jackson County (19097; primary),broad_4x2500_shard_001,1,false,true,arbitration_award; factfinding_report,false,arbitration_factfinding,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Radcliffe,cog_2025_126630,IA,Midwest,Hardin County (19083; primary),broad_4x2500_shard_001,1,false,true,salary_ordinance; wage_schedule,false,salary_wage_schedule,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Raymond,cog_2025_164299,IA,Midwest,Black Hawk County (19013; primary),broad_4x2500_shard_001,1,false,true,budget_or_pay_plan,false,budget_pay_plan,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Remsen,cog_2025_164529,IA,Midwest,Plymouth County (19149; primary),broad_4x2500_shard_001,1,false,true,civil_service_or_hr_pay_plan,false,civil_service_hr_pay,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Riceville,cog_2025_164503,IA,Midwest,Mitchell County (19131; primary); Howard County (19089),broad_4x2500_shard_001,1,false,true,compensation_study; classification_study,false,compensation_classification_study,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Sabula,cog_2025_164440,IA,Midwest,Jackson County (19097; primary),broad_4x2500_shard_001,1,false,true,personnel_policy,false,personnel_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Sac City,cog_2025_126700,IA,Midwest,Sac County (19161; primary),broad_4x2500_shard_001,1,false,true,agenda_packet_or_minutes,false,agenda_minutes_attachment,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Schaller,cog_2025_208059,IA,Midwest,Sac County (19161; primary),broad_4x2500_shard_001,1,false,true,other_local_government_pay_policy,false,local_pay_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Seymour,cog_2025_138248,IA,Midwest,Wayne County (19185; primary),broad_4x2500_shard_001,1,false,true,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,labor_relations_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Sheffield,cog_2025_104387,IA,Midwest,Franklin County (19069; primary),broad_4x2500_shard_001,1,false,true,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,broad_pay_document_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Sigourney,cog_2025_126653,IA,Midwest,Keokuk County (19107; primary),broad_4x2500_shard_001,1,false,true,cba,false,cba_agreement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Sioux Rapids,cog_2025_164310,IA,Midwest,Buena Vista County (19021; primary),broad_4x2500_shard_001,1,false,true,mou_or_memorandum; settlement_agreement,false,mou_settlement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Sloan,cog_2025_126731,IA,Midwest,Woodbury County (19193; primary),broad_4x2500_shard_001,1,false,true,arbitration_award; factfinding_report,false,arbitration_factfinding,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Stanwood,cog_2025_164329,IA,Midwest,Cedar County (19031; primary),broad_4x2500_shard_001,1,false,true,salary_ordinance; wage_schedule,false,salary_wage_schedule,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Stuart,cog_2025_164408,IA,Midwest,Guthrie County (19077; primary); Adair County (19001),broad_4x2500_shard_001,1,false,true,budget_or_pay_plan,false,budget_pay_plan,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Sully,cog_2025_164447,IA,Midwest,Jasper County (19099; primary),broad_4x2500_shard_001,1,false,true,civil_service_or_hr_pay_plan,false,civil_service_hr_pay,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Thompson,cog_2025_164608,IA,Midwest,Winnebago County (19189; primary),broad_4x2500_shard_001,1,false,true,compensation_study; classification_study,false,compensation_classification_study,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Tripoli,cog_2025_104344,IA,Midwest,Bremer County (19017; primary),broad_4x2500_shard_001,1,false,true,personnel_policy,false,personnel_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Van Horne,cog_2025_164295,IA,Midwest,Benton County (19011; primary),broad_4x2500_shard_001,1,false,true,agenda_packet_or_minutes,false,agenda_minutes_attachment,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Walnut,cog_2025_164544,IA,Midwest,Pottawattamie County (19155; primary),broad_4x2500_shard_001,1,false,true,other_local_government_pay_policy,false,local_pay_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
West Point,cog_2025_185397,IA,Midwest,Lee County (19111; primary),broad_4x2500_shard_001,1,false,true,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,labor_relations_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Woodward,cog_2025_185384,IA,Midwest,Dallas County (19049; primary); Boone County (19015),broad_4x2500_shard_001,1,false,true,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,broad_pay_document_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Addison,cog_2025_162858,IL,Midwest,DuPage County (17043; primary),broad_4x2500_shard_001,1,false,true,cba,false,cba_agreement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Arthur,cog_2025_204275,IL,Midwest,Douglas County (17041; primary); Moultrie County (17139),broad_4x2500_shard_001,1,false,true,mou_or_memorandum; settlement_agreement,false,mou_settlement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Aviston,cog_2025_162224,IL,Midwest,Clinton County (17027; primary),broad_4x2500_shard_001,1,false,true,arbitration_award; factfinding_report,false,arbitration_factfinding,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Avon,cog_2025_163044,IL,Midwest,Lake County (17097; primary),broad_4x2500_shard_001,1,false,true,salary_ordinance; wage_schedule,false,salary_wage_schedule,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Bartonville,cog_2025_102804,IL,Midwest,Peoria County (17143; primary),broad_4x2500_shard_001,1,false,true,budget_or_pay_plan,false,budget_pay_plan,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Bloomington City,cog_2025_207910,IL,Midwest,McLean County (17113; primary),broad_4x2500_shard_001,1,false,true,civil_service_or_hr_pay_plan,false,civil_service_hr_pay,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Bourbonnais,cog_2025_189977,IL,Midwest,Kankakee County (17091; primary),broad_4x2500_shard_001,1,false,true,compensation_study; classification_study,false,compensation_classification_study,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Bristol,cog_2025_125225,IL,Midwest,Kendall County (17093; primary),broad_4x2500_shard_001,1,false,true,personnel_policy,false,personnel_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Bushnell,cog_2025_124987,IL,Midwest,McDonough County (17109; primary),broad_4x2500_shard_001,1,false,true,agenda_packet_or_minutes,false,agenda_minutes_attachment,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Byron,cog_2025_185018,IL,Midwest,Ogle County (17141; primary),broad_4x2500_shard_001,1,false,true,other_local_government_pay_policy,false,local_pay_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Calumet Park,cog_2025_162235,IL,Midwest,Cook County (17031; primary),broad_4x2500_shard_001,1,false,true,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,labor_relations_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Campton Hills,cog_2025_220400,IL,Midwest,Kane County (17089; primary),broad_4x2500_shard_001,1,false,true,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,broad_pay_document_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Capital,cog_2025_207923,IL,Midwest,Sangamon County (17167; primary),broad_4x2500_shard_001,1,false,true,cba,false,cba_agreement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Champaign City,cog_2025_102909,IL,Midwest,Champaign County (17019; primary),broad_4x2500_shard_001,1,false,true,mou_or_memorandum; settlement_agreement,false,mou_settlement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Chester,cog_2025_204299,IL,Midwest,Randolph County (17157; primary),broad_4x2500_shard_001,1,false,true,arbitration_award; factfinding_report,false,arbitration_factfinding,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Chillicothe,cog_2025_194716,IL,Midwest,Peoria County (17143; primary),broad_4x2500_shard_001,1,false,true,salary_ordinance; wage_schedule,false,salary_wage_schedule,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Cortland,cog_2025_124903,IL,Midwest,DeKalb County (17037; primary),broad_4x2500_shard_001,1,false,true,budget_or_pay_plan,false,budget_pay_plan,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Crestwood,cog_2025_162238,IL,Midwest,Cook County (17031; primary),broad_4x2500_shard_001,1,false,true,civil_service_or_hr_pay_plan,false,civil_service_hr_pay,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Cunningham,cog_2025_193214,IL,Midwest,Champaign County (17019; primary),broad_4x2500_shard_001,1,false,true,compensation_study; classification_study,false,compensation_classification_study,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Dixmoor,cog_2025_124884,IL,Midwest,Cook County (17031; primary),broad_4x2500_shard_001,1,false,true,personnel_policy,false,personnel_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Dundee,cog_2025_163018,IL,Midwest,Kane County (17089; primary),broad_4x2500_shard_001,1,false,true,agenda_packet_or_minutes,false,agenda_minutes_attachment,exclude_until_committed_parseable_live_result,planned only; not scout coverage
East Alton,cog_2025_162512,IL,Midwest,Madison County (17119; primary),broad_4x2500_shard_001,1,false,true,other_local_government_pay_policy,false,local_pay_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Elk Grove,cog_2025_162818,IL,Midwest,Cook County (17031; primary),broad_4x2500_shard_001,1,false,true,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,labor_relations_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Fairmont City,cog_2025_162605,IL,Midwest,St. Clair County (17163; primary); Madison County (17119),broad_4x2500_shard_001,1,false,true,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,broad_pay_document_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Flossmoor,cog_2025_162243,IL,Midwest,Cook County (17031; primary),broad_4x2500_shard_001,1,false,true,cba,false,cba_agreement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Forsyth,cog_2025_124998,IL,Midwest,Macon County (17115; primary),broad_4x2500_shard_001,1,false,true,mou_or_memorandum; settlement_agreement,false,mou_settlement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Fremont,cog_2025_211231,IL,Midwest,Lake County (17097; primary),broad_4x2500_shard_001,1,false,true,arbitration_award; factfinding_report,false,arbitration_factfinding,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Green Oaks,cog_2025_102739,IL,Midwest,Lake County (17097; primary),broad_4x2500_shard_001,1,false,true,salary_ordinance; wage_schedule,false,salary_wage_schedule,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Greenville,cog_2025_162177,IL,Midwest,Bond County (17005; primary),broad_4x2500_shard_001,1,false,true,budget_or_pay_plan,false,budget_pay_plan,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Harwood Heights,cog_2025_124886,IL,Midwest,Cook County (17031; primary),broad_4x2500_shard_001,1,false,true,civil_service_or_hr_pay_plan,false,civil_service_hr_pay,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Hawthorn Woods,cog_2025_207821,IL,Midwest,Lake County (17097; primary),broad_4x2500_shard_001,1,false,true,compensation_study; classification_study,false,compensation_classification_study,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Heyworth,cog_2025_204291,IL,Midwest,McLean County (17113; primary),broad_4x2500_shard_001,1,false,true,personnel_policy,false,personnel_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Hillsboro,cog_2025_162547,IL,Midwest,Montgomery County (17135; primary),broad_4x2500_shard_001,1,false,true,agenda_packet_or_minutes,false,agenda_minutes_attachment,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Hoopeston,cog_2025_162659,IL,Midwest,Vermilion County (17183; primary),broad_4x2500_shard_001,1,false,true,other_local_government_pay_policy,false,local_pay_policy,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Indian Head Park,cog_2025_207785,IL,Midwest,Cook County (17031; primary),broad_4x2500_shard_001,1,false,true,cba; mou_or_memorandum; arbitration_award; factfinding_report,false,labor_relations_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Jerseyville,cog_2025_162393,IL,Midwest,Jersey County (17083; primary),broad_4x2500_shard_001,1,false,true,salary_ordinance; wage_schedule; budget_or_pay_plan; civil_service_or_hr_pay_plan,false,broad_pay_document_index,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Lake Bluff,cog_2025_207818,IL,Midwest,Lake County (17097; primary),broad_4x2500_shard_001,1,false,true,cba,false,cba_agreement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Lake Villa,cog_2025_163047,IL,Midwest,Lake County (17097; primary),broad_4x2500_shard_001,1,false,true,mou_or_memorandum; settlement_agreement,false,mou_settlement,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Lake Villa,cog_2025_204286,IL,Midwest,Lake County (17097; primary),broad_4x2500_shard_001,1,false,true,arbitration_award; factfinding_report,false,arbitration_factfinding,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Lakewood,cog_2025_162477,IL,Midwest,McHenry County (17111; primary),broad_4x2500_shard_001,1,false,true,salary_ordinance; wage_schedule,false,salary_wage_schedule,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Le Roy,cog_2025_185000,IL,Midwest,McLean County (17113; primary),broad_4x2500_shard_001,1,false,true,budget_or_pay_plan,false,budget_pay_plan,exclude_until_committed_parseable_live_result,planned only; not scout coverage
Lena,cog_2025_162645,IL,Midwest,Stephenson County (17177; primary),broad_4x2500_shard_001,1,false,true,civil_service_or_hr_pay_plan,false,civil_service_hr_pay,exclude_until_committed_parseable_live_result,planned only; not scout coverage
