state,municipality,unit_type,candidate_rows_reviewed,verification_ready_rows,mechanism_families,contract_periods_with_metadata,counterpart_ids_present,coverage_status
CA,Poway,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Rancho Mirage,non_safety_municipal_units,3,3,fiscal_constraint_signal,3,0,candidate_only_not_verified
CA,Redwood City,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Ripon,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
CA,Rocklin,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Rohnert Park,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,San Bernardino,non_safety_comparator,1,1,non_safety_constraint_signal,1,1,candidate_only_not_verified
CA,San Leandro,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,San Marcos,non_safety_comparator,2,2,non_safety_constraint_signal,2,2,candidate_only_not_verified
CA,San Mateo,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,San Ramon,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Santa Ana,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Santa Cruz,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Santa Maria,non_safety_comparator,3,2,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Santa Monica,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Santee,non_safety_comparator,3,2,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Simi Valley,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,South El Monte,non_safety_municipal_units,3,3,fiscal_constraint_signal,3,0,candidate_only_not_verified
CA,South Gate,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Sunnyvale,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Tulare,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Tustin,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Union City,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Upland,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Vallejo,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Westminster,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CA,Whittier,non_safety_comparator,1,1,non_safety_constraint_signal,1,1,candidate_only_not_verified
CA,Yucca Valley,non_safety_municipal_units,2,1,fiscal_constraint_signal,2,0,candidate_only_not_verified
CO,Aurora,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CO,Boulder,non_safety_comparator,1,1,non_safety_constraint_signal,1,1,candidate_only_not_verified
CO,Castle Pines,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
CO,Cañon City,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
CO,Commerce City,safety_and_non_safety_bargaining_units,3,3,strike_or_no_strike_constraint,3,0,candidate_only_not_verified
CO,Denver,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CO,Durango,non_safety_municipal_units,3,1,fiscal_constraint_signal,3,0,candidate_only_not_verified
CO,Englewood,safety_and_non_safety_bargaining_units,3,3,strike_or_no_strike_constraint,3,0,candidate_only_not_verified
CO,Evans,non_safety_municipal_units,3,1,fiscal_constraint_signal,3,0,candidate_only_not_verified
CO,Federal Heights,safety_and_non_safety_compensation_units,3,1,market_or_comparability_pressure,3,0,candidate_only_not_verified
CO,Frederick,non_safety_municipal_units,3,3,fiscal_constraint_signal,3,0,candidate_only_not_verified
CO,Fruita,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
CO,Johnstown,non_safety_municipal_units,1,0,fiscal_constraint_signal,1,0,candidate_only_not_verified
CO,Lafayette,safety_and_non_safety_bargaining_units,3,2,strike_or_no_strike_constraint,3,0,candidate_only_not_verified
CO,Littleton,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
CO,Lone Tree,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
CO,Montrose,non_safety_municipal_units,3,3,fiscal_constraint_signal,3,0,candidate_only_not_verified
CO,Northglenn,safety_and_non_safety_bargaining_units,3,2,strike_or_no_strike_constraint,3,0,candidate_only_not_verified
CO,Steamboat Springs,safety_and_non_safety_compensation_units,1,1,market_or_comparability_pressure,1,0,candidate_only_not_verified
CO,Superior,safety_and_non_safety_compensation_units,3,2,market_or_comparability_pressure,3,0,candidate_only_not_verified
CO,Wheat Ridge,safety_and_non_safety_bargaining_units,3,3,strike_or_no_strike_constraint,3,0,candidate_only_not_verified
CT,Avon,non_safety_municipal_units,3,0,fiscal_constraint_signal,3,0,candidate_only_not_verified
CT,Berlin,non_safety_municipal_units,3,0,fiscal_constraint_signal,3,0,candidate_only_not_verified
CT,Bethel,non_safety_municipal_units,1,1,fiscal_constraint_signal,1,0,candidate_only_not_verified
CT,Bloomfield,non_safety_municipal_units,3,1,fiscal_constraint_signal,3,0,candidate_only_not_verified
CT,Brookfield,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
CT,Cheshire,safety_and_non_safety_bargaining_units,2,2,strike_or_no_strike_constraint,2,0,candidate_only_not_verified
CT,Clinton,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
CT,Colchester,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
CT,Cromwell,safety_and_non_safety_compensation_units,2,2,market_or_comparability_pressure,2,0,candidate_only_not_verified
CT,Darien,non_safety_municipal_units,3,0,fiscal_constraint_signal,3,0,candidate_only_not_verified
CT,East Hartford,safety_and_non_safety_bargaining_units,3,3,strike_or_no_strike_constraint,3,0,candidate_only_not_verified
CT,East Lyme,non_safety_municipal_units,1,0,fiscal_constraint_signal,1,0,candidate_only_not_verified
CT,Ellington,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
CT,Enfield,safety_and_non_safety_bargaining_units,3,3,strike_or_no_strike_constraint,3,0,candidate_only_not_verified
CT,Fairfield,safety_and_non_safety_bargaining_units,3,3,strike_or_no_strike_constraint,3,0,candidate_only_not_verified
CT,Farmington,non_safety_municipal_units,3,3,fiscal_constraint_signal,3,0,candidate_only_not_verified
CT,Glastonbury,safety_and_non_safety_bargaining_units,1,1,strike_or_no_strike_constraint,1,0,candidate_only_not_verified
CT,Greenwich,safety_and_non_safety_bargaining_units,3,3,strike_or_no_strike_constraint,3,0,candidate_only_not_verified
CT,Groton,safety_and_non_safety_bargaining_units,3,3,strike_or_no_strike_constraint,3,0,candidate_only_not_verified
CT,Guilford,non_safety_municipal_units,3,3,fiscal_constraint_signal,3,0,candidate_only_not_verified
CT,Hamden,safety_and_non_safety_bargaining_units,3,3,strike_or_no_strike_constraint,3,0,candidate_only_not_verified
CT,Killingly,non_safety_municipal_units,3,3,fiscal_constraint_signal,3,0,candidate_only_not_verified
CT,Ledyard,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
CT,Madison,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
CT,Mansfield,non_safety_municipal_units,3,1,fiscal_constraint_signal,3,0,candidate_only_not_verified
CT,Milford city (balance),non_safety_comparator,2,2,non_safety_constraint_signal,2,2,candidate_only_not_verified
CT,Monroe,non_safety_municipal_units,2,1,fiscal_constraint_signal,2,0,candidate_only_not_verified
CT,Montville,non_safety_municipal_units,3,2,fiscal_constraint_signal,3,0,candidate_only_not_verified
CT,New Canaan,non_safety_municipal_units,3,3,fiscal_constraint_signal,3,0,candidate_only_not_verified
CT,New Milford,safety_and_non_safety_bargaining_units,3,3,strike_or_no_strike_constraint,3,0,candidate_only_not_verified
CT,Newington,safety_and_non_safety_bargaining_units,3,3,strike_or_no_strike_constraint,3,0,candidate_only_not_verified
CT,Newtown,safety_and_non_safety_bargaining_units,3,3,strike_or_no_strike_constraint,3,0,candidate_only_not_verified
CT,North Branford,safety_and_non_safety_compensation_units,3,2,market_or_comparability_pressure,3,0,candidate_only_not_verified
CT,North Haven,non_safety_municipal_units,1,1,fiscal_constraint_signal,1,0,candidate_only_not_verified
CT,Orange,safety_and_non_safety_compensation_units,3,2,market_or_comparability_pressure,3,0,candidate_only_not_verified
CT,Plainfield,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
CT,Plainville,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
CT,Ridgefield,non_safety_municipal_units,1,1,fiscal_constraint_signal,1,0,candidate_only_not_verified
CT,Rocky Hill,non_safety_municipal_units,3,2,fiscal_constraint_signal,3,0,candidate_only_not_verified
CT,Seymour,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
CT,Simsbury,non_safety_municipal_units,3,3,fiscal_constraint_signal,3,0,candidate_only_not_verified
CT,South Windsor,non_safety_municipal_units,3,2,fiscal_constraint_signal,3,0,candidate_only_not_verified
CT,Southbury,non_safety_municipal_units,3,3,fiscal_constraint_signal,3,0,candidate_only_not_verified
CT,Southington,safety_and_non_safety_bargaining_units,3,3,strike_or_no_strike_constraint,3,0,candidate_only_not_verified
CT,Stonington,non_safety_municipal_units,3,3,fiscal_constraint_signal,3,0,candidate_only_not_verified
CT,Stratford,safety_and_non_safety_bargaining_units,3,3,strike_or_no_strike_constraint,3,0,candidate_only_not_verified
CT,Suffield,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
CT,Tolland,safety_and_non_safety_compensation_units,2,2,market_or_comparability_pressure,2,0,candidate_only_not_verified
CT,Trumbull,safety_and_non_safety_bargaining_units,3,3,strike_or_no_strike_constraint,3,0,candidate_only_not_verified
CT,Vernon,safety_and_non_safety_bargaining_units,3,2,strike_or_no_strike_constraint,3,0,candidate_only_not_verified
CT,Wallingford,safety_and_non_safety_bargaining_units,2,2,strike_or_no_strike_constraint,2,0,candidate_only_not_verified
CT,Waterford,non_safety_municipal_units,3,0,fiscal_constraint_signal,3,0,candidate_only_not_verified
CT,Watertown,non_safety_municipal_units,3,3,fiscal_constraint_signal,3,0,candidate_only_not_verified
CT,Westport,safety_and_non_safety_bargaining_units,3,3,strike_or_no_strike_constraint,3,0,candidate_only_not_verified
CT,Wethersfield,non_safety_municipal_units,3,3,fiscal_constraint_signal,3,0,candidate_only_not_verified
CT,Wilton,non_safety_municipal_units,2,2,fiscal_constraint_signal,2,0,candidate_only_not_verified
CT,Windham,non_safety_municipal_units,3,3,fiscal_constraint_signal,3,0,candidate_only_not_verified
CT,Windsor,safety_and_non_safety_bargaining_units,1,1,strike_or_no_strike_constraint,1,0,candidate_only_not_verified
CT,Wolcott,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
DE,Seaford,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
DE,Wilmington,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
FL,Cape Coral,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
FL,Coconut Creek,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
FL,Doral,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
FL,Eustis,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
FL,Fort Pierce,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
FL,Haines City,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
FL,Hialeah,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
FL,Jupiter,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
FL,Key Biscayne,safety_and_non_safety_compensation_units,3,2,market_or_comparability_pressure,3,0,candidate_only_not_verified
FL,Leesburg,non_safety_comparator,1,1,non_safety_constraint_signal,1,1,candidate_only_not_verified
FL,Melbourne,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
FL,Miami Gardens,non_safety_comparator,1,1,non_safety_constraint_signal,1,1,candidate_only_not_verified
FL,Miami Springs,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
FL,Miramar,non_safety_comparator,1,1,non_safety_constraint_signal,1,1,candidate_only_not_verified
FL,New Port Richey,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
FL,Niceville,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
FL,North Lauderdale,non_safety_comparator,1,1,non_safety_constraint_signal,1,1,candidate_only_not_verified
FL,North Miami,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
FL,Ocala,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
FL,Opa-locka,non_safety_comparator,2,2,non_safety_constraint_signal,2,2,candidate_only_not_verified
FL,Orange City,non_safety_comparator,1,1,non_safety_constraint_signal,1,1,candidate_only_not_verified
FL,Palm Bay,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
FL,Palm Beach Gardens,non_safety_comparator,1,1,non_safety_constraint_signal,1,1,candidate_only_not_verified
FL,Palmetto,non_safety_comparator,1,1,non_safety_constraint_signal,1,1,candidate_only_not_verified
FL,Pembroke Pines,non_safety_comparator,2,2,non_safety_constraint_signal,2,2,candidate_only_not_verified
FL,Pompano Beach,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
FL,Port Orange,non_safety_comparator,1,1,non_safety_constraint_signal,1,1,candidate_only_not_verified
FL,Port St. Lucie,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
FL,Sanford,non_safety_comparator,2,2,non_safety_constraint_signal,2,2,candidate_only_not_verified
FL,Sarasota,non_safety_comparator,3,3,non_safety_constraint_signal,3,3,candidate_only_not_verified
FL,Sebastian,non_safety_comparator,3,2,non_safety_constraint_signal,1,3,candidate_only_not_verified
FL,South Daytona,safety_and_non_safety_compensation_units,3,3,market_or_comparability_pressure,3,0,candidate_only_not_verified
