mechanism_exposure_event_id,root_compensation_event_id,municipality,state,region,compensation_cycle_id,mechanism_family,mechanism_tag,side,implementation_status,implementation_confidence,recurring_or_one_time,corroborating_source_count,technical_lineage,linked_root_compensation_event_ids,linked_root_count
MECHEXP-3b30897255b1f9b64c76a966,ROOTCOMP-31925e7a7b94d67d6bba46c3,Chuathbaluk,AK,West,undated-source-B4X2500LIVE-20260729-004780,timing_implementation,ordinance_adoption,side_independent,formally_adopted,high,scheduled_step,0,"[""WCM-49e4d62cc2ddfff18fc7c878""]",ROOTCOMP-31925e7a7b94d67d6bba46c3,1
MECHEXP-33162c8161292340bd895cd7,ROOTCOMP-31925e7a7b94d67d6bba46c3,Chuathbaluk,AK,West,undated-source-B4X2500LIVE-20260729-004780,timing_implementation,recurring,side_independent,formally_adopted,high,scheduled_step,0,"[""WCM-49e4d62cc2ddfff18fc7c878""]",ROOTCOMP-31925e7a7b94d67d6bba46c3,1
MECHEXP-6507d9dd2c3e7c8bbb0871eb,ROOTCOMP-31925e7a7b94d67d6bba46c3,Chuathbaluk,AK,West,undated-source-B4X2500LIVE-20260729-004780,pressure_channel,fiscal_constraint,side_independent,formally_adopted,high,scheduled_step,0,"[""WCM-49e4d62cc2ddfff18fc7c878""]",ROOTCOMP-31925e7a7b94d67d6bba46c3,1
MECHEXP-65be90245a8a4e734a461957,ROOTCOMP-66773447e6a05796c9613a66,Chuathbaluk,AK,West,undated-source-B4X2500LIVE-20260729-004780,institutional_channel,none_identified,remains_unclear,implemented,high,retroactive_back_pay,0,"[""WCM-9e57bf8b4bc13bc4750478c9""]",ROOTCOMP-66773447e6a05796c9613a66,1
MECHEXP-11bc678fccdfd3c029869852,ROOTCOMP-66773447e6a05796c9613a66,Chuathbaluk,AK,West,undated-source-B4X2500LIVE-20260729-004780,compensation_outcome,retroactive_pay,remains_unclear,implemented,high,retroactive_back_pay,0,"[""WCM-9e57bf8b4bc13bc4750478c9""]",ROOTCOMP-66773447e6a05796c9613a66,1
MECHEXP-76dc7c73949a5eb2efb74ff8,ROOTCOMP-66773447e6a05796c9613a66,Chuathbaluk,AK,West,undated-source-B4X2500LIVE-20260729-004780,timing_implementation,one_time,remains_unclear,implemented,high,retroactive_back_pay,0,"[""WCM-9e57bf8b4bc13bc4750478c9""]",ROOTCOMP-66773447e6a05796c9613a66,1
MECHEXP-caaee7e01596c697c83fcec2,ROOTCOMP-66773447e6a05796c9613a66,Chuathbaluk,AK,West,undated-source-B4X2500LIVE-20260729-004780,timing_implementation,retroactive,remains_unclear,implemented,high,retroactive_back_pay,0,"[""WCM-9e57bf8b4bc13bc4750478c9""]",ROOTCOMP-66773447e6a05796c9613a66,1
MECHEXP-b3c7dbc711453c2cc24310f2,ROOTCOMP-e76ba8adc52be1515bc9c465,Cold Bay,AK,West,2015,institutional_channel,none_identified,remains_unclear,implemented,high,percentage_adjustment,0,"[""WCM-9a0f795650d7dbf24838460a""]",ROOTCOMP-e76ba8adc52be1515bc9c465,1
MECHEXP-7b2ff3db59ec8cf445842d72,ROOTCOMP-e76ba8adc52be1515bc9c465,Cold Bay,AK,West,2015,compensation_outcome,across_the_board_raise,remains_unclear,implemented,high,percentage_adjustment,0,"[""WCM-9a0f795650d7dbf24838460a""]",ROOTCOMP-e76ba8adc52be1515bc9c465,1
MECHEXP-32ea23f76b5fdf4586679be7,ROOTCOMP-e76ba8adc52be1515bc9c465,Cold Bay,AK,West,2015,timing_implementation,recurring,remains_unclear,implemented,high,percentage_adjustment,0,"[""WCM-9a0f795650d7dbf24838460a""]",ROOTCOMP-e76ba8adc52be1515bc9c465,1
MECHEXP-e379ce5259210cc34d913048,ROOTCOMP-e76ba8adc52be1515bc9c465,Cold Bay,AK,West,2015,pressure_channel,none_identified,remains_unclear,implemented,high,percentage_adjustment,0,"[""WCM-9a0f795650d7dbf24838460a""]",ROOTCOMP-e76ba8adc52be1515bc9c465,1
MECHEXP-08e53eb23d95267e1ab78f47,ROOTCOMP-204b446134bf9cb11c02cc43,Egegik,AK,West,undated-source-B4X2500LIVE-20260729-009822,institutional_channel,none_identified,remains_unclear,implemented,high,retroactive_back_pay,0,"[""WCM-15ac8d9522bad1a27741c6ee"",""WCM-5e4771175f5024761a46e4d8"",""WCM-e18af480216047fe951a0b0c"",""WCM-f50cbdfd2dbd49255744ccc6""]",ROOTCOMP-204b446134bf9cb11c02cc43,1
MECHEXP-2e4c409a1d96343f52e92733,ROOTCOMP-204b446134bf9cb11c02cc43,Egegik,AK,West,undated-source-B4X2500LIVE-20260729-009822,compensation_outcome,retroactive_pay,remains_unclear,implemented,high,retroactive_back_pay,0,"[""WCM-15ac8d9522bad1a27741c6ee"",""WCM-5e4771175f5024761a46e4d8"",""WCM-e18af480216047fe951a0b0c"",""WCM-f50cbdfd2dbd49255744ccc6""]",ROOTCOMP-204b446134bf9cb11c02cc43,1
MECHEXP-be58e228c3ea413488ac2034,ROOTCOMP-204b446134bf9cb11c02cc43,Egegik,AK,West,undated-source-B4X2500LIVE-20260729-009822,timing_implementation,one_time,remains_unclear,implemented,high,retroactive_back_pay,0,"[""WCM-15ac8d9522bad1a27741c6ee"",""WCM-5e4771175f5024761a46e4d8"",""WCM-e18af480216047fe951a0b0c"",""WCM-f50cbdfd2dbd49255744ccc6""]",ROOTCOMP-204b446134bf9cb11c02cc43,1
MECHEXP-f7223ea2530fa1887d308f9f,ROOTCOMP-204b446134bf9cb11c02cc43,Egegik,AK,West,undated-source-B4X2500LIVE-20260729-009822,timing_implementation,retroactive,remains_unclear,implemented,high,retroactive_back_pay,0,"[""WCM-15ac8d9522bad1a27741c6ee"",""WCM-5e4771175f5024761a46e4d8"",""WCM-e18af480216047fe951a0b0c"",""WCM-f50cbdfd2dbd49255744ccc6""]",ROOTCOMP-204b446134bf9cb11c02cc43,1
MECHEXP-493d38f9abfcc1b88510fefd,ROOTCOMP-204b446134bf9cb11c02cc43,Egegik,AK,West,undated-source-B4X2500LIVE-20260729-009822,pressure_channel,none_identified,remains_unclear,implemented,high,retroactive_back_pay,0,"[""WCM-15ac8d9522bad1a27741c6ee"",""WCM-5e4771175f5024761a46e4d8"",""WCM-e18af480216047fe951a0b0c"",""WCM-f50cbdfd2dbd49255744ccc6""]",ROOTCOMP-204b446134bf9cb11c02cc43,1
MECHEXP-0841201f4bb923be59cd189a,ROOTCOMP-b54559e6c56aa7e4635de327,Newhalen,AK,West,2020,institutional_channel,none_identified,remains_unclear,implemented,high,percentage_adjustment,0,"[""WCM-4679a4503125453f8805d588"",""WCM-4dbd00d16b7b835ddbf81972""]",ROOTCOMP-b54559e6c56aa7e4635de327,1
MECHEXP-a2ac0f6cacaf979d70d0a67c,ROOTCOMP-b54559e6c56aa7e4635de327,Newhalen,AK,West,2020,compensation_outcome,across_the_board_raise,remains_unclear,implemented,high,percentage_adjustment,0,"[""WCM-4679a4503125453f8805d588"",""WCM-4dbd00d16b7b835ddbf81972""]",ROOTCOMP-b54559e6c56aa7e4635de327,1
MECHEXP-78dcaf6efd8c41df9fa3412f,ROOTCOMP-b54559e6c56aa7e4635de327,Newhalen,AK,West,2020,timing_implementation,recurring,remains_unclear,implemented,high,percentage_adjustment,0,"[""WCM-4679a4503125453f8805d588"",""WCM-4dbd00d16b7b835ddbf81972""]",ROOTCOMP-b54559e6c56aa7e4635de327,1
MECHEXP-486ab9bac449d7e9ca05897b,ROOTCOMP-b54559e6c56aa7e4635de327,Newhalen,AK,West,2020,pressure_channel,none_identified,remains_unclear,implemented,high,percentage_adjustment,0,"[""WCM-4679a4503125453f8805d588"",""WCM-4dbd00d16b7b835ddbf81972""]",ROOTCOMP-b54559e6c56aa7e4635de327,1
MECHEXP-1fe1f42641cf076fd7cd4181,ROOTCOMP-6bf31b7372232ed035c12381,Port Lions,AK,West,undated-source-B4X2500LIVE-20260729-002309,institutional_channel,none_identified,safety_combined,implemented,high,recurring_non_base,0,"[""WCM-3857d9bcd78c02ade6c39cb4""]",ROOTCOMP-1f2c469433c46c526f950716|ROOTCOMP-6bf31b7372232ed035c12381,2
MECHEXP-e4d342a42caae7e5a06a6610,ROOTCOMP-6bf31b7372232ed035c12381,Port Lions,AK,West,undated-source-B4X2500LIVE-20260729-002309,compensation_outcome,stipend_or_premium,safety_combined,implemented,high,recurring_non_base,0,"[""WCM-3857d9bcd78c02ade6c39cb4""]",ROOTCOMP-6bf31b7372232ed035c12381,1
MECHEXP-8ee258d1163cddd5e3e88068,ROOTCOMP-6bf31b7372232ed035c12381,Port Lions,AK,West,undated-source-B4X2500LIVE-20260729-002309,timing_implementation,recurring,safety_combined,implemented,high,recurring_non_base,0,"[""WCM-3857d9bcd78c02ade6c39cb4""]",ROOTCOMP-6bf31b7372232ed035c12381,1
MECHEXP-8f8606939c1250cb886d3f57,ROOTCOMP-6bf31b7372232ed035c12381,Port Lions,AK,West,undated-source-B4X2500LIVE-20260729-002309,pressure_channel,none_identified,safety_combined,implemented,high,recurring_non_base,0,"[""WCM-3857d9bcd78c02ade6c39cb4""]",ROOTCOMP-1f2c469433c46c526f950716|ROOTCOMP-6bf31b7372232ed035c12381,2
MECHEXP-f88ce147bb41a86371dbcf4f,ROOTCOMP-1f2c469433c46c526f950716,Port Lions,AK,West,undated-source-B4X2500LIVE-20260729-002309,compensation_outcome,retroactive_pay,safety_combined,implemented,high,not_applicable,0,"[""WCM-01d70fd3aedfe941a337fef3"",""WCM-4e28a2fb87361541beaa7d7e"",""WCM-9975659a2ddb79309ad4b24d""]",ROOTCOMP-1f2c469433c46c526f950716,1
MECHEXP-aef6701ce018d89b7987dff2,ROOTCOMP-1f2c469433c46c526f950716,Port Lions,AK,West,undated-source-B4X2500LIVE-20260729-002309,timing_implementation,payroll_effective_date,safety_combined,implemented,high,not_applicable,0,"[""WCM-01d70fd3aedfe941a337fef3"",""WCM-4e28a2fb87361541beaa7d7e"",""WCM-9975659a2ddb79309ad4b24d""]",ROOTCOMP-1f2c469433c46c526f950716,1
MECHEXP-a3547b1dffc21f9de567598d,ROOTCOMP-1f2c469433c46c526f950716,Port Lions,AK,West,undated-source-B4X2500LIVE-20260729-002309,timing_implementation,retroactive,safety_combined,implemented,high,not_applicable,0,"[""WCM-01d70fd3aedfe941a337fef3"",""WCM-4e28a2fb87361541beaa7d7e"",""WCM-9975659a2ddb79309ad4b24d""]",ROOTCOMP-1f2c469433c46c526f950716,1
MECHEXP-84efeb3b297285e925127d3e,ROOTCOMP-df127a7827589ca659be5a16,Togiak,AK,West,undated-source-CBSRD-20260728-6dbe81366092e535caca,institutional_channel,none_identified,remains_unclear,formally_adopted,low,not_applicable,0,"[""WCM-9dbe287ee1b1418399a47b2c""]",ROOTCOMP-df127a7827589ca659be5a16,1
MECHEXP-0f2c91edacbb72c5796109e0,ROOTCOMP-df127a7827589ca659be5a16,Togiak,AK,West,undated-source-CBSRD-20260728-6dbe81366092e535caca,compensation_outcome,retroactive_pay,remains_unclear,formally_adopted,low,not_applicable,0,"[""WCM-9dbe287ee1b1418399a47b2c""]",ROOTCOMP-df127a7827589ca659be5a16,1
MECHEXP-0bb1d36e924895e01aa03d85,ROOTCOMP-df127a7827589ca659be5a16,Togiak,AK,West,undated-source-CBSRD-20260728-6dbe81366092e535caca,timing_implementation,retroactive,remains_unclear,formally_adopted,low,not_applicable,0,"[""WCM-9dbe287ee1b1418399a47b2c""]",ROOTCOMP-df127a7827589ca659be5a16,1
MECHEXP-d3ce0c3625ed5b3a5b1269df,ROOTCOMP-df127a7827589ca659be5a16,Togiak,AK,West,undated-source-CBSRD-20260728-6dbe81366092e535caca,pressure_channel,none_identified,remains_unclear,formally_adopted,low,not_applicable,0,"[""WCM-9dbe287ee1b1418399a47b2c""]",ROOTCOMP-df127a7827589ca659be5a16,1
MECHEXP-65fd2b824f731c768ef80318,ROOTCOMP-a50b90b39d2fad8b60c7012a,Whale Pass,AK,West,undated-source-B4X2500LIVE-20260729-002312,institutional_channel,none_identified,remains_unclear,implemented,high,not_applicable,0,"[""WCM-546b103aae2c922f3d39e6ce"",""WCM-b0d3f7cc420485a1e7f1eb12""]",ROOTCOMP-a50b90b39d2fad8b60c7012a,1
MECHEXP-b936fe0edcfa2a8e68b8a88c,ROOTCOMP-a50b90b39d2fad8b60c7012a,Whale Pass,AK,West,undated-source-B4X2500LIVE-20260729-002312,compensation_outcome,retroactive_pay,remains_unclear,implemented,high,not_applicable,0,"[""WCM-546b103aae2c922f3d39e6ce"",""WCM-b0d3f7cc420485a1e7f1eb12""]",ROOTCOMP-a50b90b39d2fad8b60c7012a,1
MECHEXP-f181eed8944e2dadfb4f1746,ROOTCOMP-a50b90b39d2fad8b60c7012a,Whale Pass,AK,West,undated-source-B4X2500LIVE-20260729-002312,timing_implementation,payroll_effective_date,remains_unclear,implemented,high,not_applicable,0,"[""WCM-546b103aae2c922f3d39e6ce"",""WCM-b0d3f7cc420485a1e7f1eb12""]",ROOTCOMP-a50b90b39d2fad8b60c7012a,1
MECHEXP-4ceda7e1ab04a86d6f99fbcb,ROOTCOMP-a50b90b39d2fad8b60c7012a,Whale Pass,AK,West,undated-source-B4X2500LIVE-20260729-002312,timing_implementation,retroactive,remains_unclear,implemented,high,not_applicable,0,"[""WCM-546b103aae2c922f3d39e6ce"",""WCM-b0d3f7cc420485a1e7f1eb12""]",ROOTCOMP-a50b90b39d2fad8b60c7012a,1
MECHEXP-846e904e9e4b7a8c8c0ac04a,ROOTCOMP-a50b90b39d2fad8b60c7012a,Whale Pass,AK,West,undated-source-B4X2500LIVE-20260729-002312,pressure_channel,none_identified,remains_unclear,implemented,high,not_applicable,0,"[""WCM-546b103aae2c922f3d39e6ce"",""WCM-b0d3f7cc420485a1e7f1eb12""]",ROOTCOMP-a50b90b39d2fad8b60c7012a,1
MECHEXP-cd212c33e845ed196704ea96,ROOTCOMP-619853891ac75c5d60ca57d7,Ashland,AL,South,2017,institutional_channel,none_identified,remains_unclear,implemented,high,not_applicable,0,"[""WCM-3d062c22d85f2adca21af21b"",""WCM-66c24574b8a3c849822c9ace"",""WCM-aaaf24bf2f0cfb2e2e9d0fd7""]",ROOTCOMP-619853891ac75c5d60ca57d7,1
MECHEXP-15b9aa79d012802f03bb9d4e,ROOTCOMP-619853891ac75c5d60ca57d7,Ashland,AL,South,2017,compensation_outcome,retroactive_pay,remains_unclear,implemented,high,not_applicable,0,"[""WCM-3d062c22d85f2adca21af21b"",""WCM-66c24574b8a3c849822c9ace"",""WCM-aaaf24bf2f0cfb2e2e9d0fd7""]",ROOTCOMP-619853891ac75c5d60ca57d7,1
MECHEXP-edf04f6306e91413d2defb01,ROOTCOMP-619853891ac75c5d60ca57d7,Ashland,AL,South,2017,timing_implementation,payroll_effective_date,remains_unclear,implemented,high,not_applicable,0,"[""WCM-3d062c22d85f2adca21af21b"",""WCM-66c24574b8a3c849822c9ace"",""WCM-aaaf24bf2f0cfb2e2e9d0fd7""]",ROOTCOMP-619853891ac75c5d60ca57d7,1
MECHEXP-d3ec01bc44e78675c0dff46d,ROOTCOMP-619853891ac75c5d60ca57d7,Ashland,AL,South,2017,timing_implementation,retroactive,remains_unclear,implemented,high,not_applicable,0,"[""WCM-3d062c22d85f2adca21af21b"",""WCM-66c24574b8a3c849822c9ace"",""WCM-aaaf24bf2f0cfb2e2e9d0fd7""]",ROOTCOMP-619853891ac75c5d60ca57d7,1
MECHEXP-3ae4d339d0ddf247a6adec24,ROOTCOMP-619853891ac75c5d60ca57d7,Ashland,AL,South,2017,pressure_channel,none_identified,remains_unclear,implemented,high,not_applicable,0,"[""WCM-3d062c22d85f2adca21af21b"",""WCM-66c24574b8a3c849822c9ace"",""WCM-aaaf24bf2f0cfb2e2e9d0fd7""]",ROOTCOMP-619853891ac75c5d60ca57d7,1
MECHEXP-1ca82045a0c45aa7aaadfa90,ROOTCOMP-4bf8e0842357958edb258979,Brundidge,AL,South,2025,institutional_channel,none_identified,remains_unclear,implemented,high,not_applicable,0,"[""WCM-20a631d9c0de37aed4d0904a""]",ROOTCOMP-4bf8e0842357958edb258979,1
MECHEXP-5ac83264c596e7b931751ab7,ROOTCOMP-4bf8e0842357958edb258979,Brundidge,AL,South,2025,compensation_outcome,retroactive_pay,remains_unclear,implemented,high,not_applicable,0,"[""WCM-20a631d9c0de37aed4d0904a""]",ROOTCOMP-4bf8e0842357958edb258979,1
MECHEXP-240f50ca2b25f6513ce7d64d,ROOTCOMP-4bf8e0842357958edb258979,Brundidge,AL,South,2025,timing_implementation,payroll_effective_date,remains_unclear,implemented,high,not_applicable,0,"[""WCM-20a631d9c0de37aed4d0904a""]",ROOTCOMP-4bf8e0842357958edb258979,1
MECHEXP-ef0d4a3d3d7dca7591b55353,ROOTCOMP-4bf8e0842357958edb258979,Brundidge,AL,South,2025,timing_implementation,retroactive,remains_unclear,implemented,high,not_applicable,0,"[""WCM-20a631d9c0de37aed4d0904a""]",ROOTCOMP-4bf8e0842357958edb258979,1
MECHEXP-8df093a88d817e99ff0a8b8d,ROOTCOMP-4bf8e0842357958edb258979,Brundidge,AL,South,2025,pressure_channel,none_identified,remains_unclear,implemented,high,not_applicable,0,"[""WCM-20a631d9c0de37aed4d0904a""]",ROOTCOMP-4bf8e0842357958edb258979,1
MECHEXP-3e03d84769d5de7929ce5a69,ROOTCOMP-af3c5cdfd4b057b50f87727e,Graysville,AL,South,2016,institutional_channel,ordinance_council_adoption,remains_unclear,implemented,high,not_applicable,0,"[""WCM-a47e2950de5a3ecce227a477""]",ROOTCOMP-af3c5cdfd4b057b50f87727e,1
MECHEXP-7e647fb3cdb2d264d456736a,ROOTCOMP-af3c5cdfd4b057b50f87727e,Graysville,AL,South,2016,compensation_outcome,retroactive_pay,remains_unclear,implemented,high,not_applicable,0,"[""WCM-a47e2950de5a3ecce227a477""]",ROOTCOMP-af3c5cdfd4b057b50f87727e,1
MECHEXP-b69b542b246d9dc77c1b998e,ROOTCOMP-af3c5cdfd4b057b50f87727e,Graysville,AL,South,2016,timing_implementation,payroll_effective_date,remains_unclear,implemented,high,not_applicable,0,"[""WCM-a47e2950de5a3ecce227a477""]",ROOTCOMP-af3c5cdfd4b057b50f87727e,1
MECHEXP-b3b840de0fa377eeab21c30d,ROOTCOMP-af3c5cdfd4b057b50f87727e,Graysville,AL,South,2016,timing_implementation,retroactive,remains_unclear,implemented,high,not_applicable,0,"[""WCM-a47e2950de5a3ecce227a477""]",ROOTCOMP-af3c5cdfd4b057b50f87727e,1
MECHEXP-5589d272418ca291820f51a0,ROOTCOMP-af3c5cdfd4b057b50f87727e,Graysville,AL,South,2016,pressure_channel,none_identified,remains_unclear,implemented,high,not_applicable,0,"[""WCM-a47e2950de5a3ecce227a477""]",ROOTCOMP-af3c5cdfd4b057b50f87727e,1
MECHEXP-465ed02c0b5d41c0930872b2,ROOTCOMP-72235c06cc403d6cea3b6108,Loachapoka,AL,South,2022,institutional_channel,none_identified,remains_unclear,implemented,high,not_applicable,0,"[""WCM-f62c256138ecff82699a7e59"",""WCM-fb0f939634ca5338578bfc0a""]",ROOTCOMP-72235c06cc403d6cea3b6108,1
MECHEXP-f7e024707d614e56f23b1a77,ROOTCOMP-72235c06cc403d6cea3b6108,Loachapoka,AL,South,2022,compensation_outcome,cola_cpi_adjustment,remains_unclear,implemented,high,not_applicable,0,"[""WCM-f62c256138ecff82699a7e59"",""WCM-fb0f939634ca5338578bfc0a""]",ROOTCOMP-72235c06cc403d6cea3b6108,1
MECHEXP-a790424f19c9340b8f4c6151,ROOTCOMP-72235c06cc403d6cea3b6108,Loachapoka,AL,South,2022,compensation_outcome,retroactive_pay,remains_unclear,implemented,high,not_applicable,0,"[""WCM-f62c256138ecff82699a7e59"",""WCM-fb0f939634ca5338578bfc0a""]",ROOTCOMP-72235c06cc403d6cea3b6108,1
MECHEXP-3b95c79286095064068df4af,ROOTCOMP-72235c06cc403d6cea3b6108,Loachapoka,AL,South,2022,timing_implementation,payroll_effective_date,remains_unclear,implemented,high,not_applicable,0,"[""WCM-f62c256138ecff82699a7e59"",""WCM-fb0f939634ca5338578bfc0a""]",ROOTCOMP-72235c06cc403d6cea3b6108,1
MECHEXP-16cfa557a3ad2417c10bed63,ROOTCOMP-72235c06cc403d6cea3b6108,Loachapoka,AL,South,2022,timing_implementation,retroactive,remains_unclear,implemented,high,not_applicable,0,"[""WCM-f62c256138ecff82699a7e59"",""WCM-fb0f939634ca5338578bfc0a""]",ROOTCOMP-72235c06cc403d6cea3b6108,1
MECHEXP-f6864b6daf4e10db4ca69455,ROOTCOMP-72235c06cc403d6cea3b6108,Loachapoka,AL,South,2022,pressure_channel,none_identified,remains_unclear,implemented,high,not_applicable,0,"[""WCM-f62c256138ecff82699a7e59"",""WCM-fb0f939634ca5338578bfc0a""]",ROOTCOMP-72235c06cc403d6cea3b6108,1
MECHEXP-0ba6a8983c276bfb8908588c,ROOTCOMP-8579bd70344616ba47d5c4e0,Stevenson,AL,South,undated-source-B4X2500LIVE-20260729-009226,institutional_channel,budget_pay_plan_process,side_independent,formally_adopted,high,budget_context_only,0,"[""WCM-02da8c0126a8a8ca4b0a9cca""]",ROOTCOMP-8579bd70344616ba47d5c4e0,1
MECHEXP-52f7441fea9485127c276616,ROOTCOMP-8579bd70344616ba47d5c4e0,Stevenson,AL,South,undated-source-B4X2500LIVE-20260729-009226,institutional_channel,ordinance_council_adoption,side_independent,formally_adopted,high,budget_context_only,0,"[""WCM-02da8c0126a8a8ca4b0a9cca""]",ROOTCOMP-8579bd70344616ba47d5c4e0,1
MECHEXP-c80541c599524599275878d7,ROOTCOMP-8579bd70344616ba47d5c4e0,Stevenson,AL,South,undated-source-B4X2500LIVE-20260729-009226,institutional_channel,settlement_or_mou,side_independent,formally_adopted,high,budget_context_only,0,"[""WCM-02da8c0126a8a8ca4b0a9cca""]",ROOTCOMP-8579bd70344616ba47d5c4e0,1
MECHEXP-101bd534cc5c032f56643e2c,ROOTCOMP-8579bd70344616ba47d5c4e0,Stevenson,AL,South,undated-source-B4X2500LIVE-20260729-009226,compensation_outcome,no_direct_compensation_outcome,side_independent,formally_adopted,high,budget_context_only,0,"[""WCM-02da8c0126a8a8ca4b0a9cca""]",ROOTCOMP-8579bd70344616ba47d5c4e0,1
MECHEXP-6768addc89d27cd6a020f77c,ROOTCOMP-8579bd70344616ba47d5c4e0,Stevenson,AL,South,undated-source-B4X2500LIVE-20260729-009226,timing_implementation,unclear,side_independent,formally_adopted,high,budget_context_only,0,"[""WCM-02da8c0126a8a8ca4b0a9cca""]",ROOTCOMP-8579bd70344616ba47d5c4e0,1
