hex_cell_id,geography_panel,mechanism_view_name,side_view,implementation_event_count,root_compensation_event_count,scale_group,shared_grid
CONUS50--00030-+00036,lower_48,timing_implementation:recurring,non_safety,4,5,timing_implementation:recurring,EPSG:5070_50km_fixed
CONUS50--00030-+00036,lower_48,timing_implementation:retroactive,non_safety,4,4,timing_implementation:retroactive,EPSG:5070_50km_fixed
CONUS50--00030-+00036,lower_48,compensation_outcome:cola_cpi_adjustment,non_safety,2,2,compensation_outcome:cola_cpi_adjustment,EPSG:5070_50km_fixed
CONUS50--00030-+00036,lower_48,compensation_outcome:base_wage_change,non_safety,1,1,compensation_outcome:base_wage_change,EPSG:5070_50km_fixed
CONUS50--00024-+00027,lower_48,institutional_channel:ordinance_council_adoption,non_safety,1,1,institutional_channel:ordinance_council_adoption,EPSG:5070_50km_fixed
CONUS50--00024-+00027,lower_48,compensation_outcome:across_the_board_raise,non_safety,1,1,compensation_outcome:across_the_board_raise,EPSG:5070_50km_fixed
CONUS50--00024-+00027,lower_48,timing_implementation:ordinance_adoption,non_safety,1,1,timing_implementation:ordinance_adoption,EPSG:5070_50km_fixed
CONUS50--00024-+00027,lower_48,timing_implementation:recurring,non_safety,1,1,timing_implementation:recurring,EPSG:5070_50km_fixed
CONUS50--00024-+00027,lower_48,pressure_channel:none_identified,non_safety,1,1,pressure_channel:none_identified,EPSG:5070_50km_fixed
CONUS50--00024-+00027,lower_48,institutional_channel:budget_pay_plan_process,non_safety,1,1,institutional_channel:budget_pay_plan_process,EPSG:5070_50km_fixed
CONUS50--00024-+00027,lower_48,compensation_outcome:retroactive_pay,non_safety,1,1,compensation_outcome:retroactive_pay,EPSG:5070_50km_fixed
CONUS50--00024-+00027,lower_48,timing_implementation:budget_appropriation,non_safety,1,1,timing_implementation:budget_appropriation,EPSG:5070_50km_fixed
CONUS50--00024-+00027,lower_48,timing_implementation:payroll_effective_date,non_safety,1,1,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed
CONUS50--00024-+00027,lower_48,timing_implementation:retroactive,non_safety,1,1,timing_implementation:retroactive,EPSG:5070_50km_fixed
CONUS50--00024-+00027,lower_48,pressure_channel:fiscal_constraint,non_safety,1,1,pressure_channel:fiscal_constraint,EPSG:5070_50km_fixed
CONUS50--00029-+00038,lower_48,institutional_channel:none_identified,non_safety,2,2,institutional_channel:none_identified,EPSG:5070_50km_fixed
CONUS50--00029-+00038,lower_48,compensation_outcome:benefit_cost_change,non_safety,1,1,compensation_outcome:benefit_cost_change,EPSG:5070_50km_fixed
CONUS50--00029-+00038,lower_48,compensation_outcome:retroactive_pay,non_safety,2,2,compensation_outcome:retroactive_pay,EPSG:5070_50km_fixed
CONUS50--00029-+00038,lower_48,timing_implementation:payroll_effective_date,non_safety,2,2,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed
CONUS50--00029-+00038,lower_48,timing_implementation:retroactive,non_safety,2,2,timing_implementation:retroactive,EPSG:5070_50km_fixed
CONUS50--00029-+00038,lower_48,pressure_channel:none_identified,non_safety,2,2,pressure_channel:none_identified,EPSG:5070_50km_fixed
CONUS50--00029-+00038,lower_48,timing_implementation:one_time,non_safety,1,1,timing_implementation:one_time,EPSG:5070_50km_fixed
CONUS50-+00016-+00007,lower_48,institutional_channel:none_identified,non_safety,1,1,institutional_channel:none_identified,EPSG:5070_50km_fixed
CONUS50-+00016-+00007,lower_48,compensation_outcome:overtime,non_safety,1,1,compensation_outcome:overtime,EPSG:5070_50km_fixed
CONUS50-+00016-+00007,lower_48,timing_implementation:recurring,non_safety,1,1,timing_implementation:recurring,EPSG:5070_50km_fixed
CONUS50-+00016-+00007,lower_48,pressure_channel:none_identified,non_safety,1,1,pressure_channel:none_identified,EPSG:5070_50km_fixed
CONUS50-+00014-+00007,lower_48,institutional_channel:none_identified,non_safety,1,1,institutional_channel:none_identified,EPSG:5070_50km_fixed
CONUS50-+00014-+00007,lower_48,compensation_outcome:retroactive_pay,non_safety,1,1,compensation_outcome:retroactive_pay,EPSG:5070_50km_fixed
CONUS50-+00014-+00007,lower_48,timing_implementation:payroll_effective_date,non_safety,1,1,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed
CONUS50-+00014-+00007,lower_48,timing_implementation:retroactive,non_safety,1,1,timing_implementation:retroactive,EPSG:5070_50km_fixed
CONUS50-+00014-+00007,lower_48,pressure_channel:none_identified,non_safety,1,1,pressure_channel:none_identified,EPSG:5070_50km_fixed
CONUS50-+00006-+00021,lower_48,institutional_channel:budget_pay_plan_process,non_safety,3,3,institutional_channel:budget_pay_plan_process,EPSG:5070_50km_fixed
CONUS50-+00006-+00021,lower_48,compensation_outcome:no_direct_compensation_outcome,non_safety,3,3,compensation_outcome:no_direct_compensation_outcome,EPSG:5070_50km_fixed
CONUS50-+00006-+00021,lower_48,timing_implementation:payroll_effective_date,non_safety,4,4,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed
CONUS50-+00006-+00021,lower_48,pressure_channel:fiscal_constraint,non_safety,3,3,pressure_channel:fiscal_constraint,EPSG:5070_50km_fixed
CONUS50-+00004-+00021,lower_48,institutional_channel:budget_pay_plan_process,non_safety,1,1,institutional_channel:budget_pay_plan_process,EPSG:5070_50km_fixed
CONUS50-+00004-+00021,lower_48,compensation_outcome:retroactive_pay,non_safety,1,1,compensation_outcome:retroactive_pay,EPSG:5070_50km_fixed
CONUS50-+00004-+00021,lower_48,timing_implementation:budget_appropriation,non_safety,1,1,timing_implementation:budget_appropriation,EPSG:5070_50km_fixed
CONUS50-+00004-+00021,lower_48,timing_implementation:payroll_effective_date,non_safety,1,1,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed
CONUS50-+00004-+00021,lower_48,timing_implementation:retroactive,non_safety,1,1,timing_implementation:retroactive,EPSG:5070_50km_fixed
CONUS50-+00004-+00021,lower_48,pressure_channel:fiscal_constraint,non_safety,1,1,pressure_channel:fiscal_constraint,EPSG:5070_50km_fixed
CONUS50--00018-+00037,lower_48,institutional_channel:budget_pay_plan_process,non_safety,1,1,institutional_channel:budget_pay_plan_process,EPSG:5070_50km_fixed
CONUS50--00018-+00037,lower_48,institutional_channel:ordinance_council_adoption,non_safety,1,1,institutional_channel:ordinance_council_adoption,EPSG:5070_50km_fixed
CONUS50--00018-+00037,lower_48,compensation_outcome:cola_cpi_adjustment,non_safety,1,1,compensation_outcome:cola_cpi_adjustment,EPSG:5070_50km_fixed
CONUS50--00018-+00037,lower_48,timing_implementation:budget_appropriation,non_safety,1,1,timing_implementation:budget_appropriation,EPSG:5070_50km_fixed
CONUS50--00018-+00037,lower_48,timing_implementation:ordinance_adoption,non_safety,1,1,timing_implementation:ordinance_adoption,EPSG:5070_50km_fixed
CONUS50--00018-+00037,lower_48,pressure_channel:fiscal_constraint,non_safety,1,1,pressure_channel:fiscal_constraint,EPSG:5070_50km_fixed
CONUS50-+00009-+00020,lower_48,institutional_channel:budget_pay_plan_process,non_safety,2,2,institutional_channel:budget_pay_plan_process,EPSG:5070_50km_fixed
CONUS50-+00009-+00020,lower_48,compensation_outcome:step_progression,non_safety,1,1,compensation_outcome:step_progression,EPSG:5070_50km_fixed
CONUS50-+00009-+00020,lower_48,timing_implementation:recurring,non_safety,1,1,timing_implementation:recurring,EPSG:5070_50km_fixed
CONUS50-+00009-+00020,lower_48,pressure_channel:fiscal_constraint,non_safety,2,2,pressure_channel:fiscal_constraint,EPSG:5070_50km_fixed
CONUS50-+00009-+00020,lower_48,compensation_outcome:retroactive_pay,non_safety,1,1,compensation_outcome:retroactive_pay,EPSG:5070_50km_fixed
CONUS50-+00009-+00020,lower_48,timing_implementation:one_time,non_safety,1,1,timing_implementation:one_time,EPSG:5070_50km_fixed
CONUS50-+00009-+00020,lower_48,timing_implementation:retroactive,non_safety,1,1,timing_implementation:retroactive,EPSG:5070_50km_fixed
CONUS50-+00006-+00021,lower_48,institutional_channel:none_identified,non_safety,1,1,institutional_channel:none_identified,EPSG:5070_50km_fixed
CONUS50-+00006-+00021,lower_48,compensation_outcome:retroactive_pay,non_safety,1,1,compensation_outcome:retroactive_pay,EPSG:5070_50km_fixed
CONUS50-+00006-+00021,lower_48,timing_implementation:retroactive,non_safety,1,1,timing_implementation:retroactive,EPSG:5070_50km_fixed
CONUS50-+00006-+00021,lower_48,pressure_channel:none_identified,non_safety,1,1,pressure_channel:none_identified,EPSG:5070_50km_fixed
CONUS50-+00008-+00021,lower_48,institutional_channel:budget_pay_plan_process,non_safety,1,1,institutional_channel:budget_pay_plan_process,EPSG:5070_50km_fixed
CONUS50-+00008-+00021,lower_48,compensation_outcome:no_direct_compensation_outcome,non_safety,2,2,compensation_outcome:no_direct_compensation_outcome,EPSG:5070_50km_fixed
CONUS50-+00008-+00021,lower_48,timing_implementation:payroll_effective_date,non_safety,1,1,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed
CONUS50-+00008-+00021,lower_48,pressure_channel:fiscal_constraint,non_safety,1,1,pressure_channel:fiscal_constraint,EPSG:5070_50km_fixed
CONUS50-+00008-+00021,lower_48,institutional_channel:none_identified,non_safety,1,1,institutional_channel:none_identified,EPSG:5070_50km_fixed
CONUS50-+00008-+00021,lower_48,timing_implementation:unclear,non_safety,1,1,timing_implementation:unclear,EPSG:5070_50km_fixed
CONUS50-+00008-+00021,lower_48,pressure_channel:none_identified,non_safety,1,1,pressure_channel:none_identified,EPSG:5070_50km_fixed
CONUS50-+00007-+00019,lower_48,institutional_channel:budget_pay_plan_process,non_safety,1,1,institutional_channel:budget_pay_plan_process,EPSG:5070_50km_fixed
CONUS50-+00007-+00019,lower_48,institutional_channel:ordinance_council_adoption,non_safety,1,1,institutional_channel:ordinance_council_adoption,EPSG:5070_50km_fixed
CONUS50-+00007-+00019,lower_48,compensation_outcome:no_direct_compensation_outcome,non_safety,1,1,compensation_outcome:no_direct_compensation_outcome,EPSG:5070_50km_fixed
CONUS50-+00007-+00019,lower_48,timing_implementation:ordinance_adoption,non_safety,1,1,timing_implementation:ordinance_adoption,EPSG:5070_50km_fixed
CONUS50-+00007-+00019,lower_48,timing_implementation:payroll_effective_date,non_safety,1,1,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed
CONUS50-+00007-+00019,lower_48,pressure_channel:fiscal_constraint,non_safety,1,1,pressure_channel:fiscal_constraint,EPSG:5070_50km_fixed
CONUS50-+00011-+00017,lower_48,institutional_channel:ordinance_council_adoption,non_safety,1,1,institutional_channel:ordinance_council_adoption,EPSG:5070_50km_fixed
CONUS50-+00011-+00017,lower_48,compensation_outcome:no_direct_compensation_outcome,non_safety,1,1,compensation_outcome:no_direct_compensation_outcome,EPSG:5070_50km_fixed
CONUS50-+00011-+00017,lower_48,timing_implementation:unclear,non_safety,1,1,timing_implementation:unclear,EPSG:5070_50km_fixed
CONUS50-+00011-+00017,lower_48,pressure_channel:none_identified,non_safety,1,1,pressure_channel:none_identified,EPSG:5070_50km_fixed
CONUS50-+00012-+00016,lower_48,institutional_channel:ordinance_council_adoption,non_safety,1,1,institutional_channel:ordinance_council_adoption,EPSG:5070_50km_fixed
CONUS50-+00012-+00016,lower_48,compensation_outcome:no_direct_compensation_outcome,non_safety,1,1,compensation_outcome:no_direct_compensation_outcome,EPSG:5070_50km_fixed
CONUS50-+00012-+00016,lower_48,timing_implementation:unclear,non_safety,1,1,timing_implementation:unclear,EPSG:5070_50km_fixed
CONUS50-+00012-+00016,lower_48,pressure_channel:none_identified,non_safety,1,1,pressure_channel:none_identified,EPSG:5070_50km_fixed
CONUS50-+00010-+00016,lower_48,institutional_channel:budget_pay_plan_process,non_safety,1,1,institutional_channel:budget_pay_plan_process,EPSG:5070_50km_fixed
CONUS50-+00010-+00016,lower_48,compensation_outcome:no_direct_compensation_outcome,non_safety,1,1,compensation_outcome:no_direct_compensation_outcome,EPSG:5070_50km_fixed
CONUS50-+00010-+00016,lower_48,timing_implementation:payroll_effective_date,non_safety,1,1,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed
CONUS50-+00010-+00016,lower_48,pressure_channel:fiscal_constraint,non_safety,1,1,pressure_channel:fiscal_constraint,EPSG:5070_50km_fixed
CONUS50-+00011-+00018,lower_48,institutional_channel:budget_pay_plan_process,non_safety,2,2,institutional_channel:budget_pay_plan_process,EPSG:5070_50km_fixed
CONUS50-+00011-+00018,lower_48,compensation_outcome:no_direct_compensation_outcome,non_safety,1,1,compensation_outcome:no_direct_compensation_outcome,EPSG:5070_50km_fixed
CONUS50-+00011-+00018,lower_48,timing_implementation:payroll_effective_date,non_safety,1,1,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed
CONUS50-+00011-+00018,lower_48,pressure_channel:fiscal_constraint,non_safety,2,2,pressure_channel:fiscal_constraint,EPSG:5070_50km_fixed
CONUS50-+00011-+00018,lower_48,institutional_channel:settlement_or_mou,non_safety,1,1,institutional_channel:settlement_or_mou,EPSG:5070_50km_fixed
CONUS50-+00011-+00018,lower_48,compensation_outcome:longevity,non_safety,1,1,compensation_outcome:longevity,EPSG:5070_50km_fixed
CONUS50-+00011-+00018,lower_48,timing_implementation:recurring,non_safety,1,1,timing_implementation:recurring,EPSG:5070_50km_fixed
CONUS50-+00012-+00017,lower_48,institutional_channel:ordinance_council_adoption,non_safety,1,1,institutional_channel:ordinance_council_adoption,EPSG:5070_50km_fixed
CONUS50-+00012-+00017,lower_48,compensation_outcome:across_the_board_raise,non_safety,1,1,compensation_outcome:across_the_board_raise,EPSG:5070_50km_fixed
CONUS50-+00012-+00017,lower_48,timing_implementation:recurring,non_safety,1,1,timing_implementation:recurring,EPSG:5070_50km_fixed
CONUS50-+00012-+00017,lower_48,pressure_channel:none_identified,non_safety,1,1,pressure_channel:none_identified,EPSG:5070_50km_fixed
CONUS50-+00011-+00020,lower_48,institutional_channel:none_identified,non_safety,2,2,institutional_channel:none_identified,EPSG:5070_50km_fixed
CONUS50-+00011-+00020,lower_48,compensation_outcome:non_base_compensation_other,non_safety,1,1,compensation_outcome:non_base_compensation_other,EPSG:5070_50km_fixed
CONUS50-+00011-+00020,lower_48,timing_implementation:payroll_effective_date,non_safety,2,2,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed
CONUS50-+00011-+00020,lower_48,pressure_channel:vacancy_pressure,non_safety,1,1,pressure_channel:vacancy_pressure,EPSG:5070_50km_fixed
CONUS50-+00011-+00023,lower_48,institutional_channel:budget_pay_plan_process,non_safety,1,1,institutional_channel:budget_pay_plan_process,EPSG:5070_50km_fixed
CONUS50-+00011-+00023,lower_48,compensation_outcome:cola_cpi_adjustment,non_safety,1,1,compensation_outcome:cola_cpi_adjustment,EPSG:5070_50km_fixed
CONUS50-+00011-+00023,lower_48,timing_implementation:recurring,non_safety,1,1,timing_implementation:recurring,EPSG:5070_50km_fixed
CONUS50-+00011-+00023,lower_48,pressure_channel:fiscal_constraint,non_safety,1,1,pressure_channel:fiscal_constraint,EPSG:5070_50km_fixed
CONUS50-+00014-+00019,lower_48,institutional_channel:none_identified,non_safety,1,2,institutional_channel:none_identified,EPSG:5070_50km_fixed
CONUS50-+00014-+00019,lower_48,compensation_outcome:across_the_board_raise,non_safety,1,1,compensation_outcome:across_the_board_raise,EPSG:5070_50km_fixed
CONUS50-+00014-+00019,lower_48,compensation_outcome:cola_cpi_adjustment,non_safety,1,1,compensation_outcome:cola_cpi_adjustment,EPSG:5070_50km_fixed
CONUS50-+00014-+00019,lower_48,timing_implementation:recurring,non_safety,1,1,timing_implementation:recurring,EPSG:5070_50km_fixed
CONUS50-+00014-+00019,lower_48,pressure_channel:none_identified,non_safety,1,2,pressure_channel:none_identified,EPSG:5070_50km_fixed
CONUS50-+00014-+00019,lower_48,compensation_outcome:benefit_cost_change,non_safety,1,1,compensation_outcome:benefit_cost_change,EPSG:5070_50km_fixed
CONUS50-+00014-+00019,lower_48,compensation_outcome:retroactive_pay,non_safety,1,1,compensation_outcome:retroactive_pay,EPSG:5070_50km_fixed
CONUS50-+00014-+00019,lower_48,timing_implementation:payroll_effective_date,non_safety,1,1,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed
CONUS50-+00014-+00019,lower_48,timing_implementation:retroactive,non_safety,1,1,timing_implementation:retroactive,EPSG:5070_50km_fixed
CONUS50-+00011-+00020,lower_48,compensation_outcome:retroactive_pay,non_safety,1,1,compensation_outcome:retroactive_pay,EPSG:5070_50km_fixed
CONUS50-+00011-+00020,lower_48,timing_implementation:one_time,non_safety,1,1,timing_implementation:one_time,EPSG:5070_50km_fixed
CONUS50-+00011-+00020,lower_48,timing_implementation:retroactive,non_safety,1,1,timing_implementation:retroactive,EPSG:5070_50km_fixed
CONUS50-+00011-+00020,lower_48,pressure_channel:market_recruitment_retention,non_safety,1,1,pressure_channel:market_recruitment_retention,EPSG:5070_50km_fixed
CONUS50-+00010-+00022,lower_48,institutional_channel:ordinance_council_adoption,non_safety,1,1,institutional_channel:ordinance_council_adoption,EPSG:5070_50km_fixed
CONUS50-+00010-+00022,lower_48,compensation_outcome:no_direct_compensation_outcome,non_safety,1,1,compensation_outcome:no_direct_compensation_outcome,EPSG:5070_50km_fixed
CONUS50-+00010-+00022,lower_48,timing_implementation:ordinance_adoption,non_safety,1,1,timing_implementation:ordinance_adoption,EPSG:5070_50km_fixed
CONUS50-+00010-+00022,lower_48,pressure_channel:none_identified,non_safety,3,3,pressure_channel:none_identified,EPSG:5070_50km_fixed
CONUS50-+00012-+00019,lower_48,institutional_channel:budget_pay_plan_process,non_safety,1,1,institutional_channel:budget_pay_plan_process,EPSG:5070_50km_fixed
CONUS50-+00012-+00019,lower_48,compensation_outcome:no_direct_compensation_outcome,non_safety,1,1,compensation_outcome:no_direct_compensation_outcome,EPSG:5070_50km_fixed
CONUS50-+00012-+00019,lower_48,timing_implementation:payroll_effective_date,non_safety,1,1,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed
CONUS50-+00012-+00019,lower_48,pressure_channel:fiscal_constraint,non_safety,1,1,pressure_channel:fiscal_constraint,EPSG:5070_50km_fixed
CONUS50-+00014-+00018,lower_48,institutional_channel:none_identified,non_safety,2,2,institutional_channel:none_identified,EPSG:5070_50km_fixed
CONUS50-+00014-+00018,lower_48,compensation_outcome:retroactive_pay,non_safety,2,2,compensation_outcome:retroactive_pay,EPSG:5070_50km_fixed
CONUS50-+00014-+00018,lower_48,timing_implementation:payroll_effective_date,non_safety,2,2,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed
CONUS50-+00014-+00018,lower_48,timing_implementation:retroactive,non_safety,2,2,timing_implementation:retroactive,EPSG:5070_50km_fixed
CONUS50-+00014-+00018,lower_48,pressure_channel:none_identified,non_safety,2,2,pressure_channel:none_identified,EPSG:5070_50km_fixed
CONUS50-+00010-+00022,lower_48,institutional_channel:none_identified,non_safety,3,3,institutional_channel:none_identified,EPSG:5070_50km_fixed
CONUS50-+00010-+00022,lower_48,compensation_outcome:non_base_compensation_other,non_safety,3,3,compensation_outcome:non_base_compensation_other,EPSG:5070_50km_fixed
CONUS50-+00010-+00022,lower_48,timing_implementation:payroll_effective_date,non_safety,3,3,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed
CONUS50-+00015-+00019,lower_48,institutional_channel:none_identified,non_safety,2,2,institutional_channel:none_identified,EPSG:5070_50km_fixed
CONUS50-+00015-+00019,lower_48,compensation_outcome:across_the_board_raise,non_safety,1,1,compensation_outcome:across_the_board_raise,EPSG:5070_50km_fixed
CONUS50-+00015-+00019,lower_48,timing_implementation:payroll_effective_date,non_safety,2,2,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed
CONUS50-+00015-+00019,lower_48,timing_implementation:recurring,non_safety,1,1,timing_implementation:recurring,EPSG:5070_50km_fixed
CONUS50-+00015-+00019,lower_48,pressure_channel:none_identified,non_safety,2,2,pressure_channel:none_identified,EPSG:5070_50km_fixed
CONUS50-+00010-+00022,lower_48,pressure_channel:fiscal_constraint,non_safety,1,1,pressure_channel:fiscal_constraint,EPSG:5070_50km_fixed
CONUS50-+00012-+00025,lower_48,institutional_channel:none_identified,non_safety,2,2,institutional_channel:none_identified,EPSG:5070_50km_fixed
CONUS50-+00012-+00025,lower_48,compensation_outcome:no_direct_compensation_outcome,non_safety,1,1,compensation_outcome:no_direct_compensation_outcome,EPSG:5070_50km_fixed
CONUS50-+00012-+00025,lower_48,timing_implementation:payroll_effective_date,non_safety,1,1,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed
CONUS50-+00012-+00025,lower_48,pressure_channel:market_recruitment_retention,non_safety,2,2,pressure_channel:market_recruitment_retention,EPSG:5070_50km_fixed
CONUS50-+00012-+00025,lower_48,compensation_outcome:holiday_pay,non_safety,1,1,compensation_outcome:holiday_pay,EPSG:5070_50km_fixed
CONUS50-+00012-+00025,lower_48,timing_implementation:recurring,non_safety,1,1,timing_implementation:recurring,EPSG:5070_50km_fixed
CONUS50-+00015-+00019,lower_48,compensation_outcome:retroactive_pay,non_safety,1,1,compensation_outcome:retroactive_pay,EPSG:5070_50km_fixed
CONUS50-+00015-+00019,lower_48,timing_implementation:retroactive,non_safety,1,1,timing_implementation:retroactive,EPSG:5070_50km_fixed
CONUS50-+00013-+00019,lower_48,institutional_channel:budget_pay_plan_process,non_safety,2,2,institutional_channel:budget_pay_plan_process,EPSG:5070_50km_fixed
CONUS50-+00013-+00019,lower_48,compensation_outcome:no_direct_compensation_outcome,non_safety,2,2,compensation_outcome:no_direct_compensation_outcome,EPSG:5070_50km_fixed
CONUS50-+00013-+00019,lower_48,timing_implementation:payroll_effective_date,non_safety,1,1,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed
CONUS50-+00013-+00019,lower_48,pressure_channel:fiscal_constraint,non_safety,2,2,pressure_channel:fiscal_constraint,EPSG:5070_50km_fixed
CONUS50-+00013-+00019,lower_48,timing_implementation:ordinance_adoption,non_safety,1,1,timing_implementation:ordinance_adoption,EPSG:5070_50km_fixed
CONUS50-+00001-+00029,lower_48,institutional_channel:budget_pay_plan_process,non_safety,4,4,institutional_channel:budget_pay_plan_process,EPSG:5070_50km_fixed
CONUS50-+00001-+00029,lower_48,institutional_channel:ordinance_council_adoption,non_safety,2,2,institutional_channel:ordinance_council_adoption,EPSG:5070_50km_fixed
CONUS50-+00001-+00029,lower_48,compensation_outcome:no_direct_compensation_outcome,non_safety,4,4,compensation_outcome:no_direct_compensation_outcome,EPSG:5070_50km_fixed
CONUS50-+00001-+00029,lower_48,timing_implementation:ordinance_adoption,non_safety,2,2,timing_implementation:ordinance_adoption,EPSG:5070_50km_fixed
CONUS50-+00001-+00029,lower_48,pressure_channel:fiscal_constraint,non_safety,4,4,pressure_channel:fiscal_constraint,EPSG:5070_50km_fixed
CONUS50-+00002-+00029,lower_48,institutional_channel:none_identified,non_safety,2,2,institutional_channel:none_identified,EPSG:5070_50km_fixed
CONUS50-+00002-+00029,lower_48,compensation_outcome:benefit_cost_change,non_safety,1,1,compensation_outcome:benefit_cost_change,EPSG:5070_50km_fixed
CONUS50-+00002-+00029,lower_48,compensation_outcome:retroactive_pay,non_safety,2,2,compensation_outcome:retroactive_pay,EPSG:5070_50km_fixed
CONUS50-+00002-+00029,lower_48,timing_implementation:payroll_effective_date,non_safety,2,2,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed
CONUS50-+00002-+00029,lower_48,timing_implementation:retroactive,non_safety,2,2,timing_implementation:retroactive,EPSG:5070_50km_fixed
CONUS50-+00002-+00029,lower_48,pressure_channel:none_identified,non_safety,2,2,pressure_channel:none_identified,EPSG:5070_50km_fixed
CONUS50-+00002-+00029,lower_48,compensation_outcome:step_progression,non_safety,1,1,compensation_outcome:step_progression,EPSG:5070_50km_fixed
CONUS50-+00002-+00029,lower_48,timing_implementation:recurring,non_safety,1,1,timing_implementation:recurring,EPSG:5070_50km_fixed
CONUS50-+00003-+00026,lower_48,institutional_channel:budget_pay_plan_process,non_safety,1,1,institutional_channel:budget_pay_plan_process,EPSG:5070_50km_fixed
CONUS50-+00003-+00026,lower_48,compensation_outcome:no_direct_compensation_outcome,non_safety,1,1,compensation_outcome:no_direct_compensation_outcome,EPSG:5070_50km_fixed
CONUS50-+00003-+00026,lower_48,timing_implementation:payroll_effective_date,non_safety,1,1,timing_implementation:payroll_effective_date,EPSG:5070_50km_fixed
CONUS50-+00003-+00026,lower_48,pressure_channel:fiscal_constraint,non_safety,1,1,pressure_channel:fiscal_constraint,EPSG:5070_50km_fixed
CONUS50-+00001-+00027,lower_48,institutional_channel:budget_pay_plan_process,non_safety,1,1,institutional_channel:budget_pay_plan_process,EPSG:5070_50km_fixed
