municipality_id,municipality,state,urbanicity,urban_land_share,classification_method,reference_year,suburban_classification_created
cog_2025_176161,Abernathy,TX,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_194856,Ashtabula,OH,urban,1.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_124255,Astatula,FL,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_172918,Athens,OH,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_161617,Atlantic Beach,FL,urban,1.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_131705,Atlantic Beach,NC,urban,1.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_208363,Atlas,MI,unknown,0.000364,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_186669,Attica,NY,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_175718,Atwood,TN,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_128358,Au Train,MI,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_177824,Auburndale,WI,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_208165,Audubon Park,KY,urban,1.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_164964,Augusta,KS,unknown,0.008823,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_106593,Augusta charter,MI,unknown,0.039685,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_170801,Aurora,NY,unknown,0.136997,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_193555,Austin,MN,urban,0.743876,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_205481,Avery,TX,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_164539,Avoca,IA,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_131431,Avoca,NY,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_131375,Avon,NY,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_184042,Avon-by-the-Sea,NJ,urban,1.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_208556,Badger,MN,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_194554,Bagley,MN,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_209092,Bainbridge,OH,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_167532,Balaton,MN,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_175985,Balcones Heights,TX,urban,1.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_211367,Balkan,MN,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_170985,Ballston,NY,unknown,0.296605,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_128343,Bangor,MI,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_205671,Baraboo,WI,urban,0.731277,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_170711,Barker,NY,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_162272,Barrington Hills,IL,unknown,0.047668,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_177781,Bass Lake,WI,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_170831,Batavia,NY,unknown,0.06197,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_189605,Batesville,AR,urban,0.58051,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_209122,Bath,OH,urban,0.583027,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_167576,Battle Lake,MN,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_211757,Baxter,MN,unknown,0.324999,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_212039,Bay,MI,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_225686,Bay,OH,unknown,0.15764,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_135159,Bayou Vista,TX,urban,1.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_111011,Bazetta,OH,unknown,0.30649,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_225684,Beaver,OH,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_209368,Beaver,PA,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_167803,Becker,MN,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_165980,Bedford,KY,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_172800,Bedford,OH,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_124881,Bedford Park,IL,urban,1.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_170340,Bedminster,NJ,unknown,0.113782,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_170793,Beekman,NY,unknown,0.410844,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_175980,Beeville,TX,urban,0.878068,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_134664,Belle,SD,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_168410,Belle Plaine,MN,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_165840,Bellefonte,KY,urban,0.704862,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_128347,Belleville,MI,urban,1.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_207832,Bellflower,IL,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_211455,Bellmead,TX,urban,0.814428,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_212211,Bellwood,IL,urban,1.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_194229,Beloit,WI,urban,0.746504,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_162180,Belvidere,IL,urban,0.762419,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_191043,Belville,NC,urban,0.987333,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_193561,Bemidji,MN,unknown,0.05079,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_108407,Benkelman,NE,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_194555,Benson,MN,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_189922,Benton,IL,urban,0.662539,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_193355,Benton,KS,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_202162,Berlin,NJ,urban,1.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_225676,Berlin,OH,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_194989,Bernards,NJ,urban,0.83107,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_162510,Bethalto,IL,urban,0.796491,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_176963,Bethany,WV,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_161475,Bethlehem,CT,unknown,,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_123148,Big Bear Lake,CA,urban,1.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_170754,Big Flats,NY,unknown,0.170589,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_167149,Big Rapids charter,MI,unknown,0.063323,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_192100,Bigfork,MN,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_225354,Biggs,CA,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_207659,Biscayne Park,FL,urban,1.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_167627,Biwabik,MN,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_140792,Black Earth,WI,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_208449,Blackduck,MN,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_106119,Blandford,MA,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_172856,Blendon,OH,urban,0.798797,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_166723,Blissfield,MI,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_173206,Bloom,OH,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_202813,Bloomer,WI,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_165956,Bloomfield,KY,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_167170,Bloomfield,MI,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_211742,Bloomfield Hills,MI,urban,1.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_167204,Bloomfield charter,MI,urban,1.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_168447,Blooming Prairie,MN,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_208995,Blowing Rock,NC,urban,0.955857,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_208467,Blue Earth,MN,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_161149,Blue Lake,CA,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_176384,Blue Mound,TX,urban,1.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_191566,Bluff City,TN,urban,0.90666,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_191844,Bonduel,WI,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_124252,Bonifay,FL,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_176226,Borger,TX,urban,0.810223,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_106320,Boyne City,MI,urban,0.896076,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_204604,Bradford,ME,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_209389,Bradford,PA,unknown,0.023156,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_166270,Bradley,ME,unknown,0.011102,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_167497,Braham,MN,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_201617,Breese,IL,urban,0.864411,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_172617,Brewster,OH,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_128305,Brighton,MI,urban,1.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_211438,Brighton,PA,unknown,0.408111,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_166502,Brimfield,MA,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_132731,Brimfield,OH,urban,0.702603,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_102595,Broadview,IL,urban,1.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_127620,Bromley,KY,urban,1.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_204981,Bronxville,NY,urban,1.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_173234,Brookfield,OH,unknown,0.185914,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_136803,Brookfield,WI,urban,0.773868,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_130829,Brooklawn,NJ,urban,1.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_166702,Brooklyn,MI,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_131425,Broome,NY,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_167334,Brownstown charter,MI,urban,0.815821,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_208821,Brownville,NY,urban,0.910706,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_205404,Bruceton,TN,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_108429,Brule,NE,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_160699,Brundidge,AL,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_110950,Brunswick Hills,OH,unknown,0.461538,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_193489,Buchanan,MI,urban,0.887205,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_202206,Buchanan,NY,urban,1.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_161941,Buckhead,GA,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_172811,Bucyrus,OH,unknown,0.002219,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_176185,Buda,TX,urban,0.622785,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_189642,Buellton,CA,urban,0.995156,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_204678,Burt,MI,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_174647,Bushkill,PA,unknown,0.137858,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_225678,Butler,OH,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
cog_2025_209858,Butler,WI,rural,0.0,urban if at least half of 2020 Census entity land overlaps a 2020 Census Urban Area; rural if zero overlap; otherwise unknown,2020,false
