search_target_id,missingness_id,search_priority,search_family,municipality,state,compensation_cycle_or_year,side,target_query_hints,expected_claim_upgrade,checkpoint_status,lane_id,external_search_executed
EXTTARGET-6ae537c81cbf0735919cec95,EXTMISS-47942aa45726ea57e8384fc8,Tier 1,recruitment_and_retention,Adams,WI,2024,non_safety,Adams WI 2024 non_safety applicant counts,tests recruitment and retention pressure with comparable administrative outcomes,not_started,search_lane_004,false
EXTTARGET-90593a1242ae3ec19efbca1f,EXTMISS-8321dd429743ceb50fd74fa5,Tier 2,tenure_and_progression,Adams,WI,2024,non_safety,Adams WI 2024 non_safety employee tenure,distinguishes contractual progression from compositional or tenure differences,not_started,search_lane_003,false
EXTTARGET-5e44f143af1dfa1462465333,EXTMISS-cbea5d6e7e8ea09318aa48b4,Tier 1,implementation,Adams,WI,2024,non_safety,Adams WI 2024 non_safety payroll-effective date,confirms whether negotiated or adopted terms became operative and paid,not_started,search_lane_002,false
EXTTARGET-4242cdc4e61e3ba7605171f9,EXTMISS-5e8fde23828174ee270f8101,Tier 2,benefits_and_total_compensation,Adams,WI,2024,non_safety,Adams WI 2024 non_safety pension contributions,separates wages from benefits and measures recurring total-compensation effects,not_started,search_lane_004,false
EXTTARGET-05b62574067decbf6a310d39,EXTMISS-945f87cba4904e1f69c5703f,Tier 2,urbanicity_and_context,Adams,WI,2024,non_safety,Adams WI 2024 non_safety authoritative coordinates,enables hex-density placement and contextual interpretation,not_started,search_lane_003,false
EXTTARGET-c7f8d2a0a444d086e1dcb909,EXTMISS-bd98d2d0f07dff100afeacbe,Tier 1,payroll_and_earnings,Adams,WI,undated-source-B4X2500LIVE-20260729-000902,unclear,Adams WI undated-source-B4X2500LIVE-20260729-000902 unclear actual wages paid,upgrades implementation from documented term to paid outcome,not_started,search_lane_005,false
EXTTARGET-a19e82e52e2ac140333213da,EXTMISS-d589762e297f0178e39157f7,Tier 1,staffing_and_headcount,Adams,WI,undated-source-B4X2500LIVE-20260729-000902,unclear,Adams WI undated-source-B4X2500LIVE-20260729-000902 unclear authorized positions,tests vacancy and staffing-reduction mechanisms with denominators,not_started,search_lane_004,false
EXTTARGET-e116f58b6e96dbc4174cd8c8,EXTMISS-5a6650ed8db59cfad0fbed16,Tier 1,recruitment_and_retention,Adams,WI,undated-source-B4X2500LIVE-20260729-000902,unclear,Adams WI undated-source-B4X2500LIVE-20260729-000902 unclear applicant counts,tests recruitment and retention pressure with comparable administrative outcomes,not_started,search_lane_001,false
EXTTARGET-f5adbf1719ec3bb29efc2e66,EXTMISS-a5039a1d9f9ab801273d188b,Tier 2,tenure_and_progression,Adams,WI,undated-source-B4X2500LIVE-20260729-000902,unclear,Adams WI undated-source-B4X2500LIVE-20260729-000902 unclear employee tenure,distinguishes contractual progression from compositional or tenure differences,not_started,search_lane_003,false
EXTTARGET-78183e8682866acbd0d89c64,EXTMISS-337782440329ea774c9bb221,Tier 1,implementation,Adams,WI,undated-source-B4X2500LIVE-20260729-000902,unclear,Adams WI undated-source-B4X2500LIVE-20260729-000902 unclear payroll-effective date,confirms whether negotiated or adopted terms became operative and paid,not_started,search_lane_005,false
EXTTARGET-1ed39590e0d1baddc55b167d,EXTMISS-13b5d522436f7bf4f84b3f04,Tier 2,benefits_and_total_compensation,Adams,WI,undated-source-B4X2500LIVE-20260729-000902,unclear,Adams WI undated-source-B4X2500LIVE-20260729-000902 unclear pension contributions,separates wages from benefits and measures recurring total-compensation effects,not_started,search_lane_001,false
EXTTARGET-003e8be84e428edfddef0d7e,EXTMISS-be26408c2fafb0984b32c216,Tier 2,urbanicity_and_context,Adams,WI,undated-source-B4X2500LIVE-20260729-000902,unclear,Adams WI undated-source-B4X2500LIVE-20260729-000902 unclear authoritative coordinates,enables hex-density placement and contextual interpretation,not_started,search_lane_001,false
EXTTARGET-9aae871dd91635ea1238018c,EXTMISS-95d91c9f762be96e52de3b1b,Tier 1,payroll_and_earnings,Addison,IL,undated-source-RS429-728fa34f79dffe429f1c,unclear,Addison IL undated-source-RS429-728fa34f79dffe429f1c unclear actual wages paid,upgrades implementation from documented term to paid outcome,not_started,search_lane_003,false
EXTTARGET-39b0887244f01707a4888b35,EXTMISS-aa837059935a61616c7ffb72,Tier 1,staffing_and_headcount,Addison,IL,undated-source-RS429-728fa34f79dffe429f1c,unclear,Addison IL undated-source-RS429-728fa34f79dffe429f1c unclear authorized positions,tests vacancy and staffing-reduction mechanisms with denominators,not_started,search_lane_002,false
EXTTARGET-f3b3b6cff6e7eca4a8d705da,EXTMISS-a81f32d6b81f85f7b84e67f9,Tier 1,recruitment_and_retention,Addison,IL,undated-source-RS429-728fa34f79dffe429f1c,unclear,Addison IL undated-source-RS429-728fa34f79dffe429f1c unclear applicant counts,tests recruitment and retention pressure with comparable administrative outcomes,not_started,search_lane_003,false
EXTTARGET-1d5a304dc1c3d8bb207c1d9d,EXTMISS-0d23a3d92c966f5f4ca293a7,Tier 2,tenure_and_progression,Addison,IL,undated-source-RS429-728fa34f79dffe429f1c,unclear,Addison IL undated-source-RS429-728fa34f79dffe429f1c unclear employee tenure,distinguishes contractual progression from compositional or tenure differences,not_started,search_lane_003,false
EXTTARGET-c84d0e4cd8d4e71eca28b6e1,EXTMISS-3f82ff5f58d528bdcc4984f9,Tier 1,implementation,Addison,IL,undated-source-RS429-728fa34f79dffe429f1c,unclear,Addison IL undated-source-RS429-728fa34f79dffe429f1c unclear payroll-effective date,confirms whether negotiated or adopted terms became operative and paid,not_started,search_lane_003,false
EXTTARGET-a07fb5fa2f37666c75795a2e,EXTMISS-c42dcb608aebc39138b80c26,Tier 2,benefits_and_total_compensation,Addison,IL,undated-source-RS429-728fa34f79dffe429f1c,unclear,Addison IL undated-source-RS429-728fa34f79dffe429f1c unclear pension contributions,separates wages from benefits and measures recurring total-compensation effects,not_started,search_lane_003,false
EXTTARGET-9eb72c52c526c89f047e15cd,EXTMISS-514efccc7ee78aab8975bbe4,Tier 2,urbanicity_and_context,Addison,IL,undated-source-RS429-728fa34f79dffe429f1c,unclear,Addison IL undated-source-RS429-728fa34f79dffe429f1c unclear authoritative coordinates,enables hex-density placement and contextual interpretation,not_started,search_lane_001,false
EXTTARGET-b0dcc6c2ea3267e072d569b1,EXTMISS-155ea189fb92bc59abbc8fce,Tier 1,payroll_and_earnings,Afton,KS,2025,unclear,Afton KS 2025 unclear actual wages paid,upgrades implementation from documented term to paid outcome,not_started,search_lane_003,false
EXTTARGET-db440ca3c6d8d2695d1d5cc0,EXTMISS-f2dc5d4996dc60c2674dd4c6,Tier 1,staffing_and_headcount,Afton,KS,2025,unclear,Afton KS 2025 unclear authorized positions,tests vacancy and staffing-reduction mechanisms with denominators,not_started,search_lane_002,false
EXTTARGET-4b5c215a85bdf54bac047094,EXTMISS-c8c64b3e4a6d5ed266da4bf6,Tier 1,recruitment_and_retention,Afton,KS,2025,unclear,Afton KS 2025 unclear applicant counts,tests recruitment and retention pressure with comparable administrative outcomes,not_started,search_lane_005,false
EXTTARGET-7d7e203112b18164c628a90d,EXTMISS-5a750c285dc2d57f5f1fb4d6,Tier 2,tenure_and_progression,Afton,KS,2025,unclear,Afton KS 2025 unclear employee tenure,distinguishes contractual progression from compositional or tenure differences,not_started,search_lane_005,false
EXTTARGET-82694dda3d6ce9f5a76edb62,EXTMISS-bd7eb6cd8257a30efd849798,Tier 1,implementation,Afton,KS,2025,unclear,Afton KS 2025 unclear payroll-effective date,confirms whether negotiated or adopted terms became operative and paid,not_started,search_lane_003,false
EXTTARGET-598c98298df0bed92198f739,EXTMISS-bbb43895227604d78b1de03c,Tier 2,benefits_and_total_compensation,Afton,KS,2025,unclear,Afton KS 2025 unclear pension contributions,separates wages from benefits and measures recurring total-compensation effects,not_started,search_lane_005,false
EXTTARGET-254d6c06deb0d0d954da46a8,EXTMISS-e3abb86e4a12d46d63cfbc97,Tier 2,urbanicity_and_context,Afton,KS,2025,unclear,Afton KS 2025 unclear authoritative coordinates,enables hex-density placement and contextual interpretation,not_started,search_lane_001,false
EXTTARGET-7ba30e7393b67b21b0e73f50,EXTMISS-98cf71f2e76f3d87084c623c,Tier 1,payroll_and_earnings,Alaiedon,MI,2022,unclear,Alaiedon MI 2022 unclear actual wages paid,upgrades implementation from documented term to paid outcome,not_started,search_lane_004,false
EXTTARGET-589bdd58143e307c030caae9,EXTMISS-22de2a97e87fc016b674f220,Tier 1,staffing_and_headcount,Alaiedon,MI,2022,unclear,Alaiedon MI 2022 unclear authorized positions,tests vacancy and staffing-reduction mechanisms with denominators,not_started,search_lane_002,false
EXTTARGET-4abfa9125bad38cd93d15a63,EXTMISS-d846cb166f6f8abe579f8755,Tier 1,recruitment_and_retention,Alaiedon,MI,2022,unclear,Alaiedon MI 2022 unclear applicant counts,tests recruitment and retention pressure with comparable administrative outcomes,not_started,search_lane_004,false
EXTTARGET-a1a33ef0f819c147a7176dd5,EXTMISS-cc4ab5f7f2302d92ea20f43c,Tier 2,tenure_and_progression,Alaiedon,MI,2022,unclear,Alaiedon MI 2022 unclear employee tenure,distinguishes contractual progression from compositional or tenure differences,not_started,search_lane_004,false
EXTTARGET-67e94bacdd76f32340f17c25,EXTMISS-be691c356ac636c6ac26e65c,Tier 1,implementation,Alaiedon,MI,2022,unclear,Alaiedon MI 2022 unclear payroll-effective date,confirms whether negotiated or adopted terms became operative and paid,not_started,search_lane_005,false
EXTTARGET-70efb92e981f5b8b092a00ce,EXTMISS-bd5e8b7ec70487fb1fe2d929,Tier 2,benefits_and_total_compensation,Alaiedon,MI,2022,unclear,Alaiedon MI 2022 unclear pension contributions,separates wages from benefits and measures recurring total-compensation effects,not_started,search_lane_002,false
EXTTARGET-4580a1183cd7af33e9f52b06,EXTMISS-ae438e161d7c7f03c56d38ef,Tier 2,urbanicity_and_context,Alaiedon,MI,2022,unclear,Alaiedon MI 2022 unclear authoritative coordinates,enables hex-density placement and contextual interpretation,not_started,search_lane_003,false
EXTTARGET-99a27d59faba62e2a291f353,EXTMISS-40f5ecd40c58e1b354384984,Tier 1,payroll_and_earnings,Alban,WI,2022,unclear,Alban WI 2022 unclear actual wages paid,upgrades implementation from documented term to paid outcome,not_started,search_lane_001,false
EXTTARGET-c9323eaa564e2124c202c6cf,EXTMISS-dbb6dc2344c1bcdba2494804,Tier 1,staffing_and_headcount,Alban,WI,2022,unclear,Alban WI 2022 unclear authorized positions,tests vacancy and staffing-reduction mechanisms with denominators,not_started,search_lane_005,false
EXTTARGET-89bba986fc0a41b5dcb4ae49,EXTMISS-8654ac1f9d2839812ee91962,Tier 1,recruitment_and_retention,Alban,WI,2022,unclear,Alban WI 2022 unclear applicant counts,tests recruitment and retention pressure with comparable administrative outcomes,not_started,search_lane_002,false
EXTTARGET-e937b8d9b13c62420e3c51f8,EXTMISS-4c706c8e8178bf3a0c441ac6,Tier 2,tenure_and_progression,Alban,WI,2022,unclear,Alban WI 2022 unclear employee tenure,distinguishes contractual progression from compositional or tenure differences,not_started,search_lane_002,false
EXTTARGET-70933fd69bfcbf85aa784b13,EXTMISS-0af953a2ca379941aa254ac2,Tier 1,implementation,Alban,WI,2022,unclear,Alban WI 2022 unclear payroll-effective date,confirms whether negotiated or adopted terms became operative and paid,not_started,search_lane_003,false
EXTTARGET-ea91c1bd9b4d8e54295c4f3a,EXTMISS-04bd62cfab0087c6e7277335,Tier 2,benefits_and_total_compensation,Alban,WI,2022,unclear,Alban WI 2022 unclear pension contributions,separates wages from benefits and measures recurring total-compensation effects,not_started,search_lane_005,false
EXTTARGET-308cb794d3000d439675a343,EXTMISS-0898207e796684c64a26ff97,Tier 2,urbanicity_and_context,Alban,WI,2022,unclear,Alban WI 2022 unclear authoritative coordinates,enables hex-density placement and contextual interpretation,not_started,search_lane_001,false
EXTTARGET-be0b67a27006a4050f39e53f,EXTMISS-42b2ed331b514678e3858145,Tier 1,payroll_and_earnings,Albion,IN,2024,safety_combined,Albion IN 2024 safety_combined actual wages paid,upgrades implementation from documented term to paid outcome,not_started,search_lane_004,false
EXTTARGET-d7720d4764921f0a6ddc6f4c,EXTMISS-1b9c7c2e13345485df3fc127,Tier 1,staffing_and_headcount,Albion,IN,2024,safety_combined,Albion IN 2024 safety_combined authorized positions,tests vacancy and staffing-reduction mechanisms with denominators,not_started,search_lane_002,false
EXTTARGET-5a780305e8198b962953000b,EXTMISS-30b5eebd343113bcc2ec271c,Tier 1,recruitment_and_retention,Albion,IN,2024,safety_combined,Albion IN 2024 safety_combined applicant counts,tests recruitment and retention pressure with comparable administrative outcomes,not_started,search_lane_003,false
EXTTARGET-5b910828f7fa91135bad7e0b,EXTMISS-79f6c5e0b5bd6a5c7171c4da,Tier 2,tenure_and_progression,Albion,IN,2024,safety_combined,Albion IN 2024 safety_combined employee tenure,distinguishes contractual progression from compositional or tenure differences,not_started,search_lane_005,false
EXTTARGET-8864c1a0210e34e916360c1e,EXTMISS-c6eb7496ad74e7d663859e09,Tier 1,implementation,Albion,IN,2024,safety_combined,Albion IN 2024 safety_combined payroll-effective date,confirms whether negotiated or adopted terms became operative and paid,not_started,search_lane_005,false
EXTTARGET-a69716e533dd1e4e002a1f22,EXTMISS-c2cf94e11e42b98a64c6fc2b,Tier 2,benefits_and_total_compensation,Albion,IN,2024,safety_combined,Albion IN 2024 safety_combined pension contributions,separates wages from benefits and measures recurring total-compensation effects,not_started,search_lane_003,false
EXTTARGET-a88ee185c12852b5871bddbc,EXTMISS-25ed05e93e6113fd3c8150b0,Tier 2,urbanicity_and_context,Albion,IN,2024,safety_combined,Albion IN 2024 safety_combined authoritative coordinates,enables hex-density placement and contextual interpretation,not_started,search_lane_002,false
EXTTARGET-6ba24dbe0752b9a979db1d6c,EXTMISS-325715c24a926adedaaf4723,Tier 1,payroll_and_earnings,Albion,NY,undated-source-BRMGRS-20260802-dfc4cffc3f03ed51f663fc57,non_safety,Albion NY undated-source-BRMGRS-20260802-dfc4cffc3f03ed51f663fc57 non_safety actual wages paid,upgrades implementation from documented term to paid outcome,not_started,search_lane_004,false
EXTTARGET-d2e2df1f52d12afaf358cc09,EXTMISS-170d9c36dbbb0f426b174119,Tier 1,staffing_and_headcount,Albion,NY,undated-source-BRMGRS-20260802-dfc4cffc3f03ed51f663fc57,non_safety,Albion NY undated-source-BRMGRS-20260802-dfc4cffc3f03ed51f663fc57 non_safety authorized positions,tests vacancy and staffing-reduction mechanisms with denominators,not_started,search_lane_002,false
EXTTARGET-b0e6f02370dc39d9f3a00c33,EXTMISS-a88e86282dd7098974014abd,Tier 1,recruitment_and_retention,Albion,NY,undated-source-BRMGRS-20260802-dfc4cffc3f03ed51f663fc57,non_safety,Albion NY undated-source-BRMGRS-20260802-dfc4cffc3f03ed51f663fc57 non_safety applicant counts,tests recruitment and retention pressure with comparable administrative outcomes,not_started,search_lane_001,false
EXTTARGET-08dd736f8cbc5eb8ede3b63d,EXTMISS-a3e0efe406e75a41a2fed4f9,Tier 2,tenure_and_progression,Albion,NY,undated-source-BRMGRS-20260802-dfc4cffc3f03ed51f663fc57,non_safety,Albion NY undated-source-BRMGRS-20260802-dfc4cffc3f03ed51f663fc57 non_safety employee tenure,distinguishes contractual progression from compositional or tenure differences,not_started,search_lane_001,false
EXTTARGET-9b5fe68a458f9a4191d417d0,EXTMISS-083b392670b88d123236e11b,Tier 1,implementation,Albion,NY,undated-source-BRMGRS-20260802-dfc4cffc3f03ed51f663fc57,non_safety,Albion NY undated-source-BRMGRS-20260802-dfc4cffc3f03ed51f663fc57 non_safety payroll-effective date,confirms whether negotiated or adopted terms became operative and paid,not_started,search_lane_005,false
EXTTARGET-185ae73dd6aa10e2cf0bc46d,EXTMISS-621b6fca40fbaaf6e19c2b9a,Tier 2,benefits_and_total_compensation,Albion,NY,undated-source-BRMGRS-20260802-dfc4cffc3f03ed51f663fc57,non_safety,Albion NY undated-source-BRMGRS-20260802-dfc4cffc3f03ed51f663fc57 non_safety pension contributions,separates wages from benefits and measures recurring total-compensation effects,not_started,search_lane_005,false
EXTTARGET-daeec61d44dd01223a4b4700,EXTMISS-81d701956f135413b3b53d5e,Tier 2,urbanicity_and_context,Albion,NY,undated-source-BRMGRS-20260802-dfc4cffc3f03ed51f663fc57,non_safety,Albion NY undated-source-BRMGRS-20260802-dfc4cffc3f03ed51f663fc57 non_safety authoritative coordinates,enables hex-density placement and contextual interpretation,not_started,search_lane_005,false
EXTTARGET-81753bfcfb9b8072a09289a1,EXTMISS-15f631298cc7845b9cf747d6,Tier 1,payroll_and_earnings,Alburtis,PA,2018,police,Alburtis PA 2018 police actual wages paid,upgrades implementation from documented term to paid outcome,not_started,search_lane_001,false
EXTTARGET-25fd2e9628b42cc54c5734dd,EXTMISS-cbfd9027c968f872a3a94d83,Tier 1,staffing_and_headcount,Alburtis,PA,2018,police,Alburtis PA 2018 police authorized positions,tests vacancy and staffing-reduction mechanisms with denominators,not_started,search_lane_002,false
EXTTARGET-b6229fabd9a8b88a238aa918,EXTMISS-f516cf6b01968fb9db330fd6,Tier 1,recruitment_and_retention,Alburtis,PA,2018,police,Alburtis PA 2018 police applicant counts,tests recruitment and retention pressure with comparable administrative outcomes,not_started,search_lane_003,false
EXTTARGET-60374cc8b2f34662150b085c,EXTMISS-5535f4c56e4db33b87f1667e,Tier 2,tenure_and_progression,Alburtis,PA,2018,police,Alburtis PA 2018 police employee tenure,distinguishes contractual progression from compositional or tenure differences,not_started,search_lane_001,false
EXTTARGET-f0d7434b2b42103487659be6,EXTMISS-c5a83f6210d4a9dde21080f3,Tier 1,implementation,Alburtis,PA,2018,police,Alburtis PA 2018 police payroll-effective date,confirms whether negotiated or adopted terms became operative and paid,not_started,search_lane_002,false
EXTTARGET-167b486fecff4b59f942ab70,EXTMISS-65a736b66862a54b8dd35918,Tier 2,benefits_and_total_compensation,Alburtis,PA,2018,police,Alburtis PA 2018 police pension contributions,separates wages from benefits and measures recurring total-compensation effects,not_started,search_lane_005,false
EXTTARGET-eaeddf9d21ab6ad2caaa9a85,EXTMISS-1153bc2dd1a490f4bcbcb514,Tier 2,urbanicity_and_context,Alburtis,PA,2018,police,Alburtis PA 2018 police authoritative coordinates,enables hex-density placement and contextual interpretation,not_started,search_lane_004,false
EXTTARGET-81753bfcfb9b8072a09289a1,EXTMISS-15f631298cc7845b9cf747d6,Tier 1,payroll_and_earnings,Alburtis,PA,2018,police,Alburtis PA 2018 police actual wages paid,upgrades implementation from documented term to paid outcome,not_started,search_lane_001,false
EXTTARGET-25fd2e9628b42cc54c5734dd,EXTMISS-cbfd9027c968f872a3a94d83,Tier 1,staffing_and_headcount,Alburtis,PA,2018,police,Alburtis PA 2018 police authorized positions,tests vacancy and staffing-reduction mechanisms with denominators,not_started,search_lane_002,false
EXTTARGET-b6229fabd9a8b88a238aa918,EXTMISS-f516cf6b01968fb9db330fd6,Tier 1,recruitment_and_retention,Alburtis,PA,2018,police,Alburtis PA 2018 police applicant counts,tests recruitment and retention pressure with comparable administrative outcomes,not_started,search_lane_003,false
EXTTARGET-60374cc8b2f34662150b085c,EXTMISS-5535f4c56e4db33b87f1667e,Tier 2,tenure_and_progression,Alburtis,PA,2018,police,Alburtis PA 2018 police employee tenure,distinguishes contractual progression from compositional or tenure differences,not_started,search_lane_001,false
EXTTARGET-f0d7434b2b42103487659be6,EXTMISS-c5a83f6210d4a9dde21080f3,Tier 1,implementation,Alburtis,PA,2018,police,Alburtis PA 2018 police payroll-effective date,confirms whether negotiated or adopted terms became operative and paid,not_started,search_lane_002,false
EXTTARGET-167b486fecff4b59f942ab70,EXTMISS-65a736b66862a54b8dd35918,Tier 2,benefits_and_total_compensation,Alburtis,PA,2018,police,Alburtis PA 2018 police pension contributions,separates wages from benefits and measures recurring total-compensation effects,not_started,search_lane_005,false
EXTTARGET-eaeddf9d21ab6ad2caaa9a85,EXTMISS-1153bc2dd1a490f4bcbcb514,Tier 2,urbanicity_and_context,Alburtis,PA,2018,police,Alburtis PA 2018 police authoritative coordinates,enables hex-density placement and contextual interpretation,not_started,search_lane_004,false
EXTTARGET-00db29d483ccbef1f52ac77c,EXTMISS-c0749ee5a1244736cbcb2856,Tier 1,payroll_and_earnings,Alburtis,PA,2026,unclear,Alburtis PA 2026 unclear actual wages paid,upgrades implementation from documented term to paid outcome,not_started,search_lane_004,false
EXTTARGET-25b94c12bc6371cb9db88f7c,EXTMISS-329cfe2a40d35ab30bfd9199,Tier 1,staffing_and_headcount,Alburtis,PA,2026,unclear,Alburtis PA 2026 unclear authorized positions,tests vacancy and staffing-reduction mechanisms with denominators,not_started,search_lane_004,false
EXTTARGET-434c3c03973c7901f0414a35,EXTMISS-6a1aaa9e8e9939493761030f,Tier 1,recruitment_and_retention,Alburtis,PA,2026,unclear,Alburtis PA 2026 unclear applicant counts,tests recruitment and retention pressure with comparable administrative outcomes,not_started,search_lane_005,false
EXTTARGET-48ca51c2eeef8b0e1f7039e4,EXTMISS-b04401c0e43bd08dd2c9c872,Tier 2,tenure_and_progression,Alburtis,PA,2026,unclear,Alburtis PA 2026 unclear employee tenure,distinguishes contractual progression from compositional or tenure differences,not_started,search_lane_004,false
