duplicate_candidate_id,canonical_candidate_id,duplicate_basis,confidence,search_target_id
EXTCAND-c58524ba273437bf62832e9a,EXTCAND-c58524ba273437bf62832e9a,canonical URL and normalized title,high,EXTSEARCH-4b545dd9f5f7b601d7427439
EXTCAND-1b8e7e6647171909db87b476,EXTCAND-1b8e7e6647171909db87b476,canonical URL and normalized title,high,EXTSEARCH-5ab0e2349a98514769e5d140
EXTCAND-6deef7b6d0f42edf2b07cafa,EXTCAND-6deef7b6d0f42edf2b07cafa,canonical URL and normalized title,high,EXTSEARCH-5ab0e2349a98514769e5d140
EXTCAND-6bf66a95be1d3775ff17a3e1,EXTCAND-6bf66a95be1d3775ff17a3e1,canonical URL and normalized title,high,EXTSEARCH-abed06d3d9a407d5466cd239
EXTCAND-b1fdbaa496f85f8093ae74fc,EXTCAND-b1fdbaa496f85f8093ae74fc,canonical URL and normalized title,high,EXTSEARCH-abed06d3d9a407d5466cd239
EXTCAND-8b1118a115cd0197c2a8146f,EXTCAND-8b1118a115cd0197c2a8146f,canonical URL and normalized title,high,EXTSEARCH-abed06d3d9a407d5466cd239
EXTCAND-c3075606c17514f2c2a831d1,EXTCAND-c3075606c17514f2c2a831d1,canonical URL and normalized title,high,EXTSEARCH-abed06d3d9a407d5466cd239
EXTCAND-962bb8440726d3865d91ce7f,EXTCAND-962bb8440726d3865d91ce7f,canonical URL and normalized title,high,EXTSEARCH-abed06d3d9a407d5466cd239
EXTCAND-7593096dd9e7945a441a9c6d,EXTCAND-c3075606c17514f2c2a831d1,canonical URL and normalized title,high,EXTSEARCH-395eaf1eaa1e941612a39eab
EXTCAND-edb7666170e17b661adbcdc7,EXTCAND-962bb8440726d3865d91ce7f,canonical URL and normalized title,high,EXTSEARCH-395eaf1eaa1e941612a39eab
EXTCAND-698f999fbe7049aaa7f97aff,EXTCAND-ccfb0820811025755f597e14,canonical URL and normalized title,high,EXTSEARCH-395eaf1eaa1e941612a39eab
EXTCAND-a78ea1546364b80c21410da0,EXTCAND-a78ea1546364b80c21410da0,canonical URL and normalized title,high,EXTSEARCH-395eaf1eaa1e941612a39eab
EXTCAND-e19cc3963e82fd9e66f16aa9,EXTCAND-e19cc3963e82fd9e66f16aa9,canonical URL and normalized title,high,EXTSEARCH-395eaf1eaa1e941612a39eab
EXTCAND-edb7666170e17b661adbcdc7,EXTCAND-962bb8440726d3865d91ce7f,canonical URL and normalized title,high,EXTSEARCH-395eaf1eaa1e941612a39eab
EXTCAND-3ab424bfe3a4c5570b46477d,EXTCAND-3ab424bfe3a4c5570b46477d,canonical URL and normalized title,high,EXTSEARCH-2dd3edd842757d26d97b6955
EXTCAND-20e5c2432242b03c1f8aab7b,EXTCAND-20e5c2432242b03c1f8aab7b,canonical URL and normalized title,high,EXTSEARCH-2dd3edd842757d26d97b6955
EXTCAND-5e56939ceca22e5c5dc5e1bc,EXTCAND-5e56939ceca22e5c5dc5e1bc,canonical URL and normalized title,high,EXTSEARCH-2dd3edd842757d26d97b6955
EXTCAND-40668576fad5d71527104657,EXTCAND-f515b5b08f168aedf4216b7e,canonical URL and normalized title,high,EXTSEARCH-df90a98ceb6ad16427eb77d9
EXTCAND-7eaae1d3ededf2702aae6c5f,EXTCAND-3116c9e0a8f4e1c2fd2842bf,canonical URL and normalized title,high,EXTSEARCH-1217ab8de2ee235a1fc41db5
EXTCAND-5253afdf1e7daf89823d27b9,EXTCAND-5253afdf1e7daf89823d27b9,canonical URL and normalized title,high,EXTSEARCH-1217ab8de2ee235a1fc41db5
EXTCAND-b2b0e09757311fb6505d599e,EXTCAND-df26f87a5ba358b61a09a857,canonical URL and normalized title,high,EXTSEARCH-4c8cf7d26fa127d245dd4d25
EXTCAND-85698c8b85bca2d01075e90d,EXTCAND-348eaa243306d11c86adc26f,canonical URL and normalized title,high,EXTSEARCH-4c8cf7d26fa127d245dd4d25
EXTCAND-c43930d3ed8b761b3e55c545,EXTCAND-0e350e2cfb9403687dcbb726,canonical URL and normalized title,high,EXTSEARCH-4c8cf7d26fa127d245dd4d25
EXTCAND-b5b3cff23993a1a76265d5ca,EXTCAND-e9a3babbc8ff55518a51c160,canonical URL and normalized title,high,EXTSEARCH-4c8cf7d26fa127d245dd4d25
EXTCAND-016a882bb824082ede75b6e4,EXTCAND-016a882bb824082ede75b6e4,canonical URL and normalized title,high,EXTSEARCH-4c8cf7d26fa127d245dd4d25
EXTCAND-0197a42a7254f6a353456bfd,EXTCAND-0197a42a7254f6a353456bfd,canonical URL and normalized title,high,EXTSEARCH-4c8cf7d26fa127d245dd4d25
EXTCAND-096bae3b5a6315a59df63cd0,EXTCAND-096bae3b5a6315a59df63cd0,canonical URL and normalized title,high,EXTSEARCH-4c8cf7d26fa127d245dd4d25
EXTCAND-b2b0e09757311fb6505d599e,EXTCAND-df26f87a5ba358b61a09a857,canonical URL and normalized title,high,EXTSEARCH-4c8cf7d26fa127d245dd4d25
EXTCAND-c5576c473db383f06e94496f,EXTCAND-c5576c473db383f06e94496f,canonical URL and normalized title,high,EXTSEARCH-3040cb8ef1769601d9782288
EXTCAND-ba2eab93572982f56c345ff0,EXTCAND-ba2eab93572982f56c345ff0,canonical URL and normalized title,high,EXTSEARCH-3040cb8ef1769601d9782288
EXTCAND-44ab8d6baac686dcf07da442,EXTCAND-44ab8d6baac686dcf07da442,canonical URL and normalized title,high,EXTSEARCH-5edb0546b2eb07813753d410
EXTCAND-fe84cda2c6681005d02c3052,EXTCAND-fe84cda2c6681005d02c3052,canonical URL and normalized title,high,EXTSEARCH-5edb0546b2eb07813753d410
EXTCAND-6ad6dfa786a4cb9687e684d7,EXTCAND-6ad6dfa786a4cb9687e684d7,canonical URL and normalized title,high,EXTSEARCH-5edb0546b2eb07813753d410
EXTCAND-c9a4f101f6d3b0b150949c8d,EXTCAND-c9a4f101f6d3b0b150949c8d,canonical URL and normalized title,high,EXTSEARCH-5edb0546b2eb07813753d410
EXTCAND-8ee0fdb968fa7916c288b1aa,EXTCAND-8ee0fdb968fa7916c288b1aa,canonical URL and normalized title,high,EXTSEARCH-5edb0546b2eb07813753d410
EXTCAND-26a141e836272fae92adb054,EXTCAND-0e350e2cfb9403687dcbb726,canonical URL and normalized title,high,EXTSEARCH-51135db647b0773ee2b6cc2c
EXTCAND-3ad9d839c99af66117da04b0,EXTCAND-3ad9d839c99af66117da04b0,canonical URL and normalized title,high,EXTSEARCH-9bbc6967e4ac5f4736d39c1c
EXTCAND-5a598b58d002818e67668a8b,EXTCAND-5a598b58d002818e67668a8b,canonical URL and normalized title,high,EXTSEARCH-9bbc6967e4ac5f4736d39c1c
EXTCAND-d6659d2e50299997ec468a3f,EXTCAND-d6659d2e50299997ec468a3f,canonical URL and normalized title,high,EXTSEARCH-9bbc6967e4ac5f4736d39c1c
EXTCAND-df7afb3b45181e882d182d27,EXTCAND-df7afb3b45181e882d182d27,canonical URL and normalized title,high,EXTSEARCH-9bbc6967e4ac5f4736d39c1c
EXTCAND-bdd3cfe4d9350bde500a3ffd,EXTCAND-bdd3cfe4d9350bde500a3ffd,canonical URL and normalized title,high,EXTSEARCH-9bbc6967e4ac5f4736d39c1c
EXTCAND-fcd48d1b2dbb403e6b46cad8,EXTCAND-fcd48d1b2dbb403e6b46cad8,canonical URL and normalized title,high,EXTSEARCH-9bbc6967e4ac5f4736d39c1c
EXTCAND-713bc6420ffdc049d340d49e,EXTCAND-713bc6420ffdc049d340d49e,canonical URL and normalized title,high,EXTSEARCH-9bbc6967e4ac5f4736d39c1c
EXTCAND-10e03cd9783ccf98a4407f65,EXTCAND-10e03cd9783ccf98a4407f65,canonical URL and normalized title,high,EXTSEARCH-9bbc6967e4ac5f4736d39c1c
EXTCAND-e619940515db4c65fe4afbf2,EXTCAND-e619940515db4c65fe4afbf2,canonical URL and normalized title,high,EXTSEARCH-9bbc6967e4ac5f4736d39c1c
EXTCAND-4ef860a2ef2645213a2cdf70,EXTCAND-ca8dbed949d73eb37794ccfc,canonical URL and normalized title,high,EXTSEARCH-c2af349d8d764c2cf01155c5
EXTCAND-122035e322263126f7d2c4fd,EXTCAND-11f83ce87c951039d2c8669b,canonical URL and normalized title,high,EXTSEARCH-c2af349d8d764c2cf01155c5
EXTCAND-2f440c57ce8c72a4d68b1718,EXTCAND-2f440c57ce8c72a4d68b1718,canonical URL and normalized title,high,EXTSEARCH-c2af349d8d764c2cf01155c5
EXTCAND-b20dd77eb4686da82f6722c8,EXTCAND-b20dd77eb4686da82f6722c8,canonical URL and normalized title,high,EXTSEARCH-c2af349d8d764c2cf01155c5
EXTCAND-b8132ee35267c15cdc6739a8,EXTCAND-b8132ee35267c15cdc6739a8,canonical URL and normalized title,high,EXTSEARCH-c2af349d8d764c2cf01155c5
EXTCAND-7a6f3e5eb3d078430a49788c,EXTCAND-7a6f3e5eb3d078430a49788c,canonical URL and normalized title,high,EXTSEARCH-c2af349d8d764c2cf01155c5
EXTCAND-4ef860a2ef2645213a2cdf70,EXTCAND-ca8dbed949d73eb37794ccfc,canonical URL and normalized title,high,EXTSEARCH-c2af349d8d764c2cf01155c5
EXTCAND-e07f7ef4cfc592b4c1b8dce3,EXTCAND-e07f7ef4cfc592b4c1b8dce3,canonical URL and normalized title,high,EXTSEARCH-c2af349d8d764c2cf01155c5
EXTCAND-eb6f3dfed5feacf05e5b8ec8,EXTCAND-9d8a917c8093e10cf133e31c,canonical URL and normalized title,high,EXTSEARCH-9d124e8c150eeb2dc10fe5b7
EXTCAND-3d809001a1d89870fa693783,EXTCAND-ca8dbed949d73eb37794ccfc,canonical URL and normalized title,high,EXTSEARCH-9d124e8c150eeb2dc10fe5b7
EXTCAND-b097b6b12b8241dc6f0da003,EXTCAND-940c857235709bc1e01fbb71,canonical URL and normalized title,high,EXTSEARCH-9d124e8c150eeb2dc10fe5b7
EXTCAND-e96402fdadb3110d89880da3,EXTCAND-e07f7ef4cfc592b4c1b8dce3,canonical URL and normalized title,high,EXTSEARCH-9d124e8c150eeb2dc10fe5b7
EXTCAND-6fd018dc9d66e9b41dbe6198,EXTCAND-f515b5b08f168aedf4216b7e,canonical URL and normalized title,high,EXTSEARCH-9d124e8c150eeb2dc10fe5b7
EXTCAND-4990db49eb3eb5647b0fa7b3,EXTCAND-4990db49eb3eb5647b0fa7b3,canonical URL and normalized title,high,EXTSEARCH-9d124e8c150eeb2dc10fe5b7
EXTCAND-eb6f3dfed5feacf05e5b8ec8,EXTCAND-9d8a917c8093e10cf133e31c,canonical URL and normalized title,high,EXTSEARCH-9d124e8c150eeb2dc10fe5b7
EXTCAND-7fb1dadc41bc712a42c1b2d8,EXTCAND-7fb1dadc41bc712a42c1b2d8,canonical URL and normalized title,high,EXTSEARCH-9d124e8c150eeb2dc10fe5b7
EXTCAND-e96402fdadb3110d89880da3,EXTCAND-e07f7ef4cfc592b4c1b8dce3,canonical URL and normalized title,high,EXTSEARCH-9d124e8c150eeb2dc10fe5b7
EXTCAND-6172a0cf2f9fd1cc7cc4ef83,EXTCAND-6172a0cf2f9fd1cc7cc4ef83,canonical URL and normalized title,high,EXTSEARCH-9d124e8c150eeb2dc10fe5b7
EXTCAND-ebcd04d78a1b6214235f2ab3,EXTCAND-6d4dbae5937eb5794036d41a,canonical URL and normalized title,high,EXTSEARCH-80e0f63f5c434c62a842cd31
EXTCAND-8d701685a8fdaf1c44b31bae,EXTCAND-ca8dbed949d73eb37794ccfc,canonical URL and normalized title,high,EXTSEARCH-99c7518cd1bd5ea28c8f8662
EXTCAND-9b537338fe733012d0e38878,EXTCAND-9d8a917c8093e10cf133e31c,canonical URL and normalized title,high,EXTSEARCH-99c7518cd1bd5ea28c8f8662
EXTCAND-4ab64ca56b52cfc009761135,EXTCAND-2dde0fb59642173ca4be26ab,canonical URL and normalized title,high,EXTSEARCH-99c7518cd1bd5ea28c8f8662
EXTCAND-eaf3a320ef5792bb909535d6,EXTCAND-2cf2cb44807ca8efb0c803e6,canonical URL and normalized title,high,EXTSEARCH-99c7518cd1bd5ea28c8f8662
EXTCAND-d6fffe534d1c6534eedc3766,EXTCAND-d6fffe534d1c6534eedc3766,canonical URL and normalized title,high,EXTSEARCH-99c7518cd1bd5ea28c8f8662
EXTCAND-6c05a3b1b1d6ad810fa39526,EXTCAND-6c05a3b1b1d6ad810fa39526,canonical URL and normalized title,high,EXTSEARCH-99c7518cd1bd5ea28c8f8662
EXTCAND-48b326979f6f0e85ed9fd909,EXTCAND-48b326979f6f0e85ed9fd909,canonical URL and normalized title,high,EXTSEARCH-99c7518cd1bd5ea28c8f8662
EXTCAND-9b537338fe733012d0e38878,EXTCAND-9d8a917c8093e10cf133e31c,canonical URL and normalized title,high,EXTSEARCH-99c7518cd1bd5ea28c8f8662
EXTCAND-75898dce7596124c4064bd92,EXTCAND-75898dce7596124c4064bd92,canonical URL and normalized title,high,EXTSEARCH-99c7518cd1bd5ea28c8f8662
EXTCAND-cc71cb4fa62282b7e3de7285,EXTCAND-9d8a917c8093e10cf133e31c,canonical URL and normalized title,high,EXTSEARCH-5ff047181709c0428d8bddcb
EXTCAND-0b6eee960f46eb0c92c55f95,EXTCAND-d05c8cda5f745d461bcda0a1,canonical URL and normalized title,high,EXTSEARCH-5ff047181709c0428d8bddcb
EXTCAND-cd8d0c2ad33156b945928314,EXTCAND-ca8dbed949d73eb37794ccfc,canonical URL and normalized title,high,EXTSEARCH-5ff047181709c0428d8bddcb
EXTCAND-ed7f0c760bd8b64f2eaf2ab8,EXTCAND-940c857235709bc1e01fbb71,canonical URL and normalized title,high,EXTSEARCH-5ff047181709c0428d8bddcb
EXTCAND-a4a3dd9de588e4441539d383,EXTCAND-fad3bab935f910f33b4be545,canonical URL and normalized title,high,EXTSEARCH-5ff047181709c0428d8bddcb
EXTCAND-83cb14e7ab6ccd94f7b3a919,EXTCAND-f4cf2be2f373bbe657e3f34e,canonical URL and normalized title,high,EXTSEARCH-5ff047181709c0428d8bddcb
EXTCAND-652327141b791a2d6efe134f,EXTCAND-ddb5fdffddf6f91dfa09dd27,canonical URL and normalized title,high,EXTSEARCH-5ff047181709c0428d8bddcb
EXTCAND-b9c6f1ea944e58e783a11583,EXTCAND-b9c6f1ea944e58e783a11583,canonical URL and normalized title,high,EXTSEARCH-5ff047181709c0428d8bddcb
EXTCAND-13fc4267dc6c14535dd4bc73,EXTCAND-13fc4267dc6c14535dd4bc73,canonical URL and normalized title,high,EXTSEARCH-5ff047181709c0428d8bddcb
EXTCAND-7b36f54e7fb82557a86e6a1b,EXTCAND-7b36f54e7fb82557a86e6a1b,canonical URL and normalized title,high,EXTSEARCH-5ff047181709c0428d8bddcb
EXTCAND-3e176e55c359c2ebb5fbfcbe,EXTCAND-3e176e55c359c2ebb5fbfcbe,canonical URL and normalized title,high,EXTSEARCH-5ff047181709c0428d8bddcb
EXTCAND-cc71cb4fa62282b7e3de7285,EXTCAND-9d8a917c8093e10cf133e31c,canonical URL and normalized title,high,EXTSEARCH-5ff047181709c0428d8bddcb
EXTCAND-452a3280ae148f0a70b7f809,EXTCAND-452a3280ae148f0a70b7f809,canonical URL and normalized title,high,EXTSEARCH-5ff047181709c0428d8bddcb
EXTCAND-003ddd8fd6f1ee546141ae99,EXTCAND-85874dcfe132b33d59db8015,canonical URL and normalized title,high,EXTSEARCH-40c670f36a247f7fcf19d593
EXTCAND-4c8428ab96cd32678103d6ce,EXTCAND-d05c8cda5f745d461bcda0a1,canonical URL and normalized title,high,EXTSEARCH-40c670f36a247f7fcf19d593
EXTCAND-9da90bf2236d3e396b418031,EXTCAND-b255056253c404c67af9776e,canonical URL and normalized title,high,EXTSEARCH-40c670f36a247f7fcf19d593
EXTCAND-836b97c5a3d33c45fafccac2,EXTCAND-940c857235709bc1e01fbb71,canonical URL and normalized title,high,EXTSEARCH-40c670f36a247f7fcf19d593
EXTCAND-12c89e09d48196c51dc0b5ec,EXTCAND-940fe838a1d6b266f0ff1b13,canonical URL and normalized title,high,EXTSEARCH-40c670f36a247f7fcf19d593
EXTCAND-d7cbcfb00c639d368fce7c48,EXTCAND-2cf2cb44807ca8efb0c803e6,canonical URL and normalized title,high,EXTSEARCH-40c670f36a247f7fcf19d593
EXTCAND-bb75c04c6925dfb44c588323,EXTCAND-957eb82b1275db87edef0394,canonical URL and normalized title,high,EXTSEARCH-40c670f36a247f7fcf19d593
EXTCAND-93ea8e38148b62187ef9e417,EXTCAND-93ea8e38148b62187ef9e417,canonical URL and normalized title,high,EXTSEARCH-40c670f36a247f7fcf19d593
EXTCAND-43cc9c29cef3db4458fe375e,EXTCAND-43cc9c29cef3db4458fe375e,canonical URL and normalized title,high,EXTSEARCH-40c670f36a247f7fcf19d593
EXTCAND-7f4ccd9d7fa5c5219084d375,EXTCAND-7f4ccd9d7fa5c5219084d375,canonical URL and normalized title,high,EXTSEARCH-40c670f36a247f7fcf19d593
EXTCAND-eccaa8c2b76fb71feeb3c34d,EXTCAND-85874dcfe132b33d59db8015,canonical URL and normalized title,high,EXTSEARCH-baadfa55d1fe374b71ff871d
EXTCAND-64f197791314530b72b23bed,EXTCAND-9d8a917c8093e10cf133e31c,canonical URL and normalized title,high,EXTSEARCH-baadfa55d1fe374b71ff871d
EXTCAND-be15c835a96b73884ee1400a,EXTCAND-d05c8cda5f745d461bcda0a1,canonical URL and normalized title,high,EXTSEARCH-baadfa55d1fe374b71ff871d
EXTCAND-d0c439d3d910717463dec60b,EXTCAND-cbdd4506909acc91bb1d4698,canonical URL and normalized title,high,EXTSEARCH-baadfa55d1fe374b71ff871d
EXTCAND-006b2fc30a40b3988f91c872,EXTCAND-7a6f3e5eb3d078430a49788c,canonical URL and normalized title,high,EXTSEARCH-baadfa55d1fe374b71ff871d
EXTCAND-b47a11c6fa84e0e8b62fc23a,EXTCAND-b255056253c404c67af9776e,canonical URL and normalized title,high,EXTSEARCH-baadfa55d1fe374b71ff871d
EXTCAND-0733688b58f36bfdb203a370,EXTCAND-3ad42d51219aea6d85c73975,canonical URL and normalized title,high,EXTSEARCH-baadfa55d1fe374b71ff871d
EXTCAND-6e4dada11d1f644e0da3d1bf,EXTCAND-0e350e2cfb9403687dcbb726,canonical URL and normalized title,high,EXTSEARCH-baadfa55d1fe374b71ff871d
EXTCAND-ef8919586e2df7bd3f310f54,EXTCAND-ddb5fdffddf6f91dfa09dd27,canonical URL and normalized title,high,EXTSEARCH-baadfa55d1fe374b71ff871d
EXTCAND-7ad3efbf89b3a5a06ca35e66,EXTCAND-2cf2cb44807ca8efb0c803e6,canonical URL and normalized title,high,EXTSEARCH-baadfa55d1fe374b71ff871d
EXTCAND-9fd4f5c77d6f44f951c382ec,EXTCAND-9fd4f5c77d6f44f951c382ec,canonical URL and normalized title,high,EXTSEARCH-baadfa55d1fe374b71ff871d
EXTCAND-3778825bc15ce54ab3561a35,EXTCAND-3778825bc15ce54ab3561a35,canonical URL and normalized title,high,EXTSEARCH-baadfa55d1fe374b71ff871d
EXTCAND-846567b25a23ef602cf88e15,EXTCAND-846567b25a23ef602cf88e15,canonical URL and normalized title,high,EXTSEARCH-baadfa55d1fe374b71ff871d
EXTCAND-eccaa8c2b76fb71feeb3c34d,EXTCAND-85874dcfe132b33d59db8015,canonical URL and normalized title,high,EXTSEARCH-baadfa55d1fe374b71ff871d
EXTCAND-a172214db5d96480b49e6f1c,EXTCAND-7a6f3e5eb3d078430a49788c,canonical URL and normalized title,high,EXTSEARCH-248dc4189879a4ef82f00085
EXTCAND-dee9e4d9225cf185ddccb516,EXTCAND-d05c8cda5f745d461bcda0a1,canonical URL and normalized title,high,EXTSEARCH-248dc4189879a4ef82f00085
EXTCAND-43d4ea6619d57ca861831fdd,EXTCAND-c9d63d600ca656eda89d55d0,canonical URL and normalized title,high,EXTSEARCH-248dc4189879a4ef82f00085
EXTCAND-391f6f906de53161ad324a58,EXTCAND-b255056253c404c67af9776e,canonical URL and normalized title,high,EXTSEARCH-248dc4189879a4ef82f00085
EXTCAND-ed8027d9b12a6f663cea5003,EXTCAND-940c857235709bc1e01fbb71,canonical URL and normalized title,high,EXTSEARCH-248dc4189879a4ef82f00085
