root_compensation_event_id,source_implementation_event_id,municipality,state,compensation_cycle_id,side,beneficiary_unit,implementation_status,evidence_excerpt,human_readable_citation,root_action_summary,technical_lineage
ROOTCOMP-e3d4b443772a6b6e877e7084,IMPEVT-5350f3ade3dc9d50fe68fc1f,Biggs,CA,2022,remains_unclear,unclear,implemented,"CITY OF BIGGS Salary Schedule Effective September 1, 2022","Biggs, California, Budget Or Pay Plan, 2022.",implemented base wage for remains unclear,"[""WCM-20abccf6c7a14b3dbb463b68""]"
ROOTCOMP-509c255348bfda60c75cce3f,IMPEVT-f72c201905d76c1ad6e2071d,Blue Lake,CA,2024,remains_unclear,unclear,formally_adopted,"change, a new job description and revised salary schedule will need to be adopted.","Blue Lake, California, Wage Schedule, 2024.",formally adopted across the board raise for remains unclear,"[""WCM-80314403698b5b3f7dc232c5""]"
ROOTCOMP-4d65163d3dc538fb2d9ad50b,IMPEVT-7af3babb44c9e4d3cf23b79d,Blue Lake,CA,2024,side_independent,unclear,formally_adopted,contracts or authorize employee raises without prior approval from the City Council. All such matters must be presented to and approved by the Council before execution or,"Blue Lake, California, Wage Schedule, 2024.",formally adopted budget or pay plan for side independent,"[""WCM-23ba53c031304e252fa081a2""]"
ROOTCOMP-14ae680190ee0550ae9da63b,IMPEVT-29b1c4b322fab58936ed4962,Blue Lake,CA,2024,remains_unclear,unclear,implemented,Amendment Number 4 effective 5/12/25,"Blue Lake, California, Wage Schedule, 2024.",implemented mechanism only for remains unclear,"[""WCM-8b9dca1f560b14c6c07ba1c7""]"
ROOTCOMP-a971f405851350cd8cd686ce,IMPEVT-60f3902bee2be9c8b66c9b02,Buellton,CA,2026,remains_unclear,unclear,implemented,"Effective July 1, 2026 New Classification/Position in 2025-26","Buellton, California, Wage Schedule, 2026.",implemented classification band for remains unclear,"[""WCM-312cafebb565647d7ea40665""]"
ROOTCOMP-f7c869e33ce2212cae287fd7,IMPEVT-b8cd462c13b76e579fa1d56f,Carmel-by-the-Sea,CA,2024,non_safety,non_safety,implemented,"For Assistant Planner classification only, effective upon City Council ratification, the hourly rate","Carmel-by-the-Sea, California, Memorandum Of Understanding, 2024.",implemented classification band for non safety,"[""WCM-75ceeee2d18f3e77d6faa717""]"
ROOTCOMP-ceb4551cd1c7a3529346e5c1,IMPEVT-67b6babbb99f30b6a8b09bc3,Carmel-by-the-Sea,CA,2024,fire,fire,implemented,"Effective July 1, 2024, the City shall provide an eight percent (8%) increase to base salary for each","Carmel-by-the-Sea, California, Memorandum Of Understanding, 2024.",implemented base wage for fire,"[""WCM-86afc0ef22cd1f69745b3db0""]"
ROOTCOMP-8280ebcc4caf526d373b4a05,IMPEVT-6afbda1075f8e526ace434eb,Carmel-by-the-Sea,CA,2024,non_safety,non_safety,implemented,"Effective July 1, 2024, the hourly rate salary steps for all classes in this bargaining unit shall be","Carmel-by-the-Sea, California, Memorandum Of Understanding, 2024.",implemented step progression for non safety,"[""WCM-2006495d0dd550a331c36c05"",""WCM-45db2e7cbc338d6c177ec776"",""WCM-88397c64b48e0f7f54da883c""]"
ROOTCOMP-d86b92376f2d0e2420ab799b,IMPEVT-a5da8fbc4cc109834de273fe,Carmel-by-the-Sea,CA,2025,fire,fire,implemented,"Effective January 1, 2025, the City shall provide an additional four percent (4%) increase to base","Carmel-by-the-Sea, California, Memorandum Of Understanding, 2025.",implemented mechanism only for fire,"[""WCM-9c6f8a60031bd13607846b43""]"
ROOTCOMP-13b7692570da921c139b20b2,IMPEVT-ad74df234dde6e2e44e93db8,Carmel-by-the-Sea,CA,2025,non_safety,non_safety,implemented,"Effective July 1, 2025, the hourly rate salary steps for all classes","Carmel-by-the-Sea, California, Memorandum Of Understanding, 2025.",implemented step progression for non safety,"[""WCM-5aadf2f72e5927f7cf88f59e""]"
ROOTCOMP-f282dc2c99996d2f15ce2381,IMPEVT-ada7babb46241ed8348c480d,Carmel-by-the-Sea,CA,2025,police,police,implemented,"compensation to his/her deferred compensation plan, effective on the first month following approval","Carmel-by-the-Sea, California, Memorandum Of Understanding, 2025.",implemented mechanism only for police,"[""WCM-b46d0bfc102eae1c38ee54a3""]"
ROOTCOMP-a13a0553d089c50fd963d4af,IMPEVT-52e316957685b68dfd7815ea,Carmel-by-the-Sea,CA,2026,police,police,implemented,"City of Carmel by the Sea Effective January 16, 2026","Carmel-by-the-Sea, California, Memorandum Of Understanding, 2026.",implemented mechanism only for police,"[""WCM-2dd539ce0076a55b4babda8b"",""WCM-3ec25684d90f21f15ae19910"",""WCM-64b3fc61178cb0045685350e""]"
ROOTCOMP-996f0e23007d37af866f6dba,IMPEVT-6cf04406998df51af52aae3d,Colfax,CA,2017,remains_unclear,unclear,implemented,"Effective January 1, 2017, the City will discontinue participation in and contributions to","Colfax, California, Memorandum Of Understanding, 2017.",implemented mechanism only for remains unclear,"[""WCM-e44a3b0af7c49cbca324aa89""]"
ROOTCOMP-43dd7b93bce85f2b5f2b4e39,IMPEVT-1c103b44399aee5208b59aca,Colfax,CA,2018,remains_unclear,unclear,implemented,"Effective January 1, 2018, the City will contribute 100% of the first $800 and 95% of the","Colfax, California, Memorandum Of Understanding, 2018.",implemented mechanism only for remains unclear,"[""WCM-38a8df9887e02c635c1a2250""]"
ROOTCOMP-3d7b140f683fd69d39f731bf,IMPEVT-9bd186d05878b0b92e528fe0,Colfax,CA,2021,remains_unclear,unclear,implemented,Certification Pay: Employees will receive an additional 5% above their base pay for,"Colfax, California, Memorandum Of Understanding, 2021.",implemented other for remains unclear,"[""WCM-0802ee6ad62132aae404965b"",""WCM-630aa9233d8991d444efb4db"",""WCM-807257f3277c4c36ddcd1367""]"
ROOTCOMP-7b48378c862a1aec13fe6796,IMPEVT-86eb2a997c7c71359a5d93ef,Colfax,CA,2021,remains_unclear,unclear,implemented,"Effective July 1, 2021, CTO time will be","Colfax, California, Memorandum Of Understanding, 2021.",implemented mechanism only for remains unclear,"[""WCM-ed801424d59f7ce36bd3d7c8""]"
ROOTCOMP-5f609578975c2a20f72f2d0c,IMPEVT-b7ca3e3bff80b87d857edec4,Colma,CA,2017,remains_unclear,unclear,formally_adopted,"(1) These positions receive a $1,025 per year uniform allowance Ord 773 Reinstatement of Reserve Officer Program - up to 4 Reserve Officers (Adopted 12/13/2017)","Colma, California, Wage Schedule, 2017.",formally adopted uniform or equipment allowance for remains unclear,"[""WCM-f3a3bb542a70e55679a3df50""]"
ROOTCOMP-678cf9754dfe5e6ea83f8690,IMPEVT-678b1bcd8a3c42aa081a6869,Colma,CA,2018,remains_unclear,unclear,formally_adopted,(2) This position receives a 5.0% incentive for CAD Administrator Ord 784 City Council Compensation (Adopted 11/14/2018),"Colma, California, Wage Schedule, 2018.",formally adopted other for remains unclear,"[""WCM-53cd67ab6bc393d0d6175c0b"",""WCM-93c36e5ad1963988f3aa21aa"",""WCM-da06bcd36d1e4334e2b1b915""]"
ROOTCOMP-c7f61f8b689a6eb09ae7c638,IMPEVT-f7f9021422d5305aafd60312,Colma,CA,2019,police,unclear,formally_adopted,(3) These positions receive an additional 5% Holiday Pay Reso 2004-36 Establishment of Police Recruit Program - 95% of Police Officer Step 1 (5/12/2004) (4) These positions receive a $774.73 per year uniform allowance Reso 2019-57 City Manager Contract Amendment 3 (Adopted 12/11/2019),"Colma, California, Wage Schedule, 2019.",formally adopted holiday pay for police,"[""WCM-813480c86ab2645fe4c2318e"",""WCM-816b92a7c393ee6e371c751d"",""WCM-97e5989ac13a0bfe1efa5820"",""WCM-e383ce45bb52151603dd6c2b""]"
ROOTCOMP-aa89db09d179849a9e4e74d6,IMPEVT-b84afd9a82f309eb490b7569,Colma,CA,2021,remains_unclear,unclear,implemented,"Town of Colma Pay Schedule (Effective December 26, 2021)","Colma, California, Wage Schedule, 2021.",implemented mechanism only for remains unclear,"[""WCM-96a5b5283a08c782dc68aafe""]"
ROOTCOMP-f21faad7ba48bee4b7c54228,IMPEVT-c32d5fbea26decf8a17a40a3,Colma,CA,2022,remains_unclear,unclear,implemented,"Town of Colma Pay Schedule (Effective June 26, 2022)","Colma, California, Wage Schedule, 2022.",implemented mechanism only for remains unclear,"[""WCM-428cd75112f2052113786bec"",""WCM-d361b4af8a4b38591f187f1f""]"
ROOTCOMP-6113ec41a058ab071fc6ddc8,IMPEVT-271b4520326fcdb22f7a7b45,Dos Palos,CA,2024,police,police,implemented,employee will receive 2% pay increase for each new certification.,"Dos Palos, California, Memorandum Of Understanding, 2024.",implemented across the board raise for police,"[""WCM-981175f0bfcab801e5c39cd0"",""WCM-aaa20c94dfa794f0dac36f15""]"
ROOTCOMP-06585b784716d718fa13e0bc,IMPEVT-9b2048a43f98b14524ccb34a,Dos Palos,CA,2024,police,police,implemented,"EFFECTIVE July 1, 2024 -June 30, 2026","Dos Palos, California, Memorandum Of Understanding, 2024.",implemented mechanism only for police,"[""WCM-3673dfd39933da6cd44fa0ce"",""WCM-663bf494e33846a839fe35c5""]"
ROOTCOMP-b50ed2067a846a02d61c5608,IMPEVT-97d94a73b742737320ecdfc0,Dos Palos,CA,2025,police,police,implemented,"4% effective July I, 2025","Dos Palos, California, Memorandum Of Understanding, 2025.",implemented mechanism only for police,"[""WCM-7dfa84ec2b8a75c1b1a2de7e""]"
ROOTCOMP-ac250e23c3fc676b6ee013e5,IMPEVT-6fa836f6476e72a7b60137f4,Escalon,CA,2025,police,police,implemented,"FY 2025-26 a salary increase of 4%, effective July 1, 2025,","Escalon, California, Memorandum Of Understanding, 2025.",implemented across the board raise for police,"[""WCM-17100e100173cb11916d6db2"",""WCM-60e605355e19a02e7f737181""]"
ROOTCOMP-f037a27bceee674c41aac00c,IMPEVT-23e450740f364ef7ea10e4bc,Escalon,CA,2025,police,police,implemented,"EFFECTIVE JULY 1, 2025","Escalon, California, Memorandum Of Understanding, 2025.",implemented mechanism only for police,"[""WCM-c7daee9b6b3be63a1e75ee5b"",""WCM-e16fa4e094fcc1dc49b2f968""]"
ROOTCOMP-ee82caf72590329a53d9bfef,IMPEVT-1d9a166a6f2525c3fecd81e1,Escalon,CA,2025,remains_unclear,unclear,implemented,"Effective 7/1/2025 2,080 Yearly Hours Salary Step A Step B Step C Step D Step E","Escalon, California, Wage Schedule, 2025.",implemented step progression for remains unclear,"[""WCM-0d70c619ba777c79c993bbd4"",""WCM-3d250aec4c73f8ab3d5be5ac""]"
ROOTCOMP-365d82ee056fa0874b205c9d,IMPEVT-31ce8a8721b1d6a710a13aea,Escalon,CA,2026,police,police,implemented,"FY 2026-27 a salary increase of 3%, effective July 1, 2026,","Escalon, California, Memorandum Of Understanding, 2026.",implemented across the board raise for police,"[""WCM-8827e22eb3ef2b36ae225784""]"
ROOTCOMP-2d90efbdddba8522ee347b53,IMPEVT-582c2039931109a6a4176101,Escalon,CA,2026,remains_unclear,unclear,implemented,"Effective 7/1/2026 2,080 Yearly Hours Salary Step A Step B Step C Step D Step E","Escalon, California, Wage Schedule, 2026.",implemented step progression for remains unclear,"[""WCM-713ef16a9d14d68efe23f6bf""]"
ROOTCOMP-e22b462eca61c379b3e99691,IMPEVT-48b7aec914c180cb76f6f691,Etna,CA,2023,remains_unclear,unclear,formally_adopted,Longevity Pay to be added to the above steps if approved by Council for the 24/25 Budget,"Etna, California, Wage Schedule, 2023.",formally adopted longevity for remains unclear,"[""WCM-d78c972c16d74baad3f16daa""]"
ROOTCOMP-010642f1c7d7f4ec79b844cb,IMPEVT-dc5efc5b749f94a95f10236e,Gonzales,CA,2024,police,police,implemented,"Revised 1-13-25, Effective 01/01/25","Gonzales, California, Wage Schedule, 2024.",implemented mechanism only for police,"[""WCM-d1a741beb958b8a310b9aae4""]"
ROOTCOMP-d4251540f5c9c1c93e2eaffb,IMPEVT-b5dd601b06fbf07635977057,Gustine,CA,2026,remains_unclear,unclear,formally_adopted,"ANNUAL SALARY SCHEDULE Effective July 1, 2026 Adopted July 21, 2026 Annual Amounts #REF! A $0 B","Gustine, California, Wage Schedule, 2026.",formally adopted across the board raise for remains unclear,"[""WCM-4660f8b6ecb0a496aac1b35d""]"
ROOTCOMP-1895f15d36801d4e0f21f6e0,IMPEVT-1020b1277b3b6957997030da,Gustine,CA,2026,remains_unclear,unclear,implemented,"Effective July 1, 2026","Gustine, California, Wage Schedule, 2026.",implemented mechanism only for remains unclear,"[""WCM-d4ab8ecfd8711e8461a53af4""]"
ROOTCOMP-647f648f8ecd72a7f93fa921,IMPEVT-83ae1b70237f62ac3dd1a569,Holtville,CA,2023,fire,fire,implemented,"employment as provided by this resolution and the agreement are effective July 01, 2023.","Holtville, California, Wage Schedule, 2023.",implemented mechanism only for fire,"[""WCM-16b5acb3e914f5ba714d52c7"",""WCM-5048f6a0c25ff412a901add4""]"
ROOTCOMP-d5372d0ff75524ff96da86a5,IMPEVT-c6ae4bcf008084e1638dac1d,Lakeport,CA,2016,police,police,implemented,"5% of base wage for the Pay-period(s) so assigned, effective July 16, 2016.","Lakeport, California, Memorandum Of Understanding, 2016.",implemented base wage for police,"[""WCM-5087b3f6f36460ea2965d7b3""]"
ROOTCOMP-08d707c4ce6c3052a80fb400,IMPEVT-4f5ec63feec092f68f8d0e04,Lakeport,CA,2018,police,police,implemented,"September 12, 2012 and the provisions were effective January 1, 2013.","Lakeport, California, Memorandum Of Understanding, 2018.",implemented mechanism only for police,"[""WCM-9c420cd1881287940b5297f2"",""WCM-c86d690bd3c6b1943adbdbab""]"
ROOTCOMP-7f8ec2282377369884fe4d5d,IMPEVT-bdd6e53df12c41b78877ca95,Lakeport,CA,2021,remains_unclear,unclear,implemented,"LEA = Lakeport Employees' Association, salaries effective 09/18/2021 ‐ Resolution No.","Lakeport, California, Wage Schedule, 2021.",implemented base wage for remains unclear,"[""WCM-22a8efaffbcfb846d2d86df9"",""WCM-b6e01cf2f6c8838d95186f30"",""WCM-e6e853d12fbf769ad3e435ae""]"
ROOTCOMP-10fab2197c69fecbbcaa0c42,IMPEVT-f8a1c26896bc2893649a6c2a,San Juan Bautista,CA,2022,remains_unclear,unclear,formally_adopted,"2022 and became effective January 1, 2023, whether or not they were formally adopted by a local","San Juan Bautista, California, Other Local Government Pay Policy, 2022.",formally adopted mechanism only for remains unclear,"[""WCM-15f81ee8cc185f7ed4c7efd9""]"
ROOTCOMP-0302906b70d6b1d2bba29cc7,IMPEVT-6bc59e2ec4dba56bfd75c428,Sand City,CA,2020,police,police,implemented,"Effective July 1, 2020, the overtime language in the Personnel Manual shall no longer","Sand City, California, Memorandum Of Understanding, 2020.",implemented overtime for police,"[""WCM-a6e6c44f5eefea41882431bd""]"
ROOTCOMP-6eea590c08c4af3bfb842a41,IMPEVT-c79fb301352b44e8a76559e1,Sand City,CA,2024,non_safety,non_safety,implemented,authorized a COLA of 4% to be granted to the City’s Miscellaneous Employees effective in,"Sand City, California, Wage Schedule, 2024.",implemented cola or indexing for non safety,"[""WCM-3a157b7f31c9c3a98cc1c3f6"",""WCM-8d30fd905ca61f31537a2ee8"",""WCM-e92525cb63cd7faa5076c720""]"
ROOTCOMP-71fc4510e2ff114c68a82ce3,IMPEVT-49f72b09e1bceb278b382ee2,Sand City,CA,2024,police,police,implemented," The City has agreed to a salary increase of 4% effective in FY 24/25, providing","Sand City, California, Memorandum Of Understanding, 2024.",implemented across the board raise for police,"[""WCM-0e1549f09712b32e301a9dfb"",""WCM-da120d221cf5c5f2d2965470""]"
ROOTCOMP-5625b28fe3823dd416ec1bac,IMPEVT-f2d2d0faae37742a9a723e1e,Sand City,CA,2024,non_safety,non_safety,implemented,"FY 2024-2027 Police Salary Plan Effective June 1, 2025","Sand City, California, Wage Schedule, 2024.",implemented base wage for non safety,"[""WCM-0f2d68ad2cfefcb002405a0c"",""WCM-e3ad430ff224c831f86516c9""]"
ROOTCOMP-8ff9c66d61a76f749c424126,IMPEVT-f564b30481f3de760899e169,Sand City,CA,2024,police,police,implemented,"retroactive pay from July 1, 2024 - December 31 2024, 3% effective July 1, 2025,","Sand City, California, Memorandum Of Understanding, 2024.",implemented retroactive pay for police,"[""WCM-2ab7b241b3fb43daa482ae12""]"
ROOTCOMP-759586009c64d550669c8f8b,IMPEVT-b39d3215d11d4e4c5af8394a,Sand City,CA,2025,police,police,implemented,"Effective the first full pay period following July 1, 2025, a 3% salary increase will be","Sand City, California, Memorandum Of Understanding, 2025.",implemented across the board raise for police,"[""WCM-768987956d4463e0c8bc2281""]"
ROOTCOMP-c55722b3a6fbbfbb6bf0f607,IMPEVT-10a0079ac9a4f17ff854a46f,Sand City,CA,2025,non_safety,non_safety,implemented," 4% COLA for all Non Sworn positions effective June 1, 2025.","Sand City, California, Wage Schedule, 2025.",implemented cola or indexing for non safety,"[""WCM-3e161a83169a743c9ea7cd51""]"
ROOTCOMP-7ca74f3e487be8b7176e2eff,IMPEVT-afed8d71aad808f0be591b8e,Sand City,CA,2026,police,police,implemented,"Effective the first full pay period following July 1, 2026, a 3% salary increase will be","Sand City, California, Memorandum Of Understanding, 2026.",implemented across the board raise for police,"[""WCM-f244146ae6a6235da24297aa""]"
