implementation_event_id,municipality,state,region,latitude,longitude,compensation_cycle_id,period_start,period_end,mechanism_class,mechanism_subtype,side,beneficiary_unit,implementation_status,pressure_direction,recurring_or_one_time,compensation_type,pay_basis,source_count,evidence_span_count,corroborating_source_count,strongest_evidence_excerpt,human_readable_citation,implementation_confidence,claim_use_status,urbanicity_status,technical_lineage
IMPEVT-6212a7e7f72e4fe92acfd82c,Brundidge,AL,South,,,2025,2025,2025,retroactivity_implementation,mechanism_only,unclear,unclear,implemented,unclear,not_applicable,mechanism_only,unknown,1,1,0,"employees to Tier I status effective October 1, 2025.","Brundidge, AL, Council Packet Or Minutes, 2025.",high,implementation_event_ready,missing_not_validated,"[""WCM-20a631d9c0de37aed4d0904a""]"
IMPEVT-553f16535e8c0b7bf9887e05,Graysville,AL,South,,,2016,2016,2016,retroactivity_implementation,mechanism_only,unclear,unclear,implemented,unclear,not_applicable,mechanism_only,unknown,1,1,0,"This Resolution shall become effective on November 7, 2016.","Graysville, AL, Wage Schedule, 2016.",high,implementation_event_ready,missing_not_validated,"[""WCM-a47e2950de5a3ecce227a477""]"
IMPEVT-1470a5b10fe6c225cb2fac05,Loachapoka,AL,South,,,2022,2022,2022,retroactivity_implementation,mechanism_only,unclear,unclear,implemented,unclear,not_applicable,mechanism_only,percentage,1,2,0,"a 5.75% Cost Of Living Adjustment effective October 8, 2022 for all eligible county employees.","Loachapoka, AL, Council Packet Or Minutes, 2022.",high,implementation_event_ready,missing_not_validated,"[""WCM-f62c256138ecff82699a7e59"",""WCM-fb0f939634ca5338578bfc0a""]"
IMPEVT-7889d35ec490944699b69ade,Stevenson,AL,South,,,undated-source-B4X2500LIVE-20260729-009226,,,budget_pay_plan,budget_or_pay_plan,unclear,unclear,formally_adopted,mixed,budget_context_only,budget_or_pay_plan,per_diem,1,1,0,exceed the amount approved by City Council. City Council must approve rates higher than the State Per Diem.,"Stevenson, AL, Budget Or Pay Plan, period not explicit.",high,implementation_event_ready,missing_not_validated,"[""WCM-02da8c0126a8a8ca4b0a9cca""]"
IMPEVT-7174c7896e0bf5d281a4b484,Valley Grande,AL,South,,,2020,2020,2020,retroactivity_implementation,mechanism_only,unclear,unclear,implemented,unclear,not_applicable,mechanism_only,unknown,1,1,0,"This resolution shall become effective November 2, 2020.","Valley Grande, AL, Wage Schedule, 2020.",high,implementation_event_ready,missing_not_validated,"[""WCM-a70c297ef779576e63ac7009""]"
IMPEVT-466cc8879841b60362a6f372,Batesville,AR,South,,,undated-source-CBSRD-20260728-229e87b6cec1a609381b,,,across_the_board_raise,across_the_board_raise,unclear,unclear,formally_adopted,unclear,percentage_adjustment,across_the_board_raise,unknown,1,1,0,,"Batesville, AR, Arbitration Award, period not explicit.",low,implementation_event_ready,missing_not_validated,"[""WCM-c840cf3435c0f6e8f6fe78ea""]"
IMPEVT-5350f3ade3dc9d50fe68fc1f,Biggs,CA,West,,,2022,2022,2022,retroactivity_implementation,base_wage,unclear,unclear,implemented,unclear,recurring_base,base_wage,annual_salary,1,1,0,"CITY OF BIGGS Salary Schedule Effective September 1, 2022","Biggs, California, Budget Or Pay Plan, 2022.",high,implementation_event_ready,missing_not_validated,"[""WCM-20abccf6c7a14b3dbb463b68""]"
IMPEVT-f72c201905d76c1ad6e2071d,Blue Lake,CA,West,,,2024,2024,2024,across_the_board_raise,across_the_board_raise,unclear,unclear,formally_adopted,unclear,percentage_adjustment,across_the_board_raise,annual_salary,1,1,0,"change, a new job description and revised salary schedule will need to be adopted.","Blue Lake, California, Wage Schedule, 2024.",high,implementation_event_ready,missing_not_validated,"[""WCM-80314403698b5b3f7dc232c5""]"
IMPEVT-7af3babb44c9e4d3cf23b79d,Blue Lake,CA,West,,,2024,2024,2024,budget_pay_plan,budget_or_pay_plan,unclear,unclear,formally_adopted,downward,budget_context_only,budget_or_pay_plan,budget_amount,1,1,0,contracts or authorize employee raises without prior approval from the City Council. All such matters must be presented to and approved by the Council before execution or,"Blue Lake, California, Wage Schedule, 2024.",high,implementation_event_ready,missing_not_validated,"[""WCM-23ba53c031304e252fa081a2""]"
IMPEVT-29b1c4b322fab58936ed4962,Blue Lake,CA,West,,,2024,2024,2024,retroactivity_implementation,mechanism_only,unclear,unclear,implemented,unclear,not_applicable,mechanism_only,unknown,1,1,0,Amendment Number 4 effective 5/12/25,"Blue Lake, California, Wage Schedule, 2024.",high,implementation_event_ready,missing_not_validated,"[""WCM-8b9dca1f560b14c6c07ba1c7""]"
IMPEVT-60f3902bee2be9c8b66c9b02,Buellton,CA,West,,,2026,2026,2026,retroactivity_implementation,classification_band,unclear,unclear,implemented,unclear,unclear_duration,classification_band,unknown,1,1,0,"Effective July 1, 2026 New Classification/Position in 2025-26","Buellton, California, Wage Schedule, 2026.",high,implementation_event_ready,missing_not_validated,"[""WCM-312cafebb565647d7ea40665""]"
IMPEVT-6cf04406998df51af52aae3d,Colfax,CA,West,,,2017,2017,2017,retroactivity_implementation,mechanism_only,unclear,unclear,implemented,unclear,not_applicable,mechanism_only,unknown,1,1,0,"Effective January 1, 2017, the City will discontinue participation in and contributions to","Colfax, California, Memorandum Of Understanding, 2017.",high,implementation_event_ready,missing_not_validated,"[""WCM-e44a3b0af7c49cbca324aa89""]"
IMPEVT-1c103b44399aee5208b59aca,Colfax,CA,West,,,2018,2018,2018,retroactivity_implementation,mechanism_only,unclear,unclear,implemented,unclear,not_applicable,mechanism_only,percentage,1,1,0,"Effective January 1, 2018, the City will contribute 100% of the first $800 and 95% of the","Colfax, California, Memorandum Of Understanding, 2018.",high,implementation_event_ready,missing_not_validated,"[""WCM-38a8df9887e02c635c1a2250""]"
IMPEVT-9bd186d05878b0b92e528fe0,Colfax,CA,West,,,2021,2021,2021,non_base_compensation,other,unclear,unclear,implemented,unclear,unclear_duration,other,percentage,1,3,0,Certification Pay: Employees will receive an additional 5% above their base pay for,"Colfax, California, Memorandum Of Understanding, 2021.",high,implementation_event_ready,missing_not_validated,"[""WCM-0802ee6ad62132aae404965b"",""WCM-630aa9233d8991d444efb4db"",""WCM-807257f3277c4c36ddcd1367""]"
IMPEVT-86eb2a997c7c71359a5d93ef,Colfax,CA,West,,,2021,2021,2021,retroactivity_implementation,mechanism_only,unclear,unclear,implemented,unclear,not_applicable,mechanism_only,unknown,1,1,0,"Effective July 1, 2021, CTO time will be","Colfax, California, Memorandum Of Understanding, 2021.",high,implementation_event_ready,missing_not_validated,"[""WCM-ed801424d59f7ce36bd3d7c8""]"
IMPEVT-b7ca3e3bff80b87d857edec4,Colma,CA,West,,,2017,2017,2017,non_base_compensation,uniform_or_equipment_allowance,unclear,unclear,formally_adopted,unclear,recurring_non_base,uniform_or_equipment_allowance,annual_salary,1,1,0,"(1) These positions receive a $1,025 per year uniform allowance Ord 773 Reinstatement of Reserve Officer Program - up to 4 Reserve Officers (Adopted 12/13/2017)","Colma, California, Wage Schedule, 2017.",high,implementation_event_ready,missing_not_validated,"[""WCM-f3a3bb542a70e55679a3df50""]"
IMPEVT-678b1bcd8a3c42aa081a6869,Colma,CA,West,,,2018,2018,2018,non_base_compensation,other,unclear,unclear,formally_adopted,unclear,unclear_duration,other,percentage,1,3,0,(2) This position receives a 5.0% incentive for CAD Administrator Ord 784 City Council Compensation (Adopted 11/14/2018),"Colma, California, Wage Schedule, 2018.",high,implementation_event_ready,missing_not_validated,"[""WCM-53cd67ab6bc393d0d6175c0b"",""WCM-93c36e5ad1963988f3aa21aa"",""WCM-da06bcd36d1e4334e2b1b915""]"
IMPEVT-f7f9021422d5305aafd60312,Colma,CA,West,,,2019,2019,2019,non_base_compensation,holiday_pay,unclear,unclear,formally_adopted,upward,recurring_non_base,holiday_pay,annual_salary,1,4,0,(3) These positions receive an additional 5% Holiday Pay Reso 2004-36 Establishment of Police Recruit Program - 95% of Police Officer Step 1 (5/12/2004) (4) These positions receive a $774.73 per year uniform allowance Reso 2019-57 City Manager Contract Amendment 3 (Adopted 12/11/2019),"Colma, California, Wage Schedule, 2019.",high,implementation_event_ready,missing_not_validated,"[""WCM-813480c86ab2645fe4c2318e"",""WCM-816b92a7c393ee6e371c751d"",""WCM-97e5989ac13a0bfe1efa5820"",""WCM-e383ce45bb52151603dd6c2b""]"
IMPEVT-b84afd9a82f309eb490b7569,Colma,CA,West,,,2021,2021,2021,retroactivity_implementation,mechanism_only,unclear,unclear,implemented,unclear,not_applicable,mechanism_only,unknown,1,1,0,"Town of Colma Pay Schedule (Effective December 26, 2021)","Colma, California, Wage Schedule, 2021.",high,implementation_event_ready,missing_not_validated,"[""WCM-96a5b5283a08c782dc68aafe""]"
IMPEVT-c32d5fbea26decf8a17a40a3,Colma,CA,West,,,2022,2022,2022,retroactivity_implementation,mechanism_only,unclear,unclear,implemented,unclear,not_applicable,mechanism_only,unknown,1,2,0,"Town of Colma Pay Schedule (Effective June 26, 2022)","Colma, California, Wage Schedule, 2022.",high,implementation_event_ready,missing_not_validated,"[""WCM-428cd75112f2052113786bec"",""WCM-d361b4af8a4b38591f187f1f""]"
IMPEVT-1d9a166a6f2525c3fecd81e1,Escalon,CA,West,,,2025,2025,2025,retroactivity_implementation,step_progression,unclear,unclear,implemented,upward,scheduled_step,step_progression,annual_salary,1,2,0,"Effective 7/1/2025 2,080 Yearly Hours Salary Step A Step B Step C Step D Step E","Escalon, California, Wage Schedule, 2025.",high,implementation_event_ready,missing_not_validated,"[""WCM-0d70c619ba777c79c993bbd4"",""WCM-3d250aec4c73f8ab3d5be5ac""]"
IMPEVT-582c2039931109a6a4176101,Escalon,CA,West,,,2026,2026,2026,retroactivity_implementation,step_progression,unclear,unclear,implemented,upward,scheduled_step,step_progression,annual_salary,1,1,0,"Effective 7/1/2026 2,080 Yearly Hours Salary Step A Step B Step C Step D Step E","Escalon, California, Wage Schedule, 2026.",high,implementation_event_ready,missing_not_validated,"[""WCM-713ef16a9d14d68efe23f6bf""]"
IMPEVT-48b7aec914c180cb76f6f691,Etna,CA,West,,,2023,2023,2023,non_base_compensation,longevity,unclear,unclear,formally_adopted,upward,recurring_non_base,longevity,step_schedule,1,1,0,Longevity Pay to be added to the above steps if approved by Council for the 24/25 Budget,"Etna, California, Wage Schedule, 2023.",high,implementation_event_ready,missing_not_validated,"[""WCM-d78c972c16d74baad3f16daa""]"
IMPEVT-b5dd601b06fbf07635977057,Gustine,CA,West,,,2026,2026,2026,across_the_board_raise,across_the_board_raise,unclear,unclear,formally_adopted,unclear,percentage_adjustment,across_the_board_raise,annual_salary,1,1,0,"ANNUAL SALARY SCHEDULE Effective July 1, 2026 Adopted July 21, 2026 Annual Amounts #REF! A $0 B","Gustine, California, Wage Schedule, 2026.",high,implementation_event_ready,missing_not_validated,"[""WCM-4660f8b6ecb0a496aac1b35d""]"
IMPEVT-1020b1277b3b6957997030da,Gustine,CA,West,,,2026,2026,2026,retroactivity_implementation,mechanism_only,unclear,unclear,implemented,unclear,not_applicable,mechanism_only,unknown,1,1,0,"Effective July 1, 2026","Gustine, California, Wage Schedule, 2026.",high,implementation_event_ready,missing_not_validated,"[""WCM-d4ab8ecfd8711e8461a53af4""]"
IMPEVT-bdd6e53df12c41b78877ca95,Lakeport,CA,West,,,2021,2021,2021,retroactivity_implementation,base_wage,unclear,unclear,implemented,unclear,recurring_base,base_wage,unknown,1,3,0,"LEA = Lakeport Employees' Association, salaries effective 09/18/2021 ‐ Resolution No.","Lakeport, California, Wage Schedule, 2021.",high,implementation_event_ready,missing_not_validated,"[""WCM-22a8efaffbcfb846d2d86df9"",""WCM-b6e01cf2f6c8838d95186f30"",""WCM-e6e853d12fbf769ad3e435ae""]"
IMPEVT-f8a1c26896bc2893649a6c2a,San Juan Bautista,CA,West,,,2022,2022,2022,retroactivity_implementation,mechanism_only,unclear,unclear,formally_adopted,unclear,not_applicable,mechanism_only,unknown,1,1,0,"2022 and became effective January 1, 2023, whether or not they were formally adopted by a local","San Juan Bautista, California, Other Local Government Pay Policy, 2022.",high,implementation_event_ready,missing_not_validated,"[""WCM-15f81ee8cc185f7ed4c7efd9""]"
IMPEVT-f23397814113e59542e4d7a4,Solvang,CA,West,,,2025,2025,2025,retroactivity_implementation,mechanism_only,unclear,unclear,implemented,unclear,not_applicable,mechanism_only,unknown,1,3,0,"and/or Non-Represented Employees effective July 1, 2025","Solvang, California, Council Packet Or Minutes, 2025.",high,implementation_event_ready,missing_not_validated,"[""WCM-35b208348b5cbb3f5761e550"",""WCM-8642e987abba6c69f362630d"",""WCM-bd87e810f5cdda873a5aad6b""]"
IMPEVT-19e0f4fd3dd01a4617bb801e,Tulelake,CA,West,,,2021,2021,2021,other_pay_setting_mechanism,mechanism_only,unclear,unclear,formally_adopted,unclear,not_applicable,mechanism_only,unknown,1,1,0,"resolution adopted by the City Council. The City Council, by resolution, shall approve all","Tulelake, California, Civil-Service Or Hr Pay Plan, 2021.",high,implementation_event_ready,missing_not_validated,"[""WCM-540f644c6222a8f72ecc752f""]"
IMPEVT-f473a7a33618bd4f44572808,Waterford,CA,West,,,2025,2025,2025,retroactivity_implementation,mechanism_only,unclear,unclear,implemented,unclear,not_applicable,mechanism_only,unknown,1,1,0,Effective 7/1/25,"Waterford, California, Wage Schedule, 2025.",high,implementation_event_ready,missing_not_validated,"[""WCM-90ced93b315b8ff535ce6c0c""]"
IMPEVT-5f6d3c9413f8895ddd75c250,Westmorland,CA,West,,,2024,2024,2024,retroactivity_implementation,mechanism_only,unclear,unclear,implemented,unclear,not_applicable,mechanism_only,unknown,1,2,0,"WHEREAS, the 2024-2025 Budget is effective on July 1, 2024 and is based upon public","Westmorland, California, Wage Schedule, 2024.",high,implementation_event_ready,missing_not_validated,"[""WCM-3927e8d3b6ce8efbbaaca824"",""WCM-b0fc90da805db3ee0dd59579""]"
IMPEVT-767919e3b5b106b2126f7a83,Westmorland,CA,West,,,2025,2025,2025,retroactivity_implementation,base_wage,unclear,unclear,implemented,upward,recurring_base,base_wage,annual_salary,1,1,0,"WHEREAS, the increase in salary shall be effective on January 1, 2025","Westmorland, California, Wage Schedule, 2025.",high,implementation_event_ready,missing_not_validated,"[""WCM-a9d2ada822b336b70cb1e3f1""]"
IMPEVT-3f00ac0828907a41e1c4de7f,Wheatland,CA,West,,,2025,2025,2025,other_pay_setting_mechanism,base_wage,unclear,unclear,formally_adopted,unclear,recurring_base,base_wage,annual_salary,1,1,0,"Association was approved by the Wheatland City Council on November 25, 2025; and WHEREAS, the City’s Salary Table has been adjusted to reflect the approved","Wheatland, California, Wage Schedule, 2025.",high,implementation_event_ready,missing_not_validated,"[""WCM-9de01962e314fdcfb6f38e50""]"
IMPEVT-dee17436e03700dd96260d04,Castle Pines,CO,,,,2024,2024,2024,market_recruitment_retention,benefit_cost_change,unclear,unclear,implemented,unclear,benefit_cost_shift,benefit_cost_change,range_min_max,1,1,0,"The City Council supports Great Government, which includes recruiting and retaining quality staff, responsive services, strategic planning for a sustainable future, financial stewardship, and an investment in the future of the City. Strategic Goals: • Update City manuals and policies to produce effective and efficient local government services • Develop comprehensive and competitive compensation and staffing plans • Long-range ﬁscal health • Redistrict to reﬂect growth • Enhance public safety • Adopt a strategic approach to City actions 2024 Budget","Castle Pines, CO, Cba Or Compensation Study Or Classification Study Or Wage Schedule, 2024.",high,implementation_event_ready,missing_not_validated,"[""WCM-d6293cd34c34b8d8d46cb2b8""]"
IMPEVT-d4b0ccf6e5b717799a575bf4,Dinosaur,CO,West,,,undated-source-B4X2500LIVE-20260729-004829,,,across_the_board_raise,across_the_board_raise,unclear,unclear,implemented,unclear,percentage_adjustment,across_the_board_raise,annual_salary,1,2,0,"3. Automatic Adjustment of Water Service Rates Effective September 1, 2008. On September 1 of each year, commencing on September 1, 2008, existing monthly rates for all water system users shall be adjusted annually for inflation based on the Consumer Price Index, All Items, for all Urban Consumers, Western Region, Size B/C, published on a monthly basis by the United States Department of Labor (Burea","Dinosaur, CO, Other Local Government Pay Policy, period not explicit.",high,implementation_event_ready,missing_not_validated,"[""WCM-241a24fde336f65177ee56d8"",""WCM-c851f0ef2d8eec30e8d75893""]"
IMPEVT-b7f5719227da87974890a456,Dinosaur,CO,West,,,undated-source-B4X2500LIVE-20260729-004829,,,budget_pay_plan,longevity,unclear,unclear,formally_adopted,mixed,recurring_non_base,longevity,annual_salary,1,1,0,"the level or responsibility of the position, meritorious service, longevity, fiscal and economic conditions, as well as comparable salaries in the private and public sector. Any changes in wages and salaries shall be by ordinance or resolution enacted by the Town Council. Salary changes may be approved by the Town Council as part of the approval of the Town’s annual budget.","Dinosaur, CO, Other Local Government Pay Policy, period not explicit.",high,implementation_event_ready,missing_not_validated,"[""WCM-c4d9e4c7ccd1a7ba09486578""]"
IMPEVT-14a42dbcb10b90c3c7f6a659,Dinosaur,CO,West,,,undated-source-B4X2500LIVE-20260729-004829,,,non_base_compensation,overtime,unclear,unclear,implemented,upward,recurring_non_base,overtime,unknown,1,1,0,"B. Work Schedules for Officers, Professional and Exempt Employees. Full time officers, professional, administrative, and other exempt employees who are ineligible for overtime compensation or compensatory time-off, shall work a minimum of thirty-five (35) hours per week or such additional amount as is necessary, in the opinion of the Town Council, to perform his/her duties in a complete and satisfactory manner. Such officers or employees shall receive no additional compensation or compensatory time-off for work in excess of thirty-five (35)","Dinosaur, CO, Other Local Government Pay Policy, period not explicit.",high,implementation_event_ready,missing_not_validated,"[""WCM-6c150a5f980083eea3d94cda""]"
IMPEVT-ba4037fa644c9cf307e7b6af,Dinosaur,CO,West,,,undated-source-B4X2500LIVE-20260729-004829,,,retroactivity_implementation,mechanism_only,unclear,unclear,implemented,unclear,not_applicable,mechanism_only,annual_salary,1,1,0,"3. Automatic Adjustment of Water Service Rates Effective September 1, 2008. On September 1 of each year, commencing on September 1, 2008, existing monthly rates for all water system users shall be adjusted annually for inflation based on the Consumer Price Index, All Items, for all Urban Consumers, Western Region, Size B/C, published on a monthly basis by the United States Department of Labor (Bureau of Labor Statistics) “(CPI-U)”. Such adj","Dinosaur, CO, Other Local Government Pay Policy, period not explicit.",high,implementation_event_ready,missing_not_validated,"[""WCM-78cd156531aae6edb8c85d20""]"
IMPEVT-5622b215716842426d6a6585,Mountain Village,CO,West,,,2015,2015,2015,across_the_board_raise,across_the_board_raise,unclear,unclear,implemented,unclear,percentage_adjustment,across_the_board_raise,hourly,1,1,0," Effective 1/1/2015, seasonal employees starting wage is $14.00/hr.","Mountain Village, CO, Budget Or Pay Plan, 2015.",high,implementation_event_ready,missing_not_validated,"[""WCM-6627164e3dcbee3cb9861b74""]"
IMPEVT-c59cc15037021aefb1ab8501,Mountain Village,CO,West,,,2015,2015,2015,retroactivity_implementation,mechanism_only,unclear,unclear,implemented,unclear,not_applicable,mechanism_only,unknown,1,2,0,"This Resolution shall become effective on August 20, 2015 (the “Effective Date”) as herein referenced","Mountain Village, CO, Budget Or Pay Plan, 2015.",high,implementation_event_ready,missing_not_validated,"[""WCM-96e54951ecdfe111043f59c1"",""WCM-a2f3f1fdc55789c4161f686f""]"
IMPEVT-aaf5260eee088e98d73359eb,Mountain Village,CO,West,,,2016,2016,2016,retroactivity_implementation,mechanism_only,unclear,unclear,implemented,unclear,not_applicable,mechanism_only,unknown,1,1,0,"effective August 18, 1999 (the “Original Agreement”);","Mountain Village, CO, Budget Or Pay Plan, 2016.",high,implementation_event_ready,missing_not_validated,"[""WCM-feb5efe5a5a6ab1b3b6bbc79""]"
IMPEVT-79edf3034ef536fdb1b561df,Yampa,CO,West,,,2026,2026,2026,retroactivity_implementation,mechanism_only,unclear,unclear,implemented,unclear,not_applicable,mechanism_only,unknown,1,1,0,"Rates would become effective January 1, 2026 with users seeing the change in their February billing cycle.","Yampa, CO, Wage Schedule, 2026.",high,implementation_event_ready,missing_not_validated,"[""WCM-c0907d268a0e915b4436bf04""]"
IMPEVT-6d3f9e3f9f0a6b656821646c,Andover,CT,Northeast,,,2015,2015,2015,retroactivity_implementation,mechanism_only,unclear,unclear,implemented,unclear,not_applicable,mechanism_only,unknown,1,1,0,"under Public Act 15-5 and became effective October 1, 2015.","Andover, CT, Collective Bargaining Agreement, 2015.",high,implementation_event_ready,missing_not_validated,"[""WCM-04c8179ba9ce85b8b086e9cc""]"
IMPEVT-d2392343533a3dd71aceb858,Andover,CT,Northeast,,,2024,2024,2024,retroactivity_implementation,base_wage,unclear,unclear,implemented,upward,recurring_base,base_wage,unknown,1,1,0,"Effective July 1, 2024, all wages in effect on June 30, 2024 shall be increased","Andover, CT, Collective Bargaining Agreement, 2024.",high,implementation_event_ready,missing_not_validated,"[""WCM-2b300c960e1cfac5daf51a6b""]"
IMPEVT-e4d69a434488b4aedd338085,Andover,CT,Northeast,,,2025,2025,2025,retroactivity_implementation,base_wage,unclear,unclear,implemented,upward,recurring_base,base_wage,unknown,1,1,0,"Effective July 1, 2025, all wages in effect on June 30, 2025 shall be increased","Andover, CT, Collective Bargaining Agreement, 2025.",high,implementation_event_ready,missing_not_validated,"[""WCM-37d41cf6fb63fe28eb87865a""]"
IMPEVT-6916c86dcf718911de1e79da,Bethlehem,CT,Northeast,,,undated-source-B4X2500LIVE-20260729-003497,,,non_base_compensation,overtime,unclear,unclear,formally_adopted,upward,recurring_non_base,overtime,unknown,1,1,0,overtime/other hours must be approved by the Department Head prior to submitting them for,"Bethlehem, CT, Collective Bargaining Agreement, period not explicit.",high,implementation_event_ready,missing_not_validated,"[""WCM-f5a5598a76bf52773b07cc14""]"
IMPEVT-a4d697d611f5845aad7b4874,Bethlehem,CT,Northeast,,,undated-source-B4X2500LIVE-20260729-003497,,,retroactivity_implementation,base_wage,unclear,unclear,formally_adopted,unclear,recurring_base,base_wage,annual_salary,1,1,0,wage and salary adjustments are to be approved by the Board of Selectmen. Merit salary and wage adjustments for employees not covered by the above are to be approved by the,"Bethlehem, CT, Collective Bargaining Agreement, period not explicit.",high,implementation_event_ready,missing_not_validated,"[""WCM-387e18d28e48ad46d2258c44""]"
IMPEVT-118eaf5a7167088a0b8a8249,Fairfield,CT,Northeast,,,undated-source-CBSRD-20260728-7de2d2ec0511e4911415,,,across_the_board_raise,across_the_board_raise,unclear,unclear,formally_adopted,unclear,percentage_adjustment,across_the_board_raise,unknown,1,2,0,,"Fairfield, CT, Arbitration Award, period not explicit.",low,implementation_event_ready,missing_not_validated,"[""WCM-4a74e48768732e72f782598c"",""WCM-64d7b1268f30fa95b15e4626""]"
IMPEVT-1aeda39ac1816176f2ab7b78,Fairfield,CT,Northeast,,,undated-source-CBSRD-20260728-7de2d2ec0511e4911415,,,retroactivity_implementation,mechanism_only,unclear,unclear,formally_adopted,unclear,not_applicable,mechanism_only,unknown,1,1,0,,"Fairfield, CT, Arbitration Award, period not explicit.",low,implementation_event_ready,missing_not_validated,"[""WCM-58b65841df5415d5b57253fb""]"
