selection_id,claim_id,claim_section,municipality,state,evidence_excerpt,excerpt_word_count,excerpt_context_type,operative_language_flag,proposal_language_flag,adoption_language_flag,implementation_language_flag,payment_or_effect_flag,excerpt_confidence,excerpt_limitations,mechanism,implementation_status,pressure_direction,beneficiary,why_this_supports_mechanism,how_it_fits_claim,human_readable_citation,citation_id,technical_lineage_id,what_happened,mechanism_explanation,how_mechanism_works,pressure_direction_explanation,beneficiary_explanation,evidence_support_explanation,safety_wage_growth_fit,example_specific_limitation,semantic_fit_class
REPORT-CLAIM-C-03,CLAIM-C,Claim 3: Non-Base Compensation,Tinicum,PA,"430.000 · PUBLIC WORKS:430-326 · Clothing Allowance 2,108 2,100 1,600 430.000 · PUBLIC WORKS:430-329 · Burglar Alarm 430.000 - PUBLIC WORKS:430-341 - Advertising/Prinitng 207 210 430.000 · PUBLIC WORKS:430-351 ·Vehicle Insurance 11,010 13,144 14,110 430.000 - PUBLIC WORKS:430-361 Electricity 2,409 2,600 430.000 - PUBLIC WORKS:430-373 Bldg Repairs & Maint 1,734 1,800 430.000 - PUBLIC WORK",55,bounded_extracted_text_context,false,false,false,false,false,high,"This bounded example does not estimate a wage gap, prevalence, or causal effect.",non_base_compensation,unclear_status,unclear,non_safety,The bounded language directly documents non base compensation for the named unit or public body.,insufficient,"Tinicum, Pennsylvania, Tinicum Township Final Budget-2026 (General Fund) – Police salary line items, budget or pay plan, 2026, § 430.000 · PUBLIC WORKS:430.198 · HSA - PW 24,000 9,000 18,000.",CITE-bb56710ea17b4c9a7a8c36b8,BRMSAMESIDEQA-108b15c6f4c19de8caefb44c,"For Tinicum, the excerpt documents a term whose implementation status remains limited: 430.000 · PUBLIC WORKS:430-326 · Clothing Allowance 2,108 2,100 1,600 430.000 · PUBLIC WORKS:430-329 · Burglar Alarm 430.000 - PUBLIC WORKS:430-341 -.",non base compensation,"the clause adds compensation outside ordinary base rates through a payment, premium, allowance, or similar term",Unclear: the bounded language does not establish the net compensation direction.,The named beneficiary is non safety; the conclusion is limited to the unit actually named in the excerpt.,"The words “430.000 · PUBLIC WORKS:430-326 · Clothing Allowance 2,108 2,100 1,600 430.000 · PUBLIC WORKS:430-329 · Burglar Alarm 430.000 - PUBLIC WORKS:430-341 -” identify the concrete compensation term; they show how the clause adds compensation outside ordinary base rates through a payment, premium, allowance, or similar term.","Insufficient: the excerpt helps identify the mechanism but does not confirm an adopted, implemented, or paid outcome.","This Tinicum example is one document-bound observation. It does not establish a matched same-city occupational difference, population prevalence, the size of recurring wage growth, or payment beyond the status documented as unclear status.",insufficient
REPORT-CLAIM-C-04,CLAIM-C,Claim 3: Non-Base Compensation,Orchard Lake Village,MI,"The annual uniform allowance provided in this Section 8.9 shall be paid in two (2) equal installments on December 1 and June 1 of each Fiscal Year, provided that no Employee shall receive any such allowance until he shall have completed one-half (1/2) of his probationary period. Upon completion of one-half (1/2) of his probationary period, any Employee shall be entitled to receive the next regular scheduled uniform clothi",69,bounded_extracted_text_context,true,false,false,false,false,high,The excerpt documents a negotiated term but does not independently confirm payroll payment.,non_base_compensation,negotiated_term,unclear,police,The bounded language directly documents non base compensation for the named unit or public body.,partially supports,"Orchard Lake Village, Michigan, Police Officers Labor Council (POLC) - Letter of Agreement Regarding Desk Officer (moving Police Clerk position from GELC to POLC) - September 16, 2024 Agenda, wage schedule, 2024.",CITE-bc2eb5ab41d7f7c0469ffa73,WCM-00e4cf7635c260c4072a5eb6,"For Orchard Lake Village, the excerpt states a negotiated term: The annual uniform allowance provided in this Section 8.9 shall be paid in two (2) equal installments on December 1 and June.",non base compensation,"the clause adds compensation outside ordinary base rates through a payment, premium, allowance, or similar term",Unclear: the bounded language does not establish the net compensation direction.,The named beneficiary is police; the conclusion is limited to the unit actually named in the excerpt.,"The words “The annual uniform allowance provided in this Section 8.9 shall be paid in two (2) equal installments on December 1 and June” identify the concrete compensation term; they show how the clause adds compensation outside ordinary base rates through a payment, premium, allowance, or similar term.","Partially supports: the mechanism is visible, but the bounded record alone does not establish payment, comparative magnitude, or a safety-versus-non-safety difference.","This Orchard Lake Village example is one document-bound observation. It does not establish a matched same-city occupational difference, population prevalence, the size of recurring wage growth, or payment beyond the status documented as negotiated term.",partially supports
REPORT-CLAIM-D-01,CLAIM-D,"Claim 4: Market, Recruitment, and Retention Pressure",Woodstock,NY,"percent (3%) retroactive to on January 1, 2025, three percent (3%) plus a $1.00 market adjustment retroactive to on January 1, 2026, and three percent (3%) on January 1, 2027, on January 1, 2028, and on January 1, 2029.",39,bounded_extracted_text_context,true,false,false,true,false,high,"This bounded example does not estimate a wage gap, prevalence, or causal effect.",comparability_parity,implemented,upward,police,The bounded language directly documents comparability parity for the named unit or public body.,supports,"Woodstock, New York, COLLECTIVE BARGAINING AGREEMENT (2025-2029) — Town of Woodstock and United Federation of Police Officers Local #439 (Tentative), wage schedule, 2025, § 8 COMPENSATION.",CITE-ef60ef0efd38dc082fb57817,WCM-bd62a36deb15fdc3fd897176,"For Woodstock, the excerpt sets an operative term: percent (3%) retroactive to on January 1, 2025, three percent (3%) plus a $1.00 market adjustment retroactive to on January 1, 2026.",comparability parity,the operative language connects an institutional decision to a defined compensation rule or payment,"Upward: the retroactive payment rule adds to, raises, or preserves employee compensation.",The named beneficiary is police; the conclusion is limited to the unit actually named in the excerpt.,"The words “percent (3%) retroactive to on January 1, 2025, three percent (3%) plus a $1.00 market adjustment retroactive to on January 1, 2026” identify the concrete retroactive payment rule; they show how the operative language connects an institutional decision to a defined compensation rule or payment.",Supports: this is operative upward-pressure evidence for a safety unit and therefore illustrates one pathway by which safety pay can grow.,"This Woodstock example is one document-bound observation. It does not establish a matched same-city occupational difference, population prevalence, the size of recurring wage growth, or payment beyond the status documented as implemented.",supports
REPORT-CLAIM-D-02,CLAIM-D,"Claim 4: Market, Recruitment, and Retention Pressure",Wrightstown,WI,"• Assessor- $1,311.36 increase – market adjustment for 2025 Building inspection - $9,992.50 Increase (increase on salaries and contracted services)",20,bounded_extracted_text_context,false,false,false,false,false,high,"This bounded example does not estimate a wage gap, prevalence, or causal effect.",comparability_parity,unclear_status,upward,non_safety,The bounded language directly documents comparability parity for the named unit or public body.,insufficient,"Wrightstown, Wisconsin, 2026 Budget Overview Memo (Village of Wrightstown) — Police Department: Salaries & Benefits (CPI increases), budget or pay plan, 2025.",CITE-d35754dc1d4826c5622d9f73,WCM-1ee742c8ba136c663bc89ab7,"For Wrightstown, the excerpt documents a term whose implementation status remains limited: • Assessor- $1,311.36 increase – market adjustment for 2025 Building inspection - $9,992.50 Increase (increase on salaries and contracted services).",comparability parity,the operative language connects an institutional decision to a defined compensation rule or payment,"Upward: the compensation term adds to, raises, or preserves employee compensation.",The named beneficiary is non safety; the conclusion is limited to the unit actually named in the excerpt.,"The words “• Assessor- $1,311.36 increase – market adjustment for 2025 Building inspection - $9,992.50 Increase (increase on salaries and contracted services)” identify the concrete compensation term; they show how the operative language connects an institutional decision to a defined compensation rule or payment.","Insufficient: the excerpt helps identify the mechanism but does not confirm an adopted, implemented, or paid outcome.","This Wrightstown example is one document-bound observation. It does not establish a matched same-city occupational difference, population prevalence, the size of recurring wage growth, or payment beyond the status documented as unclear status.",insufficient
REPORT-CLAIM-D-03,CLAIM-D,"Claim 4: Market, Recruitment, and Retention Pressure",Plymouth,WI,"remains competitive, and maintain a strong position relative to comparable municipalities and utilities in Wisconsin, particularly in the southeastern region.",20,bounded_extracted_text_context,true,false,false,false,false,high,The excerpt documents a negotiated term but does not independently confirm payroll payment.,comparability_parity,negotiated_term,mixed,fire,The bounded language directly documents comparability parity for the named unit or public body.,complicates,"Plymouth, Wisconsin, City Common Council packet/agenda including Resolution No. 6 of 2026 amending the 2026 Salary Schedule related to the Fire Chief (City of Plymouth, Wisconsin), wage schedule, 2026.",CITE-84798c4ffc1143d2652fb935,WCM-c091ca2ec40feaeda493f102,"For Plymouth, the excerpt states a negotiated term: remains competitive, and maintain a strong position relative to comparable municipalities and utilities in Wisconsin, particularly in the southeastern region.",comparability parity,the operative language connects an institutional decision to a defined compensation rule or payment,Mixed: the process can generate higher or lower terms; this excerpt documents one bounded outcome without establishing its net effect across workers.,The named beneficiary is fire; the conclusion is limited to the unit actually named in the excerpt.,"The words “remains competitive, and maintain a strong position relative to comparable municipalities and utilities in Wisconsin, particularly in the southeastern region” identify the concrete compensation term; they show how the operative language connects an institutional decision to a defined compensation rule or payment.","Partially supports: the mechanism is visible, but the bounded record alone does not establish payment, comparative magnitude, or a safety-versus-non-safety difference.","This Plymouth example is one document-bound observation. It does not establish a matched same-city occupational difference, population prevalence, the size of recurring wage growth, or payment beyond the status documented as negotiated term.",partially supports
REPORT-CLAIM-D-04,CLAIM-D,"Claim 4: Market, Recruitment, and Retention Pressure",Ontario,NY,provide additional base wage increases for all the bargaining unit members as set forth more fully below. This MOA by and between the Town and CSEA is subject to ratification by the CSEA Clerical Unit membership and approval of the Town Board.,42,bounded_extracted_text_context,true,false,false,false,false,high,The excerpt documents a negotiated term but does not independently confirm payroll payment.,market_recruitment_retention,negotiated_term,upward,non_safety,The bounded language directly documents market recruitment retention for the named unit or public body.,complicates,"Ontario, New York, Memorandum of Agreement (MOA) By and Between the Town of Ontario and the Civil Service Employees Association, Inc., Local 1000, AFSCME, AFL-CIO — Clerical Unit #9111-01 (amending Jan 1, 2021–Dec 31, 2025 CBA), civil-service or HR pay plan, 2021, § CLERICAL UNIT #9II1-01.",CITE-2e3e5c13284c234a8f47e36d,WCM-04e55c26cb92f005699651ae,"For Ontario, the excerpt states a negotiated term: provide additional base wage increases for all the bargaining unit members as set forth more fully below. This MOA by and between.",market recruitment retention,market or staffing evidence is used to justify compensation intended to recruit or retain workers,"Upward: the pay term adds to, raises, or preserves employee compensation.",The named beneficiary is non safety; the conclusion is limited to the unit actually named in the excerpt.,The words “provide additional base wage increases for all the bargaining unit members as set forth more fully below. This MOA by and between” identify the concrete pay term; they show how market or staffing evidence is used to justify compensation intended to recruit or retain workers.,"Complicates: the same kind of mechanism appears for a non-safety unit, showing that the institution is not unique to police or fire.","This Ontario example is one document-bound observation. It does not establish a matched same-city occupational difference, population prevalence, the size of recurring wage growth, or payment beyond the status documented as negotiated term.",complicates
REPORT-CLAIM-E-01,CLAIM-E,Claim 5: Retroactivity and Implementation,Flint charter,MI,"Effective January 1, 1998 through December 31, 2001 SIGNATURE COpy",10,bounded_extracted_text_context,true,false,false,true,false,high,"This bounded example does not estimate a wage gap, prevalence, or causal effect.",retroactivity_implementation,implemented,unclear,police,The bounded language directly documents retroactivity implementation for the named unit or public body.,partially supports,"Flint charter, Michigan, FLINT TOWNSHIP/POAM — AGREEMENT (between the Charter Township of Flint and Police Officers Association of Michigan), collective bargaining agreement, § FLINT TOWNSHIP/POAM.",CITE-3aaa8326b5bb8dc0e707fd43,WCM-011e3b99eae1634ebb2b3209,"For Flint charter, the excerpt sets an operative term: Effective January 1, 1998 through December 31, 2001 SIGNATURE COpy.",retroactivity implementation,"the effective date reaches backward, converting a later decision into compensation owed for an earlier period",Unclear: the bounded language does not establish the net compensation direction.,The named beneficiary is police; the conclusion is limited to the unit actually named in the excerpt.,"The words “Effective January 1, 1998 through December 31, 2001 SIGNATURE COpy” identify the concrete compensation term; they show how the effective date reaches backward, converting a later decision into compensation owed for an earlier period.","Partially supports: the mechanism is visible, but the bounded record alone does not establish payment, comparative magnitude, or a safety-versus-non-safety difference.","This Flint charter example is one document-bound observation. It does not establish a matched same-city occupational difference, population prevalence, the size of recurring wage growth, or payment beyond the status documented as implemented.",partially supports
REPORT-CLAIM-E-02,CLAIM-E,Claim 5: Retroactivity and Implementation,Big Bear Lake,CA,"EFFECTIVE JULY 1, 2023 TO JUNE 30, 2026 ARTICLE NO. 1 PREAMBLE 1.1 This Agreement entered into by the City of Big Bear Lake, hereinafter referred to as the “Employer,” and Teamsters Local 1932, hereinafter referred to as the “Union,” has as its purpose the promotion of harmonious relations through an equitable and constructive procedure for the resolution o",59,bounded_extracted_text_context,true,false,false,true,false,high,"This bounded example does not estimate a wage gap, prevalence, or causal effect.",retroactivity_implementation,implemented,unclear,non_safety,The bounded language directly documents retroactivity implementation for the named unit or public body.,complicates,"Big Bear Lake, California, Memorandum of Understanding (MOU) — Teamsters Local 1932, General Employees Unit (Effective July 1, 2023 to June 30, 2026), memorandum of understanding, 2023, § GENERAL EMPLOYEES UNIT.",CITE-74c1ca4e630480b4899e3730,WCM-07320828baa6abf5cfd3efa9,"For Big Bear Lake, the excerpt sets an operative term: EFFECTIVE JULY 1, 2023 TO JUNE 30, 2026 ARTICLE NO. 1 PREAMBLE 1.1 This Agreement entered into by the City of Big.",retroactivity implementation,"the effective date reaches backward, converting a later decision into compensation owed for an earlier period",Unclear: the bounded language does not establish the net compensation direction.,The named beneficiary is non safety; the conclusion is limited to the unit actually named in the excerpt.,"The words “EFFECTIVE JULY 1, 2023 TO JUNE 30, 2026 ARTICLE NO. 1 PREAMBLE 1.1 This Agreement entered into by the City of Big” identify the concrete compensation term; they show how the effective date reaches backward, converting a later decision into compensation owed for an earlier period.","Complicates: the same kind of mechanism appears for a non-safety unit, showing that the institution is not unique to police or fire.","This Big Bear Lake example is one document-bound observation. It does not establish a matched same-city occupational difference, population prevalence, the size of recurring wage growth, or payment beyond the status documented as implemented.",complicates
REPORT-CLAIM-E-03,CLAIM-E,Claim 5: Retroactivity and Implementation,Lancaster,NY,"salary package of 8 percent retroactive to January 1, 1983 and 6 percent beginning January 1, 1984, is fair and equitable and within the ability of the Town to fund.",30,bounded_extracted_text_context,true,false,false,true,false,high,"This bounded example does not estimate a wage gap, prevalence, or causal effect.",retroactivity_implementation,implemented,upward,police,The bounded language directly documents retroactivity implementation for the named unit or public body.,supports,"Lancaster, New York, INTEREST ARBITRATION - Opinion and Award (Compulsory Interest Arbitration Award) - Town of Lancaster and Lancaster Police Benevolent Association (Cayuga Club), arbitration award, 2024.",CITE-ecede81728ac14895587db58,WCM-031cd2f4bfe82508166c8fd4,"For Lancaster, the excerpt sets an operative term: salary package of 8 percent retroactive to January 1, 1983 and 6 percent beginning January 1, 1984, is fair and equitable and.",retroactivity implementation,"the effective date reaches backward, converting a later decision into compensation owed for an earlier period","Upward: the retroactive payment rule adds to, raises, or preserves employee compensation.",The named beneficiary is police; the conclusion is limited to the unit actually named in the excerpt.,"The words “salary package of 8 percent retroactive to January 1, 1983 and 6 percent beginning January 1, 1984, is fair and equitable and” identify the concrete retroactive payment rule; they show how the effective date reaches backward, converting a later decision into compensation owed for an earlier period.",Supports: this is operative upward-pressure evidence for a safety unit and therefore illustrates one pathway by which safety pay can grow.,"This Lancaster example is one document-bound observation. It does not establish a matched same-city occupational difference, population prevalence, the size of recurring wage growth, or payment beyond the status documented as implemented.",supports
REPORT-CLAIM-F-01,CLAIM-F,"Claim 6: Ordinance, Budget, and Pay-Plan Formalization",Washington,PA,"Motion was made by Councilman Manning, seconded by Councilman Westcott, and unanimously carried, to approve the retirement of City of Washington Police Lieutenant, Roy Loeffert, effective march 13, 2020, pay all monies due, and amend the salary ordinance accordingly. Motion was made by Councilman Westcott, seconded by Councilman Manning, and unanimously carried, to approve the agreement for the Claire Drive Emergency Access with South StrabaneTownship, contingent upon South Strabane eliminating",70,bounded_extracted_text_context,true,false,true,false,false,high,"This bounded example does not estimate a wage gap, prevalence, or causal effect.",ordinance_council_adoption,formally_adopted,unclear,police,The bounded language directly documents ordinance council adoption for the named unit or public body.,partially supports,"Washington, Pennsylvania, Council Meeting Minutes – April 2, 2020 (IAFF Local 2218 contract effective dates), council packet or minutes, 2020.",CITE-59882662182d52f261248f98,WCM-1bc6d229b4c31bb7d94b1b48,"For Washington, the excerpt records formal adoption: Motion was made by Councilman Manning, seconded by Councilman Westcott, and unanimously carried, to approve the retirement of City of Washington Police.",ordinance council adoption,a public body converts a proposed pay action into an adopted legal or administrative term,Unclear: the bounded language does not establish the net compensation direction.,The named beneficiary is police; the conclusion is limited to the unit actually named in the excerpt.,"The words “Motion was made by Councilman Manning, seconded by Councilman Westcott, and unanimously carried, to approve the retirement of City of Washington Police” identify the concrete pay term; they show how a public body converts a proposed pay action into an adopted legal or administrative term.","Partially supports: the mechanism is visible, but the bounded record alone does not establish payment, comparative magnitude, or a safety-versus-non-safety difference.","This Washington example is one document-bound observation. It does not establish a matched same-city occupational difference, population prevalence, the size of recurring wage growth, or payment beyond the status documented as formally adopted.",partially supports
REPORT-CLAIM-F-02,CLAIM-F,"Claim 6: Ordinance, Budget, and Pay-Plan Formalization",Worthington,OH,"WHEREAS, the City Manager has requested City Council to approve the provisions of said collective bargaining agreement following ratification of same by Local #3498; NOW, THEREFORE, BE IT RESOLVED by the Council of the Municipality of Worthington, County of Franklin, State of Ohio:",43,bounded_extracted_text_context,false,false,false,false,false,high,"This bounded example does not estimate a wage gap, prevalence, or causal effect.",ordinance_council_adoption,unclear_status,unclear,fire,The bounded language directly documents ordinance council adoption for the named unit or public body.,insufficient,"Worthington, Ohio, Resolution No. 54-2024: Approving the Provisions of a Collective Bargaining Agreement Between the City of Worthington, Ohio and the International Association of Firefighters Local #3498, arbitration award, 2024.",CITE-3e7d40d04ad50ac6a5de3a37,WCM-5c9345bfec4c446c7822923f,"For Worthington, the excerpt documents a term whose implementation status remains limited: WHEREAS, the City Manager has requested City Council to approve the provisions of said collective bargaining agreement following ratification of same by.",ordinance council adoption,a public body converts a proposed pay action into an adopted legal or administrative term,Unclear: the bounded language does not establish the net compensation direction.,The named beneficiary is fire; the conclusion is limited to the unit actually named in the excerpt.,"The words “WHEREAS, the City Manager has requested City Council to approve the provisions of said collective bargaining agreement following ratification of same by” identify the concrete compensation term; they show how a public body converts a proposed pay action into an adopted legal or administrative term.","Insufficient: the excerpt helps identify the mechanism but does not confirm an adopted, implemented, or paid outcome.","This Worthington example is one document-bound observation. It does not establish a matched same-city occupational difference, population prevalence, the size of recurring wage growth, or payment beyond the status documented as unclear status.",insufficient
REPORT-CLAIM-F-03,CLAIM-F,"Claim 6: Ordinance, Budget, and Pay-Plan Formalization",Hanover,OH,"Ordinance 35-2024 An Ordinance appointing and setting a stipend for a Wastewater Billing Clerk on behalf of the Village of Hanover, Licking County, State of Ohio.- Second Reading. Ordinance 36-2024 An Ordinance authorizing and directing the Mayor to execute an agreement with Neighborhood Strategies, LLC for professional services on behalf of the Village of Hanover, Licking County, State of Ohio.- Second Reading. Ordinance 37-2024 An Ordinance appoi",67,bounded_extracted_text_context,true,false,false,false,false,high,The excerpt documents a negotiated term but does not independently confirm payroll payment.,budget_pay_plan,negotiated_term,mixed,non_safety,The bounded language directly documents budget pay plan for the named unit or public body.,complicates,"Hanover, Ohio, Village of Hanover Council Meeting Minutes (Nov 13, 2024) — Ordinance 33-2024 salary setting, wage schedule, 2024.",CITE-fd579e21b491a90493ce9b51,WCM-02fc98da197b23e26981bbb5,"For Hanover, the excerpt states a negotiated term: Ordinance 35-2024 An Ordinance appointing and setting a stipend for a Wastewater Billing Clerk on behalf of the Village of Hanover, Licking.",budget pay plan,the budget or pay-plan process authorizes the schedule or resources through which compensation becomes operative,Mixed: the process can generate higher or lower terms; this excerpt documents one bounded outcome without establishing its net effect across workers.,The named beneficiary is non safety; the conclusion is limited to the unit actually named in the excerpt.,"The words “Ordinance 35-2024 An Ordinance appointing and setting a stipend for a Wastewater Billing Clerk on behalf of the Village of Hanover, Licking” identify the concrete premium or stipend; they show how the budget or pay-plan process authorizes the schedule or resources through which compensation becomes operative.","Complicates: the same kind of mechanism appears for a non-safety unit, showing that the institution is not unique to police or fire.","This Hanover example is one document-bound observation. It does not establish a matched same-city occupational difference, population prevalence, the size of recurring wage growth, or payment beyond the status documented as negotiated term.",complicates
REPORT-CLAIM-F-04,CLAIM-F,"Claim 6: Ordinance, Budget, and Pay-Plan Formalization",Dover,OH,require the approval of the City Council and that the provisions of this Agreement shall not be effective until approved by the City Council and prior approval by the employees of the bargaining unit; or as provided for in the dispute resolution process as outlined in 4117.14 ORC.,48,bounded_extracted_text_context,true,false,true,false,false,high,"This bounded example does not estimate a wage gap, prevalence, or causal effect.",ordinance_council_adoption,formally_adopted,unclear,fire,The bounded language directly documents ordinance council adoption for the named unit or public body.,partially supports,"Dover, Ohio, Collective Bargaining Agreement (Dover Firefighters, Local No. 324, International Association of Firefighters) [older contract], collective bargaining agreement, 2016, § ARTICLE 7 - CONTRACT APPROVAL.",CITE-ee26aa118854886d3b8e175a,WCM-5f4a3d4f2d386d3ba1b5c6e5,"For Dover, the excerpt records formal adoption: require the approval of the City Council and that the provisions of this Agreement shall not be effective until approved by the.",ordinance council adoption,a public body converts a proposed pay action into an adopted legal or administrative term,Unclear: the bounded language does not establish the net compensation direction.,The named beneficiary is fire; the conclusion is limited to the unit actually named in the excerpt.,The words “require the approval of the City Council and that the provisions of this Agreement shall not be effective until approved by the” identify the concrete compensation term; they show how a public body converts a proposed pay action into an adopted legal or administrative term.,"Partially supports: the mechanism is visible, but the bounded record alone does not establish payment, comparative magnitude, or a safety-versus-non-safety difference.","This Dover example is one document-bound observation. It does not establish a matched same-city occupational difference, population prevalence, the size of recurring wage growth, or payment beyond the status documented as formally adopted.",partially supports
REPORT-CLAIM-G-01,CLAIM-G,Claim 7: Non-Safety Counterweights,Bruceville-Eddy,TX,most employees who have completed one year of service with a 4% cost-of-living adjustment (COLA) while allocating a base pay increase for our Public Works Department to be in better alignment with market offerings.,34,bounded_extracted_text_context,false,false,false,false,false,high,"This bounded example does not estimate a wage gap, prevalence, or causal effect.",cola_cpi_indexing,unclear_status,upward,non_safety,The bounded language directly documents cola cpi indexing for the named unit or public body.,insufficient,"Bruceville-Eddy, Texas, Agenda Packet (Public Version) — City of Bruceville-Eddy, TX (PDF; includes FY budget adoption item), budget or pay plan, 2025.",CITE-af9c601aef6a2e1ebb478521,WCM-32ae0dd7404b0c8533e9afea,"For Bruceville-Eddy, the excerpt documents a term whose implementation status remains limited: most employees who have completed one year of service with a 4% cost-of-living adjustment (COLA) while allocating a base pay increase for.",cola cpi indexing,the formula links pay to an inflation measure or stated cost-of-living adjustment,"Upward: the COLA or indexing rule adds to, raises, or preserves employee compensation.",The named beneficiary is non safety; the conclusion is limited to the unit actually named in the excerpt.,The words “most employees who have completed one year of service with a 4% cost-of-living adjustment (COLA) while allocating a base pay increase for” identify the concrete COLA or indexing rule; they show how the formula links pay to an inflation measure or stated cost-of-living adjustment.,"Insufficient: the excerpt helps identify the mechanism but does not confirm an adopted, implemented, or paid outcome.","This Bruceville-Eddy example is one document-bound observation. It does not establish a matched same-city occupational difference, population prevalence, the size of recurring wage growth, or payment beyond the status documented as unclear status.",insufficient
REPORT-CLAIM-G-02,CLAIM-G,Claim 7: Non-Safety Counterweights,Wrightstown,WI,"• Assessor- $1,311.36 increase – market adjustment for 2025 Building inspection - $9,992.50 Increase (increase on salaries and contracted services)",20,bounded_extracted_text_context,false,false,false,false,false,high,"This bounded example does not estimate a wage gap, prevalence, or causal effect.",comparability_parity,unclear_status,upward,non_safety,The bounded language directly documents comparability parity for the named unit or public body.,insufficient,"Wrightstown, Wisconsin, 2026 Budget Overview Memo (Village of Wrightstown) — Police Department: Salaries & Benefits (CPI increases), budget or pay plan, 2025.",CITE-49b8b38cef2c06342a48a3ed,WCM-1ee742c8ba136c663bc89ab7,"For Wrightstown, the excerpt documents a term whose implementation status remains limited: • Assessor- $1,311.36 increase – market adjustment for 2025 Building inspection - $9,992.50 Increase (increase on salaries and contracted services).",comparability parity,the operative language connects an institutional decision to a defined compensation rule or payment,"Upward: the compensation term adds to, raises, or preserves employee compensation.",The named beneficiary is non safety; the conclusion is limited to the unit actually named in the excerpt.,"The words “• Assessor- $1,311.36 increase – market adjustment for 2025 Building inspection - $9,992.50 Increase (increase on salaries and contracted services)” identify the concrete compensation term; they show how the operative language connects an institutional decision to a defined compensation rule or payment.","Insufficient: the excerpt helps identify the mechanism but does not confirm an adopted, implemented, or paid outcome.","This Wrightstown example is one document-bound observation. It does not establish a matched same-city occupational difference, population prevalence, the size of recurring wage growth, or payment beyond the status documented as unclear status.",insufficient
REPORT-CLAIM-G-03,CLAIM-G,Claim 7: Non-Safety Counterweights,Ontario,NY,provide additional base wage increases for all the bargaining unit members as set forth more fully below. This MOA by and between the Town and CSEA is subject to ratification by the CSEA Clerical Unit membership and approval of the Town Board.,42,bounded_extracted_text_context,true,false,false,false,false,high,The excerpt documents a negotiated term but does not independently confirm payroll payment.,market_recruitment_retention,negotiated_term,upward,non_safety,The bounded language directly documents market recruitment retention for the named unit or public body.,complicates,"Ontario, New York, Memorandum of Agreement (MOA) By and Between the Town of Ontario and the Civil Service Employees Association, Inc., Local 1000, AFSCME, AFL-CIO — Clerical Unit #9111-01 (amending Jan 1, 2021–Dec 31, 2025 CBA), civil-service or HR pay plan, 2021, § CLERICAL UNIT #9II1-01.",CITE-a6188aee02c4a31dd88f0787,WCM-04e55c26cb92f005699651ae,"For Ontario, the excerpt states a negotiated term: provide additional base wage increases for all the bargaining unit members as set forth more fully below. This MOA by and between.",market recruitment retention,market or staffing evidence is used to justify compensation intended to recruit or retain workers,"Upward: the pay term adds to, raises, or preserves employee compensation.",The named beneficiary is non safety; the conclusion is limited to the unit actually named in the excerpt.,The words “provide additional base wage increases for all the bargaining unit members as set forth more fully below. This MOA by and between” identify the concrete pay term; they show how market or staffing evidence is used to justify compensation intended to recruit or retain workers.,"Complicates: the same kind of mechanism appears for a non-safety unit, showing that the institution is not unique to police or fire.","This Ontario example is one document-bound observation. It does not establish a matched same-city occupational difference, population prevalence, the size of recurring wage growth, or payment beyond the status documented as negotiated term.",complicates
REPORT-CLAIM-G-04,CLAIM-G,Claim 7: Non-Safety Counterweights,Big Bear Lake,CA,"EFFECTIVE JULY 1, 2023 TO JUNE 30, 2026 ARTICLE NO. 1 PREAMBLE 1.1 This Agreement entered into by the City of Big Bear Lake, hereinafter referred to as the “Employer,” and Teamsters Local 1932, hereinafter referred to as the “Union,” has as its purpose the promotion of harmonious relations through an equitable and constructive procedure for the resolution o",59,bounded_extracted_text_context,true,false,false,true,false,high,"This bounded example does not estimate a wage gap, prevalence, or causal effect.",retroactivity_implementation,implemented,unclear,non_safety,The bounded language directly documents retroactivity implementation for the named unit or public body.,complicates,"Big Bear Lake, California, Memorandum of Understanding (MOU) — Teamsters Local 1932, General Employees Unit (Effective July 1, 2023 to June 30, 2026), memorandum of understanding, 2023, § GENERAL EMPLOYEES UNIT.",CITE-ac8fd1af3634526945b8d5dd,WCM-07320828baa6abf5cfd3efa9,"For Big Bear Lake, the excerpt sets an operative term: EFFECTIVE JULY 1, 2023 TO JUNE 30, 2026 ARTICLE NO. 1 PREAMBLE 1.1 This Agreement entered into by the City of Big.",retroactivity implementation,"the effective date reaches backward, converting a later decision into compensation owed for an earlier period",Unclear: the bounded language does not establish the net compensation direction.,The named beneficiary is non safety; the conclusion is limited to the unit actually named in the excerpt.,"The words “EFFECTIVE JULY 1, 2023 TO JUNE 30, 2026 ARTICLE NO. 1 PREAMBLE 1.1 This Agreement entered into by the City of Big” identify the concrete compensation term; they show how the effective date reaches backward, converting a later decision into compensation owed for an earlier period.","Complicates: the same kind of mechanism appears for a non-safety unit, showing that the institution is not unique to police or fire.","This Big Bear Lake example is one document-bound observation. It does not establish a matched same-city occupational difference, population prevalence, the size of recurring wage growth, or payment beyond the status documented as implemented.",complicates
