municipality,reviewed_rows,source_review_ready,ready_high,ready_medium,ready_low,deferred_or_excluded,global_analysis_readiness
Azle,5,5,2,3,0,0,false
Aztec,2,2,2,0,0,0,false
Azusa,2,0,0,0,0,2,false
Babylon,3,2,2,0,0,1,false
Bainville,2,2,2,0,0,0,false
Baker,2,1,0,1,0,1,false
Baldwin,7,4,1,3,0,3,false
Baldwin Park,3,0,0,0,0,3,false
Baldwinsville,1,0,0,0,0,1,false
Ball,3,0,0,0,0,3,false
Baltimore,2,2,1,1,0,0,false
Bandon,4,1,1,0,0,3,false
Banks,2,2,2,0,0,0,false
Bar Harbor,2,2,2,0,0,0,false
Bar Nunn,5,3,2,1,0,2,false
Barboursville,2,1,0,1,0,1,false
Bardstown,5,3,0,2,1,2,false
Barling,3,0,0,0,0,3,false
Barnstead,3,2,0,2,0,1,false
Barnwell,2,2,1,1,0,0,false
Barrington,12,9,9,0,0,3,false
Barton,1,1,0,1,0,0,false
Basalt,3,0,0,0,0,3,false
Basehor,2,1,1,0,0,1,false
Bastrop,2,2,2,0,0,0,false
Batavia,4,2,0,2,0,2,false
Batesburg-Leesville,4,1,0,1,0,3,false
Batesville,7,5,3,2,0,2,false
Bath,7,5,5,0,0,2,false
Battlefield,3,0,0,0,0,3,false
Baxter,2,0,0,0,0,2,false
Baxter Springs,2,2,1,1,0,0,false
Bay City,7,0,0,0,0,7,false
Bay Harbor Islands,3,1,1,0,0,2,false
Bay Minette,3,0,0,0,0,3,false
Bay St. Louis,1,1,1,0,0,0,false
Bayard,4,4,3,1,0,0,false
Bayfield,2,0,0,0,0,2,false
Bayside,2,2,1,1,0,0,false
Beach,3,1,0,1,0,2,false
Beach Park,3,3,0,3,0,0,false
Beachwood,2,0,0,0,0,2,false
Bear River,1,1,1,0,0,0,false
Beaufort,1,1,1,0,0,0,false
Beaumont,2,1,0,1,0,1,false
Beaver Falls,1,1,0,1,0,0,false
Beavercreek,2,1,1,0,0,1,false
Beaverton,3,3,0,3,0,0,false
Becker,3,3,2,1,0,0,false
Bedford,9,1,0,1,0,8,false
Beebe,2,2,2,0,0,0,false
Beech Grove,2,2,2,0,0,0,false
Beekman,1,1,1,0,0,0,false
Beeville,3,3,0,3,0,0,false
Bel Aire,2,2,2,0,0,0,false
Belchertown,5,1,0,1,0,4,false
Belding,2,2,0,2,0,0,false
Belgrade,4,3,3,0,0,1,false
Belington,2,2,1,1,0,0,false
Bella Vista,2,1,0,1,0,1,false
Belle,3,3,2,1,0,0,false
Belle Isle,2,2,0,2,0,0,false
Belle Plaine,1,1,1,0,0,0,false
Belleair,1,1,0,1,0,0,false
Bellefontaine Neighbors,2,2,0,2,0,0,false
Bellefonte,4,4,2,2,0,0,false
Belleview,1,1,0,1,0,0,false
Belleville,3,3,3,0,0,0,false
Bellevue,3,1,1,0,0,2,false
Bellingham,7,0,0,0,0,7,false
Bellmawr,3,2,2,0,0,1,false
Bellows Falls,1,0,0,0,0,1,false
Bellwood,5,4,1,3,0,1,false
Belmont,6,4,2,2,0,2,false
Belton,4,4,0,4,0,0,false
Belvidere,3,0,0,0,0,3,false
Benbrook,4,1,0,1,0,3,false
Bennet,1,1,1,0,0,0,false
Bennettsville,3,3,0,3,0,0,false
Bennington,6,6,0,3,3,0,false
Bensalem,5,0,0,0,0,5,false
Bensenville,4,0,0,0,0,4,false
Benton,6,6,3,1,2,0,false
Benton City,1,1,1,0,0,0,false
Benton charter,3,3,2,1,0,0,false
Benwood,1,1,1,0,0,0,false
Berea,3,0,0,0,0,3,false
Beresford,1,1,0,1,0,0,false
Berkeley,3,3,3,0,0,0,false
Berkeley Heights,3,3,0,3,0,0,false
Berlin,7,5,2,3,0,2,false
Bernardsville,2,2,2,0,0,0,false
Berthold,1,1,1,0,0,0,false
Berwick,6,6,3,3,0,0,false
Berwyn,1,1,0,1,0,0,false
Berwyn Heights,1,1,1,0,0,0,false
Bessemer,3,1,1,0,0,2,false
Bethany,2,0,0,0,0,2,false
Bethel,5,3,3,0,0,2,false
Bethlehem,1,0,0,0,0,1,false
Beulah,3,1,0,1,0,2,false
Beverly Hills,3,3,0,3,0,0,false
Big Lake,2,1,1,0,0,1,false
Big Rapids,2,1,0,1,0,1,false
Big Sandy,2,2,2,0,0,0,false
Big Spring,2,1,0,1,0,1,false
Big Stone Gap,2,2,1,1,0,0,false
Billerica,3,0,0,0,0,3,false
Bisbee,2,0,0,0,0,2,false
Bishopville,3,1,1,0,0,2,false
Black Diamond,3,0,0,0,0,3,false
Black Jack,2,2,2,0,0,0,false
Black River Falls,2,1,0,1,0,1,false
Blackfoot,3,1,0,1,0,2,false
Blackstone,2,0,0,0,0,2,false
Blades,2,2,2,0,0,0,false
Blaine,3,0,0,0,0,3,false
Blair,1,0,0,0,0,1,false
Blakely,1,1,0,1,0,0,false
Blanchard,2,1,1,0,0,1,false
Bloom,1,1,0,1,0,0,false
Bloomer,4,2,2,0,0,2,false
Bloomfield,11,5,1,4,0,6,false
Bloomington,7,1,0,1,0,6,false
Bloomington City,1,1,0,1,0,0,false
Blue Ash,2,2,1,1,0,0,false
Blue Springs,2,0,0,0,0,2,false
Bluefield,2,2,0,2,0,0,false
Bluffton,3,0,0,0,0,3,false
Blythe,6,6,3,3,0,0,false
Blytheville,1,0,0,0,0,1,false
Blythewood,1,1,0,1,0,0,false
Boardman,5,5,5,0,0,0,false
Boerne,3,2,1,1,0,1,false
Bogota,2,1,1,0,0,1,false
Bolivar,6,4,1,3,0,2,false
Bondurant,2,0,0,0,0,2,false
Bonner Springs,2,1,1,0,0,1,false
Bonners Ferry,3,0,0,0,0,3,false
Boone,3,1,0,1,0,2,false
Booneville,4,4,1,3,0,0,false
Boonsboro,3,3,3,0,0,0,false
Boonton,3,0,0,0,0,3,false
Boonville,4,3,1,2,0,1,false
Boothbay,1,1,1,0,0,0,false
Boscawen,3,3,3,0,0,0,false
Boscobel,2,2,1,1,0,0,false
Bosque Farms,4,0,0,0,0,4,false
Bottineau,1,1,0,1,0,0,false
Boulder,2,1,0,1,0,1,false
Bourbonnais,2,2,0,1,1,0,false
Bourne,6,1,0,1,0,5,false
Bow,3,0,0,0,0,3,false
Bowers,1,1,1,0,0,0,false
Bradford,6,6,2,4,0,0,false
Bradley,3,3,3,0,0,0,false
Brandenburg,1,1,1,0,0,0,false
Brandon,1,1,1,0,0,0,false
Branford,4,0,0,0,0,4,false
Brattleboro,4,2,0,2,0,2,false
Brazil,3,3,3,0,0,0,false
Breaux Bridge,2,2,1,1,0,0,false
Bremen,2,1,0,1,0,1,false
Brenham,2,2,0,2,0,0,false
Brentwood,12,5,4,1,0,7,false
Brevard,2,0,0,0,0,2,false
Brewster,3,1,0,1,0,2,false
Briarcliff Manor,2,2,0,2,0,0,false
Brick,2,0,0,0,0,2,false
Bridgeport,3,3,1,2,0,0,false
Bridger,1,1,0,1,0,0,false
Bridgeton,4,0,0,0,0,4,false
Bridgeview,2,2,0,2,0,0,false
Bridgeville,3,3,3,0,0,0,false
Bridgewater,5,3,0,3,0,2,false
Bridgton,2,2,2,0,0,0,false
Brier,1,1,0,1,0,0,false
Brigantine,2,0,0,0,0,2,false
Brigham City,4,3,0,3,0,1,false
Brighton,6,5,1,4,0,1,false
Bristol,15,6,1,5,0,9,false
Bristow,3,3,1,2,0,0,false
Britton,1,1,0,1,0,0,false
Broadus,2,2,2,0,0,0,false
Broadway,1,1,1,0,0,0,false
Brockport,2,2,2,0,0,0,false
Brodhead,1,1,0,1,0,0,false
Broken Bow,2,2,2,0,0,0,false
Brookfield,11,10,3,6,1,1,false
Brookhaven,8,4,2,1,1,4,false
Brookland,3,2,2,0,0,1,false
Brookline,6,4,4,0,0,2,false
Brooklyn,4,1,0,1,0,3,false
Brooksville,2,0,0,0,0,2,false
Brownstown charter,1,1,0,0,1,0,false
Brownsville,2,1,1,0,0,1,false
Brownwood,4,2,2,0,0,2,false
Brunswick,9,4,2,2,0,5,false
Brush,1,1,0,1,0,0,false
Brusly,1,1,0,1,0,0,false
Bryant,1,0,0,0,0,1,false
Buckeye,1,1,0,1,0,0,false
Buckhannon,3,3,3,0,0,0,false
Buckingham,2,2,0,2,0,0,false
Buckley,3,1,1,0,0,2,false
Bucksport,1,1,0,1,0,0,false
Bucyrus,1,1,0,1,0,0,false
Buena Park,2,0,0,0,0,2,false
Buena Vista,7,5,4,1,0,2,false
Buffalo,4,3,1,2,0,1,false
Buffalo Grove,1,1,0,1,0,0,false
Buford,3,3,1,2,0,0,false
Buhl,2,2,1,1,0,0,false
Bullhead City,3,3,1,2,0,0,false
Bunnell,3,0,0,0,0,3,false
Burbank,1,1,0,1,0,0,false
Burlington,16,5,4,1,0,11,false
Burns,1,1,1,0,0,0,false
Burnsville,3,3,0,2,1,0,false
Burr Ridge,3,2,0,2,0,1,false
Burrillville,3,2,2,0,0,1,false
Butler,5,5,3,2,0,0,false
Butner,2,0,0,0,0,2,false
Buxton,1,1,1,0,0,0,false
Byhalia,1,1,0,1,0,0,false
Byron,2,2,1,1,0,0,false
Cadillac,3,3,0,3,0,0,false
Cahokia Heights,1,1,0,1,0,0,false
Calais,2,2,0,2,0,0,false
Caldwell,3,1,1,0,0,2,false
Caledonia,3,3,0,3,0,0,false
Calera,9,3,1,2,0,6,false
Calhoun,3,3,0,3,0,0,false
Caliente,3,1,1,0,0,2,false
California City,5,4,3,1,0,1,false
Calimesa,3,3,3,0,0,0,false
Calumet,2,2,0,2,0,0,false
Camanche,2,0,0,0,0,2,false
Cambridge,2,1,1,0,0,1,false
Camden,5,4,0,4,0,1,false
Cameron,2,2,1,1,0,0,false
Camillus,3,3,0,3,0,0,false
Camp Hill,1,1,1,0,0,0,false
Camp Verde,1,1,0,1,0,0,false
Campbellsville,2,0,0,0,0,2,false
Campton,4,2,0,2,0,2,false
Canaan,3,0,0,0,0,3,false
Canandaigua,3,3,3,0,0,0,false
Cando,2,2,2,0,0,0,false
Canfield,2,2,2,0,0,0,false
Cannon Beach,5,0,0,0,0,5,false
Cannon Falls,2,1,1,0,0,1,false
Canton,17,4,2,2,0,13,false
Canton charter,6,0,0,0,0,6,false
Canyon,1,0,0,0,0,1,false
Canyon Lake,2,2,0,2,0,0,false
Canyonville,3,3,3,0,0,0,false
Cape Elizabeth,2,0,0,0,0,2,false
Capitan,2,1,0,1,0,1,false
Capitol Heights,1,0,0,0,0,1,false
Capitola,3,0,0,0,0,3,false
Carefree,2,2,1,1,0,0,false
Carencro,3,2,1,1,0,1,false
Carey,3,3,2,1,0,0,false
Carl Junction,2,1,1,0,0,1,false
Carlin,4,3,3,0,0,1,false
Carlisle,4,2,2,0,0,2,false
Carmel,3,1,0,0,1,2,false
Carnation,2,1,1,0,0,1,false
Carnegie,2,2,1,1,0,0,false
Carpinteria,3,3,3,0,0,0,false
Carrboro,2,1,0,1,0,1,false
Carrington,2,2,1,1,0,0,false
Carrizozo,3,3,2,1,0,0,false
Carroll,2,2,2,0,0,0,false
Carrollton,2,2,0,2,0,0,false
Carson,1,0,0,0,0,1,false
Carter Lake,2,2,1,1,0,0,false
Cartersville,2,1,0,1,0,1,false
Carthage,3,2,0,2,0,1,false
Caruthersville,1,1,1,0,0,0,false
Carver,6,6,5,1,0,0,false
Cary,3,1,0,1,0,2,false
Cascade,3,3,2,1,0,0,false
Cascade Locks,1,1,1,0,0,0,false
Casco,1,1,0,1,0,0,false
Caseyville,1,1,0,1,0,0,false
Cashmere,1,1,1,0,0,0,false
Castle Dale,2,2,2,0,0,0,false
Castle Pines,2,2,1,1,0,0,false
Castle Rock,6,3,1,1,1,3,false
Castle Shannon,1,1,1,0,0,0,false
Castleton,2,1,1,0,0,1,false
Castlewood,4,4,2,2,0,0,false
Catasauqua,1,1,1,0,0,0,false
Catoosa,1,1,1,0,0,0,false
Cave City,5,5,1,4,0,0,false
Cave Creek,3,1,1,0,0,2,false
Cave Springs,2,0,0,0,0,2,false
Cayce,3,2,1,1,0,1,false
Cañon City,3,3,0,3,0,0,false
Cecil,3,3,0,3,0,0,false
Cecilton,3,3,3,0,0,0,false
Cedar Creek,2,2,0,2,0,0,false
Cedar Grove,1,0,0,0,0,1,false
Cedar Hills,2,2,2,0,0,0,false
Cedar Lake,5,5,2,3,0,0,false
Cedaredge,2,0,0,0,0,2,false
Center,2,2,0,2,0,0,false
Center Line,1,1,0,1,0,0,false
Center Point,2,2,2,0,0,0,false
Centerton,1,0,0,0,0,1,false
Centerville,3,1,0,1,0,2,false
Centralia,6,0,0,0,0,6,false
Centre,1,1,0,1,0,0,false
Centreville,4,0,0,0,0,4,false
Ceredo,1,1,0,1,0,0,false
Ceres,2,2,1,1,0,0,false
Ceresco,1,1,1,0,0,0,false
Chadron,2,0,0,0,0,2,false
Chagrin Falls,2,2,2,0,0,0,false
Chama,2,0,0,0,0,2,false
Chamblee,1,1,0,1,0,0,false
Champaign City,2,2,0,1,1,0,false
Channahon,4,4,1,2,1,0,false
Chanute,2,2,2,0,0,0,false
Chariton,2,2,1,1,0,0,false
Charles City,3,3,1,2,0,0,false
Charles Town,2,1,0,1,0,1,false
Charleston,7,7,1,4,2,0,false
Charlestown,5,4,4,0,0,1,false
Charlotte,5,4,4,0,0,1,false
Charlton,5,0,0,0,0,5,false
Chase City,3,3,1,2,0,0,false
Chaska,1,1,0,0,1,0,false
Chatfield,1,1,0,1,0,0,false
Chatham,5,1,1,0,0,4,false
Chattahoochee,1,1,0,1,0,0,false
Cheboygan,3,3,0,3,0,0,false
Checotah,2,2,1,1,0,0,false
Cheektowaga,1,1,0,1,0,0,false
Chehalis,3,1,1,0,0,2,false
Chelan,2,0,0,0,0,2,false
Chelmsford,4,0,0,0,0,4,false
Chelsea,1,1,0,1,0,0,false
Cheney,2,2,0,2,0,0,false
Cheraw,1,0,0,0,0,1,false
Cherokee,3,1,1,0,0,2,false
Cherokee Village,2,2,2,0,0,0,false
Cherry Hill,2,0,0,0,0,2,false
Cherry Hills Village,3,2,2,0,0,1,false
Cherry Valley,3,0,0,0,0,3,false
Cherryvale,2,2,0,2,0,0,false
Chesapeake,3,0,0,0,0,3,false
Cheshire,5,1,0,1,0,4,false
Chester,6,6,4,2,0,0,false
Chesterfield,5,0,0,0,0,5,false
Chesterton,6,1,0,1,0,5,false
Cheswold,2,2,2,0,0,0,false
Cheverly,2,1,0,0,1,1,false
Chevy Chase,1,0,0,0,0,1,false
Chevy Chase Village,2,0,0,0,0,2,false
Chewelah,2,0,0,0,0,2,false
Chicago Ridge,4,0,0,0,0,4,false
Chickasaw,2,2,1,1,0,0,false
Chickasha,5,3,2,1,0,2,false
Chilhowie,2,2,2,0,0,0,false
Chilton,2,1,1,0,0,1,false
China,2,2,1,1,0,0,false
Chincoteague,2,2,2,0,0,0,false
Chino,1,0,0,0,0,1,false
Chino Valley,4,0,0,0,0,4,false
Chinook,2,0,0,0,0,2,false
Chisholm,2,2,2,0,0,0,false
Choctaw,2,2,0,2,0,0,false
Choteau,2,1,0,1,0,1,false
Chowchilla,3,0,0,0,0,3,false
Christiansburg,5,3,1,2,0,2,false
Chubbuck,6,3,0,3,0,3,false
Church Hill,3,3,1,2,0,0,false
Church Point,3,3,1,2,0,0,false
Cicero,3,3,2,1,0,0,false
Cimarron,1,1,0,1,0,0,false
Cincinnati,4,4,4,0,0,0,false
Circle,2,2,0,2,0,0,false
Citrus Heights,1,1,0,1,0,0,false
Claremore,3,3,0,3,0,0,false
Clarendon,1,1,1,0,0,0,false
Clarinda,2,2,1,1,0,0,false
Clarion,2,2,1,1,0,0,false
Clark,4,3,1,1,1,1,false
Clark Fork,2,2,2,0,0,0,false
Clarkdale,2,0,0,0,0,2,false
Clarkston,8,7,3,3,1,1,false
Clatskanie,3,2,2,0,0,1,false
Clawson,1,1,0,1,0,0,false
Clay,2,0,0,0,0,2,false
Clayton,6,0,0,0,0,6,false
Cle Elum,2,2,2,0,0,0,false
Clear Lake,4,4,3,1,0,0,false
Clearmont,2,2,2,0,0,0,false
Clearwater,2,2,1,1,0,0,false
Clemmons,4,4,1,3,0,0,false
Clemson,2,2,0,2,0,0,false
Cleveland,10,9,4,5,0,1,false
Cleves,4,0,0,0,0,4,false
Clewiston,1,0,0,0,0,1,false
Clifton,2,2,0,2,0,0,false
Clifton Forge,2,2,2,0,0,0,false
Clifton Heights,2,1,0,1,0,1,false
Clinton,22,8,4,4,0,14,false
Clinton charter,5,0,0,0,0,5,false
Clintonville,2,0,0,0,0,2,false
Cloquet,4,0,0,0,0,4,false
Closter,1,0,0,0,0,1,false
Cloudcroft,5,3,3,0,0,2,false
Clover,2,2,0,2,0,0,false
Cloverdale,3,0,0,0,0,3,false
Clyde Hill,2,2,1,1,0,0,false
Clyde Park,2,2,0,2,0,0,false
Coalville,1,0,0,0,0,1,false
Coburg,1,1,0,1,0,0,false
Cocoa Beach,1,1,0,1,0,0,false
Coffeyville,2,2,1,1,0,0,false
Colby,3,3,3,0,0,0,false
Colchester,8,6,3,3,0,2,false
Cold Spring,3,3,3,0,0,0,false
Coldwater,1,1,0,0,1,0,false
Colerain,2,1,1,0,0,1,false
Colfax,2,0,0,0,0,2,false
College Place,1,0,0,0,0,1,false
Colleyville,3,0,0,0,0,3,false
Collingdale,3,2,0,2,0,1,false
Collinsville,4,4,2,2,0,0,false
Colman,1,0,0,0,0,1,false
Colonial Beach,1,0,0,0,0,1,false
Colonial Heights,2,1,1,0,0,1,false
Colorado City,3,3,1,1,1,0,false
Colstrip,2,2,2,0,0,0,false
Colton,2,2,1,1,0,0,false
Columbia,7,2,1,1,0,5,false
Columbia City,3,3,3,0,0,0,false
Columbus,8,4,2,2,0,4,false
Columbus Grove,3,1,1,0,0,2,false
Colusa,1,1,0,1,0,0,false
Colville,1,0,0,0,0,1,false
Combined Locks,2,2,0,2,0,0,false
Commerce,1,0,0,0,0,1,false
Commerce City,5,2,0,1,1,3,false
Commerce charter,3,3,0,0,3,0,false
Comstock charter,2,1,0,1,0,1,false
Concord,9,5,2,3,0,4,false
Connell,3,3,0,3,0,0,false
Connellsville,3,3,3,0,0,0,false
Connersville,2,0,0,0,0,2,false
Conover,2,2,1,1,0,0,false
Conrad,2,0,0,0,0,2,false
Conshohocken,1,1,1,0,0,0,false
Converse,1,0,0,0,0,1,false
Conway,2,2,2,0,0,0,false
Conyers,1,0,0,0,0,1,false
Coolbaugh,1,1,0,1,0,0,false
Coolidge,4,4,2,1,1,0,false
Coon Rapids,2,2,0,2,0,0,false
Cooperstown,3,3,3,0,0,0,false
Coopersville,2,2,1,1,0,0,false
Coopertown,2,2,0,2,0,0,false
Coquille,1,1,1,0,0,0,false
Corcoran,5,4,2,2,0,1,false
Cordele,3,1,0,1,0,2,false
Cordova,2,1,0,1,0,1,false
Corinth,1,0,0,0,0,1,false
Cornelius,1,1,0,1,0,0,false
Corning,6,2,0,2,0,4,false
Coronado,6,6,4,2,0,0,false
Corry,3,2,1,1,0,1,false
Corsicana,2,2,1,1,0,0,false
Corte Madera,3,1,1,0,0,2,false
Cortez,3,2,2,0,0,1,false
Corvallis,1,1,0,1,0,0,false
Cosmopolis,2,2,1,1,0,0,false
Cotati,4,0,0,0,0,4,false
Cottage City,3,1,1,0,0,2,false
Cottonwood,1,0,0,0,0,1,false
Cottonwood Heights,2,0,0,0,0,2,false
Council,1,1,1,0,0,0,false
Council Grove,3,3,0,3,0,0,false
Country Club Hills,7,6,2,4,0,1,false
Coupeville,2,2,2,0,0,0,false
Coventry,7,4,4,0,0,3,false
Covina,2,2,1,1,0,0,false
Covington,10,9,1,5,3,1,false
Coweta,2,2,0,2,0,0,false
Cozad,2,0,0,0,0,2,false
Craig,3,0,0,0,0,3,false
Cranford,1,0,0,0,0,1,false
Credit River,2,1,0,1,0,1,false
Creighton,1,1,0,1,0,0,false
Crescent City,2,2,2,0,0,0,false
Crescent Springs,1,0,0,0,0,1,false
Cresskill,3,3,3,0,0,0,false
Crest Hill,3,3,0,3,0,0,false
Creston,3,3,2,1,0,0,false
Crestwood,4,1,0,1,0,3,false
Crete,6,5,4,1,0,1,false
Crewe,1,0,0,0,0,1,false
Crisfield,1,0,0,0,0,1,false
Crittenden,4,2,1,1,0,2,false
Cromwell,4,1,1,0,0,3,false
Crooks,2,2,0,2,0,0,false
Crookston,2,2,2,0,0,0,false
Crooksville,3,3,3,0,0,0,false
Cross Plains,2,2,2,0,0,0,false
Crossett,2,2,2,0,0,0,false
Crossville,2,1,0,1,0,1,false
Croton-on-Hudson,2,1,1,0,0,1,false
Crowley,5,1,0,0,1,4,false
Crystal River,3,0,0,0,0,3,false
Crystal Springs,2,2,0,2,0,0,false
Cuba,2,2,1,1,0,0,false
Cuba City,1,1,1,0,0,0,false
Culbertson,2,1,0,1,0,1,false
Cullman,3,1,0,1,0,2,false
Culpeper,4,3,2,1,0,1,false
Culver,1,1,1,0,0,0,false
Cumberland,8,2,0,2,0,6,false
Cumru,2,2,0,2,0,0,false
Cushing,2,2,2,0,0,0,false
Custer,1,0,0,0,0,1,false
Cut Bank,3,1,0,1,0,2,false
D'Iberville,2,1,1,0,0,1,false
Dacono,3,2,2,0,0,1,false
Dade City,5,4,1,3,0,1,false
Dalhart,2,1,1,0,0,1,false
Dallas,2,0,0,0,0,2,false
Dalton,2,2,0,2,0,0,false
Daly City,2,0,0,0,0,2,false
Danvers,3,3,3,0,0,0,false
Danville,10,5,4,1,0,5,false
Daphne,4,1,0,1,0,3,false
Darby,2,2,0,2,0,0,false
Dardanelle,3,1,1,0,0,2,false
Dardenne Prairie,5,1,0,1,0,4,false
Darien,3,0,0,0,0,3,false
Dartmouth,4,2,1,1,0,2,false
Davenport,1,0,0,0,0,1,false
David City,2,2,1,1,0,0,false
Davidson,5,3,0,3,0,2,false
Davison,4,2,2,0,0,2,false
Dayton,6,3,1,2,0,3,false
Daytona Beach Shores,2,1,1,0,0,1,false
De Pere,1,1,1,0,0,0,false
De Smet,1,1,1,0,0,0,false
De Soto,2,0,0,0,0,2,false
De Witt,3,3,0,3,0,0,false
DeFuniak Springs,2,0,0,0,0,2,false
DeKalb,3,0,0,0,0,3,false
DeWitt,3,3,2,1,0,0,false
DeWitt charter,2,2,0,2,0,0,false
Deadwood,2,2,1,1,0,0,false
Decatur,4,4,1,3,0,0,false
Decorah,1,1,1,0,0,0,false
Dedham,2,0,0,0,0,2,false
Deer Lodge,3,1,0,1,0,2,false
Deer Park,1,1,1,0,0,0,false
Deerfield,1,1,0,1,0,0,false
Defiance,1,1,1,0,0,0,false
Del City,7,4,2,1,1,3,false
Del Rio,2,2,1,0,1,0,false
Delafield,8,8,8,0,0,0,false
