MIME_type,SHA_256,administrative_source_type,analytical_rows_extracted,byte_size,candidate_fanout,canonical_payload_id,canonical_retained_source_ids,canonical_source_fanout,canonical_source_record_ids,claim_fanout,deferred_queue,department_scope,detected_file_type,diagnostic_full_text_persisted,diagnostics_json,duplicate_retained_source_ids,event_fanout,expected_claim_upgrade_tags,extraction_priority,extraction_ready,inspected_at,inspection_runtime_seconds,linked_candidate_ids,linked_claim_ids,linked_mechanism_exposure_event_ids,linked_root_event_ids,linked_search_waves,local_artifact_path,municipality,ocr_performed,original_filename,payload_origin,period,primary_extraction_queue,prior_retained_source_reuse_ids,readiness_lane_id,readiness_lane_sequence,readiness_reason_codes,readiness_result_id,readiness_status,review_priority,secondary_processing_hints,secondary_source_families,side_scope,source_family,source_quality,state,version_relationship_ids,retained_source_ids,duplicate_source_ids,prior_reuse_source_ids,candidate_ids,search_wave_provenance,municipality_names,states,periods,side_scopes,department_scopes,primary_source_family,root_event_ids,mechanism_event_ids,claim_ids,extraction_lane_id,extraction_lane_sequence
text/html; charset=utf-8,3f83cf130e4d49f4f764f38c72c141d7dd92eff5f1599382613834ea76ed09fc,payroll_roster,0,57104,1,EXTPAYLOAD-1d7848adb1643fb80adce04b,EXTSOURCE-1d7848adb1643fb80adce04b,1,EXTREADYQ-0ddaf819ef19a06a8a029f29,6,,side_independent,html,False,"{""bounded_inspection"":false,""bytes_inspected"":57104,""diagnostic_text_persisted"":false,""encoding"":""UTF-8"",""form_count"":3,""link_count"":106,""navigation_density"":0.130381,""payload_bytes"":57104,""row_element_count"":2,""script_count"":11,""structured_data_script_count"":0,""table_count"":4,""valid_html_structure"":true,""visible_text_characters"":5279}",,5,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,2026-08-05T18:54:39.831985+00:00,0.00174,EXTCAND-86efaf923c8cba7eb4f521b7,,MECHEXP-9e328875d57f790dae2f8521|MECHEXP-c66aff3a525ce5bdcc618dde|MECHEXP-e3ec0ea282d5c6d59f5a5b0b|MECHEXP-fbd34cb87c0f81b50af66328,ROOTCOMP-f94a0f5c0b6801dcd73a9ec1,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/3f83cf130e4d49f4f764f38c72c141d7dd92eff5f1599382613834ea76ed09fc.html,Towanda,False,075_055_0015_k,current_30_gib_store,2026,html_table_candidate_queue,,readiness_lane_001,202,html_table_structure_present,EXTREADINESS-6e7f97a78e3419a1c2edb780,html_table_candidate_ready,high,table_candidate,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,side_independent,multi_family_administrative_source,official_administrative_summary,KS,,EXTSOURCE-1d7848adb1643fb80adce04b,,,EXTCAND-86efaf923c8cba7eb4f521b7,external_search_wave_001_compacted,Towanda,KS,2026,side_independent,side_independent,multi_family_administrative_source,ROOTCOMP-f94a0f5c0b6801dcd73a9ec1,MECHEXP-9e328875d57f790dae2f8521|MECHEXP-c66aff3a525ce5bdcc618dde|MECHEXP-e3ec0ea282d5c6d59f5a5b0b|MECHEXP-fbd34cb87c0f81b50af66328,,extraction_lane_001,210
text/html; charset=utf-8,09ee0533589d5ef8beeea02f2260fc04cb7e4a21e2a00e77a5ad5e922946d2b3,payroll_roster,0,31533,1,EXTPAYLOAD-1d7bf319685b0ba4c904bca4,EXTSOURCE-1d7bf319685b0ba4c904bca4,1,EXTREADYQ-b5c137b437884954b51bbcd4,4,,unclear,html,False,"{""bounded_inspection"":false,""bytes_inspected"":31533,""diagnostic_text_persisted"":false,""encoding"":""utf-8"",""form_count"":0,""link_count"":74,""navigation_density"":0.065313,""payload_bytes"":31533,""row_element_count"":0,""script_count"":15,""structured_data_script_count"":0,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":7658}",,6,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,extraction_priority_high,True,2026-08-05T18:57:40.338105+00:00,0.003842,RESCAND-287d1165ce27d7c7c01311d7,,MECHEXP-4b3b4542329b883fd14afeb5|MECHEXP-5933defc466caa6561cf803f|MECHEXP-92445071dd63c20cbc346fa5|MECHEXP-dc7ca0d0f24c5884cef3a6c9|MECHEXP-f1ddc272da56714995eae65d,ROOTCOMP-20d362c553e5f0b7021d284a,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/09ee0533589d5ef8beeea02f2260fc04cb7e4a21e2a00e77a5ad5e922946d2b3.html,Attica,False,vacancyDetailsView.cfm,current_30_gib_store,2025,html_text_extraction_queue,,readiness_lane_002,209,substantive_visible_html_text,EXTREADINESS-128a966794ebd7d869725168,html_text_ready,high,,implementation_confirmation|payroll_and_earnings,unclear,staffing_and_headcount,official_administrative_summary,NY,EXTVERSION-10ad4af07c18b5ff1b86d51b,EXTSOURCE-1d7bf319685b0ba4c904bca4,,,RESCAND-287d1165ce27d7c7c01311d7,external_search_wave_002_exhaustive_residual,Attica,NY,2025,unclear,unclear,staffing_and_headcount,ROOTCOMP-20d362c553e5f0b7021d284a,MECHEXP-4b3b4542329b883fd14afeb5|MECHEXP-5933defc466caa6561cf803f|MECHEXP-92445071dd63c20cbc346fa5|MECHEXP-dc7ca0d0f24c5884cef3a6c9|MECHEXP-f1ddc272da56714995eae65d,,extraction_lane_001,211
text/html; charset=utf-8,0c0df75336f1522c508c7bb37f8a1378e1f90fa0d2ee91e2745e01782a72322b,payroll_roster,0,116367,1,EXTPAYLOAD-1d83c8a159181f67aa531775,EXTSOURCE-1d83c8a159181f67aa531775,1,EXTREADYQ-18cf9020b076282b6bd92511,6,,all_units,html,False,"{""bounded_inspection"":false,""bytes_inspected"":116367,""diagnostic_text_persisted"":false,""encoding"":""UTF-8"",""form_count"":2,""link_count"":106,""navigation_density"":0.210736,""payload_bytes"":116367,""row_element_count"":0,""script_count"":44,""structured_data_script_count"":0,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":3244}",,13,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,2026-08-05T18:54:39.835427+00:00,0.002728,EXTCAND-437f05dfbedb2aa5ed613d66,,MECHEXP-0ea430b0573572022651f3ce|MECHEXP-47b0512f4b4eda599940d02e|MECHEXP-6b5488fdfb14dd11e08f91ba|MECHEXP-83fdf1b72a51b64e55133d40|MECHEXP-98d8cdf0dfb7b8be95283c6b|MECHEXP-a7f279f7b7f8ccb70e1d42de|MECHEXP-bf4769c239fbc3e1dd6fbdf4|MECHEXP-c1dd122c3ad31739258f914a|MECHEXP-c96a87a45a197085709e72e0|MECHEXP-e8ae6cb56e261b59e0b4412f,ROOTCOMP-0db5f6ffbf0221be6417fa99|ROOTCOMP-dc1e5e169fb02e6af4ea35bc|ROOTCOMP-f5515d3074307e09d82f43c3,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/0c0df75336f1522c508c7bb37f8a1378e1f90fa0d2ee91e2745e01782a72322b.html,Mifflin,False,Tax-Map-Download-Section-Complete-Townsh,current_30_gib_store,2024,html_text_extraction_queue,,readiness_lane_001,203,substantive_visible_html_text,EXTREADINESS-02d7aa4d8ed3d3906c772b26,html_text_ready,high,,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,all_units,multi_family_administrative_source,official_administrative_summary,OH,,EXTSOURCE-1d83c8a159181f67aa531775,,,EXTCAND-437f05dfbedb2aa5ed613d66,external_search_wave_001_compacted,Mifflin,OH,2024,all_units,all_units,multi_family_administrative_source,ROOTCOMP-0db5f6ffbf0221be6417fa99|ROOTCOMP-dc1e5e169fb02e6af4ea35bc|ROOTCOMP-f5515d3074307e09d82f43c3,MECHEXP-0ea430b0573572022651f3ce|MECHEXP-47b0512f4b4eda599940d02e|MECHEXP-6b5488fdfb14dd11e08f91ba|MECHEXP-83fdf1b72a51b64e55133d40|MECHEXP-98d8cdf0dfb7b8be95283c6b|MECHEXP-a7f279f7b7f8ccb70e1d42de|MECHEXP-bf4769c239fbc3e1dd6fbdf4|MECHEXP-c1dd122c3ad31739258f914a|MECHEXP-c96a87a45a197085709e72e0|MECHEXP-e8ae6cb56e261b59e0b4412f,,extraction_lane_001,212
text/html,85a85920b7c4777982f2a5066e2054948de9dee0dd0444883ad7f9af535128d3,staffing_table,0,102849,1,EXTPAYLOAD-1dea918f50f7c54647a868e9,EXTSOURCE-1dea918f50f7c54647a868e9,1,EXTREADYQ-527de38076780fbf02c44004,4,,all_units,html,False,"{""bounded_inspection"":false,""bytes_inspected"":102849,""diagnostic_text_persisted"":false,""encoding"":""UTF-8"",""form_count"":0,""link_count"":93,""navigation_density"":0.015161,""payload_bytes"":102849,""row_element_count"":0,""script_count"":7,""structured_data_script_count"":0,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":38908}",,5,upgrades_implementation_confirmation|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,2026-08-05T19:00:40.279394+00:00,0.003571,EXTCAND-423bbf43b508613669ab835e,,MECHEXP-86046713fd2161e3d452b4c2|MECHEXP-9b1bea13d2c059a0245d614a|MECHEXP-d0fc3cfd5de705385426f5e0|MECHEXP-df36d81a02efa57524e167ae,ROOTCOMP-2657f2ed222bcb6ad8d40319,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/85a85920b7c4777982f2a5066e2054948de9dee0dd0444883ad7f9af535128d3.html,Bloomfield,False,060,current_30_gib_store,2024,html_text_extraction_queue,,readiness_lane_003,209,substantive_visible_html_text,EXTREADINESS-f99f43a2706e08ef086a6930,html_text_ready,high,,benefits_and_total_compensation|recruitment_and_retention|staffing_and_headcount,all_units,implementation_confirmation,official_administrative_summary,KY,,EXTSOURCE-1dea918f50f7c54647a868e9,,,EXTCAND-423bbf43b508613669ab835e,external_search_wave_001_compacted,Bloomfield,KY,2024,all_units,all_units,implementation_confirmation,ROOTCOMP-2657f2ed222bcb6ad8d40319,MECHEXP-86046713fd2161e3d452b4c2|MECHEXP-9b1bea13d2c059a0245d614a|MECHEXP-d0fc3cfd5de705385426f5e0|MECHEXP-df36d81a02efa57524e167ae,,extraction_lane_001,213
text/html;charset=UTF-8,d9361fec5fd016ded79bfca524aa15385420a17acea9c2d4b8e6a14d5c0f07f1,salary_schedule,0,9391,1,EXTPAYLOAD-1def164e9548a88ee37e0d1f,EXTSOURCE-1def164e9548a88ee37e0d1f,1,EXTREADYQ-721cadf8b4a5339dbfbe4c1f,4,,side_independent,html,False,"{""bounded_inspection"":false,""bytes_inspected"":9391,""diagnostic_text_persisted"":false,""encoding"":""utf-8"",""form_count"":0,""link_count"":28,""navigation_density"":0.133971,""payload_bytes"":9391,""row_element_count"":0,""script_count"":11,""structured_data_script_count"":0,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":1365}",,5,upgrades_implementation_confirmation|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,2026-08-05T19:06:40.671314+00:00,0.00066,EXTCAND-7ebc3d1fb5d610bc56d1d657,,MECHEXP-75e034dad669c73b91cd7b8e|MECHEXP-7a1a796c0a0799a486b586e0|MECHEXP-9841bafcfe21c66058ffa9c7|MECHEXP-fc032219d8621a636ffaa38a,ROOTCOMP-496ed384e5c5fc502179db7e,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/d9361fec5fd016ded79bfca524aa15385420a17acea9c2d4b8e6a14d5c0f07f1.html,Colchester,False,vacancyDetailsView.cfm,current_30_gib_store,2024,html_text_extraction_queue,,readiness_lane_005,207,substantive_visible_html_text,EXTREADINESS-fbf2623f5bd4d022468c9390,html_text_ready,high,,implementation_confirmation|staffing_and_headcount,side_independent,multi_family_administrative_source,official_administrative_summary,NY,EXTVERSION-9832c735072c5b0436ccd4cf|EXTVERSION-9b6032b224b2a5f17933b301,EXTSOURCE-1def164e9548a88ee37e0d1f,,,EXTCAND-7ebc3d1fb5d610bc56d1d657,external_search_wave_001_compacted,Colchester,NY,2024,side_independent,side_independent,multi_family_administrative_source,ROOTCOMP-496ed384e5c5fc502179db7e,MECHEXP-75e034dad669c73b91cd7b8e|MECHEXP-7a1a796c0a0799a486b586e0|MECHEXP-9841bafcfe21c66058ffa9c7|MECHEXP-fc032219d8621a636ffaa38a,,extraction_lane_001,214
text/html;charset=UTF-8,ebba1b539b6476c94ae9e9727d99ea41ded1442d5da855d50fa8632c520f3ac5,payroll_roster,0,5448149,1,EXTPAYLOAD-1e81d64a491a4a786cfe5f55,EXTSOURCE-1e81d64a491a4a786cfe5f55,1,EXTREADYQ-bd1ed6e39f21014052e293f6,5,,unclear,html,False,"{""bounded_inspection"":false,""bytes_inspected"":5448149,""diagnostic_text_persisted"":false,""encoding"":""utf-8"",""form_count"":0,""link_count"":1,""navigation_density"":1e-05,""payload_bytes"":5448149,""row_element_count"":0,""script_count"":6,""structured_data_script_count"":0,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":601997}",,5,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis,extraction_priority_high,True,2026-08-05T19:00:40.390872+00:00,0.105089,RESCAND-aac041c60e6bd686de1d5bbe,,MECHEXP-0a8ed5f7cf3d15e95a409ea1|MECHEXP-0f3fd523a18b627f179d674d|MECHEXP-9b679291498aa1554a81e090|MECHEXP-9f96a87a3942e2a9d46f8812,ROOTCOMP-7e85b340751045ebc9b91c10,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/ebba1b539b6476c94ae9e9727d99ea41ded1442d5da855d50fa8632c520f3ac5.html,Catawissa,False,PN3322,current_30_gib_store,2016,html_text_extraction_queue,,readiness_lane_003,213,substantive_visible_html_text,EXTREADINESS-bb984535f8680f9ad89f5e60,html_text_ready,high,,implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount,unclear,multi_family_administrative_source,official_administrative_summary,PA,,EXTSOURCE-1e81d64a491a4a786cfe5f55,,,RESCAND-aac041c60e6bd686de1d5bbe,external_search_wave_002_exhaustive_residual,Catawissa,PA,2016,unclear,unclear,multi_family_administrative_source,ROOTCOMP-7e85b340751045ebc9b91c10,MECHEXP-0a8ed5f7cf3d15e95a409ea1|MECHEXP-0f3fd523a18b627f179d674d|MECHEXP-9b679291498aa1554a81e090|MECHEXP-9f96a87a3942e2a9d46f8812,,extraction_lane_001,215
text/html; charset=UTF-8,17cf956a4f6c58356df9d754f073fa110b7963e85813aa92ad2fa41d04bd9671,payroll_roster,0,129103,1,EXTPAYLOAD-1ea37e8856cda618ec4fc75e,EXTSOURCE-1ea37e8856cda618ec4fc75e,1,EXTREADYQ-b0bf600f88641a7315f30d33,4,,unclear,html,False,"{""bounded_inspection"":false,""bytes_inspected"":129103,""diagnostic_text_persisted"":false,""encoding"":""UTF-8"",""form_count"":2,""link_count"":237,""navigation_density"":0.373228,""payload_bytes"":129103,""row_element_count"":0,""script_count"":41,""structured_data_script_count"":2,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":4645}",,6,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,extraction_priority_high,True,2026-08-05T19:06:40.685469+00:00,0.002211,RESCAND-87c197130c82ce576c450e82,,MECHEXP-84f85161427df45f1cc796d3|MECHEXP-86ae98d3581c3f958080f033|MECHEXP-9690930c659c6d1c1bb55af9|MECHEXP-adc61d2199766cc196867d08|MECHEXP-ae5f8b4d94c12c7c4aa795bb,ROOTCOMP-996f0e23007d37af866f6dba,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/17cf956a4f6c58356df9d754f073fa110b7963e85813aa92ad2fa41d04bd9671.html,Colfax,False,agendas-minutes,current_30_gib_store,2017,html_table_candidate_queue,,readiness_lane_005,212,structured_data_or_dataset_signal,EXTREADINESS-68d2ff109c623ab08beb19cf,html_structured_data_candidate,high,table_candidate,implementation_confirmation,unclear,payroll_and_earnings,official_administrative_summary,CA,,EXTSOURCE-1ea37e8856cda618ec4fc75e,,,RESCAND-87c197130c82ce576c450e82,external_search_wave_002_exhaustive_residual,Colfax,CA,2017,unclear,unclear,payroll_and_earnings,ROOTCOMP-996f0e23007d37af866f6dba,MECHEXP-84f85161427df45f1cc796d3|MECHEXP-86ae98d3581c3f958080f033|MECHEXP-9690930c659c6d1c1bb55af9|MECHEXP-adc61d2199766cc196867d08|MECHEXP-ae5f8b4d94c12c7c4aa795bb,,extraction_lane_001,216
text/html,65afe4cf34bcdc70723d526ec9f415d8be83f1b409e26e4e05bb0771d892e703,payroll_roster,0,1432602,1,EXTPAYLOAD-1eab8a917d25b88eaea1db64,EXTSOURCE-1eab8a917d25b88eaea1db64,1,EXTREADYQ-5ee56a0f13af37d90b6c3155,6,,police,html,False,"{""bounded_inspection"":false,""bytes_inspected"":1432602,""diagnostic_text_persisted"":false,""encoding"":""windows-1252"",""form_count"":0,""link_count"":0,""navigation_density"":0.0,""payload_bytes"":1432602,""row_element_count"":0,""script_count"":0,""structured_data_script_count"":0,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":598870}",,6,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim|upgrades_staffing_hypothesis|upgrades_total_compensation_comparison,extraction_priority_high,True,2026-08-05T19:03:39.958417+00:00,0.048683,EXTCAND-db447c76e7296edff6f10189,,MECHEXP-160f93aa601e2d192beb17cf|MECHEXP-17eeab0aa827f32c46ad4658|MECHEXP-76a4984eec651a48f085eaac|MECHEXP-a37c23356c4af5ce8ad9f17f|MECHEXP-bb939465368524cbe1758640,ROOTCOMP-3dfbaf8824a9ee2326f78338,external_search_wave_001_compacted,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/65afe4cf34bcdc70723d526ec9f415d8be83f1b409e26e4e05bb0771d892e703.html,Langley,False,6387-S.E AMH .... AMH-4900.3.htm,current_30_gib_store,2025,html_text_extraction_queue,,readiness_lane_004,212,substantive_visible_html_text,EXTREADINESS-203a6db8733453dbf9ebdeed,html_text_ready,high,,benefits_and_total_compensation|implementation_confirmation|payroll_and_earnings|recruitment_and_retention|staffing_and_headcount|tenure_and_progression,police,multi_family_administrative_source,official_administrative_summary,WA,,EXTSOURCE-1eab8a917d25b88eaea1db64,,,EXTCAND-db447c76e7296edff6f10189,external_search_wave_001_compacted,Langley,WA,2025,police,police,multi_family_administrative_source,ROOTCOMP-3dfbaf8824a9ee2326f78338,MECHEXP-160f93aa601e2d192beb17cf|MECHEXP-17eeab0aa827f32c46ad4658|MECHEXP-76a4984eec651a48f085eaac|MECHEXP-a37c23356c4af5ce8ad9f17f|MECHEXP-bb939465368524cbe1758640,,extraction_lane_001,217
text/html; charset=UTF-8,73b8302e71a239bafefdff0e00ad3dd36354095dd6bf7f8aa5a36d2d350f3d24,payroll_roster,0,111668,1,EXTPAYLOAD-1ed663540678474bda467552,EXTSOURCE-1ed663540678474bda467552,1,EXTREADYQ-0ebafc55d1d1c9a6b15ddb92,4,,unclear,html,False,"{""bounded_inspection"":false,""bytes_inspected"":111668,""diagnostic_text_persisted"":false,""encoding"":""UTF-8"",""form_count"":2,""link_count"":254,""navigation_density"":0.295693,""payload_bytes"":111668,""row_element_count"":0,""script_count"":36,""structured_data_script_count"":2,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":6269}",,7,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,extraction_priority_high,True,2026-08-05T19:03:39.966255+00:00,0.001941,RESCAND-1580f97d35cb534ee8fb76b7,,MECHEXP-02096d0f17d740764eb71f48|MECHEXP-1c8c681366ef91e2ba2cf70d|MECHEXP-2f8c09a63b90eb412bf28909|MECHEXP-b1ebced1bcc0500c25cdf695|MECHEXP-e5a8a3e5227138397532d281|MECHEXP-ed85b4910577dd11197f2362,ROOTCOMP-e4ba53d6c1f0a7e6c06bdae4,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/73b8302e71a239bafefdff0e00ad3dd36354095dd6bf7f8aa5a36d2d350f3d24.html,Blandford,False,annual-financial-statements,current_30_gib_store,2022,html_table_candidate_queue,,readiness_lane_004,214,structured_data_or_dataset_signal,EXTREADINESS-b440f15166ca2215105c1694,html_structured_data_candidate,high,table_candidate,implementation_confirmation,unclear,payroll_and_earnings,official_administrative_summary,MA,,EXTSOURCE-1ed663540678474bda467552,,,RESCAND-1580f97d35cb534ee8fb76b7,external_search_wave_002_exhaustive_residual,Blandford,MA,2022,unclear,unclear,payroll_and_earnings,ROOTCOMP-e4ba53d6c1f0a7e6c06bdae4,MECHEXP-02096d0f17d740764eb71f48|MECHEXP-1c8c681366ef91e2ba2cf70d|MECHEXP-2f8c09a63b90eb412bf28909|MECHEXP-b1ebced1bcc0500c25cdf695|MECHEXP-e5a8a3e5227138397532d281|MECHEXP-ed85b4910577dd11197f2362,,extraction_lane_001,218
text/html; charset=utf-8,0d440c32256e730d9936f30a1dcd93cc37edc264b76bf2b6ecb4c7fcdaf763b1,other,0,194522,1,EXTPAYLOAD-1ee14db0e30b0449ae192e64,EXTSOURCE-1ee14db0e30b0449ae192e64,1,EXTREADYQ-d458752b9d0f54971bd6ca7e,1,,unclear,html,False,"{""bounded_inspection"":false,""bytes_inspected"":194522,""diagnostic_text_persisted"":false,""encoding"":""UTF-8"",""form_count"":2,""link_count"":243,""navigation_density"":0.237305,""payload_bytes"":194522,""row_element_count"":46,""script_count"":48,""structured_data_script_count"":0,""table_count"":3,""valid_html_structure"":true,""visible_text_characters"":5941}",,6,upgrades_staffing_hypothesis,extraction_priority_high,True,2026-08-05T19:06:40.691053+00:00,0.004113,RESCAND-ce6dfbf61584bd6ee021bbe5,,MECHEXP-b40ce5062de366b25a622d54|MECHEXP-b7527ac401858e4516f1a248|MECHEXP-b8207bf84bde02b51a1e8fef|MECHEXP-e99b2441d47fd662a37324f3|MECHEXP-f20061f59c083756d3f56277,ROOTCOMP-b90e5f2a768fb33454466796,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/0d440c32256e730d9936f30a1dcd93cc37edc264b76bf2b6ecb4c7fcdaf763b1.html,Becker,False,AgendaCenter,current_30_gib_store,2018,html_table_candidate_queue,,readiness_lane_005,214,html_table_structure_present,EXTREADINESS-2419a3728286bf8161fcab8f,html_table_candidate_ready,repaired,table_candidate,recruitment_and_retention,unclear,staffing_and_headcount,official_administrative_summary,MN,,EXTSOURCE-1ee14db0e30b0449ae192e64,,,RESCAND-ce6dfbf61584bd6ee021bbe5,external_search_wave_002_exhaustive_residual,Becker,MN,2018,unclear,unclear,staffing_and_headcount,ROOTCOMP-b90e5f2a768fb33454466796,MECHEXP-b40ce5062de366b25a622d54|MECHEXP-b7527ac401858e4516f1a248|MECHEXP-b8207bf84bde02b51a1e8fef|MECHEXP-e99b2441d47fd662a37324f3|MECHEXP-f20061f59c083756d3f56277,,extraction_lane_001,219
text/html; charset=utf-8,ce0a57db292c947ec21a934b6939cb99a841844c9ee51f1c4812c0da1694ec86,payroll_roster,0,268099,1,EXTPAYLOAD-1f2a28860a6621c77cc49f4e,EXTSOURCE-1f2a28860a6621c77cc49f4e,1,EXTREADYQ-843525abfdaf8fd6efd68951,4,,unclear,html,False,"{""bounded_inspection"":false,""bytes_inspected"":268099,""diagnostic_text_persisted"":false,""encoding"":""UTF-8"",""form_count"":2,""link_count"":139,""navigation_density"":0.011178,""payload_bytes"":268099,""row_element_count"":0,""script_count"":46,""structured_data_script_count"":0,""table_count"":0,""valid_html_structure"":true,""visible_text_characters"":80714}",,5,upgrades_growth_analysis|upgrades_implementation_confirmation|upgrades_local_wage_comparison|upgrades_mechanism_claim,extraction_priority_high,True,2026-08-05T19:03:40.026869+00:00,0.007185,RESCAND-75aa112891b4e23dfb994853,,MECHEXP-05a4f6c24308647a97e26230|MECHEXP-09a480e16b9a8a65b7d48eed|MECHEXP-4abdfb1f3609efae6698d06f|MECHEXP-7e8fd6013f22cc8f1d85db58,ROOTCOMP-4f6021715d6e29a7095e86c0,external_search_wave_002_exhaustive_residual,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/ce0a57db292c947ec21a934b6939cb99a841844c9ee51f1c4812c0da1694ec86.html,Coggon,False,newsflash,current_30_gib_store,undated-source-B4X2500LIVE-20260729-004951,html_text_extraction_queue,,readiness_lane_004,217,substantive_visible_html_text,EXTREADINESS-53177934d342bfc32620148b,html_text_ready,high,,implementation_confirmation,unclear,payroll_and_earnings,official_administrative_summary,IA,,EXTSOURCE-1f2a28860a6621c77cc49f4e,,,RESCAND-75aa112891b4e23dfb994853,external_search_wave_002_exhaustive_residual,Coggon,IA,undated-source-B4X2500LIVE-20260729-004951,unclear,unclear,payroll_and_earnings,ROOTCOMP-4f6021715d6e29a7095e86c0,MECHEXP-05a4f6c24308647a97e26230|MECHEXP-09a480e16b9a8a65b7d48eed|MECHEXP-4abdfb1f3609efae6698d06f|MECHEXP-7e8fd6013f22cc8f1d85db58,,extraction_lane_001,220
