codified_record_id,rating_id,span_id,primary_mechanism_cluster,secondary_mechanism_clusters,mechanism_strength_scores,evidence_quality_score,report_usability_bucket,claim_relevance_bucket,direction_bucket,careful_claim_type,pi_report_priority
B4X2500COD-20260730-159a354161b91ee5d60120d8,B4X2500-RATING-20260730-7316455e97ddb945c386a441,B4X2500SPAN-20260730-87ac81f97769d18fad1614aa,weak_context_exclusion,"[""fiscal_governance_constraints""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":0,""quantitative_base_wage_needs_normalization"":0,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",2,exclude_from_report,weak_or_not_supported,not_applicable,exclusion,exclude
B4X2500COD-20260730-a20a9083869190a9fa2db4ac,B4X2500-RATING-20260730-16aae82227024dc5b44b089c,B4X2500SPAN-20260730-2b0ed5edfaa7e0d0a6efd45a,timing_implementation,"[""quantitative_base_wage_needs_normalization""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":0,""quantitative_base_wage_needs_normalization"":1,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":1,""weak_context_exclusion"":0}",2,pi_report_context_only,direct_quantitative_claim_support,not_applicable,context_only,context
B4X2500COD-20260730-38166c80066c799251c642ca,B4X2500-RATING-20260730-955a7f46ba6910695770e452,B4X2500SPAN-20260730-6b7728f293ee7341eb0bb632,non_base_compensation,"[""quantitative_base_wage_needs_normalization""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":2,""quantitative_base_wage_needs_normalization"":1,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",3,downstream_normalization_needed,mechanism_summary_support,neutral_or_general,normalization_needed_quantitative_evidence,normalization_lane
B4X2500COD-20260730-faa9c64ba0bb04806a251a7f,B4X2500-RATING-20260730-01eca3ae36d3252572b2dc10,B4X2500SPAN-20260730-4dcd104726db9ebafc8f3486,non_base_compensation,"[""quantitative_base_wage_needs_normalization""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":1,""quantitative_base_wage_needs_normalization"":1,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",2,pi_report_context_only,mechanism_summary_support,neutral_or_general,context_only,context
B4X2500COD-20260730-1e8570767f942492302d5501,B4X2500-RATING-20260730-a6c55a37e842ee2e4d949e7f,B4X2500SPAN-20260730-7f61c134b1eb8036a6d217d8,rank_step_specialization_classification,"[""quantitative_base_wage_needs_normalization"",""automatic_wage_growth""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":0,""quantitative_base_wage_needs_normalization"":1,""rank_step_specialization_classification"":2,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",3,downstream_normalization_needed,direct_quantitative_claim_support,not_applicable,normalization_needed_quantitative_evidence,normalization_lane
B4X2500COD-20260730-4c1cb54490c9484dcdb0719a,B4X2500-RATING-20260730-d3c6fcd48d02a749bf3c3dd3,B4X2500SPAN-20260730-c0f5349d436ffc1a87cf3cc7,timing_implementation,"[""quantitative_base_wage_needs_normalization""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":0,""quantitative_base_wage_needs_normalization"":1,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":1,""weak_context_exclusion"":0}",2,pi_report_context_only,direct_quantitative_claim_support,not_applicable,context_only,context
B4X2500COD-20260730-607c989e92ce8868d001c413,B4X2500-RATING-20260730-df5f5a676ca43422de23602a,B4X2500SPAN-20260730-0068a3752fa20b4d3edab807,quantitative_base_wage_needs_normalization,[],"{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":0,""quantitative_base_wage_needs_normalization"":4,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",4,downstream_normalization_needed,direct_quantitative_claim_support,not_applicable,normalization_needed_quantitative_evidence,normalization_lane
B4X2500COD-20260730-ada1b962b93352488b025f21,B4X2500-RATING-20260730-bea9e15b8e5420a59d550e39,B4X2500SPAN-20260730-4a848eceb56b2652856bbcc2,quantitative_base_wage_needs_normalization,[],"{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":0,""quantitative_base_wage_needs_normalization"":4,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",4,downstream_normalization_needed,direct_quantitative_claim_support,not_applicable,normalization_needed_quantitative_evidence,normalization_lane
B4X2500COD-20260730-93566fff774df38641269b9c,B4X2500-RATING-20260730-4455ba6dd3bd28208ccc9ab9,B4X2500SPAN-20260730-5c69e1ce980209ee77c54a29,quantitative_base_wage_needs_normalization,[],"{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":0,""quantitative_base_wage_needs_normalization"":4,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",4,downstream_normalization_needed,direct_quantitative_claim_support,not_applicable,normalization_needed_quantitative_evidence,normalization_lane
B4X2500COD-20260730-fc3c487ffc4b489d1a47e021,B4X2500-RATING-20260730-f1c6f2154b7bd6991dcb5b0e,B4X2500SPAN-20260730-50e085f891612aa2733fbe64,weak_context_exclusion,"[""quantitative_base_wage_needs_normalization""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":0,""quantitative_base_wage_needs_normalization"":1,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",2,exclude_from_report,weak_or_not_supported,not_applicable,exclusion,exclude
B4X2500COD-20260730-912c7d0cc791cd3306bac985,B4X2500-RATING-20260730-2ab9b949a22075625f8040e6,B4X2500SPAN-20260730-25e2aafd882e6c93246b48bf,quantitative_base_wage_needs_normalization,"[""weak_context_exclusion""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":0,""quantitative_base_wage_needs_normalization"":1,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":1}",2,pi_report_context_only,direct_quantitative_claim_support,neutral_or_general,context_only,context
B4X2500COD-20260730-f9af8cdeeb0a646cfc6e4334,B4X2500-RATING-20260730-411388ccd836440d6ae573c2,B4X2500SPAN-20260730-09dc0ba73b377a1054b54292,quantitative_base_wage_needs_normalization,[],"{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":0,""quantitative_base_wage_needs_normalization"":4,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",4,downstream_normalization_needed,direct_quantitative_claim_support,not_applicable,normalization_needed_quantitative_evidence,normalization_lane
B4X2500COD-20260730-538181b5bafb452edd08a92a,B4X2500-RATING-20260730-c5343b95af383dd4513c3cc4,B4X2500SPAN-20260730-fdc39b8a71ec28f8d62929db,weak_context_exclusion,"[""market_staffing_pressure""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":0,""quantitative_base_wage_needs_normalization"":0,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",2,exclude_from_report,weak_or_not_supported,not_applicable,exclusion,exclude
B4X2500COD-20260730-a52ba3e5af19c4148316c04b,B4X2500-RATING-20260730-0ae98eda1cce72f6bd767227,B4X2500SPAN-20260730-532ba5849794e10b95bc0d0d,weak_context_exclusion,"[""market_staffing_pressure""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":0,""quantitative_base_wage_needs_normalization"":0,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",2,exclude_from_report,weak_or_not_supported,neutral_or_general,exclusion,exclude
B4X2500COD-20260730-0fcd87900c3dd8686c73b0dc,B4X2500-RATING-20260730-9f5dda857652310631cc0257,B4X2500SPAN-20260730-c0ba900ea4a5594d73aebcda,weak_context_exclusion,"[""market_staffing_pressure""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":0,""quantitative_base_wage_needs_normalization"":0,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",2,exclude_from_report,weak_or_not_supported,not_applicable,exclusion,exclude
B4X2500COD-20260730-21825c26cbd545334400d49b,B4X2500-RATING-20260730-1974ffbcac44f79b7c3e3310,B4X2500SPAN-20260730-7dc7a325ab0afd9a31892574,quantitative_base_wage_needs_normalization,[],"{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":0,""quantitative_base_wage_needs_normalization"":1,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",3,downstream_normalization_needed,direct_quantitative_claim_support,not_applicable,normalization_needed_quantitative_evidence,normalization_lane
B4X2500COD-20260730-b302a42ab3a0f701e81135d9,B4X2500-RATING-20260730-a9918e1dc3ed8c5c40fb619c,B4X2500SPAN-20260730-97bb2fe78b3cd942356d66e4,weak_context_exclusion,"[""quantitative_base_wage_needs_normalization""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":0,""quantitative_base_wage_needs_normalization"":1,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",2,exclude_from_report,weak_or_not_supported,not_applicable,exclusion,exclude
B4X2500COD-20260730-caff11ac318518aeea3b6397,B4X2500-RATING-20260730-3f8a3fc336207569b505774a,B4X2500SPAN-20260730-7c64dd00831d7ba547c03148,non_base_compensation,"[""quantitative_base_wage_needs_normalization""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":2,""quantitative_base_wage_needs_normalization"":1,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",3,downstream_normalization_needed,mechanism_summary_support,neutral_or_general,normalization_needed_quantitative_evidence,normalization_lane
B4X2500COD-20260730-5b0e06b750589ae0a2fc61aa,B4X2500-RATING-20260730-5ca1bd671a2bf0a81b3486c1,B4X2500SPAN-20260730-dabf99bdb4c96f792b53cc34,automatic_wage_growth,"[""quantitative_base_wage_needs_normalization""]","{""automatic_wage_growth"":4,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":0,""quantitative_base_wage_needs_normalization"":1,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",4,downstream_normalization_needed,direct_quantitative_claim_support,non_safety_advantage,normalization_needed_quantitative_evidence,normalization_lane
B4X2500COD-20260730-f56ccc77d6a48bee3dd4ddf7,B4X2500-RATING-20260730-2bd0ff1ee0d3426c87afb091,B4X2500SPAN-20260730-ca370fa3e78ecd4ae54ab468,weak_context_exclusion,"[""fiscal_governance_constraints""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":0,""quantitative_base_wage_needs_normalization"":0,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":1}",2,pi_report_context_only,mechanism_summary_support,not_applicable,context_only,context
B4X2500COD-20260730-1a50cd8f74089d1f4b620138,B4X2500-RATING-20260730-1785eaa0f6ce481a0ce503f3,B4X2500SPAN-20260730-7b4ab6b87c0f2e59ce19e12a,weak_context_exclusion,"[""fiscal_governance_constraints""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":0,""quantitative_base_wage_needs_normalization"":0,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",2,exclude_from_report,weak_or_not_supported,not_applicable,exclusion,exclude
B4X2500COD-20260730-057f542266086a1ca679ba69,B4X2500-RATING-20260730-9df8235e5a9d00ea0c2f423a,B4X2500SPAN-20260730-5b34161249dcca54e5bbeb3c,weak_context_exclusion,"[""fiscal_governance_constraints""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":0,""quantitative_base_wage_needs_normalization"":0,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",2,exclude_from_report,weak_or_not_supported,not_applicable,exclusion,exclude
B4X2500COD-20260730-46d4ab2c8bec913ba3465507,B4X2500-RATING-20260730-b15ee9eb81bc98b5348fd46e,B4X2500SPAN-20260730-c948b99470831b7dcd6b1d87,non_base_compensation,"[""quantitative_base_wage_needs_normalization""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":1,""quantitative_base_wage_needs_normalization"":1,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",2,pi_report_context_only,mechanism_summary_support,neutral_or_general,context_only,context
B4X2500COD-20260730-27911d21ded89c6c0556cc6b,B4X2500-RATING-20260730-33e56d4d9fba79a327f74518,B4X2500SPAN-20260730-b6e7bb9c2e3af6ed953fca37,non_base_compensation,"[""quantitative_base_wage_needs_normalization""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":1,""quantitative_base_wage_needs_normalization"":1,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",2,pi_report_context_only,mechanism_summary_support,neutral_or_general,context_only,context
B4X2500COD-20260730-8919d5285b67bee8b56fa3d8,B4X2500-RATING-20260730-4cb4084770fd82bd3a369b0c,B4X2500SPAN-20260730-3b16a7c6b4edb0e8f72f505c,non_base_compensation,"[""quantitative_base_wage_needs_normalization""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":2,""quantitative_base_wage_needs_normalization"":1,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",3,downstream_normalization_needed,mechanism_summary_support,neutral_or_general,normalization_needed_quantitative_evidence,normalization_lane
B4X2500COD-20260730-1999f0be9ad0f68ace2fbe19,B4X2500-RATING-20260730-e608d6103c1b3b2460d73f44,B4X2500SPAN-20260730-b32dceedf24f32d2f5f36e7d,weak_context_exclusion,"[""fiscal_governance_constraints""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":0,""quantitative_base_wage_needs_normalization"":0,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":1}",2,pi_report_context_only,mechanism_summary_support,not_applicable,context_only,context
B4X2500COD-20260730-16442cd10e86793f5cd91a7d,B4X2500-RATING-20260730-4ba67232fa2ab72b1e677c31,B4X2500SPAN-20260730-ace42c02d7fd670ce362b6d8,quantitative_base_wage_needs_normalization,"[""weak_context_exclusion""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":0,""quantitative_base_wage_needs_normalization"":1,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":1}",2,pi_report_context_only,direct_quantitative_claim_support,not_applicable,context_only,context
B4X2500COD-20260730-8eb8177f63e8fa85ab5cfca8,B4X2500-RATING-20260730-d06a528cd3a28559b43f2ac9,B4X2500SPAN-20260730-c1a33a27eeff648830c6d989,quantitative_base_wage_needs_normalization,[],"{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":0,""quantitative_base_wage_needs_normalization"":1,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",3,downstream_normalization_needed,direct_quantitative_claim_support,not_applicable,normalization_needed_quantitative_evidence,normalization_lane
B4X2500COD-20260730-71be633392cd897080210e3a,B4X2500-RATING-20260730-b3b7c125676db77d5dc93dae,B4X2500SPAN-20260730-b5c8a01f6d834223eff0609c,weak_context_exclusion,"[""quantitative_base_wage_needs_normalization""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":0,""quantitative_base_wage_needs_normalization"":1,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",2,exclude_from_report,weak_or_not_supported,not_applicable,exclusion,exclude
B4X2500COD-20260730-0e9f3e7618f51bce951c22dc,B4X2500-RATING-20260730-6979add41beb2a345b54df93,B4X2500SPAN-20260730-58b3252656b9d761f794df0d,timing_implementation,"[""quantitative_base_wage_needs_normalization""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":0,""quantitative_base_wage_needs_normalization"":1,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":2,""weak_context_exclusion"":0}",3,downstream_normalization_needed,direct_quantitative_claim_support,neutral_or_general,normalization_needed_quantitative_evidence,normalization_lane
B4X2500COD-20260730-c799bcf2af48b007c73c37b6,B4X2500-RATING-20260730-ee09c793f5103efb51f9204a,B4X2500SPAN-20260730-cf1270e77144f6db8957fa88,weak_context_exclusion,"[""fiscal_governance_constraints""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":0,""quantitative_base_wage_needs_normalization"":0,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",2,exclude_from_report,weak_or_not_supported,not_applicable,exclusion,exclude
B4X2500COD-20260730-42a72f166da4c53456524848,B4X2500-RATING-20260730-42711cf4de600b3aeb4bbd9f,B4X2500SPAN-20260730-51db366edaef78ec300830ed,quantitative_base_wage_needs_normalization,"[""automatic_wage_growth""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":0,""quantitative_base_wage_needs_normalization"":1,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",2,pi_report_context_only,direct_quantitative_claim_support,neutral_or_general,context_only,context
B4X2500COD-20260730-d4038c8960cd0b668b04dbd9,B4X2500-RATING-20260730-e61a1bc53aa2573f71cee92c,B4X2500SPAN-20260730-30119f968e3751ede615dedb,quantitative_base_wage_needs_normalization,"[""automatic_wage_growth""]","{""automatic_wage_growth"":0,""bargaining_dispute_resolution"":0,""fiscal_governance_constraints"":0,""market_staffing_pressure"":0,""non_base_compensation"":0,""quantitative_base_wage_needs_normalization"":4,""rank_step_specialization_classification"":0,""safety_non_safety_directional_hints"":0,""timing_implementation"":0,""weak_context_exclusion"":0}",4,downstream_normalization_needed,direct_quantitative_claim_support,not_applicable,normalization_needed_quantitative_evidence,normalization_lane
