qa_id,stratum,raw_value_preserved,unit_compatible,basis_compatible,period_compatible,side_integrity,formula_reproduces,conflict_excluded,source_independence,growth_identity_compatible,component_nonoverlap,counterexample_valid,no_premature_claiming,mechanical_not_human_gold
NORMQA-5865da6aa704efa4fc944919,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-0ff61aac23a54c0d8b5f5699,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-67698a9987a08494b6c6e759,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-01b0147e1e0f55f73fa9d9e0,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-96639a9820a9202a3c332918,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-33163d2ba17abfbffdec571b,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-7634c1762c46c2013a89cc43,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-86bf7a00764835f3bb691a94,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-c1b6fe77bae3f85d43f6b5a1,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-bcd88a7ab97d59bd45812313,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-c9bfb229d58f319b2cb6f044,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-f74a9ec0b4ee4641dbb94f42,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-33ca0b37f5747e68aeab29c6,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-d5ec524d7e5e68465a141433,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-eb0543ed332c314b7374ee7b,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-bd4c4cefaac544c14995529b,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-b222f90f50cbf374eb041f0f,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-e0f586c231079dddc60457d0,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-4f06f882e8cf7b2d04e3501f,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-c7824aba88f823e4b2ca8959,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-ed3cc051dc3d8a25645d87e0,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-5e234e9623b7956f466fbe3c,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-10c419a8c74cd45f903197ad,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-cb64ed373b4c047b4819f637,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-26ea5e616fc96ce3853317b3,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-1e5fe75f88a40baf104f7772,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-5471185155b87d5e19321fbb,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-2df60fb79d9c21074354f83b,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-67bfea4231a06e6f76d27a55,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-6abfeaf1a902e5b7d667c79f,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-6c191d121b87bf19bd07904f,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-4b9dde1706ad2ca80db66f27,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-366c695ace0c2e7bdf41f50c,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-f3d5a6bd968cf8f9ad290725,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-f4753d508d55d001cc981dba,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-0aba7a230bfde27f62b68e26,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-7ecc594c037f857765dbfbdc,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-d69125b19a8c3c0a8c46931f,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-43fcef61530df9f0733026e5,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-8e5bd5f50f3986544430ab29,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-87f650c7e37ff22a39c7e5c5,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-4feb310bd48c0c2132d64e6b,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-dcafb555b8813fffb4ceafb7,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-964059ba6f57b795ce66a7be,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-0751382ce801b3066d32a075,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-995700bf2de6c3fee50da0f7,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-0c43f6327c6d1318703293f1,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-c5c0a1631cfb601c0bf82c36,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-3e73eac82716f3029c14e26b,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-cd8e6eb9a296575e9355fa97,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-c511a918fe362ecc6b295852,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-6cb34871e7768c143c3167a6,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-012e83625f7172d2bca61dd5,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-83bda670108b6e380234659f,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-066c7b67c9f590d5fd8f50fe,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-1b7117b21ad36b92cf8e070e,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-079f53fe7ad6b4b606906779,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-36c20c142046d3916178d96c,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-723ba69809f7260ef5fad45f,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-ae5cf4ad912f72deb411ff6e,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-937db283f22825768affa76b,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-5c6cbd8acfa91d5b913477bd,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-8fb6ebe8e7c44c1508e9d400,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-186ea88c0962a8b3dab61312,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-9da24ff4b2b6e61bc629c0a6,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-fc97b78a3c5f2c3cd1039943,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-ef56f877d5ce78467644213d,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-48386a988d52ec3d7205ac9d,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-8d1c1f93033c74cedbeb4078,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-25c4feda1706554b6bbce8a6,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-78baf4a4a54da0ee985ba16e,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-89267873e73ea7163f298340,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-6ce024574411a81dc7d73532,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-e86e8f13fc16c912be883751,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-3d74736606ecd0f326f43651,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-b862e6388278ad455bc2f623,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-6e239399ebe67992100d4c05,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-66da4af882d90e00daf59c4e,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-5e7f333600260eef95242076,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-bc30a4e923128d345cda28ce,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-f92f7abc2da8e6e73683fe0d,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-1257cef3e68f61747c56e08e,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-e08315fc3fa703fe7146227f,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-a4f71029cd1cee151d6b493e,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-e40d538baeb0482ed01421d6,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-bcee44747c79064528b2656a,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-f9a2ec28a9feb23696a075d9,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-8073bea78b69b8c17f33c6e2,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-5b5d6a1776c1571db325d0e6,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-67557070b0345c9f1e38c175,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-263a1ce36804e2d9a2bc2e55,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-8b7c35842bbac8e30c54b196,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-c9b4aa353cbc0953c43ad6ed,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-6539a50ccdb73f130e0d2719,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-2de82b88c5568ce2d802418a,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-a79a04044751f7228f06cd6f,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-ec38836d6dc503688790c4da,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-69ba8cd12f8dfaf7c3eac0fe,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-8f2a71581fcc6968c0c6f316,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-a53aeb3a65199b2e73f2f241,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-66af07bedc218af1c16a3233,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-e064e5bbcfba6223d1751acd,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-b062d5beafe4c6c1fdc4c365,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-e587fa632f093e1315c16aa7,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-89016a3868f5566b41dae476,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-f20fc189a4f87015ba876acb,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-cec5241db6a2d29226b1e889,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-0c0fd279eef873f19b54adce,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-8d84cf0fc8a8323f5f03515a,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-552d646e708583c4e5213d17,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-0476b76d2dbd7ad5184db7fe,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-3571199f2d8eb5f1a8f0b56c,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-a66fea10f86b20c57e207cee,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-c464cf19d2e0155f13de5234,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-8225af80764a0c58617d6364,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-e9e189de3082670f3fce8b06,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-e21856e232d98102808af953,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-90547b15a6c7f077328bb3d5,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-34183339f503682d73a49f19,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-cb33d26bd2c004c747ae804a,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-cbf7881c77cc704e7f1df7ba,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-d83650acb38b62034b9e0459,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-420c886285bcf8b8ccfbede7,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-132736409e6e999f3c76cc4d,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-4f52e48d2d860bb802105daf,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-660fd0b54ac0821b8860294b,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-f62edb0e4d5c4f3dc2b9e7cf,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-371a3f9b9bb2dabfe989516d,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-8aab1e486210caf1cddcf2bd,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-34675470def8822f0f95e75c,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-bdf398413ef253bb761e9dbe,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-bd9bb1b851e0d8156cc98078,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-86baa2061c0054de2b591266,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-7ced067ada527c70db5f15e3,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-a44a5d9aac8af01827cb146a,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-a60a5333b521448453a0ac84,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-2c0465fea382791bad475f77,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-b446dcc2defc67c7acea728a,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-3f9e357aef91d445484bd569,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-2766a2015f9bbaf781bd02f1,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-3986f93111505cedd758e495,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-43dfbdc42e1b5279d38d1610,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-2404df98693fe3003c4a7552,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-21e1c54d78871f1bb2a390f8,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-dcbdf22ae34fab941b027ee7,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-9733bdd5b77fac69f01f6510,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-fb2f120f6fe78a66bcafa61e,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-002d4d5c3d3d96d1413f8786,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-e7bb51d0f5693cc2b503e8e0,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-b70753e69ddbed224d8bec55,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-f6a3c077d8f4145ae6c4f5fe,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-02c23c4c3b87f3fa17f85b35,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-a78fa700c1e5520ae1ef139c,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-3148ea469e58b1546124199e,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-25c0feca772efa74b8780130,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-5fbf9acb2825f565be089655,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-019d60d07f0172fa04f9708d,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-754714c209fd031a0caaf6d8,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-49e826d08bda17d5c6a9de3f,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-a4e47e1586af9cf126efe8bf,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-f1e1b4fac681694ccf05de5b,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-bd9ae49fce215448fa8e7b01,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-742833c63a605f72d1996791,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-13ef5b038886501b31294050,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-29c0ccf4ca8276d7c892ebfa,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-bbbeee9cb3aee42f072b8aac,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-9474466077762e8c04a4a0c8,prior_local_ready,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-93599c4392fef421f5f6720f,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-7bae4241b89a50300fdc472c,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-f5bd1e92701f41fb4267e977,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-67502231dfd8605cde3c9d5c,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-23e4c8a4e1cbad583bb09173,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-09314908e4b7426989d52ad2,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-fbae26edbc3e8ef2db89bd7d,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-732086bf48cc6d15d3193ca7,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-38e752ae62dce8b0feecc4db,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-4edf876f675bdeb6682b754a,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-d7e0b6c60dcba41fb61b2bf4,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-6180d20e849790ce2a5be7a9,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-f9f9a9048823bf49607a87f5,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-2b9da08cd3995a7de444c7c4,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-70ee224d9d3df10a11e743a0,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-6e0686b6d0e0212d604e864c,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-bf80884b3d1115a94d49f737,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-aff78d3246148cc44e49909d,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-1a0967f136314434d51fcd43,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-adf7db009459613ec5ccba8d,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-be641a3b7e4d1c30144403dd,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-c5504f932ab9fa5d6ad43e87,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-aafb476cb283f975db9a96b5,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-622aaddaef66126351fdbdce,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-dde17e5802fab25d180d6dab,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-259fa7f7fe554b5bee25f6c6,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-f3359f006f63279e875d6c82,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-8f3df45bf0a5cb4e6fd83f3e,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-d8debef029bbc0609a30814b,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-35b924f1339098d4ae05b838,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-076132d06a5bd83e42ee9b12,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-55b7c493d1e7b28d4aee436d,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-2afd2dd24805f58e0cd4d16e,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-4024827435cd805e855e6313,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-3c0d04a4e606a0723ea6c045,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-e088cf659e601d28d11eea82,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-531f72bbc5f1376abb0811ef,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-c14eafe3b3b03aea2f07e5f8,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-be7ba8dc22e421f8f29d0db0,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-663cc8a9328ae3ce87234e9d,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-91378164443dc2d878f6c14e,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-b900870c0a9762ab1eb1a996,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-409cf0849125d0844ef8d152,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
NORMQA-f320281da83f07e09e1042a2,staffing,True,True,True,True,True,True,True,True,True,True,True,True,True
