adjudication_performed,ambiguity_flags,canonical_external_ingestion_id,claim_linkage_status_after,compensation_basis_after,conflict_flags,conflict_reconciliation_status,department_after,expected_consequence_if_rejected,expected_consequence_if_upheld,external_administrative_observation_id,linked_claim_ids,municipality_after,pay_basis_after,period_after,proposed_analytical_role,reason_for_cross_examination,recommended_review_type,reconciled_external_observation_id,side_after,source_SHA_256,source_character_end,source_character_start,source_excerpt_or_table_row,source_page,source_row,source_table_id,normalization_match_id,formula_ids,math_compatibility_status,claim_adjudicated
False,,EXTINGEST-39ded04c09c846e8f79d2d82,event_linked_claim_pending,not_applicable,,not_applicable,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-7d10820e18ddcdf95f874aaf,,cog_2025_166502,not_applicable,2023,implementation_confirmation_candidate,lifecycle_sequence_relevance,direct manual source review,EXTRECON-7eda0b42f122daaf553e78a4,unclear,728e7f295ad3024d7989d089309d160272f4758460b39a8c1a35ad88f591c664,350795,350791,$4.6,166,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-ee85dc2a75f912c06289fa87,event_linked_claim_pending,unclear,,not_applicable,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-9c1a30eef2b24f59de03e283,,cog_2025_209092,unclear,2025,local_comparison_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-84a24179b17dc82044542404,unclear,8e6f61e8073af2fe0ed33baeb5c558613a572de3fbffb440c9ec57f5962fd6b1,317250,317246,$250,207,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-b800048bd5fb25876d094889,exact_claim_id_link,staffing_or_non_compensation,,not_applicable,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-82fb14abe01719e35b2bfba7,MECH-06,cog_2025_123727,staffing_count,undated,staffing_hypothesis_candidate,exact_claim_id_linked_direct_observation|staffing_or_vacancy_claim_relevance,direct manual source review,EXTRECON-3a952fde97c951d513a7aadd,unclear,0f07c4d695b65e6f78897ef5b25ebf8af9943033e6b078b00833d32db2bb7a89,238534,238533,1,184,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-5d29147a6d40acb1c888a860,event_linked_claim_pending,salary_schedule_rate,source_local_incompatible_literal_values,genuine_unresolved_basis_conflict,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-1b7be1ff9a49641a698413b6,,cog_2025_225686,unclear,2023,pending_reconciliation,conflicting_value_or_identity,conflict adjudication,EXTRECON-3eee42b95f0daaca6a641b60,unclear,9ffefe1601d459d23ca25790f35a85c186306b32229de7bdcd69cfe2b99d88ab,,,171607,,16,html_table_1,,,retained_not_promoted_to_math,False
False,,EXTINGEST-5d9e88a34cbc86f8ca085f98,event_linked_claim_pending,unclear,,not_applicable,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-8072932030f06485ce65758e,,cog_2025_124252,unclear,undated-source-B4X2500LIVE-20260729-004275,local_comparison_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-81b261939e8c545e9ca184f1,unclear,f0e1333ef7a3ec66ef2c2622a43a4504005e292cd1f59600108a7d6357a3f9ac,,,"Request Form Title:
Specialized Treatment Education and Prevention (STEPS) - Women's Residential Integrated Treatment Services
-
Attestation Form",,275,html_table_1,,,retained_not_promoted_to_math,False
False,,EXTINGEST-847be8ab8a9d4cfe0563c66d,event_linked_claim_pending,staffing_or_non_compensation,,not_applicable,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-5bc390791c8206656e0576a8,,cog_2025_168447,staffing_count,2026,staffing_hypothesis_candidate,staffing_or_vacancy_claim_relevance,direct manual source review,EXTRECON-c125e036569e0cc69ae0f700,unclear,943e086e4822e2ba938c3a0f24c48e86e49f74ee7eabcbed50dba0d10a1173ce,23308,23307,0,15,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-ed269557f84f1a06b428ed38,event_linked_claim_pending,staffing_or_non_compensation,,not_applicable,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-4ca94c169779869d7d8cb4c7,,cog_2025_225676,staffing_count,2023,staffing_hypothesis_candidate,staffing_or_vacancy_claim_relevance,direct manual source review,EXTRECON-fe042762fc0d3472a98ceec6,unclear,684df7bcddd0c5e41231211024fdc33b875e1868dfd072d9183578189ac3b4be,122366,122362,5.00,75,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-a48a062a518ac535820023b1,event_linked_claim_pending,staffing_or_non_compensation,,not_applicable,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-921d65ec8de22286df7226f3,,cog_2025_170299,staffing_count,2025,staffing_hypothesis_candidate,staffing_or_vacancy_claim_relevance,direct manual source review,EXTRECON-1d31a5d2e2a0ab2322b7d08f,unclear,92f1fbfd58782d11c4e84d9cb32be848f9feeddb594eb04758302b30ec9870f6,655175,655171,0.00,374,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-60bdb648c42a6e940db10924,event_linked_claim_pending,staffing_or_non_compensation,,not_applicable,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-61144665861ee7c06c63bf26,,cog_2025_109487,staffing_count,2017,staffing_hypothesis_candidate,staffing_or_vacancy_claim_relevance,direct manual source review,EXTRECON-7ae47011d3969ed3c1f6f076,unclear,9d93ced51293286c8ef02b8b45d193dfd35446f741f0a1bfe1ed668c0cf044c9,53595,53590,"1,040",23,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-e5b557ab0b520a4145a35ff5,exact_claim_id_link,staffing_or_non_compensation,,not_applicable,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-c45f6078e0bc58551462b379,MECH-06,cog_2025_168274,staffing_count,2019,staffing_hypothesis_candidate,exact_claim_id_linked_direct_observation|staffing_or_vacancy_claim_relevance,direct manual source review,EXTRECON-18d9bacee4b0a057d4d8a5e1,unclear,a00d9ffd8f4afa2c7dad884e4720a9cac910a1ece32be260049cc3d65c9c7753,992417,992415,22,333,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-584c14d217b91959cf74ba2c,exact_claim_id_link,unclear,,not_applicable,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-9ce2e4e7896d35987fb74d31,MECH-09,cog_2025_170800,unclear,2025,local_comparison_candidate,exact_claim_id_linked_direct_observation,direct manual source review,EXTRECON-2a80433eea66396819f5dba0,unclear,9eba24ee01666e0a37fc34a3c89d96244bfb5ca780e46f0936f32ecdc3e55fea,76421116,76421112,1999,,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-eaeeec9adc0ea010a6110dd9,event_linked_claim_pending,not_applicable,,not_applicable,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-9bcbb2eb941745ee63e45e09,,cog_2025_170800,not_applicable,2025,implementation_confirmation_candidate,lifecycle_sequence_relevance,direct manual source review,EXTRECON-e771ee9db68bc7fc1dcc6f37,unclear,9eba24ee01666e0a37fc34a3c89d96244bfb5ca780e46f0936f32ecdc3e55fea,86570842,86570840,31,,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-c12881f543bd83bea0d2c992,exact_claim_id_link,staffing_or_non_compensation,,not_applicable,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-43c537d82731a5a0aeb0b7b3,MECH-06,cog_2025_170800,staffing_count,2025,staffing_hypothesis_candidate,exact_claim_id_linked_direct_observation|staffing_or_vacancy_claim_relevance,direct manual source review,EXTRECON-55e0ad9ad9d3ec42ee4b5009,unclear,9eba24ee01666e0a37fc34a3c89d96244bfb5ca780e46f0936f32ecdc3e55fea,106542980,106542974,15.059,,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-f3dc5c66bec24a989eae4ceb,event_linked_claim_pending,not_applicable,,not_applicable,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-3ca4b9a39e7be5e828503eaa,,cog_2025_170800,not_applicable,2025,implementation_confirmation_candidate,lifecycle_sequence_relevance,direct manual source review,EXTRECON-8139154fc4d1a0a79a49396d,unclear,9eba24ee01666e0a37fc34a3c89d96244bfb5ca780e46f0936f32ecdc3e55fea,128300045,128300042,"11,",,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-1708db9c7fac77fc4fb0e07a,exact_claim_id_link,unclear,,not_applicable,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-fd1af066aa6de16a911f4265,MECH-09,cog_2025_170800,unclear,2025,local_comparison_candidate,exact_claim_id_linked_direct_observation,direct manual source review,EXTRECON-d65b8583dcd7d3a13b9c36ba,unclear,9eba24ee01666e0a37fc34a3c89d96244bfb5ca780e46f0936f32ecdc3e55fea,131442136,131442131,"2003,",,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-4322fa847fabb259b8274e6f,exact_claim_id_link,unclear,,not_applicable,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-f14a9d438606a41006d6fc6d,MECH-09,cog_2025_170800,unclear,2025,local_comparison_candidate,exact_claim_id_linked_direct_observation,direct manual source review,EXTRECON-e03296e6a5f674eb15679079,unclear,9eba24ee01666e0a37fc34a3c89d96244bfb5ca780e46f0936f32ecdc3e55fea,136765268,136765264,1997,,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-8d2a8282a01ae2a7e79fafc9,event_linked_claim_pending,salary_schedule_rate,,not_applicable,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-9c97c42da4f14957717560c5,,cog_2025_170800,unclear,2025,growth_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-0329d8674ce2eec3c5af25bf,unclear,9eba24ee01666e0a37fc34a3c89d96244bfb5ca780e46f0936f32ecdc3e55fea,146564676,146564675,8,,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-c31c28a88c8f455b47ddae11,exact_claim_id_link,staffing_or_non_compensation,,not_applicable,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-3c3cb53291f398d8f65ba036,MECH-06,cog_2025_186518,staffing_count,2019,staffing_hypothesis_candidate,exact_claim_id_linked_direct_observation|staffing_or_vacancy_claim_relevance,direct manual source review,EXTRECON-845f6b755e24fc5279004fa2,unclear,ea946faf36098abd2e3ce43e7a832dc16056dd43b24349d6147971e14d8e1a72,282782,282778,2018,77,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-0fae334e56a8c5f58b4afab8,event_linked_claim_pending,unclear,,not_applicable,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-ec263107466dc05bf287d6e0,,cog_2025_172800,unclear,2015,local_comparison_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-162714f27437a210471f29e7,unclear,71ed3b986c45b450db5ab723b3975c327ee2c802d58c2e42b5e2f8cf98fcef22,197189,197183,"30,000",99,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-4747cb3f4d3c1b0edfd83038,event_linked_claim_pending,benefit_component,,not_applicable,not_applicable,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-d1d97b370e2fd4b9f7bf0351,,cog_2025_161950,benefit_contribution,undated-source-B4X2500LIVE-20260729-009296,total_compensation_candidate,total_compensation_component,direct manual source review,EXTRECON-7383a0b7e297da76de320bc8,side_independent,f04dcfafc41e5814ac6c70c5fbf340ecfe173ae51fbdb5f30ce4ba2ddd5b3670,89377,89372,"2,355",53,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-938911318819e74f924807af,event_linked_claim_pending,benefit_component,,not_applicable,not_applicable,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-e0c364666342fd7f8d66ab81,,cog_2025_172918,benefit_contribution,2024,total_compensation_candidate,total_compensation_component,direct manual source review,EXTRECON-00d0e4ae81972913bb50fe39,side_independent,b0028ee3a7d3f439548076a8145ce34d1df51b8e483e35105df0c0f12303a6fc,116407,116398,"84,355.56",37,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-0b539238e98cfaaa98f3e206,event_linked_claim_pending,not_applicable,,not_applicable,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-9e70ac9451789eeb4f22779f,,cog_2025_194710,not_applicable,undated,implementation_confirmation_candidate,lifecycle_sequence_relevance,direct manual source review,EXTRECON-138807aaf234180d5f365f62,unclear,dd41380af40ecc84f03aa9d36561bb405a9b0d2bc15158575d2d8e4b9e70441c,,,Work outside Cook County,,89,html_table_1,,,retained_not_promoted_to_math,False
False,,EXTINGEST-9d7010c48a513a9a1ebff9f0,event_linked_claim_pending,staffing_or_non_compensation,,not_applicable,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-91ad0a98b86687fff28d63cf,,cog_2025_225686,staffing_count,2023,staffing_hypothesis_candidate,staffing_or_vacancy_claim_relevance,direct manual source review,EXTRECON-84122a8d352ccba25cadf05d,unclear,fe84a8409b1f8382eb4b3f17e66fb757f63e1d9ad5523b2e486f9b2f1c7d4d49,111777,111771,"56,332",48,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-71d3020b4964d2847bb5542b,event_linked_claim_pending,not_applicable,,not_applicable,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-2f88cd0dfd784b68b8828947,,cog_2025_166211,not_applicable,2025,implementation_confirmation_candidate,lifecycle_sequence_relevance,direct manual source review,EXTRECON-6b80c8a835d636977850bf10,unclear,fc2045322b80cc8506797c13b4e208f74dd29c2aa89884285de9410033836f01,371483,371479,2010,,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-826ab7c909d521c2e82a93b5,event_linked_claim_pending,staffing_or_non_compensation,,not_applicable,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-0145a397aa232836a449c6d1,,cog_2025_171041,staffing_count,2025,staffing_hypothesis_candidate,staffing_or_vacancy_claim_relevance,direct manual source review,EXTRECON-6fa6beaf485ba1155351bfac,unclear,dba0d12b89c019c020244ca3717c09f3430264e634acaab4148b750d838eb653,160504,160500,85.5,68,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-0f31b6579d8d6101bcd62ecf,event_linked_claim_pending,staffing_or_non_compensation,,not_applicable,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-4120705c8f08aee4f1cb70fc,,cog_2025_161149,staffing_count,2024,staffing_hypothesis_candidate,staffing_or_vacancy_claim_relevance,direct manual source review,EXTRECON-614f56223a6f4a620d3a743d,unclear,ad05a5461cf8f7ede0a952db753476498cff70354aacfdd19b1ee3815f7f335a,139172,139169,727,51,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-35147161a08f531f482b76ef,event_linked_claim_pending,salary_schedule_rate,,not_applicable,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-b5b2e0d4ec036a11fddfc3ac,,cog_2025_131425,unclear,2020,growth_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-b63ad9128c0adf9b2cb1fa23,unclear,020bbf33667b772062edfef533e98320542fef680ff36677c3a0075e2e6d40ee,,,NS,,1095,html_table_1,,,retained_not_promoted_to_math,False
False,,EXTINGEST-c6838ace8d5a3936e284091d,event_linked_claim_pending,benefit_component,,not_applicable,not_applicable,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-6518da27b99a6b6c0e5472fc,,cog_2025_208927,benefit_contribution,2025,total_compensation_candidate,total_compensation_component,direct manual source review,EXTRECON-46dbd780c5993d08d86aa6a6,side_independent,895a0fa9325f23abff5ab9f919a33840b74aea362d0a633398d1d28133abb13f,50863,50798,The Town will pay the full cost of the life insurance premium for,21,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-ae8f33f3b906b92e0b034603,event_linked_claim_pending,staffing_or_non_compensation,,not_applicable,not_applicable,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-44525b5873f3ee9e090f2f90,,cog_2025_193220,contextual_value,2023,contextual_only,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-9b22d698f608c4ca7e9a225f,side_independent,d2f612e88e125a9473694f1b0ca4fc9ca48c6a919139d1c87c9b0ce21e77b38b,196204,196195,"2,154,688",82,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-1ffb0f0a940c555a6478ad48,event_linked_claim_pending,staffing_or_non_compensation,,not_applicable,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-be21d91682d7d4eb1a65cbca,,cog_2025_209790,staffing_count,2022,staffing_hypothesis_candidate,staffing_or_vacancy_claim_relevance,direct manual source review,EXTRECON-27a63c6bc778f38413cc6625,police,47ff8dd3e17116f016482b35440ae70a5698e6fc135aa98478dcc3cec9dad92b,1865441,1865440,3,993,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-010f072832da4a3408747825,exact_claim_id_link,not_applicable,,not_applicable,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-97e487849f21a2b6dfb7417f,MECH-08,cog_2025_161211,not_applicable,2024,implementation_confirmation_candidate,exact_claim_id_linked_direct_observation|lifecycle_sequence_relevance,direct manual source review,EXTRECON-4939af1c2b8a94234449b1a1,unclear,580dc3fe4734beb3f8a5c1450f8e60b2ad83170b25b790cc7af7710b97cb142c,355790,355787,262,,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-fe4a074a0c2106795bb154ed,exact_claim_id_link,unclear,,not_applicable,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-6fa2dc0180eae047427f7797,MECH-09,cog_2025_185276,unclear,2024,local_comparison_candidate,exact_claim_id_linked_direct_observation,direct manual source review,EXTRECON-5f15dbabeb5f4041a01f29a7,unclear,bee6c43ac3621a772bbeb810663fc0973e5dbbde5a178a457b4c8af9ae7815bd,922145,922141,2024,,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-cef6b9e49f3be6b51342767e,exact_claim_id_link,unclear,,not_applicable,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-4a0baed0dcc9fc6cf50933b6,MECH-09,cog_2025_172800,unclear,2020,local_comparison_candidate,exact_claim_id_linked_direct_observation,direct manual source review,EXTRECON-7fd1b6c0d4366320dd1bd389,unclear,d13b128da123a3d049857739b3a530820d73b48e617247585639fed597c3c3b6,446881,446877,2021,162,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-4117621b4381ae15b54d9581,exact_claim_id_link,not_applicable,,not_applicable,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-7b33a49fa17f2fd354b80b6d,MECH-08,cog_2025_208929,not_applicable,2016,implementation_confirmation_candidate,exact_claim_id_linked_direct_observation|lifecycle_sequence_relevance,direct manual source review,EXTRECON-52d6131389bdadb388ba0b93,unclear,20e39360bd1b5353b7716a6116880ecbfbc0004fe4b78656cb901b71af38befb,3662,3645,"November 18, 2016",7,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-b31c55944e1b562b9e56dc32,exact_claim_id_link,not_applicable,,not_applicable,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-387d0eb448118d92aa9fcc9c,MECH-08,cog_2025_208929,not_applicable,2016,implementation_confirmation_candidate,exact_claim_id_linked_direct_observation|lifecycle_sequence_relevance,direct manual source review,EXTRECON-4ccecd0aa41d8e06f1951288,unclear,20e39360bd1b5353b7716a6116880ecbfbc0004fe4b78656cb901b71af38befb,41583,41580,325,44,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-8657686175d8f2c1eb83f330,event_linked_claim_pending,unclear,,not_applicable,police,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-645ea08921b8d087eb64ee5f,,cog_2025_166691,unclear,2025,local_comparison_candidate,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-f65d7c9b2d0960312027b3b8,police,62612efcc91da6e9148e44fe5974f47beae76be4cfd424b30d4b8d2e6dea27ea,,,Ingham County,,36,embedded_1,,,retained_not_promoted_to_math,False
False,,EXTINGEST-c88baa5ec9e851b5674f7866,exact_claim_id_link,not_applicable,,not_applicable,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-eaac9000f06f3261383017d7,MECH-08,cog_2025_225691,not_applicable,2016,implementation_confirmation_candidate,exact_claim_id_linked_direct_observation|lifecycle_sequence_relevance,direct manual source review,EXTRECON-dd765d8f24b1ccef23399d98,unclear,f0b595d37946c94e95c0ea5b0c514456d5c7bfe1a67b3d943bfd18613890c127,116979,116975,2011,,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-888b7880bdc374f4275721e2,event_linked_claim_pending,benefit_component,,not_applicable,not_applicable,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-cedd16125e7cc8c05a105b99,,cog_2025_209131,benefit_contribution,2016,total_compensation_candidate,total_compensation_component,direct manual source review,EXTRECON-b21d6a116ed28dcb355ca12f,side_independent,5a395c8f7032062b7cb597cdd0114ed1e77417b9e0a0ae2b364b97eb419e231b,313247,313240,"350,000",236,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-ce4b8d0ab2d33d3cc1bcacda,event_linked_claim_pending,staffing_or_non_compensation,,not_applicable,unclear,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-6fbc0955b92e1fff4a991da6,,cog_2025_172875,staffing_count,2018,staffing_hypothesis_candidate,staffing_or_vacancy_claim_relevance,direct manual source review,EXTRECON-4fd702f9b139117c30e1d0ec,unclear,5f7f1f18bb42278d01c402e9665f38ae3ebc2695c1f97e71e318ee175596042b,2534982,2534980,"3,",280,,,,,retained_not_promoted_to_math,False
False,,EXTINGEST-9567dbc3348bc6a9721325e2,event_linked_claim_pending,staffing_or_non_compensation,,not_applicable,not_applicable,removes candidate from later analytical support,retains candidate for later claim comparison,EXTOBS-5136139be887e4b0821e0261,,cog_2025_160809,contextual_value,undated-source-B4X2500LIVE-20260729-009821,contextual_only,headline_or_local_comparison_candidate,direct manual source review,EXTRECON-42ea1ffc6f4a003b96875824,side_independent,7afc99bcf6b464694aefa40758ec11cc99739ab4cad66474e99fe66715f6b4ef,755089,755088,0,118,,,,,retained_not_promoted_to_math,False
