municipality,state,unit_type,contract_or_document_period,text_extraction_queue_count,extracted_ok_count,span_queue_count,span_extracted_source_count,ambiguous_or_no_span_count
Bernards,NJ,safety_and_non_safety_bargaining_units,"Agreement effective January 1, 2020 (per resolution context; expiration/term details referenced in the document)",1,1,1,0,1
Bernards,NJ,safety_and_non_safety_bargaining_units,"Memorandum of Agreement dated December 28, 2023; Union contracts for period starting January 1, 2024",1,1,1,0,1
Bethlehem,NY,safety_and_non_safety_bargaining_units,"Article date Oct 23, 2015; references an arbitration outcome",1,1,1,0,1
Bloomfield,NJ,safety_and_non_safety_bargaining_units,2018 (resolution list for 2018; includes 5/21/18 settlement agreement reference),1,1,1,0,1
Boardman,OH,safety_and_non_safety_bargaining_units,Conciliation Award (issued in/for 2013 proceedings; successor agreement period likely 2014–2016),1,1,1,0,1
Boise City,ID,non_safety_comparator,"October 1, 2022 through September 30, 2026",1,1,1,0,1
Brainerd,MN,non_safety_comparator,"1/1/2025 to 12/31/2027 (wages sections include 2025, 2026, 2027)",1,1,1,1,0
Brainerd,MN,non_safety_comparator,"successor labor agreement 1/1/2025–12/31/2027 (wage provisions referenced for 1/1/25, 7/1/25, 1/1/26, 1/1/27)",1,1,1,0,1
Braintree Town,MA,non_safety_comparator,"Issued January 20, 2016 (CBA referenced; full contract term not reproduced in lead snippet)",1,1,1,0,1
Braintree Town,MA,non_safety_comparator,"Narrative references contract negotiations and “On January 20, 2016, the arbitrator issued his award” (full CBA/MOA period not reproduced in snippet)",1,1,1,0,1
Bridgewater,NJ,safety_and_non_safety_bargaining_units,2017-08-10 GC report (references litigation involving expired vs successor collective negotiations agreement hiatus),1,1,1,0,1
Bridgewater,NJ,safety_and_non_safety_bargaining_units,Biennial report (published content; retrieve within 2014-2024 window as relevant during follow-up),1,1,1,0,1
Brookline,MA,safety_and_non_safety_bargaining_units,2016–2019 (successor agreement period per document title),1,1,1,1,0
Brookline,MA,safety_and_non_safety_bargaining_units,"Effective July 1, 2021 through June 30, 2024",1,1,1,1,0
Brookville,OH,non_safety_comparator,Document dated 07/25/2022; effective/term dates not confirmed in lead metadata,1,1,1,0,1
Brookville,OH,non_safety_comparator,"July 1, 2020 through June 30, 2023 (overlaps Jan 1, 2021 through June 30, 2022)",1,1,1,0,1
Bryant,AR,non_safety_municipal_units,2018 budget book (target window: 2014-2024),1,1,1,0,1
Bryant,AR,non_safety_municipal_units,2019 budget book (target window: 2014-2024),1,1,1,0,1
Bryant,AR,non_safety_municipal_units,2020 budget book (target window: 2014-2024),1,1,1,0,1
Bucyrus,OH,non_safety_comparator,2023-25 (tentative; overlaps 2024),1,1,1,0,1
Buffalo,NY,non_safety_comparator,MOA labeled for 2025 successor period (exact start/end dates not extracted here),1,1,1,0,1
Buford,GA,non_safety_municipal_units,Fiscal Year 2014,1,1,1,0,1
Bullhead City,AZ,safety_and_non_safety_bargaining_units,"July 1, 2024–June 30, 2027",1,1,1,1,0
Capital,IL,safety_and_non_safety_bargaining_units,"Issued Feb 24, 2020 (interest arbitration award within 2014-2024 window)",1,1,1,1,0
Carson,NV,non_safety_comparator,"July 1, 2023 through June 30, 2027",1,1,1,0,1
Cartersville,GA,non_safety_municipal_units,FY2014 (City budget report; includes personnel/pay and budgeted expenditure context),1,1,1,0,1
Centre,IN,safety_and_non_safety_compensation_units,2021 Budget Order (Amended),1,1,1,0,1
Cheltenham,PA,safety_and_non_safety_bargaining_units,Opinion date appears to fall within 2014-2024 window (2018 in URL/path and snippet),1,1,1,0,1
Chester,PA,non_safety_comparator,Chapter 9 plan document (published/hosted 2024-11); references 'Teamsters CBA' and indicates it is between the City and the Teamsters as amended,1,1,1,0,1
Chester,PA,non_safety_comparator,"Financial recovery plan dated 2016-08-12; includes agreement-expiration information (e.g., FOP and Firefighters Local 1400 expire 12/31/2016 as indicated in the excerpt)",1,1,1,1,0
Chester,PA,non_safety_comparator,"Recovery plan document (published/dated 2020-08-20) referencing prior/expiring agreements (e.g., FOP/Firefighters expire 12/31/2016 as noted in the document excerpt)",1,1,1,0,1
Cicero,NY,safety_and_non_safety_bargaining_units,Includes PBA contract 01.01.2023–12.31.2027; CSEA Highway Agreement 01.01.2022–12.31.2025 (page also lists other agreements outside 2014-2024),1,1,1,0,1
City of Orange,NJ,safety_and_non_safety_bargaining_units,"Reported reference to City of Orange Township arbitration-related matter (noting “City of Orange Twp., 2019 …” within the biennial report)",1,1,1,1,0
Claremore,OK,non_safety_municipal_units,2019/2020 (collective bargaining agreement referenced),1,1,1,0,1
Claremore,OK,non_safety_municipal_units,2021/2022 (collective bargaining agreement referenced),1,1,1,0,1
Claremore,OK,non_safety_municipal_units,FY-17 / 2017/2018 (collective bargaining agreement referenced),1,1,1,0,1
Clear Creek,OH,safety_and_non_safety_bargaining_units,2021-2023,1,1,1,1,0
Clemson,SC,non_safety_municipal_units,2014-2024 target window,1,1,1,0,1
Cleveland,OH,non_safety_comparator,2025-2028,2,2,2,0,2
Clinton charter,MI,safety_and_non_safety_bargaining_units,2016-2021 (expires/term appears within title/filename),1,1,1,0,1
Colchester,VT,non_safety_municipal_units,not specified in the search snippet; historical archive entry (likely within 2014–2024 window),1,1,1,0,1
Coldwater,MI,non_safety_comparator,"Effective July 1, 2024 – June 30, 2027",1,1,1,0,1
Comstock charter,MI,safety_and_non_safety_compensation_units,2021-01-01 through 2021-12-31 (agreement term language) + referenced rate schedule Exhibit I,1,1,1,1,0
Coolidge,AZ,non_safety_municipal_units,Fiscal Year 2017,1,1,1,0,1
Corinth,TX,non_safety_municipal_units,2016–2017,1,1,1,0,1
Corinth,TX,non_safety_municipal_units,2019–20,1,1,1,0,1
Corinth,TX,non_safety_municipal_units,2020–21,1,1,1,0,1
Cottonwood Heights,UT,safety_and_non_safety_bargaining_units,2014-2024 target window,1,1,1,0,1
Cottonwood Heights,UT,safety_and_non_safety_bargaining_units,Board packet dated 02/16/2021 (no specific CBA/arbitration period identified in locator),1,1,1,0,1
Cottonwood Heights,UT,safety_and_non_safety_bargaining_units,"Policy dated/“Policy distributed: December 7, 2022” (effective context not otherwise specified in locator)",1,1,1,0,1
Coventry,RI,safety_and_non_safety_bargaining_units,"September 1, 2012 — August 31, 2015",1,1,1,0,1
Cranberry,PA,safety_and_non_safety_bargaining_units,"Successor negotiations following CBA expired December 31, 2024 (fact-finding in 2025)",1,1,1,0,1
Cumberland,RI,safety_and_non_safety_bargaining_units,2014-2024 (listing may link to multiple contract periods),1,1,1,0,1
Danvers,MA,safety_and_non_safety_bargaining_units,Not stated in lead listing (source appears to be a multi-year/continuing fiscal-year contract; target window inferred),1,1,1,1,0
Dartmouth,MA,safety_and_non_safety_bargaining_units,"April 6, 2015 (as indicated by related case identifier listing on referenced index page; exact award period not provided in lead)",1,1,1,0,1
Deerfield,OH,safety_and_non_safety_bargaining_units,CBA associated with SERB Case 19-MED-06-0577 (contract document in SERB Contracts repository; dated/period details inside record),1,1,1,1,0
Deerfield,OH,safety_and_non_safety_bargaining_units,"Conciliation award issued May 30, 2014 for SERB No. 2013-MED-10-1321",1,1,1,0,1
Delhi,OH,safety_and_non_safety_bargaining_units,"MOU dated and effective December 18, 2019; referenced as attached to parties’ CBA (PDF hosted under 19-MED-10-1139 addendums)",1,1,1,0,1
Delran,NJ,non_safety_municipal_units,CY 2014 municipal budget cycle (introduced for CY 2014),1,1,1,0,1
Delran,NJ,non_safety_municipal_units,CY 2020 municipal budget cycle (presentation),1,1,1,0,1
Delta charter,MI,safety_and_non_safety_bargaining_units,2022 (CBA; effective/expiration not extracted),1,1,1,1,0
Delta charter,MI,safety_and_non_safety_bargaining_units,Memorandum of Understanding 2022-2 (effective Feb. 2022; end date not extracted),1,1,1,0,1
Denver,CO,non_safety_comparator,"In full force and effect until December 31, 2022 (effective/term language appears in document snippet)",1,1,1,0,1
Denville,NJ,safety_and_non_safety_compensation_units,Confidential Salary Ordinance labeled 2022–2025 (salary/conditions for employees not governed by collective bargaining).,1,1,1,0,1
Denville,NJ,safety_and_non_safety_compensation_units,"Salary ordinance tied to MOA signed Sep 22, 2021; includes salary schedule beginning 1/1/2022 and additional effective dates through the document period label (2022-2025).",1,1,1,0,1
Downers Grove,IL,safety_and_non_safety_bargaining_units,May 2023 - April 2026,1,1,1,1,0
Dracut,MA,safety_and_non_safety_bargaining_units,2014-2024 target window,2,2,2,0,2
Dryden,NY,safety_and_non_safety_compensation_units,"Mentions current labor agreement effective June 1, 2013 to May 31, 2016 (as described in the study)",1,1,1,0,1
Dublin,OH,non_safety_comparator,"January 1, 2023 – December 31, 2025",1,1,1,0,1
Dumas,TX,safety_and_non_safety_compensation_units,2017-2018 Annual Budget (Wage & Salary Schedule effective 10/1/2015),1,1,1,0,1
Dumas,TX,safety_and_non_safety_compensation_units,2020-2021 Final Budget (Wage & Salary Schedule effective 10/1/2020),1,1,1,0,1
Easley,SC,non_safety_municipal_units,Annual budget documents (2014-2024 range; to be selected from page list),1,1,1,0,1
Easley,SC,non_safety_municipal_units,FY 2018-2019 (operating budget),1,1,1,0,1
Easley,SC,non_safety_municipal_units,FY 2019-2020 (as implied by FY 2020 budget document),1,1,1,0,1
East Norriton,PA,safety_and_non_safety_compensation_units,"December 31, 2019 audit financial statement period",1,1,1,0,1
East Norriton,PA,safety_and_non_safety_compensation_units,"December 31, 2023 audit financial statement period",1,1,1,0,1
East Norriton,PA,safety_and_non_safety_compensation_units,FY2024 financial statements period (document labeled FY2024),1,1,1,0,1
East Orange,NJ,non_safety_comparator,2022–2027 (stated in locator title),1,1,1,0,1
Easton,MA,non_safety_municipal_units,2018-07-01 to 2021-06-30,1,1,1,0,1
Eden Prairie,MN,non_safety_comparator,"Effective July 1, 2023 through June 30, 2025",1,1,1,0,1
Edgerton,WI,non_safety_comparator,"Contract term stated in document (run from July 1, 1988 through June 30, 1999).",1,1,1,0,1
Edison,NJ,safety_and_non_safety_bargaining_units,2014 arbitration-related proceeding referenced,1,1,1,0,1
Edwardsville,IL,safety_and_non_safety_bargaining_units,2024-2027 (listed on page),1,1,1,0,1
Egg Harbor,NJ,safety_and_non_safety_bargaining_units,Meeting notice dated 2014-08-14; references SN-2013-029 & SN-2013-030,1,1,1,0,1
Egg Harbor,NJ,safety_and_non_safety_bargaining_units,PERC synopsis published 2014-08-14; docket numbers SN-2013-029 & SN-2013-030 (time window plausibly within 2013-2014),1,1,1,0,1
El Dorado,AR,safety_and_non_safety_compensation_units,2014-2024 (searchable archive; exact document years need follow-up),1,1,1,0,1
El Mirage,AZ,safety_and_non_safety_bargaining_units,Referenced arbitration decision: December 2021 (MOU referenced; contract dates not confirmed in the locator result),1,1,1,0,1
Elizabeth City,NC,non_safety_municipal_units,Updated/posted 2025-06-23 (manual); pay plan administration language present,1,1,1,0,1
Elk Grove,CA,non_safety_comparator,"Salary schedule file includes effective and revised dates (e.g., effective 7/13/2025; revised 12/14/2025 shown in search snippet)",1,1,1,0,1
Elk Grove,CA,non_safety_comparator,Unrepresented Compensation Policy effective for unrepresented employees (as authorized in staff report/resolution packet); city-wide salary schedule adopted in FY2026-27 context,1,1,1,0,1
Ellington,CT,safety_and_non_safety_compensation_units,"July 1, 2022 - June 30, 2025",1,1,1,0,1
Ephrata,PA,non_safety_comparator,2024-2025 (within target window); schedule references multi-year CBA context in snippet,1,1,1,0,1
Eustis,FL,non_safety_comparator,"Effective through September 30, 2027 (term described as three-year period; snippet also references 10/1/2024 wage increase)",1,1,1,0,1
Exeter,NH,safety_and_non_safety_compensation_units,2022-2024,1,1,1,0,1
Fairview,NJ,non_safety_comparator,"Memorandum of Understanding term: January 1, 2024 through December 31, 2026 (as referenced as attached to the resolution)",1,1,1,0,1
Fall River,MA,non_safety_comparator,multiple (site lists current/prior agreements),1,1,1,0,1
Falls,PA,safety_and_non_safety_bargaining_units,"arbitration award referenced as Jan. 5, 2022; dispute involves disciplinary matter ending with a reduced suspension",1,1,1,0,1
Falls,PA,safety_and_non_safety_bargaining_units,"references January 5, 2022 arbitration award (successor/dispute context tied to 2022); hearing/charge filed July 28, 2023",1,1,1,0,1
Forney,TX,safety_and_non_safety_bargaining_units,"To expire September 30, 2024 (meet & confer period referenced by the council item)",1,1,1,0,1
Fort Thomas,KY,safety_and_non_safety_compensation_units,Ordinance O-03-2024 (described as 24/25 Pay Classification Plan in minutes),1,1,1,0,1
Fort Thomas,KY,safety_and_non_safety_compensation_units,"Ordinance O-05-2024 (effective on September 1, 2024 per document snippet)",1,1,1,0,1
Fort Thomas,KY,safety_and_non_safety_compensation_units,Ordinance O-08-2017 (2017-2018 Fiscal Year per snippet),1,1,1,0,1
Franconia,PA,safety_and_non_safety_compensation_units,2023-10-16 (minutes referencing prior police collective bargaining agreement),1,1,1,0,1
Franconia,PA,safety_and_non_safety_compensation_units,2024-12-16 (agenda item referencing extension),1,1,1,0,1
Franklin,OH,safety_and_non_safety_bargaining_units,Not fully confirmed from snippet alone (SERB contract PDF; target window is 2014-2024).,1,1,1,1,0
Freehold,NJ,safety_and_non_safety_bargaining_units,"January 1, 2022 through December 31, 2026",3,3,3,2,1
Fruita,CO,safety_and_non_safety_compensation_units,"2024 Budget overview (meeting dated Sept 26, 2023)",1,1,1,0,1
Galloway,NJ,safety_and_non_safety_bargaining_units,2014-2024 target window,2,2,2,0,2
Garden Grove,CA,non_safety_comparator,"2018 (effective March 14, 2018 per document header)",1,1,1,0,1
Garden Grove,CA,non_safety_comparator,2022 (effective 07/09/2022 per document context),1,1,1,0,1
Geddes,NY,safety_and_non_safety_compensation_units,"O&T: 2019-2022; PBA: Jan 1, 2022 through Dec 31, 2023 (per document text snippet)",1,1,1,0,1
Genoa,OH,safety_and_non_safety_bargaining_units,2021-2023,1,1,1,1,0
Georgetown,MA,non_safety_comparator,2015–2018 (document appears as “2015-2018 Georgetown CBA - Draft” per locator context),1,1,1,0,1
Gladstone,MO,non_safety_comparator,2023-2026,1,1,1,0,1
Glassboro,NJ,non_safety_comparator,"Includes “Transp Aides MOA Copy of Glassboro 25-28 MOA to BOE 1-20-26” / aligns to July 1, 2025–June 30, 2028 salary-guide years",1,1,1,0,1
Glassboro,NJ,non_safety_comparator,Salary guide covering the GEA MOA period (document content indicates 2025-2028 alignment; filename appears as base year guide),1,1,1,0,1
Glastonbury,CT,safety_and_non_safety_bargaining_units,"Arbitration awards compilation issue (2014 Issue No. 1); includes an entry for Glastonbury City of & Glastonbury Police Officers Association (date shown in source index: Aug. 10, 2012; docket shown in source index: 2012–A–0032)",1,1,1,0,1
Goffstown,NH,non_safety_municipal_units,2019 budget discussion (annual report),1,1,1,0,1
Goffstown,NH,non_safety_municipal_units,Proposed 2025 adjustment; references wage matrix implementation on 07/01/2024,1,1,1,0,1
Greenfield,WI,non_safety_comparator,2024-2026 (FY25-FY26 referenced in filename),1,1,1,0,1
Grosse Pointe Woods,MI,non_safety_comparator,"Four (4) year contract: July 1, 2022 through June 30, 2026",1,1,1,0,1
Groton,CT,safety_and_non_safety_bargaining_units,"Unspecified on landing page; contains links to various CBA periods (some outside 2014–2024, but likely includes relevant time-window documents via related documents listing/archived items)",1,1,1,0,1
Groveport,OH,non_safety_comparator,"July 1, 2022 through June 30, 2024",1,1,1,1,0
Guilford,CT,non_safety_municipal_units,2016–2020 (per file name; agreement period not fully revalidated here),1,1,1,0,1
Guilford,CT,non_safety_municipal_units,"Effective July 1, 2018 through June 30, 2021 (per document excerpt)",1,1,1,0,1
Hamilton,NJ,safety_and_non_safety_bargaining_units,"Three-year contract beginning January 1, 2019 (end year not captured in snippet)",1,1,1,0,1
Hanover,IL,safety_and_non_safety_bargaining_units,2022-2025 (per hosted agreement title block),1,1,1,1,0
Harrison,NJ,safety_and_non_safety_compensation_units,"Effective January 1 for 2016, 2017, 2018, 2019, 2020 (salary schedule years listed)",1,1,1,0,1
Hartselle,AL,safety_and_non_safety_compensation_units,(page states) Current Pay Plan as of October 2025 (not a 2014-2024 dated series on-page),1,1,1,0,1
Havelock,NC,safety_and_non_safety_compensation_units,FY 2014-2015,1,1,1,0,1
Havelock,NC,safety_and_non_safety_compensation_units,FY 2020-2021,1,1,1,0,1
Henderson,NC,safety_and_non_safety_compensation_units,"FY 2018-2019 (with Public Safety Pay Schedule Phase Five, FY2019)",1,1,1,1,0
Henderson,NC,safety_and_non_safety_compensation_units,FY 2024 (with pay schedule revision effective 7/1/23),1,1,1,1,0
Henderson,NC,safety_and_non_safety_compensation_units,FY 2025 (contains Public Safety Schedule revised 7/1/23 which falls within target window boundary),1,1,1,1,0
Hendersonville,NC,safety_and_non_safety_compensation_units,FY22-23 (budget adopted for the fiscal year),1,1,1,1,0
Hialeah,FL,non_safety_comparator,"October 1, 2023 - September 30, 2026",1,1,1,0,1
Hidalgo,TX,safety_and_non_safety_compensation_units,Chapter 8 (Policies and Procedures); labeled final CCP chapter document (112018),1,1,1,1,0
Hidalgo,TX,safety_and_non_safety_compensation_units,"Effective January 1, 2024 (Law Enforcement Pay Plan - Salary Table)",1,1,1,0,1
Hidalgo,TX,safety_and_non_safety_compensation_units,Salary schedules (multiple years/tables available; includes Law Enforcement Step and Grade Pay Plan),1,1,1,0,1
Hobbs,NM,non_safety_comparator,"July 1, 2022 through June 30, 2025 (and/or related continuation/amendment context; see packet)",1,1,1,0,1
Hobbs,NM,non_safety_comparator,"July 1, 2022 through June 30, 2027 (as referenced within the packet)",1,1,1,0,1
Holliston,MA,safety_and_non_safety_compensation_units,"July 1, 2014 to June 30, 2017",1,1,1,0,1
Hooksett,NH,safety_and_non_safety_compensation_units,07/01/2024-06/30/2027,1,1,1,0,1
Hooksett,NH,safety_and_non_safety_compensation_units,Referenced: 07/01/2017-06/30/2020,1,1,1,0,1
Hope Mills,NC,non_safety_municipal_units,2014-2024 (collection page pointing to multiple adopted budget PDFs),1,1,1,0,1
Horizon City,TX,non_safety_municipal_units,FY2016 Operating Budget,1,1,1,0,1
Hot Springs,AR,non_safety_comparator,"2024-2025 (""24.25"" in title/locator)",1,1,1,1,0
Hot Springs,AR,non_safety_comparator,"2024-2025 school year (listed as Classified Salary Schedules, 2024-2025)",1,1,1,0,1
Hudson,NH,non_safety_municipal_units,"July 1, 2020 — June 30, 2024 (as indicated by agreement headings/wage schedule sections)",1,1,1,0,1
Jackson,OH,safety_and_non_safety_bargaining_units,"Effective Sep 1, 2021 to Aug 31, 2024 (document references parties’ collective bargaining agreement period)",1,1,1,0,1
Jacksonville,TX,safety_and_non_safety_compensation_units,2014-2024 target window (study solicitation; specific term not shown in lead snippet),1,1,1,1,0
Jamestown,NY,non_safety_comparator,Not a single contract (directory/index),1,1,1,0,1
Jenks,OK,safety_and_non_safety_bargaining_units,"Effective July 1, 2023 to (not including) July 1, 2025 (per “ARTICLE 32 DURATION OF AGREEMENT” shown in agenda file excerpt)",1,1,1,1,0
Kingsland,GA,non_safety_municipal_units,Fiscal Year 2013-14 budget adoption (City budget report labeled FY2014),1,1,1,0,1
Knightdale,NC,non_safety_municipal_units,FY2025 (Limited Service Position Classification Plan; Effective 07/01/2024),1,1,1,0,1
La Marque,TX,non_safety_municipal_units,Fiscal Year 2016-2017,1,1,1,0,1
La Marque,TX,non_safety_municipal_units,Fiscal Year 2018-2019,1,1,1,0,1
La Marque,TX,non_safety_municipal_units,Fiscal Year 2019-2020,1,1,1,0,1
Lackawanna,NY,non_safety_comparator,2013 City Council communications referencing Chapter 36-19 wage schedule/classification (context around non-bargaining-unit wage schedule changes),1,1,1,1,0
Lakeway,TX,non_safety_municipal_units,"Not explicitly stated in locator/snippet; appears to describe the adopted salary schedule mechanics (ranges, steps, midpoint/step gaps, step increment rate)",1,1,1,1,0
Lakewood,NJ,safety_and_non_safety_bargaining_units,2014 (meeting/minutes; resolution authorizing execution of a CBA),1,1,1,0,1
Lee's Summit,MO,non_safety_comparator,2022-2025 (with contingent alignment through 2026 suggested by target window),1,1,1,0,1
Lenoir,NC,non_safety_municipal_units,"Fiscal Year July 1, 2020 – June 30, 2021",1,1,1,0,1
Lockport,IL,safety_and_non_safety_bargaining_units,2019-2023,1,1,1,0,1
Lockport,NY,non_safety_municipal_units,"2023 update (implied coverage into subsequent years, including effective dates)",1,1,1,0,1
Lockport,NY,non_safety_municipal_units,Through Dec. 2026,1,1,1,0,1
Lodi,NJ,non_safety_comparator,2025-2029,2,2,2,0,2
Long Branch,NJ,non_safety_comparator,2023-2026,1,1,1,0,1
Loveland,OH,non_safety_comparator,"Effective May 5, 2020 through May 1, 2023",2,2,2,0,2
Lower Paxton,PA,safety_and_non_safety_bargaining_units,2014-2024 target window,1,1,1,0,1
Lyndhurst,NJ,non_safety_municipal_units,Adopted Budget: 2016 (fiscal year),1,1,1,0,1
Manassas Park,VA,safety_and_non_safety_compensation_units,FY 2017 budget deliberations (referenced in minutes),1,1,1,1,0
Manchester,NJ,safety_and_non_safety_bargaining_units,2013-2014 (arbitration-related grievance; synopsis dated 2014-01-30),1,1,1,0,1
Manchester,NJ,safety_and_non_safety_bargaining_units,2013-2014 (unit clarification matter; synopsis dated 2014-04-24),1,1,1,0,1
Manor,TX,non_safety_municipal_units,Unspecified (handbook section; contains explicit compensation mechanisms),1,1,1,0,1
Marietta,GA,safety_and_non_safety_bargaining_units,2014-2024 target window,1,1,1,0,1
Marietta,GA,safety_and_non_safety_bargaining_units,2018 (article date),1,1,1,0,1
Marshall,TX,non_safety_municipal_units,"2024 ANNUAL BUDGET (PDF) — City of Marshall, Texas (Version 1 indicates 1/26/2024 draft timing)",1,1,1,0,1
Mashpee,MA,safety_and_non_safety_compensation_units,"Police Unit B Sergeants MOA series shown as 2014-2017, 2017-2020, 2020-2023, with later MOAs through 2023-2026; page also lists DPW Unit B Contract 2023-2026 and other salary-table periods (page aggregation)",1,1,1,0,1
Mattoon,IL,non_safety_comparator,"2022/2023 Compensation Plan (effective May 1, 2022 per ordinance text)",1,1,1,0,1
McCandless,PA,safety_and_non_safety_bargaining_units,2014-2024 target window,1,1,1,0,1
Mebane,NC,non_safety_municipal_units,"FY2020-2021 budget cycle (pay plan adopted each year with the budget; packet dated Jan 6, 2020)",1,1,1,0,1
Mebane,NC,non_safety_municipal_units,FY2023-2024 budget cycle (recommended budget document),1,1,1,0,1
Menasha,WI,non_safety_comparator,"January 1, 2019 – December 31, 2020",2,2,2,0,2
Menomonee Falls,WI,non_safety_comparator,Mentions wage proposals across 2022-2025 and Menomonee Falls 2024 settlement (exact contract period not extracted here),1,1,1,0,1
Mentor-on-the-Lake,OH,non_safety_comparator,"June 25, 2016 to June 24, 2019 (wage re-opener effective June 25, 2018)",1,1,1,0,1
Mercedes,TX,safety_and_non_safety_compensation_units,2024-07-13 meeting minutes (exact compensation schedule contents not extracted),1,1,1,0,1
Meridian charter,MI,safety_and_non_safety_bargaining_units,2014-2016 (as referenced in board minutes),1,1,1,0,1
Miami,OH,non_safety_comparator,"Effective July 1, 2022 through June 30, 2025",1,1,1,0,1
Miami Gardens,FL,non_safety_comparator,"Effective October 1, 2022 through September 30, 2025",1,1,1,0,1
Middletown,PA,safety_and_non_safety_bargaining_units,2014-2024 (entry likely within broader historical range; exact award/decision date not specified in locator snippet),1,1,1,0,1
Millbrook,AL,safety_and_non_safety_compensation_units,document dated/published 2019-08 (benefits summary; compensation-related terms may be referenced indirectly),1,1,1,0,1
Millbrook,AL,safety_and_non_safety_compensation_units,index page containing agenda entries (includes an example: “RESOLUTION 26-38 Amending Resolution 14-01. Personnel Policy.”),1,1,1,0,1
Millburn,NJ,non_safety_municipal_units,Ordinance 2599-22 (Salary Ordinance) — years 2021-2025,1,1,1,0,1
Millcreek,PA,safety_and_non_safety_bargaining_units,References successor agreement / arbitration-informed bargaining timeline (2020 opinion),1,1,1,1,0
Milton,NY,non_safety_municipal_units,2014 (audit reference label 2014M-357; report issued in 2015),1,1,1,0,1
Milton,WA,non_safety_comparator,City budget mentions wage increases tied to a labor agreement (annualized; year-specific references),1,1,1,0,1
Mokena,IL,non_safety_municipal_units,FY 2013/2014 budget materials (FY14Budget.pdf; within 2014 target window),1,1,1,0,1
Monroe,NJ,safety_and_non_safety_bargaining_units,2014-2024 (award periods vary; table used to find Monroe Township specific dockets within target window),1,1,1,0,1
Monroe,NJ,safety_and_non_safety_bargaining_units,2023-2026 (MOA ratified in packet; overlaps 2024 target window),1,1,1,0,1
Moore,OK,non_safety_comparator,2025-2026 (negotiated contract and procedural agreement),1,1,1,0,1
Moorestown,NJ,non_safety_municipal_units,"Memorandum of Agreement covering January 1, 2013 through December 31, 2018 (successor agreement; successor continuation into 2014-2016)",1,1,1,0,1
Moorestown,NJ,non_safety_municipal_units,"Three-year labor agreement for January 1, 2014 through December 31, 2016",1,1,1,0,1
