citation_id,municipality,state,document_title,document_type,source_family,year,compensation_cycle,effective_date_or_period,page_number,section_heading,table_name_or_row_label,public_source_url,archived_source_reference,citation_display_short,citation_display_full,technical_lineage_id,source_hash,repo_source_path
CITE-bb56710ea17b4c9a7a8c36b8,Tinicum,PA,Tinicum Township Final Budget-2026 (General Fund) – Police salary line items,budget or pay plan,budget_or_pay_plan,2026,2026,2026,,"430.000 · PUBLIC WORKS:430.198 · HSA - PW 24,000 9,000 18,000",,https://tinicumtownship.org/wp-content/uploads/2025/12/2026-Final-Budget-All-Funds21.pdf,retained local source available,"Tinicum, Pennsylvania, Budget Or Pay Plan, 2026.","Tinicum, Pennsylvania, Tinicum Township Final Budget-2026 (General Fund) – Police salary line items, budget or pay plan, 2026, § 430.000 · PUBLIC WORKS:430.198 · HSA - PW 24,000 9,000 18,000.",BRMSAMESIDEQA-108b15c6f4c19de8caefb44c,67521b98517cb4949ca300697174527d4867ecc1ea3cdbf6c6bbb6af80526379,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-QUANTITATIVE-NORMALIZATION-AND-MATCHING-2026-08-03/normalized_quantitative_records.csv#BRMQNORM-20260803-00d4584dfc5c7bc9c8ab9726
CITE-bc2eb5ab41d7f7c0469ffa73,Orchard Lake Village,MI,"Police Officers Labor Council (POLC) - Letter of Agreement Regarding Desk Officer (moving Police Clerk position from GELC to POLC) - September 16, 2024 Agenda",wage schedule,wage_schedule,2024,2024,2024,,,,https://cityoforchardlake.community.diligentoneplatform.com/document/0af5d23b-cfb0-48cc-b58f-bf7694d1bbe3,retained local source available,"Orchard Lake Village, Michigan, Wage Schedule, 2024.","Orchard Lake Village, Michigan, Police Officers Labor Council (POLC) - Letter of Agreement Regarding Desk Officer (moving Police Clerk position from GELC to POLC) - September 16, 2024 Agenda, wage schedule, 2024.",WCM-00e4cf7635c260c4072a5eb6,20802ae1237e636c6b8f9c39f513f09428877017a257a94c312c711992c8043a,
CITE-ef60ef0efd38dc082fb57817,Woodstock,NY,COLLECTIVE BARGAINING AGREEMENT (2025-2029) — Town of Woodstock and United Federation of Police Officers Local #439 (Tentative),wage schedule,wage_schedule,2025,2025,2025,,8 COMPENSATION,,https://woodstockny.gov/application/files/5817/6796/9507/Tentative_Police_Agreement_2025_2029.pdf,retained local source available,"Woodstock, New York, Wage Schedule, 2025.","Woodstock, New York, COLLECTIVE BARGAINING AGREEMENT (2025-2029) — Town of Woodstock and United Federation of Police Officers Local #439 (Tentative), wage schedule, 2025, § 8 COMPENSATION.",WCM-bd62a36deb15fdc3fd897176,f906773742c64f3d759f16d2f8da16ba8c2ecd9b8ad62b9316c5098bbde7e6db,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-d3e4279dfecad4d9ef70b8b0
CITE-d35754dc1d4826c5622d9f73,Wrightstown,WI,2026 Budget Overview Memo (Village of Wrightstown) — Police Department: Salaries & Benefits (CPI increases),budget or pay plan,budget_or_pay_plan,2025,2025,2025,,,,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/5174/VOW/6147418/2026_BUDGET_OVERVIEW_Final_Approved.pdf,retained local source available,"Wrightstown, Wisconsin, Budget Or Pay Plan, 2025.","Wrightstown, Wisconsin, 2026 Budget Overview Memo (Village of Wrightstown) — Police Department: Salaries & Benefits (CPI increases), budget or pay plan, 2025.",WCM-1ee742c8ba136c663bc89ab7,7b7ab2077424149a298632cc857439260b04d59edafb078befb7a3a22ee7aaf4,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-277f81003aef39b534f07f42
CITE-84798c4ffc1143d2652fb935,Plymouth,WI,"City Common Council packet/agenda including Resolution No. 6 of 2026 amending the 2026 Salary Schedule related to the Fire Chief (City of Plymouth, Wisconsin)",wage schedule,wage_schedule,2026,2026,2026,,,,https://plymouthwi.gov/AgendaCenter/ViewFile/Agenda/_03102026-309,retained local source available,"Plymouth, Wisconsin, Wage Schedule, 2026.","Plymouth, Wisconsin, City Common Council packet/agenda including Resolution No. 6 of 2026 amending the 2026 Salary Schedule related to the Fire Chief (City of Plymouth, Wisconsin), wage schedule, 2026.",WCM-c091ca2ec40feaeda493f102,42d6b17c89e9df0f0636cdb5b8e9412827e9b2820b54bda21441fe541d8a76f5,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-9df3b16e6029358eb5eceabf
CITE-2e3e5c13284c234a8f47e36d,Ontario,NY,"Memorandum of Agreement (MOA) By and Between the Town of Ontario and the Civil Service Employees Association, Inc., Local 1000, AFSCME, AFL-CIO — Clerical Unit #9111-01 (amending Jan 1, 2021–Dec 31, 2025 CBA)",civil-service or HR pay plan,civil_service_or_hr_pay_plan,2021,2021,2021,,CLERICAL UNIT #9II1-01,,https://cms8.revize.com/revize/ontariony/Town%20Board%20Agendas/2022/TBM%2010.03.2022%20Agenda.pdf,retained local source available,"Ontario, New York, Civil-Service Or Hr Pay Plan, 2021.","Ontario, New York, Memorandum of Agreement (MOA) By and Between the Town of Ontario and the Civil Service Employees Association, Inc., Local 1000, AFSCME, AFL-CIO — Clerical Unit #9111-01 (amending Jan 1, 2021–Dec 31, 2025 CBA), civil-service or HR pay plan, 2021, § CLERICAL UNIT #9II1-01.",WCM-04e55c26cb92f005699651ae,50bcffadc8917cc23118145a8b35e9efc59ffb2b25fe1abf93c563cf076545c4,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-dd31421eb11e3cbfef1a6f35
CITE-3aaa8326b5bb8dc0e707fd43,Flint charter,MI,FLINT TOWNSHIP/POAM — AGREEMENT (between the Charter Township of Flint and Police Officers Association of Michigan),collective bargaining agreement,cba,,,,,FLINT TOWNSHIP/POAM,,https://sanweb.lib.msu.edu/LIR/contracts/c4842.pdf,retained local source available,"Flint charter, Michigan, Collective Bargaining Agreement, date not explicit.","Flint charter, Michigan, FLINT TOWNSHIP/POAM — AGREEMENT (between the Charter Township of Flint and Police Officers Association of Michigan), collective bargaining agreement, § FLINT TOWNSHIP/POAM.",WCM-011e3b99eae1634ebb2b3209,bdb98d06a108abae4494e93f2af57a00bf969bc6afa8fbc008b69a336836194e,
CITE-74c1ca4e630480b4899e3730,Big Bear Lake,CA,"Memorandum of Understanding (MOU) — Teamsters Local 1932, General Employees Unit (Effective July 1, 2023 to June 30, 2026)",memorandum of understanding,mou_or_memorandum,2023,2023,2023,,GENERAL EMPLOYEES UNIT,,https://teamsters1932.org/app/uploads/2023/10/BBL-MOU-7-1-23-to-6-30-26.pdf,retained local source available,"Big Bear Lake, California, Memorandum Of Understanding, 2023.","Big Bear Lake, California, Memorandum of Understanding (MOU) — Teamsters Local 1932, General Employees Unit (Effective July 1, 2023 to June 30, 2026), memorandum of understanding, 2023, § GENERAL EMPLOYEES UNIT.",WCM-07320828baa6abf5cfd3efa9,37a2f24e86e541740d7f273c5d85a33a18edb2fce6670d5c339f4f69214ef903,
CITE-ecede81728ac14895587db58,Lancaster,NY,INTEREST ARBITRATION - Opinion and Award (Compulsory Interest Arbitration Award) - Town of Lancaster and Lancaster Police Benevolent Association (Cayuga Club),arbitration award,arbitration_award,2024,2024,2024,,,,https://perb.ny.gov/system/files/documents/2024/03/ia83-014-award-9-2-83.pdf,retained local source available,"Lancaster, New York, Arbitration Award, 2024.","Lancaster, New York, INTEREST ARBITRATION - Opinion and Award (Compulsory Interest Arbitration Award) - Town of Lancaster and Lancaster Police Benevolent Association (Cayuga Club), arbitration award, 2024.",WCM-031cd2f4bfe82508166c8fd4,35104aeed4bb53dd644227d6d1edf26907255c0ec08d380eabd479e624dde7f7,
CITE-59882662182d52f261248f98,Washington,PA,"Council Meeting Minutes – April 2, 2020 (IAFF Local 2218 contract effective dates)",council packet or minutes,agenda_packet_or_minutes,2020,2020,2020,,,,https://washingtonpa.us/council-meeting-minutes-april-2-2020,retained local source available,"Washington, Pennsylvania, Council Packet Or Minutes, 2020.","Washington, Pennsylvania, Council Meeting Minutes – April 2, 2020 (IAFF Local 2218 contract effective dates), council packet or minutes, 2020.",WCM-1bc6d229b4c31bb7d94b1b48,bb234e3e8cde760f61a7d8f728ec5e68fb58b8c18e0eafb5ebf25fd49c0a064c,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-15c337c586fb98bb0ab78a0c
CITE-3e7d40d04ad50ac6a5de3a37,Worthington,OH,"Resolution No. 54-2024: Approving the Provisions of a Collective Bargaining Agreement Between the City of Worthington, Ohio and the International Association of Firefighters Local #3498",arbitration award,arbitration_award,2024,2024,2024,,,,https://worthington.org/Archive/ViewFile/Item/5984,retained local source available,"Worthington, Ohio, Arbitration Award, 2024.","Worthington, Ohio, Resolution No. 54-2024: Approving the Provisions of a Collective Bargaining Agreement Between the City of Worthington, Ohio and the International Association of Firefighters Local #3498, arbitration award, 2024.",WCM-5c9345bfec4c446c7822923f,12ac80bcf13c6dd3e7582aa4d008945fc1d4b9ab538f643942260af13892bb16,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-0b4be36369b60bc235a90e48
CITE-fd579e21b491a90493ce9b51,Hanover,OH,"Village of Hanover Council Meeting Minutes (Nov 13, 2024) — Ordinance 33-2024 salary setting",wage schedule,wage_schedule,2024,2024,2024,,,,https://hanoverohio.net/wp-content/uploads/2024/12/2024-11-13-VOH-Council-Meeting-Minutes-Nov-13-2024.pdf,retained local source available,"Hanover, Ohio, Wage Schedule, 2024.","Hanover, Ohio, Village of Hanover Council Meeting Minutes (Nov 13, 2024) — Ordinance 33-2024 salary setting, wage schedule, 2024.",WCM-02fc98da197b23e26981bbb5,fd68358099a1ad89fd66216fc0b67f4aa23d54f3df10e1f767762a0789e981d9,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-66a32a02a06a74571e6fc7ed
CITE-ee26aa118854886d3b8e175a,Dover,OH,"Collective Bargaining Agreement (Dover Firefighters, Local No. 324, International Association of Firefighters) [older contract]",collective bargaining agreement,cba,2016,2016,2016,,ARTICLE 7 - CONTRACT APPROVAL,,https://dam.assets.ohio.gov/image/upload/serb.ohio.gov/PDF/Contracts/2016/16-MED-11-1328.pdf,retained local source available,"Dover, Ohio, Collective Bargaining Agreement, 2016.","Dover, Ohio, Collective Bargaining Agreement (Dover Firefighters, Local No. 324, International Association of Firefighters) [older contract], collective bargaining agreement, 2016, § ARTICLE 7 - CONTRACT APPROVAL.",WCM-5f4a3d4f2d386d3ba1b5c6e5,92a5d995b965315692ac0a3acbd2839db5ae5eed4528bf64ceaffdca02abfd30,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-2a31a9c8b1d1182f40815245
CITE-af9c601aef6a2e1ebb478521,Bruceville-Eddy,TX,"Agenda Packet (Public Version) — City of Bruceville-Eddy, TX (PDF; includes FY budget adoption item)",budget or pay plan,budget_or_pay_plan,2025,2025,2025,,,,https://bruceville-eddy.us/wp-content/uploads/2025/08/20250818-Agenda-Packet-Public-Version.pdf,retained local source available,"Bruceville-Eddy, Texas, Budget Or Pay Plan, 2025.","Bruceville-Eddy, Texas, Agenda Packet (Public Version) — City of Bruceville-Eddy, TX (PDF; includes FY budget adoption item), budget or pay plan, 2025.",WCM-32ae0dd7404b0c8533e9afea,a5096db3af00177e7bcc72e969d25441725a3be4ef5a56f84e1ca6ff68265bbc,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-f7d15ac611bb5130584cd0ad
CITE-49b8b38cef2c06342a48a3ed,Wrightstown,WI,2026 Budget Overview Memo (Village of Wrightstown) — Police Department: Salaries & Benefits (CPI increases),budget or pay plan,budget_or_pay_plan,2025,2025,2025,,,,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/5174/VOW/6147418/2026_BUDGET_OVERVIEW_Final_Approved.pdf,retained local source available,"Wrightstown, Wisconsin, Budget Or Pay Plan, 2025.","Wrightstown, Wisconsin, 2026 Budget Overview Memo (Village of Wrightstown) — Police Department: Salaries & Benefits (CPI increases), budget or pay plan, 2025.",WCM-1ee742c8ba136c663bc89ab7,7b7ab2077424149a298632cc857439260b04d59edafb078befb7a3a22ee7aaf4,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-277f81003aef39b534f07f42
CITE-a6188aee02c4a31dd88f0787,Ontario,NY,"Memorandum of Agreement (MOA) By and Between the Town of Ontario and the Civil Service Employees Association, Inc., Local 1000, AFSCME, AFL-CIO — Clerical Unit #9111-01 (amending Jan 1, 2021–Dec 31, 2025 CBA)",civil-service or HR pay plan,civil_service_or_hr_pay_plan,2021,2021,2021,,CLERICAL UNIT #9II1-01,,https://cms8.revize.com/revize/ontariony/Town%20Board%20Agendas/2022/TBM%2010.03.2022%20Agenda.pdf,retained local source available,"Ontario, New York, Civil-Service Or Hr Pay Plan, 2021.","Ontario, New York, Memorandum of Agreement (MOA) By and Between the Town of Ontario and the Civil Service Employees Association, Inc., Local 1000, AFSCME, AFL-CIO — Clerical Unit #9111-01 (amending Jan 1, 2021–Dec 31, 2025 CBA), civil-service or HR pay plan, 2021, § CLERICAL UNIT #9II1-01.",WCM-04e55c26cb92f005699651ae,50bcffadc8917cc23118145a8b35e9efc59ffb2b25fe1abf93c563cf076545c4,docs/analysis/compensation_extraction/BROAD-STATE-REMAINING-MUNICIPALITIES-SPAN-EXTRACTION-2026-08-02/merged_compensation_evidence_spans.csv#span_id=BRMSPAN-20260802-dd31421eb11e3cbfef1a6f35
CITE-ac8fd1af3634526945b8d5dd,Big Bear Lake,CA,"Memorandum of Understanding (MOU) — Teamsters Local 1932, General Employees Unit (Effective July 1, 2023 to June 30, 2026)",memorandum of understanding,mou_or_memorandum,2023,2023,2023,,GENERAL EMPLOYEES UNIT,,https://teamsters1932.org/app/uploads/2023/10/BBL-MOU-7-1-23-to-6-30-26.pdf,retained local source available,"Big Bear Lake, California, Memorandum Of Understanding, 2023.","Big Bear Lake, California, Memorandum of Understanding (MOU) — Teamsters Local 1932, General Employees Unit (Effective July 1, 2023 to June 30, 2026), memorandum of understanding, 2023, § GENERAL EMPLOYEES UNIT.",WCM-07320828baa6abf5cfd3efa9,37a2f24e86e541740d7f273c5d85a33a18edb2fce6670d5c339f4f69214ef903,
CITE-e5b0f6f49ff09df744d23ef4,New Hartford,MN,"DRAFT MINUTES Monthly meeting April 13, 2023 (New Hartford Township, Winona County, MN) — Wages for Town Board; Clerk/Treasurer pay; Road maintenance; other township staffing pay",council packet or minutes,agenda_packet_or_minutes,2023,2023,2023,,,,https://townshipnewhartford.org/wp-content/uploads/2023/05/DRAFT-MINUTES-Monthly-meeting-April-13-2023-final.pdf,,"New Hartford, Minnesota, Council Packet Or Minutes, 2023.","New Hartford, Minnesota, DRAFT MINUTES Monthly meeting April 13, 2023 (New Hartford Township, Winona County, MN) — Wages for Town Board; Clerk/Treasurer pay; Road maintenance; other township staffing pay, council packet or minutes, 2023.",BRMLOCALQA-33fab94c98dce7ee5063ec8b,,
CITE-0d8b08d454b2c80dcf130838,Salem,PA,"Salem Township Board of Supervisors Minutes — January 6, 2025 (Organization Meeting) (pay rates listed for Police Department positions)",council packet or minutes,agenda_packet_or_minutes,2025,2025,2025,,,,https://salemtwp.org/_files/ugd/9bfdbd_f088391fab2a405189b5ae98273c6e51.pdf,,"Salem, Pennsylvania, Council Packet Or Minutes, 2025.","Salem, Pennsylvania, Salem Township Board of Supervisors Minutes — January 6, 2025 (Organization Meeting) (pay rates listed for Police Department positions), council packet or minutes, 2025.",BRMLOCALQA-2b801666a2e1985222f582f8,,
CITE-12d3023edf4c31057d271b7c,Oakland,PA,"Meeting Minutes — February 8th, 2021 (Police Services Agreement with Susquehanna Borough)",council packet or minutes,agenda_packet_or_minutes,2021,2021,2021,,,,https://oaklandborough.com/document/meeting-minutes-february-8th-2021,,"Oakland, Pennsylvania, Council Packet Or Minutes, 2021.","Oakland, Pennsylvania, Meeting Minutes — February 8th, 2021 (Police Services Agreement with Susquehanna Borough), council packet or minutes, 2021.",BRMLOCALQA-b546c99f21f2b128da799c5c,,
CITE-d4e0fe01acf9d47e860dd12e,New Sewickley,PA,"Reorganization Meeting — January 3, 2023 (WAGES/SALARIES/BENEFITS for covered employees)",council packet or minutes,agenda_packet_or_minutes,2023,2023,2023,,,,https://newsewickley.com/wp-content/uploads/2025/05/Reorg-Meeting-Jan3rd-2023-1.pdf,,"New Sewickley, Pennsylvania, Council Packet Or Minutes, 2023.","New Sewickley, Pennsylvania, Reorganization Meeting — January 3, 2023 (WAGES/SALARIES/BENEFITS for covered employees), council packet or minutes, 2023.",BRMLOCALQA-9904217f1ba65ef44df277f2,,
