selection_id,claim_id,claim_section,municipality,state,evidence_excerpt,excerpt_word_count,excerpt_context_type,operative_language_flag,proposal_language_flag,adoption_language_flag,implementation_language_flag,payment_or_effect_flag,excerpt_confidence,excerpt_limitations,mechanism,implementation_status,pressure_direction,beneficiary,why_this_supports_mechanism,how_it_fits_claim,human_readable_citation,citation_id,technical_lineage_id
REPORT-CLAIM-C-04,CLAIM-C,Claim 3: Non-Base Compensation,Orchard Lake Village,MI,"The annual uniform allowance provided in this Section 8.9 shall be paid in two (2) equal installments on December 1 and June 1 of each Fiscal Year, provided that no Employee shall receive any such allowance until he shall have completed one-half (1/2) of his probationary period. Upon completion of one-half (1/2) of his probationary period, any Employee shall be entitled to receive the next regular scheduled uniform clothi",69,bounded_extracted_text_context,true,false,false,false,false,high,The excerpt documents a negotiated term but does not independently confirm payroll payment.,non_base_compensation,negotiated_term,unclear,police,The bounded language directly documents non base compensation for the named unit or public body.,partially supports,"Orchard Lake Village, Michigan, Police Officers Labor Council (POLC) - Letter of Agreement Regarding Desk Officer (moving Police Clerk position from GELC to POLC) - September 16, 2024 Agenda, wage schedule, 2024.",CITE-bc2eb5ab41d7f7c0469ffa73,WCM-00e4cf7635c260c4072a5eb6
REPORT-CLAIM-D-01,CLAIM-D,"Claim 4: Market, Recruitment, and Retention Pressure",Woodstock,NY,"percent (3%) retroactive to on January 1, 2025, three percent (3%) plus a $1.00 market adjustment retroactive to on January 1, 2026, and three percent (3%) on January 1, 2027, on January 1, 2028, and on January 1, 2029.",39,bounded_extracted_text_context,true,false,false,true,false,high,"This bounded example does not estimate a wage gap, prevalence, or causal effect.",comparability_parity,implemented,upward,police,The bounded language directly documents comparability parity for the named unit or public body.,supports,"Woodstock, New York, COLLECTIVE BARGAINING AGREEMENT (2025-2029) — Town of Woodstock and United Federation of Police Officers Local #439 (Tentative), wage schedule, 2025, § 8 COMPENSATION.",CITE-ef60ef0efd38dc082fb57817,WCM-bd62a36deb15fdc3fd897176
REPORT-CLAIM-D-02,CLAIM-D,"Claim 4: Market, Recruitment, and Retention Pressure",Wrightstown,WI,"• Assessor- $1,311.36 increase – market adjustment for 2025 Building inspection - $9,992.50 Increase (increase on salaries and contracted services)",20,bounded_extracted_text_context,false,false,false,false,false,high,"This bounded example does not estimate a wage gap, prevalence, or causal effect.",comparability_parity,unclear_status,upward,non_safety,The bounded language directly documents comparability parity for the named unit or public body.,insufficient,"Wrightstown, Wisconsin, 2026 Budget Overview Memo (Village of Wrightstown) — Police Department: Salaries & Benefits (CPI increases), budget or pay plan, 2025.",CITE-d35754dc1d4826c5622d9f73,WCM-1ee742c8ba136c663bc89ab7
REPORT-CLAIM-D-03,CLAIM-D,"Claim 4: Market, Recruitment, and Retention Pressure",Plymouth,WI,"remains competitive, and maintain a strong position relative to comparable municipalities and utilities in Wisconsin, particularly in the southeastern region.",20,bounded_extracted_text_context,true,false,false,false,false,high,The excerpt documents a negotiated term but does not independently confirm payroll payment.,comparability_parity,negotiated_term,mixed,fire,The bounded language directly documents comparability parity for the named unit or public body.,complicates,"Plymouth, Wisconsin, City Common Council packet/agenda including Resolution No. 6 of 2026 amending the 2026 Salary Schedule related to the Fire Chief (City of Plymouth, Wisconsin), wage schedule, 2026.",CITE-84798c4ffc1143d2652fb935,WCM-c091ca2ec40feaeda493f102
REPORT-CLAIM-D-04,CLAIM-D,"Claim 4: Market, Recruitment, and Retention Pressure",Ontario,NY,provide additional base wage increases for all the bargaining unit members as set forth more fully below. This MOA by and between the Town and CSEA is subject to ratification by the CSEA Clerical Unit membership and approval of the Town Board.,42,bounded_extracted_text_context,true,false,false,false,false,high,The excerpt documents a negotiated term but does not independently confirm payroll payment.,market_recruitment_retention,negotiated_term,upward,non_safety,The bounded language directly documents market recruitment retention for the named unit or public body.,complicates,"Ontario, New York, Memorandum of Agreement (MOA) By and Between the Town of Ontario and the Civil Service Employees Association, Inc., Local 1000, AFSCME, AFL-CIO — Clerical Unit #9111-01 (amending Jan 1, 2021–Dec 31, 2025 CBA), civil-service or HR pay plan, 2021, § CLERICAL UNIT #9II1-01.",CITE-2e3e5c13284c234a8f47e36d,WCM-04e55c26cb92f005699651ae
REPORT-CLAIM-E-01,CLAIM-E,Claim 5: Retroactivity and Implementation,Flint charter,MI,"Effective January 1, 1998 through December 31, 2001 SIGNATURE COpy",10,bounded_extracted_text_context,true,false,false,true,false,high,"This bounded example does not estimate a wage gap, prevalence, or causal effect.",retroactivity_implementation,implemented,unclear,police,The bounded language directly documents retroactivity implementation for the named unit or public body.,partially supports,"Flint charter, Michigan, FLINT TOWNSHIP/POAM — AGREEMENT (between the Charter Township of Flint and Police Officers Association of Michigan), collective bargaining agreement, § FLINT TOWNSHIP/POAM.",CITE-3aaa8326b5bb8dc0e707fd43,WCM-011e3b99eae1634ebb2b3209
REPORT-CLAIM-E-02,CLAIM-E,Claim 5: Retroactivity and Implementation,Big Bear Lake,CA,"EFFECTIVE JULY 1, 2023 TO JUNE 30, 2026 ARTICLE NO. 1 PREAMBLE 1.1 This Agreement entered into by the City of Big Bear Lake, hereinafter referred to as the “Employer,” and Teamsters Local 1932, hereinafter referred to as the “Union,” has as its purpose the promotion of harmonious relations through an equitable and constructive procedure for the resolution o",59,bounded_extracted_text_context,true,false,false,true,false,high,"This bounded example does not estimate a wage gap, prevalence, or causal effect.",retroactivity_implementation,implemented,unclear,non_safety,The bounded language directly documents retroactivity implementation for the named unit or public body.,complicates,"Big Bear Lake, California, Memorandum of Understanding (MOU) — Teamsters Local 1932, General Employees Unit (Effective July 1, 2023 to June 30, 2026), memorandum of understanding, 2023, § GENERAL EMPLOYEES UNIT.",CITE-74c1ca4e630480b4899e3730,WCM-07320828baa6abf5cfd3efa9
REPORT-CLAIM-E-03,CLAIM-E,Claim 5: Retroactivity and Implementation,Lancaster,NY,"salary package of 8 percent retroactive to January 1, 1983 and 6 percent beginning January 1, 1984, is fair and equitable and within the ability of the Town to fund.",30,bounded_extracted_text_context,true,false,false,true,false,high,"This bounded example does not estimate a wage gap, prevalence, or causal effect.",retroactivity_implementation,implemented,upward,police,The bounded language directly documents retroactivity implementation for the named unit or public body.,supports,"Lancaster, New York, INTEREST ARBITRATION - Opinion and Award (Compulsory Interest Arbitration Award) - Town of Lancaster and Lancaster Police Benevolent Association (Cayuga Club), arbitration award, 2024.",CITE-ecede81728ac14895587db58,WCM-031cd2f4bfe82508166c8fd4
REPORT-CLAIM-F-01,CLAIM-F,"Claim 6: Ordinance, Budget, and Pay-Plan Formalization",Washington,PA,"Motion was made by Councilman Manning, seconded by Councilman Westcott, and unanimously carried, to approve the retirement of City of Washington Police Lieutenant, Roy Loeffert, effective march 13, 2020, pay all monies due, and amend the salary ordinance accordingly. Motion was made by Councilman Westcott, seconded by Councilman Manning, and unanimously carried, to approve the agreement for the Claire Drive Emergency Access with South StrabaneTownship, contingent upon South Strabane eliminating",70,bounded_extracted_text_context,true,false,true,false,false,high,"This bounded example does not estimate a wage gap, prevalence, or causal effect.",ordinance_council_adoption,formally_adopted,unclear,police,The bounded language directly documents ordinance council adoption for the named unit or public body.,partially supports,"Washington, Pennsylvania, Council Meeting Minutes – April 2, 2020 (IAFF Local 2218 contract effective dates), council packet or minutes, 2020.",CITE-59882662182d52f261248f98,WCM-1bc6d229b4c31bb7d94b1b48
REPORT-CLAIM-F-02,CLAIM-F,"Claim 6: Ordinance, Budget, and Pay-Plan Formalization",Worthington,OH,"WHEREAS, the City Manager has requested City Council to approve the provisions of said collective bargaining agreement following ratification of same by Local #3498; NOW, THEREFORE, BE IT RESOLVED by the Council of the Municipality of Worthington, County of Franklin, State of Ohio:",43,bounded_extracted_text_context,false,false,false,false,false,high,"This bounded example does not estimate a wage gap, prevalence, or causal effect.",ordinance_council_adoption,unclear_status,unclear,fire,The bounded language directly documents ordinance council adoption for the named unit or public body.,insufficient,"Worthington, Ohio, Resolution No. 54-2024: Approving the Provisions of a Collective Bargaining Agreement Between the City of Worthington, Ohio and the International Association of Firefighters Local #3498, arbitration award, 2024.",CITE-3e7d40d04ad50ac6a5de3a37,WCM-5c9345bfec4c446c7822923f
REPORT-CLAIM-F-03,CLAIM-F,"Claim 6: Ordinance, Budget, and Pay-Plan Formalization",Hanover,OH,"Ordinance 35-2024 An Ordinance appointing and setting a stipend for a Wastewater Billing Clerk on behalf of the Village of Hanover, Licking County, State of Ohio.- Second Reading. Ordinance 36-2024 An Ordinance authorizing and directing the Mayor to execute an agreement with Neighborhood Strategies, LLC for professional services on behalf of the Village of Hanover, Licking County, State of Ohio.- Second Reading. Ordinance 37-2024 An Ordinance appoi",67,bounded_extracted_text_context,true,false,false,false,false,high,The excerpt documents a negotiated term but does not independently confirm payroll payment.,budget_pay_plan,negotiated_term,mixed,non_safety,The bounded language directly documents budget pay plan for the named unit or public body.,complicates,"Hanover, Ohio, Village of Hanover Council Meeting Minutes (Nov 13, 2024) — Ordinance 33-2024 salary setting, wage schedule, 2024.",CITE-fd579e21b491a90493ce9b51,WCM-02fc98da197b23e26981bbb5
REPORT-CLAIM-F-04,CLAIM-F,"Claim 6: Ordinance, Budget, and Pay-Plan Formalization",Dover,OH,require the approval of the City Council and that the provisions of this Agreement shall not be effective until approved by the City Council and prior approval by the employees of the bargaining unit; or as provided for in the dispute resolution process as outlined in 4117.14 ORC.,48,bounded_extracted_text_context,true,false,true,false,false,high,"This bounded example does not estimate a wage gap, prevalence, or causal effect.",ordinance_council_adoption,formally_adopted,unclear,fire,The bounded language directly documents ordinance council adoption for the named unit or public body.,partially supports,"Dover, Ohio, Collective Bargaining Agreement (Dover Firefighters, Local No. 324, International Association of Firefighters) [older contract], collective bargaining agreement, 2016, § ARTICLE 7 - CONTRACT APPROVAL.",CITE-ee26aa118854886d3b8e175a,WCM-5f4a3d4f2d386d3ba1b5c6e5
REPORT-CLAIM-G-01,CLAIM-G,Claim 7: Non-Safety Counterweights,Bruceville-Eddy,TX,most employees who have completed one year of service with a 4% cost-of-living adjustment (COLA) while allocating a base pay increase for our Public Works Department to be in better alignment with market offerings.,34,bounded_extracted_text_context,false,false,false,false,false,high,"This bounded example does not estimate a wage gap, prevalence, or causal effect.",cola_cpi_indexing,unclear_status,upward,non_safety,The bounded language directly documents cola cpi indexing for the named unit or public body.,insufficient,"Bruceville-Eddy, Texas, Agenda Packet (Public Version) — City of Bruceville-Eddy, TX (PDF; includes FY budget adoption item), budget or pay plan, 2025.",CITE-af9c601aef6a2e1ebb478521,WCM-32ae0dd7404b0c8533e9afea
REPORT-CLAIM-G-02,CLAIM-G,Claim 7: Non-Safety Counterweights,Wrightstown,WI,"• Assessor- $1,311.36 increase – market adjustment for 2025 Building inspection - $9,992.50 Increase (increase on salaries and contracted services)",20,bounded_extracted_text_context,false,false,false,false,false,high,"This bounded example does not estimate a wage gap, prevalence, or causal effect.",comparability_parity,unclear_status,upward,non_safety,The bounded language directly documents comparability parity for the named unit or public body.,insufficient,"Wrightstown, Wisconsin, 2026 Budget Overview Memo (Village of Wrightstown) — Police Department: Salaries & Benefits (CPI increases), budget or pay plan, 2025.",CITE-49b8b38cef2c06342a48a3ed,WCM-1ee742c8ba136c663bc89ab7
REPORT-CLAIM-G-03,CLAIM-G,Claim 7: Non-Safety Counterweights,Ontario,NY,provide additional base wage increases for all the bargaining unit members as set forth more fully below. This MOA by and between the Town and CSEA is subject to ratification by the CSEA Clerical Unit membership and approval of the Town Board.,42,bounded_extracted_text_context,true,false,false,false,false,high,The excerpt documents a negotiated term but does not independently confirm payroll payment.,market_recruitment_retention,negotiated_term,upward,non_safety,The bounded language directly documents market recruitment retention for the named unit or public body.,complicates,"Ontario, New York, Memorandum of Agreement (MOA) By and Between the Town of Ontario and the Civil Service Employees Association, Inc., Local 1000, AFSCME, AFL-CIO — Clerical Unit #9111-01 (amending Jan 1, 2021–Dec 31, 2025 CBA), civil-service or HR pay plan, 2021, § CLERICAL UNIT #9II1-01.",CITE-a6188aee02c4a31dd88f0787,WCM-04e55c26cb92f005699651ae
REPORT-CLAIM-G-04,CLAIM-G,Claim 7: Non-Safety Counterweights,Big Bear Lake,CA,"EFFECTIVE JULY 1, 2023 TO JUNE 30, 2026 ARTICLE NO. 1 PREAMBLE 1.1 This Agreement entered into by the City of Big Bear Lake, hereinafter referred to as the “Employer,” and Teamsters Local 1932, hereinafter referred to as the “Union,” has as its purpose the promotion of harmonious relations through an equitable and constructive procedure for the resolution o",59,bounded_extracted_text_context,true,false,false,true,false,high,"This bounded example does not estimate a wage gap, prevalence, or causal effect.",retroactivity_implementation,implemented,unclear,non_safety,The bounded language directly documents retroactivity implementation for the named unit or public body.,complicates,"Big Bear Lake, California, Memorandum of Understanding (MOU) — Teamsters Local 1932, General Employees Unit (Effective July 1, 2023 to June 30, 2026), memorandum of understanding, 2023, § GENERAL EMPLOYEES UNIT.",CITE-ac8fd1af3634526945b8d5dd,WCM-07320828baa6abf5cfd3efa9
REPORT-CLAIM-H-01,CLAIM-H,Mechanism Interpretation Versus Wage-Gap Estimation,New Hartford,MN,Fire Role: $10 per hour; Non Safety Role: $20.00/hour.,9,paired_exact_values_from_same_source,false,false,false,false,false,high,"[""generic_role_comparability_requires_candidate_level_manual_validation"",""not_a_final_wage_gap_claim"",""provisional_internal_candidate"",""requires_local_comparison_qa""]",other_pay_setting_mechanism,unclear_status,unclear,fire,The bounded language directly documents other pay setting mechanism for the named unit or public body.,insufficient,"New Hartford, Minnesota, DRAFT MINUTES Monthly meeting April 13, 2023 (New Hartford Township, Winona County, MN) — Wages for Town Board; Clerk/Treasurer pay; Road maintenance; other township staffing pay, council packet or minutes, 2023.",CITE-e5b0f6f49ff09df744d23ef4,BRMLOCALQA-33fab94c98dce7ee5063ec8b
REPORT-CLAIM-H-02,CLAIM-H,Mechanism Interpretation Versus Wage-Gap Estimation,Salem,PA,Police Role: $30.25/hr; Non Safety Role: $33.00/hr.,7,paired_exact_values_from_same_source,false,false,false,false,false,high,"[""generic_role_comparability_requires_candidate_level_manual_validation"",""not_a_final_wage_gap_claim"",""provisional_internal_candidate"",""requires_local_comparison_qa""]",other_pay_setting_mechanism,unclear_status,unclear,police,The bounded language directly documents other pay setting mechanism for the named unit or public body.,insufficient,"Salem, Pennsylvania, Salem Township Board of Supervisors Minutes — January 6, 2025 (Organization Meeting) (pay rates listed for Police Department positions), council packet or minutes, 2025.",CITE-0d8b08d454b2c80dcf130838,BRMLOCALQA-2b801666a2e1985222f582f8
REPORT-CLAIM-H-03,CLAIM-H,Mechanism Interpretation Versus Wage-Gap Estimation,Oakland,PA,Police Role: $20 per hour; Non Safety Role: $15 per hour.,11,paired_exact_values_from_same_source,false,false,false,false,false,high,"[""generic_role_comparability_requires_candidate_level_manual_validation"",""not_a_final_wage_gap_claim"",""provisional_internal_candidate"",""requires_local_comparison_qa""]",other_pay_setting_mechanism,unclear_status,unclear,police,The bounded language directly documents other pay setting mechanism for the named unit or public body.,insufficient,"Oakland, Pennsylvania, Meeting Minutes — February 8th, 2021 (Police Services Agreement with Susquehanna Borough), council packet or minutes, 2021.",CITE-12d3023edf4c31057d271b7c,BRMLOCALQA-b546c99f21f2b128da799c5c
REPORT-CLAIM-H-04,CLAIM-H,Mechanism Interpretation Versus Wage-Gap Estimation,New Sewickley,PA,Police Role: $18.52 per hour; Non Safety Role: $17.51 per hour.,11,paired_exact_values_from_same_source,false,false,false,false,false,high,"[""generic_role_comparability_requires_candidate_level_manual_validation"",""not_a_final_wage_gap_claim"",""provisional_internal_candidate"",""requires_local_comparison_qa""]",other_pay_setting_mechanism,unclear_status,unclear,police,The bounded language directly documents other pay setting mechanism for the named unit or public body.,insufficient,"New Sewickley, Pennsylvania, Reorganization Meeting — January 3, 2023 (WAGES/SALARIES/BENEFITS for covered employees), council packet or minutes, 2023.",CITE-d4e0fe01acf9d47e860dd12e,BRMLOCALQA-9904217f1ba65ef44df277f2
