staffing_evidence_id,municipality,state,compensation_cycle_id,side,staffing_reduction_language,vacancy_language,recruitment_language,retention_language,minimum_staffing_language,overtime_response_language,outsourcing_language,consolidation_language,attrition_language,hiring_freeze_language,position_elimination_language,authorized_headcount_language,filled_headcount_language,pressure_direction,implementation_status,evidence_quality,bounded_evidence_excerpt,technical_lineage_id
STAFF-f8bf8a13bdd30e70f5ab36f4,Waunakee,WI,undated-source-RS429-afd4608518bfe5e8f752,unclear,,,,,,"ey agreed to a 6-3 work schedule. Vacations were adjusted to #reflect the six day work cycle, and officers working on holidays were to receive overtime pay under the 1991 Agreement. In exchange for this reduction in work hours, the Union agreed to a wage freeze. However, longevity was increased to a percentage of the wage base. Longevity commences~ after five years of service with the Village when an employee It is in this factual context that the reaches the",,,,,,,,downward,proposal_or_demand,moderate,"ey agreed to a 6-3 work schedule. Vacations were adjusted to #reflect the six day work cycle, and officers working on holidays were to receive overtime pay under the 1991 Agreement. In exchange for this reduction in work hours, the Union agreed to a wage freeze. However, longevity was increased to a percentage of the wage base. Longevity commences~ after five years of service with the Village when an employee It is in this factual context that the reaches the",WCM-07d3ade12d36c214fc3d4cf8
STAFF-cc06c6a9363d0e32424249b9,Plainfield charter,MI,undated-source-RS429-143b0f2125f256679c0e,safety_combined,,,,"external bargaining units and fashioning the language is unique to the parties in this contract. The Union says the language it proposes is intended to fully and correctly state the actual practice of the parties and as such will serve to facilitate labor peace and enhance employee moral. Employer Position The Employer urges that the current language be retained. The Employer says the proposed language is complicated and unclear and could lead to more, not less, confusion and potential grievances.",,,,,,,,,,mixed,proposal_or_demand,moderate,"external bargaining units and fashioning the language is unique to the parties in this contract. The Union says the language it proposes is intended to fully and correctly state the actual practice of the parties and as such will serve to facilitate labor peace and enhance employee moral. Employer Position The Employer urges that the current language be retained. The Employer says the proposed language is complicated and unclear and could lead to more, not less, confusion and potential grievances.",WCM-933eba85bebb14977dde7d12
STAFF-117505f8ac0dc169b607b2a5,Dundee,IL,2023,police,"ARTICLE II MANAGEMENT RIGHTS 2 Section 2.1 Management Rights 2 ARTICLE III LAYOFF 3 Section 3.1 Section 3 .2 3 3 Layoff Recall ARTICLE IV NO STRIKE CLAUSE Section 4.1 Section 4.2 Section 4.3 Section 4.4 No Strike Clause No Lockout Judicial Restraint Discipline of Strikers 3 3 4 4 4 ARTICLE V COMPENSATION, OVERTIME AND HOURS OF WORK 4 Section 5.1 Compensation Normal Work Hours Section 5.2 Section 5.3 Days Off Section 5.4 Call Back Section 5.5 Overtime Section",,,,,"ARTICLE II MANAGEMENT RIGHTS 2 Section 2.1 Management Rights 2 ARTICLE III LAYOFF 3 Section 3.1 Section 3 .2 3 3 Layoff Recall ARTICLE IV NO STRIKE CLAUSE Section 4.1 Section 4.2 Section 4.3 Section 4.4 No Strike Clause No Lockout Judicial Restraint Discipline of Strikers 3 3 4 4 4 ARTICLE V COMPENSATION, OVERTIME AND HOURS OF WORK 4 Section 5.1 Compensation Normal Work Hours Section 5.2 Section 5.3 Days Off Section 5.4 Call Back Section 5.5 Overtime Section",,,,,,,,downward,unclear_status,moderate,"ARTICLE II MANAGEMENT RIGHTS 2 Section 2.1 Management Rights 2 ARTICLE III LAYOFF 3 Section 3.1 Section 3 .2 3 3 Layoff Recall ARTICLE IV NO STRIKE CLAUSE Section 4.1 Section 4.2 Section 4.3 Section 4.4 No Strike Clause No Lockout Judicial Restraint Discipline of Strikers 3 3 4 4 4 ARTICLE V COMPENSATION, OVERTIME AND HOURS OF WORK 4 Section 5.1 Compensation Normal Work Hours Section 5.2 Section 5.3 Days Off Section 5.4 Call Back Section 5.5 Overtime Section",WCM-7e14a912cafb469038686b72
STAFF-9aaa95ecfce2e2773aaa5b68,Dundee,IL,2023,police,"2 ARTICLE III LAYOFF 3 Section 3.1 Section 3 .2 3 3 Layoff Recall ARTICLE IV NO STRIKE CLAUSE Section 4.1 Section 4.2 Section 4.3 Section 4.4 No Strike Clause No Lockout Judicial Restraint Discipline of Strikers 3 3 4 4 4 ARTICLE V COMPENSATION, OVERTIME AND HOURS OF WORK 4 Section 5.1 Compensation Normal Work Hours Section 5.2 Section 5.3 Days Off Section 5.4 Call Back Section 5.5 Overtime Section 5.6 Court Time Work Breaks Section 5.7 Section 5.8",,,,,"2 ARTICLE III LAYOFF 3 Section 3.1 Section 3 .2 3 3 Layoff Recall ARTICLE IV NO STRIKE CLAUSE Section 4.1 Section 4.2 Section 4.3 Section 4.4 No Strike Clause No Lockout Judicial Restraint Discipline of Strikers 3 3 4 4 4 ARTICLE V COMPENSATION, OVERTIME AND HOURS OF WORK 4 Section 5.1 Compensation Normal Work Hours Section 5.2 Section 5.3 Days Off Section 5.4 Call Back Section 5.5 Overtime Section 5.6 Court Time Work Breaks Section 5.7 Section 5.8",,,,,,,,downward,unclear_status,moderate,"2 ARTICLE III LAYOFF 3 Section 3.1 Section 3 .2 3 3 Layoff Recall ARTICLE IV NO STRIKE CLAUSE Section 4.1 Section 4.2 Section 4.3 Section 4.4 No Strike Clause No Lockout Judicial Restraint Discipline of Strikers 3 3 4 4 4 ARTICLE V COMPENSATION, OVERTIME AND HOURS OF WORK 4 Section 5.1 Compensation Normal Work Hours Section 5.2 Section 5.3 Days Off Section 5.4 Call Back Section 5.5 Overtime Section 5.6 Court Time Work Breaks Section 5.7 Section 5.8",WCM-db0e00e90a6d3d3826577c51
STAFF-ae2e2e2a058fdab0c5132bab,Dundee,IL,2023,police,"YOFF 3 Section 3.1 Section 3 .2 3 3 Layoff Recall ARTICLE IV NO STRIKE CLAUSE Section 4.1 Section 4.2 Section 4.3 Section 4.4 No Strike Clause No Lockout Judicial Restraint Discipline of Strikers 3 3 4 4 4 ARTICLE V COMPENSATION, OVERTIME AND HOURS OF WORK 4 Section 5.1 Compensation Normal Work Hours Section 5.2 Section 5.3 Days Off Section 5.4 Call Back Section 5.5 Overtime Section 5.6 Court Time Work Breaks Section 5.7 Section 5.8 Shift Selection/Assignment to",,,,,"YOFF 3 Section 3.1 Section 3 .2 3 3 Layoff Recall ARTICLE IV NO STRIKE CLAUSE Section 4.1 Section 4.2 Section 4.3 Section 4.4 No Strike Clause No Lockout Judicial Restraint Discipline of Strikers 3 3 4 4 4 ARTICLE V COMPENSATION, OVERTIME AND HOURS OF WORK 4 Section 5.1 Compensation Normal Work Hours Section 5.2 Section 5.3 Days Off Section 5.4 Call Back Section 5.5 Overtime Section 5.6 Court Time Work Breaks Section 5.7 Section 5.8 Shift Selection/Assignment to",,,,,,,,downward,unclear_status,moderate,"YOFF 3 Section 3.1 Section 3 .2 3 3 Layoff Recall ARTICLE IV NO STRIKE CLAUSE Section 4.1 Section 4.2 Section 4.3 Section 4.4 No Strike Clause No Lockout Judicial Restraint Discipline of Strikers 3 3 4 4 4 ARTICLE V COMPENSATION, OVERTIME AND HOURS OF WORK 4 Section 5.1 Compensation Normal Work Hours Section 5.2 Section 5.3 Days Off Section 5.4 Call Back Section 5.5 Overtime Section 5.6 Court Time Work Breaks Section 5.7 Section 5.8 Shift Selection/Assignment to",WCM-7b7c93195c64cffff9a2d26e
STAFF-92967781ce68037e547c3a7e,Dundee,IL,2023,police,,,,,,"Neither the Chapter nor any officers, agents or employees will instigate, promote, sponsor, engage in or condone any strike, sympathy strike, secondary boycott, slowdown, speed-up, sitdown, concerted stoppage of work, concerted refusal to perform overtime, concerted, abnormal or unapproved enforcement procedures or policies or work to the rule situation, mass resignations, mass absenteeism, picketing of any Village building, facility or work site, or picketing which in any way results in the interruption or disruption of the operations of the Village,",,,,,,,,upward,unclear_status,moderate,"Neither the Chapter nor any officers, agents or employees will instigate, promote, sponsor, engage in or condone any strike, sympathy strike, secondary boycott, slowdown, speed-up, sitdown, concerted stoppage of work, concerted refusal to perform overtime, concerted, abnormal or unapproved enforcement procedures or policies or work to the rule situation, mass resignations, mass absenteeism, picketing of any Village building, facility or work site, or picketing which in any way results in the interruption or disruption of the operations of the Village,",WCM-e198b436b4b3cd6c80cae11e
STAFF-0384fa66088a87ceb8031a67,Batavia,OH,2022,non_safety,TERM RECOGNITION DEFINITIONS PRINCIPLES NEGOTIATIONS NO STRIKE DISCIPLINARY PROCEDURE GRIEVANCE PROCEDURE EMPLOYEES' RIGHTS ASSOCIATION RIGHTS BOARD (MANAGEMENT) RIGHTS PAY SENIORITY LAYOFF AND RECALL BID PROCEDURE OVERTIME PERSONAL LEAVE ATTENDANCE INCENTIVE PROFESSIONAL MEETINGS SICK LEAVE SEVERANCE PAY MILEAGE COMPENSATION BUS. ROUTE BIDDING EXTRA TRIPS JOB DESCRIPTIONS VACATION HOLIDAYS LEAVE OF ABSENCE WITHOUT PAY FAMILY MEDICAL LEAVE ACT ASSAULT LEAVE MISCELLANEOUS PAY PERIODS WAGES AND FRINGE BENEFITS EMPLOYMENT CONTRACTS HIRING RETIRED EMPLOYEES ATTENDANCE OF EMPLOYEES' CHILDREN AT BA…,,,,,TERM RECOGNITION DEFINITIONS PRINCIPLES NEGOTIATIONS NO STRIKE DISCIPLINARY PROCEDURE GRIEVANCE PROCEDURE EMPLOYEES' RIGHTS ASSOCIATION RIGHTS BOARD (MANAGEMENT) RIGHTS PAY SENIORITY LAYOFF AND RECALL BID PROCEDURE OVERTIME PERSONAL LEAVE ATTENDANCE INCENTIVE PROFESSIONAL MEETINGS SICK LEAVE SEVERANCE PAY MILEAGE COMPENSATION BUS. ROUTE BIDDING EXTRA TRIPS JOB DESCRIPTIONS VACATION HOLIDAYS LEAVE OF ABSENCE WITHOUT PAY FAMILY MEDICAL LEAVE ACT ASSAULT LEAVE MISCELLANEOUS PAY PERIODS WAGES AND FRINGE BENEFITS EMPLOYMENT CONTRACTS HIRING RETIRED EMPLOYEES ATTENDANCE OF EMPLOYEES' CHILDREN AT BA…,,,,,,,,downward,unclear_status,moderate,TERM RECOGNITION DEFINITIONS PRINCIPLES NEGOTIATIONS NO STRIKE DISCIPLINARY PROCEDURE GRIEVANCE PROCEDURE EMPLOYEES' RIGHTS ASSOCIATION RIGHTS BOARD (MANAGEMENT) RIGHTS PAY SENIORITY LAYOFF AND RECALL BID PROCEDURE OVERTIME PERSONAL LEAVE ATTENDANCE INCENTIVE PROFESSIONAL MEETINGS SICK LEAVE SEVERANCE PAY MILEAGE COMPENSATION BUS. ROUTE BIDDING EXTRA TRIPS JOB DESCRIPTIONS VACATION HOLIDAYS LEAVE OF ABSENCE WITHOUT PAY FAMILY MEDICAL LEAVE ACT ASSAULT LEAVE MISCELLANEOUS PAY PERIODS WAGES AND FRINGE BENEFITS EMPLOYMENT CONTRACTS HIRING RETIRED EMPLOYEES ATTENDANCE OF EMPLOYEES' CHILDREN AT BA…,WCM-386544a3454a380b905e5823
STAFF-b68c65981b8017e6b73a9889,Hamilton,OH,undated-source-RS429-c6832562c3f7d73bf144,police,,,,,,"rage 11 13 Labor-Management Committee 28 30 i Lay Off Procedures 27 30 Miscellaneous Procedures 33 32 No Lay-offs, No Attrition 34 33 No Strike or Lockout 35 33 Overtime 8 7 Physical Fitness Tests 21 22 Police Academy 33, Section 1 32 Probation 37 35 Promotional Examinations 5 3 Protest Period 5, Section 4 4 Recognition 1 1 Retirement Planning 32 31 Rights and Limitations 4 3 Savings Clause 25 29 Short Term Military Leave 19 20 Sick Leave",,,"rage 11 13 Labor-Management Committee 28 30 i Lay Off Procedures 27 30 Miscellaneous Procedures 33 32 No Lay-offs, No Attrition 34 33 No Strike or Lockout 35 33 Overtime 8 7 Physical Fitness Tests 21 22 Police Academy 33, Section 1 32 Probation 37 35 Promotional Examinations 5 3 Protest Period 5, Section 4 4 Recognition 1 1 Retirement Planning 32 31 Rights and Limitations 4 3 Savings Clause 25 29 Short Term Military Leave 19 20 Sick Leave",,,,,upward,unclear_status,moderate,"rage 11 13 Labor-Management Committee 28 30 i Lay Off Procedures 27 30 Miscellaneous Procedures 33 32 No Lay-offs, No Attrition 34 33 No Strike or Lockout 35 33 Overtime 8 7 Physical Fitness Tests 21 22 Police Academy 33, Section 1 32 Probation 37 35 Promotional Examinations 5 3 Protest Period 5, Section 4 4 Recognition 1 1 Retirement Planning 32 31 Rights and Limitations 4 3 Savings Clause 25 29 Short Term Military Leave 19 20 Sick Leave",WCM-3b42b4be30806ebdc9333336
STAFF-803dbbb2b16a8fab18c031c0,Bellaire,TX,undated-source-RS429-251407d41bc1a2f00fd0,safety_combined,,,tion and discussion. PREVIOUS COUNCIL ACTION: None. FISCAL IMPACT: None. CITY ATTORNEY REVIEW: ☐ Yes ☑ No Page 2 of 30 Compensation Study and Classification Study Background Page 3 of 30 Key reasons the Compensation Study and Classification Study were completed.  Market Alignment: Ensuring the City’s compensation structure is in line with industry standards and trends.  Equity and Fairness: Evaluating internal pay equity to ensure fairness across all positions and levels within the City.  Retention and Recruitment:,tion and discussion. PREVIOUS COUNCIL ACTION: None. FISCAL IMPACT: None. CITY ATTORNEY REVIEW: ☐ Yes ☑ No Page 2 of 30 Compensation Study and Classification Study Background Page 3 of 30 Key reasons the Compensation Study and Classification Study were completed.  Market Alignment: Ensuring the City’s compensation structure is in line with industry standards and trends.  Equity and Fairness: Evaluating internal pay equity to ensure fairness across all positions and levels within the City.  Retention and Recruitment:,,,,,,,,,,unclear,unclear_status,moderate,tion and discussion. PREVIOUS COUNCIL ACTION: None. FISCAL IMPACT: None. CITY ATTORNEY REVIEW: ☐ Yes ☑ No Page 2 of 30 Compensation Study and Classification Study Background Page 3 of 30 Key reasons the Compensation Study and Classification Study were completed.  Market Alignment: Ensuring the City’s compensation structure is in line with industry standards and trends.  Equity and Fairness: Evaluating internal pay equity to ensure fairness across all positions and levels within the City.  Retention and Recruitment:,WCM-33792bf94facf7d5afb98b60
STAFF-f5864310a84ce952951f4d3d,Bellaire,TX,undated-source-RS429-251407d41bc1a2f00fd0,safety_combined,,,", electronic maintenance system that the Human Resources Department will use to keep the classification system current and equitable. Scope of Work Compensation Study Page 5 of 30 • Review current compensation plan and understand current challenges in recruiting and retaining employees. • Recommend comparable labor markets, including both private and public sector employers for total compensation (compensation and benefits) study. • Analyze benefits data to provide a comparison of total compensation for Bellaire and comparators. • Recommend an appropriate",", electronic maintenance system that the Human Resources Department will use to keep the classification system current and equitable. Scope of Work Compensation Study Page 5 of 30 • Review current compensation plan and understand current challenges in recruiting and retaining employees. • Recommend comparable labor markets, including both private and public sector employers for total compensation (compensation and benefits) study. • Analyze benefits data to provide a comparison of total compensation for Bellaire and comparators. • Recommend an appropriate",,,,,,,,,,unclear,unclear_status,moderate,", electronic maintenance system that the Human Resources Department will use to keep the classification system current and equitable. Scope of Work Compensation Study Page 5 of 30 • Review current compensation plan and understand current challenges in recruiting and retaining employees. • Recommend comparable labor markets, including both private and public sector employers for total compensation (compensation and benefits) study. • Analyze benefits data to provide a comparison of total compensation for Bellaire and comparators. • Recommend an appropriate",WCM-4a5953b31036e4b371629fe5
STAFF-ad61a8add48632d6d767ae59,Palmview,TX,2016,police,,,"es the City job before vesting, the Employee forfeits the right to the portion contributed by the City. The City’s estimated cost in contributions to the plan is $180,000 a year. 1 We are proposing a multi-year Salary and Retirement Plan to ensure a competitive salary and fringe benefits packet to recruit, retain, and reward employees. Proposed Salary & Retirement Plan 2016-2026 FISCAL YEAR 2016 2017 2018 2019 2020 2021 2022 2023 … 2026","es the City job before vesting, the Employee forfeits the right to the portion contributed by the City. The City’s estimated cost in contributions to the plan is $180,000 a year. 1 We are proposing a multi-year Salary and Retirement Plan to ensure a competitive salary and fringe benefits packet to recruit, retain, and reward employees. Proposed Salary & Retirement Plan 2016-2026 FISCAL YEAR 2016 2017 2018 2019 2020 2021 2022 2023 … 2026",,,,,,,,,,unclear,proposal_or_demand,moderate,"es the City job before vesting, the Employee forfeits the right to the portion contributed by the City. The City’s estimated cost in contributions to the plan is $180,000 a year. 1 We are proposing a multi-year Salary and Retirement Plan to ensure a competitive salary and fringe benefits packet to recruit, retain, and reward employees. Proposed Salary & Retirement Plan 2016-2026 FISCAL YEAR 2016 2017 2018 2019 2020 2021 2022 2023 … 2026",WCM-0a4c3f4860618e98b1cca797
STAFF-78e24a9552e6595160677677,Lewisville,NC,undated-source-RS429-6ea8fd132f54f2e360a0,unclear,,,"TASK 3: Compensation Study 1. Consultant to review current compensation plan (salary grade levels) and understand current challenges in recruiting and retaining employees. 2. Consultant to recommend and identify a consistent and competitive market position that the Town can strive to maintain. 3. Consultant to recommend comparable labor markets, including both private and public sector employees for compensation study. 4. Consultant to recommend appropriate salary range f","TASK 3: Compensation Study 1. Consultant to review current compensation plan (salary grade levels) and understand current challenges in recruiting and retaining employees. 2. Consultant to recommend and identify a consistent and competitive market position that the Town can strive to maintain. 3. Consultant to recommend comparable labor markets, including both private and public sector employees for compensation study. 4. Consultant to recommend appropriate salary range f",,,,,,,,,,unclear,unclear_status,moderate,"TASK 3: Compensation Study 1. Consultant to review current compensation plan (salary grade levels) and understand current challenges in recruiting and retaining employees. 2. Consultant to recommend and identify a consistent and competitive market position that the Town can strive to maintain. 3. Consultant to recommend comparable labor markets, including both private and public sector employees for compensation study. 4. Consultant to recommend appropriate salary range f",WCM-b4979e412683c01be157d1ed
STAFF-737422870fbe0a41ecd5867c,Tifton,GA,2022,police,,* Blank No. of Employees likely indicates position vacancy at time of reporting. DCA - 2022 Municipal Government Wage and Salary Survey • 1,,,,,,,,,,,,unclear,unclear_status,moderate,* Blank No. of Employees likely indicates position vacancy at time of reporting. DCA - 2022 Municipal Government Wage and Salary Survey • 1,WCM-ac36f0c017f9b02cb35b7139
STAFF-bb341e5069507723f2587ec3,Castle Pines,CO,2024,unclear,,,"The City Council supports Great Government, which includes recruiting and retaining quality staff, responsive services, strategic planning for a sustainable future, financial stewardship, and an investment in the future of the City. Strategic Goals: • Update City manuals and policies to produce effective and efficient local government services • Develop comprehensive and competitive compensation and staffing plans • Long-range ﬁscal health • Redistrict to reﬂect growth • Enhance public safety • Adopt a strategic approach to City actions 2024 Budget","The City Council supports Great Government, which includes recruiting and retaining quality staff, responsive services, strategic planning for a sustainable future, financial stewardship, and an investment in the future of the City. Strategic Goals: • Update City manuals and policies to produce effective and efficient local government services • Develop comprehensive and competitive compensation and staffing plans • Long-range ﬁscal health • Redistrict to reﬂect growth • Enhance public safety • Adopt a strategic approach to City actions 2024 Budget",,,,,,,,,,unclear,implemented,high,"The City Council supports Great Government, which includes recruiting and retaining quality staff, responsive services, strategic planning for a sustainable future, financial stewardship, and an investment in the future of the City. Strategic Goals: • Update City manuals and policies to produce effective and efficient local government services • Develop comprehensive and competitive compensation and staffing plans • Long-range ﬁscal health • Redistrict to reﬂect growth • Enhance public safety • Adopt a strategic approach to City actions 2024 Budget",WCM-d6293cd34c34b8d8d46cb2b8
STAFF-5a08fbff74e4e4270202e142,Castle Pines,CO,2023,unclear,,,"ncreasing staff’s compensation to a level commensurate with the identified labor market, including performance-based pay increases of up to 4.9%? $76,000 salary plus $15,600 related taxes and retirement - various funds The results of a comprehensive compensation study and a compensation philosophy were presented to the City Council as part of the 2023 budget process. The City Council supported the proposed compensation philosophy and the recommended results of the salary study, both enhancing the City’s ability to recruit and retain","ncreasing staff’s compensation to a level commensurate with the identified labor market, including performance-based pay increases of up to 4.9%? $76,000 salary plus $15,600 related taxes and retirement - various funds The results of a comprehensive compensation study and a compensation philosophy were presented to the City Council as part of the 2023 budget process. The City Council supported the proposed compensation philosophy and the recommended results of the salary study, both enhancing the City’s ability to recruit and retain",,,,,,,,,,upward,proposal_or_demand,moderate,"ncreasing staff’s compensation to a level commensurate with the identified labor market, including performance-based pay increases of up to 4.9%? $76,000 salary plus $15,600 related taxes and retirement - various funds The results of a comprehensive compensation study and a compensation philosophy were presented to the City Council as part of the 2023 budget process. The City Council supported the proposed compensation philosophy and the recommended results of the salary study, both enhancing the City’s ability to recruit and retain",WCM-1721b6077ec71d6da743fc59
STAFF-cdebf4f8b84b97303d612cf5,Castle Pines,CO,2023,unclear,,,"The results of a comprehensive compensation study and a compensation philosophy were presented to the City Council as part of the 2023 budget process. The City Council supported the proposed compensation philosophy and the recommended results of the salary study, both enhancing the City’s ability to recruit and retain high-quality employees in service of the City’s Strategic Plan’s focus areas and goals. Generally, the compensation philosophy states that the City will “meet the market” and keep our salary ranges and","The results of a comprehensive compensation study and a compensation philosophy were presented to the City Council as part of the 2023 budget process. The City Council supported the proposed compensation philosophy and the recommended results of the salary study, both enhancing the City’s ability to recruit and retain high-quality employees in service of the City’s Strategic Plan’s focus areas and goals. Generally, the compensation philosophy states that the City will “meet the market” and keep our salary ranges and",,,,,,,,,,unclear,proposal_or_demand,moderate,"The results of a comprehensive compensation study and a compensation philosophy were presented to the City Council as part of the 2023 budget process. The City Council supported the proposed compensation philosophy and the recommended results of the salary study, both enhancing the City’s ability to recruit and retain high-quality employees in service of the City’s Strategic Plan’s focus areas and goals. Generally, the compensation philosophy states that the City will “meet the market” and keep our salary ranges and",WCM-cddc248f1e97c5e660f04235
STAFF-18877d6dad5a5779dd2efa43,Chester,PA,2017,non_safety,,,,,,,,,,,Implement a Wage Freeze and Measured Wage Growth Eliminate Longevity Payments for New Hires Cap Longevity Payments at 7 Percent of Base Wages Change Payroll to Bi-weekly,,,mixed,unclear_status,moderate,Implement a Wage Freeze and Measured Wage Growth Eliminate Longevity Payments for New Hires Cap Longevity Payments at 7 Percent of Base Wages Change Payroll to Bi-weekly,WCM-35474f38f12d19bde20d4dda
