technical_lineage_id,source_span_lineage_id,municipality,state,region,source_family,source_title,source_url,mechanism_class,side,bounded_evidence_excerpt,claim_boundary,structure_type,table_identity,row_column_labels,step_rank_grade_label,effective_period,structured_value_elements,formula_text,caps_floors,fake_scalar_created
WCM-5e4b7c4c131fc59c0b45371a,WCRS-8676230aed5e8f8ca60b0219,,,,,,,across_the_board_raise,unclear,"(Sworn 6.00%, Non-sworn 3.00%)",mechanism_only,percentage,,,,,"[""6.00%"", ""3.00%""]",,,false
WCM-64133b510b33ade937e9c397,WCRS-c9000666df13a13944d9e301,,,,,,,across_the_board_raise,unclear,"at the time of hire and have no past relevant experience , shall be hired at the Training Step in",mechanism_only,step_schedule,,,,,[],,,false
WCM-81a88b1d34123b91f7641ab5,WCRS-1e4c534551cf00b04a80fa55,,,,,,,non_base_compensation,unclear,The general salary schedule shall consist of five steps within each grade,mechanism_only,annual_salary,,,,,[],,,false
WCM-92dc2f35732a6609050ddfb5,WCRS-1905c2290b088f702701feb1,,,,,,,cola_cpi_indexing,unclear,advance one step on the grade and step scale,mechanism_only,step_schedule,,,,,[],,,false
WCM-fd8b6d16ccd4b443b5c6c15c,WCRS-fd470e4822d03aec97ce0f2c,,,,,,,cola_cpi_indexing,unclear,step movement shall be based upon years of service as of June 30 of each,mechanism_only,step_schedule,,,,,"[""30""]",,,false
WCM-498c74e95668728145d46344,WCRS-a4e6a6b6d733d9e3a21339b7,,,,,,,other_pay_setting_mechanism,unclear,Employees shall receive full pay for regularly scheduled working hours for any day when the,claim_ready,table_or_formula,,,,,[],,,false
WCM-df01617e9eb494c7182e85c4,WCRS-62ba1447f513438627d6e2dc,,,,,,,across_the_board_raise,unclear,Step Pay Matrix upon hire on a year-to-year,mechanism_only,step_schedule,,,,,[],,,false
WCM-ed607f5a470415ace4abb5f0,WCRS-4a069f35acc0cad5e744529e,,,,,,,other_pay_setting_mechanism,unclear,0.4 percent increase in the City’s sales and use tax rate to reduce emergency medical,claim_ready,percentage,,,,,"[""0.4""]",,,false
WCM-a75863268692c643b6e699f0,WCRS-31d8a5d888a3603e77c29398,,,,,,,cola_cpi_indexing,unclear,5) Step F shall be paid upon completion of 26 pay periods with an overall,mechanism_only,step_schedule,,,,,"[""5"", ""26""]",,,false
WCM-18da53874ef24a09a15577d0,WCRS-3255538bfbb5cd705aaef564,,,,,,,cola_cpi_indexing,unclear,Employees shall move from the minimum step in the pay range to the maximum step 19,mechanism_only,step_schedule,,,,,"[""19""]",,,false
WCM-ab4b00d3fd17741e8d31ed8a,WCRS-32c0068f7a47ceb5cd5765d2,,,,,,,cola_cpi_indexing,unclear,next full step in the pay range following completion of one (1),mechanism_only,step_schedule,,,,,"[""1""]",,,false
WCM-8938c70d0c4241367dbf526f,WCRS-6652073dffb3fa6700c3c082,,,,,,,cola_cpi_indexing,unclear,one-step pay increase (if not topped out) on their hire or promotion anniversary date for,conditional_with_caveats,step_schedule,,,,,[],,,false
WCM-60f8f9e35345c7fbcc49f848,WCRS-c3ae9fc9aad52df2f31124ba,,,,,,,across_the_board_raise,unclear,minimum rate of pay of the higher classification or a 5% increase,mechanism_only,percentage,,,,,"[""5%""]",,,false
WCM-9a2e163a2b9976864e0b9781,WCRS-8067b643de1db53affba4a34,,,,,,,across_the_board_raise,unclear,50%) across-the-board increase,mechanism_only,percentage,,,,,"[""50%""]",,,false
WCM-35b3a51673ee71ec99bfe298,WCRS-d67480c2c8888d76c40ce8d0,,,,,,,other_pay_setting_mechanism,unclear,actual increase in the All Cities CPI-W index,claim_ready,table_or_formula,,,,,[],actual increase in the All Cities CPI-W index,,false
WCM-dbbf2dfa15b688c2c45dbee6,WCRS-9c25ff323394476ef78b672d,,,,,,,cola_cpi_indexing,unclear,There shall be no step increases beyond the maximum shown in,mechanism_only,step_schedule,,,,,[],,,false
WCM-723b56dec1742c39e2acf2c8,WCRS-56836931435ae56e4eea1851,,,,,,,cola_cpi_indexing,unclear,cost of living adjustment of 3%,mechanism_only,percentage,,,,,"[""3%""]",,,false
WCM-42260037b0bafeef31cdb148,WCRS-06f14f71d35f2a8bfa464de5,,,,,,,cola_cpi_indexing,unclear,in the event CPI,conditional_with_caveats,table_or_formula,,,,,[],in the event CPI,,false
WCM-d38e8f5b99b4a95953c71aa6,WCRS-199ef6ebc8a2df81a08d12e1,,,,,,,other_pay_setting_mechanism,unclear,Eligibility for Step Movement – Any Employee at a step or rate below the,claim_ready,step_schedule,,,,,[],,,false
WCM-a01f890ccbe024d181a86942,WCRS-5d15531bb171a9e5731e663b,,,,,,,cola_cpi_indexing,unclear,3% COLA 2023-2025,mechanism_only,percentage,,,,2023,"[""3%"", ""2023"", ""2025""]",,,false
WCM-4a1c64180c013d735b9c33e3,WCRS-9a4ff9ef51b7536719da4ab6,,,,,,,cola_cpi_indexing,unclear,"moves to step 2 on May 12, 2025 of the following year.",mechanism_only,step_schedule,,,,2025,"[""2"", ""12,"", ""2025""]",,,false
WCM-a5d793b255596d90e310004f,WCRS-3a1aaab06f4e1fddbe68e39d,,,,,,,other_pay_setting_mechanism,unclear,scheduled layoffs,claim_ready,table_or_formula,,,,,[],,,false
WCM-d909ad1b39409c462747c2a1,WCRS-9e650ea904c21458754caea1,,,,,,,retroactivity_implementation,unclear,Effective upon transition to a “48-96” work schedule,mechanism_only,table_or_formula,,,,,"[""48"", ""96""]",,,false
WCM-ebbca977a8e78d91cae23fe9,WCRS-b4a58015e7122e01d404a08d,,,,,,,cola_cpi_indexing,unclear,s uch mid -career step increases,mechanism_only,step_schedule,,,,,[],,,false
WCM-8cff46cb3ada2af1c9d7b247,WCRS-6df75e950537a5a8f72e88f3,,,,,,,other_pay_setting_mechanism,unclear,"effective input with respect to the scheduled layoffs, including the opportunity to suggest",claim_ready,table_or_formula,,,,,[],,,false
WCM-78db6f76e6e573473cc45b1f,WCRS-3c4b52100079e8d76653864c,,,,,,,cola_cpi_indexing,unclear,longevity step adjustments shall be granted,mechanism_only,step_schedule,,,,,[],,,false
WCM-9125af4ae287c18dd07aed64,WCRS-b8124739e4d9ad7234b4cc50,,,,,,,other_pay_setting_mechanism,unclear,Such step increases must be approved by the City Manager.,claim_ready,step_schedule,,,,,[],,,false
WCM-4ef6ddec567165d10a1ac923,WCRS-2607f470bb5ef763b4f32aa8,,,,,,,across_the_board_raise,unclear,one-time base pay increase of five percent (5%),mechanism_only,percentage,,,,,"[""5%""]",,,false
WCM-5b059abad7b27bacf7a3fe22,WCRS-04cc90716f01d41be92f34e3,,,,,,,cola_cpi_indexing,unclear,Employees will be eligible for a longevity step increase on their anniversary,mechanism_only,step_schedule,,,,,[],,,false
WCM-e3e2caf2bca705536fe129c9,WCRS-9aaf174b35b834bd48a0ed6f,,,,,,,other_pay_setting_mechanism,unclear,APPENDIX “D” – STEP PROGRESSION,claim_ready,step_schedule,,,,,[],,,false
WCM-542add0f65abac253f5d0e19,WCRS-c818bc2a366bb42d84736224,,,,,,,retroactivity_implementation,unclear,"Effective October 2, 2018, Tier 1 and Tier 2 salary schedules will be implemented and are",mechanism_only,annual_salary,,,,2018,"[""2,"", ""2018,"", ""1"", ""2""]",,,false
WCM-3e9eca06e2160f3cb0aad170,WCRS-14efe84e7b458b49967fd953,,,,,,,cola_cpi_indexing,unclear,Twelve (12) months from the date of any previous step increase.,mechanism_only,step_schedule,,,,,"[""12""]",,,false
WCM-1001b548c1e3da9513f2ada4,WCRS-d78e5f02d8399f496a4ff4fa,,,,,,,cola_cpi_indexing,unclear,"Upon receiving a promotion, the employee shall receive a pay increase to the lowest step of the",mechanism_only,step_schedule,,,,,[],,,false
WCM-e27ef05d580b28680dab7e47,WCRS-8ea178fb13333a8f73e9fa6b,,,,,,,retroactivity_implementation,unclear,"Effective May 14, 2007, employees shall receive a minimum of",mechanism_only,table_or_formula,,,,,"[""14,"", ""2007,""]",,,false
WCM-75d862b6be01c98ff1b8de1e,WCRS-03eae71f3e8fbf39bcfdc757,,,,,,,across_the_board_raise,unclear,The grade and step scale,mechanism_only,step_schedule,,,,,[],,,false
WCM-69e6619dd363c85bf397a71d,WCRS-4e9f4ed950b6b45069ec263a,,,,,,,other_pay_setting_mechanism,unclear,The Employee will continue his/her step position in the,claim_ready,step_schedule,,,,,[],,,false
WCM-83ce7a056d1c0cd6fd4ed902,WCRS-51aac6a4dc91c675c20cbfff,,,,,,,retroactivity_implementation,unclear,Schedule changes or wage adjustments/payments will be effective at the beginning of a,mechanism_only,table_or_formula,,,,,[],,,false
WCM-7e3f25536372476769cc0baa,WCRS-60dd806ba931d6710d303985,,,,,,,across_the_board_raise,unclear,compensated at a step rate of pay within,mechanism_only,step_schedule,,,,,[],,,false
WCM-89c279dda4b3421a008784dd,WCRS-ac5226e48e26525b3b6fad75,,,,,,,cola_cpi_indexing,unclear,one step on the wage matrix and the change in the consumer price index published,mechanism_only,step_schedule,,,,,[],,,false
WCM-1b25da04b9342fbd17847659,WCRS-5158b13cb10db9cb1edd20fd,,,,,,,across_the_board_raise,unclear,the minimum basepay for eachrank,mechanism_only,table_or_formula,,,,,[],,,false
WCM-070f227c603697c855effd09,WCRS-99939b0f86d03b837075a530,,,,,,,other_pay_setting_mechanism,unclear,If grievance hearings are scheduled during an employee’s regular duty hours,claim_ready,table_or_formula,,,,,[],,,false
WCM-6ef2e03f6edf5b3fdf64abbd,WCRS-24f7b35e76750e31c9235afe,,,,,,,across_the_board_raise,unclear,shall receive payment in an amount equal to 50% of the value of,mechanism_only,percentage,,,,,"[""50%""]",,,false
WCM-685137ff9665de15972d3873,WCRS-0ffc386a31cbd26defde72df,,,,,,,cola_cpi_indexing,unclear,to succeeding steps shall be after twelve (12) months of continuous service at each Step.,mechanism_only,step_schedule,,,,,"[""12""]",,,false
WCM-18b93cfb0b6cb2c71670a8f6,WCRS-c582265354ad23c45803cef2,,,,,,,across_the_board_raise,unclear,pay rate step higher,mechanism_only,step_schedule,,,,,[],,,false
WCM-c9b4a2cbfae4c0c145282f49,WCRS-e9c1ae081da8ade2fdb86e25,,,,,,,market_recruitment_retention,unclear,approves the usage of 98 percent of market rate,mechanism_only,percentage,,,,,"[""98""]",,,false
WCM-fd63e6197ee4e537361c0688,WCRS-e67085545e1cefe04ec65711,,,,,,,other_pay_setting_mechanism,unclear,An employee assigned to 24-hour shift schedule or an Administrative Assignment,claim_ready,table_or_formula,,,,,"[""24""]",,,false
WCM-fb74d302a4bf44d54cbbb572,WCRS-4eebe865b9bf2390ff7ae651,,,,,,,cola_cpi_indexing,unclear,employees shall advance to the next highest step in the wage structure,mechanism_only,step_schedule,,,,,[],,,false
WCM-7cc2641ac536c5313e939f39,WCRS-889ca4b3c635fe95b6414c7d,,,,,,,cola_cpi_indexing,unclear,the date of promotion shall govern all step,mechanism_only,step_schedule,,,,,[],,,false
WCM-7383c1524ca860d3823a82f5,WCRS-7586e3e8447d7a4ecb29daed,,,,,,,non_base_compensation,unclear,SERGEANT - Step B 15°/o above Step 5 Patrol Officer,mechanism_only,step_schedule,,,,,"[""15"", ""5""]",,,false
WCM-1fa0006fb3cf5805f7702c93,WCRS-e93bcacd3a8cf26566519d67,,,,,,,cola_cpi_indexing,unclear,anniversary date shall be the eligibility date for any and all step increases,mechanism_only,step_schedule,,,,,[],,,false
WCM-c25e9d4e6c9b1d25cceee6f0,WCRS-bb4b321b98258b1f32c1db50,,,,,,,cola_cpi_indexing,unclear,"(6) months of continuous employment (Step IA to Step 2B effective January 1, 2023).",mechanism_only,step_schedule,,,,2023,"[""6"", ""2"", ""1,"", ""2023""]",,,false
WCM-551a29095403117060e2c054,WCRS-04aaf3d9d7d89f7f7a091cfd,,,,,,,cola_cpi_indexing,unclear,requirements herein above shall be advanced to the next applicable Pay Step,mechanism_only,step_schedule,,,,,[],,,false
WCM-6f0f2c985ded9f693fbcfaf1,WCRS-1e357a833c165bfda2fb9c83,,,,,,,retroactivity_implementation,unclear,Effective upon transition to a “48-96” work schedule as described in Section 9.2.5,mechanism_only,table_or_formula,,,,,"[""48"", ""96"", ""9.2"", ""5""]",,,false
WCM-8aa650b5367fc833e218f42e,WCRS-6eaec12da04edddaa02e3cb2,,,,,,,across_the_board_raise,unclear,shall start at step one of,mechanism_only,step_schedule,,,,,[],,,false
WCM-019cf0ac95c25151b0a66a0c,WCRS-6bbfa90bb9a35b3b7c817525,,,,,,,market_recruitment_retention,unclear,Market Data shall mean (1) the average minimum and maximum annual rates of,mechanism_only,annual_salary,,,,,"[""1""]",,,false
WCM-dc8c8c218705a2c0a93f3a79,WCRS-664f975100ec7865c93aba38,,,,,,,cola_cpi_indexing,unclear,CPI-W June to June,mechanism_only,table_or_formula,,,,,[],CPI-W June to June,,false
WCM-e4af2dd116f71dbc51fa7f01,WCRS-5817b885144d78043bb81edc,,,,,,,cola_cpi_indexing,unclear,Step increases shall be as provided for,mechanism_only,step_schedule,,,,,[],,,false
WCM-03cc56949dd37cf9b69d7261,WCRS-8001c0ea7b6256df3e5d535e,,,,,,,other_pay_setting_mechanism,unclear,"Because all merit step increases have been frozen for FY-2017-2018, the time period",claim_ready,step_schedule,,,,2017,"[""2017"", ""2018,""]",,,false
WCM-cf120966ffd8d5060f946d0f,WCRS-6c7013345d86dce706fbbf2b,,,,,,,cola_cpi_indexing,unclear,2.5% COLA,mechanism_only,percentage,,,,,"[""2.5%""]",,,false
WCM-b4f07a3a7ff1c2ec851c9fd0,WCRS-ff661e0b182e8141e26290c0,,,,,,,cola_cpi_indexing,unclear,Implemented a step-based pay plan with credit for years of,mechanism_only,step_schedule,,,,,[],,,false
WCM-4ffc42e4bcd961cce12f02d4,WCRS-a336b73a84cb2789f2650694,,,,,,,other_pay_setting_mechanism,unclear,on behalf of their former law enforcement employer shall receive up to a maximum total of,claim_ready,table_or_formula,,,,,[],,,false
WCM-b5c1506bdfd6c15ad17535ad,WCRS-398f6ce98b969a401f00ed93,,,,,,,other_pay_setting_mechanism,unclear,National CPI Index,claim_ready,table_or_formula,,,,,[],National CPI Index,,false
WCM-834293389e2a20207e0fdd50,WCRS-03f1359b3d3e85439823c214,,,,,,,non_base_compensation,unclear,the 5 percent paramedic specialty pay,mechanism_only,percentage,,,,,"[""5""]",,,false
WCM-554bc8aa0d989b9c63387aec,WCRS-726a8adcd2b5d2327b17b3c2,,,,,,,collective_bargaining,unclear,subject to Arbitration in Step Five (5),mechanism_only,step_schedule,,,,,"[""5""]",,,false
WCM-20a33b0cb113d87a4f6bb41d,WCRS-7e9851dcd062a94dda878d83,,,,,,,across_the_board_raise,unclear,Demotions will result in decrease to step reflective of their tenure.,mechanism_only,step_schedule,,,,,[],,,false
WCM-6a4309d0ac0c3d1c37efd216,WCRS-31672ffe079e6ec12a60c444,,,,,,,cola_cpi_indexing,unclear,advance to grade 4 for a period of one (1) year (training period),mechanism_only,pay_grade,,,,,"[""4"", ""1""]",,,false
WCM-7c45d72654b9d052924a0d62,WCRS-e603a8541e9132c1c82aa277,,,,,,,across_the_board_raise,unclear,"in the amount of 3% effective July 1, 2025",mechanism_only,percentage,,,,2025,"[""3%"", ""1,"", ""2025""]",,,false
WCM-2e925d77564e97a6a2d16b67,WCRS-8fed3cdf817a2a5aec31b921,,,,,,,across_the_board_raise,unclear,maximum biweekly rate of pay shall be decreased to the salary step closest to his present biweekly rate.,mechanism_only,annual_salary,,,,,[],,,false
WCM-2d239aa8becbbc715bac9bc5,WCRS-aca409d7a5d72ae601436728,,,,,,,retroactivity_implementation,unclear,50% effective with the first pay period of 2022.,mechanism_only,percentage,,,,2022,"[""50%"", ""2022""]",,,false
WCM-fecd60a765b62337088f39df,WCRS-67ba8d21b16a90cf86349f3c,,,,,,,cola_cpi_indexing,unclear,"increased a set percentage based on years of service {steps), EMT Certification",mechanism_only,percentage,,,,,[],,,false
WCM-116526168cc03ee91d3e4ce6,WCRS-6f0b26bd6baf890c9b34fafe,,,,,,,across_the_board_raise,unclear,minimum of a ten-percent (10%),mechanism_only,percentage,,,,,"[""10%""]",,,false
WCM-a24d2aeef373d1daec74bb76,WCRS-cfd5541824e35bf33f28b7ca,,,,,,,non_base_compensation,unclear,the wage rates addressed in Table A include longevity pay.,mechanism_only,table_or_formula,,,,,[],,,false
WCM-73791a2d4bad1239849c30fa,WCRS-b78bc83027dbe1029b6cd1b9,,,,,,,across_the_board_raise,unclear,placed at a any step up to and including step 6,mechanism_only,step_schedule,,,,,"[""6""]",,,false
WCM-96ed861df9320b6944e063e4,WCRS-49b5ba9f6a0108c5696d5b76,,,,,,,cola_cpi_indexing,unclear,pay in the next available pay step within this Agreement,mechanism_only,step_schedule,,,,,[],,,false
WCM-4088d80c5bc644d61a5b6511,WCRS-4230969ad9456c091203a366,,,,,,,retroactivity_implementation,unclear,"Step M effective January 1, 2024",mechanism_only,step_schedule,,,,2024,"[""1,"", ""2024""]",,,false
WCM-ec0b2bdbe717ebc3c7d521f4,WCRS-483881306e0e9dd6816e48a9,,,,,,,across_the_board_raise,unclear,"increase in salary, or at the top of the salary schedule for the new position,",mechanism_only,annual_salary,,,,,[],,,false
WCM-cabace3c817087d678ee4922,WCRS-2c8ec353d5438b285d5919a5,,,,,,,across_the_board_raise,unclear,Plus 3.75%,mechanism_only,percentage,,,,,"[""3.75%""]",,,false
WCM-d4094c32db577a1b9bafe358,WCRS-aa47c18935a5738c4acf8ce5,,,,,,,cola_cpi_indexing,unclear,six (6) months employment and will be eligible to advance to further steps in said pay range at,mechanism_only,step_schedule,,,,,"[""6""]",,,false
WCM-b666353d94be8af14a6ce51b,WCRS-a68f8f54ff4ecc3bfc255c01,,,,,,,across_the_board_raise,unclear,"(Sworn 6.00%, Non-sworn 3.00%)",mechanism_only,percentage,,,,,"[""6.00%"", ""3.00%""]",,,false
WCM-94dd85f5f413284fbc4bfaab,WCRS-eda2d880f894593872599271,,,,,,,across_the_board_raise,unclear,additional one-half (1/2) step increase to the next higher rate,mechanism_only,step_schedule,,,,,"[""1"", ""2""]",,,false
WCM-eabe7655bbcb0d000ed9cd6f,WCRS-fadbd3cee84a881a4a602de2,,,,,,,cola_cpi_indexing,unclear,firefighter initially hired at Step A will remain in Step A until one (1) year of service is,mechanism_only,step_schedule,,,,,"[""1""]",,,false
WCM-d405a45376a6a21748a08c94,WCRS-bfef87ccc62167294c76d08b,,,,,,,across_the_board_raise,unclear,"4 Effective July 1, 2025, the Salag Schedules shall be increased by three percent (3%).",mechanism_only,percentage,,,,2025,"[""4"", ""1,"", ""2025,"", ""3%""]",,,false
WCM-211cfd945474fa6bf0745a8e,WCRS-2767c878db1f2e116398c07f,,,,,,,cola_cpi_indexing,unclear,a twenty five plus (25+) year step will be added,mechanism_only,step_schedule,,,,,"[""25""]",,,false
WCM-e54190ad1a63be5ccc13c50b,WCRS-c9aa9880d190589de5ef08cc,,,,,,,collective_bargaining,unclear,(50%) of all bargaining sessions after normal business hours.,mechanism_only,percentage,,,,,"[""50%""]",,,false
WCM-b2bfafddd4c0707378fea8a6,WCRS-d21028c9c76b3edb141689e2,,,,,,,cola_cpi_indexing,unclear,steps shall be twelve (12) months from Step 1 to Step 2,mechanism_only,step_schedule,,,,,"[""12"", ""1"", ""2""]",,,false
WCM-fe538918e4736b66706fdf1f,WCRS-5db99168f11cd5f79a4af35a,,,,,,,across_the_board_raise,unclear,paid at the rate of at least four percent (4%) above their,mechanism_only,percentage,,,,,"[""4%""]",,,false
WCM-5bd15e06b33054ce595f260b,WCRS-b104547d4e6d3213dfbebc9d,,,,,,,across_the_board_raise,unclear,placed on the Step Pay Matrix upon hire,mechanism_only,step_schedule,,,,,[],,,false
WCM-530e3dc2cc1c0a2bb0b20d17,WCRS-24a0c90a3b12f6d9443aa091,,,,,,,across_the_board_raise,unclear,four percent ( 4%) equity increase,mechanism_only,percentage,,,,,"[""4%""]",,,false
WCM-7b9c6b47ee4329dee5ab2ec4,WCRS-3e0ed1da2de7497c962dc6ff,,,,,,,across_the_board_raise,unclear,placed at the first step in the Wage Scale for their new classification,mechanism_only,step_schedule,,,,,[],,,false
WCM-1852af9fda9ea38b6e2232a5,WCRS-96236ef2b21afc2147487fbd,,,,,,,other_pay_setting_mechanism,unclear,and will grant a first step pay increase after sixty (60) days.,claim_ready,step_schedule,,,,,"[""60""]",,,false
WCM-d08f997ae59d7e6d215820e3,WCRS-4bc18a67cfcc7dee3bca1212,,,,,,,retroactivity_implementation,unclear,Step “A” only applies to hires after 2/19/96.,mechanism_only,step_schedule,,,,,"[""2"", ""19"", ""96""]",,,false
WCM-c091fb4c59c1044028f4959f,WCRS-7a56c89e0d27803f8206790a,,,,,,,cola_cpi_indexing,unclear,shall be eligible for a step movement at their 6 month anniversary date.,mechanism_only,step_schedule,,,,,"[""6""]",,,false
WCM-6f5e557276925b7713de9618,WCRS-87a1aabc79062b5a38484b70,,,,,,,cola_cpi_indexing,unclear,move to Step 3,mechanism_only,step_schedule,,,,,"[""3""]",,,false
WCM-8ed0a22665dc7e2554ac9d97,WCRS-44417e936ff3e81135306a0c,,,,,,,cola_cpi_indexing,unclear,Merit increases will be 5% increments beginning with A step and ending with E step.,mechanism_only,percentage,,,,,"[""5%""]",,,false
WCM-7fe923a1d8abe8bb72be5f8a,WCRS-f6420d3a272027486fb97c24,,,,,,,across_the_board_raise,unclear,Plus 3.0%,mechanism_only,percentage,,,,,"[""3.0%""]",,,false
WCM-53cbb081d67f4503b5a651d2,WCRS-4969c2f02d6ad78313d286a8,,,,,,,cola_cpi_indexing,unclear,next full step in the pay range following completion of one (1),mechanism_only,step_schedule,,,,,"[""1""]",,,false
WCM-dc8865ad3b7ce9c9adfd02af,WCRS-d153691e4ca61a0182cd4b58,,,,,,,cola_cpi_indexing,unclear,"pay grade, the member shall advance to the next higher step of his/her pay grade.",mechanism_only,step_schedule,,,,,[],,,false
WCM-565ddf9fc095ba5aed4c149c,WCRS-2da147875b3e500fc7e6eb8d,,,,,,,cola_cpi_indexing,unclear,CPI-W June to June,mechanism_only,table_or_formula,,,,,[],CPI-W June to June,,false
WCM-ca96388e118fe9f49930b506,WCRS-81614a173570473742129deb,,,,,,,cola_cpi_indexing,unclear,of their pay range shall take effect on the pay anniversary date of each employee affected unless,mechanism_only,range_min_max,,,,,[],,,false
WCM-220c414de6a43f709b4b640c,WCRS-f49bc179926faf6790120e30,,,,,,,collective_bargaining,unclear,"If the grievance is not settled in Step 3 and the Association wishes to appeal the grievance, the Association may refer the grievance to arbitration",mechanism_only,step_schedule,,,,,"[""3""]",,,false
