technical_lineage_id,source_span_lineage_id,municipality,state,region,source_family,source_title,source_url,mechanism_class,side,bounded_evidence_excerpt,claim_boundary,compensation_cycle_id,period_start,period_end,period_label,period_source,period_confidence,period_caveats,conflicting_period_flag
WCM-c3b862126349ac18c27f0b05,WCRS-c3e3f2931c59ee924d119096,,,,,,,cola_cpi_indexing,unclear,wage step increase program are eliminated,mechanism_only,undated-source-lobs_02cf16b14ae780a5964de0af,,,,source_level_identifier_only,low,missing explicit period,false
WCM-1c7368a083b2f08e19e37cc6,WCRS-aad9d07db11967cabac16f4d,,,,,,,across_the_board_raise,unclear,each Employee's Basic Hourly Rate shall be increased,mechanism_only,undated-source-lobs_04a9b383f777af3239a206b5,,,,source_level_identifier_only,low,missing explicit period,false
WCM-12b1abf8e450fe11c11099ce,WCRS-087aa4c21995abc64fbf83e3,,,,,,,cola_cpi_indexing,unclear,Create additional pay step for each pay grade to increase in one (1) percent increments each year,mechanism_only,undated-source-lobs_04af2e69e65f168d8a41a8b4,,,,source_level_identifier_only,low,missing explicit period,false
WCM-ad45e43beab157d6d0a397f9,WCRS-57ef64e193b2c9712ab4d4bd,,,,,,,other_pay_setting_mechanism,unclear,proposed Memorandum of Understanding (MOU) provides for wage adjustments,claim_ready,undated-source-lobs_04f9eb5b8890fe6d4dc6eeb3,,,,source_level_identifier_only,low,missing explicit period,false
WCM-93bf194cedc1e46164ee5728,WCRS-9aa02622ad64049b89463d00,,,,,,,non_base_compensation,unclear,Employees shall receive bereavement leave,mechanism_only,undated-source-lobs_05ed2d217cf3eb2015ec8da8,,,,source_level_identifier_only,low,missing explicit period,false
WCM-d98122092ae38393baf992bd,WCRS-ecbd86b00a97342ec6cec35e,,,,,,,collective_bargaining,unclear,The sole issue before the arbitrator shall be whether the rate,mechanism_only,undated-source-lobs_05f168b6592855b18784b552,,,,source_level_identifier_only,low,missing explicit period,false
WCM-7b90bc632443d8c62ee93e10,WCRS-65f353c7117c8c84d803c5dc,,,,,,,across_the_board_raise,unclear,No salary reduction shall be made for an employee,mechanism_only,undated-source-lobs_05f932347077c338d0432940,,,,source_level_identifier_only,low,missing explicit period,false
WCM-9fa5ffd52ecc1fab29ab9f5f,WCRS-2b6fd2e7bd02d1d494ece7ec,,,,,,,collective_bargaining,unclear,request arbitration,mechanism_only,undated-source-lobs_07823ba1699c5a20b69eac86,,,,source_level_identifier_only,low,missing explicit period,false
WCM-2679855138091352e132e340,WCRS-16f73bd7d53e4a69872bb35a,,,,,,,cola_cpi_indexing,unclear,(COLA) salary increase of base pay,mechanism_only,undated-source-lobs_07e6da7b57d0082cf5ef0fb1,,,,source_level_identifier_only,low,missing explicit period,false
WCM-5ac96daa8619cde2ddea2197,WCRS-1c9c518043c463a5b7b7b6c6,,,,,,,cola_cpi_indexing,unclear,pay by progression from step to step shall be effected upon attendance,mechanism_only,undated-source-lobs_080a5c596af4aded2e2024bb,,,,source_level_identifier_only,low,missing explicit period,false
WCM-cf8c1c73717e0d74b09ade97,WCRS-7b9fc4ef683af2a25ee69ce4,,,,,,,non_base_compensation,unclear,"completed six (6) months of employment shall be paid for one-half of that year’s floating holiday,",mechanism_only,undated-source-lobs_08b2db187a40195c1ea6dc7a,,,,source_level_identifier_only,low,missing explicit period,false
WCM-0fe196d40c0d937cd1f15250,WCRS-83fe1aea553f0f1f1ea0d299,,,,,,,other_pay_setting_mechanism,unclear,"Effective end of day on February 29, 2024, no employee shall receive or be 390",claim_ready,2024,2024,2024,2024,bounded_text_or_title_or_source_url,moderate,,false
WCM-8c43160e5629d327484ce9d7,WCRS-e89878b018efe9f92a20f6e5,,,,,,,retroactivity_implementation,unclear,"Beginning January 1, 2022",mechanism_only,2022,2022,2022,2022,bounded_text_or_title_or_source_url,moderate,,false
WCM-fcb1e64dcb4f1c941f7a9b2b,WCRS-3584113acf319a6984de1b0c,,,,,,,cola_cpi_indexing,unclear,Cost of Living Adjustment/ Wage Increases:,mechanism_only,undated-source-lobs_0a20cffb8ceb1d1bd67fe0e3,,,,source_level_identifier_only,low,missing explicit period,false
WCM-3c06bbdeb6146c6effcd33b2,WCRS-d493ead1d29b8eb9cd7686de,,,,,,,other_pay_setting_mechanism,unclear,This shall be paid on the basis of the,claim_ready,undated-source-lobs_0b01ff022d0f0db2fd3d39e4,,,,source_level_identifier_only,low,missing explicit period,false
WCM-f4a32fc2d368f386fb1246b8,WCRS-2b6634c792ade3f082c8d38e,,,,,,,cola_cpi_indexing,unclear,the increase will revert to the CPI,mechanism_only,undated-source-lobs_0b2dc09a9220ded163d87b64,,,,source_level_identifier_only,low,missing explicit period,false
WCM-921ace0a90814f1bafb6e5dd,WCRS-9f93fa86819f76f5615c4143,,,,,,,retroactivity_implementation,unclear,effective as of the 1st day of October 2024,mechanism_only,2024,2024,2024,2024,bounded_text_or_title_or_source_url,moderate,,false
WCM-78bb0f68a32c6da05f923b9e,WCRS-ad636cd76ffb5ced7fc9974d,,,,,,,non_base_compensation,unclear,Officer is promoted to Sergeant his/her salary shall be increased,mechanism_only,undated-source-lobs_0ca3a046bf59fc283f5f0170,,,,source_level_identifier_only,low,missing explicit period,false
WCM-c394749a04ce4765853020e5,WCRS-cf42bd7a54c65a73e8aa4541,,,,,,,non_base_compensation,unclear,shall be compensated at two (2) times their hourly base pay rate.,mechanism_only,undated-source-lobs_0cf42a3c9837cbbde76681c3,,,,source_level_identifier_only,low,missing explicit period,false
WCM-61fa10d8c8ce61318c874df4,WCRS-e2315c91c7d8fc7ec643660f,,,,,,,other_pay_setting_mechanism,unclear,"Effective with the first full pay period of February 2020, bargaining unit members will be eligible",claim_ready,2020,2020,2020,2020,bounded_text_or_title_or_source_url,moderate,,false
WCM-930b523ff8d686975c523087,WCRS-9378aea903e79ebc335de21c,,,,,,,retroactivity_implementation,unclear,retroactive to the start of the first tour so worked,mechanism_only,undated-source-lobs_0d9894951eb7dfbcc3747a0a,,,,source_level_identifier_only,low,missing explicit period,false
WCM-faba08734c2066d5a7cf61ed,WCRS-b0854064b5b2482fcc07eb99,,,,,,,cola_cpi_indexing,unclear,The length of time required to be served as a Sergeant in each step of the Sergeant’s,mechanism_only,undated-source-lobs_0dafb0aeb03cbb1c3a4573fb,,,,source_level_identifier_only,low,missing explicit period,false
WCM-42f8330a6319539bc014b1bb,WCRS-4c053dec9c036bb4e3c0bb57,,,,,,,non_base_compensation,unclear,in an alternate position or higher classification shall be paid the salary rate of the higher classification.,mechanism_only,undated-source-lobs_0dffa1fec27f5d8a9a38aa1f,,,,source_level_identifier_only,low,missing explicit period,false
WCM-19d0b563e136d58d19e16786,WCRS-9dd2952baa9dd046efb12277,,,,,,,other_pay_setting_mechanism,unclear,"individuals who commence employment, on or after the date on which this Agreement is",claim_ready,undated-source-lobs_0e10b5a23bbbcaa59c0790d7,,,,source_level_identifier_only,low,missing explicit period,false
WCM-92d5e1d894d5123b45d79812,WCRS-6cb57f261774516f3c80e650,,,,,,,other_pay_setting_mechanism,unclear,Employees who transfer to a higher rated classification,claim_ready,undated-source-lobs_0ea1e6031f1122e4a19f7e7f,,,,source_level_identifier_only,low,missing explicit period,false
WCM-9a7d73d2d57fcd501cfbb963,WCRS-54fb530c346bc24c122677cb,,,,,,,retroactivity_implementation,unclear,EFFECTIVE 01/01/2021,mechanism_only,2021,2021,2021,2021,bounded_text_or_title_or_source_url,moderate,,false
WCM-10782b6f82b9beff4b3242a3,WCRS-99b9a70436af941a0602942b,,,,,,,other_pay_setting_mechanism,unclear,"responsibilities increase, the Employee's salary will be increased following procedures outlined in",claim_ready,undated-source-lobs_11b9469f7e488b96f3668b4b,,,,source_level_identifier_only,low,missing explicit period,false
WCM-6d40f148e5cde6f7452943f7,WCRS-df2077db6145945ada6443f0,,,,,,,retroactivity_implementation,unclear,"effective January 1, 2024",mechanism_only,2024,2024,2024,2024,bounded_text_or_title_or_source_url,moderate,,false
WCM-338ad46d387d097f3128a499,WCRS-211ec297627b74b208e6584f,,,,,,,non_base_compensation,unclear,Overtime must be approved in advance.,mechanism_only,undated-source-lobs_12744d8decb3d5913fd5c27d,,,,source_level_identifier_only,low,missing explicit period,false
WCM-34590bac4009e6ac5508ea64,WCRS-50a1fd2ee132b96cf0d4aca3,,,,,,,retroactivity_implementation,unclear,"Effective the first full pay period on or after October 1, 2023, and October 1, 2024,",mechanism_only,2023,2023,2023,2023,bounded_text_or_title_or_source_url,moderate,,false
WCM-c0e6294e9e9d0150ab65be48,WCRS-407364475ff87a5cda7e8214,,,,,,,other_pay_setting_mechanism,unclear,and will be removed from the employee’s personnel file twenty-four (24) months after the effective,claim_ready,undated-source-lobs_1354b624c86e695a74ab7e12,,,,source_level_identifier_only,low,missing explicit period,false
WCM-f5fa0d98fb19e98a6a3a93f6,WCRS-1e24841ef4558a8995e8ee68,,,,,,,other_pay_setting_mechanism,unclear,Use of UTB will not result in reduction of an employee’s salary or benefits.,claim_ready,undated-source-lobs_137c25c4b1646df9e12670f2,,,,source_level_identifier_only,low,missing explicit period,false
WCM-61a41a7a8310e0e3772f354f,WCRS-a28a049a0c4648219adc2da3,,,,,,,other_pay_setting_mechanism,unclear,for all salary ranges in effect for unit classifications,claim_ready,undated-source-lobs_14861bf513159c968b4ed4f1,,,,source_level_identifier_only,low,missing explicit period,false
WCM-ff328c860454b783a2706c70,WCRS-b52392df823398a8c5349bf6,,,,,,,other_pay_setting_mechanism,unclear,must hold at least one certification to qualify,claim_ready,undated-source-lobs_14b21c0930fb05307f925a88,,,,source_level_identifier_only,low,missing explicit period,false
WCM-fcfef1ed2f31756540229ded,WCRS-abaa873c42b13844a0d886c5,,,,,,,retroactivity_implementation,unclear,whenever the Agreement provides for a wage reopener and the date of said,mechanism_only,undated-source-lobs_15067fe514e0c804701b7c69,,,,source_level_identifier_only,low,missing explicit period,false
WCM-9fdcfb84615b8eb430b90ddc,WCRS-65de3480df17b6f9be1842a2,,,,,,,retroactivity_implementation,unclear,"Effective October 1, 2021 the appended salary schedule for the City of Lewiston will be",mechanism_only,2021,2021,2021,2021,bounded_text_or_title_or_source_url,moderate,,false
WCM-90079ba50acb5a22ff749f3c,WCRS-3b015f19a8af67cac65f02f7,,,,,,,other_pay_setting_mechanism,unclear,following the approval of their department head,claim_ready,undated-source-lobs_154a91a7063a07ac5e9c604b,,,,source_level_identifier_only,low,missing explicit period,false
WCM-2d6e5b99b6e21f540a68f11f,WCRS-72a5aedafcaaa6680eae2092,,,,,,,across_the_board_raise,unclear,regular or overtime rate of pay,mechanism_only,undated-source-lobs_159e2081db9609dda3b11098,,,,source_level_identifier_only,low,missing explicit period,false
WCM-f2ea02dea1def7812e89137a,WCRS-cc953d8b2d924159fa30f4e3,,,,,,,retroactivity_implementation,unclear,"Effective at the first full pay period occurring in January, 2021 and applicable to all wages earned",mechanism_only,2021,2021,2021,2021,bounded_text_or_title_or_source_url,moderate,,false
WCM-93df159b59db3c2a01bb4f4f,WCRS-397b9ac83d466c6f7989fa5a,,,,,,,other_pay_setting_mechanism,unclear,"Effective January 1, 2023",claim_ready,2023,2023,2023,2023,bounded_text_or_title_or_source_url,moderate,,false
WCM-cc8547e25758e16f26342e11,WCRS-da6fae744666a1dd8252467d,,,,,,,collective_bargaining,unclear,subject to a reopener provision,mechanism_only,undated-source-lobs_169fe1f971d8b0e81b729eee,,,,source_level_identifier_only,low,missing explicit period,false
WCM-1828c767d2a4de5c781c4f69,WCRS-1dd405b3e173f1dbe4404c64,,,,,,,collective_bargaining,unclear,The arbitrator will determine the appropriate wage adjustment.,mechanism_only,undated-source-lobs_16dae25d828950a27b5d7574,,,,source_level_identifier_only,low,missing explicit period,false
WCM-8952a8641b169479c01e29b3,WCRS-04c938923c8e8e60721fd995,,,,,,,retroactivity_implementation,unclear,the effective date for a merit increase shall be the first day of the,mechanism_only,undated-source-lobs_170ab36b18c89d3097f7bcce,,,,source_level_identifier_only,low,missing explicit period,false
WCM-1ef91a675b0c37596a228ec0,WCRS-2d20c8376d5d8816e61daca1,,,,,,,cola_cpi_indexing,unclear,at the same step level,mechanism_only,undated-source-lobs_17a4a95c701d27b9f2faea2e,,,,source_level_identifier_only,low,missing explicit period,false
WCM-9788f218af244e9345c5e1ca,WCRS-0c0663b36d498b242ec7fd23,,,,,,,other_pay_setting_mechanism,unclear,When a recognized holiday falls on Sunday,claim_ready,undated-source-lobs_17f59d483c418dd4610899a0,,,,source_level_identifier_only,low,missing explicit period,false
WCM-a8f0e43a503f22d8b71219be,WCRS-25ae5f5aff01f3ab4c3969b8,,,,,,,across_the_board_raise,unclear,advance one step on the grade and step scale,mechanism_only,undated-source-lobs_183b2015c414fee3027898e5,,,,source_level_identifier_only,low,missing explicit period,false
WCM-bc797adc53d91d7f41afc86c,WCRS-9712eaeffe33cbf380c77f88,,,,,,,non_base_compensation,unclear,attending any Certification Process or Training Program required to maintain their current pay,claim_ready,undated-source-lobs_18f4212214cbb54d2e21f720,,,,source_level_identifier_only,low,missing explicit period,false
WCM-28cc3aa7977f7707b32010e1,WCRS-fe72ab2a22a133143d11c222,,,,,,,other_pay_setting_mechanism,unclear,Any change in the amount of dues to be deducted by the City wil l become effective the 30 days,claim_ready,undated-source-lobs_19e13aeaceb57713ab40d13a,,,,source_level_identifier_only,low,missing explicit period,false
WCM-578e1c7b6519b46da761a33a,WCRS-f22c164b9b66736f3c3fc917,,,,,,,non_base_compensation,unclear,Disability payments,mechanism_only,undated-source-lobs_1a6fef66ba241161bd12d02a,,,,source_level_identifier_only,low,missing explicit period,false
WCM-c1b49e9a328e299cee8616ca,WCRS-1e1fc6a39385333116e111f5,,,,,,,across_the_board_raise,unclear,hourl y rate,mechanism_only,undated-source-lobs_1b5e9cfe1ec1670f9e9f0ac0,,,,source_level_identifier_only,low,missing explicit period,false
WCM-9b26036362c35affd30e7986,WCRS-e96395ca4c4f1f1ec20286a8,,,,,,,non_base_compensation,unclear,emergencies shall be paid in accordance with Article 13 for a minimum of three (3) hours plus actual hours,mechanism_only,undated-source-lobs_1c4da1669fde567afd7a359a,,,,source_level_identifier_only,low,missing explicit period,false
WCM-a5819c68b8d47e08e60c9095,WCRS-4bb0c2a84408e0319ecb5f57,,,,,,,collective_bargaining,unclear,The arbitrator shall have specific authority to determine the rate of,mechanism_only,undated-source-lobs_1c8dcfc3e817ac5a5121d1ed,,,,source_level_identifier_only,low,missing explicit period,false
WCM-c3a67660f4353a0429224dd6,WCRS-b348994d74eacd2a0bf73adb,,,,,,,other_pay_setting_mechanism,unclear,All employees,claim_ready,undated-source-lobs_1cc32e05e8744817ddf06d6c,,,,source_level_identifier_only,low,missing explicit period,false
WCM-8feb7e44400fb505df68576e,WCRS-5d2647fae60de83e6494a9b4,,,,,,,across_the_board_raise,unclear,at least five percent (5%) above the,mechanism_only,undated-source-lobs_1d7d158d133ce3bbd4166ed8,,,,source_level_identifier_only,low,missing explicit period,false
WCM-6ab0a74a80b3c830257fa08e,WCRS-d698bc96a52eba2475b1ee94,,,,,,,cola_cpi_indexing,unclear,2025 COLA = 3.6%,mechanism_only,2025,2025,2025,2025,bounded_text_or_title_or_source_url,moderate,,false
WCM-88c1e9a9e4e5e1ed52af0743,WCRS-0e2233df538278f1dd17367e,,,,,,,retroactivity_implementation,unclear,"Effective July I, 1999",mechanism_only,undated-source-lobs_20851a55680ee9e68dda3ab1,,,,source_level_identifier_only,low,missing explicit period,false
WCM-66297014bf15751b2224f64a,WCRS-1100205a678bb36051575cec,,,,,,,retroactivity_implementation,unclear,accordingly effective the first day of the pay period following the Fire Chief's certification.,mechanism_only,undated-source-lobs_20d65e665197b9e7ab2f882b,,,,source_level_identifier_only,low,missing explicit period,false
WCM-d8d37b28e665ace2a7af815e,WCRS-e8a50b1b6acb250a7d72720b,,,,,,,other_pay_setting_mechanism,unclear,before any person or agency on his regular day off shall receive a minimum of,claim_ready,undated-source-lobs_21a5a79843616d2edbe24023,,,,source_level_identifier_only,low,missing explicit period,false
WCM-ddafb0ec031b5c2814f0af47,WCRS-380b5fee3eee4734497a588f,,,,,,,non_base_compensation,unclear,"medical and hospital expenses, shall be paid by the City",mechanism_only,undated-source-lobs_21bfe901ccc60abb29fb373d,,,,source_level_identifier_only,low,missing explicit period,false
WCM-0706cf52001b250351f534e4,WCRS-a766b08af4b2169f2786e5ab,,,,,,,other_pay_setting_mechanism,unclear,eligible permanent employees,claim_ready,undated-source-lobs_23650e2a3d03ca4b72dc3e3a,,,,source_level_identifier_only,low,missing explicit period,false
WCM-9c0e5bfa115b2054c07a41bd,WCRS-a9887b90909e54d35a382310,,,,,,,retroactivity_implementation,unclear,"effective July 1, 2024",mechanism_only,2024,2024,2024,2024,bounded_text_or_title_or_source_url,moderate,,false
WCM-be95dc190407fed48d4aa6fb,WCRS-2b176eff4eaf79ce433407d7,,,,,,,retroactivity_implementation,unclear,receive their pay increase retroactive to their eligibility date.,mechanism_only,undated-source-lobs_24d1334a7e2060d186ff5c8d,,,,source_level_identifier_only,low,missing explicit period,false
WCM-dfe95a7d2eb3e6b976d0ad38,WCRS-62fe941cbe1616f42ef16114,,,,,,,other_pay_setting_mechanism,unclear,"CITY OF FAIRBANKS EFFECTIVE APRIL 10, 2023",claim_ready,2023,2023,2023,2023,bounded_text_or_title_or_source_url,moderate,,false
WCM-7b68579ad8762195fda035e5,WCRS-3d453aea9a516faeff56253e,,,,,,,non_base_compensation,unclear,employees in the rank of Lieutenant,mechanism_only,undated-source-lobs_25483f7c98b248266bd5479a,,,,source_level_identifier_only,low,missing explicit period,false
WCM-63ea89a370eb60b899ece311,WCRS-fec078a1b5e71c9311afd4c6,,,,,,,across_the_board_raise,unclear,a base salary increase,mechanism_only,undated-source-lobs_257ab7918274831ff643e8a9,,,,source_level_identifier_only,low,missing explicit period,false
WCM-29ddc69731db0a1538d90933,WCRS-a5a4daa7d5380261ec050e00,,,,,,,other_pay_setting_mechanism,unclear,employees assigned to be evidence technicians,claim_ready,undated-source-lobs_26283099ba7e400b8801e1d8,,,,source_level_identifier_only,low,missing explicit period,false
WCM-9c357c9605b1dd4b42722c3d,WCRS-263484e8690b2d458b2badc0,,,,,,,retroactivity_implementation,unclear,"Effective January 1, 2022, the Service",mechanism_only,2022,2022,2022,2022,bounded_text_or_title_or_source_url,moderate,,false
WCM-55a8c048a71f263e269546d2,WCRS-0cbdba2560f831f1d0203a9d,,,,,,,retroactivity_implementation,unclear,"Effective September 5, 1998",mechanism_only,undated-source-lobs_26e575c8dcd7173590c4b957,,,,source_level_identifier_only,low,missing explicit period,false
WCM-eed66d3f6ac9a5de481ad165,WCRS-b2e4adeee5a2e0230e0a8038,,,,,,,retroactivity_implementation,unclear,"approve it retroactively effective July 1, 2025.",mechanism_only,2025,2025,2025,2025,bounded_text_or_title_or_source_url,moderate,,false
WCM-604c3f888755739f67b37c53,WCRS-a2a389eda871ac2b9c77d34c,,,,,,,retroactivity_implementation,unclear,"Effective July 1, 2005, the City shall provide",mechanism_only,undated-source-lobs_275ae8c2e7fd393d0a2f5999,,,,source_level_identifier_only,low,missing explicit period,false
WCM-9ea2abdfb7ea37028a1c62f8,WCRS-ebf2291be35a5dc606ba62f3,,,,,,,other_pay_setting_mechanism,unclear,Wages shall be paid in accordance with the salary schedules appearing herein as Schedule,claim_ready,undated-source-lobs_279285820a4d0b101bd68120,,,,source_level_identifier_only,low,missing explicit period,false
WCM-d91b055477c3907286b2035f,WCRS-7fff3e0f727eb387903d3a52,,,,,,,non_base_compensation,unclear,will not receive longevity pay in future years,mechanism_only,undated-source-lobs_27da8538b8c5eac3a2a38a2d,,,,source_level_identifier_only,low,missing explicit period,false
WCM-b00552ffb0b0f85643db9ce9,WCRS-5040c29a4697c476ffca98aa,,,,,,,across_the_board_raise,unclear,3% general wage increase,mechanism_only,undated-source-lobs_28212095d51b70f3190e8f49,,,,source_level_identifier_only,low,missing explicit period,false
WCM-9131fc17968f028fa47664f6,WCRS-cceefe1efd18571e6d81eb56,,,,,,,other_pay_setting_mechanism,unclear,"Each employee at the time of his/her retirement shall receive, on the basis",claim_ready,undated-source-lobs_2839fd2291e5fba18eefa4c0,,,,source_level_identifier_only,low,missing explicit period,false
WCM-8af1b31f4d81f5bcd74b8238,WCRS-e21cadfa8446147f42d732e8,,,,,,,market_recruitment_retention,unclear,“Labor Market Adjustment”,mechanism_only,undated-source-lobs_28a619e1243f82e38e5bc4f2,,,,source_level_identifier_only,low,missing explicit period,false
WCM-1cf69194907f4bebb3664e48,WCRS-8aa130481b6e3f8776c35b1c,,,,,,,retroactivity_implementation,unclear,"Effective January 11, 2026",mechanism_only,2026,2026,2026,2026,bounded_text_or_title_or_source_url,moderate,,false
WCM-3ea37774673a8fcac9172112,WCRS-d60238a01247022c905ee164,,,,,,,retroactivity_implementation,unclear,"commencing July 1, 2014",mechanism_only,2014,2014,2014,2014,bounded_text_or_title_or_source_url,moderate,,false
WCM-b00f693232d8a3e98c17d326,WCRS-366fa0db0c7935114e1d21e7,,,,,,,other_pay_setting_mechanism,unclear,"Effective May 1, 2025 the * positions have been updated with the following position titles:",claim_ready,2025,2025,2025,2025,bounded_text_or_title_or_source_url,moderate,,false
WCM-8e262534647d4ef52d544dff,WCRS-d6b01f1926c8fc127400912f,,,,,,,cola_cpi_indexing,unclear,Advancement between salary steps will be determined by time in service (one year) and,mechanism_only,undated-source-lobs_29cffb2730f0f7e4e9210da8,,,,source_level_identifier_only,low,missing explicit period,false
WCM-c95f6d5edfff5e96bc2fae34,WCRS-e6c525477ce012f147a9fcac,,,,,,,cola_cpi_indexing,unclear,the officer’s next anniversary date the officer will progress to the step commensurate with,mechanism_only,undated-source-lobs_29e5b2e0544b49a0acd24502,,,,source_level_identifier_only,low,missing explicit period,false
WCM-a7c1ca4aaf2464d6bd02c394,WCRS-9127e3836c3b3a4a676e8a6d,,,,,,,other_pay_setting_mechanism,unclear,contractual grievance arbitration procedure.,claim_ready,undated-source-lobs_2a3bea02e80b407de441041a,,,,source_level_identifier_only,low,missing explicit period,false
WCM-7413de50972789631c0a4538,WCRS-82930e09ff6837538c6eeff0,,,,,,,non_base_compensation,unclear,Longevity payments shall be based on the number of years of full-time,mechanism_only,undated-source-lobs_2ace8f053e2982f93a39a31c,,,,source_level_identifier_only,low,missing explicit period,false
WCM-a928b0e5c7673f47eefce124,WCRS-7b5f549883853d83a202f642,,,,,,,retroactivity_implementation,unclear,"Effective January 22, 2024, or the first full pay period following Council adoption of this",mechanism_only,2024,2024,2024,2024,bounded_text_or_title_or_source_url,moderate,,false
WCM-d519fed74d880754967f6208,WCRS-303de59431b991e373be7004,,,,,,,other_pay_setting_mechanism,unclear,"Paramedics hired prior to January 1, 1995 may voluntarily change their certification to",claim_ready,undated-source-lobs_2b49e374feadd5cbda493015,,,,source_level_identifier_only,low,missing explicit period,false
WCM-3a8b954014a853c3d3c5a16e,WCRS-98ffb6c0a450cade88b18965,,,,,,,non_base_compensation,unclear,"increases from PERS for retirement costs, as a percentage of payroll.",mechanism_only,undated-source-lobs_2c0dc8954a7f816503e8bd38,,,,source_level_identifier_only,low,missing explicit period,false
WCM-f45a638eeba60f4b76d37a1f,WCRS-360296f2544f22a2edc096d0,,,,,,,other_pay_setting_mechanism,unclear,compensation study.,claim_ready,undated-source-lobs_2c4fe911e49d92d55ee9c5c1,,,,source_level_identifier_only,low,missing explicit period,false
WCM-0aa3e8e2cb41cb3600c1c72e,WCRS-c3a7cb4c4c65aa340d10ede2,,,,,,,retroactivity_implementation,unclear,"Effective the first full pay period following July 1, 2023 members shall receive",mechanism_only,2023,2023,2023,2023,bounded_text_or_title_or_source_url,moderate,,false
WCM-05330ba291adf320a7ea4b19,WCRS-ed50936835b13c45c5019c09,,,,,,,other_pay_setting_mechanism,unclear,for all salary ranges in effect for unit classifications,claim_ready,undated-source-lobs_2c9ee96903e3a87d9a0149eb,,,,source_level_identifier_only,low,missing explicit period,false
WCM-3ae4cb244fd5eaf76d90d548,WCRS-85fce0858dd8850890c64736,,,,,,,retroactivity_implementation,unclear,"""effective upon ratification of this Agreement""",mechanism_only,undated-source-lobs_2d0d74557a4fa18b07187136,,,,source_level_identifier_only,low,missing explicit period,false
WCM-b53a1a25f8e5dea53fcc8738,WCRS-2c47b097c5dfcf1695fc85b1,,,,,,,retroactivity_implementation,unclear,retroactive unless specifically determined to be retroactive by the arbitrator.,mechanism_only,undated-source-lobs_2d2c0c6b5ba0afd03d0df102,,,,source_level_identifier_only,low,missing explicit period,false
