qualitative_observation_id,extraction_case_id,mixed_join_key,document_identity_id,text_table_detection_id,source_review_id,candidate_queue_row_id,state,municipality,government_name,unit_type,candidate_source_type,contract_period_start,contract_period_end,page_number,mechanism_type,bargaining_logic,indexing_formula,comparability_basis,parity_logic,step_progression_rule,eligibility_rule,implementation_rule,fiscal_constraint,reopener_clause,differentiation_logic,bounded_evidence_pointer,confidence,reason_code,qa_status
lobs_e90208b5bea36af0cf83c43c,cexrem_7980eafd9321c1fcfee8b73e,mix_e99ab647822d2ee78e64e52f,doc_7a22be9af444b4132ed1a682,ttd_7da20ee9f434479005bb62f5,sr_e93b7d54218fc869b7b200ae,NSCQ-CA-20260720-0516,CA,Campbell,CITY OF CAMPBELL,non_safety,cba,,,3,comparability_or_market_study,Market adjustment tied to labor market mean for total compensation analysis using City spring 2022 survey; applied prior to the scheduled 4% salary increase.,,labor market mean in Total Compensation as surveyed by the City in Spring 2022,bring Recreation Supervisor classification to the labor market mean in total compensation,,Recreation Supervisor classification,applied prior to the 4% salary increase,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0088_sr_e93b7d54218fc869b7b200ae.pdf#page=3,medium,QUAL_MARKET_ADJUSTMENT_TOTAL_COMP_MEAN,provisional_unverified
lobs_de76430fc989e047c82c389e,cexrem_7980eafd9321c1fcfee8b73e,mix_e99ab647822d2ee78e64e52f,doc_7a22be9af444b4132ed1a682,ttd_7da20ee9f434479005bb62f5,sr_e93b7d54218fc869b7b200ae,NSCQ-CA-20260720-0516,CA,Campbell,CITY OF CAMPBELL,non_safety,cba,,,3,wage_reopener_or_future_negotiation,Special adjustment based on year 3 completion of a Total Compensation analysis for all CMEA benchmark classifications; classifications below the labor market mean receive an adjustment intended to bring them up to the mean.,,labor market mean for Total Compensation array from the salary survey (for CMEA benchmark classifications),adjust benchmark classifications that fall below the labor market mean up to that mean,,any CMEA benchmark classification below the labor market mean for Total Compensation array as it exists in the salary survey,effective the first full pay period in July 2024,,Year 3 special adjustment,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0088_sr_e93b7d54218fc869b7b200ae.pdf#page=3,medium,QUAL_SPECIAL_ADJUSTMENT_YEAR_3_TOTAL_COM,provisional_unverified
lobs_35263ebbc49eda893cd9d828,cexrem_941b5e6ebd31e634032d914c,,doc_98b6e38de9fdcaa240ae4600,ttd_d67fa8aefcf5bb31037661b7,sr_151e6e7574140b5b24dcf094,NSCQ-CA-20260720-0051,CA,Chico,CITY OF CHICO,fire,cba,,,21,implementation_or_effective_date_logic,Emergency call-back response provision is time-limited and subject to evaluation/sunset.,,,,,,New concept language in place for eighteen (18) months; evaluated at that time and subject to a response-rate threshold.,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0035_sr_151e6e7574140b5b24dcf094.pdf#page=21,medium,SUNSET_TRIGGER_AND_EVALUATION_FOR_EMERGR,provisional_unverified
lobs_58916625c6e636c09835b9cb,cexrem_941b5e6ebd31e634032d914c,,doc_98b6e38de9fdcaa240ae4600,ttd_d67fa8aefcf5bb31037661b7,sr_151e6e7574140b5b24dcf094,NSCQ-CA-20260720-0051,CA,Chico,CITY OF CHICO,fire,cba,,,22,implementation_or_effective_date_logic,Out-of-class pay may be negotiated for additional time beyond an initial threshold.,,,,,Employee assigned to work out of class in a Fire management position longer than thirty (30) consecutive calendar days.,May request to negotiate with the City to receive a higher out of class pay rate for additional time worked.,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0035_sr_151e6e7574140b5b24dcf094.pdf#page=22,high,NEGOTIATE_HIGHER_OUT_OF_CLASS_AFTER_30_D,provisional_unverified
lobs_e708bf98f49c05e150f665e7,cexrem_9b0dfdf283a704a24f5bb4a9,mix_6481a6cfa94231e41bf5c88d,doc_b844fd597043514af40d75d0,ttd_7cee04a2fdb4f3a5ebc8e938,sr_330099fef71d4920a4c02a0f,NSCQ-CA-20260720-0050,CA,Chico,CITY OF CHICO,police,cba,,,21,arbitration_or_factfinding_reasoning,,,,,Conditioned upon performance for pay step progression through steps,,,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0090_sr_330099fef71d4920a4c02a0f.pdf#page=21,medium,PAY_STEP_PROGRESSION_CONDITIONED_ON_PERF,provisional_unverified
lobs_8b8c0e3ed19e9975c581e305,cexrem_9b0dfdf283a704a24f5bb4a9,mix_6481a6cfa94231e41bf5c88d,doc_b844fd597043514af40d75d0,ttd_7cee04a2fdb4f3a5ebc8e938,sr_330099fef71d4920a4c02a0f,NSCQ-CA-20260720-0050,CA,Chico,CITY OF CHICO,police,cba,,,21,step_movement_or_seniority,,,,,Progression from Pay Step 'A' to Pay Step 'B' requires a six (6) month period of service in Pay Step 'A',,,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0090_sr_330099fef71d4920a4c02a0f.pdf#page=21,high,PAY_STEP_A_TO_B_SIX_MONTH_SERVICE,provisional_unverified
lobs_86d8db81ac9a72c5ce2372e8,cexrem_9b0dfdf283a704a24f5bb4a9,mix_6481a6cfa94231e41bf5c88d,doc_b844fd597043514af40d75d0,ttd_7cee04a2fdb4f3a5ebc8e938,sr_330099fef71d4920a4c02a0f,NSCQ-CA-20260720-0050,CA,Chico,CITY OF CHICO,police,cba,,,21,step_movement_or_seniority,,,,,Progression through all other Pay Steps requires a twelve (12) month period of service in the prior Pay Step,,,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0090_sr_330099fef71d4920a4c02a0f.pdf#page=21,high,PAY_STEP_OTHERS_TWELVE_MONTH_SERVICE,provisional_unverified
lobs_7befee0765f547277f3e395e,cexrem_9b0dfdf283a704a24f5bb4a9,mix_6481a6cfa94231e41bf5c88d,doc_b844fd597043514af40d75d0,ttd_7cee04a2fdb4f3a5ebc8e938,sr_330099fef71d4920a4c02a0f,NSCQ-CA-20260720-0050,CA,Chico,CITY OF CHICO,police,cba,,,22,implementation_or_effective_date_logic,,,,,Advancement to the next applicable Pay Step effective on the first day of the bi-weekly pay period that includes the Employee's Anniversary Date (for employees meeting satisfactory completion requirements),,first day of the bi-weekly pay period that includes Anniversary Date,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0090_sr_330099fef71d4920a4c02a0f.pdf#page=22,high,PAY_STEP_EFFECTIVE_DATE_ANNIVERSARY_BIWE,provisional_unverified
lobs_90f66f4b5ee96dfe127fc4e1,cexrem_0f0f45204de26716d3073852,mix_e0d7d9a30cef961b9f507e6c,doc_ff3c23e1ea627b1adc77682c,ttd_24395bf391b78ff52def1001,sr_b8c6d05bef821099d3003db2,NSCQ-CA-20260720-0719,CA,Dana Point,CITY OF DANA POINT,non_safety,cba,,,8,step_movement_or_seniority,,,,,Lowest point of the higher class that assures a 5% pay increase commencing with the 121st hour of a cumulative assignment,"When in the judgment of authorize and, if appropriate, fix an additional rate of compensation for such assignment",,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0460_sr_b8c6d05bef821099d3003db2.pdf#page=8,medium,SECTION_11_SALARY_A_2_121ST_HOUR_CUMULAT,provisional_unverified
lobs_48c74814a43fbbc2e7413a5c,cexrem_0f0f45204de26716d3073852,mix_e0d7d9a30cef961b9f507e6c,doc_ff3c23e1ea627b1adc77682c,ttd_24395bf391b78ff52def1001,sr_b8c6d05bef821099d3003db2,NSCQ-CA-20260720-0719,CA,Dana Point,CITY OF DANA POINT,non_safety,cba,,,8,implementation_or_effective_date_logic,,,,,,"During the term of this Agreement, if a regular, part-time Recreation Leader is Recreation Leader shall receive an additional $1.00 per hour to their regular base pay rate for any hours worked outside of the Recreation Division, or outside ",Additional pay applies for the specified hours worked outside the stated division/unit of representation,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0460_sr_b8c6d05bef821099d3003db2.pdf#page=8,medium,SECTION_11_SALARY_A_3_OUTSIDE_RECREATION,provisional_unverified
lobs_631c4ae528d5a9b5b4cf4d8f,cexrem_6c9c5eb799e576d14a95ad10,mix_963253e20e51dccc4adb7583,doc_fc5727c3dbccb74d5eb427fc,ttd_e2fb1c8d102a9a5d0b2dc2a5,sr_99a4a6b87bd7d4d6932a7414,NSCQ-CA-20260720-0079,CA,Elk Grove,CITY OF ELK GROVE,police,cba,,,2,CPI_or_COLA_indexing,,GSI equals twelve-month increase in CPI-U (San Francisco Bay Area) measured Feb 2023 to Feb (next year) with floor/ceiling and market adjustment rules,Total Compensation Salary Survey (80th percentile) used to determine whether GSI or market adjustment applies,,,Salary ranges less than five percent above the 80th percentile receive GSI per CPI; salary ranges at/above certain deviations receive market salary adjustment,Effective July of each year within the MOU term after Total Compensation Salary Survey,,,"Based on position relative to the 80th percentile and deviation thresholds (e.g., ±5%)",tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0252_sr_99a4a6b87bd7d4d6932a7414.pdf#page=2,medium,CPI_INDEXING_VIA_TOT_COMP_SURVEY_80TH_FI,provisional_unverified
lobs_e948e91ae61b5375faa08770,cexrem_6c9c5eb799e576d14a95ad10,mix_963253e20e51dccc4adb7583,doc_fc5727c3dbccb74d5eb427fc,ttd_e2fb1c8d102a9a5d0b2dc2a5,sr_99a4a6b87bd7d4d6932a7414,NSCQ-CA-20260720-0079,CA,Elk Grove,CITY OF ELK GROVE,police,cba,,,3,CPI_or_COLA_indexing,,GSI equals twelve-month increase in CPI-U San Francisco-Oakland-San Jose measured from Feb 2025 to Feb 2026 with stated minimum/maximum; additional market adjustment depends on deviation beyond 5%,80th percentile in the 2025 Total Compensation Salary Survey,,,"Rules differ for ranges less than 5% above, at/above 5% below, and 5% or more above the 80th percentile",July 2026 after completion of 2025 Total Compensation Salary Survey,,,Deviation buckets relative to the 80th percentile (and 5% thresholds) drive GSI/market portions,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0252_sr_99a4a6b87bd7d4d6932a7414.pdf#page=3,medium,CPI_INDEXING_2026_RULES_BY_80TH_PERCENT,provisional_unverified
lobs_d168224ccffbb93344a22275,cexrem_6c9c5eb799e576d14a95ad10,mix_963253e20e51dccc4adb7583,doc_fc5727c3dbccb74d5eb427fc,ttd_e2fb1c8d102a9a5d0b2dc2a5,sr_99a4a6b87bd7d4d6932a7414,NSCQ-CA-20260720-0079,CA,Elk Grove,CITY OF ELK GROVE,police,cba,,,14,implementation_or_effective_date_logic,,,80th percentile in the 2023 Total Compensation Survey,,Salary ranges consist of seven steps; difference between each successive step approximately five percent (5%).,For 2023-24: apply General Salary Increase using CPI-U; apply market salary adjustment when range is 5% or more below 80th percentile; apply supplemental pay logic based on 80th percentile outcomes.,Effective the later of first full pay period following adoption of the MOU or first full pay period in July 2023,,,Based on comparison of each salary range to 80th percentile and deviation thresholds,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0252_sr_99a4a6b87bd7d4d6932a7414.pdf#page=14,medium,STEP_SCHEDULE_AND_EFFECTIVE_LOGIC_2023_2,provisional_unverified
lobs_01a51918a47baf85bc80a383,cexrem_332d46b733da3d57ce0f9709,mix_3547ae8e6308583a426f2fb1,doc_30b06a429b99bfb44506277e,ttd_3ff0b7b23e50f7b036571885,sr_6646676d38eeb9a4df10db99,NSCQ-CA-20260720-0386,CA,Gardena,CITY OF GARDENA,non_safety,cba,,,8,comparability_or_market_study,,,joint salary survey by mutually agreed upon comparability method,,,,,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0224_sr_6646676d38eeb9a4df10db99.pdf#page=8,low,JOINT_SALARY_SURVEY_SALARY_RANGES_SALARY,needs_review
lobs_daf4d6de42b2cf152434092b,cexrem_332d46b733da3d57ce0f9709,mix_3547ae8e6308583a426f2fb1,doc_30b06a429b99bfb44506277e,ttd_3ff0b7b23e50f7b036571885,sr_6646676d38eeb9a4df10db99,NSCQ-CA-20260720-0386,CA,Gardena,CITY OF GARDENA,non_safety,cba,,,8,CPI_or_COLA_indexing,,cost-of-living adjustment to base salary,,,,"effective provided as stated in Article 2, Section 1(B)",effective the first pay period in July 2021 / July 2022,CITY's ability to require GMEA members to pay an additional one percent (1.0%) of other premiums (for July 2022 sentence as shown),,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0224_sr_6646676d38eeb9a4df10db99.pdf#page=8,medium,COLA_IMPLEMENTATION_FIRST_PAY_PERIOD_JUL,provisional_unverified
lobs_3356b95de18206b909e72dfe,cexrem_53f7d7a6d38a13ee3606dc3f,mix_278c2304172d2fa7399229a4,doc_0d688c12b5d03b08cfdd8649,ttd_081061b4075b4fc5151a8b0c,sr_ccde8b30071dd714a82e0058,NSCQ-CA-20260720-0406,CA,Gilroy,CITY OF GILROY,police,cba,,,3,step_movement_or_seniority,,,,,"Step F added and set ~2.5% higher (effective January 1, 2024); then Step F set ~5.0% higher than Step E effective July 1, 2025; employees already at Step F as of June 30, 2025 move to new Step F effective July 1, 2025. Step G added (~2.5%/5",Normal requirements for Step Advancement (12 months of “meets standards” or better performance) referenced for Step Advancement.,"New steps and transitions described as effective January 1 and July 1 dates; movement/reversion rules based on current step status as of June 30, 2025.",,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0183_sr_ccde8b30071dd714a82e0058.pdf#page=3,medium,ARTICLE_STEP_F_G_ADD_AND_MOVE_RULES,provisional_unverified
lobs_33218ec9f0bbcea89c2d6f20,cexrem_53f7d7a6d38a13ee3606dc3f,mix_278c2304172d2fa7399229a4,doc_0d688c12b5d03b08cfdd8649,ttd_081061b4075b4fc5151a8b0c,sr_ccde8b30071dd714a82e0058,NSCQ-CA-20260720-0406,CA,Gilroy,CITY OF GILROY,police,cba,,,4,implementation_or_effective_date_logic,,,,,,,"If an effective date for a raise/equity adjustment falls on a date that is not the beginning of a pay period, the effective date is moved to the beginning of the first full pay period closest to the identified date.",,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0183_sr_ccde8b30071dd714a82e0058.pdf#page=4,high,EFFECTIVE_DATE_MOVED_TO_NEXT_FULL_PAYPER,provisional_unverified
lobs_def30e7b0204510114b2d23b,cexrem_a3dc4a6f2373532e9cd6f5c1,mix_4d7670671f929ac6ad2d885a,doc_d211ec7bac57c08da12b2a72,ttd_54888ebb65f7d388f938ee93,sr_bdc9a9282b63194877a5a254,NSCQ-CA-20260720-0070,CA,Huntington Beach,CITY OF HUNTINGTON BEACH,police,cba,,,6,implementation_or_effective_date_logic,,,,,,,Base salary increase applies to employees as stated; implementation tied to specified dates and the relevant pay period including the anniversary date.,,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0249_sr_bdc9a9282b63194877a5a254.pdf#page=6,medium,MOUA1_IMPLEMENTATION_EFFECTIVE_DATE_RULE,provisional_unverified
lobs_d22db99a2a33779a88482f87,cexrem_af52a83b90feb45a6204424f,mix_fe99a1abfd044b5d85441f5b,doc_d4e8f84a7ff11a0fc59fba54,ttd_aaf653d34ebeaf4622f40676,sr_8de8098f7bc623f4c9ee9182,NSCQ-CA-20260720-0542,CA,La Puente,CITY OF LA PUENTE,non_safety,cba,,,1,implementation_or_effective_date_logic,City and SEIU reached a tentative agreement and the proposed MOU is effective for the stated term.,,,,,,"proposed MOU effective from October 28, 2014 through midnight on June 30, 2015",,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0459_sr_8de8098f7bc623f4c9ee9182.pdf#page=1,high,MOU_EFFECTIVE_FROM_OCT_28_2014_THROUGH_M,provisional_unverified
lobs_29bb0fb351222567c446af2f,cexrem_af52a83b90feb45a6204424f,mix_fe99a1abfd044b5d85441f5b,doc_d4e8f84a7ff11a0fc59fba54,ttd_aaf653d34ebeaf4622f40676,sr_8de8098f7bc623f4c9ee9182,NSCQ-CA-20260720-0542,CA,La Puente,CITY OF LA PUENTE,non_safety,cba,,,3,implementation_or_effective_date_logic,Resolution approves the new SEIU Local 721 MOU term.,,,,,,"one-year term, commencing July 1, 2014, and ending June 30, 2015",,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0459_sr_8de8098f7bc623f4c9ee9182.pdf#page=3,high,RESOLUTION_MOU_TERM_JUL_1_2014_TO_JUN_30,provisional_unverified
lobs_385b65477fc10d7f7e75ea04,cexrem_dab56921778c4897f80f92b3,mix_19313ca2cccbb861eb44ad23,doc_f92c0a5df6e357a25558e348,ttd_bf8844d61ac7b178f65c4627,sr_e6f58ede919b66be21b31521,NSCQ-CA-20260720-0734,CA,Laguna Hills,CITY OF LAGUNA HILLS,non_safety,cba,,,4,CPI_or_COLA_indexing,,"increase equal to the percent increase in the U.S. Bureau of Labor Statistics CPI-U factor for the Los Angeles-Long Beach-Anaheim area (or to 4%; the increase shall not be below 2%, nor above 4%, regardless of CPI-U factor",,,,,"Effective the beginning of the pay period that includes July 1, 2027 (and similarly for July 1, 2028 described on the page)",,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0459_sr_e6f58ede919b66be21b31521.pdf#page=4,high,COLA_CPI_U_WITH_FLOOR_CEILING,provisional_unverified
