candidate_id,lane_id,priority_tier,quality_label,gap_priority_score,gap_priority_reason,source_url_or_locator,source_title,municipality,state,derived_region,unit_type,occupation_group,bargaining_unit_name,contract_or_document_period,inferred_cycle_start,inferred_cycle_end,source_family,target_mechanism_family,same_city_match_status,overlapping_cycle_status,verification_status,verification_reason,verified_municipality,verified_state,verified_region,verified_unit_type,verified_source_family,verified_contract_or_document_period,locator_accessibility_status,content_type_hint,download_status,extraction_status,rating_status,causal_status,verification_timestamp,notes
TS4L-dd46931a58eee2740ec4,lane_2,tier_c,verification_ready_medium,118,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.hamilton-township.org/media/meetings/2018_1204_agenda.pdf,"Trustee Meeting Agenda 12/04/2018 (mentions Teamsters contract beginning January 1, 2019)",Hamilton,NJ,Northeast,safety_and_non_safety_bargaining_units,Teamsters (public employees—non-safety unit context),Teamsters (local not fully specified in search snippet),"Three-year contract beginning January 1, 2019 (end year not captured in snippet)",2019-01-01,2021-12-31 (cycle en,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"Exact same municipality match (Hamilton Township, NJ)",Overlaps target window (2014–2024) via 2019–2021 contract cycle,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Hamilton,NJ,Northeast,safety_and_non_safety_bargaining_units,cba_or_arbitration_award_or_factfinding_or_impasse_record,"Three-year contract beginning January 1, 2019 (end year not captured in snippet)",head_http_200,application/pdf,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T12:57:03Z,HEAD only; attempts=1; elapsed_seconds=0.077; identity_score=13; final_locator_hash=6c0758864e88fc4cc720; no body or raw headers retained.
TS4L-e62cc82dec70a505f9fe,lane_2,tier_c,verification_ready_medium,118,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://perb.ny.gov/system/files/documents/2024/05/m2014-125.pdf,PERB Fact Finder Report: Impasse between Town of Mount Pleasant (Westchester County) and International Brotherhood of Teamsters Local 456 (Mt. Pleasant Highway Dept.) (m2014-125),Mount Pleasant,NY,Northeast,safety_and_non_safety_bargaining_units,Police (PBA) + Highway/DPW (Teamsters Local 456) + CSEA non-safety units (White Collar/Blue Collar) referenced in same impasse record,Mount Pleasant Police Welfare and Benevolent Association (PBA) and CSEA units are referenced; impasse is between Town and Teamsters Local 456 (Highway Dept.),"Successor negotiations for CBA expired on December 31, 2010 and continued in effect; Declaration of Impasse filed August 21, 2014; fact-finding appointed April 27, 2016",2011-01-01,2016-12-31,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_municipality_match,overlaps_expected_window_(2014-2024),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Mount Pleasant,NY,Northeast,safety_and_non_safety_bargaining_units,cba_or_arbitration_award_or_factfinding_or_impasse_record,"Successor negotiations for CBA expired on December 31, 2010 and continued in effect; Declaration of Impasse filed August 21, 2014; fact-finding appointed April 27, 2016",head_http_200,application/pdf,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T12:57:03Z,HEAD only; attempts=1; elapsed_seconds=0.341; identity_score=13; final_locator_hash=10f3fa92400ded9a7a86; no body or raw headers retained.
TS4L-e945961ded3b1eece461,lane_2,tier_c,verification_ready_medium,118,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.mass.gov/doc/jlmc-meeting-minutes-6-22-17/download,"JLMC Meeting Minutes (6/22/2017) (includes: IBPO Local 501 and Town of Lexington, JLM-17-5796)",Lexington,MA,Northeast,safety_and_non_safety_bargaining_units,Police (public safety; IBPO),IBPO Local 501,JLMC procedural docket references case: JLM-17-5796 (minutes dated 2017-06-22),2016,2017,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_municipality,overlaps_2014_to_2024,unavailable,head_http_403,,,,,,,head_http_403,text/html,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T12:57:03Z,HEAD only; attempts=1; elapsed_seconds=0.082; identity_score=0; final_locator_hash=d9f4d4967c2640c13e5f; no body or raw headers retained.
TS4L-229c40192f7b422188d1,lane_2,tier_c,verification_ready_medium,116,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://ciceronewyork.net/wp-content/uploads/2022/03/CSEA-Agreement-Highway.pdf,"CSEA Agreement — Highway (PDF) — Town of Cicero, NY",Cicero,NY,Northeast,safety_and_non_safety_bargaining_units,Highway / CSEA-represented non-public-safety employees (collective bargaining agreement PDF),CSEA — Highway bargaining unit,01.01.2022–12.31.2025 (as listed on the Town’s agreements page),2022-01-01,2025-12-31,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"Same municipality (Town of Cicero, NY)",Overlaps target window (contains 2022-2024 years),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Cicero,NY,Northeast,safety_and_non_safety_bargaining_units,cba_or_arbitration_award_or_factfinding_or_impasse_record,01.01.2022–12.31.2025 (as listed on the Town’s agreements page),head_http_200,application/pdf,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T12:57:03Z,HEAD only; attempts=1; elapsed_seconds=0.082; identity_score=13; final_locator_hash=56d9d672df848eb7a17d; no body or raw headers retained.
TS4L-03af93f6e72f25245f4f,lane_2,tier_c,verification_ready_medium,115,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.nj.gov/perc/documents/NJ%20PERC%20Synopses%202014.03.27.pdf,NJ PERC Synopses (27 March 2014) — Township of South Brunswick / South Brunswick Supervisors Association (P.E.R.C. NO. 2014-67),South Brunswick,NJ,Northeast,safety_and_non_safety_bargaining_units,supervisors (public sector),South Brunswick Supervisors Association,2014-2024 target window,,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,yes_same_municipality,likely_overlapping_2014_2024,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,South Brunswick,NJ,Northeast,safety_and_non_safety_bargaining_units,cba_or_arbitration_award_or_factfinding_or_impasse_record,2014-2024 target window,head_http_200,application/pdf,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T12:57:03Z,HEAD only; attempts=1; elapsed_seconds=0.09; identity_score=13; final_locator_hash=75e4ee1c6a9e268da952; no body or raw headers retained.
TS4L-08a2ba0e867ca7220a48,lane_2,tier_c,verification_ready_medium,115,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://perb.ny.gov/system/files/documents/2024/03/ia2017-009-award-9-9-20.pdf,PERB Opinion and Award PDF (IA2017-009; City of Newburgh and its PBA),Newburgh,NY,Northeast,safety_and_non_safety_bargaining_units,public safety (police),PBA (Newburgh),2019-2023 (award PDF dated 9/9/20; case number IA2017-009),,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_city_match,within_expected_window,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Newburgh,NY,Northeast,safety_and_non_safety_bargaining_units,cba_or_arbitration_award_or_factfinding_or_impasse_record,2019-2023 (award PDF dated 9/9/20; case number IA2017-009),head_http_200,application/pdf,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T12:57:03Z,HEAD only; attempts=1; elapsed_seconds=0.232; identity_score=13; final_locator_hash=b7252efa24a9f272a09c; no body or raw headers retained.
TS4L-32a6915c23e1d49c1619,lane_2,tier_c,verification_ready_medium,115,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://westwarwickri.gov/vertical/sites/%7B7B7C7E47-F7C1-4511-8CF3-EA8EBAF7D539%7D/uploads/2021-2024-Council-94-CBA.pdf,"2021-2024 Council 94 CBA (West Warwick, RI)",West Warwick,RI,Northeast,safety_and_non_safety_bargaining_units,Non-safety municipal employees (as typically represented by Council 94; label-based),Council 94 (Local 2045) Municipal employees (as reflected in West Warwick CBA labeling),2021-2024,2021-01-01,2024-12-31,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"Same municipality match (West Warwick, RI) implied by source host and filename",Overlaps target window (2014-2024),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,West Warwick,RI,Northeast,safety_and_non_safety_bargaining_units,cba_or_arbitration_award_or_factfinding_or_impasse_record,2021-2024,head_http_200,application/pdf,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T12:57:03Z,HEAD only; attempts=1; elapsed_seconds=0.232; identity_score=13; final_locator_hash=cabbaf5df00013fdc1f7; no body or raw headers retained.
TS4L-3edb9bec0890606861c7,lane_2,tier_c,verification_ready_medium,115,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.townofglenville.gov/sites/g/files/vyhlif3161/f/minutes/town_board_meeting_minutes_2-16-22.pdf,"Town Board Meeting Minutes 2/16/2022 — Resolution approving GPBA MOA (Jan 1, 2022–Dec 31, 2024)",Glenville,NY,Northeast,safety_and_non_safety_bargaining_units,Police (GPBA / police benevolent association),Glenville Police Benevolent Association (GPBA / PBA),"Jan 1, 2022 through Dec 31, 2024",2022-01-01,2024-12-31,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_city,overlaps_2014_2024,unavailable,head_http_404,,,,,,,head_http_404,text/html,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T12:57:03Z,HEAD only; attempts=1; elapsed_seconds=0.204; identity_score=0; final_locator_hash=b6bf4c6679c2ef69e3a2; no body or raw headers retained.
TS4L-50abf7cf4763d1fb7c62,lane_2,tier_c,verification_ready_medium,115,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://westwarwickri.gov/vertical/sites/%7B7B7C7E47-F7C1-4511-8CF3-EA8EBAF7D539%7D/uploads/2021-2024-Police-IBPO-CBA.pdf,"2021-2024 Police IBPO CBA (West Warwick, RI)",West Warwick,RI,Northeast,safety_and_non_safety_bargaining_units,Police (public safety),IBPO Police (as reflected in West Warwick CBA labeling),2021-2024,2021-01-01,2024-12-31,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"Same municipality match (West Warwick, RI) implied by source host and filename",Overlaps target window (2014-2024),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,West Warwick,RI,Northeast,safety_and_non_safety_bargaining_units,cba_or_arbitration_award_or_factfinding_or_impasse_record,2021-2024,head_http_200,application/pdf,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T12:57:03Z,HEAD only; attempts=1; elapsed_seconds=0.19; identity_score=13; final_locator_hash=756cf19edb3fb3b5978a; no body or raw headers retained.
TS4L-522da8adaa9096e6c603,lane_2,tier_c,verification_ready_medium,115,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.nj.gov/perc/documents/2017.08.10%20GC%20Report.pdf,"PERC General Counsel Report (Aug. 10, 2017) referencing County of Atlantic and Township of Bridgewater / PBA Local 174 (dynamic status quo; expired-to-successor CNA hiatus)",Bridgewater,NJ,Northeast,safety_and_non_safety_bargaining_units,police (PBA Local 174),PBA Local 174,2017-08-10 GC report (references litigation involving expired vs successor collective negotiations agreement hiatus),,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same city (Township of Bridgewater referenced),overlaps 2014-2024 window via referenced proceedings and outcomes (reported in 2017),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Bridgewater,NJ,Northeast,safety_and_non_safety_bargaining_units,cba_or_arbitration_award_or_factfinding_or_impasse_record,2017-08-10 GC report (references litigation involving expired vs successor collective negotiations agreement hiatus),head_http_200,application/pdf,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T12:57:03Z,HEAD only; attempts=1; elapsed_seconds=0.119; identity_score=13; final_locator_hash=e3e984f185de2da94981; no body or raw headers retained.
TS4L-692f455d86aebcca6e95,lane_2,tier_c,verification_ready_medium,115,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://municipalfinance.ri.gov/documents/contracts/Johnston_Fire.pdf,Johnston_Fire.pdf (Rhode Island Division of Municipal Finance: Contracts),Johnston,RI,Northeast,safety_and_non_safety_bargaining_units,safety (fire),Johnston Fire bargaining unit (union/cba identified in document),Listed contract end 06/30/2022 (CBA period in document),2019-07-01,2022-06-30,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_city,overlaps_2014_2024,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,Johnston,RI,Northeast,safety_and_non_safety_bargaining_units,cba_or_arbitration_award_or_factfinding_or_impasse_record,Listed contract end 06/30/2022 (CBA period in document),head_http_200,application/pdf,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T12:57:03Z,HEAD only; attempts=1; elapsed_seconds=0.152; identity_score=13; final_locator_hash=541565ebd71f6ff8572f; no body or raw headers retained.
TS4L-7f01b9e30858da921459,lane_2,tier_c,verification_ready_medium,115,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://westwarwickri.gov/vertical/sites/%7B7B7C7E47-F7C1-4511-8CF3-EA8EBAF7D539%7D/uploads/2021-2024-Fire-IAFF-CBA.pdf,"2021-2024 Fire IAFF CBA (West Warwick, RI)",West Warwick,RI,Northeast,safety_and_non_safety_bargaining_units,Fire (public safety),IAFF (Local 1104) Firefighters (as reflected in West Warwick CBA labeling),2021-2024,2021-01-01,2024-12-31,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"Same municipality match (West Warwick, RI) implied by source host and filename",Overlaps target window (2014-2024),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,West Warwick,RI,Northeast,safety_and_non_safety_bargaining_units,cba_or_arbitration_award_or_factfinding_or_impasse_record,2021-2024,head_http_200,application/pdf,not_downloaded,not_extracted,not_rated,not_causal_evidence,2026-07-27T12:57:03Z,HEAD only; attempts=1; elapsed_seconds=0.19; identity_score=13; final_locator_hash=f5f603976f3f7c8958bb; no body or raw headers retained.
