state,municipality,derived_region,unit_type,contract_or_document_period,queue_count,verified_source_lead_count,mechanism_families,coverage_status
AR,West Memphis,South,non_safety_municipal_units,2016 (report archive item),1,1,fiscal_constraint_signal,verified_locator_metadata_only
AR,West Memphis,South,non_safety_municipal_units,FY2024 (budget archive item),1,1,fiscal_constraint_signal,verified_locator_metadata_only
AZ,Bullhead City,West,safety_and_non_safety_bargaining_units,"July 1, 2024–June 30, 2027",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
AZ,Coolidge,West,non_safety_municipal_units,Fiscal Year 2017,1,1,fiscal_constraint_signal,verified_locator_metadata_only
AZ,El Mirage,West,safety_and_non_safety_bargaining_units,Expires on/around June 30 (exact year/term not confirmed from locator snippet),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
AZ,El Mirage,West,safety_and_non_safety_bargaining_units,Referenced arbitration decision: December 2021 (MOU referenced; contract dates not confirmed in the locator result),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
AZ,Eloy,West,non_safety_municipal_units,FY 2021–2022 (tentative budget),1,0,fiscal_constraint_signal,no_verified_tier_c_lead
AZ,Eloy,West,non_safety_municipal_units,FY 2022–2023 (final budget),1,0,fiscal_constraint_signal,no_verified_tier_c_lead
AZ,Prescott Valley,West,safety_and_non_safety_bargaining_units,2014-2024 target window,1,0,strike_or_no_strike_constraint,no_verified_tier_c_lead
AZ,Prescott Valley,West,safety_and_non_safety_bargaining_units,Fiscal Year 2022-23 (explicitly referenced in the snippet),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
CA,Elk Grove,West,non_safety_comparator,"Salary schedule file includes effective and revised dates (e.g., effective 7/13/2025; revised 12/14/2025 shown in search snippet)",1,1,non_safety_constraint_signal,verified_locator_metadata_only
CA,Elk Grove,West,non_safety_comparator,Unrepresented Compensation Policy effective for unrepresented employees (as authorized in staff report/resolution packet); city-wide salary schedule adopted in FY2026-27 context,1,1,non_safety_constraint_signal,verified_locator_metadata_only
CA,Elk Grove,West,non_safety_comparator,"Unrepresented Employees Compensation Policy effective from July 1, 2023 through June 30, 2027 (per linked agenda item context)",1,0,non_safety_constraint_signal,no_verified_tier_c_lead
CA,Garden Grove,West,non_safety_comparator,"2018 (effective March 14, 2018 per document header)",1,1,non_safety_constraint_signal,verified_locator_metadata_only
CA,Garden Grove,West,non_safety_comparator,2022 (effective 07/09/2022 per document context),1,1,non_safety_constraint_signal,verified_locator_metadata_only
CA,Los Banos,West,non_safety_comparator,"July 1, 2024 – June 30, 2027",1,0,non_safety_constraint_signal,no_verified_tier_c_lead
CA,Santa Cruz,West,non_safety_comparator,Expected to include 2024–(term not confirmed from lead search result snippet),1,1,non_safety_constraint_signal,verified_locator_metadata_only
CO,Denver,West,non_safety_comparator,"In full force and effect until December 31, 2022 (effective/term language appears in document snippet)",1,1,non_safety_constraint_signal,verified_locator_metadata_only
CO,Fruita,West,safety_and_non_safety_compensation_units,"2024 Budget overview (meeting dated Sept 26, 2023)",1,1,market_or_comparability_pressure,verified_locator_metadata_only
CO,Fruita,West,safety_and_non_safety_compensation_units,Market-Based Pay Plan created in 2019; first implemented in 2020 (agenda item supporting documentation),1,0,market_or_comparability_pressure,no_verified_tier_c_lead
CO,Littleton,West,non_safety_comparator,2023-2026 (per document title),1,0,non_safety_constraint_signal,no_verified_tier_c_lead
CO,Wheat Ridge,West,safety_and_non_safety_bargaining_units,2023-2024-2025,1,0,strike_or_no_strike_constraint,no_verified_tier_c_lead
CT,Cheshire,Northeast,safety_and_non_safety_bargaining_units,Expedited arbitration award dated 2024-03-08; issue refers to period commencing 1/1/2024 (per award cover text),1,0,strike_or_no_strike_constraint,no_verified_tier_c_lead
CT,East Hartford,Northeast,safety_and_non_safety_bargaining_units,"July 1, 2019 through June 30, 2022",1,0,strike_or_no_strike_constraint,no_verified_tier_c_lead
CT,Ellington,Northeast,safety_and_non_safety_compensation_units,"July 1, 2022 - June 30, 2025",1,1,market_or_comparability_pressure,verified_locator_metadata_only
CT,Ellington,Northeast,safety_and_non_safety_compensation_units,"July 1, 2023 - June 30, 2026",1,0,market_or_comparability_pressure,no_verified_tier_c_lead
CT,Enfield,Northeast,safety_and_non_safety_bargaining_units,2022-2025 (contract period as indicated by title),1,0,strike_or_no_strike_constraint,no_verified_tier_c_lead
CT,Farmington,Northeast,non_safety_municipal_units,FY2014/2015,1,0,fiscal_constraint_signal,no_verified_tier_c_lead
CT,Glastonbury,Northeast,safety_and_non_safety_bargaining_units,"Arbitration awards compilation issue (2014 Issue No. 1); includes an entry for Glastonbury City of & Glastonbury Police Officers Association (date shown in source index: Aug. 10, 2012; docket shown in source index: 2012–A–0032)",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
CT,Groton,Northeast,safety_and_non_safety_bargaining_units,"July 1, 2016–June 30, 2020 (CBA referenced within the decision)",1,0,strike_or_no_strike_constraint,no_verified_tier_c_lead
CT,Groton,Northeast,safety_and_non_safety_bargaining_units,"Unspecified on landing page; contains links to various CBA periods (some outside 2014–2024, but likely includes relevant time-window documents via related documents listing/archived items)",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
CT,Guilford,Northeast,non_safety_municipal_units,2016–2020 (per file name; agreement period not fully revalidated here),1,1,fiscal_constraint_signal,verified_locator_metadata_only
CT,Guilford,Northeast,non_safety_municipal_units,"Effective July 1, 2018 through June 30, 2021 (per document excerpt)",1,1,fiscal_constraint_signal,verified_locator_metadata_only
CT,Hamden,Northeast,safety_and_non_safety_bargaining_units,2014-07-01 to 2022-06-30,1,0,strike_or_no_strike_constraint,no_verified_tier_c_lead
CT,Hamden,Northeast,safety_and_non_safety_bargaining_units,2022-07-01 to 2025-06-30,1,0,strike_or_no_strike_constraint,no_verified_tier_c_lead
CT,New Milford,Northeast,safety_and_non_safety_bargaining_units,"July 1, 2023 – June 30, 2027",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
CT,Newington,Northeast,safety_and_non_safety_bargaining_units,(Newington labor contracts page indicates AFSCME Contract 2021-2024),1,0,strike_or_no_strike_constraint,no_verified_tier_c_lead
CT,Newington,Northeast,safety_and_non_safety_bargaining_units,"July 1, 2021 – June 30, 2026",1,0,strike_or_no_strike_constraint,no_verified_tier_c_lead
CT,Newington,Northeast,safety_and_non_safety_bargaining_units,multiple (includes contracts covering parts of 2014-2024),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
CT,Newtown,Northeast,safety_and_non_safety_bargaining_units,FY 2024–2027 (PDF noted on page); specific contract(s) also referenced by title,1,0,strike_or_no_strike_constraint,no_verified_tier_c_lead
CT,Newtown,Northeast,safety_and_non_safety_bargaining_units,"Includes entries covering at least 2024–2028 (e.g., “Final Police Department Contract 2024-28”)",1,0,strike_or_no_strike_constraint,no_verified_tier_c_lead
CT,Newtown,Northeast,safety_and_non_safety_bargaining_units,Paraeducators contract: 7-1-22 to 6-30-25 (explicitly shown on the page snippet),1,0,strike_or_no_strike_constraint,no_verified_tier_c_lead
CT,North Haven,Northeast,non_safety_municipal_units,"Four-year agreement (retroactive and effective pay increases described; article dated Feb 13, 2014)",1,1,fiscal_constraint_signal,verified_locator_metadata_only
CT,Plainville,Northeast,safety_and_non_safety_compensation_units,"July 1, 2023 — June 30, 2026",1,1,market_or_comparability_pressure,verified_locator_metadata_only
CT,Plainville,Northeast,safety_and_non_safety_compensation_units,RFP issued for study (associated timeframe not explicitly fixed in the page snippet),1,1,market_or_comparability_pressure,verified_locator_metadata_only
CT,Ridgefield,Northeast,non_safety_municipal_units,2014-2024 target window,1,1,fiscal_constraint_signal,verified_locator_metadata_only
CT,Seymour,Northeast,safety_and_non_safety_compensation_units,"Includes wage increases effective retroactively/starting July 1, 2023 and July 1, 2024 (full term not extracted)",1,0,market_or_comparability_pressure,no_verified_tier_c_lead
CT,Seymour,Northeast,safety_and_non_safety_compensation_units,"Language indicates agreement entered into effective July 1, 2017 (full term not extracted)",1,1,market_or_comparability_pressure,verified_locator_metadata_only
CT,Southington,Northeast,safety_and_non_safety_bargaining_units,2023–2027,1,0,strike_or_no_strike_constraint,no_verified_tier_c_lead
CT,Southington,Northeast,safety_and_non_safety_bargaining_units,7/1/2021–6/30/2025,1,0,strike_or_no_strike_constraint,no_verified_tier_c_lead
CT,Stonington,Northeast,non_safety_municipal_units,2022-2025,1,0,fiscal_constraint_signal,no_verified_tier_c_lead
CT,Stonington,Northeast,non_safety_municipal_units,"referenced expirations June 30, 2019 (and other listed dates)",1,0,fiscal_constraint_signal,no_verified_tier_c_lead
CT,Stratford,Northeast,safety_and_non_safety_bargaining_units,"2022-2026 contract (effective July 1, 2022 to June 30, 2026) (as referenced in award)",1,0,strike_or_no_strike_constraint,no_verified_tier_c_lead
CT,Stratford,Northeast,safety_and_non_safety_bargaining_units,"Multiple contract periods listed on page (e.g., Fire: 7/1/2022–6/30/2026; Police: 7/1/2021–6/30/2025) (as shown on page)",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
CT,Tolland,Northeast,safety_and_non_safety_compensation_units,2014-2024 target window,1,0,market_or_comparability_pressure,no_verified_tier_c_lead
CT,Trumbull,Northeast,safety_and_non_safety_bargaining_units,2019-2023,1,0,strike_or_no_strike_constraint,no_verified_tier_c_lead
CT,Trumbull,Northeast,safety_and_non_safety_bargaining_units,2022-2026,1,0,strike_or_no_strike_constraint,no_verified_tier_c_lead
CT,Trumbull,Northeast,safety_and_non_safety_bargaining_units,2023-2027,1,0,strike_or_no_strike_constraint,no_verified_tier_c_lead
CT,Vernon,Northeast,safety_and_non_safety_bargaining_units,2014-2024 (article references a Connecticut statutory arbitration dispute; exact award/contract dates not captured in the search snippet),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
CT,Vernon,Northeast,safety_and_non_safety_bargaining_units,2014-2024 (listed agreements may include this window),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
CT,Westport,Northeast,safety_and_non_safety_bargaining_units,"Successor CBA negotiation culminating in arbitration award (award dated March 20, 2012; court decision in 2014)",1,0,strike_or_no_strike_constraint,no_verified_tier_c_lead
CT,Windham,Northeast,non_safety_municipal_units,2024 to 2027,1,0,fiscal_constraint_signal,no_verified_tier_c_lead
CT,Windham,Northeast,non_safety_municipal_units,contract expiration listed as 6/30/2024 (municipal employees),1,1,fiscal_constraint_signal,verified_locator_metadata_only
CT,Windham,Northeast,non_safety_municipal_units,tentative/approved proposed CBA(s) adopted on 2024-05-21 (exact successor terms not visible in search snippet),1,1,fiscal_constraint_signal,verified_locator_metadata_only
DE,Seaford,South,non_safety_comparator,"July 1, 1997 – June 30, 2000 (CBA provisions incorporated into successor/remand decision)",1,0,non_safety_constraint_signal,no_verified_tier_c_lead
DE,Seaford,South,non_safety_comparator,"July 1, 1997 – June 30, 2000 (agreement term explicitly referenced)",1,0,non_safety_constraint_signal,no_verified_tier_c_lead
DE,Seaford,South,non_safety_comparator,"July 1, 1997 – June 30, 2000 (prior CBA term referenced)",1,0,non_safety_constraint_signal,no_verified_tier_c_lead
DE,Wilmington,South,non_safety_comparator,2023 (document indicates '2023 BASE SALARY STRUCTURE - STEPS'; effective dates not confirmed in the snippet),1,0,non_safety_constraint_signal,no_verified_tier_c_lead
FL,Cape Coral,South,non_safety_comparator,"October 1, 2024 through September 30, 2026",3,0,non_safety_constraint_signal,no_verified_tier_c_lead
FL,Coconut Creek,South,non_safety_comparator,"December 8, 2022 - September 30, 2025",1,0,non_safety_constraint_signal,no_verified_tier_c_lead
FL,Coconut Creek,South,non_safety_comparator,"October 1, 2022 through September 30, 2025",2,0,non_safety_constraint_signal,no_verified_tier_c_lead
FL,Doral,South,non_safety_comparator,"CBA term covering Oct 1, 2022 to Sep 30, 2025 (exact dates to be confirmed inside PDF)",1,0,non_safety_constraint_signal,no_verified_tier_c_lead
FL,Eustis,South,non_safety_comparator,10/1/2024 – 9/30/2027 (as stated in snippet),1,1,non_safety_constraint_signal,verified_locator_metadata_only
FL,Eustis,South,non_safety_comparator,"Effective October 1, 2024 to September 30, 2027 (as stated in snippet)",1,0,non_safety_constraint_signal,no_verified_tier_c_lead
FL,Eustis,South,non_safety_comparator,"Effective through September 30, 2027 (term described as three-year period; snippet also references 10/1/2024 wage increase)",1,1,non_safety_constraint_signal,verified_locator_metadata_only
FL,Fort Pierce,South,non_safety_comparator,"October 1, 2024 to September 30, 2027",1,0,non_safety_constraint_signal,no_verified_tier_c_lead
FL,Haines City,South,non_safety_comparator,"through September 30, 2024 (other operative duration terms not verified in scout stage)",1,0,non_safety_constraint_signal,no_verified_tier_c_lead
FL,Hialeah,South,non_safety_comparator,"October 1, 2023 - September 30, 2026",2,1,non_safety_constraint_signal,verified_locator_metadata_only
FL,Jupiter,South,non_safety_comparator,Unclear (prompt indicates FY 2026-2028 pay provisions and effective dates tied to Oct 1),1,0,non_safety_constraint_signal,no_verified_tier_c_lead
FL,Leesburg,South,non_safety_comparator,2023-2026 (with 2024-2025 reopeners),1,0,non_safety_constraint_signal,no_verified_tier_c_lead
FL,Melbourne,South,non_safety_comparator,2015–2018,1,0,non_safety_constraint_signal,no_verified_tier_c_lead
FL,Melbourne,South,non_safety_comparator,2018–2021,1,0,non_safety_constraint_signal,no_verified_tier_c_lead
FL,Melbourne,South,non_safety_comparator,2021–2024,1,0,non_safety_constraint_signal,no_verified_tier_c_lead
FL,Miami Gardens,South,non_safety_comparator,"Effective October 1, 2022 through September 30, 2025",1,1,non_safety_constraint_signal,verified_locator_metadata_only
FL,Miramar,South,non_safety_comparator,2021-2024 (expected cycle aligns with 10/01/2021–09/30/2024),1,0,non_safety_constraint_signal,no_verified_tier_c_lead
FL,New Port Richey,South,non_safety_comparator,Fiscal Years 2024-2025; 2025-2026; 2026-2027,1,1,non_safety_constraint_signal,verified_locator_metadata_only
FL,Niceville,South,non_safety_comparator,"July 1, 2023 through June 30, 2026",1,1,non_safety_constraint_signal,verified_locator_metadata_only
FL,Niceville,South,non_safety_comparator,Master Contract 2024-2027 (page indicates the 24-27 contract is available),1,1,non_safety_constraint_signal,verified_locator_metadata_only
FL,North Miami,South,non_safety_comparator,"October 1, 2021 through September 30, 2024",1,0,non_safety_constraint_signal,no_verified_tier_c_lead
FL,Ocala,South,non_safety_comparator,"October 1, 2025 through September 30, 2028",2,0,non_safety_constraint_signal,no_verified_tier_c_lead
FL,Opa-locka,South,non_safety_comparator,"Operative period between April 1, 2020 and the start of the first full pay period in December 2020",1,0,non_safety_constraint_signal,no_verified_tier_c_lead
FL,Opa-locka,South,non_safety_comparator,"Operative period between April 1, 2020 and the start of the first full pay period in December 2020 (as referenced in the notice)",1,0,non_safety_constraint_signal,no_verified_tier_c_lead
FL,Palm Bay,South,non_safety_comparator,10/01/2021 - 9/30/2024,1,1,non_safety_constraint_signal,verified_locator_metadata_only
FL,Palm Bay,South,non_safety_comparator,10/1/21 - 09/30/24,1,1,non_safety_constraint_signal,verified_locator_metadata_only
FL,Palm Beach Gardens,South,non_safety_comparator,2023-2025,1,1,non_safety_constraint_signal,verified_locator_metadata_only
FL,Palmetto,South,non_safety_comparator,"2012 to September 30, 2013",1,0,non_safety_constraint_signal,no_verified_tier_c_lead
FL,Pembroke Pines,South,non_safety_comparator,Implied by context to match the 2019–2022 CBA cycle (General Employees),1,0,non_safety_constraint_signal,no_verified_tier_c_lead
FL,Pembroke Pines,South,non_safety_comparator,"October 1, 2019 through September 30, 2022",1,0,non_safety_constraint_signal,no_verified_tier_c_lead
FL,Pompano Beach,South,non_safety_comparator,"October 1, 2022 through September 30, 2025 (referenced within the ordinance)",1,0,non_safety_constraint_signal,no_verified_tier_c_lead
FL,Port Orange,South,non_safety_comparator,2019-2022 (term per filename/title; exact dates not extracted),1,0,non_safety_constraint_signal,no_verified_tier_c_lead
FL,Sanford,South,non_safety_comparator,"Effective starting January 1, 2022 forward; used as part of overall CBA until further notice / until amended into future CBAs (per visible lead text)",1,1,non_safety_constraint_signal,verified_locator_metadata_only
FL,Sanford,South,non_safety_comparator,Includes language indicating MOU relates to amending the CBA and is effective as part of the overall CBA integration (visible lead is oriented to CBA-related amendment context),1,0,non_safety_constraint_signal,no_verified_tier_c_lead
FL,St. Augustine,South,non_safety_comparator,"October 1, 2024 through September 30, 2025 (referenced negotiation cycle)",1,0,non_safety_constraint_signal,no_verified_tier_c_lead
FL,Tarpon Springs,South,non_safety_comparator,FY 2024-2026,1,0,non_safety_constraint_signal,no_verified_tier_c_lead
FL,West Park,South,safety_and_non_safety_compensation_units,Not determined (document published ~6.7 years ago; contains comparative classification/compensation tables referencing West Park),1,1,market_or_comparability_pressure,verified_locator_metadata_only
FL,Winter Garden,South,non_safety_comparator,"October 1, 2024 to September 30, 2027",3,1,non_safety_constraint_signal,verified_locator_metadata_only
FL,Winter Haven,South,non_safety_comparator,10-01-2022 to 09-30-2025 (as shown in filename; operative details not scout-verified),1,0,non_safety_constraint_signal,no_verified_tier_c_lead
FL,Winter Haven,South,non_safety_comparator,"CBA expires September 30, 2024 (operative duration start/end terms not fully scout-verified)",1,0,non_safety_constraint_signal,no_verified_tier_c_lead
GA,Americus,South,safety_and_non_safety_compensation_units,Likely prior-year study referenced in 2019 article (exact period not specified in snippet),1,1,market_or_comparability_pressure,verified_locator_metadata_only
GA,Atlanta,South,non_safety_comparator,unclear,1,1,non_safety_constraint_signal,verified_locator_metadata_only
GA,Buford,South,non_safety_municipal_units,Fiscal Year 2014,1,1,fiscal_constraint_signal,verified_locator_metadata_only
GA,Calhoun,South,non_safety_municipal_units,FY2016 budget document (2016 budget),1,1,fiscal_constraint_signal,verified_locator_metadata_only
GA,Cartersville,South,non_safety_municipal_units,FY2014 (City budget report; includes personnel/pay and budgeted expenditure context),1,1,fiscal_constraint_signal,verified_locator_metadata_only
GA,Cartersville,South,non_safety_municipal_units,FY2022-2023 (City budget PDF),1,1,fiscal_constraint_signal,verified_locator_metadata_only
GA,College Park,South,safety_and_non_safety_compensation_units,2014-2024 target window,1,0,market_or_comparability_pressure,no_verified_tier_c_lead
GA,Conyers,South,non_safety_municipal_units,Annual Budget • Fiscal Year 2020-2021 (plus related FY schedule shown in snippet),1,0,fiscal_constraint_signal,no_verified_tier_c_lead
GA,Conyers,South,non_safety_municipal_units,Fiscal Year (document shows “PAY & CLASSIFICATION PLAN” / “Employee Pay Scale”; FY appears within the document),1,0,fiscal_constraint_signal,no_verified_tier_c_lead
GA,Conyers,South,non_safety_municipal_units,"Fiscal Year 2016-2017 (annual budget, FY cycle)",1,0,fiscal_constraint_signal,no_verified_tier_c_lead
GA,Covington,South,safety_and_non_safety_compensation_units,2015 (personnel policy compilation),1,1,market_or_comparability_pressure,verified_locator_metadata_only
GA,Decatur,South,non_safety_municipal_units,2018-2019,1,1,fiscal_constraint_signal,verified_locator_metadata_only
GA,Forest Park,South,non_safety_municipal_units,2014-2024 target window,2,1,fiscal_constraint_signal,verified_locator_metadata_only
GA,Holly Springs,South,non_safety_municipal_units,FY2016 budget,1,1,fiscal_constraint_signal,verified_locator_metadata_only
GA,Kingsland,South,non_safety_municipal_units,Fiscal Year 2013-14 budget adoption (City budget report labeled FY2014),1,1,fiscal_constraint_signal,verified_locator_metadata_only
GA,Kingsland,South,non_safety_municipal_units,Fiscal Year 2015-16 budget cycle (document labeled FY2016),1,1,fiscal_constraint_signal,verified_locator_metadata_only
GA,Kingsland,South,non_safety_municipal_units,Fiscal Year 2023-24 budget cycle (document labeled FY2024),1,1,fiscal_constraint_signal,verified_locator_metadata_only
GA,Marietta,South,safety_and_non_safety_bargaining_units,2014-2024 target window,1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
GA,Marietta,South,safety_and_non_safety_bargaining_units,2018 (article date),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
GA,St. Marys,South,non_safety_municipal_units,FY2018 budget document,1,1,fiscal_constraint_signal,verified_locator_metadata_only
GA,Sugar Hill,South,non_safety_municipal_units,Fiscal Year 2014 budget,1,1,fiscal_constraint_signal,verified_locator_metadata_only
GA,Sugar Hill,South,non_safety_municipal_units,Fiscal Year 2019 budget,1,1,fiscal_constraint_signal,verified_locator_metadata_only
GA,Villa Rica,South,non_safety_municipal_units,2024-08-20 (meeting packet date in filename),1,1,fiscal_constraint_signal,verified_locator_metadata_only
ID,Boise City,West,non_safety_comparator,"October 1, 2022 through September 30, 2024",1,0,non_safety_constraint_signal,no_verified_tier_c_lead
ID,Boise City,West,non_safety_comparator,"October 1, 2022 through September 30, 2026",1,1,non_safety_constraint_signal,verified_locator_metadata_only
IL,Addison,Midwest,non_safety_comparator,2015-2018,1,0,non_safety_constraint_signal,no_verified_tier_c_lead
IL,Algonquin,Midwest,safety_and_non_safety_bargaining_units,"May 1, 2018 – April 30, 2022",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Algonquin,Midwest,safety_and_non_safety_bargaining_units,"May 1, 2021 – April 30, 2025",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Antioch,Midwest,safety_and_non_safety_bargaining_units,2020–2024,2,0,strike_or_no_strike_constraint,no_verified_tier_c_lead
IL,Antioch,Midwest,safety_and_non_safety_bargaining_units,2024 (renewal/extension action referenced),1,0,strike_or_no_strike_constraint,no_verified_tier_c_lead
IL,Bremen,Midwest,safety_and_non_safety_bargaining_units,2015 meeting minutes referencing Bremen District 228 matter (exact bargaining cycle not visible from snippet),1,0,strike_or_no_strike_constraint,no_verified_tier_c_lead
IL,Bremen,Midwest,safety_and_non_safety_bargaining_units,"unfair labor practice charge with events in 2024 (filed Aug 22, 2024; meeting March 7, 2024)",1,0,strike_or_no_strike_constraint,no_verified_tier_c_lead
IL,Buffalo Grove,Midwest,non_safety_comparator,"Inferred cycle: May 1, 2024 through April 30, 2026 (from document label “2024-2026”; exact dates not extracted)",1,0,non_safety_constraint_signal,no_verified_tier_c_lead
IL,Buffalo Grove,Midwest,non_safety_comparator,"May 1, 2023 through April 30, 2025 (as labeled in result snippet)",1,0,non_safety_constraint_signal,no_verified_tier_c_lead
IL,Capital,Midwest,safety_and_non_safety_bargaining_units,"Issued Feb 24, 2020 (interest arbitration award within 2014-2024 window)",1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Cicero,Midwest,non_safety_comparator,"July 1, 2019 - June 30, 2024",1,1,non_safety_constraint_signal,verified_locator_metadata_only
IL,Decatur,Midwest,safety_and_non_safety_bargaining_units,2017-2022,1,0,strike_or_no_strike_constraint,no_verified_tier_c_lead
IL,Downers Grove,Midwest,safety_and_non_safety_bargaining_units,2024-2027,1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Downers Grove,Midwest,safety_and_non_safety_bargaining_units,May 2023 - April 2026,1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Edwardsville,Midwest,safety_and_non_safety_bargaining_units,2024-2027 (listed on page),1,1,strike_or_no_strike_constraint,verified_locator_metadata_only
IL,Frankfort,Midwest,safety_and_non_safety_bargaining_units,"effective May 1, 2022 through April 30, 2026",1,0,strike_or_no_strike_constraint,no_verified_tier_c_lead
