candidate_id,lane_id,priority_tier,quality_label,gap_priority_score,gap_priority_reason,source_url_or_locator,source_title,municipality,state,derived_region,unit_type,occupation_group,bargaining_unit_name,contract_or_document_period,inferred_cycle_start,inferred_cycle_end,source_family,target_mechanism_family,same_city_match_status,overlapping_cycle_status,candidate_only_lineage_status,review_candidate_quality_score,review_queue_rank,secondary_mechanism_families,match_priority_tier,review_disposition
TS4L-dd46931a58eee2740ec4,lane_2,tier_c,verification_ready_medium,118,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.hamilton-township.org/media/meetings/2018_1204_agenda.pdf,"Trustee Meeting Agenda 12/04/2018 (mentions Teamsters contract beginning January 1, 2019)",Hamilton,NJ,Northeast,safety_and_non_safety_bargaining_units,Teamsters (public employees—non-safety unit context),Teamsters (local not fully specified in search snippet),"Three-year contract beginning January 1, 2019 (end year not captured in snippet)",2019-01-01,2021-12-31 (cycle en,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"Exact same municipality match (Hamilton Township, NJ)",Overlaps target window (2014–2024) via 2019–2021 contract cycle,candidate_only_not_verified,86,908,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-e62cc82dec70a505f9fe,lane_2,tier_c,verification_ready_medium,118,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://perb.ny.gov/system/files/documents/2024/05/m2014-125.pdf,PERB Fact Finder Report: Impasse between Town of Mount Pleasant (Westchester County) and International Brotherhood of Teamsters Local 456 (Mt. Pleasant Highway Dept.) (m2014-125),Mount Pleasant,NY,Northeast,safety_and_non_safety_bargaining_units,Police (PBA) + Highway/DPW (Teamsters Local 456) + CSEA non-safety units (White Collar/Blue Collar) referenced in same impasse record,Mount Pleasant Police Welfare and Benevolent Association (PBA) and CSEA units are referenced; impasse is between Town and Teamsters Local 456 (Highway Dept.),"Successor negotiations for CBA expired on December 31, 2010 and continued in effect; Declaration of Impasse filed August 21, 2014; fact-finding appointed April 27, 2016",2011-01-01,2016-12-31,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_municipality_match,overlaps_expected_window_(2014-2024),candidate_only_not_verified,86,910,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-e945961ded3b1eece461,lane_2,tier_c,verification_ready_medium,118,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.mass.gov/doc/jlmc-meeting-minutes-6-22-17/download,"JLMC Meeting Minutes (6/22/2017) (includes: IBPO Local 501 and Town of Lexington, JLM-17-5796)",Lexington,MA,Northeast,safety_and_non_safety_bargaining_units,Police (public safety; IBPO),IBPO Local 501,JLMC procedural docket references case: JLM-17-5796 (minutes dated 2017-06-22),2016,2017,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_municipality,overlaps_2014_to_2024,candidate_only_not_verified,86,911,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-229c40192f7b422188d1,lane_2,tier_c,verification_ready_medium,116,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://ciceronewyork.net/wp-content/uploads/2022/03/CSEA-Agreement-Highway.pdf,"CSEA Agreement — Highway (PDF) — Town of Cicero, NY",Cicero,NY,Northeast,safety_and_non_safety_bargaining_units,Highway / CSEA-represented non-public-safety employees (collective bargaining agreement PDF),CSEA — Highway bargaining unit,01.01.2022–12.31.2025 (as listed on the Town’s agreements page),2022-01-01,2025-12-31,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"Same municipality (Town of Cicero, NY)",Overlaps target window (contains 2022-2024 years),candidate_only_not_verified,84,947,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-03af93f6e72f25245f4f,lane_2,tier_c,verification_ready_medium,115,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.nj.gov/perc/documents/NJ%20PERC%20Synopses%202014.03.27.pdf,NJ PERC Synopses (27 March 2014) — Township of South Brunswick / South Brunswick Supervisors Association (P.E.R.C. NO. 2014-67),South Brunswick,NJ,Northeast,safety_and_non_safety_bargaining_units,supervisors (public sector),South Brunswick Supervisors Association,2014-2024 target window,,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,yes_same_municipality,likely_overlapping_2014_2024,candidate_only_not_verified,83,1015,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-08a2ba0e867ca7220a48,lane_2,tier_c,verification_ready_medium,115,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://perb.ny.gov/system/files/documents/2024/03/ia2017-009-award-9-9-20.pdf,PERB Opinion and Award PDF (IA2017-009; City of Newburgh and its PBA),Newburgh,NY,Northeast,safety_and_non_safety_bargaining_units,public safety (police),PBA (Newburgh),2019-2023 (award PDF dated 9/9/20; case number IA2017-009),,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_city_match,within_expected_window,candidate_only_not_verified,83,1020,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-32a6915c23e1d49c1619,lane_2,tier_c,verification_ready_medium,115,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://westwarwickri.gov/vertical/sites/%7B7B7C7E47-F7C1-4511-8CF3-EA8EBAF7D539%7D/uploads/2021-2024-Council-94-CBA.pdf,"2021-2024 Council 94 CBA (West Warwick, RI)",West Warwick,RI,Northeast,safety_and_non_safety_bargaining_units,Non-safety municipal employees (as typically represented by Council 94; label-based),Council 94 (Local 2045) Municipal employees (as reflected in West Warwick CBA labeling),2021-2024,2021-01-01,2024-12-31,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"Same municipality match (West Warwick, RI) implied by source host and filename",Overlaps target window (2014-2024),candidate_only_not_verified,83,1030,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-3edb9bec0890606861c7,lane_2,tier_c,verification_ready_medium,115,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.townofglenville.gov/sites/g/files/vyhlif3161/f/minutes/town_board_meeting_minutes_2-16-22.pdf,"Town Board Meeting Minutes 2/16/2022 — Resolution approving GPBA MOA (Jan 1, 2022–Dec 31, 2024)",Glenville,NY,Northeast,safety_and_non_safety_bargaining_units,Police (GPBA / police benevolent association),Glenville Police Benevolent Association (GPBA / PBA),"Jan 1, 2022 through Dec 31, 2024",2022-01-01,2024-12-31,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_city,overlaps_2014_2024,candidate_only_not_verified,83,1037,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-50abf7cf4763d1fb7c62,lane_2,tier_c,verification_ready_medium,115,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://westwarwickri.gov/vertical/sites/%7B7B7C7E47-F7C1-4511-8CF3-EA8EBAF7D539%7D/uploads/2021-2024-Police-IBPO-CBA.pdf,"2021-2024 Police IBPO CBA (West Warwick, RI)",West Warwick,RI,Northeast,safety_and_non_safety_bargaining_units,Police (public safety),IBPO Police (as reflected in West Warwick CBA labeling),2021-2024,2021-01-01,2024-12-31,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"Same municipality match (West Warwick, RI) implied by source host and filename",Overlaps target window (2014-2024),candidate_only_not_verified,83,1040,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-522da8adaa9096e6c603,lane_2,tier_c,verification_ready_medium,115,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.nj.gov/perc/documents/2017.08.10%20GC%20Report.pdf,"PERC General Counsel Report (Aug. 10, 2017) referencing County of Atlantic and Township of Bridgewater / PBA Local 174 (dynamic status quo; expired-to-successor CNA hiatus)",Bridgewater,NJ,Northeast,safety_and_non_safety_bargaining_units,police (PBA Local 174),PBA Local 174,2017-08-10 GC report (references litigation involving expired vs successor collective negotiations agreement hiatus),,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same city (Township of Bridgewater referenced),overlaps 2014-2024 window via referenced proceedings and outcomes (reported in 2017),candidate_only_not_verified,83,1043,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-692f455d86aebcca6e95,lane_2,tier_c,verification_ready_medium,115,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://municipalfinance.ri.gov/documents/contracts/Johnston_Fire.pdf,Johnston_Fire.pdf (Rhode Island Division of Municipal Finance: Contracts),Johnston,RI,Northeast,safety_and_non_safety_bargaining_units,safety (fire),Johnston Fire bargaining unit (union/cba identified in document),Listed contract end 06/30/2022 (CBA period in document),2019-07-01,2022-06-30,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_city,overlaps_2014_2024,candidate_only_not_verified,83,1050,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-7f01b9e30858da921459,lane_2,tier_c,verification_ready_medium,115,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://westwarwickri.gov/vertical/sites/%7B7B7C7E47-F7C1-4511-8CF3-EA8EBAF7D539%7D/uploads/2021-2024-Fire-IAFF-CBA.pdf,"2021-2024 Fire IAFF CBA (West Warwick, RI)",West Warwick,RI,Northeast,safety_and_non_safety_bargaining_units,Fire (public safety),IAFF (Local 1104) Firefighters (as reflected in West Warwick CBA labeling),2021-2024,2021-01-01,2024-12-31,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"Same municipality match (West Warwick, RI) implied by source host and filename",Overlaps target window (2014-2024),candidate_only_not_verified,83,1054,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-a31ec9b9ab04ea813203,lane_2,tier_c,verification_ready_medium,115,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.mass.gov/doc/jlmc-meeting-minutes-4-13-2023/download,"JLMC Meeting Minutes (4/13/2023) (includes: Lexington Firefighters Local 1491, IAFF and Town of Lexington, JLM-22-9686)",Lexington,MA,Northeast,safety_and_non_safety_bargaining_units,Fire (public safety),"Lexington Firefighters Local 1491, IAFF",JLMC procedural docket references case dated in the minutes: JLM-22-9686 (voted to hold a Section 1(3)(a) hearing),2022,2023,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_municipality,overlaps_2014_to_2024,candidate_only_not_verified,83,1060,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-e9be4e9e78cc8c986a6c,lane_2,tier_c,verification_ready_medium,115,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.mass.gov/doc/jlmc-meeting-minutes-8-17-2023/download,"JLMC Meeting Minutes 8/17/2023 (includes Milton Firefighters, Local 1116, JLM-22-9709, 3(a) hearing jurisdiction due to unresolved issues)",Milton,MA,Northeast,safety_and_non_safety_bargaining_units,Firefighters,"Milton Firefighters, IAFF Local 1116 (JLM-22-9709)",JLMC proceeding context around 2022-2024 interest arbitration/impasse process,2022-01-01,2024-12-31,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_municipality_match,overlaps_2014_2024_window,candidate_only_not_verified,83,1080,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-3e8946e43d8ce6d74cd0,lane_2,tier_c,verification_ready_medium,114,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://perb.ny.gov/system/files/documents/2024/03/ia88-038-award-3-19-90.pdf,PERB Award of Arbitration (PERB IA88-038): Town of New Windsor and Police Benevolent New Windsor Association (received 3/19/1990),New Windsor,NY,Northeast,safety_and_non_safety_bargaining_units,Police (safety),Police Benevolent New Windsor Association / New Windsor PBA,2014-2024 target window,,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_municipality_match_found,outside_target_window_2014-2024,candidate_only_not_verified,82,1103,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-4e3940d1a1ed7f4ce9a9,lane_2,tier_c,verification_ready_medium,114,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://perb.ny.gov/system/files/documents/2024/03/ia86-007-award-5-22-87.pdf,PERB Award of Arbitration (PERB IA-86-7): Town of New Windsor and New Windsor Police Association (received 5/22/1987),New Windsor,NY,Northeast,safety_and_non_safety_bargaining_units,Police (safety),New Windsor Police Association,2014-2024 target window,,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_municipality_match_found,outside_target_window_2014-2024,candidate_only_not_verified,82,1110,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-dcb25fe59e09d3a9618b,lane_2,tier_c,verification_ready_medium,114,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|quantitative_linkage_signal|cycle_metadata_value,https://www.paauditor.gov/wp-content/uploads/audits-archive/Media/Default/Reports/MunWhitehallTwpPPP030420.pdf,"Whitehall Township Police Pension Plan - Lehigh County (Audit Period January 1, 2015 to December 31, 2018) - PA Auditor General (includes statement about Act 111 arbitration scheduled for April 29, 2020)",Whitehall,PA,Northeast,safety_and_non_safety_bargaining_units,Police (uniformed public safety),Whitehall Police Bargaining Committee / Whitehall Police Bargaining Unit (as referenced in document),"Audit period stated as January 1, 2015 to December 31, 2018; arbitration scheduling reference April 29, 2020",2020-01-01,2020-12-31,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"high_confidence_match (Whitehall Township, PA)","partial_overlap_with_2014_2024 (April 29, 2020 reference)",candidate_only_not_verified,82,1191,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-075f86ddabc2104191ed,lane_2,tier_c,verification_ready_medium,113,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://www.willingboronj.gov/home/showpublisheddocument/5160/638640026252800000,COLLECTIVE BARGAINING AGREEMENT (IAFF Local 3091 Superior Fire Officers and Township of Willingboro),Willingboro,NJ,Northeast,safety_and_non_safety_bargaining_units,Fire department officers — IAFF Local 3091,Burlington County Professional Firefighter's Association / IAFF Local 3091 (Superior Fire Officers),"January 1, 2021 - December 31, 2025",2021-01-01,2024-12-31,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_city_match,overlaps_target_window_(2021-2024),candidate_only_not_verified,81,1206,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
TS4L-1470b498a23666a5d9f7,lane_2,tier_c,verification_ready_medium,113,memo_gap_strike_or_no_strike_constraint|south_or_northeast_gap|non_cba_or_special_source_signal|same_city_counterpart_value|cycle_metadata_value,https://websterny.gov/DocumentCenter/View/9026/White-Collar-CSEA-Webster-CBA-1123-123126?bidId=,"CSEA (White Collar) Town of Webster AGREEMENT — (Document indicates strike prohibition section) — effective May 19, 2023; runs through Dec 31, 2026",Webster,NY,Northeast,safety_and_non_safety_bargaining_units,White-collar municipal office/admin employees (CSEA unit per Town materials),CSEA White Collar Unit (Town of Webster) — collective bargaining agreement,"Effective May 19, 2023; agreement period through December 31, 2026 (per document title/contents context)",2023-05-19,2026-12-31,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"Same city (Webster, NY) — high expected alignment",Overlaps target window at least in 2023–2024 (target: 2014-2024),candidate_only_not_verified,81,1213,bargaining_power_signal|safety_advantage_signal|non_safety_constraint_signal,tier_3_mechanism_gap_discovery,verification_queue
