municipality,attempted_rows,retained_sources,excluded_or_deferred,retained_bytes,global_analysis_readiness
North Palm Beach,3,3,0,16101200,false
North Plains,1,1,0,1948483,false
North Providence,4,4,0,12573287,false
North Reading,2,2,0,567506,false
North Salt Lake,2,0,2,0,false
North Sioux City,1,1,0,98223,false
North Syracuse,3,1,2,136847,false
North Vernon,4,4,0,799168,false
North Whitehall,3,3,0,634762,false
North Yarmouth,1,1,0,2062885,false
Northampton,1,1,0,65154,false
Northborough,1,1,0,1001300,false
Northbridge,3,3,0,31713,false
Northfield,9,9,0,12402149,false
Northglenn,3,3,0,2343685,false
Northville,2,2,0,63449,false
Northwood,3,3,0,5328188,false
Norwell,1,1,0,143923,false
Norwich,5,5,0,13526586,false
Nottingham,1,1,0,12051,false
Novato,1,1,0,520850,false
Nutter Fort,1,0,1,0,false
Nyack,2,2,0,3498893,false
Nyssa,1,1,0,80444,false
Oak Grove,2,2,0,333460,false
Oak Hill,1,1,0,3598803,false
Oakland,4,2,2,6904967,false
Oakland Park,1,0,1,0,false
Oakley,2,2,0,209716,false
Oakmont,2,2,0,209605,false
Oakridge,2,2,0,3901313,false
Oakwood,4,4,0,1675379,false
Ocala,1,0,1,0,false
Ocean City,2,2,0,31797455,false
Ocean Shores,2,2,0,2654428,false
Ocean View,3,3,0,1531098,false
Oceana,1,1,0,18049,false
Oceanport,2,2,0,3846376,false
Oconomowoc,5,5,0,1675847,false
Oconto,4,3,1,698909,false
Oconto Falls,3,3,0,20673306,false
Odessa,1,1,0,650566,false
Oelwein,2,2,0,419395,false
Ogallala,1,1,0,620789,false
Ogdensburg,1,1,0,303817,false
Okemah,1,1,0,52723,false
Okmulgee,3,3,0,230894,false
Old Orchard Beach,3,3,0,2286209,false
Oliver Springs,1,1,0,16724,false
Olivette,1,0,1,0,false
Olmsted,2,2,0,3369718,false
Omaha,1,0,1,0,false
Omak,2,2,0,1450000,false
Omro,1,1,0,88033,false
Onawa,1,1,0,41608,false
Oneida,6,6,0,11926793,false
Oneonta,4,3,1,2135831,false
Onida,1,1,0,160853,false
Onondaga,2,2,0,3500330,false
Oradell,3,3,0,402994,false
Orange,7,7,0,25439091,false
Orange Cove,2,2,0,10740301,false
Orange Park,1,1,0,455590,false
Orangeburg,5,5,0,41361614,false
Orinda,3,3,0,5562192,false
Orion charter,3,3,0,494241,false
Orland,3,3,0,3855885,false
Orland Park,2,1,1,17201,false
Oro Valley,1,1,0,219899,false
Orofino,2,2,0,2152045,false
Orono,5,5,0,14134205,false
Oroville,3,3,0,182342,false
Orrington,1,1,0,267764,false
Osage,2,2,0,80874,false
Osage Beach,3,3,0,78901308,false
Osage City,4,3,1,2503027,false
Osceola,4,4,0,31275916,false
Ossipee,1,1,0,6399,false
Othello,2,2,0,379668,false
Ottawa,3,3,0,244852,false
Overland,3,3,0,14728152,false
Oxford,6,6,0,60094749,false
Oxnard,4,4,0,1774231,false
Oyster Bay,1,1,0,43981266,false
Ozark,2,2,0,1776291,false
Pacific,5,5,0,31563952,false
Paden City,1,0,1,0,false
Paducah,4,3,1,2471848,false
Page,3,3,0,2510816,false
Pahokee,2,1,1,1005490,false
Painesville,1,1,0,1231995,false
Palestine,4,4,0,24456537,false
Palisade,1,0,1,0,false
Palm Beach,1,1,0,112214,false
Palmerton,2,2,0,169044,false
Palmview,1,1,0,217738,false
Palmyra,2,2,0,3628582,false
Palos,1,1,0,131324,false
Palos Hills,2,1,1,1305236,false
Pampa,1,1,0,5142653,false
Panguitch,2,2,0,249490,false
Paradise Valley,2,1,1,200913,false
Paris,9,9,0,4700960,false
Park City,2,2,0,23418553,false
Park Rapids,1,1,0,6890828,false
Park Ridge,2,2,0,2353772,false
Park River,2,2,0,546776,false
Parker,4,3,1,2631513,false
Parkston,4,4,0,124125,false
Parowan,2,2,0,678076,false
Parsons,3,3,0,396569,false
Pass Christian,2,2,0,7935560,false
Patagonia,2,2,0,575003,false
Patterson,2,2,0,226893,false
Pauls Valley,2,0,2,0,false
Paulsboro,4,4,0,1943367,false
Payette,1,1,0,8011024,false
Payson,1,1,0,8954289,false
Pea Ridge,1,1,0,310241,false
Pearl River,2,2,0,195272,false
Peculiar,1,1,0,6095112,false
Pelham,3,3,0,737181,false
Pell City,3,3,0,443357,false
Pembina,2,1,1,209855,false
Pender,1,1,0,686755,false
Perry,13,11,2,17726150,false
Perrysburg,1,1,0,448410,false
Perryville,4,3,1,18262970,false
Peru,5,5,0,2244932,false
Peshtigo,2,2,0,298091,false
Petal,1,0,1,0,false
Petersburg,2,2,0,203284,false
Petoskey,2,2,0,13461223,false
Philip,2,2,0,202097,false
Philipsburg,5,5,0,2394804,false
Philomath,1,0,1,0,false
Phoenix,5,5,0,6218590,false
Pickens,3,3,0,2853835,false
Piedmont,2,0,2,0,false
Pierce,4,4,0,3389435,false
Pigeon Forge,3,3,0,322178,false
Pike,3,3,0,3726308,false
Piketon,2,1,1,208694,false
Pikeville,1,1,0,4039836,false
Pilot Station,1,1,0,397227,false
Pima,2,2,0,684225,false
Pine City,2,2,0,1882056,false
Pine Haven,2,1,1,52972,false
Pine Island,1,1,0,7942918,false
Pinehurst,2,0,2,0,false
Pinetop-Lakeside,1,1,0,10497864,false
Pineville,2,2,0,274368,false
Pinole,4,4,0,3939934,false
Pipestone,1,1,0,583875,false
Pittsburg,1,1,0,2544,false
Pittsfield,1,1,0,74807,false
Pittsford,3,3,0,378047,false
Pittston,2,2,0,497177,false
Pittsville,1,1,0,293853,false
Placerville,3,3,0,2191289,false
Plain City,2,2,0,207754,false
Plainfield,4,3,1,1010132,false
Plainview,7,7,0,1901511,false
Plainville,2,2,0,14437159,false
Plankinton,2,2,0,427092,false
Plano,2,1,1,310009,false
Plaquemine,2,1,1,248481,false
Platte City,2,2,0,11862422,false
Plattsmouth,3,3,0,3295190,false
Pleasant Grove,2,2,0,53853,false
Pleasant Hill,1,1,0,3004379,false
Pleasant View,2,2,0,417000,false
Pleasantville,1,0,1,0,false
Plumstead,3,3,0,30164452,false
Plymouth,13,10,3,3314170,false
Plymouth charter,3,3,0,40255335,false
Pocola,2,2,0,53230,false
Pocomoke City,1,1,0,337675,false
Point Hope,1,1,0,5337071,false
Poland,3,3,0,8347796,false
Polk,2,2,0,41656653,false
Polk City,2,2,0,18393585,false
Pompano Beach,1,0,1,0,false
Pompton Lakes,1,1,0,1119770,false
Ponca City,2,2,0,204835,false
Ponchatoula,3,3,0,680887,false
Ponderay,2,2,0,436646,false
Pontiac,2,2,0,9828327,false
Pooler,2,1,1,66473,false
Poolesville,3,1,2,611816,false
Poplar Bluff,3,3,0,1568703,false
Poquoson,2,1,1,91687,false
Port Barre,5,5,0,8045441,false
Port Deposit,2,2,0,2918729,false
Port Jefferson,2,1,1,125420,false
Port Jervis,4,4,0,4655215,false
Port Neches,2,2,0,1823579,false
Port Orford,2,2,0,14318176,false
Port St. Joe,2,2,0,264108,false
Port Wentworth,2,2,0,468128,false
Portage,1,1,0,101514,false
Portland,7,7,0,3924985,false
Post Falls,2,2,0,117833,false
Potsdam,2,2,0,219820,false
Poultney,4,4,0,921646,false
Powder Springs,4,3,1,474649,false
Pownal,1,1,0,556317,false
Prairie,2,2,0,39678358,false
Prairie Grove,2,0,2,0,false
Prairie du Chien,3,3,0,267179,false
Pratt,1,1,0,143535,false
Prescott,2,2,0,19829344,false
Preston,3,3,0,850490,false
Price,2,0,2,0,false
Prichard,1,1,0,14454,false
Princeton,7,6,1,3388562,false
Prospect,2,2,0,18435439,false
Prospect Heights,2,2,0,2847897,false
Prosser,1,0,1,0,false
Providence,1,0,1,0,false
Proviso,1,1,0,1416702,false
Pulaski,3,3,0,261281,false
Punxsutawney,1,1,0,36798,false
Purcell,2,2,0,443037,false
Purcellville,2,2,0,11762360,false
Quakertown,1,1,0,1088850,false
Quartzsite,1,1,0,536614,false
Queenstown,2,2,0,4173476,false
Quincy,1,1,0,100750,false
Quinhagak,1,1,0,881868,false
Quitman,1,1,0,138237,false
Racine,1,1,0,532270,false
Radcliff,2,2,0,5257690,false
Radford,1,1,0,102685,false
Rainier,2,2,0,34217138,false
Rainsville,4,4,0,234022,false
Ramapo,2,0,2,0,false
Ramsey,1,1,0,472361,false
Ranchester,2,2,0,141708,false
Rancho Mirage,1,1,0,845602,false
Randolph,2,2,0,8555604,false
Raritan,1,1,0,764170,false
Rathdrum,1,0,1,0,false
Raton,2,2,0,229177,false
Raymond,2,2,0,5971112,false
Raynham,2,2,0,1493849,false
Red Lion,2,2,0,341929,false
Red Oak,2,2,0,10052659,false
Redding,4,3,1,3028196,false
Redfield,2,2,0,293849,false
Redwood Falls,2,2,0,8020601,false
Rehoboth,1,1,0,10833,false
Rehoboth Beach,2,2,0,277806,false
Reile's Acres,4,4,0,830200,false
Rensselaer,4,4,0,1513453,false
Rice Lake,1,1,0,510238,false
Rich,3,3,0,5225199,false
Richardton,4,4,0,182221,false
Richland,3,3,0,8408586,false
Richland Center,2,2,0,172113,false
Richmond,5,5,0,12648859,false
Richwood,5,4,1,2259193,false
Ridgefield,5,4,1,69895927,false
Ridgeland,2,2,0,134670,false
Ridley,1,1,0,142818,false
Ridley Park,2,2,0,192272,false
Rifle,1,1,0,1640966,false
Rigby,1,1,0,145519,false
Rincon,1,0,1,0,false
Rindge,2,2,0,11806528,false
Rio Grande City,2,2,0,10297990,false
Rio Vista,1,0,1,0,false
Ripon,1,0,1,0,false
Ritzville,1,1,0,5330088,false
River Edge,2,2,0,942591,false
River Heights,1,1,0,29473,false
Riverdale,2,0,2,0,false
Riverside,1,1,0,711571,false
Riverview,1,1,0,2431520,false
Roanoke,1,1,0,7958117,false
Roanoke Rapids,3,3,0,987843,false
Robbinsdale,4,4,0,9301926,false
Roberts,1,1,0,473076,false
Robertsdale,2,2,0,5191800,false
Robins,1,1,0,1820637,false
Robinson,1,1,0,1317985,false
Rochelle,3,2,1,2126869,false
Rochester,1,1,0,214040,false
Rock Hall,1,1,0,95196,false
Rock Island,2,1,1,225794,false
Rock Rapids,1,1,0,162296,false
Rock River,2,2,0,159989,false
Rock Valley,1,1,0,71898,false
Rockaway,2,2,0,448608,false
Rockaway Beach,1,1,0,71212,false
Rockford,2,2,0,3033760,false
Rockingham,1,1,0,338171,false
Rocklin,2,2,0,688247,false
Rockport,2,2,0,4874980,false
Rockton,3,3,0,636389,false
Rockwood,1,1,0,2101368,false
Rogers,1,1,0,936119,false
Rogersville,1,1,0,661907,false
Rogue River,2,2,0,1197685,false
Rohnert Park,3,3,0,8235430,false
Rolesville,3,3,0,9377283,false
Rolla,2,2,0,318285,false
Rolling Fork,2,2,0,160028,false
Roosevelt,1,0,1,0,false
Roscoe,2,2,0,683631,false
Rose Hill,2,2,0,481907,false
Roselle,1,0,1,0,false
Rosenberg,1,1,0,154997,false
Roseville,1,1,0,11671492,false
Rothschild,2,2,0,407711,false
Round Lake,1,1,0,2182166,false
Royal City,1,1,0,585593,false
Royalton,2,2,0,914040,false
Royse City,1,1,0,107956,false
Ruidoso Downs,1,1,0,429959,false
Rumford,4,4,0,4787958,false
Runnemede,2,2,0,4555644,false
Rupert,1,1,0,23152,false
Russellville,2,1,1,224874,false
Rutland,2,2,0,678173,false
Rye,1,1,0,103364,false
Rye Brook,2,2,0,1028869,false
Sabattus,3,1,2,1964777,false
Saddle Brook,2,2,0,236653,false
Saginaw,3,2,1,9799748,false
Salamanca,3,3,0,1564437,false
Salem,2,2,0,247607,false
Saline,1,1,0,2263593,false
Salisbury,4,4,0,2242275,false
San Leandro,1,1,0,2023322,false
San Marino,3,3,0,1513283,false
San Ramon,2,2,0,646834,false
San Ysidro,1,1,0,160212,false
Sand Point,3,3,0,7772442,false
Sandpoint,2,2,0,590624,false
Sanford,1,0,1,0,false
Sanibel,1,0,1,0,false
Santa Ana,2,1,1,2103,false
Santa Clara,1,0,1,0,false
Santa Maria,2,2,0,68722,false
Santa Monica,1,1,0,354476,false
Santa Rosa,1,1,0,1160754,false
Santee,1,1,0,18301757,false
Saraland,1,0,1,0,false
Saranac Lake,2,2,0,6429138,false
Satsuma,3,3,0,1402881,false
Sauk Centre,3,3,0,8547349,false
Sauk City,3,3,0,335113,false
Sauk Rapids,3,3,0,10630034,false
Sausalito,2,0,2,0,false
Savannah,2,2,0,5310191,false
Sayre,2,2,0,1181504,false
Scarborough,3,3,0,2639781,false
Schaumburg,2,1,1,686,false
Schererville,2,2,0,609007,false
Scio,1,1,0,7362742,false
Scioto,4,4,0,9929914,false
Scituate,3,3,0,2264981,false
Scotia,2,2,0,4430479,false
Scott,2,1,1,201422,false
Scottsboro,1,1,0,340258,false
Scottsburg,1,1,0,10283671,false
Seabrook,2,2,0,1657060,false
Seal Beach,1,1,0,27184283,false
Searcy,5,5,0,2015381,false
Seat Pleasant,2,2,0,879704,false
Sebastopol,5,5,0,19708575,false
Selinsgrove,2,2,0,389711,false
Sellersburg,1,1,0,2012947,false
Selma,4,4,0,6520337,false
Selmer,3,3,0,1769425,false
Seneca,4,4,0,340693,false
Sergeant Bluff,1,1,0,1538675,false
Sevierville,1,1,0,80972,false
Seville,1,1,0,215425,false
Seward,1,1,0,833629,false
Seymour,10,8,2,4581215,false
Shady Cove,1,1,0,233744,false
Shaftsbury,1,1,0,337076,false
Shakopee,1,1,0,1472411,false
Shamokin,1,0,1,0,false
Shannon Hills,2,2,0,82848,false
Sharon,1,1,0,7248051,false
Sharon Hill,1,1,0,54374,false
Sharpsburg,1,1,0,1703213,false
Sharptown,1,1,0,98063,false
Shasta Lake,1,1,0,1587984,false
Shawswick,2,2,0,3713775,false
Sheboygan,2,2,0,216281,false
Sheffield,2,1,1,195487,false
Shelburne,2,2,0,1198068,false
Shelby,5,5,0,31073141,false
Shelbyville,4,3,1,805963,false
Sheldon,1,1,0,385862,false
Shelley,1,1,0,77304,false
Shelton,2,2,0,352018,false
Shenandoah,4,3,1,321549,false
Shepherdstown,2,2,0,26537941,false
Shepherdsville,2,2,0,2879421,false
Sheridan,3,3,0,20360738,false
Shinnston,4,3,1,519538,false
Shippensburg,2,2,0,134601,false
Shively,5,5,0,4357246,false
Shorewood,4,4,0,14943185,false
Shoshone,2,2,0,300599,false
Shoshoni,2,2,0,178862,false
Show Low,1,1,0,708832,false
Sidney,2,2,0,118252,false
Sierra Madre,4,4,0,4811310,false
Sierra Vista,1,1,0,49890,false
Signal Hill,1,0,1,0,false
Signal Mountain,2,2,0,5221968,false
Siloam Springs,1,1,0,744822,false
Simpsonville,2,2,0,553968,false
Simsbury,1,1,0,9132199,false
Sinclair,2,2,0,2561361,false
Sioux Center,2,2,0,151858,false
Sisseton,1,1,0,86960,false
Skiatook,1,1,0,90889,false
Skokie,1,1,0,1676154,false
Skowhegan,1,1,0,9749276,false
Smithfield,4,4,0,31478603,false
Smithtown,1,1,0,101814,false
Smithville,4,4,0,3963389,false
Snellville,3,3,0,5007356,false
Snohomish,1,1,0,8358203,false
Snowmass Village,2,2,0,230769,false
Soap Lake,3,3,0,8975551,false
Soddy-Daisy,5,5,0,879985,false
Solana Beach,3,3,0,4355446,false
Soldier,1,1,0,2387592,false
Solvay,2,2,0,6034625,false
Somers,3,3,0,4285807,false
Somers Point,2,2,0,194473,false
Somerset,10,10,0,11120454,false
Somerton,4,3,1,14807196,false
Sonoma,2,2,0,399258,false
Sonora,4,4,0,2716771,false
Souderton,1,1,0,134721,false
South Amboy,1,1,0,115667,false
South Berwick,2,2,0,2348062,false
South Bethany,3,3,0,409729,false
South Burlington,1,1,0,78277,false
South Congaree,2,2,0,317984,false
South El Monte,1,1,0,145949,false
South Gate,1,1,0,21293485,false
South Hadley,1,0,1,0,false
South Hill,1,1,0,849626,false
South Houston,1,0,1,0,false
South Hutchinson,1,1,0,7538,false
South Lyon,1,1,0,9806347,false
South Ogden,4,4,0,7867298,false
South Park,3,3,0,13791501,false
South Rock Island,1,1,0,129385,false
South Salt Lake,1,0,1,0,false
South Tucson,1,0,1,0,false
South Weber,2,2,0,4658510,false
South Windsor,3,0,3,0,false
Southbury,3,3,0,13569523,false
Southern Pines,4,4,0,61344125,false
Southfield,1,1,0,4622636,false
Southgate,3,3,0,249307,false
Southington,1,1,0,2550173,false
Southlake,3,3,0,675071,false
Southside,3,3,0,510396,false
Spanish Fort,1,1,0,1325505,false
Sparta,2,2,0,7281534,false
Spartanburg,3,2,1,196581,false
Speedway,2,0,2,0,false
Spencer,3,2,1,137850,false
Spencerville,2,2,0,422738,false
Spirit Lake,2,2,0,239008,false
Spring Garden,2,2,0,1060401,false
Spring Hill,1,1,0,775014,false
Spring Lake,1,1,0,2417476,false
Spring Lake Park,3,3,0,1051388,false
Springdale,2,2,0,991067,false
Springer,1,1,0,516195,false
Springerville,3,2,1,26115587,false
Springfield,8,8,0,7805499,false
Springfield charter,3,3,0,2360395,false
Springhill,2,2,0,158919,false
St. Albans,2,2,0,248182,false
St. Anthony,1,0,1,0,false
St. Charles,2,2,0,10287895,false
St. Clair,3,3,0,1908468,false
St. Francis,3,3,0,42007686,false
St. Ignatius,2,2,0,83029,false
St. James,3,3,0,22470681,false
St. John,2,2,0,887859,false
St. Johns,1,1,0,134518,false
St. Johnsbury,3,3,0,794509,false
St. Joseph,1,0,1,0,false
St. Louis,3,3,0,27697009,false
St. Martinville,1,1,0,122516,false
St. Marys,2,2,0,12862021,false
St. Matthews,5,5,0,3640707,false
St. Michaels,1,1,0,10023,false
St. Paul Park,1,1,0,1046464,false
St. Peter,4,4,0,4550092,false
Stafford,3,3,0,5789293,false
Stallings,3,3,0,3777267,false
Stanfield,1,0,1,0,false
Stanford,2,2,0,423915,false
Stanley,1,1,0,393546,false
Staples,1,1,0,2345918,false
Star City,1,1,0,127964,false
Star Valley,3,3,0,702325,false
Star Valley Ranch,1,1,0,115881,false
Statesville,2,2,0,37530758,false
Steamboat Springs,1,1,0,3146,false
Steelton,1,1,0,339156,false
Steger,4,4,0,942155,false
Steilacoom,3,3,0,9173503,false
Stephenville,2,2,0,23818560,false
Sterling,5,4,1,4196850,false
Sterling Heights,1,1,0,1045896,false
Sterlington,3,3,0,1452841,false
Stevenson,4,3,1,1505015,false
Stilwell,2,2,0,528797,false
Stockton,3,1,2,769708,false
Stonecrest,2,2,0,1100234,false
Stonewall,3,3,0,45549782,false
Stonewood,1,0,1,0,false
Story City,4,4,0,1543876,false
Strafford,1,1,0,8203451,false
Stratford,3,3,0,1705456,false
Streamwood,1,1,0,240783,false
Streator,2,2,0,764979,false
Stromsburg,1,1,0,1496646,false
Stroudsburg,2,2,0,898675,false
Sturgis,2,2,0,571101,false
Sudbury,3,3,0,1412221,false
Sudlersville,1,1,0,3451253,false
Suffern,4,4,0,2363275,false
Suffield,4,3,1,3604606,false
Sugar Hill,2,1,1,1188464,false
Sullivan,2,1,1,5707538,false
Sulphur,3,3,0,1730427,false
Sulphur Springs,4,4,0,1227541,false
Summerfield,2,0,2,0,false
Sumter,2,2,0,10728095,false
Sun Valley,1,1,0,6368681,false
Sundance,1,1,0,15158968,false
Sunset,1,0,1,0,false
Sunset Hills,3,0,3,0,false
Superior,4,4,0,268361,false
Surfside,2,2,0,8228960,false
Surfside Beach,1,1,0,159850,false
Surrey,1,1,0,39272,false
Sutherland,3,3,0,476639,false
Sutton,1,1,0,372708,false
Suwanee,5,4,1,78962642,false
Swansea,1,1,0,104548,false
Swanton,4,4,0,442072,false
Swartz Creek,2,2,0,14651619,false
Sweetwater,4,4,0,7322390,false
Swissvale,1,1,0,200469,false
Sylacauga,1,0,1,0,false
Symmes,1,1,0,118443,false
Syracuse,1,1,0,91803,false
Tahlequah,2,2,0,17794790,false
Talladega,4,4,0,559136,false
Tama,1,0,1,0,false
Tamaqua,3,3,0,359881,false
Tampa,2,2,0,3187465,false
Tamworth,2,2,0,324343,false
Tanana,1,1,0,6214,false
Taos Ski Valley,2,2,0,888407,false
Tappahannock,3,2,1,65396,false
Tarrant,1,0,1,0,false
Tarrytown,2,2,0,1906336,false
Taylor,2,2,0,1060626,false
Taylor Mill,4,4,0,2491514,false
Taylorville,2,2,0,320965,false
Tecumseh,3,3,0,198354,false
Tega Cay,2,1,1,12601,false
Tehachapi,2,2,0,1323179,false
Teller,1,1,0,929868,false
Tenino,2,2,0,44013,false
Tequesta,1,1,0,1387471,false
Terry,3,3,0,417621,false
Teton,3,3,0,1066635,false
Thermopolis,3,3,0,3785984,false
Thetford,1,0,1,0,false
Thief River Falls,1,1,0,5984308,false
Thomaston,1,1,0,179744,false
Thomasville,4,4,0,83359796,false
Thompson,1,1,0,1353987,false
Thornton,2,2,0,3921975,false
Three Forks,3,3,0,2749490,false
Three Rivers,1,0,1,0,false
Tiburon,1,1,0,678580,false
Tiffin,2,2,0,2275736,false
Tifton,2,2,0,1789049,false
Tijeras,2,2,0,664550,false
Tilden,3,3,0,2137173,false
Tilton,1,1,0,5155449,false
Timber Lake,1,1,0,435483,false
Timberville,2,2,0,447861,false
Timnath,2,2,0,190435,false
Tinley Park,1,1,0,7101306,false
Tioga,4,4,0,2542850,false
Tiverton,2,2,0,3770001,false
Togiak,2,2,0,642487,false
Toksook Bay,1,1,0,1021827,false
Toledo,5,5,0,5034964,false
Tolland,1,0,1,0,false
Tolleson,1,0,1,0,false
Tomahawk,1,1,0,1466246,false
Tomball,3,3,0,1238981,false
Toms River,1,1,0,495761,false
Tonganoxie,2,0,2,0,false
Tonkawa,1,1,0,1348927,false
Tontitown,2,2,0,315763,false
Toppenish,1,1,0,681301,false
Topsham,1,1,0,1372279,false
Toquerville,1,0,1,0,false
Torrington,1,1,0,94159,false
Totowa,1,1,0,1321575,false
Towamencin,2,2,0,19054894,false
Townsend,7,7,0,1034865,false
Trappe,1,1,0,93921,false
Treasure Island,3,2,1,1693022,false
Tremonton,2,1,1,5726371,false
Trenton,4,4,0,6792827,false
Trinidad,3,3,0,1418520,false
Trophy Club,3,1,2,199250,false
Troy,5,5,0,4121498,false
Trumbull,1,1,0,89792,false
Tuckahoe,2,2,0,549020,false
Tucker,1,0,1,0,false
Tucson,1,1,0,713478,false
Tucumcari,3,2,1,17317746,false
Tularosa,1,1,0,209940,false
Turner,3,3,0,12377057,false
Turtle Lake,1,1,0,470388,false
Tuttle,1,1,0,151932,false
Twin Bridges,2,2,0,2081030,false
Twin Lakes,2,2,0,473951,false
Twinsburg,6,6,0,13939408,false
Union,2,2,0,567287,false
Union City,1,0,1,0,false
Unionville,1,1,0,132631,false
University Park,2,2,0,436229,false
Upper Chichester,1,1,0,90714,false
Upper Gwynedd,1,1,0,1248162,false
Upper Providence,1,1,0,97404,false
Upper Saucon,1,1,0,71539,false
Upper St. Clair,1,1,0,10500552,false
Uvalde,4,4,0,18455940,false
Vadnais Heights,1,0,1,0,false
Valdosta,1,1,0,115272,false
Vale,2,2,0,405467,false
Valier,2,2,0,729675,false
Vallejo,1,1,0,2934091,false
Valley,2,1,1,57422,false
Valley Springs,2,2,0,78772,false
Van Buren charter,2,2,0,1803242,false
Vancouver,5,5,0,3316677,false
Vassalboro,1,1,0,21850725,false
Velva,2,1,1,206488,false
Ventnor City,3,3,0,4554856,false
Vergennes,1,1,0,1707082,false
Vernal,3,0,3,0,false
Vernon,6,6,0,6780698,false
Verona,2,2,0,2865655,false
Versailles,4,4,0,451014,false
Viborg,3,3,0,539137,false
Victor,3,2,1,432889,false
Vidalia,6,5,1,2293766,false
Vienna,1,1,0,2438854,false
Villa Hills,1,0,1,0,false
Villa Rica,1,0,1,0,false
Ville Platte,2,2,0,559713,false
Vilonia,3,3,0,3875194,false
Vincennes,1,0,1,0,false
Vine Grove,3,3,0,1092482,false
Vineyard,1,1,0,441784,false
Vinton,4,4,0,4875538,false
Virginia,3,3,0,13120030,false
Virginia City,2,2,0,1699295,false
Viroqua,2,2,0,1006552,false
Vivian,3,3,0,370926,false
Wabash,1,1,0,153719,false
Waco,1,1,0,165970,false
Waconia,2,1,1,1776388,false
Wagner,1,1,0,560696,false
Wagon Mound,1,1,0,397148,false
Wahoo,1,0,1,0,false
Wahpeton,1,0,1,0,false
Wainwright,1,0,1,0,false
Waite Park,1,1,0,104454,false
Walden,2,1,1,628013,false
Waldoboro,2,2,0,10111562,false
Waldwick,2,2,0,2141126,false
Walhalla,1,1,0,1694513,false
Walker,2,2,0,954017,false
Walkerville,2,2,0,461929,false
Wallace,2,2,0,343367,false
Walled Lake,3,3,0,17162817,false
Wallingford,2,1,1,2442127,false
Wallowa,2,2,0,303585,false
Walpole,3,0,3,0,false
Walterboro,1,1,0,30629,false
Walton,3,3,0,777541,false
Wamego,1,0,1,0,false
Wamsutter,2,2,0,364023,false
Wapato,4,3,1,457688,false
Wappingers Falls,3,2,1,476353,false
Ward,1,1,0,315205,false
Warden,1,1,0,3784043,false
Ware Shoals,2,1,1,1170124,false
Wareham,1,1,0,1533738,false
Warr Acres,1,1,0,92096,false
Warren,10,10,0,17111532,false
Warrensburg,2,2,0,221089,false
Warrenton,1,1,0,98878,false
Warrenville,1,1,0,42443711,false
Warrington,1,1,0,288213,false
Warsaw,6,5,1,1053239,false
Washburn,3,3,0,134756,false
Washington,11,11,0,17701992,false
Washington Grove,2,2,0,409791,false
Washington Terrace,1,1,0,1218388,false
Washingtonville,1,1,0,338438,false
Watauga,1,1,0,63137322,false
Watchung,2,2,0,448556,false
Water Valley,2,2,0,28423,false
Waterboro,2,2,0,3025523,false
Waterbury,2,2,0,7147342,false
Waterford,1,0,1,0,false
Waterford charter,1,1,0,89440,false
Waterloo,5,5,0,32738842,false
Watertown,7,5,2,23045718,false
Watervliet,3,2,1,879400,false
Watford City,2,2,0,64269071,false
Wauchula,1,1,0,72118,false
Wauconda,3,3,0,6996984,false
Waukon,2,2,0,70765,false
Waupaca,1,1,0,16571,false
Waverly,4,3,1,6235627,false
Waxhaw,1,1,0,1170776,false
Waycross,1,1,0,32427,false
Wayne,5,5,0,323756,false
Waynesboro,4,3,1,4742042,false
Waynesville,5,5,0,11367498,false
Weare,3,3,0,11861338,false
Weatherford,4,4,0,1393563,false
Weathersfield,3,3,0,34375051,false
Webb City,1,1,0,2324571,false
Webster,1,1,0,223389,false
Webster City,1,1,0,122058,false
Weddington,2,2,0,54699,false
Weeping Water,2,2,0,76605,false
Weiser,2,2,0,304729,false
Wellington,7,3,4,2051032,false
Wells,1,1,0,1219603,false
Wells River,1,1,0,7245429,false
Wellton,1,1,0,1216294,false
Wendell,1,1,0,48119,false
Wentzville,2,2,0,370811,false
Wessington Springs,2,2,0,396408,false
West Bloomfield charter,4,4,0,21645190,false
West Bountiful,3,3,0,2387388,false
West Branch,3,3,0,199102,false
West Columbia,5,5,0,3350658,false
West Deptford,1,1,0,322591,false
West Greenwich,1,1,0,10277303,false
West Haverstraw,1,0,1,0,false
West Hempfield,2,2,0,2032666,false
West Lafayette,3,3,0,39350435,false
West Lampeter,2,2,0,627219,false
West Liberty,1,1,0,681367,false
West Long Branch,1,1,0,505753,false
West Manchester,1,1,0,86538,false
West Miami,1,1,0,93014,false
West Park,2,1,1,2209301,false
West Plains,1,1,0,6477758,false
West Point,3,2,1,190245,false
West Salem,3,3,0,704955,false
West University Place,2,2,0,42402593,false
West View,1,1,0,102359,false
West Warwick,4,4,0,11859151,false
West Wendover,2,2,0,3425458,false
West Yellowstone,3,3,0,4380767,false
Westchester,4,4,0,19670137,false
Westerly,3,3,0,4019486,false
Westernport,1,1,0,101881,false
Westford,3,3,0,568083,false
Westlake,1,1,0,676945,false
Westminster,4,3,1,40275559,false
Westport,3,3,0,31256,false
Westwego,4,3,1,484487,false
Wharton,3,3,0,1444488,false
Wheat Ridge,1,1,0,322871,false
Wheatfield,1,1,0,132151,false
Wheatland,1,1,0,34087,false
White,1,1,0,379784,false
White Bluff,1,1,0,2092729,false
White Castle,1,1,0,94852,false
