source_domain,attempted_rows,retained_sources,excluded_or_deferred,retained_bytes,global_analysis_readiness
boro.dormont.pa.us,4,4,0,2705822,false
borough.shippensburg.pa.us,2,2,0,134601,false
boroughofambler.com,1,1,0,3552793,false
boscawennh.gov,3,3,0,583010,false
boscobelwisconsin.com,1,1,0,530077,false
bottineau.govoffice.com,1,1,0,28110,false
bourne-ma.gov,1,1,0,118050,false
bowersbeach.delaware.gov,1,1,0,78880,false
bradfordoh.com,2,2,0,81422,false
bradfordpa.org,2,2,0,342531,false
bradleyil.org,3,3,0,9222190,false
brandenburg.ky.gov,1,1,0,129632,false
brazil.in.gov,3,3,0,223012,false
brentwoodmo.org,1,1,0,204285,false
brentwoodnh.gov,1,1,0,1501717,false
brentwoodpa.gov,1,1,0,183465,false
bridgeportwashington.net,2,2,0,274670,false
bridgeportwv.gov,1,1,0,998547,false
bridger-mt.com,1,1,0,3917078,false
bridgeville.delaware.gov,3,3,0,639054,false
bridgewater.town,3,3,0,238338,false
brightoncity.org,1,1,0,8489396,false
bristolnh.gov,1,1,0,317372,false
bristolvt.org,1,1,0,1083483,false
brittonsd.govoffice3.com,1,1,0,131187,false
broadwayva.gov,1,1,0,1523127,false
brockportny.gov,1,1,0,5878791,false
brockportny.org,1,1,0,596259,false
brookfieldct.gov,4,4,0,7573338,false
brookfieldil.civicweb.net,6,6,0,47452696,false
brookhavenboro.com,1,1,0,386326,false
brooklinema.gov,4,4,0,1747166,false
brooklynct.org,1,1,0,104372,false
brownsvilletn.gov,1,1,0,27672,false
brownwoodtexas.gov,2,2,0,1200494,false
brunswickme.gov,1,1,0,1978429,false
bruslyla.com,1,1,0,177799,false
bsquarebulletin.com,1,1,0,1100357,false
buckeye.novusagenda.com,1,1,0,4474,false
buckhannonwv.org,3,3,0,14800642,false
buckinghampa.org,1,1,0,268467,false
bucksportmaine.granicus.com,1,0,1,0,false
budgetnotices.in.gov,2,1,1,844965,false
buenavistaco.gov,1,1,0,1077063,false
buenavistava.gov,4,4,0,7494026,false
bullheadcity.granicus.com,2,0,2,0,false
bullheadcityaz.gov,1,1,0,5219027,false
burbankca.gov,1,1,0,1426971,false
burgsimpson.com,1,1,0,322871,false
burlington.org,1,1,0,98839,false
burlingtonkansas.gov,2,2,0,1388607,false
burlingtonnd.org,2,2,0,600937,false
butlerborough.com,2,2,0,2259926,false
butlercountypa.gov,1,1,0,96216,false
butlerradio.com,1,1,0,97425,false
byhalia-ms.com,1,1,0,117247,false
byronwyoming.org,1,1,0,55352,false
ca-montereypark.civicplus.com,1,1,0,115698,false
cabq.gov,1,1,0,6916762,false
cadillac-mi.net,3,2,1,13654590,false
calaismaine.org,2,2,0,77484,false
caldwellohio.org,1,1,0,107529,false
californiacity-ca.gov,4,1,3,1527426,false
calimesa.gov,3,3,0,812895,false
calumetcity.org,2,2,0,3400588,false
cambridgene.org,1,1,0,2098765,false
camden.delaware.gov,1,1,0,190236,false
cameronmo.com,1,1,0,2556243,false
camptonhills.illinois.gov,2,2,0,4799477,false
canandaigua.govoffice.com,1,1,0,906,false
canandaiguanewyork.gov,1,1,0,1484281,false
cannonfallsmn.gov,1,1,0,147841,false
canoncity.org,3,3,0,43624386,false
cantonillinois.org,4,4,0,8612425,false
carbonmt.gov,1,1,0,4546788,false
carencro.org,1,1,0,141196,false
carlisleindians.org,1,1,0,988004,false
carlisleiowa.org,1,1,0,272654,false
carljunction.socs.net,1,1,0,337491,false
carnationwa.gov,1,1,0,74373,false
carnegieborough.com,2,2,0,360169,false
carpinteriaca.gov,3,3,0,39841039,false
carrboro.legistar.com,1,0,1,0,false
carringtonnd.com,2,2,0,166277,false
carrizozonm.us,3,3,0,447615,false
caruthersvillecity.com,1,1,0,398579,false
carverma.gov,2,2,0,2379638,false
caryillinois.com,1,1,0,13688388,false
cascade-locks.or.us,1,1,0,25065723,false
castlepinesco.gov,1,1,0,1844458,false
castletonvermont.org,1,1,0,325817,false
castlewoodcity.com,4,4,0,1107710,false
cavecity.us,1,1,0,82385,false
cavecreekaz.gov,1,1,0,134605,false
cawh.org,1,1,0,269867,false
caycesc.gov,2,2,0,9797639,false
cc-publicdocs.santa-ana.org,1,1,0,2103,false
cch160.org,1,1,0,120711,false
cclp.us,3,3,0,17114524,false
cdn.downers.us,3,3,0,4836140,false
cdn.muckrock.com,2,2,0,3457368,false
cdn.myocv.com,2,2,0,258497,false
cdn.prod.website-files.com,7,7,0,9186036,false
cdn.sudbury.ma.us,3,3,0,1412221,false
cdn.toledo.oh.gov,4,4,0,4816560,false
cdn.townweb.com,9,9,0,21347870,false
cdn.website-editor.net,2,0,2,0,false
cdn4.site-media.eu,2,2,0,10350636,false
cdnsm5-hosted.civiclive.com,9,9,0,11235030,false
cdnsm5-ss11.sharpschool.com,1,1,0,340258,false
ceciltonmd.gov,3,3,0,209592,false
cedarlakein.gov,5,5,0,11513657,false
centernd.net,1,1,0,1313077,false
centervillesd.squarespace.com,1,1,0,584954,false
ceredo-external.s3.amazonaws.com,1,1,0,3352131,false
ceres.gov,2,2,0,31013741,false
cerescone.com,1,1,0,3556707,false
cesl.us,1,1,0,52559,false
chagrinfallsoh.gov,2,2,0,5953134,false
champaignil.gov,1,1,0,131704,false
channahon.org,2,2,0,462753,false
channahonfire.com,1,1,0,771569,false
chariton.org,1,1,0,1610102,false
charlestownwv.granicus.com,1,0,1,0,false
charlottemi.gov,3,3,0,34792514,false
charlottevt.org,1,1,0,547407,false
chasecity.org,1,1,0,17517,false
chathamborough.org,1,1,0,135238,false
cheboygan.org,1,1,0,85679,false
cheneyks.org,2,2,0,195343,false
cherokeevillage.gov,2,2,0,891868,false
cherryhillsvillage.com,2,2,0,7515628,false
cheshirect.gov,1,1,0,88648,false
chester-montana.com,2,2,0,279829,false
chestervt.gov,3,3,0,6690236,false
cheswold.delaware.gov,2,2,0,711428,false
chickasha.gov,1,1,0,246180,false
chickasha.k12.ok.us,1,1,0,254694,false
chilhowie.org,2,2,0,505267,false
chinamaine.org,2,2,0,1207527,false
chincoteague-va.gov,2,2,0,3362967,false
choteaumt.org,1,1,0,201949,false
christiansburg.org,2,2,0,175120,false
churchhillmd.com,2,2,0,390902,false
churchhilltn.gov,1,1,0,66250,false
churchpoint.org,1,1,0,94248,false
ci.anderson.ca.us,2,2,0,40256526,false
ci.becker.mn.us,2,2,0,29268015,false
ci.benton-city.wa.us,1,1,0,1401420,false
ci.boerne.tx.us,1,1,0,97910,false
ci.castle-rock.wa.us,1,1,0,51439,false
ci.chehalis.wa.us,1,0,1,0,false
ci.chisholm.mn.us,2,2,0,226756,false
ci.east-bethel.mn.us,3,3,0,75853578,false
ci.goldendale.wa.us,1,1,0,1915440,false
ci.gothenburg.ne.us,3,3,0,11169317,false
ci.international-falls.mn.us,3,3,0,339754,false
ci.jerome.id.us,3,3,0,500464,false
ci.king.nc.us,2,2,0,300628,false
ci.lacenter.wa.us,3,3,0,851256,false
ci.litchfield.mn.us,1,1,0,539195,false
ci.monticello.ia.us,1,1,0,3250358,false
ci.mora.mn.us,3,3,0,45816184,false
ci.morris.mn.us,1,1,0,2335362,false
ci.poquoson.va.us,2,1,1,91687,false
ci.redwood-falls.mn.us,1,1,0,5139755,false
ci.sauk-rapids.mn.us,1,1,0,4056119,false
ci.selma.tx.us,2,2,0,5248764,false
ci.waitepark.mn.us,1,1,0,104454,false
ci.washington.il.us,3,3,0,1717419,false
ci.wisner.ne.us,2,0,2,0,false
ci.zumbrota.mn.us,2,2,0,12342256,false
cieversonwa.civicweb.net,1,1,0,1031872,false
cincinnati-oh.gov,3,3,0,3111434,false
cincinnatioh.legistar.com,1,0,1,0,false
citrusheights.net,1,1,0,108213,false
city-of-bristow.squarespace.com,1,1,0,199617,false
city-of-plymouth.paperturn-view.com,2,0,2,0,false
city.redfield-sd.com,2,2,0,293849,false
citybudgets.tarrantcounty.com,1,1,0,11289,false
citycouncildocuments.acfw.net,3,3,0,20251394,false
cityfortbragg.legistar.com,1,0,1,0,false
citykankakee-il.gov,1,1,0,84943,false
citymedfordwi.civicweb.net,3,3,0,2269618,false
cityofabbeville.net,1,1,0,1066410,false
cityofainsworth.com,2,2,0,857628,false
cityofallegan.org,1,1,0,852771,false
cityofaltonil.gov,1,1,0,611966,false
cityofamericanfalls.com,1,1,0,127296,false
cityofandrews.org,1,1,0,7847986,false
cityofangoon.org,2,2,0,862950,false
cityofarco.municipalimpact.com,2,2,0,216546,false
cityofardenhills.org,2,0,2,0,false
cityofargusville.com,2,2,0,71491,false
cityofartesia.us,1,1,0,101233,false
cityofasbury.community.diligentoneplatform.com,1,1,0,47801,false
cityofasotin.org,1,1,0,451104,false
cityofatchison.com,1,1,0,139011,false
cityofathena.com,2,2,0,84060,false
cityofathenstn.com,3,3,0,21105030,false
cityofathol.us,2,2,0,504696,false
cityofaurora.org,1,1,0,11003562,false
cityofavenal.com,1,1,0,722498,false
cityofavenal.gov,2,2,0,3062679,false
cityofazle.org,4,4,0,13442543,false
cityofbakerla.com,1,1,0,315819,false
cityofbanks.org,2,2,0,1302726,false
cityofbarnwell.com,2,2,0,7089158,false
cityofbasehor.org,1,1,0,1985994,false
cityofbayard.net,3,3,0,416245,false
cityofbeaufort.org,1,1,0,6153832,false
cityofbelington.com,2,2,0,622181,false
cityofbelmont.civicweb.net,2,2,0,920137,false
cityofblackfoot.org,1,1,0,98158,false
cityofblackjack.com,2,2,0,133009,false
cityofblythe.ca.gov,6,6,0,1027497,false
cityofbn.com,2,2,0,2097871,false
cityofboardman.com,1,1,0,31506,false
cityofbolivar.com,2,2,0,1913561,false
cityofboonevillems.com,3,3,0,886069,false
cityofbrokenbow.org,2,2,0,16177721,false
cityofbrookland.com,2,2,0,235780,false
cityofbuckley.com,1,1,0,96953,false
cityofbuffalowy.com,3,3,0,108864,false
cityofbuford.com,1,1,0,1769987,false
cityofbuhl.us,1,1,0,129241,false
cityofbutler.org,1,1,0,64082,false
cityofcalera.org,3,3,0,908687,false
cityofcalhoun-ga.com,3,3,0,4158070,false
cityofcaliente.com,1,1,0,50042,false
cityofcando.com,2,2,0,1028997,false
cityofcanyonville.com,3,3,0,24270760,false
cityofcarey.org,3,0,3,0,false
cityofcarroll.com,2,2,0,13418901,false
cityofcarterlake.com,2,2,0,14240518,false
cityofcarver.com,4,1,3,4900107,false
cityofcascade.org,3,0,3,0,false
cityofcharlescity.org,3,0,3,0,false
cityofcharlestown.com,1,0,1,0,false
cityofchecotah.com,2,2,0,2266243,false
cityofchickasaw.org,2,2,0,302829,false
cityofchubbuck.us,1,1,0,198497,false
cityofclatskanie.com,2,2,0,4634115,false
cityofcleveland.legistar.com,1,0,1,0,false
cityofclevelandms.com,2,2,0,235133,false
cityofclevelandok.com,1,1,0,995145,false
cityofclintonsc.com,2,2,0,196999,false
cityofcolbyks.gov,3,3,0,119379,false
cityofcollinsville.com,3,3,0,429682,false
cityofcoltonsd.com,2,2,0,8884997,false
cityofconcord.org,1,1,0,109595,false
cityofconnell.com,3,3,0,87773,false
cityofcoopersville.com,2,2,0,535455,false
cityofcordova.net,1,1,0,3617118,false
cityofcorsicana.com,2,2,0,4779965,false
cityofcouncilgrove.com,1,1,0,1085909,false
cityofcouncilidaho.org,1,1,0,83112,false
cityofcovington.org,2,2,0,42808819,false
cityofcoweta-ok.gov,2,0,2,0,false
cityofcrittendenky.gov,1,1,0,36376,false
cityofcrossettar.gov,2,2,0,559716,false
cityofcrystalsprings.com,2,2,0,1297130,false
cityofculver.net,1,1,0,2157141,false
cityofcushing.com,2,2,0,23106436,false
cityofdavisonmi.gov,1,1,0,54949,false
cityofdecatur.in.gov,1,1,0,148347,false
cityofdeerpark.legistar.com,1,0,1,0,false
cityofdelafieldwi.gov,7,4,3,848616,false
cityofdelcity.gov,3,3,0,550116,false
cityofdellrapids.granicus.com,1,1,0,7973,false
cityofdenhamsprings.com,2,2,0,424924,false
cityofdesmet.com,1,1,0,169703,false
cityofdewittiowa.org,1,1,0,257952,false
cityofdonna.org,3,3,0,32527278,false
cityofdouglas.org,1,1,0,25911,false
cityofdublin.org,3,2,1,3630549,false
cityofedgemont.org,1,1,0,130290,false
cityofedwardsville.com,1,1,0,1190936,false
cityofeldon.org,1,1,0,67612,false
cityofeldridgeia.org,1,1,0,160225,false
cityofelginok.com,3,3,0,378958,false
cityofelginor.org,2,2,0,1477254,false
cityofemerado.com,2,2,0,1726283,false
cityofestherville.org,1,1,0,225311,false
cityofeudoraks.gov,2,2,0,316251,false
cityofeunice.org,2,2,0,451780,false
cityofexeter.ca.gov,4,4,0,6473486,false
cityoffarmington-ar.gov,1,1,0,37958,false
cityoffircrest.net,2,0,2,0,false
cityofflandreau.com,3,3,0,258738,false
cityofflint.com,2,2,0,297531,false
cityofflorenceco.gov,2,2,0,6717740,false
cityofflorencems.com,1,1,0,155612,false
cityofflorencesc.gov,1,1,0,159194,false
cityoffoley.legistar.com,1,0,1,0,false
cityoffoley.org,1,1,0,6575292,false
cityofforestcity.com,2,2,0,6883962,false
cityofforsyth.net,1,1,0,360040,false
cityoffortbenton.org,3,1,2,183113,false
cityoffortmorgan.com,1,1,0,972057,false
cityoffortwayne.in.gov,2,2,0,196933,false
cityoffreeport.org,1,1,0,669543,false
cityofgadsden.com,1,1,0,28240,false
cityofgaffney-sc.gov,1,1,0,91546,false
cityofgardena.org,2,2,0,3109484,false
cityofgearhart.com,1,1,0,9915,false
cityofgenesee.com,1,1,0,74259,false
cityofglasgowmt.com,1,1,0,52065,false
cityofglencoe.org,3,3,0,409519,false
cityofglenullin.yolasite.com,1,1,0,2178433,false
cityofgloucester.org,1,0,1,0,false
cityofgoldbar.us,1,1,0,90839,false
cityofgosnell.com,1,1,0,4751993,false
cityofgraham.com,2,2,0,16805631,false
cityofgrainvalley.org,4,4,0,25877479,false
cityofgrandledge.com,1,1,0,145030,false
cityofgreensburg.com,1,1,0,114740,false
cityofgregory.com,2,2,0,343224,false
cityofgrovetown.com,2,2,0,1951627,false
cityofguadalupe.org,6,6,0,28923426,false
cityofgulfbreeze.us,1,1,0,1774967,false
cityofhaleyville.com,2,0,2,0,false
cityofhancock.com,1,1,0,167617,false
cityofharlan.com,1,1,0,429259,false
cityofharrah.com,3,3,0,43323562,false
cityofharriman.net,1,1,0,567559,false
cityofharveyil.gov,1,1,0,2515131,false
cityofhauser.us,2,2,0,206765,false
cityofhenryetta.com,1,1,0,114,false
cityofherington.com,1,1,0,858672,false
cityofherrin.com,4,4,0,47319328,false
cityofhillsboro.net,1,1,0,3515993,false
cityofhobart.org,3,3,0,910706,false
cityofholdrege.org,1,1,0,793315,false
cityofhoward.com,2,1,1,25917,false
cityofhumbletx.gov,2,2,0,27618561,false
cityofinman.org,1,1,0,914686,false
cityofirondaleal.gov,3,3,0,3757388,false
cityofjeannette.com,5,5,0,17622512,false
cityofjeffersoniowa.org,2,2,0,12869510,false
cityofjennings.com,1,1,0,82756,false
cityofkasson.com,1,1,0,9711630,false
cityofkennettmo.com,2,2,0,2538275,false
cityofkeokuk.org,2,2,0,12380650,false
cityofkettlefalls.org,3,3,0,1331937,false
cityofkewanee.com,1,1,0,2590241,false
cityofkilgore.civicweb.net,1,1,0,208342,false
cityofkilgore.com,1,1,0,3384728,false
cityofkingcove.com,1,1,0,69457,false
cityofkingsburg-ca.gov,2,2,0,1510707,false
cityofkingsville.com,3,3,0,23956913,false
cityoflacey.org,1,1,0,308376,false
cityofladysmithwi.com,2,2,0,346048,false
cityoflakewood.us,2,2,0,10041584,false
cityoflamesa.gov,1,1,0,100369,false
cityoflamesa.us,1,1,0,96234,false
cityoflancasterky.com,2,2,0,509967,false
cityoflandrumsc.com,2,2,0,368265,false
cityoflanett.com,1,1,0,141946,false
cityoflangdon.com,2,2,0,282808,false
cityoflaporte.com,1,1,0,206170,false
cityoflawrence.org,1,1,0,120355,false
cityoflead.com,1,1,0,368223,false
cityofleavenworth.com,2,2,0,4275544,false
cityoflennoxsd.com,1,1,0,1236992,false
cityoflennoxsd.community.highbond.com,1,1,0,59804,false
cityoflenoir.com,2,2,0,17730420,false
cityoflesueur.com,2,0,2,0,false
cityoflex.com,1,1,0,336161,false
cityoflibby.com,1,1,0,3541217,false
cityoflilburn.com,1,1,0,102630,false
cityoflittlefalls.com,2,2,0,36613791,false
cityoflittleflock.com,2,2,0,3517352,false
cityoflonetree.civicweb.net,2,2,0,4983074,false
cityoflonoke.squarespace.com,3,3,0,403431,false
cityoflosalamitos.org,1,1,0,1104808,false
cityofloudontn.org,3,3,0,4657327,false
cityoflovelock.com,1,1,0,45275,false
cityofloxley.com,1,1,0,7054157,false
cityoflucedale.com,2,2,0,169119,false
cityoflumberton.com,2,2,0,340119,false
cityofluverne.legistar.com,1,0,1,0,false
cityoflyons.org,1,1,0,220066,false
cityofmacomb.com,2,2,0,1554468,false
cityofmalta.com,2,2,0,370840,false
cityofmannford.com,2,2,0,220580,false
cityofmannington.com,1,0,1,0,false
cityofmansfield.net,4,4,0,4999767,false
cityofmarianna.com,1,1,0,41489,false
cityofmarysvilleks.com,4,4,0,14243116,false
cityofmauldin.org,2,2,0,2801732,false
cityofmedinatn.org,2,2,0,329336,false
cityofmendota.com,2,2,0,9761308,false
cityofmercedes.com,1,1,0,21578955,false
cityofmillbrook.org,4,3,1,564828,false
cityofmillersd.com,1,1,0,2167957,false
cityofmillvalley.gov,1,1,0,112657,false
cityofmiltonwv.com,1,1,0,977567,false
cityofminto.com,1,1,0,81823,false
cityofmonessen.com,4,4,0,4880899,false
cityofmontevallo.com,1,1,0,2647306,false
cityofmontrose.org,1,1,0,814011,false
cityofmorrilton.com,1,1,0,431194,false
cityofmoxee.us,3,3,0,2921873,false
cityofmtvernon-ia.gov,2,2,0,2193409,false
cityofmuscleshoals.com,3,3,0,2094441,false
cityofnegaunee.com,1,0,1,0,false
cityofnenana.com,2,2,0,1730187,false
cityofnevadaiowa.org,1,1,0,9127778,false
cityofnewbaltimore.org,2,1,1,13573336,false
cityofnewcastle.net,5,5,0,9219230,false
cityofnewman.gov,3,3,0,336335,false
cityofnewport-tn.com,1,1,0,1170606,false
cityofnewrockford.gov,2,2,0,87802,false
cityofnitro.org,1,1,0,381666,false
cityofnoble.org,3,3,0,301576,false
cityofnorthfield.org,7,7,0,11892297,false
cityofocontofalls.com,2,2,0,20551896,false
cityofodessamo.com,1,1,0,650566,false
cityofoneonta.us,3,3,0,2135831,false
cityoforangecove.com,2,2,0,10740301,false
cityoforinda.gov,3,3,0,5562192,false
cityoforland.com,2,2,0,3753502,false
cityoforofino.org,2,2,0,2152045,false
cityofpadencity.com,1,0,1,0,false
cityofpage.org,3,3,0,2510816,false
cityofpalestinetx.com,2,2,0,24195108,false
cityofparkriver.com,2,2,0,546776,false
cityofparkston.org,4,4,0,124125,false
cityofparsonswv.com,3,3,0,396569,false
cityofpattersonla.gov,2,2,0,226893,false
cityofpayette.com,1,1,0,8011024,false
cityofpdc.com,2,2,0,232828,false
cityofpearidgear.gov,1,1,0,310241,false
cityofperryville.com,2,2,0,500228,false
cityofperu.org,2,2,0,440565,false
cityofpetersburgwv.gov,2,2,0,203284,false
cityofpg.com,2,2,0,53853,false
cityofpickens.com,3,3,0,2853835,false
cityofpigeonforgetn.gov,2,2,0,243809,false
cityofplacerville.org,3,3,0,2191289,false
cityofplainviewne.com,2,2,0,101427,false
cityofplankinton.com,2,2,0,427092,false
cityofplanoil.com,1,0,1,0,false
cityofponderay.org,2,2,0,436646,false
cityofportlandtn.gov,1,1,0,107295,false
cityofportstjoe.com,2,2,0,264108,false
cityofpowdersprings.org,1,1,0,98872,false
cityofprattks.com,1,1,0,143535,false
cityofrainier.com,2,2,0,34217138,false
cityofraymond.com,1,1,0,4976944,false
cityofredding.gov,2,2,0,2018545,false
cityofrichardtonnd.com,4,4,0,182221,false
cityofrichwoodwv.com,1,1,0,1661599,false
cityofrigby.gov,1,1,0,145519,false
cityofritzville.com,1,1,0,5330088,false
cityofrobertsidaho.gov,1,1,0,473076,false
cityofrobins.org,1,1,0,1820637,false
cityofrockvalley.com,1,1,0,71898,false
cityofrogueriver.org,2,2,0,1197685,false
cityofrosehill.com,2,2,0,481907,false
cityofsalemnj.gov,1,1,0,229266,false
cityofsanteeca.gov,1,1,0,18301757,false
cityofsatsuma.com,3,3,0,1402881,false
cityofsavannah.org,2,2,0,5310191,false
cityofscottsburg.com,1,1,0,10283671,false
cityofsearcy.org,2,2,0,1351489,false
cityofsebastopol.gov,3,3,0,4916948,false
cityofseymourwi.org,2,2,0,200205,false
cityofshastalake.gov,1,1,0,1587984,false
cityofshelley.org,1,1,0,77304,false
cityofsheridanor.com,1,1,0,20268304,false
cityofsidney.org,2,2,0,118252,false
cityofsignalhill.legistar.com,1,0,1,0,false
cityofsimpsonvilleky.com,1,1,0,73254,false
cityofskiatook.com,1,1,0,90889,false
cityofsolanabeach.ca.gov,3,3,0,4355446,false
cityofsomerset.com,2,2,0,729046,false
