candidate_id,lane_id,priority_tier,quality_label,source_url_or_locator,source_title,municipality,state,unit_type,occupation_group,bargaining_unit_name,contract_or_document_period,inferred_cycle_start,inferred_cycle_end,source_family,target_mechanism_family,same_city_match_status,overlapping_cycle_status,verification_status,verification_reason,verification_timestamp,candidate_only_lineage_status,retained_source_id,source_review_download_status,download_status,http_status,content_type_hint,file_extension,file_size_bytes,file_sha256,local_retained_path,duplicate_file_group_id,extraction_status,rating_status,ingestion_status,codification_status,causal_status,global_analysis_readiness,source_review_timestamp,notes,preserved_exclusion_status,excluded_from_readiness_queue
TS4L-b01831de87ace42b7b0f,lane_1,tier_b,verification_ready_medium,https://ecommons.cornell.edu/bitstreams/aed72ff5-78e1-4b83-bf55-0de55c9964f2/download,NYS PERB Contract Collection – Metadata Header (Rome City School District Articles of Agreement; United Public Service Employees Union; Security Officers/Security Aides),Rome,NY,non_safety_comparator,school security officers / security aides,United Public Service Employees Union (school Security Officers and school Security Aides),"July 1, 2009 through June 30, 2012 (per search snippet)",2011-01-01,2012-12-31,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"Rome, NY (Rome City School District)",Overlaps 2011-2015 expected window (overlap in years 2011-2012),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:57Z,verified_source_lead_not_downloaded,RS429-1fe46e021757d113a758,blocked_by_transport,not_downloaded,429,,,,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:20Z,"get_http_429_after_bounded_retry; attempts=2; elapsed_seconds=0.334; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR.",blocked_by_transport,true
TS4L-f163b8717d42d4aee607,lane_1,tier_b,verification_ready_medium,https://www.kckschools.org/hr/salary-schedules,Negotiated Agreements/Salary Schedules - Kansas City Kansas Unified School District 500 (USD 500),Kansas City,KS,non_safety_comparator,Educators / bargaining-unit employees covered by negotiated agreement salary schedules,"National Education Association – Kansas City, Kansas, Inc. (NEA Kansas City, Kansas)","2025-26 negotiated agreement (signed September 23, 2025)",2025-09-23,2026-06-30,collective_bargaining_agreement_or_moa_or_wage_schedule,non_safety_constraint_signal,"Kansas City, KS (same-city match likely via district explicitly named Kansas City, Kansas)",overlap uncertain (expected period unclear),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:33:33Z,verified_source_lead_not_downloaded,RS429-acfc31d053780ab74caf,weak_or_needs_review,downloaded_excluded_not_retained,200,text/html,.html,407842,fe1170f6707288479a28f14baa7f0c88bff3c771ba2d18b60b414be1ca418da2,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:26Z,"bounded_get_completed_supported_content; attempts=1; elapsed_seconds=1.672; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR. embedded key-like literal detected by byte safety scan; local HTML copy removed.",weak_or_needs_review,true
TS4L-05593b01b76714aabcf0,lane_2,tier_b,verification_ready_medium,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/BER18/2018-MERC-Decisions/20181114c16k125.pdf?hash=B985F45646FDE99532F4BAA5B7E46F0E&rev=baf1f20261db469ab7685a6876d86b07,MERC Decision PDF: Macomb County and Police Officers Association of Michigan (POAM) (contains CBA period 1/1/2014–12/31/2016),Macomb,MI,safety_and_non_safety_bargaining_units,Police (law enforcement),Police Officers Association of Michigan (POAM),In-document CBA effective 01/01/2014 through 12/31/2016 (as stated in source snippet),2014-01-01,2016-12-31,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"Macomb match (Macomb County, MI)",Overlaps target window (2014–2024),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:37Z,verified_source_lead_not_downloaded,RS429-a5b48de8b07974ae822a,weak_or_needs_review,not_downloaded,403,text/html,,,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:26Z,"get_http_403; attempts=1; elapsed_seconds=0.055; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR.",weak_or_needs_review,true
TS4L-13907cad71ba29ad40fe,lane_2,tier_b,verification_ready_medium,https://appellate.nccourts.org/petitions/p-08182017.pdf,"SUPREME COURT OF NORTH CAROLINA — Petitions list including ""Kevin Bray and The Kernersville Professional Fire Fighters Association v. Curtis L. Swisher"" (COA16-928 / related entries)",Kernersville,NC,safety_and_non_safety_bargaining_units,firefighters (Professional Fire Fighters Association),The Kernersville Professional Fire Fighters Association,Related to COA16-928; case-linked timeframe within 2016-2017 (within 2014-2024 window),,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,Kernersville match (named in case listing),Within target window (2014-2024) based on docket/case-year references,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:21Z,verified_source_lead_not_downloaded,RS429-43f9207af1864bc5d702,weak_or_needs_review,not_downloaded,403,text/html,,,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:27Z,"get_http_403; attempts=1; elapsed_seconds=0.365; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR.",weak_or_needs_review,true
TS4L-1c56aa07ae014d529726,lane_2,tier_b,verification_ready_medium,https://perb.ny.gov/impasse-between-town-tonawanda-and-town-tonawanda-salaried-workers-association-0,PERB: Impasse Between Town of Tonawanda and Town of Tonawanda Salaried Workers Association (impasse / fact-finding record locator),Tonawanda,NY,safety_and_non_safety_bargaining_units,Salaried workers (non-safety public employees; includes non-safety unit lead capacity),Town of Tonawanda Salaried Workers Association,2016-2019 (expected from impasse timeline; exact contract period not extracted),2016,2019,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_municipality_match,expected_overlap_2014_2024,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:32:00Z,verified_source_lead_not_downloaded,RS429-914d6076a06387e34740,weak_or_needs_review,not_downloaded,403,text/html,,,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:27Z,"get_http_403; attempts=1; elapsed_seconds=0.071; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR.",weak_or_needs_review,true
TS4L-20f523e843fc7de877fa,lane_2,tier_b,verification_ready_medium,https://ballotpedia.s3.amazonaws.com/images/0/0b/Fort_Wayne_CBA_Text_2022-2024.pdf,Fort Wayne CBA Text 2022-2024 (Police / Patrolmen's Benevolent Association),Wayne,IN,safety_and_non_safety_bargaining_units,Police (public safety),"Fort Wayne Patrolmen's Benevolent Association, Inc. (PBA) / Fraternal Order of Police referenced within document context",2022-2024,2022,2024,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"City mismatch likely (Fort Wayne found, not Wayne, IN explicitly in title/body snippet)",Overlaps expected period 2014-2024 (explicitly 2022-2024),verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:32:15Z,verified_source_lead_not_downloaded,RS429-42d0b07a783677d20c50,oversized_for_this_pass,not_downloaded,200,application/pdf,,43474471,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:29Z,"content_length_exceeds_pass_limit; attempts=1; elapsed_seconds=0.318; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR.",oversized_for_this_pass,true
TS4L-24200973265955182652,lane_2,tier_b,verification_ready_medium,https://ecommons.cornell.edu/items/93025d05-c0cb-4f62-946d-ec34d12f6432,"NYS PERB CBA record: Newburgh, City of and City of Newburgh Unit, CSEA Local 1000, AFSCME, AFL-CIO (2017)",Newburgh,NY,safety_and_non_safety_bargaining_units,non-public-safety (civil service / general municipal unit),"CSEA Local 1000, AFSCME, AFL-CIO (City of Newburgh Unit)",2017 (document year shown in record title),,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_city_match,within_expected_window,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:32:07Z,verified_source_lead_not_downloaded,RS429-99f15ffe0ba43c449fa4,blocked_by_transport,not_downloaded,429,,,,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:29Z,"get_http_429_after_bounded_retry; attempts=2; elapsed_seconds=0.344; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR.",blocked_by_transport,true
TS4L-3f208a626ed634fbcc78,lane_2,tier_b,verification_ready_high,https://www.njcourts.gov/system/files/court-opinions/2024/a3351-22.pdf,"TOWNSHIP OF HAMILTON v. PBA LOCAL 66 AND PBA LOCAL 66A (Appellate Division opinion; references November 8, 2022 arbitrator's award; CNAs cover Jan 1, 2020–Dec 31, 2024)",Hamilton,NJ,safety_and_non_safety_bargaining_units,Police officers / superior officers,PBA Local 66 and PBA Local 66A (Superior Officers Association),"January 1, 2020–December 31, 2024 (CNAs); arbitration award referenced as dated November 8, 2022",2020-01-01,2024-12-31,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"Exact same municipality match (Hamilton Township, NJ)",Overlaps target window (2014–2024) via 2020–2024 CNA and 2022 arbitration award,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:14Z,verified_source_lead_not_downloaded,RS429-52c7f2e9351b1fb13a79,weak_or_needs_review,not_downloaded,403,text/html,,,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:31Z,"get_http_403; attempts=1; elapsed_seconds=0.109; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR.",weak_or_needs_review,true
TS4L-490a8211b65b67b22a28,lane_2,tier_b,verification_ready_medium,https://perb.ny.gov/system/files/documents/2024/05/m2017-043.pdf,"STATE OF NEW YORK PUBLIC EMPLOYMENT RELATIONS BOARD — Fact Finding Between West Babylon Union Free School District and Civil Service Employees Association (Para-Professional Unit), PERB Case No. M2017-043",Babylon,NY,safety_and_non_safety_bargaining_units,School district para-professional / support staff (CSEA Para-Professional Unit),Civil Service Employees Association (CSEA) (Para-Professional Unit),PERB Case No. M2017-043 (Fact-Finding Report; received 3/09/2018 per PERB listing),,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,Potential same-city match (West Babylon UFSD is in the Babylon/West Babylon area),Overlaps expected window (2014-2024): fact-finding received 2018,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:18Z,verified_source_lead_not_downloaded,RS429-28fb88a6c0d902ad17b5,weak_or_needs_review,not_downloaded,403,text/html,,,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:32Z,"get_http_403; attempts=1; elapsed_seconds=0.077; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR.",weak_or_needs_review,true
TS4L-4ed745eaf952789e839d,lane_2,tier_b,verification_ready_high,https://www.alvin.gov/ArchiveCenter/ViewFile/Item/113,City of Alvin — Archive item (ViewFile/Item/113) referencing 2019-2020 Collective Bargaining Labor Agreement with Alvin Police Officers’ Union,Alvin,TX,safety_and_non_safety_bargaining_units,Police (public safety) — Alvin Police Officers’ Union,Alvin Police Officers’ Union (likely APOA),2019-2020 Collective Bargaining Labor Agreement (explicitly referenced); document appears to be around FY20/FY21 departmental reporting,2019-01-01 (inferred,2020-12-31 (inferred,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"same city (Alvin, TX) — affirmative",overlaps target window (2014-2024) — affirmative,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:15Z,verified_source_lead_not_downloaded,RS429-e08fa103a060652f7a8f,weak_or_needs_review,not_downloaded,403,text/html,,,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:32Z,"get_http_403; attempts=1; elapsed_seconds=0.352; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR.",weak_or_needs_review,true
TS4L-5bfec12baa5278568433,lane_2,tier_b,verification_ready_medium,https://perb.ny.gov/system/files/documents/2024/05/m2017-044.pdf,"STATE OF NEW YORK PUBLIC EMPLOYMENT RELATIONS BOARD — Fact Finding Between West Babylon Union Free School District and Civil Service Employees Association (Non-Teaching Unit), PERB Case No. M2017-044",Babylon,NY,safety_and_non_safety_bargaining_units,"Non-teaching school district support staff (e.g., food service, custodial, transportation as described in PERB fact-finding context)",Civil Service Employees Association (CSEA) (Non-Teaching Unit),PERB Case No. M2017-044 (Fact-Finding Report; received 3/07/2018 per PERB listing),,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,Potential same-city match (West Babylon UFSD is in the Babylon/West Babylon area),Overlaps expected window (2014-2024): fact-finding received 2018,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:18Z,verified_source_lead_not_downloaded,RS429-f4351c9bb1d94d3bc516,weak_or_needs_review,not_downloaded,403,text/html,,,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:35Z,"get_http_403; attempts=1; elapsed_seconds=0.077; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR.",weak_or_needs_review,true
TS4L-66e3706fbe84b241e6be,lane_2,tier_b,verification_ready_medium,https://www.michigan.gov/-/media/Project/Websites/leo/Documents/BER-2016-Decisions/2016-Decisions/20161018cu15i028.pdf,"MICHIGAN EMPLOYMENT RELATIONS COMMISSION (BER) — Commission Decision / Recommended Order (Van Buren Township — Police Officers Labor Council), dated in 2016 (BER decision PDF)",Van Buren charter,MI,safety_and_non_safety_bargaining_units,Police Officers (public safety),Police Officers Labor Council (Van Buren Township),MERC/BER decision (2016) referencing Act 312 arbitration / bargaining over issues related to pension (exact CBA term not asserted here),2016-01-01,2016-12-31,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,"Van Buren Township (Wayne County, MI)",Within 2014-2024 target window,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:33:05Z,verified_source_lead_not_downloaded,RS429-345ed612942fbe5b4cd5,weak_or_needs_review,not_downloaded,403,text/html,,,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:37Z,"get_http_403; attempts=1; elapsed_seconds=0.097; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR.",weak_or_needs_review,true
TS4L-98290706fa0537ab0fdf,lane_2,tier_b,verification_ready_medium,https://perb.ny.gov/system/files/documents/2024/03/ia83-013-award-7-27-84.pdf,PERB Arbitration Award (PERB Case No. IA83-013): Town of New Windsor and New Windsor Police Benevolent Association (received 7/27/1984),New Windsor,NY,safety_and_non_safety_bargaining_units,Police (safety),New Windsor Police Benevolent Association,2014-2024 target window,,,cba_or_arbitration_award_or_factfinding_or_impasse_record,strike_or_no_strike_constraint,same_municipality_match_found,outside_target_window_2014-2024,verified_source_lead,reachable_head_response_and_consistent_candidate_metadata,2026-07-27T01:31:57Z,verified_source_lead_not_downloaded,RS429-1d806f8fb6148c15285b,weak_or_needs_review,not_downloaded,403,text/html,,,,,,not_extracted,not_rated,not_ingested,not_codified,not_causal_evidence,false,2026-07-27T01:46:48Z,"get_http_403; attempts=1; elapsed_seconds=0.074; bytes only retained for accepted source files; no PDF page parsing, text extraction, or OCR.",weak_or_needs_review,true
