figure_id,panel_id,panel_order,layer_id,evidence_layer,analytical_unit,side_category,category_order,count,layer_denominator,share_of_layer,side_classified_denominator,share_among_safety_non_safety,display_role,denominator_note,canonical_source
SIDE-01,A,3,mechanism_map_events,Mechanism-event map units,deduplicated mechanism map event,side_independent,4,1675,11698,0.143187,5370,,stacked_bar,Side-independent is retained outside the two-side classified denominator,docs/analysis/handoff/GABRIEL-WAGES-VISUAL-ATLAS-CORRECTION-AND-RESTRUCTURE-2026-08-06/side_composition_by_evidence_layer.csv
SIDE-01,A,3,mechanism_map_events,Mechanism-event map units,deduplicated mechanism map event,unresolved,5,4614,11698,0.394426,5370,,stacked_bar,Unresolved is shown and never reassigned,docs/analysis/handoff/GABRIEL-WAGES-VISUAL-ATLAS-CORRECTION-AND-RESTRUCTURE-2026-08-06/side_composition_by_evidence_layer.csv
SIDE-01,A,4,documentary_growth,Documentary growth records,documentary growth record,safety,1,171,432,0.395833,213,0.802817,stacked_bar,Share of all growth records; classified share uses safety plus non-safety only,docs/analysis/handoff/GABRIEL-WAGES-VISUAL-ATLAS-CORRECTION-AND-RESTRUCTURE-2026-08-06/side_composition_by_evidence_layer.csv
SIDE-01,A,4,documentary_growth,Documentary growth records,documentary growth record,non_safety,2,42,432,0.097222,213,0.197183,stacked_bar,Share of all growth records; classified share uses safety plus non-safety only,docs/analysis/handoff/GABRIEL-WAGES-VISUAL-ATLAS-CORRECTION-AND-RESTRUCTURE-2026-08-06/side_composition_by_evidence_layer.csv
SIDE-01,A,4,documentary_growth,Documentary growth records,documentary growth record,mixed,3,0,432,0.000000,213,,stacked_bar,Mixed is retained outside the two-side classified denominator,docs/analysis/handoff/GABRIEL-WAGES-VISUAL-ATLAS-CORRECTION-AND-RESTRUCTURE-2026-08-06/side_composition_by_evidence_layer.csv
SIDE-01,A,4,documentary_growth,Documentary growth records,documentary growth record,side_independent,4,0,432,0.000000,213,,stacked_bar,Side-independent is retained outside the two-side classified denominator,docs/analysis/handoff/GABRIEL-WAGES-VISUAL-ATLAS-CORRECTION-AND-RESTRUCTURE-2026-08-06/side_composition_by_evidence_layer.csv
SIDE-01,A,4,documentary_growth,Documentary growth records,documentary growth record,unresolved,5,219,432,0.506944,213,,stacked_bar,Unresolved is shown and never reassigned,docs/analysis/handoff/GABRIEL-WAGES-VISUAL-ATLAS-CORRECTION-AND-RESTRUCTURE-2026-08-06/side_composition_by_evidence_layer.csv
SIDE-01,B,5,bounded_local_comparisons,Bounded local comparisons,two-sided local comparison,safety,1,0,10,0.000000,0,,annotation_only,These ten records compare both sides; they are not ten mixed-side events,docs/analysis/handoff/GABRIEL-WAGES-VISUAL-ATLAS-CORRECTION-AND-RESTRUCTURE-2026-08-06/side_composition_by_evidence_layer.csv
SIDE-01,B,5,bounded_local_comparisons,Bounded local comparisons,two-sided local comparison,non_safety,2,0,10,0.000000,0,,annotation_only,These ten records compare both sides; they are not ten mixed-side events,docs/analysis/handoff/GABRIEL-WAGES-VISUAL-ATLAS-CORRECTION-AND-RESTRUCTURE-2026-08-06/side_composition_by_evidence_layer.csv
SIDE-01,B,5,bounded_local_comparisons,Bounded local comparisons,two-sided local comparison,mixed,3,10,10,1.000000,0,,annotation_only,Prior category is retained for lineage but final display labels these as two-sided comparisons,docs/analysis/handoff/GABRIEL-WAGES-VISUAL-ATLAS-CORRECTION-AND-RESTRUCTURE-2026-08-06/side_composition_by_evidence_layer.csv
SIDE-01,B,5,bounded_local_comparisons,Bounded local comparisons,two-sided local comparison,side_independent,4,0,10,0.000000,0,,annotation_only,These ten records compare both sides; they are not side-independent events,docs/analysis/handoff/GABRIEL-WAGES-VISUAL-ATLAS-CORRECTION-AND-RESTRUCTURE-2026-08-06/side_composition_by_evidence_layer.csv
SIDE-01,B,5,bounded_local_comparisons,Bounded local comparisons,two-sided local comparison,unresolved,5,0,10,0.000000,0,,annotation_only,No side-classification denominator is calculated for comparison rows,docs/analysis/handoff/GABRIEL-WAGES-VISUAL-ATLAS-CORRECTION-AND-RESTRUCTURE-2026-08-06/side_composition_by_evidence_layer.csv
