relative_path,size_bytes,sha256,artifact_family
figures/corpus/corpus-scale.svg,15916,23983da7fffd15a3ab347d2419498eb9efa7dc0c5946e1322cc849ca3d85de78,figures
figures/limitations/staffing-channel.svg,14653,cb48a4b06e11f224cf718523a31da3d41e48d56edca3734d104a756f84e2c0f7,figures
data/source_library/VOLUME_MANIFEST.csv,12688,a54509c5cf9f6bc19c91219f8117f9bfb651913d29657703a6626e809dccd4ee,data
figures/corpus/analytical-readiness.svg,12681,9d492768fcd3813d8c3cff76339ca3d3cf04877fab9d1307d9a6f67c5713ce9d,figures
figures/corpus/evidence-pipeline.svg,11659,eae852bd0b10e84aa2d54d49323c365d589006da0bc386965a9c2f6de06bd5f6,figures
figures/claims/strict-bounded-sensitivity.svg,10606,6831d1efc649d4d4e50701f851da1c28502505377b220954f68ae87d5a81469f,figures
figures/limitations/documentary-growth.svg,10394,1dcd8b5af83f0386f000cdb7e3cee06266237b395faf685640252f3b4deb6553,figures
figures/claims/claim-overview.svg,10050,c7a01ccecb591c9006ccbcbede4effbba2ed8381c6763b71f64eeabee93be27e,figures
figures/limitations/local-comparisons.svg,8090,ae35ffca7eb1e3b646406ff6d8f9a67e13347b66de7b30cd96c5dcf0133c16c4,figures
figures/claims/counterexamples.svg,8016,3620a5f842aab3310b042d1d2f2659d83f00c88bac0addff2216afd16ab985a6,figures
METHODS_AND_WORKFLOW.md,6785,cea8cee28f9c8b0ea36a393e6ebfcb1499a934e00502e23ff3cf3caefc0c4b34,root_documentation
tests/test_source_library_tools.py,6607,c8b2efeaf64fa7be752f776a3ae4ec44520893b1aeb18f53165c6b4b74e46df5,tests
data/analysis/final_claims.csv,6276,33528ec5308690f14bf86b0be5c8d408577fdaeeac6f298ae843e17687049656,data
data/source_library/SOURCE_LIBRARY_MANIFEST.json,6237,ff5103e30db87c566f852066efa738ce67c773360ab369a94afa403a7d6ff3b8,data
data/analysis/mechanism_summary.csv,4592,481fef355f75d80d62ae74a6af1fbdedbe396fdb90e020ffb76ddb1e67d1ac8e,data
START_HERE.md,4319,01a84a98c76d177fbaa338a77b196bec5b2d840969022f7ba993a1577ac6fdf1,root_documentation
data/source_library/CHECKSUMS.sha256,4215,551636bf8088fedcbb1c7eeaa9a72ba939904782647599cf6b419e8ded7ac550,data
KNOWN_LIMITATIONS.md,3899,210c21822594d7c442e906ce795d8ca559065d841b400e6fb9cf291f354a8c20,root_documentation
tools/_source_library.py,3529,bbbc54cc58361b62113264bd0eaeb8189af1bec99c6357abe118ea3dd47cce25,tools
PROJECT_HISTORY_AND_LESSONS.md,3062,3ac8c72076ccba11b8fa0bdc054e758a62ec03597151d0d0be88206566bdb95a,root_documentation
FINDINGS_AND_CLAIM_BOUNDARIES.md,3055,d472eee12a55c7c44cff0e40a02685487c6e821ef63ca0c98ca44410a4c2f795,root_documentation
data/analysis/local_comparisons.csv,2886,083bbf0f0932646a51a41a062310c73954cd39ab7f1c9408cf9217f2b291711d,data
AGENT_STARTUP_INSTRUCTIONS.md,2832,52518b661743a8a067fe6c85920e05d96330ee27418817829796e30a6370efca,root_documentation
tools/extract_source_library.py,2689,637336ac2041366f12079d9a2ddd73e76ccf2bb2d4991e432ce02cd4ffa1ca83,tools
tools/find_source.py,2402,d235ad1ab3d77abc9bdaa58be67a434cc38eb67ce798170b3e37673d5ab4f090,tools
README.md,2309,ee9bad880841f5d1d01c5a248975fa8fb56605d3e14ff9c9735697115330b6f0,root_documentation
PROJECT_HANDOFF.md,2288,c8083a67aad1aec438302c68790ac5867a6dbdbc4a287612f1c3f2ff8bd77a34,root_documentation
dashboard/index.html,2149,e48cdc0b4e1b9ea11c8f9dc6ef86bb0300651aa5acc68b37e7c7e8a5e6fe1048,dashboard
tools/configure_source_library.py,2066,3db83fbce6b66b3760b0568fba3966ebe82a9079187579ec59fc51fb263ca447,tools
data/analysis/counterexamples.csv,2038,9311df45291e97d7b2655b5f0d8583bd3ef2fe6ede17487d23260a2c599f1251,data
DATA_AND_ARTIFACTS.md,1987,9162794dd11e08960bad329577ec6b4187b628aaf0081055abd98a248d14ff3c,root_documentation
SOURCE_LIBRARY_ACCESS.md,1837,d2fb3cfb46234f384c784c289ed017e59187e0062bfce407a2b350d8cad8b132,root_documentation
data/source_library/source_families.csv,1710,5a338410df32a8035606aee8ffdf33f27783b8c6d233cf21402074832375672f,data
data/source_library/schemas/source_index.schema.json,1704,c31cc1b68dbf905bad70d6f57b6a20b59ef59dbc9ae429efeb1cce6aeb1cc288,data
