claim_id,claim_text,claim_type,supported_mechanisms,evidence_basis,corpus_scope,strength,boundary_language,next_data_needed,forbidden_interpretations
direct_02,"Some automatic-raise ratings contain direct text about steps, schedules, formulas, or adjustments.",supported_direct_text_claim,automatic_raise_mechanism,109 positive ratings; 19 direct-text ratings,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,moderate,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.",matched clauses and separately accepted wage values,population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
direct_03,Some non-base compensation ratings contain direct text about compensation components distinct from base wage.,supported_direct_text_claim,non_base_compensation_signal,76 positive ratings; 38 direct-text ratings,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,moderate,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.",component-specific triage that preserves non-base separation,population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
direct_04,"Some implementation-timing ratings contain direct text about effective dates, retroactivity, or staged schedules.",supported_direct_text_claim,implementation_or_retroactivity_advantage,171 positive ratings; 14 direct-text ratings,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,moderate,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.",matched timing terms linked only after a separate quantitative review,population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
direct_05,"Some rank or specialization ratings contain direct text about classifications, assignments, or premiums.",supported_direct_text_claim,rank_or_specialization_premium,27 positive ratings; 8 direct-text ratings,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,weak,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.",comparable classifications across matched safety/non-safety units,population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
causal_01,"Based on the 636 valid-rated collected rows, implementation timing is a provisional plausible mechanism to investigate, not a causal conclusion.",provisional_causal_candidate_claim,implementation_or_retroactivity_advantage,45 provisional-causal-candidate ratings; 171 positive ratings,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,moderate,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.",matched timing and outcome evidence plus counterexamples,population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
causal_02,"Based on the 636 valid-rated collected rows, automatic raise structures are a provisional plausible mechanism to investigate, not a causal conclusion.",provisional_causal_candidate_claim,automatic_raise_mechanism,15 provisional-causal-candidate ratings; 109 positive ratings,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,weak,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.",matched formula exposure and separately authorized wage-change evidence,population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
causal_03,"Based on the 636 valid-rated collected rows, rank or specialization premiums are a provisional plausible mechanism to investigate, not a causal conclusion.",provisional_causal_candidate_claim,rank_or_specialization_premium,6 provisional-causal-candidate ratings; 27 positive ratings,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,weak,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.",matched comparable roles and classification structures,population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
causal_04,"Based on the 636 valid-rated collected rows, market or comparability pressure is a provisional plausible mechanism to investigate, but current support is sparse.",provisional_causal_candidate_claim,market_or_comparability_pressure,2 provisional-causal-candidate ratings; 21 positive ratings,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,weak,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.",targeted peer-market and recruitment-retention evidence across matched units,population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
causal_05,"Based on the 636 valid-rated collected rows, non-base compensation is a provisional plausible mechanism to investigate separately from base wages.",provisional_causal_candidate_claim,non_base_compensation_signal,5 provisional-causal-candidate ratings; 76 positive ratings,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,weak,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.",component-level quantitative evidence that does not mix base and non-base pay,population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
need_01,Direct safety-advantage language is not supported in the current valid-rated corpus and requires targeted collection.,needs_more_data,safety_advantage_signal,0 positive ratings,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,insufficient,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.",matched clauses that explicitly compare safety with non-safety compensation,population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
need_02,Direct non-safety-constraint language is not supported in the current valid-rated corpus and requires targeted collection.,needs_more_data,non_safety_constraint_signal,0 positive ratings,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,insufficient,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.","non-safety budget, standardization, delay, or bargaining constraint texts in matched cycles",population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
need_03,Gap-narrowing language is too sparse for a directional claim.,needs_more_data,gap_narrowing_signal,2 positive ratings,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,insufficient,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.","parity, compression, shared-raise, and equity texts with matched comparison units",population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
need_04,Strike and no-strike evidence is too sparse for a directional leverage claim.,needs_more_data,strike_or_no_strike_constraint,4 positive ratings,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,insufficient,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.","strike restrictions together with arbitration, factfinding, labor-peace, and essential-service substitutes",population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
need_05,Fiscal-constraint evidence is too sparse for a directional compensation claim.,needs_more_data,fiscal_constraint_signal,6 positive ratings,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,insufficient,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.",paired budget narratives and bargaining texts for the same city-cycle,population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
need_06,Parity and internal-equity evidence is too sparse for a directional claim.,needs_more_data,parity_or_internal_equity_signal,9 positive ratings,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,insufficient,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.","compression, parity, alignment, and internal-equity clauses across matched units",population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
need_07,Bargaining-power evidence is too sparse for a strong directional claim.,needs_more_data,bargaining_power_signal,22 positive ratings; only 1 provisional-causal-candidate rating,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,insufficient,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.","matched arbitration, factfinding, settlement, and memorandum evidence",population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
need_08,Market and comparability evidence is too sparse for a strong directional claim.,needs_more_data,market_or_comparability_pressure,21 positive ratings; 2 provisional-causal-candidate ratings,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,insufficient,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.",matched market studies and peer comparisons with explicit occupation scope,population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
need_09,Directional comparison across occupations requires more exact city-cycle matched evidence.,needs_more_data,automatic_raise_mechanism|implementation_or_retroactivity_advantage|rank_or_specialization_premium,"ratings summarize documents, not matched outcome contrasts",636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,insufficient,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.",same-city same-cycle safety and non-safety units with controlled occupation identities,population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
need_10,The preserved 862-row quantitative direct-text lane needs a separately authorized triage before qualitative mechanisms can be connected to text-grounded pay values.,needs_more_data,base_wage_direct_value,862 quantitative direct-text rows acknowledged only as a future lane,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,insufficient,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.",separate quantitative claim-triage task; no analysis in this review,population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
forbid_01,Population-wide prevalence claims are not authorized by this collected corpus.,not_allowed,all,non-representative collected corpus,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,insufficient,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.",broader sampling and separate design review,population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
forbid_02,Final wage-gap magnitudes are not authorized in this phase.,not_allowed,all,no authorized wage-gap computation,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,insufficient,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.",accepted quantitative design and later analysis authorization,population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
forbid_03,Regression-backed claims are not authorized in this phase.,not_allowed,all,no regression performed,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,insufficient,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.",separate accepted analysis design and authorization,population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
forbid_04,Treatment-effect claims are not authorized in this phase.,not_allowed,all,no causal design or treatment-effect estimation,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,insufficient,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.",separate identification strategy and causal-claim QA,population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
forbid_05,Final causal conclusions about safety and non-safety wage disparities are not authorized in this phase.,not_allowed,all,"ratings contain mechanism language, not causal proof",636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,insufficient,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.","broader evidence, quantitative testing, counterevidence, and separate causal review",population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
forbid_06,Claims based on the seven excluded rows are not authorized.,not_allowed,all,7 explicit quarantine exclusions,636_schema_valid_v1_1_ratings_with_7_explicit_exclusions,insufficient,"Bounded to the 636 valid-rated collected rows; this does not establish population prevalence, realized wage effects, wage gaps, or causality.",none in this phase; preserve exclusions,population_prevalence|wage_effect|wage_gap|regression|treatment_effect|final_causal_claim|excluded_row_inference
