alaska_inventory_id,root_compensation_event_id,municipality,state,region,compensation_cycle_id,mechanism_family,mechanism_tag,side,side_bucket,implementation_status,implementation_confidence,recurring_or_one_time,corroborating_source_count,latitude,longitude,profile_id,profile_event_id,profile_primary_record,profile_tag_count_for_same_event,category_alaska_event_count,alaska_display_mode,analytical_unit,technical_lineage
AKMECH-8ebd1d85211315136962,ROOTCOMP-66773447e6a05796c9613a66,Chuathbaluk,AK,West,undated-source-B4X2500LIVE-20260729-004780,institutional_channel,none_identified,remains_unclear,unresolved,implemented,high,retroactive_back_pay,0,61.573919,-159.246921,grouped-sparse-status-appendix,2c7f4cb199abbbf57952,True,1,9,point_table,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-9e57bf8b4bc13bc4750478c9""]"
AKMECH-f5d1cb3a21576689a230,ROOTCOMP-66773447e6a05796c9613a66,Chuathbaluk,AK,West,undated-source-B4X2500LIVE-20260729-004780,timing_implementation,one_time,remains_unclear,unresolved,implemented,high,retroactive_back_pay,0,61.573919,-159.246921,non-base-compensation,891efed4694e9f8cf0e2,True,1,2,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-9e57bf8b4bc13bc4750478c9""]"
AKMECH-3ee7e77d152fd8830bf7,ROOTCOMP-31925e7a7b94d67d6bba46c3,Chuathbaluk,AK,West,undated-source-B4X2500LIVE-20260729-004780,timing_implementation,ordinance_adoption,side_independent,side_independent,formally_adopted,high,scheduled_step,0,61.573919,-159.246921,ordinance-adoption,69690ad36ff86b60ab0f,True,2,2,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-49e4d62cc2ddfff18fc7c878""]"
AKMECH-4c6b2df22746f5b9f8b4,ROOTCOMP-1270a740fa570d096bb60983,Chuathbaluk,AK,West,undated-source-B4X2500LIVE-20260729-004780,institutional_channel,ordinance_council_adoption,remains_unclear,unresolved,implemented,high,percentage_adjustment,0,61.573919,-159.246921,ordinance-adoption,1568b815dad8e2498738,True,1,3,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-0b4900ef93b47c44574564c3"",""WCM-0c3c3c8a3061e5f667318b49"",""WCM-61f989b569fd91ff50693dfc""]"
AKMECH-fdd39f9244346ec89025,ROOTCOMP-31925e7a7b94d67d6bba46c3,Chuathbaluk,AK,West,undated-source-B4X2500LIVE-20260729-004780,institutional_channel,ordinance_council_adoption,side_independent,side_independent,formally_adopted,high,scheduled_step,0,61.573919,-159.246921,ordinance-adoption,69690ad36ff86b60ab0f,False,2,3,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-49e4d62cc2ddfff18fc7c878""]"
AKMECH-b239ac88e0e3203802ae,ROOTCOMP-1270a740fa570d096bb60983,Chuathbaluk,AK,West,undated-source-B4X2500LIVE-20260729-004780,timing_implementation,recurring,remains_unclear,unresolved,implemented,high,percentage_adjustment,0,61.573919,-159.246921,scheduled-base-growth,203c63682cffe7109c10,False,2,5,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-0b4900ef93b47c44574564c3"",""WCM-0c3c3c8a3061e5f667318b49"",""WCM-61f989b569fd91ff50693dfc""]"
AKMECH-9648b542c970b7bcf2b0,ROOTCOMP-31925e7a7b94d67d6bba46c3,Chuathbaluk,AK,West,undated-source-B4X2500LIVE-20260729-004780,timing_implementation,recurring,side_independent,side_independent,formally_adopted,high,scheduled_step,0,61.573919,-159.246921,scheduled-base-growth,8623ea4273959f2e458d,True,2,5,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-49e4d62cc2ddfff18fc7c878""]"
AKMECH-db602c2ed72444146c16,ROOTCOMP-66773447e6a05796c9613a66,Chuathbaluk,AK,West,undated-source-B4X2500LIVE-20260729-004780,timing_implementation,retroactive,remains_unclear,unresolved,implemented,high,retroactive_back_pay,0,61.573919,-159.246921,retroactivity-payroll,69977e6f16252cbdd4e9,True,2,6,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-9e57bf8b4bc13bc4750478c9""]"
AKMECH-a49d2ef5fed9787baade,ROOTCOMP-66773447e6a05796c9613a66,Chuathbaluk,AK,West,undated-source-B4X2500LIVE-20260729-004780,compensation_outcome,retroactive_pay,remains_unclear,unresolved,implemented,high,retroactive_back_pay,0,61.573919,-159.246921,retroactivity-payroll,69977e6f16252cbdd4e9,False,2,6,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-9e57bf8b4bc13bc4750478c9""]"
AKMECH-8e0de2bbc9d09803f185,ROOTCOMP-31925e7a7b94d67d6bba46c3,Chuathbaluk,AK,West,undated-source-B4X2500LIVE-20260729-004780,compensation_outcome,step_progression,side_independent,side_independent,formally_adopted,high,scheduled_step,0,61.573919,-159.246921,scheduled-base-growth,8623ea4273959f2e458d,False,2,1,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-49e4d62cc2ddfff18fc7c878""]"
AKMECH-dfd93796c2de9f815ce7,ROOTCOMP-e76ba8adc52be1515bc9c465,Cold Bay,AK,West,2015,compensation_outcome,across_the_board_raise,remains_unclear,unresolved,implemented,high,percentage_adjustment,0,55.215515,-162.775546,scheduled-base-growth,f8d6d2dfed2f076ed02b,True,2,3,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-9a0f795650d7dbf24838460a""]"
AKMECH-45e39984fd1483ed3a1a,ROOTCOMP-e76ba8adc52be1515bc9c465,Cold Bay,AK,West,2015,institutional_channel,none_identified,remains_unclear,unresolved,implemented,high,percentage_adjustment,0,55.215515,-162.775546,grouped-sparse-status-appendix,ebca16105151ec995579,True,1,9,point_table,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-9a0f795650d7dbf24838460a""]"
AKMECH-1e4b8c88e5e2034ae0a5,ROOTCOMP-e76ba8adc52be1515bc9c465,Cold Bay,AK,West,2015,timing_implementation,recurring,remains_unclear,unresolved,implemented,high,percentage_adjustment,0,55.215515,-162.775546,scheduled-base-growth,f8d6d2dfed2f076ed02b,False,2,5,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-9a0f795650d7dbf24838460a""]"
AKMECH-bd393eec7ebd8df36ba1,ROOTCOMP-204b446134bf9cb11c02cc43,Egegik,AK,West,undated-source-B4X2500LIVE-20260729-009822,institutional_channel,none_identified,remains_unclear,unresolved,implemented,high,retroactive_back_pay,0,58.205148,-157.521978,grouped-sparse-status-appendix,cd68ceb89209d690bbe5,True,1,9,point_table,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-15ac8d9522bad1a27741c6ee"",""WCM-5e4771175f5024761a46e4d8"",""WCM-e18af480216047fe951a0b0c"",""WCM-f50cbdfd2dbd49255744ccc6""]"
AKMECH-0f3c89fab256d48513f7,ROOTCOMP-204b446134bf9cb11c02cc43,Egegik,AK,West,undated-source-B4X2500LIVE-20260729-009822,timing_implementation,one_time,remains_unclear,unresolved,implemented,high,retroactive_back_pay,0,58.205148,-157.521978,non-base-compensation,2337b76e792bd6361b3c,True,1,2,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-15ac8d9522bad1a27741c6ee"",""WCM-5e4771175f5024761a46e4d8"",""WCM-e18af480216047fe951a0b0c"",""WCM-f50cbdfd2dbd49255744ccc6""]"
AKMECH-3e546578e118898dee1c,ROOTCOMP-204b446134bf9cb11c02cc43,Egegik,AK,West,undated-source-B4X2500LIVE-20260729-009822,timing_implementation,retroactive,remains_unclear,unresolved,implemented,high,retroactive_back_pay,0,58.205148,-157.521978,retroactivity-payroll,11b7ef70ed6078eb706a,True,2,6,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-15ac8d9522bad1a27741c6ee"",""WCM-5e4771175f5024761a46e4d8"",""WCM-e18af480216047fe951a0b0c"",""WCM-f50cbdfd2dbd49255744ccc6""]"
AKMECH-eaa3403319ce43d840b4,ROOTCOMP-204b446134bf9cb11c02cc43,Egegik,AK,West,undated-source-B4X2500LIVE-20260729-009822,compensation_outcome,retroactive_pay,remains_unclear,unresolved,implemented,high,retroactive_back_pay,0,58.205148,-157.521978,retroactivity-payroll,11b7ef70ed6078eb706a,False,2,6,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-15ac8d9522bad1a27741c6ee"",""WCM-5e4771175f5024761a46e4d8"",""WCM-e18af480216047fe951a0b0c"",""WCM-f50cbdfd2dbd49255744ccc6""]"
AKMECH-81d71bc95f1b85246fef,ROOTCOMP-b54559e6c56aa7e4635de327,Newhalen,AK,West,2020,compensation_outcome,across_the_board_raise,remains_unclear,unresolved,implemented,high,percentage_adjustment,0,59.737057,-154.902414,scheduled-base-growth,29d57f3afae645b9eedb,True,2,3,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-4679a4503125453f8805d588"",""WCM-4dbd00d16b7b835ddbf81972""]"
AKMECH-94892e5c441a420e839f,ROOTCOMP-b54559e6c56aa7e4635de327,Newhalen,AK,West,2020,institutional_channel,none_identified,remains_unclear,unresolved,implemented,high,percentage_adjustment,0,59.737057,-154.902414,grouped-sparse-status-appendix,be3aa1a7c9dd91b52c04,True,1,9,point_table,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-4679a4503125453f8805d588"",""WCM-4dbd00d16b7b835ddbf81972""]"
AKMECH-5320ccd191f9b7e9d0fa,ROOTCOMP-b54559e6c56aa7e4635de327,Newhalen,AK,West,2020,timing_implementation,recurring,remains_unclear,unresolved,implemented,high,percentage_adjustment,0,59.737057,-154.902414,scheduled-base-growth,29d57f3afae645b9eedb,False,2,5,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-4679a4503125453f8805d588"",""WCM-4dbd00d16b7b835ddbf81972""]"
AKMECH-1e39e7cbc82f16701efc,ROOTCOMP-6bf31b7372232ed035c12381,Port Lions,AK,West,undated-source-B4X2500LIVE-20260729-002309,institutional_channel,none_identified,safety_combined,safety,implemented,high,recurring_non_base,0,57.867012,-152.856248,grouped-sparse-status-appendix,9115d470824efb671028,True,1,9,point_table,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-3857d9bcd78c02ade6c39cb4""]"
AKMECH-a1172c3c797ae4f38410,ROOTCOMP-1f2c469433c46c526f950716,Port Lions,AK,West,undated-source-B4X2500LIVE-20260729-002309,timing_implementation,payroll_effective_date,safety_combined,safety,implemented,high,not_applicable,0,57.867012,-152.856248,retroactivity-payroll,211066500cae19e71b81,True,3,3,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-01d70fd3aedfe941a337fef3"",""WCM-4e28a2fb87361541beaa7d7e"",""WCM-9975659a2ddb79309ad4b24d""]"
AKMECH-ccbe4d7e2b187635b849,ROOTCOMP-6bf31b7372232ed035c12381,Port Lions,AK,West,undated-source-B4X2500LIVE-20260729-002309,timing_implementation,recurring,safety_combined,safety,implemented,high,recurring_non_base,0,57.867012,-152.856248,scheduled-base-growth,be396b47b64ca5b37b4d,True,1,5,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-3857d9bcd78c02ade6c39cb4""]"
AKMECH-bd742a05a5b62ea7162c,ROOTCOMP-1f2c469433c46c526f950716,Port Lions,AK,West,undated-source-B4X2500LIVE-20260729-002309,timing_implementation,retroactive,safety_combined,safety,implemented,high,not_applicable,0,57.867012,-152.856248,retroactivity-payroll,211066500cae19e71b81,False,3,6,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-01d70fd3aedfe941a337fef3"",""WCM-4e28a2fb87361541beaa7d7e"",""WCM-9975659a2ddb79309ad4b24d""]"
AKMECH-5914604d0159a9e6788a,ROOTCOMP-1f2c469433c46c526f950716,Port Lions,AK,West,undated-source-B4X2500LIVE-20260729-002309,compensation_outcome,retroactive_pay,safety_combined,safety,implemented,high,not_applicable,0,57.867012,-152.856248,retroactivity-payroll,211066500cae19e71b81,False,3,6,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-01d70fd3aedfe941a337fef3"",""WCM-4e28a2fb87361541beaa7d7e"",""WCM-9975659a2ddb79309ad4b24d""]"
AKMECH-b6b3bf8e8ea899f0e647,ROOTCOMP-6bf31b7372232ed035c12381,Port Lions,AK,West,undated-source-B4X2500LIVE-20260729-002309,compensation_outcome,stipend_or_premium,safety_combined,safety,implemented,high,recurring_non_base,0,57.867012,-152.856248,non-base-compensation,8d92c15202ea85850a36,True,1,1,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-3857d9bcd78c02ade6c39cb4""]"
AKMECH-693e4d582590b2d78308,ROOTCOMP-df127a7827589ca659be5a16,Togiak,AK,West,undated-source-CBSRD-20260728-6dbe81366092e535caca,institutional_channel,none_identified,remains_unclear,unresolved,formally_adopted,low,not_applicable,0,59.052942,-160.396855,grouped-sparse-status-appendix,8cdf3b1cc4e56b628b99,True,1,9,point_table,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-9dbe287ee1b1418399a47b2c""]"
AKMECH-2142e7edb855bbb44d1d,ROOTCOMP-df127a7827589ca659be5a16,Togiak,AK,West,undated-source-CBSRD-20260728-6dbe81366092e535caca,timing_implementation,retroactive,remains_unclear,unresolved,formally_adopted,low,not_applicable,0,59.052942,-160.396855,retroactivity-payroll,a0339d3b4b7befd78f85,True,2,6,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-9dbe287ee1b1418399a47b2c""]"
AKMECH-fe8162229f53bdeb1d5a,ROOTCOMP-df127a7827589ca659be5a16,Togiak,AK,West,undated-source-CBSRD-20260728-6dbe81366092e535caca,compensation_outcome,retroactive_pay,remains_unclear,unresolved,formally_adopted,low,not_applicable,0,59.052942,-160.396855,retroactivity-payroll,a0339d3b4b7befd78f85,False,2,6,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-9dbe287ee1b1418399a47b2c""]"
AKMECH-41ac3327e0f55914e33e,ROOTCOMP-a50b90b39d2fad8b60c7012a,Whale Pass,AK,West,undated-source-B4X2500LIVE-20260729-002312,institutional_channel,none_identified,remains_unclear,unresolved,implemented,high,not_applicable,0,56.082115,-133.067469,grouped-sparse-status-appendix,b287d3f44ed5a830746f,True,1,9,point_table,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-546b103aae2c922f3d39e6ce"",""WCM-b0d3f7cc420485a1e7f1eb12""]"
AKMECH-f2bdf9ec3a019e7fa9b0,ROOTCOMP-a50b90b39d2fad8b60c7012a,Whale Pass,AK,West,undated-source-B4X2500LIVE-20260729-002312,timing_implementation,payroll_effective_date,remains_unclear,unresolved,implemented,high,not_applicable,0,56.082115,-133.067469,retroactivity-payroll,edf856df680e55a43513,True,3,3,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-546b103aae2c922f3d39e6ce"",""WCM-b0d3f7cc420485a1e7f1eb12""]"
AKMECH-02222c5e0e6ede2c46bd,ROOTCOMP-a50b90b39d2fad8b60c7012a,Whale Pass,AK,West,undated-source-B4X2500LIVE-20260729-002312,timing_implementation,retroactive,remains_unclear,unresolved,implemented,high,not_applicable,0,56.082115,-133.067469,retroactivity-payroll,edf856df680e55a43513,False,3,6,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-546b103aae2c922f3d39e6ce"",""WCM-b0d3f7cc420485a1e7f1eb12""]"
AKMECH-2ea89d7847bd74e60052,ROOTCOMP-a50b90b39d2fad8b60c7012a,Whale Pass,AK,West,undated-source-B4X2500LIVE-20260729-002312,compensation_outcome,retroactive_pay,remains_unclear,unresolved,implemented,high,not_applicable,0,56.082115,-133.067469,retroactivity-payroll,edf856df680e55a43513,False,3,6,point_inset,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"[""WCM-546b103aae2c922f3d39e6ce"",""WCM-b0d3f7cc420485a1e7f1eb12""]"
