duplicate_group_id,sha256,physical_copy_count,canonical_relative_path,duplicate_bytes_reclaimable,duplicate_size_human,deletion_status
SRC-DUP-6c95db0377043e3a,6c95db0377043e3a81be8113ddab4a2b256b06e19339fb8dd094f751e27eb3f6,2,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-62eb11c0ab616aac4fc9.pdf,345633,337.53 KiB,not_deleted_planning_only
SRC-DUP-de8d3626688b3b88,de8d3626688b3b884dbcce961d1315b0a8cbbaa47e25863cc2a0bd19e9b3d310,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-c155f880b5c7c7c53003.pdf,559153,546.05 KiB,not_deleted_planning_only
SRC-DUP-f059e4b8166ed7b2,f059e4b8166ed7b25ef2fc7c4868ae579f0950090bc867ece7b0d0dfffd1378b,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-b5859e436c844aa4b62e.pdf,1760106,1.68 MiB,not_deleted_planning_only
SRC-DUP-02e960930acf8f5d,02e960930acf8f5d0c626c651f0b54f87e9c49b7e6fe19630e8874bd4e9651fb,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-e9c99292f0da9088a0d4.pdf,535381,522.83 KiB,not_deleted_planning_only
SRC-DUP-c47244b881f79b01,c47244b881f79b01d1170a2a3bffbad8cc1b73b1403d30859b7788a5d61efde4,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-b96116dad2e40e8f8bda.pdf,50183,49.01 KiB,not_deleted_planning_only
SRC-DUP-5564674dbd83c51d,5564674dbd83c51df7e0b319fe4d48512520c193aa6f8dbf3c378cf2683aa480,2,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_004/RMSRD-20260802-c49b59a240f97b8b12f0.pdf,6792480,6.48 MiB,not_deleted_planning_only
SRC-DUP-ddf7ac186239bde2,ddf7ac186239bde258657d2bb78709eba1e92f53619f52c0447bc0844e8eeb8a,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-9167d11945d911882ea9.pdf,13261169,12.65 MiB,not_deleted_planning_only
SRC-DUP-b0d8ab3299e31c4e,b0d8ab3299e31c4e342032d0117b548d762236d21126112f83e69020672d0eb0,2,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/b0d8ab3299e31c4e342032d0117b548d762236d21126112f83e69020672d0eb0.pdf,313816,306.46 KiB,not_deleted_planning_only
SRC-DUP-27f24d917a33bb2a,27f24d917a33bb2ab22a186822992784438f3306506a4f3bdf4566d09e2ba1f2,3,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-85bff05722b33f373264.pdf,3017150,2.88 MiB,not_deleted_planning_only
SRC-DUP-5744d937b622e575,5744d937b622e575a6d3306de8bf148d7ec2d9241195263e2ee3ad6b8b15aad3,3,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-86be8c9c4a39c6b75d3d.html,8,8.00 B,not_deleted_planning_only
SRC-DUP-3f9d123a918737b6,3f9d123a918737b6008e02566179b39bb78ed056d59cddb0b3d53f7528738b14,2,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/3f9d123a918737b6008e02566179b39bb78ed056d59cddb0b3d53f7528738b14.pdf,984990,961.90 KiB,not_deleted_planning_only
SRC-DUP-bdcc63c4cf3628a6,bdcc63c4cf3628a6505661fe213c7870b0455969fd5ab13edad2517f6b7b4583,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-cfb0f8c92f9f5e4ca40d.pdf,460607,449.81 KiB,not_deleted_planning_only
SRC-DUP-0972e1dc8a8d34d5,0972e1dc8a8d34d5812c8858d9efcb69c606bdc72f606861be27cc8d70019770,4,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_004/B4X2500SRD-20260730-a0987be6411aba396f86.html,2718,2.65 KiB,not_deleted_planning_only
SRC-DUP-4942873ccfd392e9,4942873ccfd392e95a2e6bddb473b80cdcf29cc4e98485d5f8d31da86fc6efc9,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-781fdfea389136c0fcd3.pdf,493967,482.39 KiB,not_deleted_planning_only
SRC-DUP-3133e858266c258d,3133e858266c258ddcf84b8ae5eafffa34b4f7e7acb7d8be035b15c98bdba05b,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-2d4dd26140d2022843e5.pdf,2701490,2.58 MiB,not_deleted_planning_only
SRC-DUP-0048785d25b33294,0048785d25b33294949a3bff1349fff2dffacc9ba72d274f2e3f654935401a44,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-07b37620c7b2674e78ed.pdf,567750,554.44 KiB,not_deleted_planning_only
SRC-DUP-c6f7fad117ff0182,c6f7fad117ff0182eeb1039c8790eb185ec565ff2233056c3227349aec881742,2,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/c6f7fad117ff0182eeb1039c8790eb185ec565ff2233056c3227349aec881742.pdf,1948935,1.86 MiB,not_deleted_planning_only
SRC-DUP-263e2f55f33bf2c8,263e2f55f33bf2c8191021e152f8ebf2034992833f60dc4167a7efd303dc03f8,2,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-dd17cbd73434df292f07.pdf,482038,470.74 KiB,not_deleted_planning_only
SRC-DUP-42487606b36ae003,42487606b36ae00399ce2757540e2ddf66d776cd25cbd0b4b5018b654f035a07,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-c7fb7c6797ba4d62ecd4.pdf,23386173,22.30 MiB,not_deleted_planning_only
SRC-DUP-c08ca74f7c09f82b,c08ca74f7c09f82b9a858099089eaf0ee723732ce7b7cd8afb447eb22b91bde6,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-69b502ece30bec92b87f.pdf,1001300,977.83 KiB,not_deleted_planning_only
SRC-DUP-97f59edd07bcfda9,97f59edd07bcfda90c9c20a1ab99bd50ae760f3db6d1c2bbcdbb8c70af2392e0,2,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/97f59edd07bcfda90c9c20a1ab99bd50ae760f3db6d1c2bbcdbb8c70af2392e0.pdf,3115152,2.97 MiB,not_deleted_planning_only
SRC-DUP-328de78bbf9efa8c,328de78bbf9efa8c430b4d6592bd10e93adab1501adc061fd09838a6cd5b6d20,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-6e6605ce6d781afe9d69.pdf,344642,336.56 KiB,not_deleted_planning_only
SRC-DUP-b07ec56573303da1,b07ec56573303da12b22e025cd2f6d19c690894bddbd66ca8fea0835013e0d33,2,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/b07ec56573303da12b22e025cd2f6d19c690894bddbd66ca8fea0835013e0d33.pdf,16569517,15.80 MiB,not_deleted_planning_only
SRC-DUP-983b9cea847e14c0,983b9cea847e14c086b451229af255498528fb0d3f55363945237b2aeac3ca24,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-88da4501e4cafeeb6d37.pdf,1527426,1.46 MiB,not_deleted_planning_only
SRC-DUP-54b12189d99be1d5,54b12189d99be1d572591e8315d6736656d01f3385366aba9767c2cb9a82af68,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-382165d519c4fbd0a819.pdf,1237593,1.18 MiB,not_deleted_planning_only
SRC-DUP-412a8ca5f2154d8a,412a8ca5f2154d8ae27effdf66b509da0e454e9dfe541325859731a35b8fe0dc,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-15020bb5cf53316b2568.pdf,9363330,8.93 MiB,not_deleted_planning_only
SRC-DUP-e84efc8854f27d8a,e84efc8854f27d8a46d5d7c29142d81ee0ab3a2ce88a10c329db1bc644d554e5,2,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_005/RMSRD-20260802-87e592fb25ad55dff546.pdf,677409,661.53 KiB,not_deleted_planning_only
SRC-DUP-07f1397ef101bc67,07f1397ef101bc67413678bf17849567c6ed8e4fa72e9b324a0f63044457bbe5,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-543a2e6648c6f9cf39ba.pdf,5142653,4.90 MiB,not_deleted_planning_only
SRC-DUP-ec5acf00776da51e,ec5acf00776da51ea9f602ca9f8a3bf075d946fb7664bba14a6333f017972324,2,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/ec5acf00776da51ea9f602ca9f8a3bf075d946fb7664bba14a6333f017972324.html,152435,148.86 KiB,not_deleted_planning_only
SRC-DUP-0503eac3612b1406,0503eac3612b140675362ef83276ca83becb91ef654f9c5c5ddbc511ee88cc1f,2,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-d1a2205731cc9f1dd6f5.pdf,171058,167.05 KiB,not_deleted_planning_only
SRC-DUP-8fffefc07b010080,8fffefc07b0100805f143feb7151a9ca020c15d6ba829c25d72308a83583b798,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-650cefc365cf08249506.pdf,199250,194.58 KiB,not_deleted_planning_only
SRC-DUP-4b52e194b0b51d23,4b52e194b0b51d23856e855f53f84bbe89d97fe14fb4983c2a66a48cfa7e9d19,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-ac3fa39c3ddc61abc27c.pdf,288690,281.92 KiB,not_deleted_planning_only
SRC-DUP-0b665cb2d54e575d,0b665cb2d54e575d955e69c5d20535cd2d679ae54d7f6de24e32fdc8daebcf4a,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-74e6ccd1ba7c5858218c.pdf,3282929,3.13 MiB,not_deleted_planning_only
SRC-DUP-250ab63b2ac39c3a,250ab63b2ac39c3a099f1ca3251acddd995651a5977ede19b6ea95d11ac1143e,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-00bb8cba3a51e7bada68.pdf,490968,479.46 KiB,not_deleted_planning_only
SRC-DUP-a989f9a34f504474,a989f9a34f504474990d7d54124afb7b2d032c3c2489502f61a611b182c39b02,2,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/a989f9a34f504474990d7d54124afb7b2d032c3c2489502f61a611b182c39b02.pdf,1234195,1.18 MiB,not_deleted_planning_only
SRC-DUP-8003161c0715ab16,8003161c0715ab16f0a716ae18b7952639eff686667b5cb54cf127ef16793808,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-25b317461bc9f10794c9.pdf,381781,372.83 KiB,not_deleted_planning_only
SRC-DUP-196d03ee86e1c1f3,196d03ee86e1c1f3ef9f1516ebb07b3faeb01230159259571373eeb15b824046,2,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/196d03ee86e1c1f3ef9f1516ebb07b3faeb01230159259571373eeb15b824046.html,102841,100.43 KiB,not_deleted_planning_only
SRC-DUP-bc1a1a7b050b058e,bc1a1a7b050b058ecb328dff34acf74d8bde02a73284bed3df7d3b327131aa2d,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-9722cdd7f54f70253aba.pdf,3882221,3.70 MiB,not_deleted_planning_only
SRC-DUP-a9091a55012a78ff,a9091a55012a78ffb3c3b28298751b9d871d06926d9d17ca16cc91b412c297f8,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-e96af6fd90f9e2bfda9f.pdf,921134,899.54 KiB,not_deleted_planning_only
SRC-DUP-47c328bf0d9e2635,47c328bf0d9e2635e0c736669e29698925a5b21dba38b0d9653d9e2ca80901e9,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-9316386549c65a839881.html,101005,98.64 KiB,not_deleted_planning_only
SRC-DUP-8a9405dc2bfeefb9,8a9405dc2bfeefb9d00392b92a1d9de689cd5baa6fb5887cf8d87f1a3a767510,2,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_003/RMSRD-20260802-ddca069a0350ab3bfedc.pdf,68994,67.38 KiB,not_deleted_planning_only
SRC-DUP-12e066ec2a3c232c,12e066ec2a3c232cc32a4be0ab267a7d6447e07006758c776fb6da288d7e18c4,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-82282eb90c5ebeebcca8.pdf,7076071,6.75 MiB,not_deleted_planning_only
SRC-DUP-9b2a1b1a19285da5,9b2a1b1a19285da5578601122d046054e5840395a2cc44882ae4ea20db80d700,2,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/html/9b2a1b1a19285da5578601122d046054e5840395a2cc44882ae4ea20db80d700.html,94485,92.27 KiB,not_deleted_planning_only
SRC-DUP-31a082b58e8a0a65,31a082b58e8a0a657952e2d42f928844c27933c9a9a409291ed91ebdab1fbe59,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-2f7ec5f8c503930986b6.pdf,1620242,1.55 MiB,not_deleted_planning_only
SRC-DUP-295d0503b17b639b,295d0503b17b639bcea04c8afe2d04a4dd4f36c8803d36082f44e1a691b46f90,2,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-9c6dfd5993e118b4a33a.pdf,2043416,1.95 MiB,not_deleted_planning_only
SRC-DUP-55f0ad8305b0d44d,55f0ad8305b0d44de4cd6bd8faab4c72f71b73126d01d5bbfca9f285769c9edb,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-c3f4fa523d12e2104b69.pdf,4326303,4.13 MiB,not_deleted_planning_only
SRC-DUP-316ec0ddf3b91005,316ec0ddf3b910059b73cf97fc77b50313b472480049855f940c76cbc18816a7,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-f98de9f8d6291f1256e6.pdf,537238,524.65 KiB,not_deleted_planning_only
SRC-DUP-32ed63159c77e21e,32ed63159c77e21ee19ca1b9aa3213ccf0218eb59539560b132a8e68ef0e18ea,3,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-37bb4d7e7de7439b6e09.html,6076,5.93 KiB,not_deleted_planning_only
SRC-DUP-c30c489f123ec45f,c30c489f123ec45f3e192377ee15527b56c1ce04e046de80d3dbfefb22e11fc7,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-913b63878d0da697cf5a.pdf,1685566,1.61 MiB,not_deleted_planning_only
SRC-DUP-e068c85e845ca0fd,e068c85e845ca0fdba1534a0064a1f60be83916fe2494077d00e48695cf17571,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-51b08a7adb21a42d4ab5.pdf,3979691,3.80 MiB,not_deleted_planning_only
SRC-DUP-0ae7119d60116a90,0ae7119d60116a90859852f35555a924711ff64a8d4c5d638a6dcfd7f34a1864,2,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/0ae7119d60116a90859852f35555a924711ff64a8d4c5d638a6dcfd7f34a1864.pdf,1434172,1.37 MiB,not_deleted_planning_only
SRC-DUP-6bddf764ac41a9ec,6bddf764ac41a9ecc0b1a68e7d85bd5ccb97a85587110bda897148d301845a12,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-c85fdf818b767af67d7f.pdf,1317962,1.26 MiB,not_deleted_planning_only
SRC-DUP-b5c3dca6491aea9b,b5c3dca6491aea9b8a8cb5a7c9f7225b7f56a3b1323914c634747182288a4500,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-4f9a0919c7f922aa015c.pdf,3761598,3.59 MiB,not_deleted_planning_only
SRC-DUP-b340f661e47df750,b340f661e47df750cef4523b5fad277bf3472cc83d45f4178aa4415426030ed9,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-c81a67379513a7e90f84.pdf,1030975,1006.81 KiB,not_deleted_planning_only
SRC-DUP-8822345942933e27,8822345942933e27bfc6298da6e7e946a04364920b1416c926d45ba555a2d75f,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_003/CBSRD-20260728-873718881f8e4bf32e4c.pdf,2134015,2.04 MiB,not_deleted_planning_only
SRC-DUP-1d105eceea5f0110,1d105eceea5f011040ef46675f7b55c14f8c22ee275a63b8f19d987ce4f7f655,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_004/CBSRD-20260728-2b1d80768e7210bd897b.pdf,120329,117.51 KiB,not_deleted_planning_only
SRC-DUP-4bf876e3627aa9c5,4bf876e3627aa9c59bb1d4e2af34ef10e7134de614b39194200caaa2408aa361,2,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_002/RMSRD-20260802-ef1a4abd97ad1529bdc4.pdf,749386,731.82 KiB,not_deleted_planning_only
SRC-DUP-4e9f3dfff157859f,4e9f3dfff157859f108c7390246e6fb5a1fbd959462af2eda6594b3b257a63c6,2,artifacts/local_retained_sources/whole_corpus_external_data_exhaustive_pipeline_2026-08-04/pdf/4e9f3dfff157859f108c7390246e6fb5a1fbd959462af2eda6594b3b257a63c6.pdf,4723779,4.50 MiB,not_deleted_planning_only
SRC-DUP-113b7e6411505c74,113b7e6411505c745f5bca2238c0e161b385f638ef6a61012117f3ecfcea20eb,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-9ecde0f9c35a7eb543fe.pdf,5168232,4.93 MiB,not_deleted_planning_only
SRC-DUP-10a9fe126597def8,10a9fe126597def83ce137837c70ba8cd8196badd64edcda06b13124e7c75b76,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-601b56f0cc583dec89af.pdf,391071,381.91 KiB,not_deleted_planning_only
SRC-DUP-208ec38bb84300bf,208ec38bb84300bfe309ef03f1461d59615dccef80fb6b036217341cdddb2604,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_001/CBSRD-20260728-7af78f4c5282506ab0bb.pdf,475178,464.04 KiB,not_deleted_planning_only
SRC-DUP-a479bf1dcb72264d,a479bf1dcb72264deb6a452fdd516ef741076bcbb51767fbb0360cd7b2990ca4,2,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_004/RMSRD-20260802-f801c5ea293b7addfe14.pdf,1171528,1.12 MiB,not_deleted_planning_only
SRC-DUP-41a7ec69197c2724,41a7ec69197c27249b8287c75ed13d8f1e369e99d82c18ea06300b6a809eb5cc,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-c235f745761812712b13.pdf,1289182,1.23 MiB,not_deleted_planning_only
SRC-DUP-4b2c24fffaa7d008,4b2c24fffaa7d0081157cebed192cfe839e5c9af31eb551d5c6c6d426bfc25f7,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-bac87394fd86b3bb2c3d.pdf,343908,335.85 KiB,not_deleted_planning_only
SRC-DUP-70acb5036b52b16d,70acb5036b52b16d49e8eb6f450ce781b14718fd27e96d7b7215d8e08a0ae259,2,artifacts/local_retained_sources/combined_broad_source_review_download_5589_2026-07-28/retained_sources/source_review_lane_002/CBSRD-20260728-71282f43751f8886d6bf.pdf,492755,481.21 KiB,not_deleted_planning_only
SRC-DUP-27434a4d11d8bf8d,27434a4d11d8bf8db2ab3f45e0efc3d919f714856b27530fb86054dbc47ad44e,3,artifacts/local_retained_sources/broad_state_4x2500_source_review_download_2026-07-30/source_review_lane_001/B4X2500SRD-20260730-3848fc7a24bd560c819b.html,12190,11.90 KiB,not_deleted_planning_only
SRC-DUP-ad5682567f334010,ad5682567f3340109ad1bcdd8b3eb822543ce89255827fd521ceb6a91724f46e,2,artifacts/local_retained_sources/broad_state_remaining_municipalities_source_review_download_2026-08-02/source_review_lane_001/RMSRD-20260802-70a146b5febc1442d29c.pdf,10514153,10.03 MiB,not_deleted_planning_only
