state,municipality,geography_type
AZ,Somerton,municipality
AZ,Springerville,municipality
AZ,Star Valley,municipality
AZ,Tucson,municipality
AZ,Wellton,municipality
AZ,Willcox,municipality
AZ,Williams,municipality
AZ,Youngtown,municipality
CA,Agoura Hills,municipality
CA,Anderson,municipality
CA,Antioch,municipality
CA,Artesia,municipality
CA,Auburn,municipality
CA,Avenal,municipality
CA,Beaumont,municipality
CA,Belvedere,municipality
CA,Big Bear Lake,municipality
CA,Biggs,municipality
CA,Bishop,municipality
CA,Blue Lake,municipality
CA,Blythe,municipality
CA,Buellton,municipality
CA,Burbank,municipality
CA,California City,municipality
CA,Calimesa,municipality
CA,Canyon Lake,municipality
CA,Carmel-by-the-Sea,municipality
CA,Carpinteria,municipality
CA,Ceres,municipality
CA,Citrus Heights,municipality
CA,Colfax,municipality
CA,Colma,municipality
CA,Colusa,municipality
CA,Concord,municipality
CA,Corning,municipality
CA,Coronado,municipality
CA,Corte Madera,municipality
CA,Covina,municipality
CA,Crescent City,municipality
CA,Dos Palos,municipality
CA,Dunsmuir,municipality
CA,El Segundo,municipality
CA,Elk Grove,municipality
CA,Escalon,municipality
CA,Etna,municipality
CA,Exeter,municipality
CA,Fairfax,municipality
CA,Fillmore,municipality
CA,Firebaugh,municipality
CA,Fontana,municipality
CA,Fort Jones,municipality
CA,Fortuna,municipality
CA,Garden Grove,municipality
CA,Gardena,municipality
CA,Gonzales,municipality
CA,Gridley,municipality
CA,Guadalupe,municipality
CA,Gustine,municipality
CA,Healdsburg,municipality
CA,Hidden Hills,municipality
CA,Hollister,municipality
CA,Holtville,municipality
CA,Imperial Beach,municipality
CA,Indio,municipality
CA,Inglewood,municipality
CA,Ione,municipality
CA,Kingsburg,municipality
CA,La Mesa,municipality
CA,La Palma,municipality
CA,Laguna Woods,municipality
CA,Lakeport,municipality
CA,Live Oak,municipality
CA,Los Alamitos,municipality
CA,Los Banos,municipality
CA,Mendota,municipality
CA,Mill Valley,municipality
CA,Monte Sereno,municipality
CA,Montebello,municipality
CA,Monterey Park,municipality
CA,Moreno Valley,municipality
CA,Morro Bay,municipality
CA,Newman,municipality
CA,Novato,municipality
CA,Orange Cove,municipality
CA,Orinda,municipality
CA,Orland,municipality
CA,Oxnard,municipality
CA,Pinole,municipality
CA,Pittsburg,municipality
CA,Placerville,municipality
CA,Point Arena,municipality
CA,Portola,municipality
CA,Rancho Mirage,municipality
CA,Redding,municipality
CA,Rocklin,municipality
CA,Rohnert Park,municipality
CA,San Juan Bautista,municipality
CA,San Leandro,municipality
CA,San Marino,municipality
CA,San Ramon,municipality
CA,Sand City,municipality
CA,Santa Ana,municipality
CA,Santa Cruz,municipality
CA,Santa Maria,municipality
CA,Santa Monica,municipality
CA,Santee,municipality
CA,Seal Beach,municipality
CA,Sebastopol,municipality
CA,Shasta Lake,municipality
CA,Sierra Madre,municipality
CA,Solana Beach,municipality
CA,Solvang,municipality
CA,Sonoma,municipality
CA,Sonora,municipality
CA,South El Monte,municipality
CA,South Gate,municipality
CA,Stockton,municipality
CA,Sunnyvale,municipality
CA,Sutter Creek,municipality
CA,Tehachapi,municipality
CA,Tiburon,municipality
CA,Tulelake,municipality
CA,Vallejo,municipality
CA,Waterford,municipality
CA,Westmorland,municipality
CA,Wheatland,municipality
CA,Winters,municipality
CO,Aspen,municipality
CO,Aurora,municipality
CO,Buena Vista,municipality
CO,Castle Pines,municipality
CO,Castle Rock,municipality
CO,Cañon City,municipality
CO,Cherry Hills Village,municipality
CO,Cheyenne Wells,municipality
CO,Commerce City,municipality
CO,Cortez,municipality
CO,Crestone,municipality
CO,Cripple Creek,municipality
CO,Denver,municipality
CO,Dinosaur,municipality
CO,Elizabeth,municipality
CO,Englewood,municipality
CO,Evans,municipality
CO,Federal Heights,municipality
CO,Firestone,municipality
CO,Fleming,municipality
CO,Florence,municipality
CO,Fort Morgan,municipality
CO,Frederick,municipality
CO,Fruita,municipality
CO,Gilcrest,municipality
CO,Granby,municipality
CO,Grand Lake,municipality
CO,Greenwood Village,municipality
CO,Gypsum,municipality
CO,Holly,municipality
CO,Hotchkiss,municipality
CO,Hugo,municipality
CO,Johnstown,municipality
CO,Keystone,municipality
CO,La Jara,municipality
CO,Lafayette,municipality
CO,Limon,municipality
CO,Littleton,municipality
CO,Lone Tree,municipality
CO,Manitou Springs,municipality
CO,Mead,municipality
CO,Moffat,municipality
CO,Montrose,municipality
CO,Morrison,municipality
CO,Mountain Village,municipality
CO,New Castle,municipality
CO,Northglenn,municipality
CO,Norwood,municipality
CO,Paonia,municipality
CO,Parachute,municipality
CO,Parker,municipality
CO,Pierce,municipality
CO,Rifle,municipality
CO,Simla,municipality
CO,Snowmass Village,municipality
CO,Steamboat Springs,municipality
CO,Superior,municipality
CO,Timnath,municipality
CO,Trinidad,municipality
CO,Wellington,municipality
CO,Wheat Ridge,municipality
CO,Woodland Park,municipality
CO,Yampa,municipality
CT,Andover,municipality
CT,Avon,municipality
CT,Beacon Falls,municipality
CT,Berlin,municipality
CT,Bethlehem,municipality
CT,Bolton,municipality
CT,Brookfield,municipality
CT,Brooklyn,municipality
CT,Cheshire,municipality
CT,Colchester,municipality
CT,Coventry,municipality
CT,Cromwell,municipality
CT,Durham,municipality
CT,East Haddam,municipality
CT,East Hartford,municipality
CT,East Haven,municipality
CT,East Lyme,municipality
CT,East Windsor,municipality
CT,Ellington,municipality
CT,Fairfield,municipality
CT,Glastonbury,municipality
CT,Greenwich,municipality
CT,Groton,municipality
CT,Groton Long Point,municipality
CT,Guilford,municipality
CT,Hebron,municipality
CT,Killingly,municipality
CT,Litchfield,municipality
CT,Madison,municipality
CT,Mansfield,municipality
CT,Marlborough,municipality
CT,Monroe,municipality
CT,Montville,municipality
CT,Morris,municipality
CT,New Canaan,municipality
CT,New Hartford,municipality
CT,New Milford,municipality
CT,Newington,municipality
CT,Newtown,municipality
CT,North Branford,municipality
CT,North Canaan,municipality
CT,North Haven,municipality
CT,Orange,municipality
CT,Plainfield,municipality
CT,Plainville,municipality
CT,Portland,municipality
CT,Prospect,municipality
CT,Ridgefield,municipality
CT,Salisbury,municipality
CT,Seymour,municipality
CT,Simsbury,municipality
CT,Southbury,municipality
CT,Southington,municipality
CT,Sprague,municipality
CT,Stratford,municipality
CT,Suffield,municipality
CT,Trumbull,municipality
CT,Union,municipality
CT,Vernon,municipality
CT,Wallingford,municipality
CT,Watertown,municipality
CT,Westport,municipality
CT,Wilton,municipality
CT,Winchester,municipality
CT,Windham,municipality
CT,Windsor,municipality
CT,Windsor Locks,municipality
CT,Wolcott,municipality
CT,Woodbridge,municipality
CT,Woodbury,municipality
DE,Arden,municipality
DE,Bellefonte,municipality
DE,Blades,municipality
DE,Bowers,municipality
DE,Bridgeville,municipality
DE,Camden,municipality
DE,Cheswold,municipality
DE,Delmar,municipality
DE,Dewey Beach,municipality
DE,Ellendale,municipality
DE,Elsmere,municipality
DE,Frederica,municipality
DE,Greenwood,municipality
DE,Harrington,municipality
DE,Henlopen Acres,municipality
DE,Houston,municipality
DE,Magnolia,municipality
DE,Millville,municipality
DE,Milton,municipality
DE,Ocean View,municipality
DE,Rehoboth Beach,municipality
DE,Selbyville,municipality
DE,South Bethany,municipality
DE,Townsend,municipality
DE,Wilmington,municipality
DE,Wyoming,municipality
FL,Arcadia,municipality
FL,Archer,municipality
FL,Astatula,municipality
FL,Atlantic Beach,municipality
FL,Bay Harbor Islands,municipality
FL,Bay Lake,municipality
FL,Belle Isle,municipality
FL,Belleview,municipality
FL,Biscayne Park,municipality
FL,Bonifay,municipality
FL,Bristol,municipality
FL,Callahan,municipality
FL,Cedar Key,municipality
FL,Century,municipality
FL,Dade City,municipality
FL,Daytona Beach Shores,municipality
FL,Dundee,municipality
FL,Dunnellon,municipality
FL,Eagle Lake,municipality
FL,Eatonville,municipality
FL,El Portal,municipality
FL,Eustis,municipality
FL,Flagler Beach,municipality
FL,Fort Meade,municipality
FL,Fort White,municipality
FL,Golden Beach,municipality
FL,Greenville,municipality
FL,Gulf Breeze,municipality
FL,Haines City,municipality
FL,Hampton,municipality
FL,Hialeah,municipality
FL,High Springs,municipality
FL,Highland Beach,municipality
FL,Holly Hill,municipality
FL,Howey-in-the-Hills,municipality
FL,Indian Harbour Beach,municipality
FL,Indian River Shores,municipality
FL,Inglis,municipality
FL,Juno Beach,municipality
FL,Jupiter,municipality
FL,Jupiter Inlet Colony,municipality
FL,Jupiter Island,municipality
FL,Kenneth City,municipality
FL,Key Colony Beach,municipality
FL,Keystone Heights,municipality
FL,LaBelle,municipality
FL,Lake City,municipality
FL,Lake Clarke Shores,municipality
FL,Lake Park,municipality
FL,Lantana,municipality
FL,Lauderdale-by-the-Sea,municipality
FL,Lighthouse Point,municipality
FL,Madeira Beach,municipality
FL,Manalapan,municipality
FL,Marianna,municipality
FL,Medley,municipality
FL,Melbourne Beach,municipality
FL,Mexico Beach,municipality
FL,Miami Gardens,municipality
FL,Milton,municipality
FL,Moore Haven,municipality
FL,Neptune Beach,municipality
FL,New Port Richey,municipality
FL,Newberry,municipality
FL,Niceville,municipality
FL,Noma,municipality
FL,North Bay Village,municipality
FL,North Palm Beach,municipality
FL,Ocean Ridge,municipality
FL,Orange City,municipality
FL,Orange Park,municipality
FL,Pahokee,municipality
FL,Palm Bay,municipality
FL,Palm Beach,municipality
FL,Palm Beach Gardens,municipality
FL,Penney Farms,municipality
FL,Port St. Joe,municipality
FL,Sanford,municipality
FL,Sea Ranch Lakes,municipality
FL,Sewall's Point,municipality
FL,Surfside,municipality
FL,Tampa,municipality
FL,Tequesta,municipality
FL,Treasure Island,municipality
FL,Wauchula,municipality
FL,West Miami,municipality
FL,West Park,municipality
FL,Westlake,municipality
FL,Wilton Manors,municipality
FL,Winter Garden,municipality
GA,Acworth,municipality
GA,Adel,municipality
GA,Alamo,municipality
GA,Alpharetta,municipality
GA,Americus,municipality
GA,Arabi,municipality
GA,Argyle,municipality
GA,Arnoldsville,municipality
GA,Atlanta,municipality
GA,Austell,municipality
GA,Barnesville,municipality
GA,Berkeley Lake,municipality
GA,Bowdon,municipality
GA,Brookhaven,municipality
GA,Buckhead,municipality
GA,Buford,municipality
GA,Calhoun,municipality
GA,Carl,municipality
GA,Cartersville,municipality
GA,Centerville,municipality
GA,Centralhatchee,municipality
GA,Chamblee,municipality
GA,Chattahoochee Hills,municipality
GA,Clarkston,municipality
GA,Cochran,municipality
GA,Coolidge,municipality
GA,Covington,municipality
GA,Dacula,municipality
GA,Dalton,municipality
GA,Danielsville,municipality
GA,Decatur,municipality
GA,Donalsonville,municipality
GA,Doraville,municipality
GA,Dublin,municipality
GA,East Point,municipality
GA,Elberton,municipality
GA,Euharlee,municipality
GA,Fairburn,municipality
GA,Fayetteville,municipality
GA,Flovilla,municipality
GA,Flowery Branch,municipality
GA,Forest Park,municipality
GA,Fort Oglethorpe,municipality
GA,Fort Valley,municipality
GA,Franklin Springs,municipality
GA,Griffin,municipality
GA,Grovetown,municipality
GA,Guyton,municipality
GA,Hamilton,municipality
GA,Hampton,municipality
GA,Hartwell,municipality
GA,Helen,municipality
GA,Hogansville,municipality
GA,Holly Springs,municipality
GA,Homer,municipality
GA,Jasper,municipality
GA,Jefferson,municipality
GA,Jesup,municipality
GA,Johns Creek,municipality
GA,Kingsland,municipality
GA,Lake City,municipality
GA,Lake Park,municipality
GA,Lavonia,municipality
GA,Lilburn,municipality
GA,Lone Oak,municipality
GA,Mableton,municipality
GA,Madison,municipality
GA,Marietta,municipality
GA,McDonough,municipality
GA,McIntyre,municipality
GA,Milledgeville,municipality
GA,Millen,municipality
GA,Monroe,municipality
GA,Montezuma,municipality
GA,Morrow,municipality
GA,Moultrie,municipality
GA,Nelson,municipality
GA,Newborn,municipality
GA,Newnan,municipality
GA,Nicholson,municipality
GA,Ocilla,municipality
GA,Oconee,municipality
GA,Oglethorpe,municipality
GA,Oxford,municipality
GA,Patterson,municipality
GA,Pelham,municipality
GA,Perry,municipality
GA,Pine Lake,municipality
GA,Pinehurst,municipality
GA,Pooler,municipality
GA,Port Wentworth,municipality
GA,Poulan,municipality
GA,Powder Springs,municipality
GA,Quitman,municipality
GA,Reidsville,municipality
GA,Resaca,municipality
GA,Rocky Ford,municipality
GA,Rossville,municipality
GA,Sandersville,municipality
GA,Shady Dale,municipality
GA,Sharpsburg,municipality
GA,Snellville,municipality
GA,Social Circle,municipality
GA,St. Marys,municipality
GA,Statham,municipality
GA,Stonecrest,municipality
GA,Sugar Hill,municipality
GA,Sumner,municipality
GA,Suwanee,municipality
GA,Thomaston,municipality
GA,Thomasville,municipality
GA,Thunderbolt,municipality
GA,Tifton,municipality
GA,Toomsboro,municipality
GA,Trion,municipality
GA,Tyrone,municipality
GA,Union Point,municipality
GA,Valdosta,municipality
GA,Vidalia,municipality
GA,Villa Rica,municipality
GA,Waycross,municipality
GA,Whitesburg,municipality
GA,Winder,municipality
GA,Woodstock,municipality
IA,Ackley,municipality
IA,Adel,municipality
IA,Agency,municipality
IA,Albert City,municipality
IA,Albia,municipality
IA,Alden,municipality
IA,Algona,municipality
IA,Alleman,municipality
IA,Allerton,municipality
IA,Alta,municipality
IA,Anamosa,municipality
IA,Andrew,municipality
IA,Aplington,municipality
IA,Asbury,municipality
IA,Avoca,municipality
IA,Bayard,municipality
IA,Bennett,municipality
IA,Bertram,municipality
IA,Bloomfield,municipality
IA,Buffalo,municipality
IA,Burt,municipality
IA,Calamus,municipality
IA,Callender,municipality
IA,Calmar,municipality
IA,Cambridge,municipality
IA,Carlisle,municipality
IA,Carroll,municipality
IA,Carter Lake,municipality
IA,Center Point,municipality
IA,Chariton,municipality
IA,Charter Oak,municipality
IA,Clarence,municipality
IA,Clarinda,municipality
IA,Clarion,municipality
IA,Clear Lake,municipality
IA,Coggon,municipality
IA,Colfax,municipality
IA,Collins,municipality
IA,Colo,municipality
IA,Columbus Junction,municipality
IA,Correctionville,municipality
IA,Corydon,municipality
IA,Creston,municipality
IA,Cumming,municipality
IA,Dayton,municipality
IA,DeWitt,municipality
IA,Decorah,municipality
IA,Delmar,municipality
IA,Denison,municipality
IA,Dike,municipality
IA,Duncombe,municipality
IA,Dunkerton,municipality
IA,Eagle Grove,municipality
IA,Earlham,municipality
IA,Early,municipality
IA,Eldora,municipality
IA,Eldridge,municipality
IA,Elk Horn,municipality
IA,Emmetsburg,municipality
IA,Epworth,municipality
IA,Estherville,municipality
IA,Evansdale,municipality
IA,Fairbank,municipality
IA,Fairfax,municipality
IA,Farmington,municipality
IA,Fertile,municipality
IA,Fontanelle,municipality
IA,Forest City,municipality
IA,Fort Madison,municipality
IA,Fruitland,municipality
IA,Garnavillo,municipality
IA,George,municipality
IA,Gilman,municipality
IA,Gilmore City,municipality
IA,Glenwood,municipality
IA,Goose Lake,municipality
IA,Gowrie,municipality
IA,Graettinger,municipality
IA,Greene,municipality
IA,Grundy Center,municipality
IA,Guttenberg,municipality
IA,Hampton,municipality
IA,Harlan,municipality
IA,Hartley,municipality
IA,Hawkeye,municipality
IA,Hiawatha,municipality
IA,Hinton,municipality
IA,Hudson,municipality
IA,Humboldt,municipality
IA,Huxley,municipality
IA,Ida Grove,municipality
IA,Independence,municipality
IA,Indianola,municipality
IA,Iowa Falls,municipality
IA,Ireton,municipality
IA,Jefferson,municipality
IA,Jesup,municipality
IA,Jewell Junction,municipality
IA,Kanawha,municipality
IA,Keokuk,municipality
IA,Keota,municipality
IA,Knoxville,municipality
IA,Lake City,municipality
IA,Lake Mills,municipality
IA,Lake Park,municipality
IA,Lake View,municipality
IA,Lamont,municipality
IA,Lansing,municipality
IA,Lawler,municipality
IA,Leon,municipality
IA,Lester,municipality
IA,Lisbon,municipality
IA,Little Rock,municipality
IA,Luxemburg,municipality
IA,Madrid,municipality
IA,Manson,municipality
IA,Maquoketa,municipality
IA,Marengo,municipality
IA,Maurice,municipality
IA,Mechanicsville,municipality
IA,Merrill,municipality
IA,Miles,municipality
IA,Milford,municipality
IA,Milo,municipality
IA,Minden,municipality
IA,Monona,municipality
IA,Monticello,municipality
IA,Montrose,municipality
IA,Moravia,municipality
IA,Moulton,municipality
IA,Mount Vernon,municipality
IA,Moville,municipality
IA,Murray,municipality
IA,Nevada,municipality
IA,New Hampton,municipality
IA,New Virginia,municipality
IA,North English,municipality
IA,Ocheyedan,municipality
IA,Oelwein,municipality
IA,Okoboji,municipality
IA,Onawa,municipality
IA,Osage,municipality
IA,Osceola,municipality
IA,Palo,municipality
IA,Perry,municipality
IA,Pilot Mound,municipality
IA,Pleasantville,municipality
IA,Pocahontas,municipality
IA,Polk City,municipality
IA,Red Oak,municipality
IA,Redfield,municipality
IA,Ringsted,municipality
IA,Robins,municipality
IA,Rock Rapids,municipality
IA,Rock Valley,municipality
IA,Rockwell,municipality
IA,Rolfe,municipality
IA,Ruthven,municipality
IA,Salix,municipality
IA,Schaller,municipality
IA,Sergeant Bluff,municipality
IA,Sheldon,municipality
IA,Shell Rock,municipality
IA,Shellsburg,municipality
IA,Shenandoah,municipality
IA,Sidney,municipality
IA,Sioux Center,municipality
IA,Sloan,municipality
IA,Spirit Lake,municipality
IA,St. Ansgar,municipality
IA,St. Charles,municipality
IA,Stanhope,municipality
IA,Story City,municipality
IA,Templeton,municipality
IA,Tiffin,municipality
IA,Titonka,municipality
IA,University Heights,municipality
IA,Van Meter,municipality
IA,Victor,municipality
IA,Vinton,municipality
IA,Walcott,municipality
IA,Waukon,municipality
IA,Waverly,municipality
IA,Webb,municipality
IA,Webster City,municipality
IA,Wellman,municipality
IA,Wellsburg,municipality
IA,West Bend,municipality
IA,West Branch,municipality
IA,West Okoboji,municipality
IA,Westgate,municipality
IA,Whiting,municipality
IA,Winterset,municipality
IA,Worthington,municipality
ID,American Falls,municipality
ID,Arco,municipality
ID,Athol,municipality
ID,Blackfoot,municipality
ID,Bloomington,municipality
ID,Boise City,municipality
ID,Buhl,municipality
ID,Chubbuck,municipality
ID,Clark Fork,municipality
ID,Council,municipality
ID,Craigmont,municipality
ID,Driggs,municipality
ID,Dubois,municipality
ID,Fernan Lake Village,municipality
ID,Fruitland,municipality
ID,Genesee,municipality
ID,Georgetown,municipality
ID,Grand View,municipality
ID,Grangeville,municipality
ID,Hailey,municipality
ID,Hauser,municipality
ID,Hayden,municipality
ID,Heyburn,municipality
ID,Idaho City,municipality
ID,Idaho Falls,municipality
ID,Inkom,municipality
ID,Jerome,municipality
ID,Lava Hot Springs,municipality
ID,Mackay,municipality
ID,Malad City,municipality
ID,Meridian,municipality
ID,Montpelier,municipality
ID,Moore,municipality
ID,New Meadows,municipality
ID,Orofino,municipality
ID,Payette,municipality
ID,Ponderay,municipality
ID,Post Falls,municipality
ID,Preston,municipality
ID,Richfield,municipality
ID,Rigby,municipality
ID,Roberts,municipality
ID,Rupert,municipality
ID,Sandpoint,municipality
ID,Shelley,municipality
ID,Shoshone,municipality
ID,Sun Valley,municipality
ID,Teton,municipality
ID,Tetonia,municipality
ID,Wallace,municipality
ID,Weiser,municipality
ID,Wendell,municipality
IL,Addison,municipality
IL,Albers,municipality
IL,Aledo,municipality
IL,Algonquin,municipality
IL,Alsip,municipality
IL,Altamont,municipality
IL,Alton,municipality
IL,Andalusia,municipality
IL,Anna,municipality
IL,Annawan,municipality
IL,Ashmore,municipality
IL,Assumption,municipality
IL,Auburn,municipality
IL,Aviston,municipality
IL,Barrington,municipality
IL,Barrington Hills,municipality
IL,Bartonville,municipality
IL,Beach Park,municipality
IL,Beckemeyer,municipality
IL,Bedford Park,municipality
IL,Beecher,municipality
IL,Bellflower,municipality
IL,Bellwood,municipality
IL,Belvidere,municipality
IL,Benton,municipality
IL,Berwyn,municipality
IL,Bethalto,municipality
IL,Bloom,municipality
IL,Bloomington City,municipality
IL,Bourbonnais,municipality
IL,Bradford,municipality
IL,Bradley,municipality
IL,Braidwood,municipality
IL,Breese,municipality
IL,Bremen,municipality
IL,Bridgeview,municipality
IL,Brimfield,municipality
IL,Broadview,municipality
IL,Brookfield,municipality
IL,Buffalo Grove,municipality
IL,Bunker Hill,municipality
IL,Burnham,municipality
IL,Burr Ridge,municipality
IL,Byron,municipality
IL,Cahokia Heights,municipality
IL,Caledonia,municipality
IL,Calumet,municipality
IL,Camargo,municipality
IL,Campton,municipality
IL,Campton Hills,municipality
IL,Canteen,municipality
IL,Canton,municipality
IL,Capital,municipality
IL,Carlinville,municipality
IL,Carlock,municipality
IL,Carterville,municipality
IL,Cary,municipality
IL,Casey,municipality
IL,Caseyville,municipality
IL,Centralia,municipality
IL,Cerro Gordo,municipality
IL,Chadwick,municipality
IL,Champaign,municipality
IL,Champaign City,municipality
IL,Channahon,municipality
IL,Charleston,municipality
IL,Chebanse,municipality
IL,Cherry Valley,municipality
IL,Chillicothe,municipality
IL,Cicero,municipality
IL,Clifton,municipality
IL,Coal Valley,municipality
IL,Colchester,municipality
IL,Collinsville,municipality
IL,Colona,municipality
IL,Colp,municipality
IL,Cortland,municipality
IL,Country Club Hills,municipality
IL,Crest Hill,municipality
IL,Crestwood,municipality
IL,Crete,municipality
IL,Cuba,municipality
IL,Curran,municipality
IL,Dakota,municipality
IL,Dawson,municipality
IL,De Soto,municipality
IL,Deer Park,municipality
IL,Dolton,municipality
IL,Dorr,municipality
IL,Downers Grove,municipality
IL,Downs,municipality
IL,Dry Grove,municipality
IL,Du Page,municipality
IL,Dundee,municipality
IL,Dupo,municipality
IL,Earlville,municipality
IL,East Alton,municipality
IL,East Dundee,municipality
IL,East St. Louis,municipality
IL,Edwardsville,municipality
IL,Effingham,municipality
IL,El Paso,municipality
IL,Elburn,municipality
IL,Elgin,municipality
IL,Elk Grove,municipality
IL,Elkhart,municipality
IL,Elmhurst,municipality
IL,Elmwood,municipality
IL,Elmwood Park,municipality
IL,Elwood,municipality
IL,Energy,municipality
