figure_id,title,caption,word_count,category
mechanism-salary-range-change,Salary Range Change,"This map shows 12 distinct documented salary range change implementation events across 12 municipalities in 5 states. A change to the minimum, maximum, or span of a salary range. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",62,complete
mechanism-settlement-or-mou,Settlement Or MOU,"This map shows 58 distinct documented settlement or mou implementation events across 48 municipalities in 19 states. A settlement or memorandum of understanding that changed compensation terms. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",60,complete
mechanism-step-progression,Step Progression,"This map shows 87 distinct documented step progression implementation events across 74 municipalities in 18 states. Movement through a salary schedule based on steps, service, rank, or progression rules. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",62,complete
mechanism-stipend-or-premium,Stipend Or Premium,"This map shows 62 distinct documented stipend or premium implementation events across 52 municipalities in 15 states. A supplemental payment for assignments, qualifications, shifts, or special duties. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",60,complete
mechanism-unclear,Unclear,"This map shows 140 distinct documented unclear implementation events across 127 municipalities in 19 states. The retained evidence points to a compensation event but does not identify the mechanism clearly. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",63,complete
mechanism-uniform-or-equipment-allowance,Uniform Or Equipment Allowance,"This map shows 68 distinct documented uniform or equipment allowance implementation events across 56 municipalities in 13 states. A payment for required uniforms, equipment, maintenance, or related costs. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",61,complete
mechanism-vacancy-pressure,Vacancy Pressure,"This map shows 8 distinct documented vacancy pressure implementation events across 8 municipalities in 4 states. Unfilled positions or vacancy conditions cited in compensation or staffing decisions. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",60,complete
claim-card-claim-a,Formal bargaining institutions shape compensation terms,"I classify this claim as mechanism supported only. In the reviewed corpus, formal bargaining, arbitration, and factfinding provide recurring institutional channels that can set or preserve safety-compensation terms. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",79,complete
claim-card-claim-b,Scheduled growth mechanisms can differ by occupation,"I classify this claim as conditionally supported. The reviewed documentary corpus contains recurring step, seniority, rank, and COLA structures; comparative growth implications remain sample-specific. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",75,complete
claim-card-claim-c,Non-base pay creates additional compensation channels,"I classify this claim as mechanism supported only. Reviewed safety-compensation records contain structured non-base channels—including overtime, holiday, longevity, premium, stipend, and allowance provisions—that can raise compensation beyond base pay. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",82,complete
claim-card-claim-d,Staffing pressure can enter compensation decisions,"I classify this claim as mechanism supported only. Reviewed sources explicitly use recruitment, retention, comparator, vacancy, and staffing pressure to justify schedule changes or targeted premiums in some public-safety settings. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",81,complete
claim-card-claim-e,Retroactivity can turn delay into back pay,"I classify this claim as mechanism supported only. Reviewed records show that retroactive effective dates and implementation clauses can convert some bargaining delays into payable increases or back pay. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",80,complete
claim-card-claim-f,Budgets and ordinances formalize or constrain pay,"I classify this claim as mechanism supported only. Reviewed ordinances, budgets, pay plans, and classification records show how compensation proposals can be formalized or constrained by fiscal institutions. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",79,complete
claim-card-claim-g,The safety and non-safety pattern is mixed,"I classify this claim as mixed or countervailing. Safety and non-safety units both use formal compensation-growth mechanisms; the comparative pattern in reviewed records is mixed. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",76,complete
claim-card-claim-h,The evidence supports a bounded mechanism account,"I classify this claim as supported. The reviewed corpus supports a bounded account of mechanisms and directional pressures affecting safety compensation more strongly than it supports any global wage-gap, prevalence, or causal-effect estimate. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",84,complete
claim-card-unsup-01,A national safety wage gap is not established,"I classify this claim as unsupported. A national safety wage-gap estimate is not supported by the current corpus. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",69,complete
claim-card-unsup-02,National mechanism prevalence is not established,"I classify this claim as unsupported. A national prevalence estimate for any compensation mechanism is not supported by the current corpus. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",72,complete
claim-card-unsup-03,A causal effect is not established,"I classify this claim as unsupported. A causal effect estimate for any compensation mechanism is not supported by the current design. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",72,complete
claim-card-unsup-04,A regression result is not available,"I classify this claim as unsupported. No regression-based claim is supported because no regression-ready design passed the gate and no regression was run. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",74,complete
claim-card-unsup-05,A fixed safety growth advantage is not established,"I classify this claim as unsupported. A precise claim that safety wages grow a fixed percentage faster is not supported by the available matched evidence. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",76,complete
claim-card-unsup-06,Mechanisms do not prove a wage difference,"I classify this claim as unsupported. The evidence does not establish that a documented mechanism caused an observed wage difference. The broader evidence can add context or direction, but it cannot erase the strict evidence boundary. The main limit is unsearched, storage-held, conflict, linkage, compatibility, and independent-human-review limits remain. This card states what I can use in the report and what I must not turn into a national or causal conclusion.",71,complete
analytical-design-limits,Analytical-design limits,"Only 3 of 16 regression-readiness gates passed. I therefore did not run a regression, estimate a national safety wage gap, estimate mechanism prevalence, or claim a causal effect. A larger row count would not repair unclear units, incompatible pay measures, missing controls, or repeated-event ambiguity. These are design failures, not merely small-sample problems. The correct result is therefore that the model was not design-ready, not a zero effect or evidence that the mechanisms do not matter.",76,complete
comparability-limits,Comparability limits,"The project found extensive payroll, budget, and staffing material, but 1,523,558 reconciled observations still lacked a defensible safety or non-safety side. Pay basis, compensation basis, conflicts, identity, and timing created additional holds. That is why the external layer produced zero compatible wage matches, growth pairs, vacancy rates, overtime shares, or total-compensation sums. The constraint was compatible analytical units, not a lack of documents. Broader rules recovered local and directional evidence, but they still did not create a representative cross-occupation panel.",82,complete
coverage-representativeness-limits,Coverage and representativeness limits,"Geographic coverage is uneven across states and compensation mechanisms. The canonical crosswalk identifies 468 urban municipalities, 682 rural municipalities, and 290 with unknown urbanicity. Local comparisons remain local, and mechanism maps show where documented events appear—not how common a process is among all municipalities. Without an eligible-universe denominator, geographic density cannot support prevalence claims. The unknown and uneven cells stay visible rather than being inferred from neighboring municipalities or better-covered states.",72,complete
evidence-discovery-limits,Evidence discovery limits,"I began with 18,689 intended residual search targets. The local workflow completed or resolved 5,845, while 12,844 remained unsearched after the hosted-search backend stopped returning sources. Unsearched means unknown: it does not mean that no relevant evidence exists. This gap reduces completeness and prevents national generalization, but it does not erase findings supported by sources already retained and reviewed. The practical consequence is a ceiling on coverage: I can describe what the reviewed sources show, but I cannot assume the unseen targets would confirm the same pattern.",90,complete
extraction-limits,Extraction limits,"The project inspected 14,703 retained-source records. Of 14,257 extraction-ready records, 14,160 produced usable extracted payloads; 118 PDFs were set aside for later OCR and 97 records required extraction repair. These are explicit availability limits, not silently imputed documents. The usable corpus is large, but claims that depend on the excluded records remain less complete. I kept these categories separate so a failed extraction could not be mistaken for a source that contained no relevant evidence.",78,complete
failed-attempts-repair-timeline,Attempts that did not work—and what changed,"The workflow was not linear. Hosted search became source-less, storage reached its ceiling, large checkpoints strained memory, and raw extraction overproduced noisy records. Strict matching then returned zero external wage and growth matches; a broader bounded redesign recovered usable directional evidence but did not upgrade any claim class. Regression still failed readiness, and external GABRIEL scoring did not run. Each failure changed the method while preserving earlier results. The repairs improved reliability and evidence use, but they could not recover information that the available sources did not contain.",88,complete
final-evidence-boundary,What the evidence still supports,"The final evidence supports one bounded claim, one conditional claim, five compensation-mechanism claims, a mixed finding, staffing and implementation patterns, local examples, documentary growth patterns, and administrative corroboration. It does not establish a national wage gap, a nationally representative safety growth advantage, mechanism prevalence, a regression estimate, or a causal effect. That boundary is the project’s result, not an omitted final step. This distinction keeps the final package useful without letting a large corpus substitute for the comparison design the strongest claims require.",84,complete
raw-to-compacted-limits,Raw extraction and compaction,"Automated field recovery produced 5,558,770 raw field hits and 4,289,437 raw spans. Compaction reduced that material to 1,876,183 administrative observations—a 66.25% reduction in field records—by removing duplication, boilerplate, and structurally unusable material. More extracted rows did not mean more independent facts. The compact observations still preserve many-to-many source lineage and cannot be read as event prevalence. This reduction was necessary to prevent repeated source fragments from inflating the apparent amount or strength of evidence.",83,complete
review-limits,Review limits,"New administrative evidence was classified with deterministic local rules and bounded semantic AI review; it was not scored by GABRIEL. That review improves traceability but is not independent human gold coding. The project also preserved 201 unresolved high-impact conflicts rather than choosing convenient values. Those conflicts are visible as a limitation and excluded from clean headline calculations. Independent human review of the most consequential records would strengthen confidence, especially where wording or source version remains disputed.",76,complete
storage-retention-limits,Storage and source-retention limits,"The review pipeline identified 49,294 source-ready locators, retained 14,449 unique payloads under a 30 GiB ceiling, and held 7,895 verified sources for possible later recovery. Another 24,569 low-value context sources were deferred. The storage limit therefore shaped which evidence could enter later stages. It does not indicate that held sources favor either side, and this atlas does not treat them as observed evidence. A targeted recovery remains possible later, but final adjudication found that no held-source tranche was required to produce the present bounded claims or visuals.",91,complete
error-recovery-timeline,"Errors, interruptions, and recovery","The pipeline encountered a dirty-worktree blocker, a source-less hosted-search backend, oversized checkpoints, overlapping preparation work, invalid gzip files, a storage ceiling, extraction overproduction, overly strict promotion gates, and dashboard deployment problems. The response was not to hide failed work. I preserved completed artifacts, quarantined invalid files, replaced fragile checkpoints, separated strict and bounded evidence, and repaired deployment. Some limits remained: no additional hosted search, no external GABRIEL scoring, and no defensible regression. The key recovery principle was to resume from accepted checkpoints and repair only the affected module. That preserved valid earlier work while preventing a failed source, process, or analytical rule from silently contaminating later outputs.",107,complete
full-workflow-overview,How the evidence moved through the project,"I directed a staged workflow from scouting and verification through retention, extraction, compaction, reconciliation, mathematical analysis, semantic review, bounded reanalysis, claim adjudication, and visual production. Each stage narrowed the usable evidence while preserving source lineage and exclusions. The process is long because the research question requires matched occupations within the same city and compensation cycle. No later stage was allowed to turn unmatched administrative material into a clean wage comparison. At each transition, deterministic checks recorded the analytical unit, exclusions, denominator, source coordinates, and whether the evidence was strict, bounded, directional, contextual, or rejected. Those controls make the result reproducible while keeping later interpretation tied to the evidence that actually survived each gate.",113,complete
human-ai-division-of-work,Human and AI roles,"I set the research question, evidence standards, priorities, corrections, and final judgment. ChatGPT helped design orchestration prompts, analytical frameworks, validation gates, and report structure. Codex executed local scripts, five-lane runs, checkpointing, validation, and artifact generation. GABRIEL scored earlier documentary evidence where available. When API capacity blocked new external scoring, deterministic local rules processed explicit administrative fields. The AI work remained bounded by my direction and is not a substitute for independent human validation. This division matters because the systems handled volume and reproducibility, while the research design, standards, and judgment remained human-directed. I did not manually review millions of records, and I did not accept model output without iterative correction and validation.",112,complete
strict-bounded-evidence-lanes,Strict and broader evidence lanes,"I kept five evidence outcomes separate. Strict evidence supports exact, claim-safe statements. Bounded evidence permits compatible comparisons with explicit caveats. Directional evidence supports mechanisms or direction without a precise magnitude. Context records explain the setting, while rejected records do not support claims. The broader redesign recovered useful evidence without rewriting the strict baseline. It strengthened five claims within their existing class, made one claim more mixed, and produced no claim-class upgrades. The same admission rules applied to supporting and countervailing evidence. A broader record could strengthen context or mechanism interpretation, but directional evidence could not become a precise wage estimate and unresolved direction-changing conflicts remained excluded.",106,complete
