mechanism_tag,mechanism_name,mechanism_family,valid_deduplicated_event_count,municipality_count,state_count,safety_event_count,non_safety_event_count,unclear_or_other_event_count,display_tier,definition,analytical_unit,caption,figure_id,lane_id,png_path,svg_path,thumbnail_path,bounded_source_table,caption_word_count,source,map_projection,hex_radius_km,qa_status
comparability_parity,Comparability Parity,pressure_channel,6,6,5,4,0,2,small_multiple,"Compensation linked to comparison with another role, unit, or jurisdiction.",deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 6 distinct documented comparability parity implementation events across 6 municipalities in 5 states. Compensation linked to comparison with another role, unit, or jurisdiction. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-comparability-parity,3,assets/mechanisms/mechanism-comparability-parity.png,assets/mechanisms/mechanism-comparability-parity.svg,assets/thumbnails/mechanism-comparability-parity.png,data/mechanism-comparability-parity.csv,59,Canonical mechanism-event geography,EPSG:5070,50,pass
contract_ratification,Contract Ratification,timing_implementation,9,9,6,5,1,3,small_multiple,Formal approval of negotiated contract terms by the relevant parties.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 9 distinct documented contract ratification implementation events across 9 municipalities in 6 states. Formal approval of negotiated contract terms by the relevant parties. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-contract-ratification,3,assets/mechanisms/mechanism-contract-ratification.png,assets/mechanisms/mechanism-contract-ratification.svg,assets/thumbnails/mechanism-contract-ratification.png,data/mechanism-contract-ratification.csv,59,Canonical mechanism-event geography,EPSG:5070,50,pass
fiscal_constraint,Fiscal Constraint,pressure_channel,619,395,33,152,69,398,standalone,Budget pressure or limited fiscal capacity that constrained compensation choices.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 619 distinct documented fiscal constraint implementation events across 395 municipalities in 33 states. Budget pressure or limited fiscal capacity that constrained compensation choices. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-fiscal-constraint,1,assets/mechanisms/mechanism-fiscal-constraint.png,assets/mechanisms/mechanism-fiscal-constraint.svg,assets/thumbnails/mechanism-fiscal-constraint.png,data/mechanism-fiscal-constraint.csv,59,Canonical mechanism-event geography,EPSG:5070,50,pass
holiday_pay,Holiday Pay,compensation_outcome,22,19,9,13,1,8,small_multiple,Premium or additional compensation for holidays.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 22 distinct documented holiday pay implementation events across 19 municipalities in 9 states. Premium or additional compensation for holidays. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-holiday-pay,3,assets/mechanisms/mechanism-holiday-pay.png,assets/mechanisms/mechanism-holiday-pay.svg,assets/thumbnails/mechanism-holiday-pay.png,data/mechanism-holiday-pay.csv,55,Canonical mechanism-event geography,EPSG:5070,50,pass
inflation_indexing,Inflation Indexing,pressure_channel,31,22,8,21,0,10,standalone,A compensation rule explicitly linked to inflation or an index.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 31 distinct documented inflation indexing implementation events across 22 municipalities in 8 states. A compensation rule explicitly linked to inflation or an index. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-inflation-indexing,2,assets/mechanisms/mechanism-inflation-indexing.png,assets/mechanisms/mechanism-inflation-indexing.svg,assets/thumbnails/mechanism-inflation-indexing.png,data/mechanism-inflation-indexing.csv,59,Canonical mechanism-event geography,EPSG:5070,50,pass
interest_arbitration,Interest Arbitration,institutional_channel,1,1,1,1,0,0,sparse,A neutral decision process that resolves bargaining impasses over contract terms.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"I found 1 documented interest arbitration implementation event across 1 municipality in 1 state. A neutral decision process that resolves bargaining impasses over contract terms. The evidence is too sparse for a density pattern, so I show the exact locations instead. This establishes that the mechanism appears in the retained evidence; it does not show how common it is or how much it changed wages.",mechanism-interest-arbitration,3,assets/mechanisms/mechanism-interest-arbitration.png,assets/mechanisms/mechanism-interest-arbitration.svg,assets/thumbnails/mechanism-interest-arbitration.png,data/mechanism-interest-arbitration.csv,65,Canonical mechanism-event geography,EPSG:5070,50,pass
longevity,Longevity,compensation_outcome,40,35,13,18,1,21,standalone,Additional compensation tied to years of service.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 40 distinct documented longevity implementation events across 35 municipalities in 13 states. Additional compensation tied to years of service. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-longevity,2,assets/mechanisms/mechanism-longevity.png,assets/mechanisms/mechanism-longevity.svg,assets/thumbnails/mechanism-longevity.png,data/mechanism-longevity.csv,55,Canonical mechanism-event geography,EPSG:5070,50,pass
lump_sum,Lump Sum,compensation_outcome,18,16,6,14,0,4,small_multiple,A single lump-sum payment rather than a recurring wage-rate increase.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 18 distinct documented lump sum implementation events across 16 municipalities in 6 states. A single lump-sum payment rather than a recurring wage-rate increase. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-lump-sum,3,assets/mechanisms/mechanism-lump-sum.png,assets/mechanisms/mechanism-lump-sum.svg,assets/thumbnails/mechanism-lump-sum.png,data/mechanism-lump-sum.csv,59,Canonical mechanism-event geography,EPSG:5070,50,pass
market_recruitment_retention,Market Recruitment Retention,pressure_channel,44,35,16,17,5,22,standalone,"Pay action justified by labor-market competition, hiring, or retention pressure.",deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 44 distinct documented market recruitment retention implementation events across 35 municipalities in 16 states. Pay action justified by labor-market competition, hiring, or retention pressure. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-market-recruitment-retention,2,assets/mechanisms/mechanism-market-recruitment-retention.png,assets/mechanisms/mechanism-market-recruitment-retention.svg,assets/thumbnails/mechanism-market-recruitment-retention.png,data/mechanism-market-recruitment-retention.csv,60,Canonical mechanism-event geography,EPSG:5070,50,pass
no_direct_compensation_outcome,No Direct Compensation Outcome,compensation_outcome,544,375,28,142,60,342,standalone,A documented administrative event without a direct pay outcome in the retained evidence.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 544 distinct documented no direct compensation outcome implementation events across 375 municipalities in 28 states. A documented administrative event without a direct pay outcome in the retained evidence. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-no-direct-compensation-outcome,1,assets/mechanisms/mechanism-no-direct-compensation-outcome.png,assets/mechanisms/mechanism-no-direct-compensation-outcome.svg,assets/thumbnails/mechanism-no-direct-compensation-outcome.png,data/mechanism-no-direct-compensation-outcome.csv,64,Canonical mechanism-event geography,EPSG:5070,50,pass
non_base_compensation_other,Non Base Compensation Other,compensation_outcome,292,195,18,174,12,106,standalone,Compensation outside regular base wages that did not fit a more specific category.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 292 distinct documented non base compensation other implementation events across 195 municipalities in 18 states. Compensation outside regular base wages that did not fit a more specific category. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-non-base-compensation-other,1,assets/mechanisms/mechanism-non-base-compensation-other.png,assets/mechanisms/mechanism-non-base-compensation-other.svg,assets/thumbnails/mechanism-non-base-compensation-other.png,data/mechanism-non-base-compensation-other.csv,64,Canonical mechanism-event geography,EPSG:5070,50,pass
none_identified,None Identified,pressure_channel,3694,1156,42,1672,128,1894,standalone,No specific compensation mechanism was identified in the retained event record.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 3,694 distinct documented none identified implementation events across 1,156 municipalities in 42 states. No specific compensation mechanism was identified in the retained event record. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-none-identified,1,assets/mechanisms/mechanism-none-identified.png,assets/mechanisms/mechanism-none-identified.svg,assets/thumbnails/mechanism-none-identified.png,data/mechanism-none-identified.csv,62,Canonical mechanism-event geography,EPSG:5070,50,pass
one_time,One Time,timing_implementation,299,242,25,139,10,150,standalone,A payment or adjustment that does not recur in the regular base schedule.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 299 distinct documented one time implementation events across 242 municipalities in 25 states. A payment or adjustment that does not recur in the regular base schedule. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-one-time,1,assets/mechanisms/mechanism-one-time.png,assets/mechanisms/mechanism-one-time.svg,assets/thumbnails/mechanism-one-time.png,data/mechanism-one-time.csv,62,Canonical mechanism-event geography,EPSG:5070,50,pass
ordinance_adoption,Ordinance Adoption,timing_implementation,206,188,35,50,12,144,standalone,Formal adoption of compensation terms through an ordinance.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 206 distinct documented ordinance adoption implementation events across 188 municipalities in 35 states. Formal adoption of compensation terms through an ordinance. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-ordinance-adoption,1,assets/mechanisms/mechanism-ordinance-adoption.png,assets/mechanisms/mechanism-ordinance-adoption.svg,assets/thumbnails/mechanism-ordinance-adoption.png,data/mechanism-ordinance-adoption.csv,57,Canonical mechanism-event geography,EPSG:5070,50,pass
ordinance_council_adoption,Ordinance Council Adoption,institutional_channel,255,221,33,61,17,177,standalone,A council or ordinance action formally approving a compensation change.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 255 distinct documented ordinance council adoption implementation events across 221 municipalities in 33 states. A council or ordinance action formally approving a compensation change. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-ordinance-council-adoption,1,assets/mechanisms/mechanism-ordinance-council-adoption.png,assets/mechanisms/mechanism-ordinance-council-adoption.svg,assets/thumbnails/mechanism-ordinance-council-adoption.png,data/mechanism-ordinance-council-adoption.csv,60,Canonical mechanism-event geography,EPSG:5070,50,pass
overtime,Overtime,compensation_outcome,38,36,15,15,2,21,standalone,Compensation for hours or duties beyond regular schedules.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 38 distinct documented overtime implementation events across 36 municipalities in 15 states. Compensation for hours or duties beyond regular schedules. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-overtime,2,assets/mechanisms/mechanism-overtime.png,assets/mechanisms/mechanism-overtime.svg,assets/thumbnails/mechanism-overtime.png,data/mechanism-overtime.csv,56,Canonical mechanism-event geography,EPSG:5070,50,pass
payroll_effective_date,Payroll Effective Date,timing_implementation,1876,1119,42,786,105,985,standalone,The date a compensation change became operative in payroll administration.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 1,876 distinct documented payroll effective date implementation events across 1,119 municipalities in 42 states. The date a compensation change became operative in payroll administration. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-payroll-effective-date,1,assets/mechanisms/mechanism-payroll-effective-date.png,assets/mechanisms/mechanism-payroll-effective-date.svg,assets/thumbnails/mechanism-payroll-effective-date.png,data/mechanism-payroll-effective-date.csv,62,Canonical mechanism-event geography,EPSG:5070,50,pass
recurring,Recurring,timing_implementation,720,515,35,337,27,356,standalone,A compensation component that continues rather than ending after one payment.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 720 distinct documented recurring implementation events across 515 municipalities in 35 states. A compensation component that continues rather than ending after one payment. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-recurring,1,assets/mechanisms/mechanism-recurring.png,assets/mechanisms/mechanism-recurring.svg,assets/thumbnails/mechanism-recurring.png,data/mechanism-recurring.csv,59,Canonical mechanism-event geography,EPSG:5070,50,pass
reimbursement,Reimbursement,compensation_outcome,7,6,4,2,1,4,small_multiple,Repayment of eligible work-related expenses rather than ordinary wages.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 7 distinct documented reimbursement implementation events across 6 municipalities in 4 states. Repayment of eligible work-related expenses rather than ordinary wages. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-reimbursement,3,assets/mechanisms/mechanism-reimbursement.png,assets/mechanisms/mechanism-reimbursement.svg,assets/thumbnails/mechanism-reimbursement.png,data/mechanism-reimbursement.csv,57,Canonical mechanism-event geography,EPSG:5070,50,pass
retroactive_pay,Retroactive Pay,compensation_outcome,1418,922,42,597,52,769,standalone,Back pay issued after a compensation term took effect or was settled.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 1,418 distinct documented retroactive pay implementation events across 922 municipalities in 42 states. Back pay issued after a compensation term took effect or was settled. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-retroactive-pay,1,assets/mechanisms/mechanism-retroactive-pay.png,assets/mechanisms/mechanism-retroactive-pay.svg,assets/thumbnails/mechanism-retroactive-pay.png,data/mechanism-retroactive-pay.csv,62,Canonical mechanism-event geography,EPSG:5070,50,pass
retroactive,Retroactive,timing_implementation,1418,922,42,597,52,769,standalone,A compensation change applied to an earlier effective period.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 1,418 distinct documented retroactive implementation events across 922 municipalities in 42 states. A compensation change applied to an earlier effective period. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-retroactive,1,assets/mechanisms/mechanism-retroactive.png,assets/mechanisms/mechanism-retroactive.svg,assets/thumbnails/mechanism-retroactive.png,data/mechanism-retroactive.csv,58,Canonical mechanism-event geography,EPSG:5070,50,pass
salary_range_change,Salary Range Change,compensation_outcome,12,12,5,2,0,10,small_multiple,"A change to the minimum, maximum, or span of a salary range.",deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 12 distinct documented salary range change implementation events across 12 municipalities in 5 states. A change to the minimum, maximum, or span of a salary range. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-salary-range-change,3,assets/mechanisms/mechanism-salary-range-change.png,assets/mechanisms/mechanism-salary-range-change.svg,assets/thumbnails/mechanism-salary-range-change.png,data/mechanism-salary-range-change.csv,62,Canonical mechanism-event geography,EPSG:5070,50,pass
settlement_or_mou,Settlement Or MOU,institutional_channel,58,48,19,27,4,27,standalone,A settlement or memorandum of understanding that changed compensation terms.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 58 distinct documented settlement or mou implementation events across 48 municipalities in 19 states. A settlement or memorandum of understanding that changed compensation terms. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-settlement-or-mou,2,assets/mechanisms/mechanism-settlement-or-mou.png,assets/mechanisms/mechanism-settlement-or-mou.svg,assets/thumbnails/mechanism-settlement-or-mou.png,data/mechanism-settlement-or-mou.csv,60,Canonical mechanism-event geography,EPSG:5070,50,pass
step_progression,Step Progression,compensation_outcome,87,74,18,45,7,35,standalone,"Movement through a salary schedule based on steps, service, rank, or progression rules.",deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 87 distinct documented step progression implementation events across 74 municipalities in 18 states. Movement through a salary schedule based on steps, service, rank, or progression rules. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-step-progression,2,assets/mechanisms/mechanism-step-progression.png,assets/mechanisms/mechanism-step-progression.svg,assets/thumbnails/mechanism-step-progression.png,data/mechanism-step-progression.csv,62,Canonical mechanism-event geography,EPSG:5070,50,pass
stipend_or_premium,Stipend Or Premium,compensation_outcome,62,52,15,30,1,31,standalone,"A supplemental payment for assignments, qualifications, shifts, or special duties.",deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 62 distinct documented stipend or premium implementation events across 52 municipalities in 15 states. A supplemental payment for assignments, qualifications, shifts, or special duties. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-stipend-or-premium,2,assets/mechanisms/mechanism-stipend-or-premium.png,assets/mechanisms/mechanism-stipend-or-premium.svg,assets/thumbnails/mechanism-stipend-or-premium.png,data/mechanism-stipend-or-premium.csv,60,Canonical mechanism-event geography,EPSG:5070,50,pass
unclear,Unclear,timing_implementation,140,127,19,55,12,73,standalone,The retained evidence points to a compensation event but does not identify the mechanism clearly.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 140 distinct documented unclear implementation events across 127 municipalities in 19 states. The retained evidence points to a compensation event but does not identify the mechanism clearly. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-unclear,1,assets/mechanisms/mechanism-unclear.png,assets/mechanisms/mechanism-unclear.svg,assets/thumbnails/mechanism-unclear.png,data/mechanism-unclear.csv,63,Canonical mechanism-event geography,EPSG:5070,50,pass
uniform_or_equipment_allowance,Uniform Or Equipment Allowance,compensation_outcome,68,56,13,36,4,28,standalone,"A payment for required uniforms, equipment, maintenance, or related costs.",deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 68 distinct documented uniform or equipment allowance implementation events across 56 municipalities in 13 states. A payment for required uniforms, equipment, maintenance, or related costs. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-uniform-or-equipment-allowance,2,assets/mechanisms/mechanism-uniform-or-equipment-allowance.png,assets/mechanisms/mechanism-uniform-or-equipment-allowance.svg,assets/thumbnails/mechanism-uniform-or-equipment-allowance.png,data/mechanism-uniform-or-equipment-allowance.csv,61,Canonical mechanism-event geography,EPSG:5070,50,pass
vacancy_pressure,Vacancy Pressure,pressure_channel,8,8,4,2,2,4,small_multiple,Unfilled positions or vacancy conditions cited in compensation or staffing decisions.,deduplicated municipality × compensation cycle × compensation mechanism × side implementation event,"This map shows 8 distinct documented vacancy pressure implementation events across 8 municipalities in 4 states. Unfilled positions or vacancy conditions cited in compensation or staffing decisions. The geography matters because it locates the process in the retained evidence. Darker areas contain more events, not more workers or larger wage effects, and the map is not a national prevalence estimate.",mechanism-vacancy-pressure,3,assets/mechanisms/mechanism-vacancy-pressure.png,assets/mechanisms/mechanism-vacancy-pressure.svg,assets/thumbnails/mechanism-vacancy-pressure.png,data/mechanism-vacancy-pressure.csv,60,Canonical mechanism-event geography,EPSG:5070,50,pass
