independent_review_item_id,review_scope_type,source_group_or_record_id,extraction_case_id,source_observation_ids,linked_observation_ids,bounded_evidence_pointer,prior_status,independent_outcome,review_status,provenance_preserved,bounded_pointer_valid,ambiguity_preserved,count_check,hash_check,reason_codes,short_basis
ibr1826_6b3a8b852d8ab00ea296efec,newly_canonicalized_duplicate,nobsqa1000_d510dc349afb469075c628a9,cex_3ecfd7b90b64dd24f259e7e4,nobsqa1000_d510dc349afb469075c628a9,nobsqa1000_abff138ab419a97147fbb82f,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0051_sr_d19d96bb44c9cfe754395f5b.pdf#page=15,canonicalized_duplicate,verified_canonical_link,pass,true,true,false,not_applicable,not_applicable,DUPLICATE_CANONICAL_PROVENANCE_PRESERVED,The duplicate remains a separate provenance row linked to an existing canonical observation.
ibr1826_9885400978957bf9163d7f29,duplicate_provenance_row,qobs_0f2a8f945560bb540cbaf13b,cex1000_f1be36d33fcf1c3839e8a97b,qobs_0f2a8f945560bb540cbaf13b,qobs_698c36b2be5198d4fbeef9e1,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0156_sr_9061457f4f218c9f440ac688.pdf#page=13,duplicate_provenance_preserved,verified_provenance_row,pass,true,true,false,not_applicable,not_applicable,DUPLICATE_ROW_AND_CANONICAL_TARGET_PRESERVED,The provenance row retains a unique observation ID and points to an existing canonical observation.
ibr1826_bba52fd7394f85254fb0dd76,duplicate_provenance_row,nobsqa_571713b550193cb15986fce7,cex_77ffcd4d041b6c73434fb34f,nobsqa_571713b550193cb15986fce7,nobsqa_d74c1706d8048e3433c5c0f9,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0132_sr_6a86aa2e010e34bbf01b3910.pdf#page=10,duplicate_provenance_preserved,verified_provenance_row,pass,true,true,false,not_applicable,not_applicable,DUPLICATE_ROW_AND_CANONICAL_TARGET_PRESERVED,The provenance row retains a unique observation ID and points to an existing canonical observation.
ibr1826_4900717e7389d6388ef06061,duplicate_provenance_row,nobsqa_9a6f2aa8953dc76e2dd21e6c,cex_d05aa871ea17ee0e44809e69,nobsqa_9a6f2aa8953dc76e2dd21e6c,nobsqa_35ef1cfbd5f42aeaaf8fb3b9,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0007_sr_3563453e1fa942e29a9c88c9.pdf#page=24,duplicate_provenance_preserved,verified_provenance_row,pass,true,true,false,not_applicable,not_applicable,DUPLICATE_ROW_AND_CANONICAL_TARGET_PRESERVED,The provenance row retains a unique observation ID and points to an existing canonical observation.
ibr1826_726ae5f345a775e86e3bab59,duplicate_provenance_row,nobsqa_95c6d18fc72e24f3d5ab4cd3,cex_27bd58cdf06c8f1ddc1c06a0,nobsqa_95c6d18fc72e24f3d5ab4cd3,nobsqa_a5bf05482a78b891ddbc3395,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0083_sr_4338fac56dd21fb93a61285b.pdf#page=31,duplicate_provenance_preserved,verified_provenance_row,pass,true,true,false,not_applicable,not_applicable,DUPLICATE_ROW_AND_CANONICAL_TARGET_PRESERVED,The provenance row retains a unique observation ID and points to an existing canonical observation.
ibr1826_634e39cc1cc4b16751bc4500,duplicate_provenance_row,nobsqa_4c21db2e92a723d7615827cc,cex_2736a539edd4f65fb97e8442,nobsqa_4c21db2e92a723d7615827cc,nobsqa_c4d2235f10c5a0b8553ffe22,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0054_sr_46ee26b7aa3883a32141442d.pdf#page=11,duplicate_provenance_preserved,verified_provenance_row,pass,true,true,false,not_applicable,not_applicable,DUPLICATE_ROW_AND_CANONICAL_TARGET_PRESERVED,The provenance row retains a unique observation ID and points to an existing canonical observation.
ibr1826_0965075d1554f030495890cd,duplicate_provenance_row,nobsqa_d7ba01d7301e5f0b54b372e9,cex_d05aa871ea17ee0e44809e69,nobsqa_d7ba01d7301e5f0b54b372e9,nobsqa_35ef1cfbd5f42aeaaf8fb3b9,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0007_sr_3563453e1fa942e29a9c88c9.pdf#page=24,duplicate_provenance_preserved,verified_provenance_row,pass,true,true,false,not_applicable,not_applicable,DUPLICATE_ROW_AND_CANONICAL_TARGET_PRESERVED,The provenance row retains a unique observation ID and points to an existing canonical observation.
ibr1826_896b23df6c6c4ffd2ec71f64,duplicate_provenance_row,nobsqa_10bba092797b4793c64cf9b3,cex_94eca1be458d3acd471c2557,nobsqa_10bba092797b4793c64cf9b3,nobsqa_44f9a09354be16c26322426d,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0144_sr_4e720083c463417f2d6f96a6.pdf#page=17,duplicate_provenance_preserved,verified_provenance_row,pass,true,true,false,not_applicable,not_applicable,DUPLICATE_ROW_AND_CANONICAL_TARGET_PRESERVED,The provenance row retains a unique observation ID and points to an existing canonical observation.
ibr1826_cca2ff1a53b8f0a2c93ad175,duplicate_provenance_row,nobsqa_7f64f2d6775218d07353734f,cex_77ffcd4d041b6c73434fb34f,nobsqa_7f64f2d6775218d07353734f,nobsqa_d74c1706d8048e3433c5c0f9,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0132_sr_6a86aa2e010e34bbf01b3910.pdf#page=10,duplicate_provenance_preserved,verified_provenance_row,pass,true,true,false,not_applicable,not_applicable,DUPLICATE_ROW_AND_CANONICAL_TARGET_PRESERVED,The provenance row retains a unique observation ID and points to an existing canonical observation.
ibr1826_39ecb64dbd5d37d7f246fe39,duplicate_provenance_row,nobsqa_2daa2331ec1e870577ae0047,cex_fb9bd6b64c0ce2ed4a3d933f,nobsqa_2daa2331ec1e870577ae0047,nobsqa_064d2daa1eadb9d3a7fe9dea,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0073_sr_643d9be575ad4573f2c48745.pdf#page=14,duplicate_provenance_preserved,verified_provenance_row,pass,true,true,false,not_applicable,not_applicable,DUPLICATE_ROW_AND_CANONICAL_TARGET_PRESERVED,The provenance row retains a unique observation ID and points to an existing canonical observation.
ibr1826_ed80d2e46cbd5600c9ac143d,duplicate_provenance_row,nobsqa1000_ac007894589648e6a297584e,cex_a8b0a89bfcd3f21db563404c,nobsqa1000_ac007894589648e6a297584e,nobsqa1000_8cb73e4deeb044017f4f2196,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0063_sr_5c336396ca5dee10f7c15151.pdf#page=12,duplicate_provenance_preserved,verified_provenance_row,pass,true,true,false,not_applicable,not_applicable,DUPLICATE_ROW_AND_CANONICAL_TARGET_PRESERVED,The provenance row retains a unique observation ID and points to an existing canonical observation.
ibr1826_a6c8aa47ff3137db650eca37,duplicate_provenance_row,nobsqa1000_cd5b1b86c7446210ce26802f,cex_fb56931c22da3938b1933bd7,nobsqa1000_cd5b1b86c7446210ce26802f,nobsqa1000_b1daf034adf9636583ea8371,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0135_sr_b2ae05460c47b9f9f10da3c9.pdf#page=18,duplicate_provenance_preserved,verified_provenance_row,pass,true,true,false,not_applicable,not_applicable,DUPLICATE_ROW_AND_CANONICAL_TARGET_PRESERVED,The provenance row retains a unique observation ID and points to an existing canonical observation.
ibr1826_e2788db3fed2f72736d35896,duplicate_provenance_row,nobsqa1000_fce6076e76236d8f255ecb02,cex_1479248c79b0675874ed5c47,nobsqa1000_fce6076e76236d8f255ecb02,nobsqa1000_2cb021072ce2590833c44cfc,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0110_sr_59f25b66606b8f3e8d2e13e3.pdf#page=25,duplicate_provenance_preserved,verified_provenance_row,pass,true,true,false,not_applicable,not_applicable,DUPLICATE_ROW_AND_CANONICAL_TARGET_PRESERVED,The provenance row retains a unique observation ID and points to an existing canonical observation.
ibr1826_a6e10c2192bb46d214a97e9a,duplicate_provenance_row,nobsqa1000_df5c3c3103971f3ece39b0f0,cex_1479248c79b0675874ed5c47,nobsqa1000_df5c3c3103971f3ece39b0f0,nobsqa1000_2cb021072ce2590833c44cfc,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0110_sr_59f25b66606b8f3e8d2e13e3.pdf#page=25,duplicate_provenance_preserved,verified_provenance_row,pass,true,true,false,not_applicable,not_applicable,DUPLICATE_ROW_AND_CANONICAL_TARGET_PRESERVED,The provenance row retains a unique observation ID and points to an existing canonical observation.
ibr1826_13c95e6a6305f3bb14d34994,duplicate_provenance_row,nobsqa1000_d510dc349afb469075c628a9,cex_3ecfd7b90b64dd24f259e7e4,nobsqa1000_d510dc349afb469075c628a9,nobsqa1000_abff138ab419a97147fbb82f,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0051_sr_d19d96bb44c9cfe754395f5b.pdf#page=15,duplicate_provenance_preserved,verified_provenance_row,pass,true,true,false,not_applicable,not_applicable,DUPLICATE_ROW_AND_CANONICAL_TARGET_PRESERVED,The provenance row retains a unique observation ID and points to an existing canonical observation.
ibr1826_815c4415d29850ce7352ce4a,shadow_ledger_count_and_hash_consistency,corrected_shadow_layer,,,,,targeted_qa_pass,verified_counts_and_hashes,pass,true,true,false,1907|1954|371|4733|345,all_required_and_upstream_hashes_preserved,CORRECTED_SHADOW_COUNTS_AND_IMMUTABLE_INPUT_HASHES_RECONCILE,"Active lane counts, unique IDs, bounded pointers, contamination scan, and upstream SHA-256 values reconcile independently."
ibr1826_00c74e97dea3bc196375cdc0,dashboard_and_decision_consistency,dashboard_status,,,,,compensation_extraction_readable_parse_text_1826_targeted_conflict_qa_completed,verified_provisional_analysis_closed,pass,true,true,false,dashboard_counts_match_corrected_shadows,not_applicable,DASHBOARD_PROVISIONAL_AND_ANALYSIS_READINESS_FALSE,Dashboard counts match the corrected shadows and the analysis-readiness stage remains false.
