state,city_or_jurisdiction,source_target,source_description,source_url_or_lookup_path,source_family,proposed_use,proposed_corpus,mechanism_or_claim_supported,ingestion_decision,priority,reason,risk_or_caveat,followup_needed,notes
TX,Austin,"AFSCME Local 1624 consultation agreement (non-safety, Feb. 2026)","A novel, non-statutory 'consultation agreement' between city management and AFSCME Local 1624 -- reported by AFSCME to be the first of its kind in Texas; not a Ch.146/142 statutory relationship",https://afscme1624.org/ (specific agreement document URL not yet located),union_contract_page,source_discovery,unknown,"Tests whether a non-statutory consultation channel produces comparable wage-mechanism text to a statutory meet-and-confer relationship (Houston's HOPE) or a civil-service-only city (Dallas, Fort Worth)",context_only,useful,NEW 2026-07-08: identified this session; not yet confirmed to meet this project's CBA source-verification standard as a genuine matched non-safety document,Too new (Feb. 2026) and not yet confirmed as a formal negotiated agreement with wage terms; specific document URL not located,yes,A design question as much as a source-acquisition question -- may not be a source at all if it produces no negotiated wage text
OH,statewide,Ohio Revised Code Chapter 4117 (Public Employees' Collective Bargaining), full statutory text including Section 4117.14 mediation/fact-finding/conciliation provisions,https://codes.ohio.gov/ohio-revised-code/chapter-4117,state_statute,institutional_context,context_only,Arbitration/impasse backstop mechanism; closest single-state structural analogue to MA's JLMC-vs-Ch.150E split,context_only,must_have,Already directly fetched and read in the prior session; retained here as the standing institutional-context source for any future Ohio corpus row,None -- already confirmed high-confidence,no,No new statutory research needed this session; reused from the 2026-07-07 audit
OH,statewide,Ohio SERB document archive (fact-finding reports and conciliation awards since 2012),"Centralized, publicly searchable archive of filed CBAs, fact-finding reports, and conciliation awards for all Ohio public employers",https://serb.ohio.gov/view-document-archive,state_agency_guidance,source_discovery,context_only,"Cross-check/verification tool for confirming a city's own posted CBA matches the state-filed version, and for locating impasse-history documents",context_only,useful,"A standing discovery/verification resource, not itself a single acquisition target","Discovery tool only -- should be used alongside, not instead of, a specific city-level acquisition plan",no,Directly used this session to locate a Columbus-specific IAFF Local 67 fact-finding report and an older AFSCME filing
OH,Columbus,"IAFF Local 67 collective bargaining agreement (fire, 2023-2026)","Official city-hosted CBA for ~1,700 uniformed Division of Fire employees",https://www.columbus.gov/files/sharedassets/city/v/2/human-resources/labor-relations/iaff-cba-2023-2026.pdf,cba,causal_evidence,causal,Ohio safety-mechanism test case: compulsory final-offer conciliation under ORC 4117.14(D)(1)/(G) if fact-finding fails,fetch_later,must_have,"Directly confirmed this session, resolving the prior session's 'not yet independently located' flag; REVISED 2026-07-08: designated first_batch anchor per the multi-city scan, paired with Cleveland",None material identified this session,no,"A matching SERB-filed fact-finding report (23-MED-07-0560) is available for cross-check | APPROVED 2026-07-08: see texas_ohio_approved_source_plan_2026-07-08.csv for the authoritative, hygiene-clean first-batch row and metadata plan."
OH,Columbus,"Fraternal Order of Police Capital City Lodge No. 9 collective bargaining agreement (police, 2023-2026)",Official city-hosted police CBA,https://www.columbus.gov/files/sharedassets/city/v/1/human-resources/labor-relations/fop-cba-2023-2026.pdf,cba,causal_evidence,causal,"Ohio safety-mechanism test case, paired with IAFF Local 67 for a matched police/fire pair in one city",fetch_later,must_have,Confirmed in the prior session (2026-07-07); retained and re-confirmed here,None material identified this session,no,"A related/prior SERB docket copy was also located last session for cross-check | APPROVED 2026-07-08: see texas_ohio_approved_source_plan_2026-07-08.csv for the authoritative, hygiene-clean first-batch row and metadata plan."
OH,Columbus,"AFSCME Local 1632 collective bargaining agreement (non-safety, 2024-2027)",Official city-hosted general City of Columbus employee union CBA,https://www.columbus.gov/files/sharedassets/city/v/1/human-resources/labor-relations/afscme-1632-cba-2024-2027.pdf,cba,causal_evidence,causal,Matched non-safety comparison unit for Columbus police/fire,fetch_later,must_have,"Newly confirmed this session, resolving the prior session's 'non-safety contract identity not yet enumerated' flag",Exact occupation-class composition (clerical vs. public-works vs. mixed) not yet read in depth,yes,"Read the recognition clause directly before classifying under this project's controlled occupation_class vocabulary | APPROVED 2026-07-08: see texas_ohio_approved_source_plan_2026-07-08.csv for the authoritative, hygiene-clean first-batch row and metadata plan."
OH,Columbus,"CWA collective bargaining agreement (non-safety/technical, 2023-2026)",Official city-hosted Communications Workers of America unit CBA,https://www.columbus.gov/files/sharedassets/city/v/1/human-resources/labor-relations/cwa-2023-2026-cba.pdf,cba,causal_evidence,causal,"A second, plausibly technical/dispatch-adjacent non-safety comparison unit for Columbus",fetch_later,useful,Newly identified this session; occupation composition not yet confirmed,Occupation-class composition unconfirmed -- may be a public-safety-adjacent (dispatch) unit rather than ordinary non-safety,yes,"Confirm composition before deciding whether this is a non-safety or public-safety-adjacent comparison unit, per this project's existing dispatcher-category precedent"
OH,Columbus,Health Administrative Compensation Plan (HACP),"Non-bargaining-unit administrative/exempt employee pay-plan document, officially hosted",https://www.columbus.gov/files/sharedassets/city/v/1/human-resources/labor-relations/hacp.03.17.2024.pdf,pay_plan,institutional_context,context_only,Budget/HR-compensation-family context alongside the four union CBAs,context_only,optional,"A useful non-bargaining-unit pay-plan reference, not itself a matched-comparison CBA",Not a bargaining-unit document; context only,no,Parallels Houston's civil-service classification/pay-plan documents as a non-CBA compensation reference
OH,Cleveland,CPPA (patrol police) and FOP Lodge 8 (supervisory police) collective bargaining agreements,Official city-hosted CBAs: CPPA 2025-2028 (+ 2022-2025 predecessor); FOP Lodge 8 2022-2025 -- a rank-vs-supervisor police split paralleling this project's Franklin Police Sergeants precedent,https://www.clevelandohio.gov/sites/clevelandohio/files/hr/cba/2025-2028%20CPPA%20Patrol%20Officers%20CBA.pdf ; https://www.clevelandohio.gov/sites/clevelandohio/files/2022-2025%20Fraternal%20Order%20of%20Police%2C%20Lodge%208%20CBA.pdf,cba,causal_evidence,causal,"NEW 2026-07-08: demonstrates Ohio's uniform ORC 4117.14 framework produces an equally (or more) complete institutional structure in a second Ohio city, not just Columbus",fetch_later,must_have,Designated first_batch pairing with Columbus per the multi-city scan -- Cleveland's four-plus-tier structure is at least as complete as Columbus's,None material identified this session,no,"See texas_ohio_multicity_pre_ingestion_scan_2026-07-08.md Sec.5 (Cleveland) and Sec.9 | APPROVED 2026-07-08: see texas_ohio_approved_source_plan_2026-07-08.csv for the authoritative, hygiene-clean first-batch row and metadata plan."
OH,Cleveland,IAFF Local 93 collective bargaining agreement (fire) and AFSCME Ohio Council 8 Local 100 collective bargaining agreement (non-safety),Official city-hosted CBAs: IAFF Local 93 2025-2028 (+ 2019-2021 predecessor); AFSCME Local 100 2022-2025 (+ 2019-2022 predecessor),https://www.clevelandohio.gov/sites/clevelandohio/files/hr/cba/2025-2028%20Cleveland%20Firefighters%2C%20Local%2093%20CBA.pdf ; https://www.clevelandohio.gov/sites/clevelandohio/files/hr/cba/2022-2025%20Local%20100%2C%20AFSCME%20Ohio%20Council%208.pdf,cba,causal_evidence,causal,Completes the Cleveland first_batch pairing: matched fire and non-safety documents alongside the two police CBAs above,fetch_later,must_have,"Designated first_batch per the multi-city scan, paired with Columbus",AFSCME Local 100's exact occupation-class composition not yet read in depth,yes,"See texas_ohio_multicity_pre_ingestion_scan_2026-07-08.md Sec.5 (Cleveland) and Sec.9 | APPROVED 2026-07-08: see texas_ohio_approved_source_plan_2026-07-08.csv for the authoritative, hygiene-clean first-batch row and metadata plan."
OH,Cincinnati,"CODE (Cincinnati Organized and Dedicated Employees) and Teamsters collective bargaining agreements (non-safety, 2025-2028); FOP Queen City Lodge No. 69 (police) and IAFF Local 48 (fire) CBAs","Official city-hosted CBAs for all four tiers, now confirmed complete: FOP non-supervisors + supervisors 2024-2027; IAFF Local 48 2023-2026; CODE and Teamsters 2025-2028",https://cincyweb.cincinnati-oh.gov/hr/labor-relations/code-contract-2025-2028/ ; https://www.cincinnati-oh.gov/hr/labor-relations/teamsters-contract-2025-2028/ ; https://www.cincinnati-oh.gov/hr/labor-relations/fire-contract-2023-2026/,cba,causal_evidence,causal,Backup Ohio pair if Columbus/Cleveland acquisition is deferred or supplemented -- an equally complete alternative second city,defer,optional,"REVISED 2026-07-08: retained as backup per the multi-city scan, not a first_batch city -- Cleveland is the recommended second Ohio city instead, given its equally complete four-tier structure",Occupation-class composition of CODE/Teamsters not yet confirmed,yes,See texas_ohio_multicity_pre_ingestion_scan_2026-07-08.md Sec.5 (Cincinnati) and Sec.9
OH,Toledo,"Toledo Police Command Officers Association (TPCOA), IAFF Local 92, and multiple AFSCME/Teamsters/UAW non-safety CBAs",Richest multi-union official portal found in either state -- TPCOA 2021-2024; AFSCME Locals 7/2058/3411; Teamsters Local 20; UAW Local 12,https://cdn.toledo.oh.gov/uploads/documents/Human-Resources/Collective-Bargaining-Agreements/,cba,causal_evidence,causal,"Third-choice Ohio backup, offering the widest non-safety union variety of any city scanned in either state",defer,optional,"NEW 2026-07-08: identified as a strong backup, not a first_batch city, given the added complexity of mapping multiple simultaneous non-safety bargaining units to this project's occupation_class vocabulary",Would require careful per-union occupation-class mapping; current-cycle text for the Patrolman's Association and Fire Chiefs Association not directly confirmed,yes,See texas_ohio_multicity_pre_ingestion_scan_2026-07-08.md Sec.5 (Toledo) and Sec.9
