dry_run_status,approval_status,state,city,source_role,source_target,source_url_or_lookup_path,proposed_filename,proposed_contract_id,proposed_occupation_class,recognition_clause_required,recognition_clause_target,proposed_source_type,proposed_corpus,proposed_retrieval_method,proposed_text_quality,fetch_destination_later,store_now,ingest_now,fetchability_assessment,official_or_high_quality_source,risk_or_caveat,user_approval_required,notes
context_only,approved_first_batch,OH,Columbus,budget_pay_plan,Health Administrative Compensation Plan (HACP),https://www.columbus.gov/files/sharedassets/city/v/1/human-resources/labor-relations/hacp.03.17.2024.pdf,corpus/oh_columbus/oh_columbus_hacp_pay_plan_context.pdf,not_applicable,other,not_applicable,Context-only or legal/pay-plan source; not assigned as a contract occupation row.,other,context_only,public_download,unknown,context_only_no_corpus,no,no,"Official Columbus HACP PDF returned HTTP 200; context only, not a CBA row.",yes,Not a bargaining-unit document -- context only; do not treat as a causal comparison unit Budget/pay-plan material is context only and must not be written as a causal CBA row.,yes,"Dry-run planning row only; no document downloaded, stored, ingested, or added to corpus/inbox."
ready_for_live_fetch,approved_first_batch,OH,Cleveland,police,Cleveland Police Patrolmen's Association (CPPA) collective bargaining agreement (2025-2028),https://www.clevelandohio.gov/sites/clevelandohio/files/hr/cba/2025-2028%20CPPA%20Patrol%20Officers%20CBA.pdf,corpus/oh_cleveland/oh_cleveland_cppa_patrol_police_cba_2025_2028.pdf,oh_cleveland_police_2025,police,no,Not required for initial occupation_class unless the unit scope is ambiguous in the executed document.,cba,causal,public_download,unknown,corpus_direct,no,no,Official Cleveland PDF returned HTTP 200 and is specific enough for later acquisition.,yes,None material identified,yes,"Dry-run planning row only; no document downloaded, stored, ingested, or added to corpus/inbox."
ready_for_live_fetch,approved_first_batch,OH,Cleveland,fire,Cleveland Firefighters IAFF Local 93 collective bargaining agreement (2025-2028),https://www.clevelandohio.gov/sites/clevelandohio/files/hr/cba/2025-2028%20Cleveland%20Firefighters%2C%20Local%2093%20CBA.pdf,corpus/oh_cleveland/oh_cleveland_iaff93_fire_cba_2025_2028.pdf,oh_cleveland_fire_2025,fire,no,Not required for initial occupation_class unless the unit scope is ambiguous in the executed document.,cba,causal,public_download,unknown,corpus_direct,no,no,Official Cleveland PDF returned HTTP 200 and is specific enough for later acquisition.,yes,None material identified,yes,"Dry-run planning row only; no document downloaded, stored, ingested, or added to corpus/inbox."
ready_for_live_fetch,approved_first_batch,OH,Cleveland,non_safety_general,AFSCME Ohio Council 8 Local 100 collective bargaining agreement (2022-2025),https://www.clevelandohio.gov/sites/clevelandohio/files/hr/cba/2022-2025%20Local%20100%2C%20AFSCME%20Ohio%20Council%208.pdf,corpus/oh_cleveland/oh_cleveland_afscme_local100_cba_2022_2025.pdf,oh_cleveland_other_2022 (occupation_class pending recognition-clause read),other,yes,"Recognition clause, bargaining-unit description, coverage article, covered classifications, wage schedule, and appendices/classification lists.",cba,causal,public_download,unknown,corpus_direct,no,no,"Official Cleveland PDF returned HTTP 200 and is specific enough for later acquisition, subject to recognition-clause-first classification.",yes,Exact occupation-class composition not yet read in depth -- confirm via recognition clause before final classification,yes,"Dry-run planning row only; no document downloaded, stored, ingested, or added to corpus/inbox."
needs_url_confirmation,approved_first_batch,OH,Cleveland,budget_pay_plan,City of Cleveland budget/pay-plan documentation (specific URL not yet located),clevelandohio.gov (specific budget/HR compensation page not directly checked this session),corpus/oh_cleveland/oh_cleveland_hr_pay_plan_context.pdf,not_applicable,other,not_applicable,Context-only or legal/pay-plan source; not assigned as a contract occupation row.,other,context_only,public_download,unknown,context_only_no_corpus,no,no,Specific Cleveland budget/pay-plan URL remains unlocated; needs URL confirmation before any context fetch.,unclear,Specific page URL not yet located -- locate and confirm via clevelandohio.gov before fetch; do not guess a URL Budget/pay-plan material is context only and must not be written as a causal CBA row.,yes,"Dry-run planning row only; no document downloaded, stored, ingested, or added to corpus/inbox."
context_only,context_only,TX,statewide,legal_institutional,Texas Local Government Code Chapter 174 (Fire and Police Employee Relations Act),https://statutes.capitol.texas.gov/Docs/LG/htm/LG.174.htm,reference/tx_lgc_ch174_fire_police_employee_relations.pdf,not_applicable,not_applicable,not_applicable,Context-only or legal/pay-plan source; not assigned as a contract occupation row.,other,context_only,public_download,clean,context_only_no_corpus,no,no,"Official Texas statute page returned HTTP 200 in header checks; context only, not a CBA row.",yes,None Legal/statutory/archive material is context only and must not be written as a CBA row.,yes,"Dry-run planning row only; no document downloaded, stored, ingested, or added to corpus/inbox."
context_only,context_only,TX,statewide,legal_institutional,Texas Local Government Code Chapter 146 (Local Control of Municipal Employment Matters in Certain Municipalities),https://statutes.capitol.texas.gov/Docs/LG/htm/LG.146.htm,reference/tx_lgc_ch146_local_control_municipal_employment.pdf,not_applicable,not_applicable,not_applicable,Context-only or legal/pay-plan source; not assigned as a contract occupation row.,other,context_only,public_download,clean,context_only_no_corpus,no,no,"Official Texas statute page returned HTTP 200 in header checks; context only, not a CBA row.",yes,Population-gated to Houston only among current Texas cities -- do not generalize to Austin/Columbus/Cleveland Legal/statutory/archive material is context only and must not be written as a CBA row.,yes,"Dry-run planning row only; no document downloaded, stored, ingested, or added to corpus/inbox."
context_only,context_only,TX,statewide,legal_institutional,Texas Local Government Code Chapter 142 (meet-and-confer for police/fire) and Texas Government Code Chapter 617 (general bargaining prohibition),https://statutes.capitol.texas.gov/Docs/LG/htm/LG.142.htm,reference/tx_lgc_ch142_govt_ch617_meet_confer_and_default_prohibition.pdf,not_applicable,not_applicable,not_applicable,Context-only or legal/pay-plan source; not assigned as a contract occupation row.,other,context_only,public_download,clean,context_only_no_corpus,no,no,"Official Texas statute page returned HTTP 200 in header checks; context only, not a CBA row.",yes,Ch.142 full text not yet directly fetched section-by-section (confirmed only via web-search synthesis in a prior session) Legal/statutory/archive material is context only and must not be written as a CBA row.,yes,"Dry-run planning row only; no document downloaded, stored, ingested, or added to corpus/inbox."
context_only,context_only,OH,statewide,legal_institutional,Ohio Revised Code Chapter 4117 (Public Employees' Collective Bargaining),https://codes.ohio.gov/ohio-revised-code/chapter-4117,reference/oh_orc_ch4117_public_employees_collective_bargaining.pdf,not_applicable,not_applicable,not_applicable,Context-only or legal/pay-plan source; not assigned as a contract occupation row.,other,context_only,public_download,clean,context_only_no_corpus,no,no,"Official Ohio Revised Code page returned HTTP 200 in header checks; context only, not a CBA row.",yes,None Legal/statutory/archive material is context only and must not be written as a CBA row.,yes,"Dry-run planning row only; no document downloaded, stored, ingested, or added to corpus/inbox."
needs_url_confirmation,context_only,OH,statewide,source_discovery,Ohio SERB document archive (fact-finding reports and conciliation awards since 2012),https://serb.ohio.gov/view-document-archive,reference/oh_serb_document_archive_pointer.md,not_applicable,not_applicable,not_applicable,Context-only or legal/pay-plan source; not assigned as a contract occupation row.,other,context_only,public_download,not_applicable,context_only_no_corpus,no,no,Prior SERB archive URL returned HTTP 404 in header checks; current archive path needs confirmation before use.,unclear,"Discovery tool only -- should be used alongside, not instead of, the city-level CBA fetches above Legal/statutory/archive material is context only and must not be written as a CBA row.",yes,"Dry-run planning row only; no document downloaded, stored, ingested, or added to corpus/inbox."
