issue_id,file,row_identifier,field,old_value,new_value,action_taken,rationale,evidence_checked,confidence,validation_status,notes
MC08,data/contracts.csv,ma_somerville_police_spea_2012,comparability_referent,,comparable towns (statutory interest-arbitration criterion: wages and benefits of comparable towns),applied,Same referent as SPSOA.,direct csv read,high,pass,
MC08,data/contracts.csv,ma_seekonk_fire_2022,comparability_clause_flag,1,0,applied,"Captured text is work-group realignment eligibility criteria, not wage comparability.",direct csv read,high,pass,Extended from proposed needs_followup schema question per Decision 1.
MC08,data/contracts.csv,ma_seekonk_fire_2022,comparability_referent,,"work-group realignment eligibility ('years of employment... somewhat comparable') -- scheduling/seniority context, not wage comparability",applied,Preserves the non-wage finding.,direct csv read,high,pass,
MC08,data/contracts.csv,ma_wayland_fire_2020,comparability_clause_flag,1,0,applied,"Captured text is a health-insurance contribution-parity clause, not wage comparability.",direct csv read,high,pass,Extended from proposed needs_followup schema question per Decision 1.
MC08,data/contracts.csv,ma_wayland_fire_2020,comparability_referent,,"health insurance plan contribution parity ('comparable plan(s)') -- benefits comparability, not wage comparability",applied,Preserves the non-wage finding.,direct csv read,high,pass,
MC08,data/contracts.csv,ma_wayland_other_2021,comparability_clause_flag,1,0,applied,Identical health-insurance contribution-parity clause to the Wayland fire row.,direct csv read,high,pass,Extended from proposed needs_followup schema question per Decision 1.
MC08,data/contracts.csv,ma_wayland_other_2021,comparability_referent,,"health insurance plan contribution parity ('comparable plan(s)') -- benefits comparability, not wage comparability",applied,Preserves the non-wage finding.,direct csv read,high,pass,
MC06,docs/schema.md,interest_arbitration_flag field definition,interest_arbitration_flag (notes column),(no qualifier),"specifically wage-setting / impasse interest arbitration (e.g., JLMC-style); grievance/discipline/contract-interpretation arbitration captured in arbitration_clause_text without setting this flag",applied,Records the clarified definition to prevent recurrence in future ingestion.,cross-row comparison of all interest_arbitration_flag=1 rows,high,"n/a (docs file, not validated by validate.py)",
MC08,docs/schema.md,comparability_clause_flag field definition,comparability_clause_flag (notes column),(no qualifier),"peer wage / peer-community / peer-employer wage comparability language specifically; excludes health-insurance, workers'-comp, internal-classification, and discipline/fact-pattern uses of 'comparable'",applied,Records the user-approved Decision 1 definition.,"user-approved schema decision, this session",high,"n/a (docs file, not validated by validate.py)",
MC10,data/contracts.csv,ma_somerville_police_spsoa_2012; ma_somerville_police_spea_2012,retrieval_method,public_download,public_download (unchanged),skipped_not_needed,"User Decision 2 confirms retrieval_method describes project's own access method, not original document provenance; current value is already correct for an openly-downloaded MuckRock-hosted document.",direct csv read of source_url_or_cite and retrieval_method,high,pass (unchanged),Resolves the prior needs_followup with no data-value change.
MC03,data/contracts.csv,ma_seekonk_clerical_admin_2021,(none proposed),n/a,n/a,skipped_not_needed,Prior audit found the school-committee affiliation already documented in total_comp_note; no edit was proposed.,metadata_cleanup_audit_2026-07-05.md MC03,high,n/a,
MC04,data/contracts.csv,ma_worcester_public_works_2017; ma_arlington_public_works_2015/2018/2021,(none proposed),n/a,n/a,skipped_not_needed,Prior audit found the bundling composition already documented in total_comp_note for the rows that matter; no edit was proposed.,metadata_cleanup_audit_2026-07-05.md MC04,high,n/a,
MC05,data/contracts.csv,(no current teacher-aide/paraprofessional row),(none proposed),n/a,n/a,skipped_not_needed,"No TA/paraprofessional row currently exists; monitoring-only issue, nothing to edit.",metadata_cleanup_audit_2026-07-05.md MC05,high,n/a,Monitor future ingestion only.
MC07,data/contracts.csv,ma_worcester_fire_2017; ma_worcester_clerical_admin_2017; ma_worcester_public_works_2017,total_comp_note (fire row wording alignment),n/a,n/a,skipped_deferred,"Clerical/DPW rows already document the successor-MOA/incorporation-by-reference limitation; fire's wording alignment was flagged only as a low-priority cosmetic option, not proposed as a concrete edit.",metadata_cleanup_audit_2026-07-05.md MC07,medium,n/a,"Optional, low-priority; not applied this session."
NEW-01,data/contracts.csv,ma_somerville_police_spsoa_2012; ma_somerville_police_spea_2012,binding_arbitration_statute,ocr_messy (SPSOA); clean (SPEA),n/a — not applied,skipped_needs_followup,"Newly discovered this session (not in the audited/approved proposed-edits table): both fields hold text_quality-vocabulary values instead of a statute name, the same pattern corrected for Boston under MC02. Likely correct value is 'MA G.L. c. 1078 (JLMC)' (matching every other police/fire row and this row's own total_comp_note/award text), but this has not gone through the audit-evidence-and-approval process, so it was left untouched.",direct csv read discovered incidentally while verifying the MC02 Boston edit,medium-high,"pass (field is free-text, not enum-checked, so this does not fail validate.py)",Recommend a short follow-up audit-and-approval cycle before correcting.
