state,city,evidence_status,corpus_status,codified,matched_design_status,strongest_claim_candidate,claim_ids_supported_or_relevant,leading_mechanism_attributes,key_supporting_contracts_or_candidate_sources,evidence_basis,reasoning_summary,main_limitations,next_source_needed,recommended_next_action,notes
OH,Cleveland,codified_evidence,ingested,yes,matched_triad,Ohio matched triads (CLM-2026-07-12-01),CLM-2026-07-12-01,interest_arbitration_or_formal_impasse_backstop;classification_reclassification_or_grade_structure,oh_cleveland_police_2025;oh_cleveland_fire_2025;oh_cleveland_other_2022,3 codified contracts; 67 evidence-layer rows.,Supports CLM-01's Ohio pattern; police shows verified interest/impasse evidence and non-safety shows classification evidence.,Cleveland fire has a previously flagged/unverified interest-arbitration row excluded from primary support per claim_consolidation_summary_2026-07-12.md.,Ohio SERB materials; reviewer audit of the flagged Cleveland fire row.,codify_more,"The flagged fire row is a specific, named limitation -- do not cite it as primary support until re-audited."
OH,Cincinnati,codified_evidence,ingested,yes,matched_triad,Ohio matched triads (CLM-2026-07-12-01),CLM-2026-07-12-01,grievance_or_contract_interpretation_arbitration,oh_cincinnati_police_2024;oh_cincinnati_police_sup_2024;oh_cincinnati_fire_2023;oh_cincinnati_other_2025,4 codified contracts; 76 evidence-layer rows.,Cincinnati contributes to the Ohio pattern but with the corpus's weakest per-contract signal: fire and the police-supervisor unit both returned 0 verified-present attributes per source_inventory_for_report_2026-07-10.csv.,"Cincinnati fire and police-supervisor windows have zero verified-present rows -- an explicit, named CLM-01 limitation.",Broader-window or full-document codify specifically for Cincinnati fire and police-supervisor.,codify_more,Priority re-codify target: Cincinnati is the weakest of the four Ohio triad cities on a per-contract basis.
OH,Toledo,codified_evidence,ingested,yes,matched_triad,Ohio matched triads (CLM-2026-07-12-01); arbitration distinction (CLM-2026-07-12-06),CLM-2026-07-12-01;CLM-2026-07-12-06,interest_arbitration_or_formal_impasse_backstop,oh_toledo_police_2024;oh_toledo_fire_2024;oh_toledo_other_2024,3 codified contracts; 61 evidence-layer rows.,"Toledo police is one of four sources anchoring the arbitration-distinction claim (CLM-06) alongside San Antonio, Houston, and Somerville.",Non-safety (other_2024) shows only 2 verified-present attributes -- one of the thinner non-safety results.,Ohio SERB materials; a repeat cycle.,codify_more,Dual role: supports both CLM-01 (Ohio design) and CLM-06 (arbitration method).
TX,Houston,codified_evidence,ingested,yes,matched_triad,Texas institutional unevenness (CLM-2026-07-12-02); arbitration distinction (CLM-2026-07-12-06),CLM-2026-07-12-02;CLM-2026-07-12-06;CLM-2026-07-12-08,civil_service_or_statutory_employment_channel;interest_arbitration_or_formal_impasse_backstop;grievance_or_contract_interpretation_arbitration,tx_houston_police_2024;tx_houston_fire_2024;tx_houston_other_2024,3 codified contracts; 65 evidence-layer rows.,"Houston is Texas's only genuinely matched triad (police, fire arbitration award, and a real non-safety union, HOPE/AFSCME Local 123); anchors CLM-02 and is the sole comparator for CLM-08's 'outside Houston' gap framing.",Single-city base for the non-safety leg of the entire Texas comparison; source-production effects may drive the pattern (CLM-02 limitation).,A second matched Texas non-safety city (San Antonio or Austin general municipal) to stop relying on Houston alone.,codify_more,"CLM-02 is report_ready=yes but explicitly as a source/design claim, not a substantive wage-gap claim."
TX,Austin,codified_evidence,ingested,yes,matched_triad,Safety pressure conversion channels (CLM-2026-07-12-04),CLM-2026-07-12-02;CLM-2026-07-12-04,minimum_staffing_or_continuous_coverage;civil_service_or_statutory_employment_channel,tx_austin_police_2024;tx_austin_fire_2023;tx_austin_nursehealth_2023,3 codified contracts (10 verified-present attributes each); 67 evidence-layer rows.,"Austin's third leg (EMS/nurse_health) is safety-adjacent under the shared Ch.143 Civil Service Commission, not an ordinary civilian comparator -- treat the 'triad' label as exploratory per the source inventory's own annotation.","The non-safety leg is safety-adjacent (EMS), not a clean general-municipal comparator; do not cite Austin as a clean matched triad without this caveat.","An Austin general-municipal (clerical, public works) CBA distinct from EMS.",codify_more,"Explicitly flagged 'exploratory, not the ideal triad design' in national_corpus_current_coverage_gap_audit_2026-07-12.md."
TX,San Antonio,codified_evidence,ingested,yes,safety_only,Arbitration distinction (CLM-2026-07-12-06) -- strongest single test case,CLM-2026-07-12-02;CLM-2026-07-12-06;CLM-2026-07-12-08,interest_arbitration_or_formal_impasse_backstop;grievance_or_contract_interpretation_arbitration;peer_comparator_wage_comparability,tx_san_antonio_police_2022;tx_san_antonio_fire_2024,2 codified contracts; 41 evidence-layer rows.,"San Antonio police is the corpus's clearest single-document test of the interest-vs-grievance arbitration distinction (CLM-06), but San Antonio was deliberately added for institutional-contrast value and has no non-safety comparator.","Deliberately unmatched (per source_inventory note); documented false negative on peer-comparator language (CLM-07 limitation); safety-only, flagged as one of 5 currently unmatched safety units.",A San Antonio general-municipal non-safety CBA -- explicitly named as 'urgent' priority in claim_driven_source_needs_2026-07-12.csv (CLM-08).,scan_more,Highest-priority non-safety gap in the entire current corpus per CLM-08's urgent designation.
PA,Philadelphia,source_availability_hypothesis,candidate_only,no,matched_triad,"If ingested/codified, could test H1/H2/H7 (safety pressure-conversion channels; Ohio-triad-design generalizability) in a second large non-Ohio city",CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07,"unknown (not yet codified) -- candidate sources are Act 111/interest-arbitration and CBA documents, plausibly relevant to interest_arbitration_or_formal_impasse_backstop and classification_reclassification_or_grade_structure","FOP Lodge 5 contracts page; city-hosted IAFF Local 22 interest-arbitration award; AFSCME DC33/DC47 (confirmed signed, document not yet located)",pa_nj_candidate_sources_2026-07-12.csv and pa_nj_candidate_sources_followup_2026-07-12.csv candidate rows only; zero corpus/evidence-layer rows.,"Philadelphia has the most complete document-level candidate set of any PA/NJ city scanned: police and fire are both document-level with city-hosted provenance; non-safety is confirmed to exist (dated, signed) but not yet document-level.",No sources ingested or codified; AFSCME signed-CBA PDF still unlocated; recognition-clause review required before any non-safety occupation_class assignment.,The signed AFSCME DC33 or DC47 CBA PDF (not the proposal/announcement).,ingest_next,Recommended first PA ingestion target per pa_nj_source_scan_summary_2026-07-12.md and pa_nj_state_city_claim_notes_2026-07-12.md.
PA,Pittsburgh,source_availability_hypothesis,candidate_only,no,non_safety_only,Could test H1/H7 if police/fire documents are located; currently cannot support a claim,,unknown (not yet codified),"FOP Fort Pitt Lodge 1 (Scribd only, unofficial); IAFF Local 1 (named, no document); AFSCME Local 2719 (confirmed signed CBA, contracts page located)",Candidate-source rows only; zero corpus/evidence-layer rows.,"Non-safety is the only leg with a confirmed, dated, union-hosted lead (Local 2719's own contracts page); police relies on a third-party host and fire has no document lead across two search rounds.",No sources ingested or codified; police source needs an official-domain replacement for the Scribd copy; fire has zero document lead.,An official-source (non-Scribd) Pittsburgh police CBA; any Pittsburgh fire CBA document.,scan_more,Non-safety leg improved materially in the follow-up round; police and fire remain the binding gaps.
PA,Allentown,source_availability_hypothesis,candidate_only,no,matched_triad,Could test H1/H2/H7 if any leg is located; currently weakest large PA city scanned,,unknown (not yet codified),"FOP Lodge 10 (named, no document); IAFF Local 302 (named, contract-documents page may be access-gated); SEIU Local 668 (corrected union identity this round, no document)",Candidate-source rows only; zero corpus/evidence-layer rows.,"All three unions are now correctly named (the follow-up round corrected a search-methodology error that had assumed AFSCME rather than SEIU for the non-safety leg), but no leg has reached document level after two search rounds.",No sources ingested or codified; no document-level candidate for any of the three legs; IAFF Local 302's page may require member login.,Any Allentown FOP/IAFF/SEIU document; specifically check SEIU Local 668's own site for an Allentown-specific agreement.,scan_more,"The union-identity correction (SEIU not AFSCME) is this round's most useful Allentown finding, even though no document was found."
PA,Erie,source_availability_hypothesis,candidate_only,no,non_safety_only,Could test H1/H7 if police/fire documents are located; currently the weakest PA city on document availability,,unknown (not yet codified),"FOP Lodge 7 / Haas Memorial Lodge (2001 case-law reference only); IAFF Local 293 (named, no document); AFSCME Local 2206 (confirmed ratified 2026-03-04 contract, no document located)",Candidate-source rows only; zero corpus/evidence-layer rows.,"Non-safety improved from a total gap to a confirmed, recently-ratified contract; police and fire remain undocumented beyond historical case law and a benefits page respectively.","No sources ingested or codified; police evidence is 24+ years old (2001 case); fire has no document lead; a jurisdiction false positive (Erie County, NY) must continue to be excluded.",The AFSCME Local 2206 CBA document; any current Erie police Act 111 award; any Erie fire CBA.,scan_more,Lowest-priority of the five PA cities scanned given how little is document-level after two rounds.
PA,Reading,source_availability_hypothesis,candidate_only,no,matched_pair,Could test H3/H8 (non-safety classification/admin channel; dense local comparison) if a police source is found,,unknown (not yet codified) -- candidate non-safety sources plausibly relevant to classification_reclassification_or_grade_structure given the library CBA,"Reading Public Library CBA (direct PDF, confirmed); AFSCME Local 2763 (confirmed dated agreement, document not located); FOP Lodge #9 (named this round, no document); IAFF Local 1803 (named, no document)",Candidate-source rows only; zero corpus/evidence-layer rows.,Reading has Pennsylvania's strongest confirmed non-safety evidence (a directly downloadable library CBA plus a confirmed dated AFSCME agreement) but a genuinely total police-leg gap even after identifying the specific lodge.,"No sources ingested or codified; the police leg has zero document or award evidence, which blocks any matched-triad claim regardless of non-safety strength.",Any Reading FOP Lodge #9 document (CBA or Act 111 award) -- the single blocking gap for this city.,scan_more,Explicitly held out of the recommended first-ingestion batch in pa_nj_state_city_claim_notes_2026-07-12.md because of the police gap.
NJ,Newark,source_availability_hypothesis,candidate_only,no,matched_pair,"Could test H1/H2/H5/H7 (comparator/impasse evidence, matched-triad generalizability) if police/fire CBAs are located",,unknown (not yet codified),"IBT Local 97 CBA 2020 (direct PDF, in-window); AFSCME Local 2297 (Supervisory) CBA 2010 (direct PDF, out-of-window); PBA/Superior Officers Assoc. and Firefighters Union/Fire Officers Local 1860 (both named, extensive PERC decision history, no CBA document located)",Candidate-source rows only; zero corpus/evidence-layer rows.,"Newark has NJ's strongest confirmed non-safety evidence (two distinct direct-PDF unions) and unambiguously active, well-documented police/fire units, but neither safety CBA has been resolved to a document via search-engine indexing.","No sources ingested or codified; police/fire legs need a direct PERC public-sector-contracts index browse (by employer name), not keyword search, to surface the actual CBA PDFs.",The current-cycle Newark PBA and Firefighters Union CBA PDFs from the PERC index.,ingest_next,Recommended first NJ ingestion target per pa_nj_source_scan_summary_2026-07-12.md and pa_nj_state_city_claim_notes_2026-07-12.md.
NJ,Jersey City,source_availability_hypothesis,candidate_only,no,matched_triad,"Could test H1/H2/H7 with a genuine three-legged candidate set, pending current-cycle document confirmation",,unknown (not yet codified),Jersey City PSOA CBA 2009-2012 (direct PDF); IAFF Local 1066 resolution 2009-2015 (direct PDF); JC Public Employees Local 245 MOA 2015 (direct PDF); JC Public Employees Local 246 2015 (direct PDF),Candidate-source rows only; zero corpus/evidence-layer rows.,"The only PA/NJ city in this scan with a document-level candidate for all three roles (police, fire, and two distinct non-safety unions) via the PERC index -- but every document found is dated to roughly 2009-2015, mostly outside this project's 2014-2024 observation window.",No sources ingested or codified; every found document needs a current-cycle (2020s) successor located before it would meet the CBA source-verification standard's window requirement.,"Current-cycle (post-2014, ideally 2018+) successors to each of the four PERC documents found.",scan_more,"Structurally the strongest matched-triad candidate shape found in this scan; blocked only by document vintage, not by source non-existence."
NJ,Paterson,source_availability_hypothesis,candidate_only,no,safety_only,Could test H2/H4 (arbitration backstops; minimum-staffing centrality via the TFOA grievance) if police/fire documents are located; non-safety currently unresolvable,,unknown (not yet codified) -- the TFOA staffing grievance is plausibly relevant to minimum_staffing_or_continuous_coverage,"PBA Local 1 (named via 2021 PERC interim-relief decision); FMBA Local 2/Tactical Fire Officers Assoc. (named via 2012 PERC decision, live staffing grievance)",Candidate-source rows only; zero corpus/evidence-layer rows.,"Both safety unions are precisely named and demonstrably active (including a live staffing-level grievance directly relevant to H4), but non-safety is a hard, repeated gap: the only Paterson-domain PERC documents found in two rounds are for the school district, a different employer.",No sources ingested or codified; non-safety gap is disqualifying for the matched-triad design regardless of safety-side documentation quality.,"Any City of Paterson (municipal, non-school-district) non-safety union or CBA.",hold,Do not substitute the Paterson school-district PERC filings for the municipal non-safety target -- a documented jurisdiction-mismatch risk.
NJ,Elizabeth,source_availability_hypothesis,candidate_only,no,scan_unknown,Not currently claim-supporting -- insufficient evidence of any kind to scope a hypothesis,,,Elizabeth Superior Officers Association (generic PERC synopsis reference only),Candidate-source rows only; zero corpus/evidence-layer rows; a targeted site:perc.state.nj.us Elizabeth search in the follow-up round returned zero Elizabeth-specific results.,"Elizabeth is the weakest-evidenced city across both states after two search rounds: fire and non-safety have produced no named local at all, and police has only a generic reference.",No sources ingested or codified; essentially no named units to search against yet.,"Basic identification of Elizabeth's PBA/FMBA local numbers and any non-safety union, before any document search is worthwhile.",hold,Deprioritize relative to the other four NJ cities; do not spend further search effort here until Newark/Jersey City/Trenton are resolved.
NJ,Trenton,source_availability_hypothesis,candidate_only,no,matched_triad,"Could test H1/H2/H7 with an in-window, direct-PDF non-safety document already in hand",,unknown (not yet codified),"City of Trenton and AFSCME Local 2281 (White Collar/Blue Collar) 2019 (direct PDF, in-window); PBA Local 11 (named via 2014 PERC decision); Trenton Fire Officers Assoc./FMBA Local 206 (named via 2012 PERC decision, cycle 2006-2013 referenced)",Candidate-source rows only; zero corpus/evidence-layer rows.,"Trenton produced this follow-up round's single strongest new finding: a direct, in-window, high-provenance non-safety CBA, after the pilot scan found nothing for Trenton at all. Police and fire are now precisely named but not yet document-level.",No sources ingested or codified; police/fire legs need one more PERC-index lookup each to reach document level.,Current-cycle PBA Local 11 and Trenton Fire Officers Association/FMBA Local 206 CBA PDFs from the PERC index.,scan_more,Biggest single upgrade of this follow-up round; a strong second-priority NJ target behind Newark.
