state,city,source_role,occupation_class_candidate,source_type_candidate,candidate_title,candidate_url,source_owner,expected_years,causal_candidate,matched_triad_value,claim_ids_served,hypotheses_served,expected_text_quality,access_notes,selection_priority,notes
Pennsylvania,Allentown,police,police,context_only,Police Union Contract Extended — City of Allentown news item (FOP Lodge 10),https://dev.allentownpa.gov/Home/News-Details/ID/964/Police-Union-Contract-Extended,city_allentownpa_gov,"extension announced, dates unspecified in snippet",maybe,high,CLM-2026-07-12-01;CLM-2026-07-12-06,H2;H7,unknown,News item confirms an active FOP Lodge 10 contract/extension exists on the city's own domain; the underlying contract PDF was not located in this scan.,needs_review,City domain confirms existence; follow up on city HR or council-agenda pages for the actual CBA PDF.
Pennsylvania,Allentown,fire,fire,cba,Allentown Firefighters IAFF Local 302 — Contract Documents page,https://www.iafflocal302.org/members/contract-documents/,union_local_iaff302,unknown,maybe,high,CLM-2026-07-12-01;CLM-2026-07-12-04,H1;H2;H4,unknown,Page title indicates contract documents are posted; confirm the documents are public (not member-login-gated) before treating as ingest-ready.,needs_review,Best current lead for Allentown fire; pair with FOP Lodge 10 above for a safety pair.
Pennsylvania,Allentown,non_safety_general,unknown,unknown,Allentown non-safety municipal union (AFSCME or equivalent) — not yet located,,unknown,unknown,no,none,CLM-2026-07-12-05,H3,unknown,No non-safety Allentown source surfaced in this scan; needs a targeted follow-up search of city HR pages.,reject,"Recorded as a placeholder gap row so the missing non-safety leg is visible, per matched-triad discipline; not a real candidate URL."
Pennsylvania,Erie,police,police,context_only,City of Erie v. Haas Memorial Lodge (FOP Lodge 7) — Act 111 arbitration case law,https://caselaw.findlaw.com/pa-commonwealth-court/1377220.html,court_case_reference,2001 award referenced,maybe,medium,CLM-2026-07-12-06,H2;H7,clean,"Confirms an Act 111 interest-arbitration award exists for Erie police (FOP Lodge 7 / Haas Memorial Lodge) and was litigated; this is case law about the award, not the award document itself.",needs_review,"Use to identify the correct lodge name/number, then search city or PLRB sources for the underlying award."
Pennsylvania,Erie,fire,fire,context_only,City of Erie Fire Department — IAFF Local 293 contact/benefits page,https://efd.erie.pa.us/benefits/,city_erie_pa_us,unknown,no,medium,CLM-2026-07-12-01,H2,unknown,Describes benefits resulting from bargaining but does not link the CBA text itself.,needs_review,Fire leg of Erie triad not yet document-level.
Pennsylvania,Erie,non_safety_general,unknown,unknown,Erie PA non-safety municipal union — not yet located,,unknown,unknown,no,none,CLM-2026-07-12-05,H3,unknown,"No non-safety Erie, PA source surfaced in this scan.",reject,"Placeholder gap row; Erie also produced a false-positive risk (Erie County, NY labor-relations documents under a similarly named erie.gov domain) — those NY County documents are excluded from this PA list entirely."
Pennsylvania,Erie,other,other,context_only,"[EXCLUDED FALSE POSITIVE] Erie County, NEW YORK labor relations CBAs (erie.gov, not Erie, PA)",https://www3.erie.gov/laborrelations/,other_jurisdiction_ny,n/a,no,none,,,unknown,"This is Erie County, New York (a different state/jurisdiction), surfaced by a generic 'Erie' search. Recorded only as a documented exclusion so a future scan does not re-harvest it by mistake.",reject,Not a Pennsylvania source; do not use.
Pennsylvania,Reading,police,unknown,unknown,Reading PA police FOP — not yet located,,unknown,unknown,no,none,CLM-2026-07-12-06,H2;H7,unknown,"No FOP lodge document surfaced for Reading, PA in this scan; lodge number not yet identified.",reject,Placeholder gap row for the safety leg.
Pennsylvania,Reading,fire,fire,context_only,Reading Fire Department — IAFF Local 1803 (readingpafire.com),https://readingpafire.com/,union_local_iaff1803,unknown,no,medium,CLM-2026-07-12-01,H2,unknown,No CBA document link surfaced in this scan.,needs_review,Follow-up target for Reading fire leg.
Pennsylvania,Reading,non_safety_general,other,context_only,City of Reading Regular Council Meeting minutes referencing AFSCME 2763 CBA (2023-2026),https://www.readingpa.gov/regular-council-meeting-6-26-23,city_readingpa_gov,2023-2026,maybe,high,CLM-2026-07-12-05,H3,unknown,Council minutes confirm a signed AFSCME Local 2763 CBA effective 2023-2026 exists; the CBA PDF itself was not directly located in this scan (likely posted elsewhere on readingpa.gov).,needs_review,"Strong lead — dates confirmed, just need the direct document link."
Pennsylvania,Reading,non_safety_general,library,cba,Reading Public Library CBA (BSI Library Elect / Reading Public Library),https://www.readingpa.gov/images/reading_library/Contract_-_BSI_Library_Elect%20Reading%20Public%20Library.pdf,city_readingpa_gov,"unknown, direct PDF",yes,medium,CLM-2026-07-12-05,H3;H8,clean,Directly retrievable PDF hosted on the city's own domain; clean matched non-safety candidate.,ingest_next,"Best-confirmed PA non-safety document found in this scan; occupation_class=library is schema-supported and title makes coverage explicit, consistent with recognition-clause-first standard."
New Jersey,statewide,legal_institutional,unknown,context_only,NJ PERC — Public Sector Contracts database (central index of NJ public-sector CBAs),https://www.nj.gov/perc/conciliation/contracts/,state_labor_board_perc,contracts posted per statutory filing requirement,no,none,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07,H1;H2;H3;H4;H5;H7,unknown,"This is a portal/index, not a single document; browse by employer name (.nsf interface) to reach individual city CBAs, including all five NJ target cities. Single most valuable institutional finding of this scan.",ingest_next,"Recommend using this as the primary discovery route for NJ police, fire, and non-safety CBAs in a later, reviewed pass — not downloading from it in this scan."
New Jersey,statewide,legal_institutional,unknown,context_only,NJ PERC — Police and Fire Interest Arbitration Awards database (IAAwards.nsf),https://www.perc.state.nj.us/IAAwards.nsf,state_labor_board_perc,awards posted after enactment date (statutory),no,none,CLM-2026-07-12-06;CLM-2026-07-12-07,H2;H5;H7,unknown,"Portal/index of interest-arbitration awards for police and fire statewide, including matched municipalities. Directly useful for the arbitration-distinction and comparator hypotheses.",ingest_next,Pair with the public-sector-contracts index above; this is the arbitration/factfinding-equivalent counterpart for NJ.
New Jersey,statewide,legal_institutional,unknown,context_only,NJ PERC — Police and Fire Interest Arbitration program page,https://www.nj.gov/perc/conciliation/policeandfire/,state_labor_board_perc,n/a (program description),no,none,CLM-2026-07-12-06,H2;H7,clean,"Program/process description page, not itself a contract or award.",hold,Background/context page only.
New Jersey,Newark,police,police,context_only,PERC decision referencing City of Newark and Newark Police Superior Officers' Association (PERC No. 2022-34),https://perc.state.nj.us/percdecisions.nsf/IssuedDecisions/85257575007C2104852587DE0006FFC6/$File/PERC%202022%2034.pdf,state_labor_board_perc,dispute-year 2022,maybe,high,CLM-2026-07-12-01;CLM-2026-07-12-06,H2;H7,clean,"This is a PERC decision about a labor dispute, not the CBA itself; confirms the Newark Police Superior Officers' Association as the relevant unit. Full CBA should be pulled from the PERC public-sector-contracts index instead.",needs_review,Route to the PERC contracts index for the actual Newark PBA/Superior Officers CBA text.
New Jersey,Newark,fire,fire,context_only,Newark Firefighters Union — Contracts (PERC-hosted index entry),https://www.perc.state.nj.us/publicsectorcontracts.nsf/e8bdc0fc8b79520c85256f4d005df32f/d980a598b888965e85257dd300670878?OpenDocument,state_labor_board_perc,"unknown, index entry",maybe,high,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-06,H1;H2;H4;H7,unknown,PERC index entry pointing to Newark Firefighters Union contract materials; also a separate Newark Fire Officers Union (IAFF Local 1860) exists and should be checked.,needs_review,Fire leg of Newark triad; likely resolvable to a full CBA via this PERC entry in a later reviewed pass.
New Jersey,Newark,non_safety_general,other,cba,City of Newark and IBT (Teamsters) Local 97 CBA (2020),https://www.perc.state.nj.us/publicsectorcontracts.nsf/641fe7725638ef00852578c6006e3dcf/76c9399ef546e28f85258ac50051a22a/$FILE/Newark%20and%20IBT%20Loc%2097%202020.pdf,state_labor_board_perc,2020 (cycle end year unknown),yes,high,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05,H1;H3;H7,clean,"Direct PDF hosted on the state PERC domain, high provenance. Recognition-clause-first: occupation_class provisional 'other' until the recognition/coverage clause is read — IBT locals often cover drivers/sanitation/public-works titles but this must be confirmed from the document, not inferred from the union name.",ingest_next,Strongest confirmed non-safety document found in NJ this scan; completes a plausible Newark matched triad alongside the police/fire leads above.
New Jersey,Jersey City,police,police,context_only,City of Jersey City v. Jersey City POBA — case law confirming a police negotiations unit,https://ballotpedia.org/Police_union_collective_bargaining_agreement,third_party_reference,case cited: 154 N.J. 555 (1998),maybe,medium,CLM-2026-07-12-01,H2,unknown,General reference page; confirms a Jersey City POBA negotiations unit exists but not a document-level source. Route to PERC contracts index for the actual CBA.,needs_review,Follow up via PERC public-sector-contracts index by employer name 'Jersey City'.
New Jersey,Jersey City,fire,unknown,unknown,Jersey City fire (FMBA) — not yet located as a document,,unknown,unknown,no,none,CLM-2026-07-12-01,H2,unknown,No document-level fire source surfaced in this scan; expected to be resolvable via the PERC contracts index.,needs_review,Placeholder gap row; PERC index is the recommended next step.
New Jersey,Jersey City,non_safety_general,unknown,unknown,Jersey City non-safety municipal union — not yet located,,unknown,unknown,no,none,CLM-2026-07-12-05,H3,unknown,No non-safety Jersey City source surfaced in this scan.,reject,Placeholder gap row for the non-safety leg.
New Jersey,Paterson,police,police,context_only,PERC synopsis referencing Paterson PBA and SOA (Superior Officers Association) negotiations disputes,https://www.nj.gov/perc/documents/2024.09.26%20Synopses.pdf,state_labor_board_perc,"dispute references, various years",maybe,high,CLM-2026-07-12-01;CLM-2026-07-12-06,H2;H7,clean,PERC synopsis document confirms active Paterson PBA and Superior Officers Association bargaining units; not the CBA text itself.,needs_review,Route to PERC contracts index by employer name 'Paterson' for the actual CBA/award.
New Jersey,Paterson,fire,fire,context_only,Paterson TFOA (fire captains/battalion chiefs) grievance/staffing dispute reference,https://www.nj.gov/perc/documents/2024.09.26%20Synopses.pdf,state_labor_board_perc,"dispute references, various years",maybe,high,CLM-2026-07-12-01;CLM-2026-07-12-04,H1;H2;H4,clean,Confirms an active Paterson fire-officer negotiations unit (TFOA) and a staffing-level grievance; not the CBA text itself.,needs_review,Route to PERC contracts index; staffing-level dispute also directly relevant to the minimum-staffing hypothesis (H4).
New Jersey,Paterson,non_safety_general,unknown,unknown,Paterson non-safety municipal union — not yet located (Passaic County posts county-level CBAs only),https://www.passaiccountynj.org/departments/administration/collective-bargaining-agreements,county_government,unknown,no,none,CLM-2026-07-12-05,H3,unknown,"Passaic County's own CBA page is a different jurisdiction (county, not City of Paterson) and should not be mistaken for a Paterson municipal source.",reject,Recorded to document the jurisdiction-mismatch risk; not a Paterson candidate.
New Jersey,Paterson,non_safety_general,unknown,unknown,City of Paterson non-safety municipal union — not yet located,,unknown,unknown,no,none,CLM-2026-07-12-05,H3,unknown,No City of Paterson (municipal-level) non-safety source surfaced in this scan.,reject,Placeholder gap row for the non-safety leg.
New Jersey,Elizabeth,police,police,context_only,Elizabeth Superior Officers Association grievance/reorganization dispute reference,https://www.nj.gov/perc/documents/2024.09.26%20Synopses.pdf,state_labor_board_perc,"dispute references, various years",maybe,medium,CLM-2026-07-12-01;CLM-2026-07-12-06,H2;H7,clean,Confirms an active Elizabeth Superior Officers Association bargaining unit and a reorganization/assignment grievance; not the CBA text itself.,needs_review,Route to PERC contracts index by employer name 'Elizabeth' for the underlying PBA and SOA CBAs.
New Jersey,Elizabeth,fire,unknown,unknown,Elizabeth FMBA (fire) — not yet located as a document,,unknown,unknown,no,none,CLM-2026-07-12-01,H2,unknown,No document-level fire source surfaced in this scan.,needs_review,Placeholder gap row; PERC index is the recommended next step.
New Jersey,Elizabeth,non_safety_general,unknown,unknown,Elizabeth non-safety municipal union — not yet located,,unknown,unknown,no,none,CLM-2026-07-12-05,H3,unknown,No non-safety Elizabeth source surfaced in this scan.,reject,Placeholder gap row for the non-safety leg.
New Jersey,Trenton,police,unknown,unknown,Trenton PBA (police) — not yet located as a document,,unknown,unknown,no,none,CLM-2026-07-12-01,H2,unknown,General PERC/NJLM background pages surfaced but no Trenton-specific document in this scan.,needs_review,Route to PERC contracts index by employer name 'Trenton'.
New Jersey,Trenton,fire,unknown,unknown,Trenton FMBA (fire) — not yet located as a document,,unknown,unknown,no,none,CLM-2026-07-12-01,H2,unknown,General PERC/NJLM background pages surfaced but no Trenton-specific document in this scan.,needs_review,Route to PERC contracts index by employer name 'Trenton'.
New Jersey,Trenton,non_safety_general,unknown,unknown,Trenton non-safety municipal union — not yet located,,unknown,unknown,no,none,CLM-2026-07-12-05,H3,unknown,No Trenton-specific source of any kind surfaced in this scan; lowest-evidence city scanned.,reject,Trenton received the least distinct search evidence of the ten cities; deprioritize relative to Newark for the first NJ ingestion batch.
