run_id,state,municipality,municipality_id,unit_type,union_name,employer,document_title,contract_years,source_url,source_owner,source_owner_type,document_type,candidate_stage,document_completeness,comparator_role,wrong_employer_risk,context_only_flag,needs_verification_reason,triad_value,provenance_score,likely_ingest_priority,why_relevant,confidence,raw_response_ref,verification_status,promotion_status
ma_2026-07-20_150025,MA,Arlington,ma_arlington,police,Arlington Police Patrolmen’s Association,"Town of Arlington, MA","JLMC-22-9174 Arlington Police Patrolmen’s Association — Interest Arbitration Award (Aug 5, 2024)","Award identifies a preceding/introductory Agreement dated July 1, 2018 to June 30, 2021; successor term effective dates must be confirmed within the full award text",https://www.mass.gov/doc/jlmc-22-9174-arlington-police-award/download,,state_labor_board,arbitration_award,qualifying_candidate,partial_document,safety_target,possible,no,"Mass.gov document fetch returned HTTP 403 during follow-up open; verify (1) exact employer identity as the Town of Arlington, (2) the specific police bargaining unit, and (3) the actual wage-setting coverage and 2014–2024 cycle effective/expiration dates inside the PDF.",low,66,high,"Public JLMC interest arbitration award for Arlington MA police bargaining with a 2021–2024 negotiation/arbitration timeline (based on JLMC case/arbitration context), relevant to completing an exact-cycle police/fire symmetric impasse pattern.",medium,tmp/gabriel_state_source_scout/MA/national_batch01_ma_live_rerun_2026-07-20/raw_outputs.csv#identifier=gabriel_state_source_scout_ma_2026-07-20_150025_ma_arlington,unverified,raw_model_output
ma_2026-07-20_150025,MA,Georgetown,ma_georgetown,fire,AFSCME Council 93 (Firefighters),"Town of Georgetown, MA",Board of Selectmen Meeting Minutes (08/15/2016) — Ratification of the Firefighter Collective Bargaining Agreement,Not specified (minutes dated 2016; agreement ratified that night),https://cms5.revize.com/revize/georgetownma/Document%20Center/Agendas%20%26%20Minutes/Board%20of%20Selectmen/2016/Minutes/bos_minutes_august_15_2016.pdf,,city,meeting_minutes,context_only_candidate,partial_document,mechanism_context,possible,yes,"This is minutes stating ratification occurred, but it does not provide the executed firefighter collective bargaining agreement text or attached wage-setting schedule/award.",low,0,low,Indicates that Georgetown had a written firefighter collective bargaining agreement that was ratified in 2016 (but the actual agreement text and its cycle dates are not included in this minutes PDF).,medium,tmp/gabriel_state_source_scout/MA/national_batch01_ma_live_rerun_2026-07-20/raw_outputs.csv#identifier=gabriel_state_source_scout_ma_2026-07-20_150025_ma_georgetown,unverified,raw_model_output
ma_2026-07-20_150025,MA,Georgetown,ma_georgetown,fire,Not specified in document excerpt (referred to as 'Firefighter union contract'),"Town of Georgetown, MA","Board of Selectmen Meeting Minutes (06/12/2024) — Fire Dept. Collective Bargaining Agreement: negotiating a one-year renewal expiring June 30, 2024","One-year renewal; expires June 30, 2024 (renewal term start date not specified in excerpt)",https://cms5.revize.com/revize/georgetownma/Document%20Center/Agendas%20%26%20Minutes/Board%20of%20Selectmen/2024/Minutes/06122024_meeting_minutes.pdf,,city,meeting_minutes,context_only_candidate,partial_document,mechanism_context,possible,yes,"This minutes excerpt references negotiation/expiration and that the contract covers 5 full-time firefighters, but it does not provide the executed firefighter collective bargaining agreement, MOA/settlement, or wage schedule with cycle dates and signatories.",low,1,low,"Provides authoritative municipal evidence that a firefighter union contract existed and was being renewed for a term ending June 30, 2024 (but not the contract document itself).",medium,tmp/gabriel_state_source_scout/MA/national_batch01_ma_live_rerun_2026-07-20/raw_outputs.csv#identifier=gabriel_state_source_scout_ma_2026-07-20_150025_ma_georgetown,unverified,raw_model_output
ma_2026-07-20_150025,MA,Franklin,ma_franklin,police,Franklin Police Association,"CITY OF FRANKLIN TOWN municipal government (Town of Franklin), Census government ID 194918",Collective Bargaining Agreement (Town of Franklin and the Franklin Police Association),"July 1, 2022 through June 30, 2025",https://www.franklinma.gov/DocumentCenter/View/444/Police-Association-PDF,,city,cba,qualifying_candidate,full_document,safety_target,none,no,Scout lead; verify exact employer/unit provenance and confirm 2014-2024 repeat-cycle alignment for the already-represented anchor units; confirm this unit is an appropriate police bargaining unit (sworn) and check for any safety/non-safety overlap before promotion.,high,81,high,Contains a full police CBA for the Town of Franklin with explicit contract duration and wage-setting terms (salaries/wages).,high,tmp/gabriel_state_source_scout/MA/national_batch01_ma_live_rerun_2026-07-20/raw_outputs.csv#identifier=gabriel_state_source_scout_ma_2026-07-20_150025_ma_franklin,unverified,raw_model_output
ma_2026-07-20_150025,MA,Franklin,ma_franklin,police,Franklin Police Sergeants Union,"CITY OF FRANKLIN TOWN municipal government (Town of Franklin), Census government ID 194918",Collective Bargaining Agreement (Town of Franklin and the Franklin Police Sergeants Union),"July 1, 2022 through June 30, 2025",https://www.franklinma.gov/DocumentCenter/View/445/Police-Sergeants-PDF,,city,cba,qualifying_candidate,full_document,safety_target,none,no,Scout lead; verify exact employer/unit provenance and confirm 2014-2024 repeat-cycle alignment for the already-represented anchor units; confirm this unit is an appropriate police bargaining unit (sworn sergeants) and check for any safety/non-safety overlap before promotion.,high,81,high,Contains a full police (sergeants) CBA for the Town of Franklin with explicit contract duration and wage-setting terms.,high,tmp/gabriel_state_source_scout/MA/national_batch01_ma_live_rerun_2026-07-20/raw_outputs.csv#identifier=gabriel_state_source_scout_ma_2026-07-20_150025_ma_franklin,unverified,raw_model_output
ma_2026-07-20_150025,MA,Franklin,ma_franklin,fire,"Professional Firefighters of Franklin, I.A.F.F., Local 2637","CITY OF FRANKLIN TOWN municipal government (Town of Franklin), Census government ID 194918","Collective Bargaining Agreement (Town of Franklin and Professional Firefighters of Franklin, International Association of Firefighters, Local 2637)","July 1, 2022 through June 30, 2025",https://www.franklinma.gov/DocumentCenter/View/443/Firefighters-PDF,,city,cba,qualifying_candidate,full_document,safety_target,none,no,Scout lead; verify exact employer/unit provenance and confirm 2014-2024 repeat-cycle alignment for the already-represented anchor units; confirm this is the actual Town of Franklin paid firefighters bargaining unit (not a memorandum) and check for any safety/non-safety overlap before promotion.,high,81,high,Contains a full firefighters CBA for the Town of Franklin with explicit contract duration and wage/compensation terms (salary schedule appendices).,high,tmp/gabriel_state_source_scout/MA/national_batch01_ma_live_rerun_2026-07-20/raw_outputs.csv#identifier=gabriel_state_source_scout_ma_2026-07-20_150025_ma_franklin,unverified,raw_model_output
ma_2026-07-20_150025,MA,Franklin,ma_franklin,non_safety,"AFSCME Council 93, Local 1298","CITY OF FRANKLIN TOWN municipal government (Town of Franklin), Census government ID 194918","Collective Bargaining Agreement (Town of Franklin and AFSCME Council 93, Local 1298 - Department of Public Works)","July 1, 2022 through June 30, 2025",https://www.franklinma.gov/DocumentCenter/View/441/Department-of-Public-Works-PDF,,city,cba,qualifying_candidate,full_document,ordinary_non_safety_comparator,none,no,Scout lead; verify the bargaining unit is ordinary/civilian DPW (non-safety) and confirm any exclusions/overlap with safety roles; also verify repeat-cycle dates align to 2014-2024 for the existing matched-design anchor and confirm wage-setting provisions map to comparator needs.,high,88,high,Full non-safety DPW CBA with explicit contract duration and salary schedule appendices suitable for ordinary civilian wage comparisons.,high,tmp/gabriel_state_source_scout/MA/national_batch01_ma_live_rerun_2026-07-20/raw_outputs.csv#identifier=gabriel_state_source_scout_ma_2026-07-20_150025_ma_franklin,unverified,raw_model_output
ma_2026-07-20_150025,MA,Franklin,ma_franklin,non_safety,"Franklin Public Library Staff Association; Massachusetts Library Staff Association (MLSA), Local 4928; American Federation of Teachers (AFT)","CITY OF FRANKLIN TOWN municipal government (Town of Franklin), Census government ID 194918","Agreement (Town of Franklin and Franklin Public Library Staff Association; Massachusetts Library Staff Association, Local 4928; AFT/AFT Massachusetts)","July 1, 2022 through June 30, 2025",https://www.franklinma.gov/DocumentCenter/View/442/Franklin-Public-Library-PDF,,city,cba,qualifying_candidate,full_document,ordinary_non_safety_comparator,none,no,Scout lead; verify this library staff unit is an ordinary municipal non-safety unit appropriate for civilian wage comparison (and not overlapping with any safety classification); verify 2014-2024 repeat-cycle alignment and wage schedule comparability for the matched-design anchor before promotion.,high,88,high,Full library (non-safety) agreement with wage-setting terms for civilian/clerical/public-library staff suitable for non-safety comparator work.,medium,tmp/gabriel_state_source_scout/MA/national_batch01_ma_live_rerun_2026-07-20/raw_outputs.csv#identifier=gabriel_state_source_scout_ma_2026-07-20_150025_ma_franklin,unverified,raw_model_output
ma_2026-07-20_150025,MA,Seekonk,ma_seekonk,police,"Fraternal Order of Police (Mass C.O.P.) Seekonk Lodge #5 / Local #215, AFL-CIO",Town of Seekonk,Police Unit Contract (7-1-2022 to 6-30-2025),"July 1, 2022 - June 30, 2025",https://www.seekonk-ma.gov/Archive.aspx?ADID=282,,city,cba,qualifying_candidate,full_document,safety_target,none,no,Scout-stage lead only; verify employer/personnel/union provenance and that the represented police unit is the same bargaining unit across cycles (and not overlapping/non-sworn or mixed safety groups).,high,81,high,Repeat-cycle police collective bargaining agreement for Town of Seekonk within the 2014-2024 cycle range.,medium,tmp/gabriel_state_source_scout/MA/national_batch01_ma_live_rerun_2026-07-20/raw_outputs.csv#identifier=gabriel_state_source_scout_ma_2026-07-20_150025_ma_seekonk,unverified,raw_model_output
ma_2026-07-20_150025,MA,Seekonk,ma_seekonk,police,"Fraternal Order of Police (Mass C.O.P.) Seekonk Lodge #5 / Local #215, AFL-CIO",Town of Seekonk,Police Unit Contract (7-1-2019 to 6-30-2022),"July 1, 2019 - June 30, 2022",https://www.seekonk-ma.gov/Archive.aspx?ADID=281,,city,cba,qualifying_candidate,unclear,safety_target,possible,no,"Scout-stage lead only; source PDF text failed to extract during scouting, so verify contract terms/dates/pages and union/party signatures directly after download.",high,56,medium,Earlier member of the repeat-cycle police bargaining sequence supporting continuity into the 2022-2025 agreement.,low,tmp/gabriel_state_source_scout/MA/national_batch01_ma_live_rerun_2026-07-20/raw_outputs.csv#identifier=gabriel_state_source_scout_ma_2026-07-20_150025_ma_seekonk,unverified,raw_model_output
ma_2026-07-20_150025,MA,Seekonk,ma_seekonk,fire,"International Association of Firefighters, Local 1931, AFL/CIO-CIC",Town of Seekonk,Fire Unit Contract (7-1-2022 to 6-30-2025),"July 1, 2022 - June 30, 2025",https://www.seekonk-ma.gov/Archive.aspx?ADID=641,,city,cba,qualifying_candidate,full_document,safety_target,none,no,"Scout-stage lead only; verify the exact parties/union local name, and confirm this is the Seekonk paid fire bargaining unit (not an MOA/attachment covering only a subset).",high,81,high,Repeat-cycle fire collective bargaining agreement for Town of Seekonk supporting continuity into the 2019-2022 cycle.,medium,tmp/gabriel_state_source_scout/MA/national_batch01_ma_live_rerun_2026-07-20/raw_outputs.csv#identifier=gabriel_state_source_scout_ma_2026-07-20_150025_ma_seekonk,unverified,raw_model_output
ma_2026-07-20_150025,MA,Seekonk,ma_seekonk,fire,"International Association of Firefighters, Local 1931",Town of Seekonk,Fire Unit Contract (7-1-2016 to 6-30-2019),"July 1, 2016 - June 30, 2019",https://www.seekonk-ma.gov/Archive.aspx?ADID=277,,city,cba,qualifying_candidate,full_document,safety_target,none,no,Scout-stage lead only; verify that wage-setting sections and duration language match the intended repeat-cycle window (and that there is no separate 2019-2022 successor document outside the surfaced set).,high,81,high,Earlier cycle within the same fire unit history to anchor continuity for later fire contract years in 2014-2024.,medium,tmp/gabriel_state_source_scout/MA/national_batch01_ma_live_rerun_2026-07-20/raw_outputs.csv#identifier=gabriel_state_source_scout_ma_2026-07-20_150025_ma_seekonk,unverified,raw_model_output
ma_2026-07-20_150025,MA,Seekonk,ma_seekonk,non_safety,"Seekonk Public Library Employee Association (MLSA, AFT Massachusetts, AFL-CIO), Local 49281/4928",Town of Seekonk,Library Unit Contract (7-1-2020 through 6-30-2023),"July 1, 2020 - June 30, 2023",https://www.seekonk-ma.gov/Archive.aspx?ADID=496,,city,cba,qualifying_candidate,full_document,ordinary_non_safety_comparator,possible,no,Scout-stage lead only; verify the exact local number format (49281 vs 4928) and ensure this is an ordinary municipal library staff bargaining unit (non-safety) under Town of Seekonk (not a separate entity).,high,73,high,Ordinary non-safety (library employees) repeat-cycle CBA with explicit wage/compensation articles suitable for non-safety comparator purposes.,medium,tmp/gabriel_state_source_scout/MA/national_batch01_ma_live_rerun_2026-07-20/raw_outputs.csv#identifier=gabriel_state_source_scout_ma_2026-07-20_150025_ma_seekonk,unverified,raw_model_output
ma_2026-07-20_150025,MA,Seekonk,ma_seekonk,non_safety,unknown,Town of Seekonk,Library Unit Contract (7-1-2014 to 6-30-2017),"July 1, 2014 - June 30, 2017",https://www.seekonk-ma.gov/Archive.aspx?ADID=278,,city,cba,insufficient_candidate,dead_or_unreachable,ordinary_non_safety_comparator,possible,yes,"Scout-stage lead only; scouting did not extract PDF text for this link, so union name and wage-setting details must be verified after download.",high,0,low,Earlier non-safety library bargaining cycle within the requested 2014-2024 window (repeat-cycle evidence depends on confirming unit continuity across all surfaced library contracts).,low,tmp/gabriel_state_source_scout/MA/national_batch01_ma_live_rerun_2026-07-20/raw_outputs.csv#identifier=gabriel_state_source_scout_ma_2026-07-20_150025_ma_seekonk,unverified,raw_model_output
