state,successful_scout_count,candidate_positive_count,parseable_empty_count,failure_only_municipality_count,connection_failed_attempt_count,candidate_row_count,candidate_positive_rate,candidate_rows_per_covered_municipality,parseable_empty_rate,failure_only_rate,connection_failure_attempt_rate,sample_confidence,recommended_next_wave_status,interpretation_note
AK,13,12,1,0,0,29,0.923077,2.230769,0.076923,0.000000,0.000000,medium,strong_yield_consider_next_wave,Scout-stage operational yield only; candidates remain unverified.
MA,60,55,5,1,17,161,0.916667,2.683333,0.083333,0.016393,0.220779,high,strong_yield_consider_next_wave,Scout-stage operational yield only; candidates remain unverified.
MD,38,25,13,0,0,57,0.657895,1.500000,0.342105,0.000000,0.000000,high,moderate_yield_use_priority_targets,Scout-stage operational yield only; candidates remain unverified.
ME,20,17,3,0,0,46,0.850000,2.300000,0.150000,0.000000,0.000000,medium,strong_yield_consider_next_wave,Scout-stage operational yield only; candidates remain unverified.
MI,73,64,9,0,0,166,0.876712,2.273973,0.123288,0.000000,0.000000,high,strong_yield_consider_next_wave,Scout-stage operational yield only; candidates remain unverified.
MN,82,58,24,0,0,131,0.707317,1.597561,0.292683,0.000000,0.000000,high,strong_yield_consider_next_wave,Scout-stage operational yield only; candidates remain unverified.
MO,46,28,18,2,2,56,0.608696,1.217391,0.391304,0.041667,0.041667,high,moderate_yield_use_priority_targets,Scout-stage operational yield only; candidates remain unverified.
MS,34,6,28,0,0,12,0.176471,0.352941,0.823529,0.000000,0.000000,high,lower_yield_use_for_strategic_coverage,Scout-stage operational yield only; candidates remain unverified.
MT,21,18,3,0,0,53,0.857143,2.523810,0.142857,0.000000,0.000000,medium,strong_yield_consider_next_wave,Scout-stage operational yield only; candidates remain unverified.
NC,20,8,12,0,0,17,0.400000,0.850000,0.600000,0.000000,0.000000,medium,lower_yield_use_for_strategic_coverage,Scout-stage operational yield only; candidates remain unverified.
ND,9,6,3,0,0,12,0.666667,1.333333,0.333333,0.000000,0.000000,low,calibration_sample_needed,Scout-stage operational yield only; candidates remain unverified.
NE,15,14,1,0,0,31,0.933333,2.066667,0.066667,0.000000,0.000000,medium,strong_yield_consider_next_wave,Scout-stage operational yield only; candidates remain unverified.
NH,13,11,2,0,0,37,0.846154,2.846154,0.153846,0.000000,0.000000,medium,strong_yield_consider_next_wave,Scout-stage operational yield only; candidates remain unverified.
NJ,77,46,31,1,1,94,0.597403,1.220779,0.402597,0.012821,0.012821,high,moderate_yield_use_priority_targets,Scout-stage operational yield only; candidates remain unverified.
NM,32,19,13,0,0,41,0.593750,1.281250,0.406250,0.000000,0.000000,high,moderate_yield_use_priority_targets,Scout-stage operational yield only; candidates remain unverified.
NV,11,11,0,1,1,34,1.000000,3.090909,0.000000,0.083333,0.083333,medium,strong_yield_consider_next_wave,Scout-stage operational yield only; candidates remain unverified.
NY,70,57,13,0,0,139,0.814286,1.985714,0.185714,0.000000,0.000000,high,strong_yield_consider_next_wave,Scout-stage operational yield only; candidates remain unverified.
OH,328,269,59,3,3,818,0.820122,2.493902,0.179878,0.009063,0.009063,high,strong_yield_consider_next_wave,Scout-stage operational yield only; candidates remain unverified.
OK,15,9,6,0,0,21,0.600000,1.400000,0.400000,0.000000,0.000000,medium,moderate_yield_use_priority_targets,Scout-stage operational yield only; candidates remain unverified.
OR,69,67,2,0,0,180,0.971014,2.608696,0.028986,0.000000,0.000000,high,strong_yield_consider_next_wave,Scout-stage operational yield only; candidates remain unverified.
PA,80,39,41,0,0,102,0.487500,1.275000,0.512500,0.000000,0.000000,high,moderate_yield_use_priority_targets,Scout-stage operational yield only; candidates remain unverified.
RI,8,8,0,0,0,27,1.000000,3.375000,0.000000,0.000000,0.000000,low,calibration_sample_needed,Scout-stage operational yield only; candidates remain unverified.
SC,8,2,6,0,0,3,0.250000,0.375000,0.750000,0.000000,0.000000,low,calibration_sample_needed,Scout-stage operational yield only; candidates remain unverified.
SD,18,13,5,0,0,37,0.722222,2.055556,0.277778,0.000000,0.000000,medium,strong_yield_consider_next_wave,Scout-stage operational yield only; candidates remain unverified.
TN,26,16,10,0,0,28,0.615385,1.076923,0.384615,0.000000,0.000000,high,moderate_yield_use_priority_targets,Scout-stage operational yield only; candidates remain unverified.
TX,103,53,50,0,0,113,0.514563,1.097087,0.485437,0.000000,0.000000,high,moderate_yield_use_priority_targets,Scout-stage operational yield only; candidates remain unverified.
UT,39,24,15,0,0,37,0.615385,0.948718,0.384615,0.000000,0.000000,high,moderate_yield_use_priority_targets,Scout-stage operational yield only; candidates remain unverified.
VA,24,16,8,0,0,27,0.666667,1.125000,0.333333,0.000000,0.000000,medium,moderate_yield_use_priority_targets,Scout-stage operational yield only; candidates remain unverified.
VT,8,5,3,0,0,15,0.625000,1.875000,0.375000,0.000000,0.000000,low,calibration_sample_needed,Scout-stage operational yield only; candidates remain unverified.
WA,90,88,2,2,2,237,0.977778,2.633333,0.022222,0.021739,0.021739,high,strong_yield_consider_next_wave,Scout-stage operational yield only; candidates remain unverified.
WI,122,101,21,0,0,214,0.827869,1.754098,0.172131,0.000000,0.000000,high,strong_yield_consider_next_wave,Scout-stage operational yield only; candidates remain unverified.
WV,11,5,6,0,0,10,0.454545,0.909091,0.545455,0.000000,0.000000,medium,lower_yield_use_for_strategic_coverage,Scout-stage operational yield only; candidates remain unverified.
WY,13,9,4,0,0,16,0.692308,1.230769,0.307692,0.000000,0.000000,medium,moderate_yield_use_priority_targets,Scout-stage operational yield only; candidates remain unverified.
