pa_batch_id,pa_runner_shard_id,pa_priority_rank,state,municipality,municipality_id,census_gov_id,government_name,government_type,geography_type,population,population_year,county_relationship_count,multi_county_flag,county_context_summary,batching_county_geoid,batching_county_name,already_scouted,scout_positive_status,already_in_corpus,already_in_city_coverage,government_website_available,pa_priority_score,pa_priority_tier,selection_reason,expected_units_to_search,verification_notes,recommended_scout_status
PA-FULL-2026-07-16-B001,PA-FULL-2026-07-16-RUN-001,15,PA,Hampden,cog_2025_209346,209346,TOWNSHIP OF HAMPDEN,township,county_subdivision,34921,2023,1,no,Cumberland County [42041; county; government-units-primary=yes; basis=2024_county_subdivision_geoid],42041,Cumberland County,no,not_scouted,no,no,yes,70,tier_1_high_plausibility,"tier_1_high_plausibility (score=70): population band 25,000-49,999; Census political type township; Government Units record supplies an official website; shares county context with a previously scouted municipality. Ranked through county-cycling within tier to preserve geographic diversity. These are source-availability/comparability proxies, not evidence that bargaining units or CBAs exist.","police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public Act 111 award, factfinding, or impasse material when available","After scouting, verify exact employer, reachable official/union provenance, 2014-2024 dates, and overlapping safety/non-safety cycles before promotion; scout output remains unverified. Confirm the township government—not a same-name borough/city, county, school district, or statistical place—is the employer.",ready_for_scout
PA-FULL-2026-07-16-B001,PA-FULL-2026-07-16-RUN-001,16,PA,Logan,cog_2025_112116,112116,TOWNSHIP OF LOGAN,township,county_subdivision,12171,2023,1,no,Blair County [42013; county; government-units-primary=yes; basis=2024_county_subdivision_geoid],42013,Blair County,no,not_scouted,no,no,yes,70,tier_1_high_plausibility,"tier_1_high_plausibility (score=70): population band 10,000-24,999; Census political type township; Government Units record supplies an official website; shares county context with a previously scouted municipality; shares county context with a scout-positive municipality; shares county context with a prior likely-triad scout result. Ranked through county-cycling within tier to preserve geographic diversity. These are source-availability/comparability proxies, not evidence that bargaining units or CBAs exist.","police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public Act 111 award, factfinding, or impasse material when available","After scouting, verify exact employer, reachable official/union provenance, 2014-2024 dates, and overlapping safety/non-safety cycles before promotion; scout output remains unverified. Confirm the township government—not a same-name borough/city, county, school district, or statistical place—is the employer.",ready_for_scout
PA-FULL-2026-07-16-B001,PA-FULL-2026-07-16-RUN-001,17,PA,Richland,cog_2025_112141,112141,TOWNSHIP OF RICHLAND,township,county_subdivision,11991,2023,1,no,Cambria County [42021; county; government-units-primary=yes; basis=2024_county_subdivision_geoid],42021,Cambria County,no,not_scouted,no,no,yes,70,tier_1_high_plausibility,"tier_1_high_plausibility (score=70): population band 10,000-24,999; Census political type township; Government Units record supplies an official website; shares county context with a previously scouted municipality; shares county context with a scout-positive municipality; shares county context with a prior likely-triad scout result. Ranked through county-cycling within tier to preserve geographic diversity. These are source-availability/comparability proxies, not evidence that bargaining units or CBAs exist.","police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public Act 111 award, factfinding, or impasse material when available","After scouting, verify exact employer, reachable official/union provenance, 2014-2024 dates, and overlapping safety/non-safety cycles before promotion; scout output remains unverified. Confirm the township government—not a same-name borough/city, county, school district, or statistical place—is the employer.",ready_for_scout
PA-FULL-2026-07-16-B001,PA-FULL-2026-07-16-RUN-001,18,PA,Loyalsock,cog_2025_174588,174588,TOWNSHIP OF LOYALSOCK,township,county_subdivision,11403,2023,1,no,Lycoming County [42081; county; government-units-primary=yes; basis=2024_county_subdivision_geoid],42081,Lycoming County,no,not_scouted,no,no,yes,70,tier_1_high_plausibility,"tier_1_high_plausibility (score=70): population band 10,000-24,999; Census political type township; Government Units record supplies an official website; shares county context with a previously scouted municipality; shares county context with a scout-positive municipality; shares county context with a prior likely-triad scout result. Ranked through county-cycling within tier to preserve geographic diversity. These are source-availability/comparability proxies, not evidence that bargaining units or CBAs exist.","police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public Act 111 award, factfinding, or impasse material when available","After scouting, verify exact employer, reachable official/union provenance, 2014-2024 dates, and overlapping safety/non-safety cycles before promotion; scout output remains unverified. Confirm the township government—not a same-name borough/city, county, school district, or statistical place—is the employer.",ready_for_scout
PA-FULL-2026-07-16-B001,PA-FULL-2026-07-16-RUN-001,19,PA,Ferguson,cog_2025_133708,133708,TOWNSHIP OF FERGUSON,township,county_subdivision,18939,2023,1,no,Centre County [42027; county; government-units-primary=yes; basis=2024_county_subdivision_geoid],42027,Centre County,no,not_scouted,no,no,yes,65,tier_1_high_plausibility,"tier_1_high_plausibility (score=65): population band 10,000-24,999; Census political type township; Government Units record supplies an official website; shares county context with a previously scouted municipality; shares county context with a scout-positive municipality. Ranked through county-cycling within tier to preserve geographic diversity. These are source-availability/comparability proxies, not evidence that bargaining units or CBAs exist.","police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public Act 111 award, factfinding, or impasse material when available","After scouting, verify exact employer, reachable official/union provenance, 2014-2024 dates, and overlapping safety/non-safety cycles before promotion; scout output remains unverified. Confirm the township government—not a same-name borough/city, county, school district, or statistical place—is the employer.",ready_for_scout
PA-FULL-2026-07-16-B001,PA-FULL-2026-07-16-RUN-001,20,PA,North Lebanon,cog_2025_187325,187325,TOWNSHIP OF NORTH LEBANON,township,county_subdivision,12106,2023,1,no,Lebanon County [42075; county; government-units-primary=yes; basis=2024_county_subdivision_geoid],42075,Lebanon County,no,not_scouted,no,no,yes,65,tier_1_high_plausibility,"tier_1_high_plausibility (score=65): population band 10,000-24,999; Census political type township; Government Units record supplies an official website; shares county context with a previously scouted municipality; shares county context with a scout-positive municipality. Ranked through county-cycling within tier to preserve geographic diversity. These are source-availability/comparability proxies, not evidence that bargaining units or CBAs exist.","police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public Act 111 award, factfinding, or impasse material when available","After scouting, verify exact employer, reachable official/union provenance, 2014-2024 dates, and overlapping safety/non-safety cycles before promotion; scout output remains unverified. Confirm the township government—not a same-name borough/city, county, school district, or statistical place—is the employer.",ready_for_scout
PA-FULL-2026-07-16-B001,PA-FULL-2026-07-16-RUN-001,21,PA,Hempfield,cog_2025_174801,174801,TOWNSHIP OF HEMPFIELD,township,county_subdivision,41613,2023,1,no,Westmoreland County [42129; county; government-units-primary=yes; basis=2024_county_subdivision_geoid],42129,Westmoreland County,no,not_scouted,no,no,yes,60,tier_1_high_plausibility,"tier_1_high_plausibility (score=60): population band 25,000-49,999; Census political type township; Government Units record supplies an official website. Ranked through county-cycling within tier to preserve geographic diversity. These are source-availability/comparability proxies, not evidence that bargaining units or CBAs exist.","police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public Act 111 award, factfinding, or impasse material when available","After scouting, verify exact employer, reachable official/union provenance, 2014-2024 dates, and overlapping safety/non-safety cycles before promotion; scout output remains unverified. Confirm the township government—not a same-name borough/city, county, school district, or statistical place—is the employer.",ready_for_scout
PA-FULL-2026-07-16-B001,PA-FULL-2026-07-16-RUN-001,22,PA,Cranberry,cog_2025_174291,174291,TOWNSHIP OF CRANBERRY,township,county_subdivision,34516,2023,1,no,Butler County [42019; county; government-units-primary=yes; basis=2024_county_subdivision_geoid],42019,Butler County,no,not_scouted,no,no,yes,60,tier_1_high_plausibility,"tier_1_high_plausibility (score=60): population band 25,000-49,999; Census political type township; Government Units record supplies an official website. Ranked through county-cycling within tier to preserve geographic diversity. These are source-availability/comparability proxies, not evidence that bargaining units or CBAs exist.","police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public Act 111 award, factfinding, or impasse material when available","After scouting, verify exact employer, reachable official/union provenance, 2014-2024 dates, and overlapping safety/non-safety cycles before promotion; scout output remains unverified. Confirm the township government—not a same-name borough/city, county, school district, or statistical place—is the employer.",ready_for_scout
PA-FULL-2026-07-16-B001,PA-FULL-2026-07-16-RUN-001,23,PA,Tredyffrin,cog_2025_191373,191373,TOWNSHIP OF TREDYFFRIN,township,county_subdivision,31787,2023,1,no,Chester County [42029; county; government-units-primary=yes; basis=2024_county_subdivision_geoid],42029,Chester County,no,not_scouted,no,no,yes,60,tier_1_high_plausibility,"tier_1_high_plausibility (score=60): population band 25,000-49,999; Census political type township; Government Units record supplies an official website. Ranked through county-cycling within tier to preserve geographic diversity. These are source-availability/comparability proxies, not evidence that bargaining units or CBAs exist.","police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public Act 111 award, factfinding, or impasse material when available","After scouting, verify exact employer, reachable official/union provenance, 2014-2024 dates, and overlapping safety/non-safety cycles before promotion; scout output remains unverified. Confirm the township government—not a same-name borough/city, county, school district, or statistical place—is the employer.",ready_for_scout
PA-FULL-2026-07-16-B001,PA-FULL-2026-07-16-RUN-001,24,PA,Hermitage,cog_2025_133587,133587,CITY OF HERMITAGE,municipal,place,15923,2023,1,no,Mercer County [42085; county; government-units-primary=yes; basis=2020_place_by_county],42085,Mercer County,no,not_scouted,no,no,yes,60,tier_1_high_plausibility,"tier_1_high_plausibility (score=60): population band 10,000-24,999; Census political type city; Government Units record supplies an official website. Ranked through county-cycling within tier to preserve geographic diversity. These are source-availability/comparability proxies, not evidence that bargaining units or CBAs exist.","police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public Act 111 award, factfinding, or impasse material when available","After scouting, verify exact employer, reachable official/union provenance, 2014-2024 dates, and overlapping safety/non-safety cycles before promotion; scout output remains unverified.",ready_for_scout
PA-FULL-2026-07-16-B001,PA-FULL-2026-07-16-RUN-001,25,PA,Washington,cog_2025_174139,174139,CITY OF WASHINGTON,municipal,place,13429,2023,1,no,Washington County [42125; county; government-units-primary=yes; basis=2020_place_by_county],42125,Washington County,no,not_scouted,no,no,yes,60,tier_1_high_plausibility,"tier_1_high_plausibility (score=60): population band 10,000-24,999; Census political type city; Government Units record supplies an official website. Ranked through county-cycling within tier to preserve geographic diversity. These are source-availability/comparability proxies, not evidence that bargaining units or CBAs exist.","police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public Act 111 award, factfinding, or impasse material when available","After scouting, verify exact employer, reachable official/union provenance, 2014-2024 dates, and overlapping safety/non-safety cycles before promotion; scout output remains unverified.",ready_for_scout
PA-FULL-2026-07-16-B001,PA-FULL-2026-07-16-RUN-002,26,PA,Pottsville,cog_2025_112043,112043,CITY OF POTTSVILLE,municipal,place,13355,2023,1,no,Schuylkill County [42107; county; government-units-primary=yes; basis=2020_place_by_county],42107,Schuylkill County,no,not_scouted,no,no,yes,60,tier_1_high_plausibility,"tier_1_high_plausibility (score=60): population band 10,000-24,999; Census political type city; Government Units record supplies an official website. Ranked through county-cycling within tier to preserve geographic diversity. These are source-availability/comparability proxies, not evidence that bargaining units or CBAs exist.","police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public Act 111 award, factfinding, or impasse material when available","After scouting, verify exact employer, reachable official/union provenance, 2014-2024 dates, and overlapping safety/non-safety cycles before promotion; scout output remains unverified.",ready_for_scout
PA-FULL-2026-07-16-B001,PA-FULL-2026-07-16-RUN-002,27,PA,St. Marys,cog_2025_173941,173941,CITY OF ST MARYS,municipal,place,12399,2023,1,no,Elk County [42047; county; government-units-primary=yes; basis=2020_place_by_county],42047,Elk County,no,not_scouted,no,no,yes,60,tier_1_high_plausibility,"tier_1_high_plausibility (score=60): population band 10,000-24,999; Census political type city; Government Units record supplies an official website. Ranked through county-cycling within tier to preserve geographic diversity. These are source-availability/comparability proxies, not evidence that bargaining units or CBAs exist.","police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public Act 111 award, factfinding, or impasse material when available","After scouting, verify exact employer, reachable official/union provenance, 2014-2024 dates, and overlapping safety/non-safety cycles before promotion; scout output remains unverified.",ready_for_scout
PA-FULL-2026-07-16-B001,PA-FULL-2026-07-16-RUN-002,28,PA,Meadville,cog_2025_202472,202472,CITY OF MEADVILLE,municipal,place,12361,2023,1,no,Crawford County [42039; county; government-units-primary=yes; basis=2020_place_by_county],42039,Crawford County,no,not_scouted,no,no,yes,60,tier_1_high_plausibility,"tier_1_high_plausibility (score=60): population band 10,000-24,999; Census political type city; Government Units record supplies an official website. Ranked through county-cycling within tier to preserve geographic diversity. These are source-availability/comparability proxies, not evidence that bargaining units or CBAs exist.","police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public Act 111 award, factfinding, or impasse material when available","After scouting, verify exact employer, reachable official/union provenance, 2014-2024 dates, and overlapping safety/non-safety cycles before promotion; scout output remains unverified.",ready_for_scout
PA-FULL-2026-07-16-B001,PA-FULL-2026-07-16-RUN-002,29,PA,Abington,cog_2025_174627,174627,TOWNSHIP OF ABINGTON,township,county_subdivision,58451,2023,1,no,Montgomery County [42091; county; government-units-primary=yes; basis=2024_county_subdivision_geoid],42091,Montgomery County,no,not_scouted,no,no,yes,85,tier_1_high_plausibility,"tier_1_high_plausibility (score=85): population band 50,000+; Census political type township; Government Units record supplies an official website; shares county context with a previously scouted municipality; shares county context with a scout-positive municipality. Ranked through county-cycling within tier to preserve geographic diversity. These are source-availability/comparability proxies, not evidence that bargaining units or CBAs exist.","police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public Act 111 award, factfinding, or impasse material when available","After scouting, verify exact employer, reachable official/union provenance, 2014-2024 dates, and overlapping safety/non-safety cycles before promotion; scout output remains unverified. Confirm the township government—not a same-name borough/city, county, school district, or statistical place—is the employer.",ready_for_scout
