path,current_role,recommended_action,timing,risk_level,referenced_by,reason,notes
logs/api_spend_log.csv,active_process_log,keep_active,now_plan_only,high,"scripts/log_api_spend.py; PROGRESS.md","Active API spend/process history.","User specifically flagged it for attention."
docs/schema.md,active_schema,keep_active,now_plan_only,high,"AGENTS.md; scripts/validate.py; handoff; repo instructions","Authoritative schema source.","Must stay prominent."
docs/hypotheses.md,active_research_frame,keep_active,now_plan_only,medium,"user workflow; project docs","Active hypothesis log.","Not an execution dependency but core project context."
docs/hypotheses_public_source_strategy_2026-06-24.md,active_strategy_memo,keep_active,now_plan_only,medium,"user workflow; related analysis memos","Still part of current public-source strategy framing.","Could move later only after strategy fully shifts."
docs/analysis/chatgpt_handoff_latest.md,active_handoff,keep_active,now_plan_only,high,"current workflow","Primary active handoff log.","Should remain visible."
PROGRESS.md,active_session_log,keep_active,now_plan_only,high,"AGENTS.md; current workflow","Primary reverse-chronological session log.","Should remain visible."
docs/acquisition/,acquisition_recon_and_queue_memos,keep_provenance,after_v10_branch,medium,"websearch scaffold docs; hypotheses public source strategy; handoff; PROGRESS.md","High-provenance research process area with mixed active and historical notes.","Likely archive by subfamily later, not all at once."
docs/ma_source_inventory.md,historical_acquisition_inventory,keep_provenance,after_v10_branch,medium,"PROGRESS.md; ingestion workflow history","Historical but still informative source-route inventory.","Good archive candidate later, not disposable."
docs/records_requests/,historical_records_request_artifacts,keep_provenance,after_v10_branch,medium,"research provenance","Preserves request history and strategy.","Low active use but high provenance value."
docs/session_snapshots/,historical_snapshot_notes,archive_later,after_v10_branch,low,"research provenance","Useful historical context but not active code/report input.","Natural docs archive candidate."
docs/analysis/gabriel_v9_preliminary_report_2026-06-25.md,active_analysis_report,keep_active,now_plan_only,medium,"summarize_v9.py; readiness memo","Current descriptive analysis report in markdown.","Still linked from active v9 artifacts."
reports/6_25/,final_report_exports,keep_provenance,after_v10_branch,medium,"comparator_edges_from_v9_verified_excerpts_2026-06-29.md; handoff","Contains exported report deliverables.","Could stay top-level or later move with user approval."
analysis/gabriel_pilot/run_gabriel.py,active_scoring_code,keep_active,now_plan_only,high,"run_gabriel_v9.py; current pilot code","Base scoring runner still underlies v9 wrapper.","Code must remain with adjacent inputs."
analysis/gabriel_pilot/run_gabriel_v9.py,active_scoring_code,keep_active,now_plan_only,high,"current v9 workflow","Active descriptive runner.","Keep visible."
analysis/gabriel_pilot/build_input_v9.py,active_input_builder,keep_active,now_plan_only,high,"current v9 workflow","Builds active v9 input cache from production data/corpus.","Keep adjacent to active outputs."
analysis/gabriel_pilot/summarize_v9.py,active_reporting_code,keep_active,now_plan_only,high,"current v9 workflow","Produces active v9 summaries, figures, and report.","Keep adjacent to active outputs."
analysis/gabriel_pilot/input_v9.csv,active_generated_input,keep_active,now_plan_only,medium,"run_gabriel_v9.py; run_gabriel_v10_gold_dryrun.py; handoff","Generated but actively consumed by current runners.","Do not archive until v9/v10 branch settles."
analysis/gabriel_pilot/results_v9_model_raw.csv,active_generated_output,keep_active,now_plan_only,medium,"summarize_v9.py","Immediate upstream input to v9 summaries and figures.","Keep adjacent to summarizer."
analysis/gabriel_pilot/results_v9.csv,active_generated_output,keep_active,now_plan_only,medium,"docs/analysis/gabriel_v9_preliminary_report_2026-06-25.md; comparator memos","Current normalized descriptive results table.","Still cited by analysis memos."
analysis/gabriel_pilot/results_v9_quote_audit.csv and results_v9_summary_*.csv,active_generated_output_family,keep_active,now_plan_only,medium,"summarize_v9.py; v9 report; readiness memo","Active reporting outputs for current descriptive baseline.","Could archive later as a family once successor baseline exists."
analysis/gabriel_pilot/figures_v9/,active_generated_figures,keep_active,now_plan_only,medium,"v9 report; readiness memo; summarize_v9.py","Current figure set tied to active v9 report.","Archive only after report stack is retired or consolidated."
analysis/gabriel_pilot/run_gabriel_v10_gold_dryrun.py,active_branch_code,keep_active,now_plan_only,medium,"v10 design memos; handoff","Active bounded branch code for v10 dry-run work.","Keep until branch stabilizes."
docs/analysis/gabriel_v10_gold_set_2026-06-29.csv and gabriel_v10_gold_set_repaired_2026-06-30.csv,branch_inputs,archive_later,after_v10_branch,medium,"run_gabriel_v10_gold_dryrun.py; v10 memos; handoff","Still referenced by current v10 dry-run branch.","Archive only after branch stabilizes."
analysis/gabriel_pilot/input_v10_gold_2026-06-29.csv and input_v10_gold_repaired_2026-06-30.csv,branch_generated_inputs,archive_later,after_v10_branch,medium,"run_gabriel_v10_gold_dryrun.py","Generated branch inputs still tied to current dry-run code.","Confirm reproducibility before moving."
analysis/gabriel_pilot/results_v10_gold_dryrun_2026-06-29.csv and results_v10_gold_repaired_dryrun_2026-06-30.csv,branch_generated_outputs,archive_later,after_v10_branch,medium,"v10 design memos; dryrun reports; handoff","Current bounded v10 branch outputs.","Archive only after branch stabilizes."
docs/analysis/gabriel_v10_gold_dryrun_report_2026-06-29.md and gabriel_v10_gold_repaired_dryrun_report_2026-06-30.md,branch_reports,archive_later,after_v10_branch,medium,"handoff; v10 design memo","Branch-specific reports rather than repo-wide active reports.","Natural archive family later."
analysis/gabriel_pilot/results.csv and results_v2.csv through results_v8.csv,historical_generated_outputs,archive_later,after_v10_branch,low,"PROGRESS.md; plot_results.py for results.csv; run_gabriel.py history","Historical pilot output sequence.","Keep reproducibility code before moving."
analysis/gabriel_pilot/Graphs V1/ and Graphs V2/ and Graphs V3/,historical_generated_figures,generated_safe_to_regenerate,after_v10_branch,low,"historical narrative only","Legacy graphs from earlier pilot phases.","Safe archive candidates once old references are no longer foregrounded."
analysis/gabriel_pilot/report_v3.md,historical_analysis_report,keep_provenance,after_v10_branch,low,"docs/hypotheses.md; PROGRESS.md","Referenced in hypothesis history.","Keep but relocate later."
analysis/gabriel_pilot/build_input.py and plot_results.py,legacy_support_code,archive_later,after_v10_branch,medium,"results.csv history; build_input.py uses ma_award_inventory.csv","Still useful for historical reproduction, but not current primary path.","Archive with legacy v1-v8 family later if desired."
analysis/gabriel_pilot/scratch_pdfs/,temporary_download_cache,generated_safe_to_regenerate,after_v10_branch,low,"build_input.py only","Scratch area for fresh award downloads.","Currently empty; safe cleanup candidate later."
docs/analysis/comparator_network_design_2026-06-29.md and comparator_edge_synthesis_2026-06-29.md and comparator_edges_from_*.md and comparator_mentions_stub_2026-06-29.csv,comparator_network_artifacts,keep_provenance,after_v10_branch,medium,"PROGRESS.md; handoff; internal cross-references","Design/provenance work rather than active production dataset.","Archive as a coherent comparator family later."
docs/analysis/gabriel_websearch_thursday_report_draft_2026-07-01.md and gabriel_websearch_thursday_report_pdf_ready_2026-07-01.md and gabriel_websearch_thursday_presentation_outline_2026-07-01.md and gabriel_tutorial_web_mode_note_2026-07-01.md,active_thursday_package,keep_active,now_plan_only,medium,"current Thursday workflow; handoff; PROGRESS.md","Current visible Thursday-facing package.","Do not move before Thursday."
docs/analysis/gabriel_websearch_live_smoke_test_status_2026-07-01.md and gabriel_websearch_mass_city_pilot_summary_2026-06-30.md and gabriel_websearch_report_assets_2026-07-01/,thursday_support_artifacts,archive_after_report,after_thursday_report,low,"handoff; PROGRESS.md","Support files for Thursday package but not the long-term visible report layer.","Good first archive pass after Thursday."
analysis/gabriel_pilot/gabriel_websearch_custom_fn.py and run_gabriel_websearch_seed_demo.py,websearch_scaffold_code,keep_active,now_plan_only,medium,"Thursday reports; handoff; PROGRESS.md","Fallback/advanced scaffold code still under active discussion.","Keep until live-path decision is settled."
analysis/gabriel_pilot/results_gabriel_websearch_seed_demo_2026-06-30.csv and results_gabriel_websearch_seed_demo_sources_2026-06-30.csv and results_gabriel_websearch_seed_demo_extractions_2026-06-30.csv,websearch_seed_outputs,archive_after_report,after_thursday_report,low,"Thursday reports; PROGRESS.md; handoff","Generated seed/demo outputs safe to regenerate from scaffold.","Archive after Thursday package is finalized."
docs/acquisition/gabriel_websearch_city_prompt_template_2026-06-30.md and gabriel_websearch_mass_city_pilot_sources_2026-06-30.csv and gabriel_websearch_mass_city_pilot_extractions_2026-06-30.csv,websearch_seed_inputs,keep_provenance,after_websearch_live_test,medium,"websearch scaffold code; Thursday docs","Still part of the scaffold's documented input design.","Archive only after live-path decisions settle."
docs/analysis/gabriel_websearch_custom_function_design_2026-06-30.md and gabriel_websearch_repo_declutter_plan_2026-07-01.md,websearch_design_memos,archive_later,after_websearch_live_test,medium,"Thursday docs; handoff","Important current design history but likely secondary after live-path stabilizes.","Keep in docs/analysis until web-search direction is settled."
reports/,deliverables_root,needs_user_decision,now_plan_only,medium,"comparator memo; handoff","Top-level report exports may deserve a stable home or later archive relocation.","User preference needed."
docs/analysis/,mixed_active_and_historical_analysis_dir,needs_user_decision,now_plan_only,high,"current workflow across many memos","Directory is the largest clutter concentration and mixes active/current/historical files.","Needs staged cleanup, not bulk move."
analysis/gabriel_pilot/,mixed_code_and_generated_outputs_dir,needs_user_decision,now_plan_only,high,"multiple active runners and reports","Main mixed-risk directory: active code shares space with many generated outputs.","Requires careful family-by-family separation."
.DS_Store and __pycache__ repo-wide,generated_clutter,generated_safe_to_regenerate,after_v10_branch,low,"none meaningful","Non-source generated clutter.","Low-risk cleanup later, but not worth touching before higher-value archive work."
