target_id,state,city,target_priority,target_status,desired_source_set,police_source_needed,fire_source_needed,non_safety_source_needed,arbitration_factfinding_source_needed,likely_source_locations,claim_ids_served,hypotheses_served,expected_value,expected_burden,first_search_queries,notes
NST-2026-07-12-011,Illinois,Chicago,high,not_started,police CBA; fire CBA; one general municipal non-safety CBA; any arbitration/factfinding/impasse or wage-study source in same cycle,yes,yes,yes,yes_if_public,city labor relations or HR pages; city council agenda packets; state labor board/PERC/SERB-style repositories; union local pages; municipal document portals,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07,H1;H2;H3;H4;H5;H7,high,medium,"""Chicago"" ""collective bargaining agreement"" police fire AFSCME; ""Chicago"" ""labor agreement"" ""fire"" ""police""; ""Chicago"" ""AFSCME"" ""contract""; ""Illinois"" ""interest arbitration"" ""Chicago"" police fire",Initial planning target only; do not download until source availability and non-safety match are verified.
NST-2026-07-12-012,Illinois,Aurora,high,not_started,police CBA; fire CBA; one general municipal non-safety CBA; any arbitration/factfinding/impasse or wage-study source in same cycle,yes,yes,yes,yes_if_public,city labor relations or HR pages; city council agenda packets; state labor board/PERC/SERB-style repositories; union local pages; municipal document portals,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07,H1;H2;H3;H4;H5;H7,high,medium,"""Aurora"" ""collective bargaining agreement"" police fire AFSCME; ""Aurora"" ""labor agreement"" ""fire"" ""police""; ""Aurora"" ""AFSCME"" ""contract""; ""Illinois"" ""interest arbitration"" ""Aurora"" police fire",Initial planning target only; do not download until source availability and non-safety match are verified.
NST-2026-07-12-013,Illinois,Rockford,high,not_started,police CBA; fire CBA; one general municipal non-safety CBA; any arbitration/factfinding/impasse or wage-study source in same cycle,yes,yes,yes,yes_if_public,city labor relations or HR pages; city council agenda packets; state labor board/PERC/SERB-style repositories; union local pages; municipal document portals,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07,H1;H2;H3;H4;H5;H7,high,medium,"""Rockford"" ""collective bargaining agreement"" police fire AFSCME; ""Rockford"" ""labor agreement"" ""fire"" ""police""; ""Rockford"" ""AFSCME"" ""contract""; ""Illinois"" ""interest arbitration"" ""Rockford"" police fire",Initial planning target only; do not download until source availability and non-safety match are verified.
NST-2026-07-12-014,Illinois,Springfield,high,not_started,police CBA; fire CBA; one general municipal non-safety CBA; any arbitration/factfinding/impasse or wage-study source in same cycle,yes,yes,yes,yes_if_public,city labor relations or HR pages; city council agenda packets; state labor board/PERC/SERB-style repositories; union local pages; municipal document portals,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07,H1;H2;H3;H4;H5;H7,high,medium,"""Springfield"" ""collective bargaining agreement"" police fire AFSCME; ""Springfield"" ""labor agreement"" ""fire"" ""police""; ""Springfield"" ""AFSCME"" ""contract""; ""Illinois"" ""interest arbitration"" ""Springfield"" police fire",Initial planning target only; do not download until source availability and non-safety match are verified.
NST-2026-07-12-015,Illinois,Naperville,high,not_started,police CBA; fire CBA; one general municipal non-safety CBA; any arbitration/factfinding/impasse or wage-study source in same cycle,yes,yes,yes,yes_if_public,city labor relations or HR pages; city council agenda packets; state labor board/PERC/SERB-style repositories; union local pages; municipal document portals,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07,H1;H2;H3;H4;H5;H7,high,medium,"""Naperville"" ""collective bargaining agreement"" police fire AFSCME; ""Naperville"" ""labor agreement"" ""fire"" ""police""; ""Naperville"" ""AFSCME"" ""contract""; ""Illinois"" ""interest arbitration"" ""Naperville"" police fire",Initial planning target only; do not download until source availability and non-safety match are verified.
NST-2026-07-12-016,New York,Buffalo,high,not_started,police CBA; fire CBA; one general municipal non-safety CBA; any arbitration/factfinding/impasse or wage-study source in same cycle,yes,yes,yes,yes_if_public,city labor relations or HR pages; city council agenda packets; state labor board/PERC/SERB-style repositories; union local pages; municipal document portals,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07,H1;H2;H3;H4;H5;H7,high,high,"""Buffalo"" ""collective bargaining agreement"" police fire AFSCME; ""Buffalo"" ""labor agreement"" ""fire"" ""police""; ""Buffalo"" ""AFSCME"" ""contract""; ""New York"" ""interest arbitration"" ""Buffalo"" police fire",Initial planning target only; do not download until source availability and non-safety match are verified.
NST-2026-07-12-017,New York,Rochester,high,not_started,police CBA; fire CBA; one general municipal non-safety CBA; any arbitration/factfinding/impasse or wage-study source in same cycle,yes,yes,yes,yes_if_public,city labor relations or HR pages; city council agenda packets; state labor board/PERC/SERB-style repositories; union local pages; municipal document portals,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07,H1;H2;H3;H4;H5;H7,high,high,"""Rochester"" ""collective bargaining agreement"" police fire AFSCME; ""Rochester"" ""labor agreement"" ""fire"" ""police""; ""Rochester"" ""AFSCME"" ""contract""; ""New York"" ""interest arbitration"" ""Rochester"" police fire",Initial planning target only; do not download until source availability and non-safety match are verified.
NST-2026-07-12-018,New York,Syracuse,high,not_started,police CBA; fire CBA; one general municipal non-safety CBA; any arbitration/factfinding/impasse or wage-study source in same cycle,yes,yes,yes,yes_if_public,city labor relations or HR pages; city council agenda packets; state labor board/PERC/SERB-style repositories; union local pages; municipal document portals,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07,H1;H2;H3;H4;H5;H7,high,high,"""Syracuse"" ""collective bargaining agreement"" police fire AFSCME; ""Syracuse"" ""labor agreement"" ""fire"" ""police""; ""Syracuse"" ""AFSCME"" ""contract""; ""New York"" ""interest arbitration"" ""Syracuse"" police fire",Initial planning target only; do not download until source availability and non-safety match are verified.
NST-2026-07-12-019,New York,Yonkers,high,not_started,police CBA; fire CBA; one general municipal non-safety CBA; any arbitration/factfinding/impasse or wage-study source in same cycle,yes,yes,yes,yes_if_public,city labor relations or HR pages; city council agenda packets; state labor board/PERC/SERB-style repositories; union local pages; municipal document portals,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07,H1;H2;H3;H4;H5;H7,high,high,"""Yonkers"" ""collective bargaining agreement"" police fire AFSCME; ""Yonkers"" ""labor agreement"" ""fire"" ""police""; ""Yonkers"" ""AFSCME"" ""contract""; ""New York"" ""interest arbitration"" ""Yonkers"" police fire",Initial planning target only; do not download until source availability and non-safety match are verified.
NST-2026-07-12-020,New York,Albany,high,not_started,police CBA; fire CBA; one general municipal non-safety CBA; any arbitration/factfinding/impasse or wage-study source in same cycle,yes,yes,yes,yes_if_public,city labor relations or HR pages; city council agenda packets; state labor board/PERC/SERB-style repositories; union local pages; municipal document portals,CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07,H1;H2;H3;H4;H5;H7,high,high,"""Albany"" ""collective bargaining agreement"" police fire AFSCME; ""Albany"" ""labor agreement"" ""fire"" ""police""; ""Albany"" ""AFSCME"" ""contract""; ""New York"" ""interest arbitration"" ""Albany"" police fire",Initial planning target only; do not download until source availability and non-safety match are verified.
NST-2026-07-12-021,California,Los Angeles,medium,not_started,matched police/fire/non-safety CBA set if public; otherwise defer unless a high-value arbitration/factfinding source is public,yes,yes,yes,yes_if_public,municipal labor relations/HR pages; city council files; state labor board repositories; union pages; public document portals,CLM-2026-07-12-03;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-07,H1;H3;H4,medium,unknown,"""Los Angeles"" ""collective bargaining agreement"" police fire public works; ""Los Angeles"" ""labor agreement"" AFSCME; ""California"" ""factfinding"" ""police"" ""fire""",Second-wave candidate; promote only if non-safety bottleneck is solvable in public sources.
NST-2026-07-12-022,California,Sacramento,medium,not_started,matched police/fire/non-safety CBA set if public; otherwise defer unless a high-value arbitration/factfinding source is public,yes,yes,yes,yes_if_public,municipal labor relations/HR pages; city council files; state labor board repositories; union pages; public document portals,CLM-2026-07-12-03;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-07,H1;H3;H4,medium,unknown,"""Sacramento"" ""collective bargaining agreement"" police fire public works; ""Sacramento"" ""labor agreement"" AFSCME; ""California"" ""factfinding"" ""police"" ""fire""",Second-wave candidate; promote only if non-safety bottleneck is solvable in public sources.
NST-2026-07-12-023,Washington,Seattle,medium,not_started,matched police/fire/non-safety CBA set if public; otherwise defer unless a high-value arbitration/factfinding source is public,yes,yes,yes,yes_if_public,municipal labor relations/HR pages; city council files; state labor board repositories; union pages; public document portals,CLM-2026-07-12-03;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-07,H1;H2;H3;H7,medium,unknown,"""Seattle"" ""collective bargaining agreement"" police fire public works; ""Seattle"" ""labor agreement"" AFSCME; ""Washington"" ""factfinding"" ""police"" ""fire""",Second-wave candidate; promote only if non-safety bottleneck is solvable in public sources.
NST-2026-07-12-024,Oregon,Portland,medium,not_started,matched police/fire/non-safety CBA set if public; otherwise defer unless a high-value arbitration/factfinding source is public,yes,yes,yes,yes_if_public,municipal labor relations/HR pages; city council files; state labor board repositories; union pages; public document portals,CLM-2026-07-12-03;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-07,H1;H3;H7,medium,unknown,"""Portland"" ""collective bargaining agreement"" police fire public works; ""Portland"" ""labor agreement"" AFSCME; ""Oregon"" ""factfinding"" ""police"" ""fire""",Second-wave candidate; promote only if non-safety bottleneck is solvable in public sources.
NST-2026-07-12-025,Connecticut,Hartford,medium,not_started,matched police/fire/non-safety CBA set if public; otherwise defer unless a high-value arbitration/factfinding source is public,yes,yes,yes,yes_if_public,municipal labor relations/HR pages; city council files; state labor board repositories; union pages; public document portals,CLM-2026-07-12-03;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-07,H2;H5;H8,medium,unknown,"""Hartford"" ""collective bargaining agreement"" police fire public works; ""Hartford"" ""labor agreement"" AFSCME; ""Connecticut"" ""factfinding"" ""police"" ""fire""",Second-wave candidate; promote only if non-safety bottleneck is solvable in public sources.
NST-2026-07-12-026,Minnesota,Minneapolis,medium,not_started,matched police/fire/non-safety CBA set if public; otherwise defer unless a high-value arbitration/factfinding source is public,yes,yes,yes,yes_if_public,municipal labor relations/HR pages; city council files; state labor board repositories; union pages; public document portals,CLM-2026-07-12-03;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-07,H1;H3;H7,medium,unknown,"""Minneapolis"" ""collective bargaining agreement"" police fire public works; ""Minneapolis"" ""labor agreement"" AFSCME; ""Minnesota"" ""factfinding"" ""police"" ""fire""",Second-wave candidate; promote only if non-safety bottleneck is solvable in public sources.
NST-2026-07-12-027,Wisconsin,Madison,medium,not_started,matched police/fire/non-safety CBA set if public; otherwise defer unless a high-value arbitration/factfinding source is public,yes,yes,yes,yes_if_public,municipal labor relations/HR pages; city council files; state labor board repositories; union pages; public document portals,CLM-2026-07-12-03;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-07,H6;H7,medium,unknown,"""Madison"" ""collective bargaining agreement"" police fire public works; ""Madison"" ""labor agreement"" AFSCME; ""Wisconsin"" ""factfinding"" ""police"" ""fire""",Second-wave candidate; promote only if non-safety bottleneck is solvable in public sources.
NST-2026-07-12-028,Maryland,Baltimore,medium,not_started,matched police/fire/non-safety CBA set if public; otherwise defer unless a high-value arbitration/factfinding source is public,yes,yes,yes,yes_if_public,municipal labor relations/HR pages; city council files; state labor board repositories; union pages; public document portals,CLM-2026-07-12-03;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-07,H1;H3;H7,medium,unknown,"""Baltimore"" ""collective bargaining agreement"" police fire public works; ""Baltimore"" ""labor agreement"" AFSCME; ""Maryland"" ""factfinding"" ""police"" ""fire""",Second-wave candidate; promote only if non-safety bottleneck is solvable in public sources.
NST-2026-07-12-029,Colorado,Denver,medium,not_started,matched police/fire/non-safety CBA set if public; otherwise defer unless a high-value arbitration/factfinding source is public,yes,yes,yes,yes_if_public,municipal labor relations/HR pages; city council files; state labor board repositories; union pages; public document portals,CLM-2026-07-12-03;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-07,H1;H3;H7,medium,unknown,"""Denver"" ""collective bargaining agreement"" police fire public works; ""Denver"" ""labor agreement"" AFSCME; ""Colorado"" ""factfinding"" ""police"" ""fire""",Second-wave candidate; promote only if non-safety bottleneck is solvable in public sources.
