wave_id,priority_rank,state,municipality,municipality_id,census_gov_id,government_name,government_type,geography_type,population,county_relationship_count,multi_county_flag,county_context_summary,already_scouted,scout_positive_status,already_in_corpus,selection_bucket,selection_reason,claim_or_source_need_connection,expected_units_to_search,verification_notes,recommended_scout_status
NWMS-2026-07-16-01,11,MA,Franklin,ma_franklin,194918,CITY OF FRANKLIN TOWN,municipal,place,33125,1,no,Norfolk County [25021; county; government-units-primary=yes; basis=2020_place_by_county],no,not_scouted,yes,repeat_cycle_claim_anchor,Add a repeat cycle for the existing Franklin matched-design anchor instead of accumulating a new safety-only city.,CLM-2026-07-12-03; CLM-2026-07-12-04; CLM-2026-07-12-05; H1; H3; H4; H8,police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public impasse/arbitration/factfinding material when available; prioritize a repeat cycle for the already represented units,"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified. Confirm that the government actually has paid public-safety bargaining units; universe inclusion alone does not prove unit availability.",ready_for_scout
NWMS-2026-07-16-01,12,MA,Seekonk,ma_seekonk,166481,TOWN OF SEEKONK,township,county_subdivision,15725,1,no,Bristol County [25005; county; government-units-primary=yes; basis=2024_county_subdivision_geoid],no,not_scouted,yes,repeat_cycle_claim_anchor,Add a repeat cycle for the existing Seekonk matched-design anchor instead of accumulating a new safety-only city.,CLM-2026-07-12-03; CLM-2026-07-12-04; CLM-2026-07-12-05; H1; H3; H4; H8,police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public impasse/arbitration/factfinding material when available; prioritize a repeat cycle for the already represented units,"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified. Confirm the township government—not a same-name city, county, school district, or statistical place—is the employer. Confirm that the government actually has paid public-safety bargaining units; universe inclusion alone does not prove unit availability.",ready_for_scout
NWMS-2026-07-16-01,13,TX,Houston,tx_houston,176169,CITY OF HOUSTON,municipal,place,2314157,4,yes,Fort Bend County [48157; county; government-units-primary=no; basis=2020_place_by_county] | Harris County [48201; county; government-units-primary=yes; basis=2020_place_by_county] | Montgomery County [48339; county; government-units-primary=no; basis=2020_place_by_county] | Waller County [48473; county; government-units-primary=no; basis=2020_place_by_county],no,not_scouted,yes,repeat_cycle_claim_anchor,Add a repeat cycle for the existing Houston matched-design anchor instead of accumulating a new safety-only city.,CLM-2026-07-12-02; CLM-2026-07-12-04; CLM-2026-07-12-05; CLM-2026-07-12-08; H1; H3; H4; H6,police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public impasse/arbitration/factfinding material when available; prioritize a repeat cycle for the already represented units,"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified. Retain every county relationship shown in county_context_summary; do not use a primary-county shortcut. High-burden large-city review: cap verification to the strongest official/union triad leads before expanding.",ready_for_scout
NWMS-2026-07-16-01,14,IL,Chicago,il_chicago,162236,CITY OF CHICAGO,municipal,place,2664452,2,yes,Cook County [17031; county; government-units-primary=yes; basis=2020_place_by_county] | DuPage County [17043; county; government-units-primary=no; basis=2020_place_by_county],no,not_scouted,no,claim_register_named_target,"Carry forward NST-2026-07-12-011, an explicit high-priority national source target; expected value=high and verification burden=medium.",CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07; H1;H2;H3;H4;H5;H7,police CBA; fire CBA; one general municipal non-safety CBA; any arbitration/factfinding/impasse or wage-study source in same cycle,"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified. Retain every county relationship shown in county_context_summary; do not use a primary-county shortcut. High-burden large-city review: cap verification to the strongest official/union triad leads before expanding.",ready_for_scout
NWMS-2026-07-16-01,15,IL,Aurora,il_aurora,189929,CITY OF AURORA,municipal,place,177563,4,yes,DuPage County [17043; county; government-units-primary=no; basis=2020_place_by_county] | Kane County [17089; county; government-units-primary=yes; basis=2020_place_by_county] | Kendall County [17093; county; government-units-primary=no; basis=2020_place_by_county] | Will County [17197; county; government-units-primary=no; basis=2020_place_by_county],no,not_scouted,no,claim_register_named_target,"Carry forward NST-2026-07-12-012, an explicit high-priority national source target; expected value=high and verification burden=medium.",CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07; H1;H2;H3;H4;H5;H7,police CBA; fire CBA; one general municipal non-safety CBA; any arbitration/factfinding/impasse or wage-study source in same cycle,"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified. Retain every county relationship shown in county_context_summary; do not use a primary-county shortcut.",ready_for_scout
NWMS-2026-07-16-01,16,IL,Rockford,il_rockford,102882,CITY OF ROCKFORD,municipal,place,146120,2,yes,Ogle County [17141; county; government-units-primary=no; basis=2020_place_by_county] | Winnebago County [17201; county; government-units-primary=yes; basis=2020_place_by_county],no,not_scouted,no,claim_register_named_target,"Carry forward NST-2026-07-12-013, an explicit high-priority national source target; expected value=high and verification burden=medium.",CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07; H1;H2;H3;H4;H5;H7,police CBA; fire CBA; one general municipal non-safety CBA; any arbitration/factfinding/impasse or wage-study source in same cycle,"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified. Retain every county relationship shown in county_context_summary; do not use a primary-county shortcut.",ready_for_scout
NWMS-2026-07-16-01,17,IL,Springfield,il_springfield,162629,CITY OF SPRINGFIELD,municipal,place,112544,1,no,Sangamon County [17167; county; government-units-primary=yes; basis=2020_place_by_county],no,not_scouted,no,claim_register_named_target,"Carry forward NST-2026-07-12-014, an explicit high-priority national source target; expected value=high and verification burden=medium.",CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07; H1;H2;H3;H4;H5;H7,police CBA; fire CBA; one general municipal non-safety CBA; any arbitration/factfinding/impasse or wage-study source in same cycle,"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified.",ready_for_scout
NWMS-2026-07-16-01,18,IL,Naperville,il_naperville,162299,CITY OF NAPERVILLE,municipal,place,150245,2,yes,DuPage County [17043; county; government-units-primary=yes; basis=2020_place_by_county] | Will County [17197; county; government-units-primary=no; basis=2020_place_by_county],no,not_scouted,no,claim_register_named_target,"Carry forward NST-2026-07-12-015, an explicit high-priority national source target; expected value=high and verification burden=medium.",CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07; H1;H2;H3;H4;H5;H7,police CBA; fire CBA; one general municipal non-safety CBA; any arbitration/factfinding/impasse or wage-study source in same cycle,"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified. Retain every county relationship shown in county_context_summary; do not use a primary-county shortcut.",ready_for_scout
NWMS-2026-07-16-01,19,NY,Buffalo,ny_buffalo,186634,CITY OF BUFFALO,municipal,place,274678,1,no,Erie County [36029; county; government-units-primary=yes; basis=2020_place_by_county],no,not_scouted,no,claim_register_named_target,"Carry forward NST-2026-07-12-016, an explicit high-priority national source target; expected value=high and verification burden=high.",CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07; H1;H2;H3;H4;H5;H7,police CBA; fire CBA; one general municipal non-safety CBA; any arbitration/factfinding/impasse or wage-study source in same cycle,"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified.",ready_for_scout
NWMS-2026-07-16-01,20,NY,Rochester,ny_rochester,131239,CITY OF ROCHESTER,municipal,place,207274,1,no,Monroe County [36055; county; government-units-primary=yes; basis=2020_place_by_county],no,not_scouted,no,claim_register_named_target,"Carry forward NST-2026-07-12-017, an explicit high-priority national source target; expected value=high and verification burden=high.",CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07; H1;H2;H3;H4;H5;H7,police CBA; fire CBA; one general municipal non-safety CBA; any arbitration/factfinding/impasse or wage-study source in same cycle,"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified.",ready_for_scout
NWMS-2026-07-16-01,21,NY,Syracuse,ny_syracuse,170582,CITY OF SYRACUSE,municipal,place,145560,1,no,Onondaga County [36067; county; government-units-primary=yes; basis=2020_place_by_county],no,not_scouted,no,claim_register_named_target,"Carry forward NST-2026-07-12-018, an explicit high-priority national source target; expected value=high and verification burden=high.",CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07; H1;H2;H3;H4;H5;H7,police CBA; fire CBA; one general municipal non-safety CBA; any arbitration/factfinding/impasse or wage-study source in same cycle,"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified.",ready_for_scout
NWMS-2026-07-16-01,22,NY,Yonkers,ny_yonkers,109593,CITY OF YONKERS,municipal,place,207657,1,no,Westchester County [36119; county; government-units-primary=yes; basis=2020_place_by_county],no,not_scouted,no,claim_register_named_target,"Carry forward NST-2026-07-12-019, an explicit high-priority national source target; expected value=high and verification burden=high.",CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07; H1;H2;H3;H4;H5;H7,police CBA; fire CBA; one general municipal non-safety CBA; any arbitration/factfinding/impasse or wage-study source in same cycle,"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified.",ready_for_scout
NWMS-2026-07-16-01,23,NY,Albany,ny_albany,170440,CITY OF ALBANY,municipal,place,101228,1,no,Albany County [36001; county; government-units-primary=yes; basis=2020_place_by_county],no,not_scouted,no,claim_register_named_target,"Carry forward NST-2026-07-12-020, an explicit high-priority national source target; expected value=high and verification burden=high.",CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07; H1;H2;H3;H4;H5;H7,police CBA; fire CBA; one general municipal non-safety CBA; any arbitration/factfinding/impasse or wage-study source in same cycle,"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified.",ready_for_scout
NWMS-2026-07-16-01,24,NJ,Camden,nj_camden,170146,CITY OF CAMDEN,municipal,place,71100,1,no,Camden County [34007; county; government-units-primary=yes; basis=2020_place_by_county],no,not_scouted,no,claim_register_named_target,"Carry forward NST-2026-07-12-010, an explicit high-priority national source target; expected value=high and verification burden=medium.",CLM-2026-07-12-01;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-06;CLM-2026-07-12-07; H1;H2;H3;H4;H5;H7,police CBA; fire CBA; one general municipal non-safety CBA; any arbitration/factfinding/impasse or wage-study source in same cycle,"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified. Use the PERC employer index as a verification route, but do not treat an index entry or decision synopsis as the CBA itself. Confirm that the government actually has paid public-safety bargaining units; universe inclusion alone does not prove unit availability.",ready_for_scout
NWMS-2026-07-16-01,25,CA,Los Angeles,ca_los_angeles,161174,CITY OF LOS ANGELES,municipal,place,3820914,1,no,Los Angeles County [06037; county; government-units-primary=yes; basis=2020_place_by_county],no,not_scouted,no,claim_register_named_target,"Carry forward NST-2026-07-12-021, an explicit medium-priority national source target; expected value=medium and verification burden=unknown.",CLM-2026-07-12-03;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-07; H1;H3;H4,matched police/fire/non-safety CBA set if public; otherwise defer unless a high-value arbitration/factfinding source is public,"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified. High-burden large-city review: cap verification to the strongest official/union triad leads before expanding.",ready_for_scout
NWMS-2026-07-16-02,26,CA,Sacramento,ca_sacramento,161241,CITY OF SACRAMENTO,municipal,place,526384,1,no,Sacramento County [06067; county; government-units-primary=yes; basis=2020_place_by_county],no,not_scouted,no,claim_register_named_target,"Carry forward NST-2026-07-12-022, an explicit medium-priority national source target; expected value=medium and verification burden=unknown.",CLM-2026-07-12-03;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-07; H1;H3;H4,matched police/fire/non-safety CBA set if public; otherwise defer unless a high-value arbitration/factfinding source is public,"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified.",ready_for_scout
NWMS-2026-07-16-02,27,WA,Seattle,wa_seattle,184255,CITY OF SEATTLE,municipal,place,755078,1,no,King County [53033; county; government-units-primary=yes; basis=2020_place_by_county],no,not_scouted,no,claim_register_named_target,"Carry forward NST-2026-07-12-023, an explicit medium-priority national source target; expected value=medium and verification burden=unknown.",CLM-2026-07-12-03;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-07; H1;H2;H3;H7,matched police/fire/non-safety CBA set if public; otherwise defer unless a high-value arbitration/factfinding source is public,"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified.",ready_for_scout
NWMS-2026-07-16-02,28,OR,Portland,or_portland,211254,CITY OF PORTLAND,municipal,place,630498,3,yes,Clackamas County [41005; county; government-units-primary=no; basis=2020_place_by_county] | Multnomah County [41051; county; government-units-primary=yes; basis=2020_place_by_county] | Washington County [41067; county; government-units-primary=no; basis=2020_place_by_county],no,not_scouted,no,claim_register_named_target,"Carry forward NST-2026-07-12-024, an explicit medium-priority national source target; expected value=medium and verification burden=unknown.",CLM-2026-07-12-03;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-07; H1;H3;H7,matched police/fire/non-safety CBA set if public; otherwise defer unless a high-value arbitration/factfinding source is public,"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified. Retain every county relationship shown in county_context_summary; do not use a primary-county shortcut.",ready_for_scout
NWMS-2026-07-16-02,29,CT,Hartford,ct_hartford,161441,CITY OF HARTFORD,municipal,place,119669,1,no,Capitol Planning Region [09110; planning_region; government-units-primary=yes; basis=2025_government_units_primary_county_supplement],no,not_scouted,no,claim_register_named_target,"Carry forward NST-2026-07-12-025, an explicit medium-priority national source target; expected value=medium and verification burden=unknown.",CLM-2026-07-12-03;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-07; H2;H5;H8,matched police/fire/non-safety CBA set if public; otherwise defer unless a high-value arbitration/factfinding source is public,"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified.",ready_for_scout
NWMS-2026-07-16-02,30,MN,Minneapolis,mn_minneapolis,193551,CITY OF MINNEAPOLIS,municipal,place,425115,1,no,Hennepin County [27053; county; government-units-primary=yes; basis=2020_place_by_county],no,not_scouted,no,claim_register_named_target,"Carry forward NST-2026-07-12-026, an explicit medium-priority national source target; expected value=medium and verification burden=unknown.",CLM-2026-07-12-03;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-07; H1;H3;H7,matched police/fire/non-safety CBA set if public; otherwise defer unless a high-value arbitration/factfinding source is public,"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified.",ready_for_scout
NWMS-2026-07-16-02,31,WI,Madison,wi_madison,209777,CITY OF MADISON,municipal,place,280305,1,no,Dane County [55025; county; government-units-primary=yes; basis=2020_place_by_county],no,not_scouted,no,claim_register_named_target,"Carry forward NST-2026-07-12-027, an explicit medium-priority national source target; expected value=medium and verification burden=unknown.",CLM-2026-07-12-03;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-07; H6;H7,matched police/fire/non-safety CBA set if public; otherwise defer unless a high-value arbitration/factfinding source is public,"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified.",ready_for_scout
NWMS-2026-07-16-02,32,MD,Baltimore,md_baltimore,208246,CITY OF BALTIMORE,municipal,place,565239,1,no,Baltimore city [24510; independent_city; government-units-primary=yes; basis=2020_place_by_county],no,not_scouted,no,claim_register_named_target,"Carry forward NST-2026-07-12-028, an explicit medium-priority national source target; expected value=medium and verification burden=unknown.",CLM-2026-07-12-03;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-07; H1;H3;H7,matched police/fire/non-safety CBA set if public; otherwise defer unless a high-value arbitration/factfinding source is public,"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified.",ready_for_scout
NWMS-2026-07-16-02,33,CO,Denver,co_denver,194647,CITY AND COUNTY OF DENVER,municipal,place,716577,1,no,Denver County [08031; county; government-units-primary=yes; basis=2020_place_by_county],no,not_scouted,no,claim_register_named_target,"Carry forward NST-2026-07-12-029, an explicit medium-priority national source target; expected value=medium and verification burden=unknown.",CLM-2026-07-12-03;CLM-2026-07-12-04;CLM-2026-07-12-05;CLM-2026-07-12-07; H1;H3;H7,matched police/fire/non-safety CBA set if public; otherwise defer unless a high-value arbitration/factfinding source is public,"After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified.",ready_for_scout
NWMS-2026-07-16-02,34,TX,Dallas,cog_2025_187649,187649,CITY OF DALLAS,municipal,place,1302868,5,yes,Collin County [48085; county; government-units-primary=no; basis=2020_place_by_county] | Dallas County [48113; county; government-units-primary=yes; basis=2020_place_by_county] | Denton County [48121; county; government-units-primary=no; basis=2020_place_by_county] | Kaufman County [48257; county; government-units-primary=no; basis=2020_place_by_county] | Rockwall County [48397; county; government-units-primary=no; basis=2020_place_by_county],no,not_scouted,no,institutional_regime_contrast,"Selected as a very-large government for specialized or uneven safety-versus-non-safety bargaining-pathway contrast; the classification is a source-planning hypothesis to verify, not a legal finding.",CLM-2026-07-12-02; CLM-2026-07-12-04; CLM-2026-07-12-05; CLM-2026-07-12-08; H1; H3; H4; H6,"police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public impasse/arbitration/factfinding material when available; if no ordinary non-safety CBA exists, locate the authoritative wage-setting pathway","After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified. Retain every county relationship shown in county_context_summary; do not use a primary-county shortcut. High-burden large-city review: cap verification to the strongest official/union triad leads before expanding.",ready_for_scout
NWMS-2026-07-16-02,35,TX,Fort Worth,cog_2025_176375,176375,CITY OF FORT WORTH,municipal,place,978468,5,yes,Denton County [48121; county; government-units-primary=no; basis=2020_place_by_county] | Johnson County [48251; county; government-units-primary=no; basis=2020_place_by_county] | Parker County [48367; county; government-units-primary=no; basis=2020_place_by_county] | Tarrant County [48439; county; government-units-primary=yes; basis=2020_place_by_county] | Wise County [48497; county; government-units-primary=no; basis=2020_place_by_county],no,not_scouted,no,institutional_regime_contrast,"Selected as a large government for specialized or uneven safety-versus-non-safety bargaining-pathway contrast; the classification is a source-planning hypothesis to verify, not a legal finding.",CLM-2026-07-12-02; CLM-2026-07-12-04; CLM-2026-07-12-05; CLM-2026-07-12-08; H1; H3; H4; H6,"police; fire; at least one ordinary general-municipal non-safety unit (clerical_admin/public_works/sanitation/library); public impasse/arbitration/factfinding material when available; if no ordinary non-safety CBA exists, locate the authoritative wage-setting pathway","After scouting, verify exact employer, official/union provenance, 2014-2024 cycle dates, and a safety/non-safety overlap before promotion; scout output remains unverified. Retain every county relationship shown in county_context_summary; do not use a primary-county shortcut.",ready_for_scout
