hypothesis_id,hypothesis_name,mechanism_family,current_recommendation,report_role,main_groups,rationale,evidence_status,source_need,merge_with,notes
H21,DPW service deferral and delayed maintenance,staffing_dynamics,keep_supporting,supporting,"DPW, sanitation, transit",Direct analog to sanitation's route-coverage discussion and transit's service-cut buffering (H39); evidentiarily demanding to test causally,plausible_but_under_sourced,"Lagged relationship between staffing strain and capital spending, not feasible with current corpus",,
H22,DPW classification fragmentation,measurement_composition,keep_supporting,caveat,"DPW, custodial_facilities",Confirmed in current corpus (Wayland's 15-title unit; Arlington's DPW+custodial+clerical+dispatch bundle); directly analogous to custodial/facilities' bundling pattern,strong_current_corpus,Classification-specific wage-change data vs. department-wide average,,
H23,clerical/admin classification restraint,institutions,keep_central,central,clerical_admin,Boston's Compensation Grade Appeals process is the most restrictive dispute-resolution mechanism found anywhere in this project's corpus; national civil-service architecture confirmed as a norm,strong_current_corpus,Comparative processing/approval-rate data across cities,,
H24,clerical/admin reclassification pressure,staffing_dynamics,keep_supporting,supporting,clerical_admin,Process confirmed in current corpus (Boston); outcome/frequency data not available from CBA text alone,moderate_current_corpus,"Reclassification-request outcome data (approval rates, dollar impact)",,
H25,clerical/admin pay compression,fiscal_capacity,keep_supporting,supporting,clerical_admin,"Century Foundation multi-state estimate (MA-inclusive, ~0.6% weighted average) is external context only; current single-cycle-per-city corpus cannot test a within-city trend",external_context_only,"Multiple contract cycles per city, not available",,
H26,clerical/admin service backlog absorption,staffing_dynamics,keep_supporting,supporting,clerical_admin,Confirmed absent directly in current corpus; adjacent finding (Boston's CGA excludes workload increases as reclassification grounds) is weak evidence,moderate_current_corpus,"Municipal annual reports/service-time data, not reviewed",,
H27,clerical/admin lower public salience,politics,demote,caveat,clerical_admin,"Salience is function-dependent (election administration vs. routine clerical work), not uniformly low; a caveat on H7, not a separate central finding",plausible_but_under_sourced,Local news/council-attention comparison,H7,
H28,library professional credentialing,training_credentials,keep_supporting,supporting,"library, nurse_health (by analogy)","Confirmed uneven across this project's 3 library cities (Franklin stipend, Seekonk/Wayland absent); directly parallels the nurse_health RN-licensure discussion",strong_current_corpus,Pay-grade placement of credentialed vs. non-credentialed titles,,
H29,library classification and reclassification restraint,institutions,keep_supporting,supporting,"library, custodial_facilities (structurally similar)","Confirmed for 2 of 3 library cities (Franklin, Wayland); structurally near-identical to DPW's/clerical-admin's reclassification mechanisms",strong_current_corpus,Comparative procedural detail vs. DPW's/clerical-admin's processes,,
H30,library part-time and page staffing structural; volunteer-substitution contested,staffing_dynamics,keep_supporting,supporting,library,"Volunteer-substitution sub-hypothesis is CONTRADICTED, not confirmed (Franklin's Article 28 bars it) -- a genuine finding running counter to a naive buffering story",strong_current_corpus,"Part-time share of total headcount/hours over time, not testable with single-cycle corpus",,
H31,"library service deferral via reduced hours, branch, program, or acquisitions cuts",staffing_dynamics,demote,caveat,"library, nurse_health, custodial_facilities","Not found in any of 3 library CBAs -- CBA text is the wrong document type for this signal, per the source-document-production-effects finding, not evidence of absence in practice",plausible_but_under_sourced,"Municipal library annual reports/MBLC ARIS data, not available",,
H32,sanitation route coverage pressure,staffing_dynamics,keep_supporting,supporting,"sanitation, transit (H36 parallel)","Sharpest non-safety analog to a police/fire response obligation developed in this project; scoping-stage only, zero sanitation rows exist",external_context_only,Whether any of this project's 9 cities directly employs collection workers,,
H33,sanitation contractor and private-hauler substitution,institutions,keep_central,central,sanitation,Confirmed for 5 of 9 of this project's own cities via the city-service-structure scan; July 2025 Republic Services strike shows multi-city bargaining-unit design-fit problem,strong_current_corpus,"Seekonk Appendix confirmation; Worcester/Somerville source identification, separately authorized",,As an externally-sourced but directly city-specific service-structure finding (5/9 project cities confirmed).
H34,sanitation mechanization and route restructuring,staffing_dynamics,keep_supporting,supporting,sanitation,"Andover's 2025 automated-pickup contract is a confirmed MA example; headcount and per-worker-wage effects must be tracked separately, an ambiguous prediction",moderate_current_corpus,Whether any of this project's 9 cities has undergone a comparable transition,,Confirmed via one Massachusetts example (Andover) outside this project's 9 cities.
H35,sanitation duties bundled within DPW classification,measurement_composition,keep_supporting,supporting,"sanitation, custodial_facilities (structural parallel)","Narrowed to 2 concrete candidates (Seekonk, Worcester) via the city-service-structure scan; directly analogous to DP09 and to custodial/facilities' Arlington-bundling pattern",moderate_current_corpus,Job-description-level re-read of the 5 already-collected public_works CBAs,,"Narrowed to 2 concrete in-project candidates (Seekonk, Worcester) via the city-service-structure scan."
H36,transit route and service coverage pressure,staffing_dynamics,keep_supporting,supporting,"transit, sanitation (H32 parallel)",Structurally similar to sanitation's route-coverage mechanism; route coverage is more schedule-predictable/contractor-substitutable than an emergency response,plausible_but_under_sourced,"Transit-authority board packets/service-alert archives, not reviewed",,Not searched against any actual transit-authority document; a scoping hypothesis only.
H37,transit operator shortage and missed-service pressure,labor_market,keep_supporting,supporting,transit,"Sharpest quantified wage-to-staffing-outcome finding in this project to date (MBTA 2024 raise, 365% application surge), but describes a state authority's own workforce, not any of this project's cities",external_context_only,"Whether a comparable pattern exists at any RTA, not just the MBTA",,"Confirmed via MBTA-specific national/state news reporting, not this project's own corpus."
H38,transit contracting and governance distance from municipal bargaining,institutions,keep_central,central,transit,This project's defining transit finding -- zero city-operated cases among 9 cities; WRTA's private-operator model directly confirmed; structurally deeper than sanitation's H33,strong_current_corpus,"Whether any MA city outside this project's 9 directly operates its own transit workforce, not tested",,As an externally-sourced but directly city-specific governance finding (0/9 project cities are city-operated).
H39,transit service-cut and schedule-redesign buffering,staffing_dynamics,keep_supporting,supporting,"transit, DPW (H21 parallel), sanitation (H32 parallel)",MBTA's ongoing Bus Network Redesign is a concrete candidate; not yet examined for any budget/staffing rationale or wage-adjacent consequence,plausible_but_under_sourced,"MBTA Bus Network Redesign project materials, not reviewed for this angle",,MBTA Bus Network Redesign identified as a candidate but not examined for this angle.
