verification_id,source_stage,municipality,state,municipality_id,scout_candidate_id,original_unit_type,verified_unit_type,document_title_scouted,document_title_verified,source_url,final_url,url_reachable,http_status_or_error,access_type,source_owner_type,source_owner_name,target_employer_verified,verified_employer_name,wrong_employer_flag,wrong_employer_notes,document_type_verified,document_completeness,bargaining_unit_verified,union_name_verified,contract_years_scouted,contract_years_verified,wage_material_present,city_specific_purpose_supported,verification_status,ingestion_recommendation,verification_priority,evidence_notes,limits_or_uncertainties,next_action
TXV-2026-07-16-A05,trace_only,Austin,TX,tx_austin,TXTRACE-005,unknown,context_only,Raw Austin web trace,Requested labor-agreement compliance assistance page not found,https://www.austintexas.gov/service/labor-agreement-compliance-assistance,https://www.austintexas.gov/service/labor-agreement-compliance-assistance,no,404,unreachable,official_city,City of Austin,unclear,,unclear,The route appears related to labor compliance rather than a municipal employee unit but the page was unavailable.,unknown,dead_link,unclear,,not supplied,unknown,unknown,no,trace_only_not_candidate,unreachable_do_not_ingest,low,The exact City URL returned 404.,No content was available to distinguish employee labor relations from contractor labor compliance.,No action.
TXV-2026-07-16-A06,trace_only,Austin,TX,tx_austin,TXTRACE-006,unknown,context_only,Raw Austin web trace,Requested FY2017 budget volume 2 PDF not found,https://www.austintexas.gov/sites/default/files/files/Finance/Financial%20Transparency/AnnualBudgets/FY17_volume2.pdf,https://www.austintexas.gov/sites/default/files/files/Finance/Financial%20Transparency/AnnualBudgets/FY17_volume2.pdf,no,404,unreachable,official_city,City of Austin,unclear,,no,No substitute employer appeared; the purported budget file was unavailable.,budget_document,dead_link,unclear,,not supplied,FY2017 asserted by file name,unknown,no,trace_only_not_candidate,unreachable_do_not_ingest,low,The exact City PDF URL returned 404.,The file name suggests potentially useful pay-plan context but no contents could be checked.,No action inside this bounded pass.
TXV-2026-07-16-A07,trace_only,Austin,TX,tx_austin,TXTRACE-007,unknown,unclear,Raw Austin web trace,DOL-hosted CBA file blocked,https://www.dol.gov/sites/dolgov/files/olms/regs/compliance/cba/public/800417_6-30-13.pdf,https://www.dol.gov/sites/dolgov/files/olms/regs/compliance/cba/public/800417_6-30-13.pdf,no,403,blocked,official_federal,U.S. Department of Labor,unclear,,unclear,The numerical file path gives no employer identity and the document could not be opened.,unknown,access_blocked,unclear,,not supplied,2013 asserted by file name,unknown,no,trace_only_not_candidate,needs_manual_review,low,The direct request returned HTTP 403.,Even if relevant it appears to predate the main observation window and employer identity is unverified.,Do not use without a separately supplied accessible copy and exact employer metadata.
TXV-2026-07-16-A08,trace_only,Austin,TX,tx_austin,TXTRACE-008,unknown,context_only,Raw Austin web trace,Requested AFSCME Austin minimum-wage article redirected to the generic AFSCME blog,https://www.afscme.org/blog/austin-afscme-members-secure-20-minimum-wage-for-city-and-county-workers,https://afscme.org/blog/,partial,200 after redirect; requested article absent,public_no_login,official_union,AFSCME,unclear,,unclear,The requested title mixes city and county workers; the final page contained no article to separate them.,news_or_union_blog,redirected_generic_index,unclear,AFSCME,not supplied,unknown,no,no,trace_only_not_candidate,do_not_ingest,low,The URL no longer resolves to the cited Austin article and lands on the generic AFSCME blog.,No city-specific text dates or wage evidence survived the redirect.,Do not use.
TXV-2026-07-16-A09,trace_only,Austin,TX,tx_austin,TXTRACE-009,unknown,wrong_employer,Raw Austin web trace,AFSCME Local 3336 contract-download page for Portland Oregon,https://www.afscme3336.org/index.cfm?orderbystyle=ASC&orderbytype=LastUpdate&zone=%2Funionactive%2Fcontract.cfm,https://www.afscme3336.org/index.cfm?orderbystyle=ASC&orderbytype=LastUpdate&zone=%2Funionactive%2Fcontract.cfm,yes,200,public_no_login,official_union,AFSCME Local 3336,no,Portland-area employer; not City of Austin,yes,Trace leaked to an Oregon local and unrelated collective bargaining agreements.,contract_index,index_page_with_contract_links,Portland-area unit,AFSCME Local 3336,not supplied,multiple 2011-2027 cycles listed,yes,no,trace_only_not_candidate,do_not_ingest,low,The page footer gives a Portland Oregon address and lists Oregon-local agreements.,This is trace-stage wrong-employer leakage and was correctly absent from parsed candidates.,Reject permanently for Austin.
TXV-2026-07-16-A10,trace_only,Austin,TX,tx_austin,TXTRACE-010,unknown,ordinary_non_safety,Raw Austin web trace,AFSCME article on City of Austin IT consolidation and public-service staffing,https://www.afscme.org/blog/budget-gaps-vs-grave-risks-afscme-austin-fights-to-protect-public-safety,https://afscme.org/blog/budget-gaps-vs-grave-risks-afscme-austin-fights-to-protect-public-safety/,yes,200,public_no_login,official_union,AFSCME,yes,City of Austin,no,The article discusses City IT workers; public-safety effects are context rather than a substitute employer.,union_news_article,full_web_article,City IT and other civilian workers,AFSCME Local 1624,not supplied,2026-04-27,no,partial,trace_only_not_candidate,context_only_do_not_ingest,low,The article verifies AFSCME representation and a civilian workforce mechanism around IT consolidation.,It is post-window union commentary with no wage schedule or bargaining-cycle document.,Keep only as post-window context; not an ordinary comparator contract.
TXV-2026-07-16-A11,trace_only,Austin,TX,tx_austin,TXTRACE-011,unknown,fire,Raw Austin web trace,Legistar item approving a four-year Austin Firefighters Association CBA,https://austintexas.legistar.com/LegislationDetail.aspx?GUID=CC01A48E-95A0-471C-8B7E-53379878F9B0&ID=7782325&Options=&Search=,https://austintexas.legistar.com/LegislationDetail.aspx?GUID=CC01A48E-95A0-471C-8B7E-53379878F9B0&ID=7782325&Options=&Search=,yes,200,public_no_login,official_city,City of Austin via Legistar,yes,City of Austin,no,Correct city but a safety unit rather than the requested ordinary non-safety comparator.,meeting_agenda_item,summary_with_attachment_links,Austin Fire Department employees covered by the AFA,Austin Firefighters Association,not supplied,successor agreement considered 2025-12-18; four-year term,limited,no,trace_only_not_candidate,do_not_ingest,low,The official agenda item identifies a fire CBA and prior 2017-2025 fire bargaining history.,It is outside the 2014-2024 target endpoint and fails the non-safety purpose.,Do not elevate in this wave.
TXV-2026-07-16-A12,trace_only,Austin,TX,tx_austin,TXTRACE-012,unknown,context_only,Raw Austin web trace,City Council regular meeting page for 2014-10-02,https://www.austintexas.gov/council/2014/20141002-reg,https://www.austintexas.gov/council/2014/20141002-reg,yes,200,public_no_login,official_city,City of Austin,unclear,,no,No alternate employer was promoted; the page is a broad council agenda.,meeting_agenda,index_page_with_many_items,unclear,,not supplied,2014-10-02,no,no,trace_only_not_candidate,context_only_do_not_ingest,low,The page is reachable but the inspected content did not identify a relevant municipal employee agreement or wage schedule.,The trace did not point to a specific labor item and open-ended agenda mining was outside scope.,No action.
TXV-2026-07-16-A13,trace_only,Austin,TX,tx_austin,TXTRACE-013,unknown,ordinary_non_safety_mixed_employer,Raw Austin web trace,AFSCME Local 1624 homepage,https://afscme1624.org/,https://afscme1624.org/,yes,200,public_no_login,official_union,AFSCME Local 1624,yes,City of Austin and Travis County workers,no,The local represents both City and County workers; the City is explicitly present but must be separated from County material.,union_homepage,homepage,approximately 4900 City of Austin and Travis County workers,AFSCME Local 1624,not supplied,current page; 2026 consultation agreement described,no,partial,trace_only_not_candidate,context_only_do_not_ingest,medium,The union page verifies Local 1624's City-worker role and a 2026 consultation agreement.,It mixes City and County membership and provides no in-window City wage agreement or schedule.,Use only to identify the correct union; require City-specific documents before any promotion.
TXV-2026-07-16-A14,trace_only,Austin,TX,tx_austin,TXTRACE-014,unknown,wrong_employer,Raw Austin web trace,AFSCME Local 3866 documents and agreements for Eastern Michigan University,https://www.afscme3866.org/documents-and-links/,https://www.afscme3866.org/documents-and-links/,yes,200,public_no_login,official_union,AFSCME Local 3866,no,Eastern Michigan University; not City of Austin,yes,Trace leaked to an out-of-state university employer.,contract_index,index_page_with_contract_links,Eastern Michigan University unit,AFSCME Local 3866,not supplied,multiple 2011-2026 cycles listed,yes,no,trace_only_not_candidate,do_not_ingest,low,The page explicitly identifies Eastern Michigan University work rules and union contracts.,This is clear trace-stage wrong-employer leakage and was not parsed as a candidate.,Reject permanently for Austin.
TXV-2026-07-16-A15,trace_only,Austin,TX,tx_austin,TXTRACE-015,unknown,context_only,Raw Austin web trace,City of Austin Government That Works for All 2022 year-in-review story,https://data.austintexas.gov/stories/s/Government-That-Works-for-All-2022-Year-in-Review/spi5-uhii/,https://data.austintexas.gov/stories/s/Government-That-Works-for-All-2022-Year-in-Review/spi5-uhii/,yes,200,public_no_login,official_city,City of Austin Open Data,yes,City of Austin,no,Correct city context; no substitute employer.,performance_story,web_story,unclear,,not supplied,2022,no,no,trace_only_not_candidate,context_only_do_not_ingest,low,The official page is a broad performance narrative rather than an employee wage-setting instrument.,Dynamic content and broad scope provide no unit-level contract or pay schedule.,No action.
TXV-2026-07-16-A16,trace_only,Austin,TX,tx_austin,TXTRACE-016,unknown,ordinary_non_safety,Raw Austin web trace,City of Austin Human Resources Compensation Division page,https://www.austintexas.gov/human-resources/divisions/compensation-division,https://www.austintexas.gov/human-resources/divisions/compensation-division,yes,200,public_no_login,official_city,City of Austin,yes,City of Austin,no,The page is explicitly for City employees and separately labels municipal EMS fire and police pay scales.,compensation_plan_index,webpage_with_unresolved_pay_scale_labels,regular and temporary City employees; municipal pay-scale category,not applicable,not supplied,current page; living wage effective 2025-10,limited,partial,trace_only_not_candidate,context_only_do_not_ingest,medium,The page confirms an authoritative City compensation pathway and states a $22.05 living wage effective October 2025. It labels a Municipal pay-scale category distinct from EMS Fire and Police.,The returned HTML did not expose a link or values for the Municipal scale and the visible wage is post-window. It is not a CBA and cannot yet supply an in-window comparator row.,Potential locator only. A future bounded pass would need a direct in-window municipal pay-scale document before promotion.
TXV-2026-07-16-A17,trace_only,Austin,TX,tx_austin,TXTRACE-017,unknown,ordinary_non_safety,Raw Austin web trace,Resolution 20260226-036 approving an AFSCME Local 1624 consultation policy,https://services.austintexas.gov/edims/document.cfm?id=468416,https://services.austintexas.gov/edims/document.cfm?id=468416,yes,200,public_no_login,official_city,City of Austin,yes,City of Austin,no,The adopted policy covers non-sworn City employees; no outside employer substitutes for the City.,resolution_and_consultation_policy,full_three_page_document,groups of non-sworn City employees,AFSCME Local 1624,not supplied,adopted 2026-02-26,no,partial,trace_only_not_candidate,context_only_do_not_ingest,medium,The official resolution verifies the post-window civilian consultation mechanism and includes budgets market studies benefits and working conditions as subjects.,It is outside 2014-2024 and contains neither a wage schedule nor a bargaining agreement.,Retain only as post-window mechanism context; not the requested comparator.
TXV-2026-07-16-A18,trace_only,Austin,TX,tx_austin,TXTRACE-018,unknown,context_only,Raw Austin web trace,Unofficial closed-caption log of the 2005-08-25 Austin City Council meeting,https://services.austintexas.gov/edims/document.cfm?id=192807,https://services.austintexas.gov/edims/document.cfm?id=192807,yes,200,public_no_login,official_city,City of Austin,unclear,,no,No substitute employer; no relevant labor instrument was identified.,meeting_transcript,full_164_page_unofficial_caption_log,unclear,,not supplied,2005-08-25,limited,no,trace_only_not_candidate,context_only_do_not_ingest,low,The PDF is an unofficial City Council closed-caption log and predates the observation window; incidental budget and living-wage discussion is not a unit contract.,The trace is temporally and substantively irrelevant to the requested Austin comparator.,No action.
