group,mechanism_or_claim,current_evidence_status,source_needed,source_family,geography,priority,fetch_later,likely_corpus,reason,notes
custodial_facilities,full-text re-read of ma_georgetown_other_2020 and ma_franklin_other_2022,current_corpus,No — completed 2026-07-06,cba,current_project_city,must_have,no,causal,"native pdftotext re-read of both documents found complete, multi-step salary schedules with genuine classification tiers (Georgetown's licensed-vs-unlicensed maintenance credential differential; Franklin's 4-tier custodian schedule)","See pre_report_must_have_evidence_review_2026-07-06.md sec 4; classified confirmed_comparison_group, recommendation upgraded to keep_strong_comparison"
custodial_facilities,schema decision: add custodial/facilities to occupation_class,design_mismatch,"Yes — user/PI decision, not a data gap",other,unclear,must_have,no,not_applicable,blocks proper classification of 2 already-collected rows,"A governance/design decision, not a source-acquisition question"
custodial_facilities,Arlington custodial job-description-level content within the bundled unit,current_corpus,No — completed 2026-07-06,cba,current_project_city,useful,no,causal,"native pdftotext re-read found a dedicated Appendix B (Custodial Vacancies), senior/junior custodian acting-up rule, shift premiums, and a narrow boiler/furnace-cleaning outsourcing carve-out; no dedicated custodial base-wage table (shares unit-wide % increases)",See pre_report_must_have_evidence_review_2026-07-06.md sec 4; classified possible_bundled_evidence (supplementary to Georgetown/Franklin)
custodial_facilities,custodial/facilities outsourcing arrangements for this project's cities,absent,Yes,procurement_contract,current_project_city,optional,maybe,context_only,not investigated for any city this session,Mirrors DPW's/sanitation's contractor-substitution discipline
dispatchers,full re-read of Arlington 'Community Safety Dispatchers' text for wage/step data,current_corpus,"Partially — dispatcher-specific mechanism text (staffing, coverage, credentialing) fully reviewed; per-classification base-wage table remains external (Classification and Pay Plan, not in corpus)",cba,current_project_city,useful,maybe,causal,"full Article XXI text reviewed (9-person complement, minimum-coverage-of-2 rule, EMD stipend); only unit-wide % increases visible for wages, no per-classification dollar table",See pre_report_must_have_evidence_review_2026-07-06.md sec 3; classified confirmed_public_safety_adjacent; the external Classification and Pay Plan document is the only remaining gap for a base-wage comparison
dispatchers,Arlington's and Wayland's binding_arbitration_statute field for dispatcher-bearing rows,current_corpus,No — completed 2026-07-06,cba,current_project_city,must_have,no,causal,"directly confirmed: both Arlington public_works rows and the Wayland other row read MA G.L. c. 150E, not JLMC/c. 1078",Closes the previously-open DP-D03 institutional question; no longer assumed by extension
dispatchers,OCR re-extraction of ma_wayland_afscme_1_2_2020_2023.pdf for dispatch content,current_corpus,No — completed 2026-07-06,cba,current_project_city,must_have,no,causal,"bounded OCR pass (48 pages) found a full dollar-figure grade table for JCC Dispatcher/Coordinator (G-3/G-4), shift differentials, and civilian-status/Police-Chief-supervision language","See pre_report_must_have_evidence_review_2026-07-06.md sec 5; a second city's worth of dispatcher evidence, richer than Arlington's on the wage-visibility dimension"
dispatchers,Massachusetts 560 CMR 5.00 telecommunicator certification text,external_context,Yes,state_statute,Massachusetts,useful,maybe,context_only,identified but not read in depth this session,Would establish the state-administered credentialing regime in full
dispatchers,whether any of this project's cities' dispatch function sits inside a RECC,absent,Yes,board_packet,current_project_city,useful,maybe,context_only,State 911 Department RECC lists not cross-checked against this project's 9 cities,Tests the regionalization/governance-distance mechanism
dispatchers,MA S.1529/H.2366 pension-reclassification bill status,external_context,Yes,state_statute,Massachusetts,optional,maybe,context_only,"2019 bills identified, outcome/status not confirmed","A concrete, dated pension-classification lever"
dispatchers,federal Enhancing First Response Act/9-1-1 SAVES Act enactment status,external_context,Yes,federal_data_context,national,optional,maybe,context_only,passed the Senate in 2025; House/final status not confirmed this session,"Live national policy tracking, not this project's own evidence"
cross-cutting,discourse corpus remains empty (0 rows),absent,Yes — a standing structural gap,local_news,current_project_city,optional,maybe,discourse,no news/budget-narrative/academic-commentary text collected for any city,Affects political-salience and public-framing mechanisms for every group
cross-cutting,comparative local-news-coverage-volume study across occupation classes,absent,Yes,local_news,current_project_city,optional,maybe,discourse,"would test the public-salience mechanism directly, untested for any group",Not attempted anywhere in this project to date
cross-cutting,"matched, same-city, same-period wage/staffing-strain data across all groups",absent,Yes — data_build territory,hr_report,current_project_city,optional,maybe,context_only,the current 32-row corpus does not support this,Would require the OEWS-adjacent build not yet authorized
cross-cutting,Texas Ch.174/142/146 legal follow-up: §174.1535 Mandatory Arbitration text; Ch.146 non-safety adoption status for candidate cities,current_corpus,No — resolved 2026-07-08,state_statute,Texas,useful,no,context_only,"§174.1535 confirmed to be population-gated (municipalities >=1.9M, Houston-only); Ch.146 confirmed population-gated (>=1.5M, Houston-only), not a general local-option chapter",See texas_ohio_legal_followup_source_audit_2026-07-08.md Secs 2-3; both prior open items resolved via direct statute fetch-and-read
cross-cutting,Houston matched safety/non-safety CBA/agreement set (HPFFA fire CBA under §174.1535 compulsory arbitration + HPOU police meet-and-confer + HOPE/AFSCME Local 123 non-safety meet-and-confer),partial,Yes — separate authorization needed,cba,Texas,must_have,maybe,causal,"revised 2026-07-08: all three tiers now have an official houstontx.gov-hosted source identified, but none extracted as readable text this session","See texas_ohio_source_ingestion_audit_2026-07-08.csv for document-level targets; a non-safety bargaining channel (HOPE) is now confirmed present, correcting the prior assumption it was absent. Designated first_batch, paired with Austin, per the 2026-07-08 multi-city scan"
cross-cutting,Columbus matched safety/non-safety CBA set (FOP police + IAFF Local 67 fire + AFSCME Local 1632 and CWA non-safety),partial,Yes — separate authorization needed,cba,Ohio,must_have,maybe,causal,"revised 2026-07-08: all four contracts now specifically identified on one official columbus.gov portal, cross-checkable against SERB","See texas_ohio_source_ingestion_audit_2026-07-08.csv for document-level targets; non-safety unions' exact occupation-class composition still needs a direct read. Designated first_batch, paired with Cleveland, per the 2026-07-08 multi-city scan"
cross-cutting,Multi-city Texas/Ohio pre-ingestion scan (Austin/Fort Worth/San Antonio/Dallas/El Paso; Cleveland/Cincinnati/Toledo/Akron/Dayton),current_corpus,No — scan completed 2026-07-08,cba,Texas and Ohio,must_have,no,context_only,broadens the prior Houston/Columbus-only assessment across 11 additional cities to check for overfitting to a single population-exceptional city per state,"See texas_ohio_multicity_pre_ingestion_scan_2026-07-08.md and texas_ohio_multicity_source_targets_2026-07-08.csv; recommended first batch is Houston+Austin (TX) and Columbus+Cleveland (OH), with Fort Worth/San Antonio/Cincinnati/Toledo as backups and Dallas/El Paso/Akron/Dayton deferred"
cross-cutting,San Antonio and Cincinnati as second-choice TX/OH matched-pair candidates,absent,No — deferred pending Houston/Columbus review,cba,Texas and Ohio,optional,maybe,causal,candidate cities identified 2026-07-07,See texas_ohio_candidate_source_targets_2026-07-07.csv
cross-cutting,"Texas/Ohio final pre-ingestion approval audit and approved source plan (15 approved_first_batch sources: Houston/Austin police+fire+non-safety+budget, Columbus/Cleveland police+fire+non-safety+budget)",current_corpus,No — audit completed 2026-07-08; controlled ingestion can proceed after user approval,cba,Texas and Ohio,must_have,no,context_only,"CSV hygiene issues (unescaped commas, controlled-vocabulary drift) found and corrected across four planning CSVs this session; no source fetched yet",See texas_ohio_final_pre_ingestion_audit_2026-07-08.md and texas_ohio_approved_source_plan_2026-07-08.csv; awaiting explicit user/PI authorization before any fetch
cross-cutting,Texas/Ohio acquisition dry-run and recognition-clause-first source classification standard,current_corpus,No — dry-run completed; controlled live acquisition can proceed after user approval,cba,Texas and Ohio,must_have,no,context_only,"created permanent CSV hygiene and recognition-clause-first standards, then checked the approved Texas/Ohio source plan and prepared a no-download dry-run","See source_planning_csv_hygiene_standard_2026-07-08.md, recognition_clause_first_classification_standard_2026-07-08.md, texas_ohio_acquisition_dry_run_2026-07-08.md, and texas_ohio_acquisition_dry_run_2026-07-08.csv; broad non-safety agreements remain provisionally other until unit coverage is read."
cross-cutting,Texas/Ohio first-batch live acquisition and recognition-clause-first extraction,current_corpus,No — first-batch live acquisition completed 2026-07-08; remaining held-out targets need URL confirmation before any second live batch,cba,Texas and Ohio,must_have,no,causal,nine public agreement sources fetched and added to data/contracts.csv; Houston/Columbus/Cleveland broad non-safety units reviewed recognition-clause-first and kept occupation_class=other,"See texas_ohio_live_fetch_manifest_2026-07-08.csv, texas_ohio_source_identity_audit_2026-07-08.md, texas_ohio_recognition_clause_extraction_2026-07-08.md/csv, texas_ohio_mechanism_excerpt_extraction_2026-07-08.md/csv, and texas_ohio_ingestion_extraction_summary_2026-07-08.md."
cross-cutting,Texas/Ohio held-out-target resolution: Austin fire CBA resolved and ingested; Houston fire remains unresolved; Austin non-safety confirmed not wage-setting,current_corpus,Yes -- Houston fire full-CBA official text still needed; Austin non-safety CBA/meet-and-confer equivalent still entirely unidentified,cba,Texas and Ohio,must_have,yes,causal,"Bounded web checks resolved one held-out target (Austin fire, now tx_austin_fire_2023) and closed one open design question (Austin AFSCME 1624 consultation agreement confirmed not a wage-setting CBA); Austin now has two unmatched safety units and no non-safety comparison partner.","See texas_ohio_heldout_target_preflight_2026-07-08.md, texas_ohio_heldout_source_resolution_2026-07-08.csv, texas_ohio_second_batch_source_identity_audit_2026-07-08.md, and texas_ohio_second_batch_ingestion_extraction_summary_2026-07-08.md."
