issue_id,file,row_identifier,field,current_value,proposed_value,proposed_action,rationale,evidence_checked,confidence,production_edit_needed,analysis_impact,notes
MC06,docs/schema.md,interest_arbitration_flag field definition,interest_arbitration_flag (definition),'0/1' with no further qualifier,"0/1 -- specifically wage-setting / impasse interest arbitration (e.g., JLMC-style); grievance, discipline, and contract-interpretation arbitration should be captured in arbitration_clause_text without setting this flag",schema_definition_clarification,"4 of 6 currently-flagged rows are grievance/discipline arbitration, not interest arbitration; the field name implies a narrower scope than its observed usage.",cross-row comparison of all interest_arbitration_flag=1 rows' arbitration_clause_text,high,"no (schema/docs edit, not a data edit)",prevents recurrence of the same miscoding in future ingestion batches,Recommend pairing with the row-level flag corrections above in the same approved cleanup session.
MC08,data/contracts.csv,ma_somerville_police_spsoa_2012,comparability_text,B. The reasonable suspicion standard for drug testing is based upon a specific objective fact(s)... comparable fact patterns:,"[verbatim span to extract from this row's own arbitration_clause_text:] '...the Arbitration Panel has considered the criteria set forth in the statute including the municipality's ability to pay, wages and benefits of comparable towns, and the cost of living.'",reextract_from_existing_field,The genuine peer-wage-comparability span already exists verbatim in this row's own arbitration_clause_text field; the current comparability_text instead captured an unrelated drug-testing 'comparable fact patterns' clause.,direct csv read comparing comparability_text against arbitration_clause_text in the same row,high,yes,"turns this row into the corpus's first true positive for peer-wage comparability, directly supporting H5/PD11",No new source acquisition needed -- the correct text is already inside the dataset.
MC08,data/contracts.csv,ma_somerville_police_spsoa_2012,comparability_referent,,comparable towns (statutory interest-arbitration criterion: wages and benefits of comparable towns),reextract_from_existing_field,Schema calls for a verbatim quote of what the clause pegs this unit to; 'comparable towns' is the named referent in the award's own statutory-criteria language.,direct csv read of arbitration_clause_text in the same row,high,yes,see comparability_text row above,Paired edit with the comparability_text re-extraction above.
MC08,data/contracts.csv,ma_somerville_police_spea_2012,comparability_text,B. The reasonable suspicion standard for drug testing is based upon a specific objective fact(s)... comparable fact patterns,[verbatim span to extract from this row's own arbitration_clause_text:] same 'wages and benefits of comparable towns' statutory-criteria language as the SPSOA row,reextract_from_existing_field,Identical pattern to ma_somerville_police_spsoa_2012 -- this row's arbitration_clause_text also states the Arbitration Panel considered 'wages and benefits of comparable towns.',direct csv read comparing comparability_text against arbitration_clause_text in the same row,high,yes,second true positive for peer-wage comparability,Companion edit to the SPSOA row.
MC08,data/contracts.csv,ma_somerville_police_spea_2012,comparability_referent,,comparable towns (statutory interest-arbitration criterion: wages and benefits of comparable towns),reextract_from_existing_field,Same statutory referent as the SPSOA row.,direct csv read of arbitration_clause_text in the same row,high,yes,see comparability_text row above,Paired edit.
MC08,data/contracts.csv,ma_seekonk_fire_2022,comparability_referent,,"work-group realignment eligibility ('years of employment... somewhat comparable') -- scheduling/seniority context, not wage comparability",add_clarifying_note,"comparability_text for this row describes eligibility criteria for a shift/group-realignment bid process, unrelated to peer-jurisdiction wages.",direct csv read,high,yes,prevents future misreading of this fire row's flag as wage-comparator evidence,
MC08,data/contracts.csv,ma_wayland_fire_2020,comparability_referent,,"health insurance plan contribution parity ('comparable plan(s)') -- benefits comparability, not wage comparability",add_clarifying_note,"comparability_text describes a health-insurance contribution-rate parity clause, not peer-jurisdiction wages.",direct csv read,high,yes,prevents future misreading of this fire row's flag as wage-comparator evidence,
MC08,data/contracts.csv,ma_wayland_other_2021,comparability_referent,,"health insurance plan contribution parity ('comparable plan(s)') -- benefits comparability, not wage comparability",add_clarifying_note,Identical health-insurance contribution-parity clause to the Wayland fire row.,direct csv read,high,yes,prevents future misreading of this mixed 'other' row's flag as wage-comparator evidence,
MC08,docs/schema.md,comparability_clause_flag field definition,comparability_clause_flag (definition),'0/1' with no wage-specific qualifier,"needs_followup: decide whether to require wage-specific comparable language, or keep generic with disambiguation pushed to comparability_referent",needs_followup,"Corpus-wide, 7 of 7 currently-flagged rows capture non-wage 'comparable' language; a scope decision should precede any project-wide re-extraction pass beyond the 2 Somerville rows already proposed above.",cross-row review of all 7 comparability_clause_flag=1 rows,medium,needs_followup,"determines whether MC01's and MC08's 5 non-Somerville rows should eventually have their flag value changed to 0, in addition to the comparability_referent notes proposed above",See audit memo §5/§7 for full discussion.
MC10,data/contracts.csv,ma_somerville_police_spsoa_2012; ma_somerville_police_spea_2012,retrieval_method,public_download,needs_followup: public_download (current access) vs. foia (original acquisition) -- human convention decision,needs_followup,Both documents were originally obtained via a FOIA request (per source_url_or_cite pointing to a MuckRock foia_files/ URL) but are now openly re-hosted; docs/schema.md does not specify which controlled-vocabulary value should govern this case.,direct csv read of source_url_or_cite and retrieval_method for both rows,medium,needs_followup,"low -- affects provenance-field precision only, not any substantive wage-mechanism finding",
