municipality,state,municipality_id,unit_type,document_title,union_name,employer,contract_years,source_url,source_owner_type,document_type,document_completeness,comparator_role,wrong_employer_risk,context_only_flag,visible_year_evidence,overlap_with_anchor_cycle,duplicate_risk,blocked_or_unreadable_flag,cycle_match_notes,why_relevant,confidence,candidate_stage,needs_verification_reason,scout_stage_status,verification_priority,verification_notes
Ontario,CA,cog_2025_161246,police,Memorandum of Understanding Between Ontario Police Officers Association And City of Ontario,Ontario Police Officers Association (OPOA),City of Ontario,07/01/2023–06/30/2027,https://content.ontarioca.gov/sites/default/files/migrated-files/OPOA%20MOU%202023%20-%20FINAL%20int%20complete.pdf,city,cba,full_document,safety_target,possible,no,cover_or_title,no_anchor_supplied,none,no,Years are visible on the document title/cover as 07/01/2023 through 06/30/2027; overlap with a requested 2014-2024 anchor cycle cannot be confirmed beyond year-range intersection because no anchor cycle was supplied.,Municipal police labor agreement for the City of Ontario (California) with visible bargaining term dates within 2014-2024 window intersection possibilities.,medium,qualifying_candidate,"Scout-stage lead: must later verify unit scope/classifications, employer attribution (CITY OF ONTARIO ID 161246), execution/completeness, and mutual overlap against the supplied anchor cycle.",unverified_scout_candidate,high,"Later coordinated verification must confirm the exact California municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
Ontario,CA,cog_2025_161246,fire,Memorandum of Understanding Between Ontario Professional Firefighters Association Local 1430 I.A.F.F. And City of Ontario,"Ontario Professional Firefighters Association (OFFA), Local 1430 I.A.F.F.",City of Ontario,07/01/2023–06/30/2027,https://content.ontarioca.gov/sites/default/files/migrated-files/FFA%20MOU%202023-2027%20FINAL%20w%20Appendix%20INT.pdf,city,cba,full_document,safety_target,possible,no,cover_or_title,no_anchor_supplied,none,no,Years are visible on the document title/cover as 07/01/2023 through 06/30/2027; overlap with a requested 2014-2024 anchor cycle cannot be confirmed beyond year-range intersection because no anchor cycle was supplied.,Municipal firefighter labor agreement for the City of Ontario with visible bargaining term dates.,medium,qualifying_candidate,Scout-stage lead: later verification required for municipal fire unit scope and that Ontario fire service is not operated under another employer than the City.,unverified_scout_candidate,high,"Later coordinated verification must confirm the exact California municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
Ontario,CA,cog_2025_161246,non_safety,"Memorandum of Understanding Between American Federation of State, County & Municipal Employees Local 3061 And City of Ontario","American Federation of State, County & Municipal Employees Local 3061 (AFSCME 3061)",City of Ontario,07/01/2023–06/30/2026,https://content.ontarioca.gov/sites/default/files/migrated-files/Ontario-Files/Human-Resources/MOU/AFSCME/AFSCME%2520MOU%25202023-2026%2520FINAL%2520int.pdf,city,cba,full_document,ordinary_non_safety_comparator,possible,no,cover_or_title,no_anchor_supplied,none,no,Years are visible on the document title/cover as 07/01/2023 through 06/30/2026; overlap with a requested 2014-2024 anchor cycle cannot be confirmed beyond year-range intersection because no anchor cycle was supplied. Later verification required to confirm the AFSCME-represented classifications are ordinary non-safety municipal/civilian (not police/fire).,General municipal/civilian AFSCME MOU (not explicitly a safety unit) with visible bargaining term dates suitable for an ordinary non-safety municipal comparator after unit-scope verification.,medium,qualifying_candidate,"Scout-stage lead: later verification required for bargaining unit identity (to ensure it is ordinary municipal civilian/non-safety), wage-setting provisions, execution status, and mutual overlap vs the supplied anchor cycle.",unverified_scout_candidate,high,"Later coordinated verification must confirm the exact California municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
Elk Grove,CA,cog_2025_200728,police,"Memorandum of Understanding Between Elk Grove Police Officers Association and City of Elk Grove (Effective July 1, 2021 through June 30, 2023)",Elk Grove Police Officers Association,CITY OF ELK GROVE,2021-2023,https://elkgrove.gov/sites/default/files/city-files/citycouncil/2021/Attachments/09-22-21_3.1.pdf,city,cba,full_document,safety_target,none,no,cover_or_title,no_anchor_supplied,none,no,"MOU term shown in document title/term clause (Effective July 1, 2021 through June 30, 2023). Anchor cycle not supplied, so overlap cannot be assessed here.",City of Elk Grove police MOU is a municipal safety (police) wage-setting agreement likely usable for a 2014-2024 matched-comparison repair workflow (after later overlap checks).,medium,qualifying_candidate,"Scout-stage lead: later verification must confirm exact bargaining unit coverage, execution/completeness, wage-setting provisions, and any side letters/amendments affecting the applicable cycle(s).",unverified_scout_candidate,high,"Later coordinated verification must confirm the exact California municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
Elk Grove,CA,cog_2025_200728,police,"Memorandum of Understanding Between Elk Grove Police Officers Association and City of Elk Grove (Effective July 1, 2023 through June 30, 2027)",Elk Grove Police Officers Association,CITY OF ELK GROVE,2023-2027,https://elkgrove.gov/sites/default/files/city-files/City%20Government/City%20Clerk/City%20Council%202023/Attachments/06-28-23-7-5.pdf,city,cba,full_document,safety_target,none,no,cover_or_title,no_anchor_supplied,none,no,"MOU term shown in the document title/term clause (Effective July 1, 2023 through June 30, 2027). Anchor cycle not supplied, so overlap cannot be assessed here.",Municipal police (safety) MOU for City of Elk Grove provides an official wage-setting document for a cycle that may overlap 2014-2024 depending on the (not-supplied) anchor-cycle repair target.,high,qualifying_candidate,"Scout-stage lead: later verification must confirm wage-setting terms (salary/step schedule or other wage schedules), execution, and whether any amendments/side letters change wage provisions for the specific repair comparison cycle(s).",unverified_scout_candidate,high,"Later coordinated verification must confirm the exact California municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
Oceanside,CA,cog_2025_161256,police,Memorandum of Understanding between the City of Oceanside and the Oceanside Police Officers' Association (OPOA) (Safety Employees),Oceanside Police Officers' Association (OPOA),City of Oceanside,2024-2026,https://records.ci.oceanside.ca.us/civicax/filebank/blobdload.aspx?blobid=61345,city,memorandum_or_settlement,full_document,safety_target,possible,no,duration_clause,no_anchor_supplied,none,no,"Document staff report synopsis and resolution language state the MOU is retroactively effective January 1, 2024 through December 31, 2026; additional internal MOU cover pages repeat effective dates as part of the agreement.",Municipal police safety wage-setting terms via a City-executed police MOU with an Oceanside police labor organization; useful for matched_comparison_repair and for overlapping 2014-2024 cycle coverage if the anchor cycle falls within/overlaps 2024-2026.,medium,qualifying_candidate,"Scout-stage lead: verify the represented unit scope (e.g., sworn officer/sergeant) and confirm it is the City of Oceanside bargaining unit intended for the police comparator (employer/unit match and completeness).",unverified_scout_candidate,high,"Later coordinated verification must confirm the exact California municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
Oceanside,CA,cog_2025_161256,fire,Memorandum of Understanding between the City of Oceanside and the Oceanside Firefighters' Association (OFA),Oceanside Firefighters' Association (OFA) (International Association of Fire Fighters Local 3736),City of Oceanside,2023-2025,https://records.ci.oceanside.ca.us/civicax/filebank/blobdload.aspx?blobid=59972,city,memorandum_or_settlement,full_document,safety_target,possible,no,duration_clause,no_anchor_supplied,none,no,"Agreement cover/operative staff-report text and attachment cover indicate effective April 1, 2023 through March 31, 2025 (including retroactive effective April 1, 2023).",Municipal fire safety labor MOU from the City of Oceanside; provides binding wage-setting terms suitable for overlap checking with 2014-2024 safety-cycle anchors.,medium,qualifying_candidate,Scout-stage lead: verify that this is the municipal employer’s bargaining unit for fire suppression (firefighters) and that wage-setting terms are present and complete for the requested comparison window.,unverified_scout_candidate,high,"Later coordinated verification must confirm the exact California municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
Oceanside,CA,cog_2025_161256,non_safety,Memorandum of Understanding between the City of Oceanside and the Oceanside City Employees' Association (OCEA),Oceanside City Employees' Association (OCEA),City of Oceanside,2024-2026,https://www.ci.oceanside.ca.us/home/showpublisheddocument/15574/638706361196130000,city,memorandum_or_settlement,full_document,ordinary_non_safety_comparator,possible,no,duration_clause,no_anchor_supplied,none,no,"Document cover page and staff/report context show effective July 1, 2024 through June 30, 2026.",Municipal ordinary-non-safety wage-setting via a City-executed OCEA MOU; potentially overlaps 2014-2024 cycle windows for repair matching depending on the anchor cycle.,medium,qualifying_candidate,"Scout-stage lead: verify the unit is non-safety (ordinary municipal/civilian) relative to the repair target’s non-safety requirement, and confirm included wage-setting provisions align with the requested comparator scope.",unverified_scout_candidate,high,"Later coordinated verification must confirm the exact California municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
Garden Grove,CA,cog_2025_193114,police,Memorandum of Understanding Between the Garden Grove Police Association and the City of Garden Grove (2018-22),Garden Grove Police Association,"City of Garden Grove, CA",2018-2022,https://ggcity.org/sites/default/files/poa-mou-18-22.pdf,city,cba,full_document,safety_target,possible,no,cover_or_title,no_anchor_supplied,none,no,No anchor-cycle was supplied; overlap_with_anchor_cycle is therefore marked no_anchor_supplied. Contract years are taken from the document title/snippet labeling as 2018-22; anchor-cycle overlap (2014-2024) is not explicitly verified against an anchor-cycle window.,Municipal police labor agreement document for the City of Garden Grove that falls within the broader 2014-2024 window requested for cycle scouting.,medium,qualifying_candidate,"Scout-stage lead only: confirm employer/unit identification, execution status, and that the agreement is for sworn police bargaining (not management-only) before use.",unverified_scout_candidate,high,"Later coordinated verification must confirm the exact California municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
Garden Grove,CA,cog_2025_193114,police,Memorandum of Understanding Between the Garden Grove Police Association and the City of Garden Grove (2022-2025 with amending resolutions through 2027),Garden Grove Police Association,"City of Garden Grove, CA",2022-2025; amending resolutions indicate extension through 2027,https://ggcity.org/sites/default/files/poa-mou-22-27.pdf,city,cba,full_document,safety_target,possible,no,cover_or_title,no_anchor_supplied,possible,no,"No anchor-cycle was supplied; overlap_with_anchor_cycle is therefore marked no_anchor_supplied. Visible term language on the cover indicates April 16, 2022 through June 30, 2025, and also notes amending resolutions through June 30, 2027.",Municipal police labor agreement for Garden Grove with visible term dates overlapping the requested 2014-2024 scouting range (at least 2022-2024 portions).,high,qualifying_candidate,"Scout-stage lead only: confirm police unit scope (sworn vs. management/other), execution/completeness, and whether 2027 effects are within the same bargaining cycle structure as needed for matched-comparison repair.",unverified_scout_candidate,medium,"Later coordinated verification must confirm the exact California municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
Garden Grove,CA,cog_2025_193114,non_safety,"Memorandum of Understanding Between the Orange County Employee’s Association, Garden Grove Employee’s League and the City of Garden Grove (2019-2022)","Orange County Employee’s Association (OCEA), Garden Grove Employee’s League","City of Garden Grove, CA",2019-2022,https://ggcity.org/sites/default/files/League-MOU-2019-22.pdf,city,cba,full_document,ordinary_non_safety_comparator,possible,no,cover_or_title,no_anchor_supplied,none,no,"No anchor-cycle was supplied; overlap_with_anchor_cycle is therefore marked no_anchor_supplied. Document cover/title and operative front matter show term July 1, 2019 through June 30, 2022.","Ordinary non-safety municipal MOU for Garden Grove with visible 2019-2022 term, relevant for ordinary/non-safety matched comparison alongside municipal police safety agreements.",medium,qualifying_candidate,"Scout-stage lead only: verify this is an ordinary municipal/civilian (non-safety) bargaining unit for Garden Grove (not a safety unit), and confirm wage-setting terms and represented classification scope before comparator use.",unverified_scout_candidate,high,"Later coordinated verification must confirm the exact California municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
Corona,CA,cog_2025_207593,police,"Corona Police Employees Association (CPEA) Memorandum of Understanding (MOU) (Redline) — July 1, 2018 through June 30, 2021",Corona Police Employees Association (CPEA),City of Corona,2018-2021,https://corona.legistar.com/View.ashx?GUID=7193C55D-9BEE-4D10-87ED-E64C6B93CBA2&ID=7845486&M=F,city,cba,full_document,safety_target,none,no,duration_clause,no_anchor_supplied,none,no,"Document shows term as 'July 1, 2018 through June 30, 2020 2021' (visible as year text across the header/term block), which overlaps the requested 2014-2024 window. Exact coverage of any extended/shifted end date should be confirmed during later verification.",Sworn police bargaining unit MOU containing wage/compensation provisions with visible term dates within 2014-2024 for CITY OF CORONA.,medium,qualifying_candidate,"Scout-stage lead; later verification must confirm the executive/correct version and confirm bargaining unit scope, any redline vs clean status, and mutual overlap with the supplied anchor-cycle once provided.",unverified_scout_candidate,high,"Later coordinated verification must confirm the exact California municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
Corona,CA,cog_2025_207593,fire,Corona Firefighters Association IAFF Local #3757 Memorandum of Understanding (MOU) — 2022-2024,Corona Firefighters Association (IAFF Local #3757),City of Corona,2022-2024,https://corona.legistar.com/View.ashx?GUID=FDB0E554-3D5B-47BE-A1DB-2383DD16C810&ID=10343690&M=F,city,cba,full_document,safety_target,none,no,duration_clause,no_anchor_supplied,none,no,"Document term is visible as 'January 1, 2022 to December 31, 2024' (operative term language in the MOU). Overlaps the requested 2014-2024 window.",Municipal fire safety bargaining agreement with visible 2022-2024 term dates for CITY OF CORONA.,high,qualifying_candidate,"Scout-stage lead; later verification must confirm it is the exact executed agreement version and confirm unit coverage/exclusions (e.g., Chief/non-Chief), plus exact mutual overlap with anchor-cycle once provided.",unverified_scout_candidate,high,"Later coordinated verification must confirm the exact California municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
Corona,CA,cog_2025_207593,non_safety,Side Letter of Agreement Modifying the 2021-2024 Memorandum of Understanding Between the City of Corona and the Corona Public Service Employees Association (CPSEA),Corona Public Service Employees Association (CPSEA),City of Corona,2021-2024,https://corona.legistar.com/View.ashx?GUID=1EBD680B-21A2-4775-B1CF-8684EAF98584&ID=10972983&M=F,city,memorandum_or_settlement,partial_document,ordinary_non_safety_comparator,none,no,duration_clause,no_anchor_supplied,none,no,"Recitals state the underlying CPSEA MOU was effective 'November 16, 2021 through December 31, 2024'. The side letter includes binding compensation/base-pay schedule content (e.g., 'Year 2 - Jan. 2023' and 'Year 3 - Jan. 2024' in the included attachment tables). Later verification must confirm full wage-setting scope and whether this side letter alone is sufficient for the non-safety comparator needs.",Ordinary non-safety municipal employee agreement modification by CITY OF CORONA with visible 2021-2024 term context and attached compensation schedules.,medium,qualifying_candidate,"Scout-stage lead; later verification must confirm CPSEA unit is non-safety/ordinary municipal civilian (not containing police/fire safety bargaining coverage for the relevant classifications), and confirm wage-setting linkage for comparator use.",unverified_scout_candidate,high,"Later coordinated verification must confirm the exact California municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
Roseville,CA,cog_2025_123137,police,Memorandum of Understanding (RPA) — Roseville Police Association,Roseville Police Association (RPA),CITY OF ROSEVILLE,2024-2027,https://www.roseville.ca.gov/Documents/Departments/Human%20Resources/MOUs/rpa.pdf?t=202604151907260,city,cba,full_document,safety_target,possible,no,cover_or_title,no_anchor_supplied,none,no,Document title/front matter shows term: 1/1/2024 through 12/31/2027 (overlaps the requested 2014-2024 search window at year 2024; exact anchor-cycle overlap cannot be assessed because no anchor-cycle was supplied).,Municipal police wage-setting agreement (MOU) from CITY OF ROSEVILLE for a police bargaining unit that falls within the 2014-2024 overlap window (via 2024).,medium,qualifying_candidate,Scout-stage lead only; later verification must confirm bargaining unit scope (sworn vs non-sworn within police) and that the document is an executed binding wage-setting agreement for the Roseville municipal employer (CITY OF ROSEVILLE).,unverified_scout_candidate,high,"Later coordinated verification must confirm the exact California municipal employer and bargaining unit, authoritative provenance, executed/binding and complete-document status, visible operative dates, wage-setting content, duplicate status, and same-city cycle overlap. Do not ingest or use for claims before that gate; do not initiate a public-records request."
